time,Toronto,pts.away,score,pts.home,Houston
2:57.0,D. DeRozan misses 2-pt shot from 2 ft (block by T. Ariza),,15-21,,
2:57.0,Offensive rebound by Team,,15-21,,
2:57.0,,,15-21,,Houston full timeout
2:57.0,C. Joseph enters the game for K. Lowry,,15-21,,
2:57.0,,,15-21,,P. Beverley enters the game for J. Harden
2:54.0,D. DeRozan misses 2-pt shot from 16 ft,,15-21,,
2:53.0,,,15-21,,Defensive rebound by P. Beverley
2:31.0,,,15-23,2,M. Beasley makes 2-pt shot from 21 ft
2:13.0,C. Joseph misses 2-pt shot from 5 ft,,15-23,,
2:11.0,Offensive rebound by J. Valanciunas,,15-23,,
2:10.0,J. Valanciunas misses 2-pt shot from 1 ft,,15-23,,
2:09.0,Offensive rebound by C. Joseph,,15-23,,
1:59.0,P. Patterson makes 2-pt shot from 5 ft,2,17-23,,
1:37.0,,,17-25,2,M. Beasley makes 2-pt shot from 16 ft
1:16.0,N. Powell misses 2-pt shot from 12 ft,,17-25,,
1:15.0,,,17-25,,Defensive rebound by C. Capela
1:00.0,,,17-25,,M. Beasley misses 2-pt shot from 4 ft
1:00.0,,,17-25,,Offensive rebound by C. Capela
1:00.0,,,17-25,,C. Capela misses 2-pt shot at rim
0:58.0,Defensive rebound by J. Valanciunas,,17-25,,
0:51.0,N. Powell misses 2-pt shot from 17 ft,,17-25,,
0:50.0,,,17-25,,Defensive rebound by C. Capela
0:45.0,,,17-25,,P. Beverley misses 2-pt shot from 1 ft
0:44.0,,,17-25,,Offensive rebound by C. Capela
0:44.0,,,17-27,2,C. Capela makes 2-pt shot from 2 ft
0:29.0,J. Valanciunas makes 2-pt shot from 3 ft (assist by C. Joseph),2,19-27,,
0:08.0,,,19-29,2,M. Beasley makes 2-pt shot from 7 ft (assist by P. Beverley)
0:01.0,C. Joseph makes 2-pt shot from 9 ft,2,21-29,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:34.0,K. Lowry misses 3-pt shot from 25 ft,,21-29,,
11:32.0,Offensive rebound by Team,,21-29,,
11:19.0,J. Valanciunas makes 2-pt shot from 2 ft (assist by C. Joseph),2,23-29,,
11:01.0,,,23-29,,Turnover by D. Howard (3 sec)
10:44.0,,,23-29,,Personal foul by D. Howard
10:31.0,Turnover by C. Joseph (lost ball; steal by M. Beasley),,23-29,,
10:24.0,,,23-29,,J. Terry misses 2-pt shot from 1 ft
10:23.0,Defensive rebound by J. Johnson,,23-29,,
10:16.0,J. Johnson misses 2-pt shot from 2 ft (block by C. Brewer),,23-29,,
10:15.0,,,23-29,,Defensive rebound by J. Terry
10:14.0,,,23-29,,Turnover by D. Howard (lost ball)
10:05.0,C. Joseph misses 3-pt shot from 25 ft,,23-29,,
10:04.0,,,23-29,,Defensive rebound by M. Beasley
9:56.0,,,23-32,3,C. Brewer makes 3-pt shot from 23 ft (assist by P. Beverley)
9:37.0,J. Johnson misses 3-pt shot from 23 ft,,23-32,,
9:36.0,,,23-32,,Defensive rebound by P. Beverley
9:31.0,,,23-32,,Turnover by P. Beverley (bad pass)
9:31.0,,,23-32,,D. Motiejunas enters the game for M. Beasley
9:15.0,,,23-32,,Personal foul by J. Terry
9:06.0,P. Patterson misses 3-pt shot from 23 ft,,23-32,,
9:06.0,Offensive rebound by J. Valanciunas,,23-32,,
9:05.0,,,23-32,,Violation by D. Howard (def goaltending)
9:05.0,J. Valanciunas makes 2-pt shot from 3 ft,2,25-32,,
8:53.0,,,25-32,,Houston full timeout
8:53.0,L. Scola enters the game for P. Patterson,,25-32,,
8:53.0,,,25-32,,J. Harden enters the game for J. Terry
8:50.0,,,25-35,3,P. Beverley makes 3-pt shot from 23 ft (assist by J. Harden)
8:22.0,L. Scola makes 3-pt shot from 24 ft (assist by K. Lowry),3,28-35,,
8:13.0,Personal foul by L. Scola,,28-35,,
8:02.0,,,28-37,2,J. Harden makes 2-pt shot from 18 ft
7:52.0,L. Scola misses 3-pt shot from 22 ft,,28-37,,
7:51.0,,,28-37,,Defensive rebound by D. Howard
7:42.0,,,28-39,2,D. Motiejunas makes 2-pt shot from 4 ft (assist by P. Beverley)
7:36.0,Toronto full timeout,,28-39,,
7:36.0,N. Powell enters the game for C. Joseph,,28-39,,
7:25.0,N. Powell makes 3-pt shot from 24 ft (assist by J. Johnson),3,31-39,,
7:10.0,,,31-39,,D. Motiejunas misses 2-pt shot from 4 ft
7:07.0,,,31-39,,Offensive rebound by D. Motiejunas
7:04.0,,,31-39,,D. Motiejunas misses 2-pt shot from 5 ft
7:04.0,Defensive rebound by K. Lowry,,31-39,,
7:03.0,,,31-39,,Personal foul by P. Beverley
6:57.0,Offensive charge foul by N. Powell,,31-39,,
6:57.0,Turnover by N. Powell (offensive foul),,31-39,,
6:46.0,,,31-39,,Shooting foul by J. Valanciunas (drawn by D. Howard)
6:46.0,,,31-39,,D. Howard misses free throw 1 of 2
6:46.0,,,31-39,,Offensive rebound by Team
6:46.0,,,31-39,,D. Howard misses free throw 2 of 2
6:46.0,Defensive rebound by J. Valanciunas,,31-39,,
6:37.0,Turnover by Team (turnover),,31-39,,
6:27.0,,,31-39,,Turnover by J. Harden (lost ball; steal by J. Valanciunas)
6:21.0,J. Johnson makes 2-pt shot at rim,2,33-39,,
6:10.0,,,33-42,3,J. Harden makes 3-pt shot from 25 ft (assist by P. Beverley)
6:10.0,,,33-42,,Loose ball foul by D. Howard
6:10.0,,,33-42,,T. Ariza enters the game for C. Brewer
6:10.0,D. DeRozan enters the game for J. Johnson,,33-42,,
5:54.0,J. Valanciunas misses 2-pt shot from 10 ft,,33-42,,
5:53.0,,,33-42,,Defensive rebound by D. Motiejunas
5:46.0,,,33-44,2,D. Howard makes 2-pt shot from 3 ft (assist by J. Harden)
5:46.0,,,33-44,,Shooting foul by J. Valanciunas (drawn by D. Howard)
5:46.0,B. Biyombo enters the game for J. Valanciunas,,33-44,,
5:46.0,,,33-44,,D. Howard misses free throw 1 of 1
5:46.0,Defensive rebound by D. DeRozan,,33-44,,
5:29.0,D. DeRozan makes 2-pt shot from 9 ft,2,35-44,,
5:11.0,,,35-44,,P. Beverley misses 2-pt shot from 4 ft (block by B. Biyombo)
5:10.0,Defensive rebound by B. Biyombo,,35-44,,
4:56.0,L. Scola makes 3-pt shot from 23 ft (assist by K. Lowry),3,38-44,,
4:39.0,,,38-44,,P. Beverley misses 3-pt shot from 22 ft
4:38.0,Defensive rebound by N. Powell,,38-44,,
4:29.0,N. Powell makes 3-pt shot from 23 ft (assist by D. DeRozan),3,41-44,,
4:27.0,,,41-44,,Houston full timeout
4:27.0,,,41-44,,C. Capela enters the game for D. Motiejunas
4:27.0,,,41-44,,J. Terry enters the game for D. Howard
4:27.0,,,41-44,,M. Beasley enters the game for P. Beverley
4:09.0,,,41-44,,J. Terry misses 2-pt shot from 10 ft
4:07.0,,,41-44,,Offensive rebound by J. Terry
4:02.0,,,41-44,,Turnover by T. Ariza (lost ball; steal by L. Scola)
3:57.0,K. Lowry misses 3-pt shot from 22 ft,,41-44,,
3:55.0,Offensive rebound by L. Scola,,41-44,,
3:54.0,L. Scola makes 2-pt shot from 1 ft,2,43-44,,
3:38.0,,,43-44,,T. Ariza misses 2-pt shot from 2 ft (block by B. Biyombo)
3:37.0,,,43-44,,Offensive rebound by T. Ariza
3:36.0,,,43-44,,T. Ariza misses 2-pt shot from 1 ft
3:36.0,Defensive rebound by Team,,43-44,,
3:36.0,,,43-44,,Loose ball foul by C. Capela
3:36.0,B. Biyombo makes free throw 1 of 2,1,44-44,,
3:36.0,B. Biyombo makes free throw 2 of 2,1,45-44,,
3:26.0,,,45-44,,Turnover by J. Terry (lost ball; steal by B. Biyombo)
3:18.0,L. Scola makes 3-pt shot from 22 ft (assist by K. Lowry),3,48-44,,
3:06.0,,,48-44,,J. Harden misses 2-pt shot from 2 ft
3:05.0,,,48-44,,Offensive rebound by C. Capela
3:05.0,,,48-44,,C. Capela misses 2-pt shot from 1 ft
3:01.0,,,48-44,,Offensive rebound by Team
2:53.0,,,48-44,,Turnover by J. Harden (lost ball; steal by D. DeRozan)
2:48.0,N. Powell misses 2-pt shot from 2 ft,,48-44,,
2:47.0,,,48-44,,Defensive rebound by J. Terry
2:41.0,,,48-46,2,J. Harden makes 2-pt shot from 1 ft (assist by J. Terry)
2:26.0,Shooting foul by C. Capela (drawn by K. Lowry),,48-46,,
2:26.0,K. Lowry makes free throw 1 of 2,1,49-46,,
2:26.0,,,49-46,,D. Howard enters the game for C. Capela
2:26.0,,,49-46,,P. Beverley enters the game for J. Terry
2:26.0,K. Lowry misses free throw 2 of 2,,49-46,,
2:26.0,,,49-46,,Defensive rebound by J. Harden
2:16.0,,,49-46,,Turnover by J. Harden (bad pass)
1:55.0,N. Powell makes 2-pt shot at rim (assist by K. Lowry),2,51-46,,
1:44.0,,,51-48,2,M. Beasley makes 2-pt shot from 2 ft
1:26.0,L. Scola makes 2-pt shot from 20 ft (assist by N. Powell),2,53-48,,
1:12.0,,,53-51,3,P. Beverley makes 3-pt shot from 24 ft (assist by J. Harden)
0:51.0,L. Scola misses 2-pt shot from 11 ft,,53-51,,
0:49.0,Offensive rebound by L. Scola,,53-51,,
0:48.0,L. Scola misses 2-pt shot from 3 ft (block by M. Beasley),,53-51,,
0:45.0,Offensive rebound by Team,,53-51,,
0:45.0,C. Joseph enters the game for K. Lowry,,53-51,,
0:45.0,Toronto full timeout,,53-51,,
0:33.0,C. Joseph makes 3-pt shot from 23 ft (assist by D. DeRozan),3,56-51,,
0:27.0,,,56-51,,J. Harden misses 3-pt shot from 24 ft
0:26.0,Defensive rebound by D. DeRozan,,56-51,,
0:08.0,D. DeRozan makes 2-pt shot at rim,2,58-51,,
0:00.0,,,58-54,3,J. Harden makes 3-pt shot from 24 ft
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:41.0,J. Valanciunas misses 2-pt shot from 5 ft (block by D. Howard),,58-54,,
11:40.0,,,58-54,,Defensive rebound by T. Ariza
11:33.0,,,58-54,,Turnover by T. Ariza (bad pass)
11:14.0,,,58-54,,Personal foul by D. Howard
11:08.0,Shooting foul by D. Howard (drawn by J. Valanciunas),,58-54,,
11:08.0,J. Valanciunas makes free throw 1 of 2,1,59-54,,
11:08.0,,,59-54,,C. Capela enters the game for D. Howard
11:08.0,J. Valanciunas misses free throw 2 of 2,,59-54,,
11:08.0,,,59-54,,Defensive rebound by J. Harden
10:55.0,,,59-56,2,J. Harden makes 2-pt shot from 3 ft
10:37.0,,,59-56,,Personal foul by T. Ariza
10:27.0,Turnover by N. Powell (traveling),,59-56,,
10:16.0,,,59-58,2,D. Motiejunas makes 2-pt shot from 8 ft (assist by J. Harden)
10:11.0,Offensive charge foul by L. Scola,,59-58,,
10:11.0,Turnover by L. Scola (offensive foul),,59-58,,
9:55.0,,,59-58,,T. Ariza misses 3-pt shot from 24 ft
9:55.0,Defensive rebound by L. Scola,,59-58,,
9:43.0,J. Valanciunas misses 2-pt shot from 2 ft (block by C. Capela),,59-58,,
9:42.0,Offensive rebound by J. Valanciunas,,59-58,,
9:41.0,J. Valanciunas makes 2-pt shot from 1 ft,2,61-58,,
9:33.0,,,61-58,,Shooting foul by N. Powell (drawn by J. Harden)
9:33.0,,,61-59,1,J. Harden makes free throw 1 of 3
9:33.0,,,61-60,1,J. Harden makes free throw 2 of 3
9:33.0,,,61-61,1,J. Harden makes free throw 3 of 3
9:14.0,J. Valanciunas makes 2-pt shot from 5 ft (assist by K. Lowry),2,63-61,,
9:01.0,,,63-61,,C. Capela misses 2-pt shot from 1 ft
8:59.0,,,63-61,,Offensive rebound by C. Capela
8:59.0,,,63-61,,C. Capela misses 2-pt shot from 1 ft (block by K. Lowry)
8:57.0,Defensive rebound by L. Scola,,63-61,,
8:42.0,N. Powell misses 3-pt shot from 24 ft,,63-61,,
8:39.0,,,63-61,,Defensive rebound by C. Capela
8:30.0,,,63-64,3,D. Motiejunas makes 3-pt shot from 25 ft (assist by J. Harden)
8:16.0,L. Scola makes 3-pt shot from 23 ft (assist by K. Lowry),3,66-64,,
7:51.0,,,66-66,2,J. Harden makes 2-pt shot from 5 ft
7:37.0,Turnover by D. DeRozan (offensive foul),,66-66,,
7:37.0,Offensive charge foul by D. DeRozan,,66-66,,
7:26.0,,,66-66,,Shooting foul by D. DeRozan (drawn by C. Capela)
7:26.0,,,66-66,,C. Capela misses free throw 1 of 2
7:26.0,,,66-66,,Offensive rebound by Team
7:26.0,,,66-66,,M. Beasley enters the game for D. Motiejunas
7:26.0,,,66-66,,C. Capela misses free throw 2 of 2
7:25.0,Defensive rebound by J. Valanciunas,,66-66,,
7:06.0,Turnover by L. Scola (bad pass),,66-66,,
6:54.0,,,66-66,,Turnover by J. Harden (lost ball; steal by N. Powell)
6:50.0,D. DeRozan makes 2-pt shot at rim (assist by N. Powell),2,68-66,,
6:31.0,,,68-66,,M. Beasley misses 2-pt shot from 2 ft (block by J. Valanciunas)
6:30.0,Defensive rebound by J. Valanciunas,,68-66,,
6:20.0,,,68-66,,Personal foul by M. Beasley
6:06.0,K. Lowry misses 2-pt shot from 7 ft,,68-66,,
6:05.0,,,68-66,,Defensive rebound by M. Beasley
5:54.0,,,68-66,,T. Ariza misses 3-pt shot from 23 ft
5:54.0,Defensive rebound by Team,,68-66,,
5:54.0,,,68-66,,Houston full timeout
5:54.0,,,68-66,,J. Terry enters the game for P. Beverley
5:32.0,K. Lowry misses 2-pt shot from 9 ft,,68-66,,
5:32.0,Offensive rebound by J. Valanciunas,,68-66,,
5:32.0,J. Valanciunas misses 2-pt shot from 2 ft,,68-66,,
5:31.0,,,68-66,,Defensive rebound by Team
5:31.0,Loose ball foul by J. Valanciunas,,68-66,,
5:23.0,,,68-66,,Shooting foul by J. Valanciunas (drawn by M. Beasley)
5:23.0,,,68-67,1,M. Beasley makes free throw 1 of 2
5:23.0,B. Biyombo enters the game for J. Valanciunas,,68-67,,
5:23.0,,,68-67,,M. Beasley misses free throw 2 of 2
5:23.0,Defensive rebound by B. Biyombo,,68-67,,
5:08.0,,,68-67,,Violation by T. Ariza (kicked ball)
4:58.0,Shooting foul by M. Beasley (drawn by D. DeRozan),,68-67,,
4:58.0,D. DeRozan makes free throw 1 of 2,1,69-67,,
4:58.0,D. DeRozan makes free throw 2 of 2,1,70-67,,
4:44.0,,,70-67,,T. Ariza misses 2-pt shot from 7 ft
4:43.0,,,70-67,,Offensive rebound by C. Capela
4:42.0,,,70-69,2,C. Capela makes 2-pt shot from 5 ft
4:20.0,Shooting foul by C. Capela (drawn by K. Lowry),,70-69,,
4:20.0,K. Lowry makes free throw 1 of 3,1,71-69,,
4:20.0,K. Lowry misses free throw 2 of 3,,71-69,,
4:20.0,Offensive rebound by Team,,71-69,,
4:20.0,K. Lowry makes free throw 3 of 3,1,72-69,,
4:17.0,Personal take foul by B. Biyombo,,72-69,,
4:17.0,,,72-69,,C. Capela misses free throw 1 of 2
4:17.0,,,72-69,,Offensive rebound by Team
4:17.0,,,72-70,1,C. Capela makes free throw 2 of 2
3:51.0,K. Lowry misses 2-pt shot from 21 ft,,72-70,,
3:50.0,,,72-70,,Defensive rebound by J. Harden
3:40.0,,,72-72,2,M. Beasley makes 2-pt shot from 4 ft (assist by J. Harden)
3:16.0,D. DeRozan makes 3-pt shot from 25 ft (assist by L. Scola),3,75-72,,
3:05.0,Personal take foul by B. Biyombo,,75-72,,
3:05.0,,,75-72,,C. Capela misses free throw 1 of 2
3:05.0,,,75-72,,Offensive rebound by Team
3:05.0,P. Patterson enters the game for L. Scola,,75-72,,
3:05.0,,,75-72,,C. Capela misses free throw 2 of 2
3:05.0,Defensive rebound by N. Powell,,75-72,,
2:42.0,K. Lowry misses 3-pt shot from 28 ft,,75-72,,
2:41.0,,,75-72,,Defensive rebound by J. Harden
2:35.0,,,75-72,,J. Harden misses 3-pt shot from 24 ft
2:34.0,,,75-72,,Offensive rebound by C. Capela
2:29.0,,,75-72,,J. Terry misses 3-pt shot from 25 ft
2:28.0,Defensive rebound by N. Powell,,75-72,,
2:22.0,B. Biyombo makes 2-pt shot at rim (assist by K. Lowry),2,77-72,,
2:15.0,Personal take foul by K. Lowry,,77-72,,
2:15.0,Toronto full timeout,,77-72,,
2:15.0,C. Joseph enters the game for K. Lowry,,77-72,,
2:15.0,,,77-72,,C. Capela misses free throw 1 of 2
2:15.0,,,77-72,,Offensive rebound by Team
2:15.0,,,77-73,1,C. Capela makes free throw 2 of 2
2:03.0,Turnover by C. Joseph (lost ball; steal by T. Ariza),,77-73,,
1:58.0,,,77-73,,J. Harden misses 2-pt shot from 2 ft
1:57.0,,,77-73,,Offensive rebound by C. Capela
1:57.0,,,77-75,2,C. Capela makes 2-pt shot from 1 ft
1:43.0,,,77-75,,Shooting block foul by C. Capela (drawn by D. DeRozan)
1:43.0,D. DeRozan makes free throw 1 of 2,1,78-75,,
1:43.0,,,78-75,,C. Brewer enters the game for C. Capela
1:43.0,D. DeRozan misses free throw 2 of 2,,78-75,,
1:43.0,,,78-75,,Defensive rebound by J. Harden
1:32.0,,,78-77,2,J. Harden makes 2-pt shot from 3 ft
1:07.0,P. Patterson misses 3-pt shot from 23 ft,,78-77,,
1:06.0,,,78-77,,Defensive rebound by J. Harden
1:00.0,,,78-77,,C. Brewer misses 2-pt shot from 1 ft
0:59.0,Defensive rebound by C. Joseph,,78-77,,
0:46.0,B. Biyombo misses 2-pt shot from 2 ft (block by M. Beasley),,78-77,,
0:45.0,,,78-77,,Defensive rebound by T. Ariza
0:37.0,,,78-77,,T. Ariza misses 3-pt shot from 25 ft
0:36.0,Defensive rebound by C. Joseph,,78-77,,
0:14.0,N. Powell misses 3-pt shot from 23 ft,,78-77,,
0:13.0,,,78-77,,Defensive rebound by J. Terry
0:00.0,,,78-79,2,J. Harden makes 2-pt shot from 12 ft
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:45.0,,,78-79,,J. Terry misses 2-pt shot from 16 ft
11:44.0,Defensive rebound by P. Patterson,,78-79,,
11:29.0,Turnover by C. Joseph (lost ball; steal by J. Harden),,78-79,,
11:23.0,,,78-81,2,J. Terry makes 2-pt shot from 21 ft (assist by J. Harden)
10:54.0,C. Joseph misses 2-pt shot from 15 ft,,78-81,,
10:53.0,,,78-81,,Defensive rebound by J. Harden
10:43.0,,,78-83,2,M. Beasley makes 2-pt shot from 19 ft (assist by J. Terry)
10:43.0,Toronto full timeout,,78-83,,
10:30.0,Offensive foul by C. Joseph,,78-83,,
10:30.0,Turnover by C. Joseph (offensive foul),,78-83,,
10:17.0,,,78-86,3,J. Harden makes 3-pt shot from 24 ft
10:03.0,P. Patterson makes 2-pt shot from 1 ft (assist by K. Lowry),2,80-86,,
9:47.0,,,80-89,3,J. Terry makes 3-pt shot from 24 ft (assist by J. Harden)
9:25.0,K. Lowry misses 2-pt shot from 19 ft,,80-89,,
9:24.0,,,80-89,,Defensive rebound by M. Beasley
9:18.0,,,80-91,2,C. Brewer makes 2-pt shot from 3 ft (assist by J. Harden)
9:18.0,,,80-91,,Shooting foul by J. Johnson (drawn by C. Brewer)
9:18.0,D. DeRozan enters the game for B. Biyombo,,80-91,,
9:18.0,J. Valanciunas enters the game for J. Johnson,,80-91,,
9:18.0,,,80-92,1,C. Brewer makes free throw 1 of 1
8:54.0,C. Joseph makes 3-pt shot from 23 ft (assist by J. Valanciunas),3,83-92,,
8:33.0,,,83-92,,J. Harden misses 3-pt shot from 25 ft
8:32.0,Defensive rebound by J. Valanciunas,,83-92,,
8:24.0,Shooting foul by J. Harden (drawn by J. Valanciunas),,83-92,,
8:24.0,J. Valanciunas makes free throw 1 of 2,1,84-92,,
8:24.0,J. Valanciunas makes free throw 2 of 2,1,85-92,,
8:10.0,,,85-92,,Shooting foul by J. Valanciunas (drawn by M. Beasley)
8:10.0,,,85-93,1,M. Beasley makes free throw 1 of 2
8:10.0,,,85-93,,M. Beasley misses free throw 2 of 2
8:10.0,Defensive rebound by P. Patterson,,85-93,,
7:43.0,D. DeRozan makes 2-pt shot from 20 ft,2,87-93,,
7:38.0,,,87-93,,D. Howard enters the game for M. Beasley
7:34.0,,,87-95,2,C. Brewer makes 2-pt shot from 19 ft (assist by J. Terry)
7:22.0,K. Lowry makes 2-pt shot from 1 ft,2,89-95,,
7:22.0,Shooting foul by D. Howard (drawn by K. Lowry),,89-95,,
7:22.0,N. Powell enters the game for P. Patterson,,89-95,,
7:22.0,K. Lowry misses free throw 1 of 1,,89-95,,
7:22.0,,,89-95,,Defensive rebound by J. Harden
7:03.0,,,89-95,,J. Terry misses 2-pt shot from 14 ft
7:02.0,Defensive rebound by K. Lowry,,89-95,,
6:52.0,D. DeRozan misses 3-pt shot from 25 ft,,89-95,,
6:51.0,,,89-95,,Defensive rebound by J. Harden
6:45.0,,,89-95,,Turnover by J. Harden (lost ball; steal by K. Lowry)
6:39.0,C. Joseph misses 2-pt shot from 2 ft (block by P. Beverley),,89-95,,
6:39.0,Offensive rebound by D. DeRozan,,89-95,,
6:39.0,Shooting foul by C. Brewer (drawn by D. DeRozan),,89-95,,
6:39.0,D. DeRozan makes free throw 1 of 2,1,90-95,,
6:39.0,,,90-95,,T. Ariza enters the game for J. Terry
6:39.0,D. DeRozan makes free throw 2 of 2,1,91-95,,
6:18.0,,,91-97,2,C. Brewer makes 2-pt shot from 2 ft (assist by D. Howard)
5:57.0,C. Joseph misses 3-pt shot from 23 ft,,91-97,,
5:56.0,,,91-97,,Defensive rebound by J. Harden
5:48.0,,,91-97,,J. Harden misses 2-pt shot from 2 ft (block by N. Powell)
5:48.0,,,91-97,,Offensive rebound by Team
5:48.0,,,91-97,,Houston full timeout
5:37.0,,,91-97,,J. Harden misses 2-pt shot from 16 ft
5:36.0,Defensive rebound by J. Valanciunas,,91-97,,
5:26.0,K. Lowry misses 2-pt shot from 2 ft,,91-97,,
5:25.0,,,91-97,,Defensive rebound by C. Brewer
5:19.0,,,91-100,3,T. Ariza makes 3-pt shot from 23 ft (assist by C. Brewer)
4:57.0,D. DeRozan misses 2-pt shot from 18 ft,,91-100,,
4:56.0,Offensive rebound by J. Valanciunas,,91-100,,
4:44.0,K. Lowry makes 3-pt shot from 24 ft,3,94-100,,
4:29.0,,,94-100,,Shooting foul by N. Powell (drawn by J. Harden)
4:29.0,,,94-101,1,J. Harden makes free throw 1 of 2
4:29.0,,,94-101,,J. Harden misses free throw 2 of 2
4:29.0,Defensive rebound by J. Valanciunas,,94-101,,
4:18.0,Shooting foul by J. Harden (drawn by J. Valanciunas),,94-101,,
4:18.0,J. Valanciunas misses free throw 1 of 2,,94-101,,
4:18.0,Offensive rebound by Team,,94-101,,
4:18.0,J. Valanciunas makes free throw 2 of 2,1,95-101,,
4:05.0,,,95-103,2,P. Beverley makes 2-pt shot from 8 ft
