time,Cleveland,pts.away,score,pts.home,Miami
8:03.0,T. Mozgov enters the game for T. Thompson,,28-40,,
7:56.0,Turnover by M. Dellavedova (bad pass; steal by T. Johnson),,28-40,,
7:45.0,,,28-40,,Shooting foul by J. Cunningham (drawn by J. Winslow)
7:45.0,,,28-40,,J. Winslow misses free throw 1 of 2
7:45.0,,,28-40,,Offensive rebound by Team
7:45.0,,,28-40,,G. Dragic enters the game for T. Johnson
7:45.0,J. Smith enters the game for R. Jefferson,,28-40,,
7:45.0,,,28-41,1,J. Winslow makes free throw 2 of 2
7:28.0,J. Smith misses 3-pt shot from 23 ft,,28-41,,
7:27.0,Offensive rebound by J. Smith,,28-41,,
7:21.0,J. Cunningham makes 3-pt shot from 24 ft (assist by K. Love),3,31-41,,
7:04.0,,,31-41,,G. Dragic misses 3-pt shot from 25 ft
7:03.0,Defensive rebound by K. Love,,31-41,,
6:55.0,J. Cunningham misses 3-pt shot from 23 ft,,31-41,,
6:54.0,Offensive rebound by K. Love,,31-41,,
6:38.0,M. Dellavedova misses 3-pt shot from 25 ft,,31-41,,
6:37.0,,,31-41,,Defensive rebound by U. Haslem
6:27.0,,,31-44,3,G. Dragic makes 3-pt shot from 24 ft (assist by D. Wade)
6:07.0,T. Mozgov makes 2-pt shot from 2 ft (assist by J. Smith),2,33-44,,
5:59.0,,,33-44,,Miami full timeout
5:59.0,,,33-44,,G. Green enters the game for U. Haslem
5:59.0,,,33-44,,H. Whiteside enters the game for J. Winslow
5:53.0,,,33-44,,Turnover by C. Bosh (bad pass; steal by T. Mozgov)
5:38.0,Turnover by J. Smith (bad pass; steal by G. Green),,33-44,,
5:32.0,,,33-46,2,D. Wade makes 2-pt shot from 3 ft
5:15.0,Turnover by K. Love (bad pass),,33-46,,
5:01.0,,,33-46,,Turnover by G. Dragic (bad pass; steal by T. Mozgov)
4:52.0,K. Love misses 2-pt shot from 7 ft,,33-46,,
4:51.0,,,33-46,,Defensive rebound by G. Green
4:45.0,,,33-46,,Turnover by G. Green (bad pass; steal by J. Cunningham)
4:41.0,J. Cunningham makes 2-pt shot at rim,2,35-46,,
4:26.0,,,35-46,,T. Johnson enters the game for D. Wade
4:26.0,T. Thompson enters the game for K. Love,,35-46,,
4:26.0,R. Jefferson enters the game for J. Cunningham,,35-46,,
4:20.0,,,35-46,,G. Green misses 2-pt shot from 18 ft
4:19.0,,,35-46,,Offensive rebound by H. Whiteside
4:16.0,,,35-46,,Shooting foul by M. Dellavedova (drawn by H. Whiteside)
4:16.0,,,35-47,1,H. Whiteside makes free throw 1 of 2
4:16.0,,,35-48,1,H. Whiteside makes free throw 2 of 2
4:03.0,J. Smith makes 2-pt shot from 17 ft,2,37-48,,
3:41.0,,,37-50,2,G. Green makes 2-pt shot at rim
3:41.0,,,37-50,,Shooting foul by T. Mozgov (drawn by G. Green)
3:41.0,,,37-51,1,G. Green makes free throw 1 of 1
3:30.0,,,37-51,,Personal foul by G. Dragic (drawn by M. Dellavedova)
3:27.0,,,37-51,,Personal foul by G. Dragic (drawn by M. Dellavedova)
3:27.0,Cleveland full timeout,,37-51,,
3:19.0,M. Dellavedova misses 2-pt shot from 2 ft,,37-51,,
3:18.0,Offensive rebound by T. Thompson,,37-51,,
2:59.0,J. Smith misses 3-pt shot from 24 ft,,37-51,,
2:58.0,,,37-51,,Defensive rebound by G. Green
2:46.0,,,37-53,2,G. Green makes 2-pt shot at rim
2:33.0,J. Smith misses 2-pt shot from 5 ft (block by H. Whiteside),,37-53,,
2:32.0,,,37-53,,Defensive rebound by H. Whiteside
2:22.0,,,37-53,,T. Johnson misses 3-pt shot from 24 ft
2:21.0,Defensive rebound by T. Mozgov,,37-53,,
2:11.0,J. Smith misses 2-pt shot from 20 ft,,37-53,,
2:10.0,,,37-53,,Defensive rebound by H. Whiteside
2:01.0,,,37-55,2,G. Dragic makes 2-pt shot from 2 ft
1:40.0,T. Mozgov misses 2-pt shot from 15 ft,,37-55,,
1:39.0,,,37-55,,Defensive rebound by C. Bosh
1:32.0,,,37-55,,Shooting foul by T. Thompson (drawn by C. Bosh)
1:32.0,,,37-56,1,C. Bosh makes free throw 1 of 2
1:32.0,,,37-56,,D. Wade enters the game for G. Dragic
1:32.0,,,37-56,,J. McRoberts enters the game for H. Whiteside
1:32.0,J. Cunningham enters the game for M. Dellavedova,,37-56,,
1:32.0,J. Jones enters the game for T. Mozgov,,37-56,,
1:32.0,,,37-57,1,C. Bosh makes free throw 2 of 2
1:20.0,R. Jefferson misses 2-pt shot from 1 ft (block by T. Johnson),,37-57,,
1:19.0,Offensive rebound by Team,,37-57,,
1:14.0,Shooting foul by G. Green (drawn by J. Smith),,37-57,,
1:14.0,J. Smith makes free throw 1 of 2,1,38-57,,
1:14.0,,,38-57,,J. Winslow enters the game for G. Green
1:14.0,J. Smith makes free throw 2 of 2,1,39-57,,
1:00.0,,,39-59,2,J. Winslow makes 2-pt shot from 1 ft (assist by C. Bosh)
0:49.0,J. Jones misses 2-pt shot from 21 ft,,39-59,,
0:48.0,,,39-59,,Defensive rebound by D. Wade
0:37.0,,,39-59,,D. Wade misses 2-pt shot from 17 ft
0:37.0,Defensive rebound by Team,,39-59,,
0:37.0,,,39-59,,Loose ball foul by J. Winslow (drawn by J. Smith)
0:37.0,J. Smith makes free throw 1 of 2,1,40-59,,
0:37.0,,,40-59,,J. Richardson enters the game for J. Winslow
0:37.0,J. Smith misses free throw 2 of 2,,40-59,,
0:36.0,Offensive rebound by J. Jones,,40-59,,
0:32.0,R. Jefferson makes 2-pt shot from 14 ft,2,42-59,,
0:32.0,Shooting foul by T. Johnson (drawn by R. Jefferson),,42-59,,
0:32.0,R. Jefferson misses free throw 1 of 1,,42-59,,
0:31.0,,,42-59,,Defensive rebound by C. Bosh
0:14.0,,,42-59,,Shooting foul by T. Thompson (drawn by D. Wade)
0:14.0,,,42-59,,D. Wade misses free throw 1 of 2
0:14.0,,,42-59,,Offensive rebound by Team
0:14.0,,,42-60,1,D. Wade makes free throw 2 of 2
0:03.0,Turnover by J. Cunningham (lost ball; steal by D. Wade),,42-60,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:48.0,,,42-62,2,H. Whiteside makes 2-pt shot at rim (assist by D. Wade)
11:48.0,,,42-62,,Shooting foul by K. Love (drawn by H. Whiteside)
11:48.0,,,42-63,1,H. Whiteside makes free throw 1 of 1
11:25.0,K. Love misses 3-pt shot from 24 ft,,42-63,,
11:24.0,,,42-63,,Defensive rebound by C. Bosh
11:24.0,J. Cunningham enters the game for J. Smith,,42-63,,
11:08.0,,,42-65,2,C. Bosh makes 2-pt shot from 15 ft (assist by G. Dragic)
10:47.0,Turnover by M. Dellavedova (bad pass; steal by H. Whiteside),,42-65,,
10:41.0,,,42-68,3,G. Green makes 3-pt shot from 23 ft (assist by G. Dragic)
10:22.0,M. Dellavedova makes 3-pt shot from 25 ft,3,45-68,,
10:06.0,,,45-68,,G. Dragic misses 2-pt shot from 17 ft
10:05.0,Defensive rebound by K. Love,,45-68,,
9:54.0,K. Love misses 3-pt shot from 24 ft,,45-68,,
9:53.0,,,45-68,,Defensive rebound by H. Whiteside
9:40.0,,,45-68,,D. Wade misses 2-pt shot from 13 ft
9:39.0,,,45-68,,Offensive rebound by D. Wade
9:35.0,,,45-68,,G. Green misses 3-pt shot from 25 ft
9:34.0,Defensive rebound by T. Mozgov,,45-68,,
9:26.0,K. Love misses 3-pt shot from 24 ft,,45-68,,
9:25.0,,,45-68,,Defensive rebound by H. Whiteside
9:10.0,,,45-68,,D. Wade misses 2-pt shot from 16 ft
9:09.0,,,45-68,,Offensive rebound by Team
9:08.0,Loose ball foul by R. Jefferson (drawn by H. Whiteside),,45-68,,
9:04.0,Personal foul by R. Jefferson (drawn by G. Green),,45-68,,
8:47.0,,,45-68,,G. Dragic misses 2-pt shot from 22 ft
8:46.0,Defensive rebound by T. Mozgov,,45-68,,
8:39.0,K. Love makes 2-pt shot from 7 ft,2,47-68,,
8:39.0,Shooting foul by D. Wade (drawn by K. Love),,47-68,,
8:39.0,K. Love makes free throw 1 of 1,1,48-68,,
8:30.0,Violation by M. Dellavedova (kicked ball),,48-68,,
8:15.0,,,48-70,2,D. Wade makes 2-pt shot at rim (assist by G. Dragic)
8:05.0,,,48-70,,Personal foul by D. Wade (drawn by J. Cunningham)
8:01.0,Turnover by T. Mozgov (bad pass),,48-70,,
7:38.0,,,48-70,,G. Green misses 3-pt shot from 24 ft
7:37.0,,,48-70,,Offensive rebound by H. Whiteside
7:37.0,,,48-70,,Turnover by Team (shot clock)
7:37.0,Cleveland full timeout,,48-70,,
7:37.0,J. Smith enters the game for T. Mozgov,,48-70,,
7:37.0,T. Thompson enters the game for J. Cunningham,,48-70,,
7:19.0,J. Smith makes 2-pt shot from 9 ft,2,50-70,,
7:03.0,,,50-70,,G. Green misses 3-pt shot from 24 ft
7:02.0,Defensive rebound by M. Dellavedova,,50-70,,
6:55.0,M. Dellavedova makes 2-pt shot from 7 ft,2,52-70,,
6:40.0,,,52-70,,Shooting foul by J. Smith (drawn by C. Bosh)
6:40.0,,,52-70,,C. Bosh misses free throw 1 of 2
6:40.0,,,52-70,,Offensive rebound by Team
6:40.0,,,52-71,1,C. Bosh makes free throw 2 of 2
6:30.0,J. Smith misses 2-pt shot from 21 ft (block by H. Whiteside),,52-71,,
6:29.0,,,52-71,,Defensive rebound by D. Wade
6:23.0,,,52-71,,Turnover by G. Dragic (discontinued dribble)
6:21.0,,,52-71,,Personal foul by G. Dragic (drawn by M. Dellavedova)
6:21.0,,,52-71,,T. Johnson enters the game for G. Dragic
6:21.0,Offensive foul by K. Love,,52-71,,
6:21.0,Turnover by K. Love (offensive foul),,52-71,,
6:07.0,,,52-71,,G. Green misses 2-pt shot from 4 ft
6:06.0,Defensive rebound by M. Dellavedova,,52-71,,
5:58.0,J. Smith makes 3-pt shot from 23 ft (assist by M. Dellavedova),3,55-71,,
5:46.0,,,55-73,2,D. Wade makes 2-pt shot from 1 ft (assist by G. Green)
5:46.0,,,55-73,,Shooting foul by J. Smith (drawn by D. Wade)
5:46.0,,,55-73,,J. McRoberts enters the game for C. Bosh
5:46.0,,,55-74,1,D. Wade makes free throw 1 of 1
5:26.0,R. Jefferson makes 2-pt shot at rim (assist by M. Dellavedova),2,57-74,,
5:14.0,,,57-74,,Shooting foul by T. Thompson (drawn by H. Whiteside)
5:14.0,,,57-74,,H. Whiteside misses free throw 1 of 2
5:14.0,,,57-74,,Offensive rebound by Team
5:14.0,,,57-74,,H. Whiteside misses free throw 2 of 2
5:13.0,Defensive rebound by T. Thompson,,57-74,,
4:59.0,J. Smith misses 3-pt shot from 24 ft,,57-74,,
4:58.0,,,57-74,,Defensive rebound by H. Whiteside
4:47.0,,,57-74,,Turnover by T. Johnson (bad pass; steal by T. Thompson)
4:41.0,,,57-74,,Personal foul by G. Green (drawn by R. Jefferson)
4:41.0,M. Williams enters the game for M. Dellavedova,,57-74,,
4:23.0,R. Jefferson misses 3-pt shot from 25 ft,,57-74,,
4:22.0,Offensive rebound by Team,,57-74,,
4:22.0,Turnover by Team (shot clock),,57-74,,
4:07.0,Violation by T. Thompson (def goaltending),,57-74,,
4:07.0,,,57-76,2,D. Wade makes 2-pt shot from 1 ft (assist by J. McRoberts)
3:55.0,K. Love misses 3-pt shot from 25 ft,,57-76,,
3:54.0,,,57-76,,Defensive rebound by D. Wade
3:44.0,,,57-79,3,T. Johnson makes 3-pt shot from 24 ft (assist by J. McRoberts)
3:26.0,K. Love misses 2-pt shot from 5 ft (block by H. Whiteside),,57-79,,
3:23.0,Offensive rebound by K. Love,,57-79,,
3:22.0,T. Thompson makes 2-pt shot at rim (assist by R. Jefferson),2,59-79,,
3:22.0,Shooting foul by G. Green (drawn by T. Thompson),,59-79,,
3:22.0,,,59-79,,J. Winslow enters the game for G. Green
3:22.0,J. Cunningham enters the game for R. Jefferson,,59-79,,
3:22.0,T. Thompson misses free throw 1 of 1,,59-79,,
3:20.0,,,59-79,,Defensive rebound by H. Whiteside
2:57.0,,,59-79,,Turnover by Team (shot clock)
2:57.0,,,59-79,,Miami full timeout
2:44.0,Turnover by J. Smith (bad pass),,59-79,,
2:29.0,,,59-79,,Shooting foul by J. Cunningham (drawn by D. Wade)
2:29.0,,,59-79,,D. Wade misses free throw 1 of 2
2:29.0,,,59-79,,Offensive rebound by Team
2:29.0,J. Jones enters the game for K. Love,,59-79,,
2:29.0,,,59-80,1,D. Wade makes free throw 2 of 2
2:12.0,M. Williams makes 3-pt shot from 24 ft (assist by J. Jones),3,62-80,,
1:53.0,,,62-80,,J. McRoberts misses 2-pt shot from 2 ft
1:52.0,Defensive rebound by T. Thompson,,62-80,,
1:46.0,M. Williams misses 2-pt shot from 1 ft,,62-80,,
1:45.0,Offensive rebound by Team,,62-80,,
1:43.0,Shooting foul by J. McRoberts (drawn by J. Cunningham),,62-80,,
1:43.0,J. Cunningham makes free throw 1 of 2,1,63-80,,
1:43.0,J. Cunningham makes free throw 2 of 2,1,64-80,,
1:27.0,,,64-80,,D. Wade misses 2-pt shot from 4 ft
1:26.0,Defensive rebound by T. Thompson,,64-80,,
1:22.0,Turnover by M. Williams (bad pass),,64-80,,
1:08.0,,,64-80,,J. Winslow misses 3-pt shot from 23 ft
1:07.0,Defensive rebound by T. Thompson,,64-80,,
0:56.0,J. Smith misses 3-pt shot from 24 ft,,64-80,,
0:55.0,Offensive rebound by J. Smith,,64-80,,
0:46.0,M. Williams misses 3-pt shot from 23 ft,,64-80,,
0:45.0,,,64-80,,Defensive rebound by H. Whiteside
0:30.0,,,64-82,2,D. Wade makes 2-pt shot from 2 ft
0:11.0,M. Williams misses 2-pt shot from 14 ft (block by H. Whiteside),,64-82,,
0:10.0,,,64-82,,Defensive rebound by J. Winslow
0:08.0,Flagrant foul type 1 by J. Smith (drawn by H. Whiteside),,64-82,,
0:08.0,,,64-82,,H. Whiteside misses flagrant free throw 1 of 2
0:08.0,,,64-82,,Offensive rebound by Team
0:08.0,,,64-82,,H. Whiteside misses flagrant free throw 2 of 2
0:08.0,,,64-82,,Offensive rebound by Team
0:04.0,,,64-82,,Shooting foul by M. Williams (drawn by T. Johnson)
0:04.0,,,64-82,,T. Johnson misses free throw 1 of 2
0:04.0,,,64-82,,Offensive rebound by Team
0:04.0,,,64-83,1,T. Johnson makes free throw 2 of 2
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:38.0,M. Dellavedova misses 2-pt shot from 11 ft,,64-83,,
11:37.0,Offensive rebound by Team,,64-83,,
11:37.0,,,64-83,,Loose ball foul by J. Winslow (drawn by J. Jones)
11:37.0,R. Jefferson enters the game for M. Williams,,64-83,,
11:24.0,J. Cunningham misses 3-pt shot from 22 ft,,64-83,,
11:23.0,,,64-83,,Defensive rebound by G. Dragic
11:19.0,,,64-83,,J. Winslow misses 2-pt shot at rim (block by M. Dellavedova)
11:19.0,,,64-83,,Offensive rebound by Team
11:09.0,,,64-83,,Shooting foul by J. Jones (drawn by J. McRoberts)
11:09.0,,,64-84,1,J. McRoberts makes free throw 1 of 2
11:09.0,,,64-85,1,J. McRoberts makes free throw 2 of 2
10:47.0,T. Thompson makes 2-pt shot from 6 ft,2,66-85,,
10:29.0,,,66-85,,Shooting foul by T. Thompson (drawn by T. Johnson)
10:29.0,,,66-86,1,T. Johnson makes free throw 1 of 2
10:29.0,,,66-86,,U. Haslem enters the game for J. McRoberts
10:29.0,,,66-87,1,T. Johnson makes free throw 2 of 2
10:18.0,J. Jones misses 3-pt shot from 25 ft,,66-87,,
10:17.0,,,66-87,,Defensive rebound by T. Johnson
9:58.0,,,66-89,2,G. Dragic makes 2-pt shot from 12 ft
9:40.0,R. Jefferson misses 2-pt shot from 7 ft,,66-89,,
9:39.0,,,66-89,,Defensive rebound by G. Dragic
9:27.0,,,66-91,2,C. Bosh makes 2-pt shot at rim (assist by G. Dragic)
9:27.0,,,66-91,,Shooting foul by J. Jones (drawn by C. Bosh)
9:27.0,A. Varejao enters the game for T. Thompson,,66-91,,
9:27.0,,,66-91,,C. Bosh misses free throw 1 of 1
9:26.0,Defensive rebound by Team,,66-91,,
9:08.0,M. Dellavedova misses 3-pt shot from 24 ft,,66-91,,
9:07.0,,,66-91,,Defensive rebound by U. Haslem
8:44.0,,,66-91,,J. Winslow misses 2-pt shot from 2 ft
8:43.0,Defensive rebound by A. Varejao,,66-91,,
8:28.0,R. Jefferson misses 2-pt shot from 1 ft,,66-91,,
8:27.0,Offensive rebound by Team,,66-91,,
8:27.0,Official timeout,,66-91,,
8:27.0,S. Kaun enters the game for J. Jones,,66-91,,
8:18.0,Offensive foul by S. Kaun,,66-91,,
8:18.0,Turnover by S. Kaun (offensive foul),,66-91,,
7:58.0,,,66-93,2,T. Johnson makes 2-pt shot from 2 ft (assist by U. Haslem)
7:46.0,R. Jefferson misses 3-pt shot from 24 ft,,66-93,,
7:45.0,Offensive rebound by Team,,66-93,,
7:31.0,M. Dellavedova makes 2-pt shot from 15 ft,2,68-93,,
7:08.0,,,68-93,,U. Haslem misses 2-pt shot from 19 ft
7:07.0,Defensive rebound by R. Jefferson,,68-93,,
6:57.0,M. Dellavedova misses 2-pt shot from 11 ft,,68-93,,
6:57.0,Offensive rebound by Team,,68-93,,
6:57.0,,,68-93,,Personal foul by J. Winslow (drawn by A. Varejao)
6:57.0,,,68-93,,J. Richardson enters the game for T. Johnson
6:53.0,Shooting foul by J. Richardson (drawn by J. Cunningham),,68-93,,
6:53.0,J. Cunningham makes free throw 1 of 2,1,69-93,,
6:53.0,J. Jones enters the game for M. Dellavedova,,69-93,,
6:53.0,J. Cunningham makes free throw 2 of 2,1,70-93,,
6:40.0,,,70-93,,Turnover by C. Bosh (bad pass; steal by A. Varejao)
6:29.0,R. Jefferson makes 2-pt shot from 21 ft,2,72-93,,
6:08.0,,,72-93,,Turnover by G. Dragic (traveling)
6:08.0,Cleveland full timeout,,72-93,,
6:08.0,,,72-93,,G. Green enters the game for J. Winslow
5:58.0,Shooting foul by G. Green (drawn by R. Jefferson),,72-93,,
5:58.0,R. Jefferson makes free throw 1 of 2,1,73-93,,
5:58.0,R. Jefferson misses free throw 2 of 2,,73-93,,
5:57.0,Offensive rebound by S. Kaun,,73-93,,
5:56.0,S. Kaun misses 2-pt shot from 2 ft (block by G. Green),,73-93,,
5:56.0,Jump ball: G. Green vs. S. Kaun (C. Bosh gains possession),,,,Jump ball: G. Green vs. S. Kaun (C. Bosh gains possession)
5:55.0,,,73-93,,Offensive rebound by Team
5:34.0,,,73-93,,G. Green misses 2-pt shot from 3 ft
5:33.0,Defensive rebound by A. Varejao,,73-93,,
5:24.0,R. Jefferson misses 3-pt shot from 23 ft,,73-93,,
5:23.0,,,73-93,,Defensive rebound by U. Haslem
5:15.0,,,73-93,,Turnover by G. Dragic (bad pass; steal by R. Jefferson)
5:14.0,,,73-93,,Personal foul by G. Green (drawn by R. Jefferson)
