time,Brooklyn,pts.away,score,pts.home,Memphis
5:40.0,Personal foul by B. Lopez (drawn by M. Gasol),,12-15,,
5:30.0,,,12-18,3,M. Conley makes 3-pt shot from 25 ft (assist by J. Green)
5:20.0,,,12-18,,Personal foul by J. Green (drawn by J. Johnson)
5:06.0,J. Jack misses 2-pt shot at rim,,12-18,,
5:02.0,,,12-18,,Defensive rebound by Z. Randolph
4:55.0,,,12-21,3,J. Green makes 3-pt shot from 23 ft (assist by M. Conley)
4:46.0,Shooting foul by M. Gasol (drawn by B. Lopez),,12-21,,
4:46.0,B. Lopez makes free throw 1 of 2,1,13-21,,
4:46.0,,,13-21,,J. Green enters the game for Z. Randolph
4:46.0,B. Lopez makes free throw 2 of 2,1,14-21,,
4:23.0,,,14-21,,M. Gasol misses 2-pt shot from 8 ft
4:18.0,Defensive rebound by B. Lopez,,14-21,,
4:11.0,J. Johnson makes 2-pt shot from 13 ft (assist by J. Jack),2,16-21,,
3:55.0,,,16-21,,Shooting foul by M. Brown (drawn by C. Lee)
3:55.0,,,16-22,1,C. Lee makes free throw 1 of 2
3:55.0,,,16-22,,B. Udrih enters the game for M. Conley
3:55.0,A. Bargnani enters the game for T. Young,,16-22,,
3:55.0,,,16-23,1,C. Lee makes free throw 2 of 2
3:35.0,Shooting foul by J. Green (drawn by A. Bargnani),,16-23,,
3:35.0,A. Bargnani makes free throw 1 of 2,1,17-23,,
3:35.0,,,17-23,,M. Barnes enters the game for C. Lee
3:35.0,B. Bogdanovic enters the game for M. Brown,,17-23,,
3:35.0,A. Bargnani misses free throw 2 of 2,,17-23,,
3:32.0,Offensive rebound by B. Lopez,,17-23,,
3:32.0,B. Lopez misses 2-pt shot at rim,,17-23,,
3:27.0,,,17-23,,Defensive rebound by J. Green
3:15.0,,,17-23,,Offensive foul by M. Gasol
3:15.0,,,17-23,,Turnover by M. Gasol (offensive foul)
2:57.0,B. Lopez misses 2-pt shot from 3 ft,,17-23,,
2:57.0,,,17-23,,Defensive rebound by Team
2:57.0,Loose ball foul by B. Lopez (drawn by M. Gasol),,17-23,,
2:57.0,Brooklyn full timeout,,17-23,,
2:57.0,S. Larkin enters the game for B. Lopez,,17-23,,
2:57.0,T. Robinson enters the game for J. Jack,,17-23,,
2:57.0,,,17-24,1,M. Gasol makes free throw 1 of 2
2:57.0,,,17-24,,M. Gasol misses free throw 2 of 2
2:56.0,Defensive rebound by J. Johnson,,17-24,,
2:32.0,B. Bogdanovic makes 2-pt shot from 7 ft,2,19-24,,
2:14.0,,,19-27,3,J. Green makes 3-pt shot from 22 ft (assist by B. Udrih)
2:02.0,,,19-27,,Personal foul by M. Barnes (drawn by B. Bogdanovic)
2:02.0,,,19-27,,B. Wright enters the game for M. Gasol
2:02.0,B. Bogdanovic misses free throw 1 of 2,,19-27,,
2:02.0,Offensive rebound by Team,,19-27,,
2:02.0,R. Hollis-Jefferson enters the game for J. Johnson,,19-27,,
2:02.0,B. Bogdanovic makes free throw 2 of 2,1,20-27,,
1:51.0,,,20-27,,Turnover by B. Wright (bad pass)
1:32.0,A. Bargnani makes 2-pt shot from 10 ft (assist by R. Hollis-Jefferson),2,22-27,,
1:19.0,,,22-29,2,B. Udrih makes 2-pt shot from 1 ft
1:08.0,,,22-29,,Personal foul by M. Barnes (drawn by B. Bogdanovic)
1:08.0,B. Bogdanovic makes free throw 1 of 2,1,23-29,,
1:08.0,B. Bogdanovic makes free throw 2 of 2,1,24-29,,
0:49.0,,,24-29,,J. Green misses 2-pt shot from 3 ft
0:49.0,Defensive rebound by T. Robinson,,24-29,,
0:38.0,B. Bogdanovic makes 2-pt shot from 2 ft,2,26-29,,
0:30.0,,,26-29,,B. Udrih misses 3-pt shot from 24 ft
0:28.0,,,26-29,,Offensive rebound by J. Green
0:28.0,,,26-29,,J. Green misses 2-pt shot from 3 ft
0:25.0,,,26-29,,Offensive rebound by B. Wright
0:12.0,,,26-29,,Shooting foul by B. Bogdanovic (drawn by J. Green)
0:12.0,,,26-30,1,J. Green makes free throw 1 of 2
0:12.0,,,26-30,,T. Allen enters the game for B. Udrih
0:12.0,W. Ellington enters the game for T. Robinson,,26-30,,
0:12.0,,,26-31,1,J. Green makes free throw 2 of 2
0:01.0,S. Larkin misses 2-pt shot from 17 ft,,26-31,,
0:00.0,Offensive rebound by R. Hollis-Jefferson,,26-31,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:54.0,S. Larkin misses 2-pt shot from 1 ft (block by J. Green),,26-31,,
11:51.0,,,26-31,,Defensive rebound by B. Udrih
11:45.0,,,26-31,,Shooting foul by T. Robinson (drawn by J. Green)
11:45.0,,,26-32,1,J. Green makes free throw 1 of 2
11:45.0,,,26-32,,J. Green misses free throw 2 of 2
11:44.0,Defensive rebound by T. Robinson,,26-32,,
11:33.0,Turnover by A. Bargnani (bad pass; steal by M. Barnes),,26-32,,
11:28.0,,,26-34,2,M. Barnes makes 2-pt shot at rim
11:12.0,T. Robinson makes 2-pt shot from 1 ft (assist by S. Larkin),2,28-34,,
10:59.0,,,28-34,,B. Wright misses 2-pt shot at rim
10:59.0,,,28-34,,Offensive rebound by Team
10:53.0,,,28-34,,B. Udrih misses 2-pt shot from 17 ft
10:53.0,Defensive rebound by T. Robinson,,28-34,,
10:39.0,,,28-34,,M. Gasol enters the game for J. Green
10:31.0,B. Bogdanovic misses 3-pt shot from 22 ft,,28-34,,
10:30.0,,,28-34,,Defensive rebound by M. Gasol
10:17.0,,,28-37,3,B. Udrih makes 3-pt shot from 24 ft (assist by M. Gasol)
10:10.0,Brooklyn full timeout,,28-37,,
10:10.0,J. Jack enters the game for A. Bargnani,,28-37,,
10:10.0,T. Young enters the game for S. Larkin,,28-37,,
9:57.0,J. Jack misses 2-pt shot from 19 ft,,28-37,,
9:54.0,Offensive rebound by T. Robinson,,28-37,,
9:54.0,T. Robinson misses 2-pt shot at rim,,28-37,,
9:53.0,,,28-37,,Defensive rebound by Team
9:32.0,,,28-37,,B. Udrih misses 2-pt shot from 19 ft
9:32.0,Defensive rebound by B. Bogdanovic,,28-37,,
9:18.0,Turnover by T. Robinson (offensive goaltending),,28-37,,
9:18.0,,,28-37,,M. Conley enters the game for B. Udrih
9:05.0,,,28-37,,M. Gasol misses 2-pt shot from 5 ft
9:02.0,Defensive rebound by T. Robinson,,28-37,,
8:57.0,T. Young misses 2-pt shot from 6 ft,,28-37,,
8:57.0,,,28-37,,Defensive rebound by Team
8:33.0,,,28-37,,M. Gasol misses 2-pt shot from 20 ft
8:32.0,Defensive rebound by T. Young,,28-37,,
8:21.0,B. Bogdanovic makes 2-pt shot from 1 ft,2,30-37,,
8:05.0,,,30-37,,M. Barnes misses 2-pt shot from 1 ft
8:04.0,,,30-37,,Offensive rebound by B. Wright
8:04.0,,,30-39,2,B. Wright makes 2-pt shot at rim
7:52.0,J. Jack misses 2-pt shot from 11 ft,,30-39,,
7:52.0,,,30-39,,Defensive rebound by J. Green
7:44.0,,,30-39,,M. Barnes misses 3-pt shot from 23 ft
7:44.0,Defensive rebound by R. Hollis-Jefferson,,30-39,,
7:23.0,B. Bogdanovic makes 2-pt shot from 16 ft,2,32-39,,
7:00.0,,,32-39,,M. Gasol misses 2-pt shot from 7 ft (block by T. Robinson)
6:55.0,,,32-39,,Offensive rebound by M. Gasol
6:55.0,,,32-39,,M. Gasol misses 3-pt shot from 23 ft
6:54.0,Defensive rebound by J. Jack,,32-39,,
6:42.0,R. Hollis-Jefferson misses 2-pt shot from 5 ft,,32-39,,
6:42.0,Offensive rebound by Team,,32-39,,
6:42.0,,,32-39,,Z. Randolph enters the game for B. Wright
6:42.0,,,32-39,,T. Allen enters the game for J. Green
6:42.0,,,32-39,,C. Lee enters the game for M. Barnes
6:35.0,T. Young misses 2-pt shot from 17 ft,,32-39,,
6:34.0,Offensive rebound by T. Robinson,,32-39,,
6:33.0,Turnover by T. Robinson (step out of bounds),,32-39,,
6:16.0,,,32-39,,Z. Randolph misses 2-pt shot from 3 ft (block by T. Young)
6:15.0,,,32-39,,Offensive rebound by Z. Randolph
6:15.0,,,32-39,,Shooting foul by T. Young (drawn by Z. Randolph)
6:15.0,,,32-40,1,Z. Randolph makes free throw 1 of 2
6:15.0,J. Johnson enters the game for R. Hollis-Jefferson,,32-40,,
6:15.0,,,32-41,1,Z. Randolph makes free throw 2 of 2
6:03.0,T. Robinson makes 2-pt shot from 7 ft (assist by J. Johnson),2,34-41,,
5:53.0,Official timeout,,34-41,,
5:50.0,,,34-41,,M. Conley misses 2-pt shot from 17 ft
5:49.0,Defensive rebound by T. Robinson,,34-41,,
5:40.0,,,34-41,,Violation by T. Allen (kicked ball)
5:26.0,T. Young misses 2-pt shot from 8 ft,,34-41,,
5:25.0,,,34-41,,Defensive rebound by M. Gasol
5:16.0,,,34-41,,Turnover by C. Lee (illegal screen)
4:54.0,T. Robinson makes 2-pt shot from 2 ft (assist by J. Jack),2,36-41,,
4:40.0,,,36-43,2,C. Lee makes 2-pt shot from 8 ft (assist by M. Conley)
4:40.0,,,36-43,,Shooting foul by B. Bogdanovic (drawn by C. Lee)
4:40.0,,,36-44,1,C. Lee makes free throw 1 of 1
4:25.0,J. Jack misses 3-pt shot from 25 ft,,36-44,,
4:24.0,Offensive rebound by T. Robinson,,36-44,,
4:23.0,Shooting foul by Z. Randolph (drawn by T. Robinson),,36-44,,
4:23.0,T. Robinson makes 2-pt shot from 1 ft,2,38-44,,
4:23.0,A. Bargnani enters the game for T. Young,,38-44,,
4:23.0,T. Robinson misses free throw 1 of 1,,38-44,,
4:22.0,,,38-44,,Defensive rebound by Z. Randolph
4:09.0,,,38-44,,M. Conley misses 3-pt shot from 24 ft
4:08.0,Defensive rebound by T. Robinson,,38-44,,
3:59.0,J. Jack misses 2-pt shot from 1 ft,,38-44,,
3:58.0,Offensive rebound by T. Robinson,,38-44,,
3:56.0,Brooklyn full timeout,,38-44,,
3:42.0,B. Bogdanovic misses 2-pt shot from 7 ft,,38-44,,
3:40.0,,,38-44,,Defensive rebound by Z. Randolph
3:23.0,,,38-44,,Z. Randolph misses 2-pt shot from 7 ft
3:21.0,,,38-44,,Offensive rebound by Z. Randolph
3:21.0,,,38-46,2,Z. Randolph makes 2-pt shot from 1 ft
3:05.0,Shooting foul by T. Allen (drawn by J. Johnson),,38-46,,
3:05.0,J. Johnson makes free throw 1 of 2,1,39-46,,
3:05.0,J. Johnson makes free throw 2 of 2,1,40-46,,
2:50.0,,,40-46,,Turnover by Z. Randolph (bad pass; steal by B. Bogdanovic)
2:39.0,J. Johnson misses 3-pt shot from 26 ft,,40-46,,
2:39.0,,,40-46,,Defensive rebound by M. Gasol
2:29.0,,,40-48,2,T. Allen makes 2-pt shot from 1 ft (assist by M. Conley)
2:08.0,,,40-48,,Personal foul by M. Gasol (drawn by J. Jack)
2:08.0,,,40-48,,Memphis full timeout
2:08.0,,,40-48,,J. Green enters the game for M. Gasol
1:55.0,B. Bogdanovic misses 3-pt shot from 26 ft,,40-48,,
1:55.0,,,40-48,,Defensive rebound by T. Allen
1:43.0,,,40-50,2,J. Green makes 2-pt shot from 20 ft (assist by M. Conley)
1:24.0,,,40-50,,Def 3 sec tech foul by C. Lee
1:24.0,J. Jack makes technical free throw,1,41-50,,
1:24.0,R. Hollis-Jefferson enters the game for T. Robinson,,41-50,,
1:24.0,M. Brown enters the game for B. Bogdanovic,,41-50,,
1:24.0,,,41-50,,B. Udrih enters the game for M. Conley
1:10.0,M. Brown misses 3-pt shot from 24 ft,,41-50,,
1:10.0,,,41-50,,Defensive rebound by T. Allen
1:00.0,,,41-50,,Shooting foul by R. Hollis-Jefferson (drawn by J. Green)
1:00.0,,,41-51,1,J. Green makes free throw 1 of 2
1:00.0,T. Young enters the game for R. Hollis-Jefferson,,41-51,,
1:00.0,,,41-52,1,J. Green makes free throw 2 of 2
0:51.0,A. Bargnani makes 2-pt shot at rim (assist by J. Jack),2,43-52,,
0:38.0,,,43-54,2,C. Lee makes 2-pt shot from 2 ft (assist by J. Green)
0:26.0,J. Jack makes 2-pt shot from 6 ft,2,45-54,,
0:05.0,,,45-54,,Shooting foul by M. Brown (drawn by C. Lee)
0:05.0,,,45-55,1,C. Lee makes free throw 1 of 2
0:05.0,,,45-55,,J. Green enters the game for Z. Randolph
0:05.0,,,45-55,,M. Barnes enters the game for B. Udrih
0:05.0,,,45-56,1,C. Lee makes free throw 2 of 2
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:41.0,B. Lopez misses 2-pt shot from 16 ft,,45-56,,
11:39.0,,,45-56,,Defensive rebound by T. Allen
11:25.0,,,45-56,,Shooting foul by T. Young (drawn by Z. Randolph)
11:25.0,,,45-57,1,Z. Randolph makes free throw 1 of 2
11:25.0,,,45-57,,Z. Randolph misses free throw 2 of 2
11:23.0,Defensive rebound by B. Lopez,,45-57,,
11:12.0,J. Johnson misses 2-pt shot from 20 ft,,45-57,,
11:10.0,,,45-57,,Defensive rebound by Z. Randolph
10:57.0,,,45-59,2,Z. Randolph makes 2-pt shot from 5 ft (assist by M. Conley)
10:45.0,J. Jack makes 2-pt shot from 21 ft,2,47-59,,
10:28.0,,,47-62,3,C. Lee makes 3-pt shot from 24 ft (assist by Z. Randolph)
10:11.0,T. Young makes 2-pt shot from 6 ft (assist by J. Jack),2,49-62,,
9:52.0,Personal foul by J. Johnson (drawn by M. Gasol),,49-62,,
9:44.0,,,49-62,,Offensive foul by M. Gasol
9:44.0,,,49-62,,Turnover by M. Gasol (offensive foul)
9:35.0,J. Jack misses 2-pt shot from 13 ft,,49-62,,
9:34.0,,,49-62,,Defensive rebound by Z. Randolph
9:27.0,,,49-64,2,M. Gasol makes 2-pt shot from 1 ft (assist by M. Conley)
9:05.0,B. Lopez makes 2-pt shot from 13 ft (assist by J. Johnson),2,51-64,,
8:45.0,,,51-64,,Turnover by Z. Randolph (traveling)
8:29.0,M. Brown makes 2-pt shot from 15 ft (assist by J. Jack),2,53-64,,
8:16.0,,,53-64,,Shooting foul by T. Young (drawn by M. Gasol)
8:16.0,,,53-65,1,M. Gasol makes free throw 1 of 2
8:16.0,,,53-66,1,M. Gasol makes free throw 2 of 2
8:06.0,Turnover by T. Young (bad pass),,53-66,,
8:06.0,,,53-66,,B. Wright enters the game for M. Gasol
7:54.0,,,53-66,,C. Lee misses 3-pt shot from 25 ft
7:53.0,Defensive rebound by J. Jack,,53-66,,
7:45.0,M. Brown misses 2-pt shot from 16 ft,,53-66,,
7:45.0,,,53-66,,Defensive rebound by Z. Randolph
7:36.0,,,53-66,,Offensive foul by Z. Randolph
7:36.0,,,53-66,,Turnover by Z. Randolph (offensive foul)
7:36.0,B. Bogdanovic enters the game for M. Brown,,53-66,,
7:24.0,B. Lopez misses 2-pt shot from 7 ft,,53-66,,
7:22.0,,,53-66,,Defensive rebound by Z. Randolph
7:15.0,,,53-66,,Turnover by M. Conley (bad pass; steal by T. Young)
7:11.0,T. Young makes 2-pt shot from 1 ft,2,55-66,,
6:47.0,,,55-66,,T. Allen misses 3-pt shot from 25 ft
6:46.0,Defensive rebound by T. Young,,55-66,,
6:38.0,B. Bogdanovic makes 2-pt shot from 1 ft (assist by J. Jack),2,57-66,,
6:38.0,,,57-66,,Memphis full timeout
6:38.0,,,57-66,,J. Green enters the game for B. Wright
6:19.0,,,57-66,,Z. Randolph misses 2-pt shot from 21 ft
6:18.0,,,57-66,,Offensive rebound by T. Allen
5:51.0,,,57-68,2,Z. Randolph makes 2-pt shot from 15 ft (assist by T. Allen)
5:26.0,B. Bogdanovic misses 2-pt shot from 13 ft,,57-68,,
5:26.0,,,57-68,,Defensive rebound by M. Conley
5:16.0,,,57-70,2,M. Conley makes 2-pt shot from 1 ft
4:56.0,J. Johnson misses 2-pt shot from 6 ft,,57-70,,
4:56.0,Offensive rebound by Team,,57-70,,
4:56.0,,,57-70,,Loose ball foul by T. Allen (drawn by T. Young)
4:56.0,S. Larkin enters the game for J. Jack,,57-70,,
4:56.0,W. Ellington enters the game for J. Johnson,,57-70,,
4:40.0,B. Bogdanovic makes 2-pt shot from 1 ft (assist by T. Young),2,59-70,,
4:31.0,,,59-72,2,Z. Randolph makes 2-pt shot at rim (assist by T. Allen)
4:06.0,B. Lopez misses 2-pt shot from 11 ft,,59-72,,
4:04.0,,,59-72,,Defensive rebound by Z. Randolph
3:51.0,,,59-72,,J. Green misses 3-pt shot from 25 ft
3:50.0,Defensive rebound by T. Young,,59-72,,
3:34.0,B. Lopez makes 2-pt shot from 1 ft,2,61-72,,
3:11.0,,,61-75,3,M. Conley makes 3-pt shot from 26 ft (assist by J. Green)
2:50.0,B. Lopez misses 2-pt shot from 21 ft,,61-75,,
2:49.0,,,61-75,,Defensive rebound by Z. Randolph
2:30.0,,,61-75,,Z. Randolph misses 2-pt shot from 20 ft
2:29.0,Defensive rebound by T. Young,,61-75,,
2:19.0,W. Ellington makes 3-pt shot from 23 ft (assist by S. Larkin),3,64-75,,
1:58.0,,,64-75,,M. Conley misses 2-pt shot from 15 ft
1:57.0,Defensive rebound by T. Young,,64-75,,
1:50.0,,,64-75,,Personal take foul by J. Green (drawn by B. Bogdanovic)
1:50.0,Brooklyn full timeout,,64-75,,
1:50.0,,,64-75,,M. Barnes enters the game for T. Allen
1:50.0,,,64-75,,B. Wright enters the game for Z. Randolph
1:50.0,,,64-75,,B. Udrih enters the game for M. Conley
1:50.0,R. Hollis-Jefferson enters the game for T. Young,,64-75,,
1:50.0,A. Bargnani enters the game for B. Lopez,,64-75,,
1:41.0,S. Larkin makes 2-pt shot from 18 ft,2,66-75,,
1:19.0,,,66-77,2,B. Wright makes 2-pt shot from 8 ft (assist by B. Udrih)
1:01.0,R. Hollis-Jefferson misses 2-pt shot at rim,,66-77,,
1:00.0,,,66-77,,Defensive rebound by B. Udrih
0:51.0,,,66-77,,M. Barnes misses 3-pt shot from 25 ft
0:51.0,Defensive rebound by R. Hollis-Jefferson,,66-77,,
0:36.0,,,66-77,,Personal foul by M. Barnes (drawn by B. Bogdanovic)
0:36.0,,,66-77,,J. Green enters the game for C. Lee
0:31.0,W. Ellington makes 3-pt shot from 25 ft (assist by B. Bogdanovic),3,69-77,,
0:12.0,,,69-79,2,B. Wright makes 2-pt shot at rim (assist by J. Green)
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:36.0,,,69-79,,M. Barnes misses 2-pt shot from 2 ft
11:35.0,Defensive rebound by S. Larkin,,69-79,,
11:25.0,Offensive foul by A. Bargnani,,69-79,,
11:25.0,Turnover by A. Bargnani (offensive foul),,69-79,,
11:18.0,Personal foul by A. Bargnani (drawn by B. Udrih),,69-79,,
11:09.0,,,69-79,,M. Barnes misses 3-pt shot from 26 ft
11:08.0,Defensive rebound by A. Bargnani,,69-79,,
10:52.0,W. Ellington misses 3-pt shot from 25 ft,,69-79,,
10:51.0,,,69-79,,Defensive rebound by B. Wright
10:46.0,Personal foul by B. Bogdanovic (drawn by J. Green),,69-79,,
10:31.0,,,69-79,,J. Green misses 2-pt shot from 6 ft
10:31.0,Defensive rebound by Team,,69-79,,
10:31.0,,,69-79,,Loose ball foul by M. Barnes (drawn by R. Hollis-Jefferson)
10:19.0,S. Larkin misses 2-pt shot from 19 ft,,69-79,,
10:18.0,,,69-79,,Defensive rebound by J. Green
10:13.0,,,69-79,,Shooting foul by R. Hollis-Jefferson (drawn by J. Green)
10:13.0,,,69-80,1,J. Green makes free throw 1 of 2
10:13.0,,,69-81,1,J. Green makes free throw 2 of 2
9:54.0,B. Bogdanovic makes 2-pt shot from 20 ft,2,71-81,,
9:43.0,,,71-84,3,B. Udrih makes 3-pt shot from 24 ft (assist by J. Green)
9:26.0,S. Larkin misses 2-pt shot from 7 ft,,71-84,,
9:25.0,,,71-84,,Defensive rebound by J. Green
9:25.0,Personal foul by S. Larkin (drawn by J. Green),,71-84,,
9:05.0,,,71-86,2,J. Green makes 2-pt shot from 4 ft (assist by B. Udrih)
9:05.0,Brooklyn full timeout,,71-86,,
9:05.0,B. Lopez enters the game for A. Bargnani,,71-86,,
9:05.0,J. Johnson enters the game for S. Larkin,,71-86,,
9:05.0,J. Jack enters the game for R. Hollis-Jefferson,,71-86,,
9:05.0,T. Young enters the game for W. Ellington,,71-86,,
8:43.0,Shooting foul by J. Green (drawn by T. Young),,71-86,,
8:43.0,T. Young misses free throw 1 of 2,,71-86,,
8:43.0,Offensive rebound by Team,,71-86,,
8:43.0,T. Young makes free throw 2 of 2,1,72-86,,
8:19.0,,,72-86,,M. Barnes misses 3-pt shot from 25 ft
8:18.0,Defensive rebound by T. Young,,72-86,,
8:09.0,B. Bogdanovic misses 2-pt shot from 17 ft,,72-86,,
8:08.0,,,72-86,,Defensive rebound by B. Wright
7:49.0,,,72-86,,B. Udrih misses 2-pt shot from 15 ft
7:47.0,,,72-86,,Offensive rebound by B. Wright
7:47.0,,,72-86,,B. Wright misses 2-pt shot from 1 ft
7:43.0,,,72-86,,Offensive rebound by M. Barnes
7:43.0,,,72-88,2,M. Barnes makes 2-pt shot at rim
7:28.0,B. Bogdanovic misses 2-pt shot at rim,,72-88,,
7:27.0,Offensive rebound by B. Lopez,,72-88,,
7:27.0,Shooting foul by J. Green (drawn by B. Lopez),,72-88,,
7:27.0,B. Lopez makes free throw 1 of 2,1,73-88,,
7:27.0,,,73-88,,M. Gasol enters the game for J. Green
7:27.0,B. Lopez makes free throw 2 of 2,1,74-88,,
7:07.0,,,74-88,,Shooting foul by T. Young (drawn by J. Green)
7:07.0,,,74-89,1,J. Green makes free throw 1 of 2
7:07.0,,,74-89,,C. Lee enters the game for M. Barnes
7:07.0,T. Robinson enters the game for T. Young,,74-89,,
7:07.0,,,74-89,,J. Green misses free throw 2 of 2
7:06.0,Defensive rebound by T. Robinson,,74-89,,
6:55.0,J. Jack makes 2-pt shot at rim,2,76-89,,
6:37.0,,,76-89,,J. Green misses 2-pt shot from 20 ft
6:36.0,Defensive rebound by B. Lopez,,76-89,,
6:28.0,J. Jack misses 2-pt shot from 5 ft (block by B. Udrih),,76-89,,
6:26.0,,,76-89,,Defensive rebound by J. Green
6:23.0,,,76-89,,B. Udrih misses 2-pt shot from 2 ft
6:21.0,Defensive rebound by B. Bogdanovic,,76-89,,
6:17.0,B. Lopez makes 2-pt shot at rim (assist by B. Bogdanovic),2,78-89,,
6:17.0,,,78-89,,Memphis full timeout
6:17.0,,,78-89,,Z. Randolph enters the game for J. Green
6:17.0,,,78-89,,M. Conley enters the game for B. Udrih
6:17.0,,,78-89,,T. Allen enters the game for B. Wright
5:57.0,,,78-92,3,M. Conley makes 3-pt shot from 23 ft (assist by C. Lee)
5:41.0,J. Jack misses 2-pt shot from 13 ft,,78-92,,
5:39.0,,,78-92,,Defensive rebound by Z. Randolph
5:24.0,,,78-92,,M. Gasol misses 2-pt shot at rim (block by B. Lopez)
5:24.0,Defensive rebound by T. Robinson,,78-92,,
5:24.0,,,78-92,,Personal foul by T. Allen (drawn by T. Robinson)
5:24.0,T. Young enters the game for T. Robinson,,78-92,,
5:11.0,B. Lopez misses 2-pt shot from 12 ft,,78-92,,
5:11.0,,,78-92,,Defensive rebound by T. Allen
4:52.0,,,78-92,,C. Lee misses 2-pt shot from 20 ft
4:51.0,,,78-92,,Offensive rebound by Z. Randolph
4:48.0,,,78-92,,Z. Randolph misses 2-pt shot from 1 ft
4:46.0,,,78-92,,Offensive rebound by C. Lee
4:46.0,,,78-92,,C. Lee misses 2-pt shot at rim
4:43.0,Defensive rebound by B. Lopez,,78-92,,
4:38.0,J. Jack misses 3-pt shot from 25 ft,,78-92,,
4:36.0,Offensive rebound by J. Jack,,78-92,,
4:32.0,B. Bogdanovic makes 2-pt shot from 1 ft (assist by J. Jack),2,80-92,,
4:12.0,,,80-92,,M. Gasol misses 2-pt shot from 11 ft
4:11.0,Defensive rebound by T. Young,,80-92,,
3:59.0,J. Jack makes 2-pt shot at rim,2,82-92,,
3:33.0,,,82-92,,C. Lee misses 2-pt shot from 19 ft
3:32.0,Defensive rebound by Team,,82-92,,
3:21.0,Turnover by J. Jack (bad pass; steal by C. Lee),,82-92,,
3:10.0,,,82-92,,T. Allen misses 2-pt shot from 2 ft
3:08.0,Defensive rebound by B. Lopez,,82-92,,
2:57.0,J. Johnson makes 2-pt shot from 8 ft,2,84-92,,
2:57.0,,,84-92,,Memphis full timeout
2:57.0,,,84-92,,Memphis full timeout
2:40.0,,,84-95,3,M. Conley makes 3-pt shot from 24 ft (assist by M. Gasol)
2:25.0,J. Johnson makes 3-pt shot from 24 ft (assist by T. Young),3,87-95,,
