time,Portland,pts.away,score,pts.home,Atlanta
6:15.0,A. Crabbe makes 2-pt shot from 18 ft (assist by T. Frazier),2,9-11,,
6:09.0,,,9-11,,Atlanta full timeout
6:09.0,G. Henderson enters the game for A. Aminu,,9-11,,
5:59.0,,,9-11,,P. Millsap misses 3-pt shot from 22 ft
5:58.0,Defensive rebound by G. Henderson,,9-11,,
5:50.0,A. Crabbe misses 3-pt shot from 24 ft,,9-11,,
5:49.0,Offensive rebound by M. Plumlee,,9-11,,
5:45.0,G. Henderson misses 3-pt shot from 24 ft,,9-11,,
5:43.0,,,9-11,,Defensive rebound by T. Sefolosha
5:25.0,,,9-11,,P. Millsap misses 2-pt shot from 10 ft
5:24.0,Defensive rebound by M. Plumlee,,9-11,,
5:07.0,M. Plumlee makes 2-pt shot at rim (assist by A. Crabbe),2,11-11,,
4:54.0,,,11-11,,Shooting foul by T. Frazier (drawn by J. Teague)
4:54.0,,,11-12,1,J. Teague makes free throw 1 of 2
4:54.0,,,11-12,,D. Schroder enters the game for K. Bazemore
4:54.0,M. Leonard enters the game for M. Plumlee,,11-12,,
4:54.0,E. Davis enters the game for N. Vonleh,,11-12,,
4:54.0,,,11-13,1,J. Teague makes free throw 2 of 2
4:36.0,Turnover by G. Henderson (bad pass; steal by T. Splitter),,11-13,,
4:30.0,,,11-15,2,P. Millsap makes 2-pt shot at rim (assist by J. Teague)
4:18.0,Turnover by T. Frazier (lost ball),,11-15,,
4:18.0,,,11-15,,K. Bazemore enters the game for J. Teague
4:03.0,,,11-15,,Shooting foul by T. Frazier (drawn by D. Schroder)
4:03.0,,,11-15,,D. Schroder misses free throw 1 of 2
4:03.0,,,11-15,,Offensive rebound by Team
4:03.0,,,11-16,1,D. Schroder makes free throw 2 of 2
3:39.0,M. Leonard makes 2-pt shot from 17 ft (assist by G. Henderson),2,13-16,,
3:23.0,,,13-16,,K. Bazemore misses 2-pt shot from 17 ft
3:22.0,Defensive rebound by M. Leonard,,13-16,,
3:13.0,M. Leonard misses 3-pt shot from 24 ft,,13-16,,
3:12.0,,,13-16,,Defensive rebound by T. Sefolosha
3:03.0,,,13-16,,P. Millsap misses 2-pt shot from 3 ft
3:00.0,Defensive rebound by T. Frazier,,13-16,,
2:57.0,Portland full timeout,,13-16,,
2:47.0,A. Crabbe misses 2-pt shot from 16 ft,,13-16,,
2:46.0,,,13-16,,Defensive rebound by T. Sefolosha
2:42.0,,,13-18,2,K. Bazemore makes 2-pt shot at rim (assist by T. Sefolosha)
2:15.0,Shooting foul by P. Millsap (drawn by G. Henderson),,13-18,,
2:15.0,G. Henderson makes free throw 1 of 2,1,14-18,,
2:15.0,M. Harkless enters the game for A. Crabbe,,14-18,,
2:15.0,,,14-18,,A. Horford enters the game for P. Millsap
2:15.0,G. Henderson misses free throw 2 of 2,,14-18,,
2:14.0,Offensive rebound by M. Leonard,,14-18,,
1:57.0,G. Henderson misses 2-pt shot from 8 ft,,14-18,,
1:55.0,,,14-18,,Defensive rebound by T. Sefolosha
1:44.0,,,14-18,,D. Schroder misses 2-pt shot from 1 ft
1:43.0,,,14-18,,Offensive rebound by Team
1:43.0,,,14-18,,M. Scott enters the game for A. Horford
1:43.0,,,14-18,,K. Korver enters the game for K. Bazemore
1:35.0,,,14-21,3,T. Sefolosha makes 3-pt shot from 23 ft (assist by T. Splitter)
1:14.0,M. Leonard misses 2-pt shot from 8 ft,,14-21,,
1:12.0,Offensive rebound by E. Davis,,14-21,,
1:12.0,E. Davis makes 2-pt shot at rim,2,16-21,,
1:01.0,,,16-23,2,T. Sefolosha makes 2-pt shot from 1 ft
1:01.0,,,16-23,,Shooting foul by E. Davis (drawn by T. Sefolosha)
1:01.0,,,16-24,1,T. Sefolosha makes free throw 1 of 1
0:45.0,G. Henderson misses 3-pt shot from 22 ft,,16-24,,
0:43.0,Offensive rebound by T. Frazier,,16-24,,
0:31.0,Shooting foul by M. Scott (drawn by T. Frazier),,16-24,,
0:31.0,T. Frazier makes free throw 1 of 2,1,17-24,,
0:31.0,T. Frazier misses free throw 2 of 2,,17-24,,
0:30.0,,,17-24,,Defensive rebound by Team
0:17.0,Violation by M. Leonard (def goaltending),,17-24,,
0:17.0,,,17-26,2,D. Schroder makes 2-pt shot from 1 ft
0:02.0,T. Frazier misses 2-pt shot from 1 ft,,17-26,,
0:01.0,Offensive rebound by E. Davis,,17-26,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:42.0,M. Leonard makes 2-pt shot from 9 ft (assist by G. Henderson),2,19-26,,
11:29.0,,,19-29,3,K. Korver makes 3-pt shot from 24 ft (assist by D. Schroder)
11:10.0,M. Harkless misses 3-pt shot from 22 ft,,19-29,,
11:09.0,,,19-29,,Defensive rebound by T. Sefolosha
10:53.0,,,19-29,,D. Schroder misses 3-pt shot from 24 ft
10:51.0,Defensive rebound by G. Henderson,,19-29,,
10:36.0,E. Davis makes 2-pt shot from 1 ft (assist by T. Frazier),2,21-29,,
10:26.0,,,21-31,2,T. Splitter makes 2-pt shot from 17 ft
10:09.0,Shooting foul by K. Korver (drawn by G. Henderson),,21-31,,
10:09.0,G. Henderson makes free throw 1 of 2,1,22-31,,
10:09.0,,,22-31,,L. Patterson enters the game for T. Sefolosha
10:09.0,,,22-31,,A. Horford enters the game for T. Splitter
10:09.0,G. Henderson makes free throw 2 of 2,1,23-31,,
9:56.0,,,23-34,3,M. Scott makes 3-pt shot from 24 ft (assist by L. Patterson)
9:33.0,G. Henderson misses 2-pt shot from 10 ft,,23-34,,
9:31.0,Offensive rebound by E. Davis,,23-34,,
9:30.0,E. Davis makes 2-pt shot at rim,2,25-34,,
9:16.0,,,25-34,,M. Scott misses 3-pt shot from 24 ft
9:15.0,Defensive rebound by E. Davis,,25-34,,
8:52.0,M. Harkless makes 3-pt shot from 24 ft (assist by E. Davis),3,28-34,,
8:29.0,,,28-36,2,D. Schroder makes 2-pt shot from 1 ft
8:20.0,G. Henderson misses 3-pt shot from 24 ft,,28-36,,
8:18.0,,,28-36,,Defensive rebound by M. Scott
8:05.0,,,28-36,,Shooting foul by M. Harkless (drawn by M. Scott)
8:05.0,Official timeout,,28-36,,
8:05.0,,,28-36,,J. Teague enters the game for D. Schroder
8:05.0,,,28-37,1,M. Scott makes free throw 1 of 2
8:05.0,,,28-38,1,M. Scott makes free throw 2 of 2
7:44.0,,,28-38,,Violation by A. Horford (def goaltending)
7:44.0,M. Harkless makes 2-pt shot from 1 ft,2,30-38,,
7:33.0,,,30-38,,L. Patterson misses 3-pt shot from 24 ft
7:32.0,Defensive rebound by E. Davis,,30-38,,
7:25.0,Turnover by T. Frazier (bad pass),,30-38,,
7:25.0,M. Plumlee enters the game for E. Davis,,30-38,,
7:25.0,A. Aminu enters the game for G. Henderson,,30-38,,
7:01.0,,,30-40,2,L. Patterson makes 2-pt shot from 12 ft (assist by M. Scott)
6:33.0,M. Harkless makes 3-pt shot from 24 ft (assist by M. Plumlee),3,33-40,,
6:21.0,,,33-40,,J. Teague misses 3-pt shot from 23 ft
6:20.0,Defensive rebound by A. Aminu,,33-40,,
6:12.0,M. Harkless makes 2-pt shot from 1 ft (assist by A. Aminu),2,35-40,,
6:07.0,,,35-40,,Atlanta full timeout
6:07.0,,,35-40,,K. Bazemore enters the game for K. Korver
6:07.0,,,35-40,,P. Millsap enters the game for M. Scott
6:07.0,A. Crabbe enters the game for M. Leonard,,35-40,,
5:56.0,,,35-40,,J. Teague misses 3-pt shot from 24 ft
5:55.0,Defensive rebound by M. Harkless,,35-40,,
5:42.0,M. Harkless makes 2-pt shot at rim (assist by M. Plumlee),2,37-40,,
5:19.0,,,37-40,,A. Horford misses 2-pt shot from 2 ft
5:17.0,Defensive rebound by M. Plumlee,,37-40,,
5:15.0,Turnover by T. Frazier (lost ball),,37-40,,
5:02.0,,,37-40,,J. Teague misses 2-pt shot from 1 ft (block by M. Plumlee)
5:00.0,Defensive rebound by A. Crabbe,,37-40,,
4:58.0,Shooting foul by P. Millsap (drawn by M. Plumlee),,37-40,,
4:58.0,M. Plumlee makes free throw 1 of 2,1,38-40,,
4:58.0,M. Plumlee makes free throw 2 of 2,1,39-40,,
4:53.0,,,39-40,,T. Splitter enters the game for A. Horford
4:53.0,,,39-40,,T. Sefolosha enters the game for L. Patterson
4:43.0,,,39-42,2,K. Bazemore makes 2-pt shot from 2 ft
4:23.0,Turnover by M. Harkless (bad pass; steal by T. Sefolosha),,39-42,,
4:21.0,,,39-44,2,T. Sefolosha makes 2-pt shot from 1 ft
4:21.0,Shooting block foul by T. Frazier (drawn by T. Sefolosha),,39-44,,
4:21.0,,,39-44,,T. Sefolosha misses free throw 1 of 1
4:19.0,Defensive rebound by A. Aminu,,39-44,,
4:04.0,A. Crabbe makes 2-pt shot from 16 ft (assist by M. Plumlee),2,41-44,,
3:44.0,,,41-44,,J. Teague misses 3-pt shot from 22 ft
3:42.0,Defensive rebound by A. Aminu,,41-44,,
3:36.0,A. Crabbe misses 3-pt shot from 24 ft,,41-44,,
3:35.0,,,41-44,,Defensive rebound by K. Bazemore
3:10.0,,,41-44,,P. Millsap misses 3-pt shot from 23 ft
3:09.0,,,41-44,,Offensive rebound by T. Splitter
3:09.0,,,41-44,,Shooting foul by M. Plumlee (drawn by T. Splitter)
3:09.0,Portland full timeout,,41-44,,
3:09.0,,,41-45,1,T. Splitter makes free throw 1 of 2
3:09.0,,,41-46,1,T. Splitter makes free throw 2 of 2
2:54.0,T. Frazier misses 2-pt shot from 17 ft,,41-46,,
2:53.0,,,41-46,,Defensive rebound by P. Millsap
2:39.0,,,41-48,2,T. Sefolosha makes 2-pt shot from 1 ft (assist by T. Splitter)
2:16.0,Shooting foul by T. Splitter (drawn by M. Plumlee),,41-48,,
2:16.0,M. Plumlee makes free throw 1 of 2,1,42-48,,
2:16.0,M. Plumlee makes free throw 2 of 2,1,43-48,,
2:04.0,,,43-48,,P. Millsap misses 2-pt shot from 14 ft
2:03.0,Defensive rebound by M. Plumlee,,43-48,,
1:54.0,A. Crabbe misses 2-pt shot from 7 ft,,43-48,,
1:53.0,,,43-48,,Defensive rebound by P. Millsap
1:45.0,Violation by M. Plumlee (def goaltending),,43-48,,
1:45.0,,,43-50,2,T. Splitter makes 2-pt shot from 1 ft (assist by J. Teague)
1:35.0,A. Aminu misses 2-pt shot from 17 ft,,43-50,,
1:34.0,,,43-50,,Defensive rebound by K. Bazemore
1:27.0,,,43-50,,K. Bazemore misses 2-pt shot from 6 ft (block by A. Crabbe)
1:26.0,Defensive rebound by A. Aminu,,43-50,,
1:24.0,Shooting foul by K. Bazemore (drawn by A. Crabbe),,43-50,,
1:24.0,A. Crabbe misses free throw 1 of 2,,43-50,,
1:24.0,Offensive rebound by Team,,43-50,,
1:24.0,,,43-50,,K. Korver enters the game for K. Bazemore
1:24.0,A. Crabbe misses free throw 2 of 2,,43-50,,
1:23.0,,,43-50,,Defensive rebound by P. Millsap
1:13.0,,,43-52,2,J. Teague makes 2-pt shot from 9 ft
0:52.0,A. Aminu misses 2-pt shot from 3 ft,,43-52,,
0:50.0,,,43-52,,Defensive rebound by T. Splitter
0:37.0,,,43-52,,Offensive charge foul by J. Teague
0:37.0,,,43-52,,Turnover by J. Teague (offensive foul)
0:37.0,Portland full timeout,,43-52,,
0:37.0,,,43-52,,M. Scott enters the game for P. Millsap
0:37.0,,,43-52,,K. Bazemore enters the game for J. Teague
0:37.0,M. Leonard enters the game for M. Plumlee,,43-52,,
0:33.0,A. Crabbe misses 3-pt shot from 25 ft,,43-52,,
0:31.0,,,43-52,,Defensive rebound by T. Splitter
0:25.0,,,43-52,,Atlanta full timeout
0:25.0,,,43-52,,J. Teague enters the game for T. Splitter
0:25.0,P. Connaughton enters the game for T. Frazier,,43-52,,
0:25.0,M. Plumlee enters the game for M. Leonard,,43-52,,
0:11.0,,,43-55,3,K. Korver makes 3-pt shot from 22 ft (assist by J. Teague)
0:03.0,Turnover by M. Plumlee (lost ball; steal by K. Bazemore),,43-55,,
0:00.0,,,43-55,,K. Bazemore misses 3-pt shot from 25 ft
0:00.0,,,43-55,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:44.0,N. Vonleh misses 2-pt shot from 16 ft,,43-55,,
11:43.0,Offensive rebound by M. Plumlee,,43-55,,
11:39.0,M. Plumlee makes 2-pt shot at rim,2,45-55,,
11:20.0,,,45-55,,Shooting foul by A. Crabbe (drawn by K. Korver)
11:20.0,,,45-56,1,K. Korver makes free throw 1 of 2
11:20.0,,,45-57,1,K. Korver makes free throw 2 of 2
10:56.0,M. Plumlee makes 2-pt shot from 16 ft,2,47-57,,
10:42.0,,,47-57,,Turnover by P. Millsap (bad pass)
10:35.0,N. Vonleh makes 2-pt shot at rim (assist by T. Frazier),2,49-57,,
10:35.0,,,49-57,,Atlanta full timeout
10:35.0,,,49-57,,M. Scott enters the game for P. Millsap
10:13.0,,,49-57,,J. Teague misses 2-pt shot from 2 ft
10:11.0,Defensive rebound by A. Aminu,,49-57,,
10:01.0,Turnover by A. Aminu (lost ball; steal by J. Teague),,49-57,,
9:47.0,,,49-57,,Turnover by A. Horford (lost ball; steal by T. Frazier)
9:41.0,T. Frazier misses 2-pt shot from 8 ft,,49-57,,
9:38.0,Offensive rebound by T. Frazier,,49-57,,
9:37.0,T. Frazier misses 2-pt shot at rim (block by M. Scott),,49-57,,
9:35.0,,,49-57,,Defensive rebound by A. Horford
9:28.0,,,49-59,2,M. Scott makes 2-pt shot from 1 ft (assist by J. Teague)
9:13.0,Turnover by N. Vonleh (traveling),,49-59,,
9:05.0,,,49-59,,K. Korver misses 3-pt shot from 25 ft
9:04.0,Defensive rebound by N. Vonleh,,49-59,,
8:56.0,T. Frazier makes 2-pt shot from 21 ft,2,51-59,,
8:45.0,,,51-59,,A. Horford misses 3-pt shot from 23 ft
8:43.0,Defensive rebound by N. Vonleh,,51-59,,
8:25.0,Shooting foul by K. Bazemore (drawn by A. Crabbe),,51-59,,
8:25.0,A. Crabbe misses free throw 1 of 2,,51-59,,
8:25.0,Offensive rebound by Team,,51-59,,
8:25.0,A. Crabbe makes free throw 2 of 2,1,52-59,,
8:03.0,,,52-61,2,J. Teague makes 2-pt shot from 1 ft
7:35.0,T. Frazier misses 2-pt shot from 17 ft,,52-61,,
7:32.0,,,52-61,,Defensive rebound by K. Bazemore
7:20.0,,,52-64,3,K. Bazemore makes 3-pt shot from 24 ft (assist by A. Horford)
7:00.0,A. Aminu misses 2-pt shot from 19 ft,,52-64,,
6:59.0,,,52-64,,Defensive rebound by K. Korver
6:44.0,,,52-64,,A. Horford misses 2-pt shot from 13 ft
6:43.0,Jump ball: A. Horford vs. M. Plumlee (A. Aminu gains possession),,,,Jump ball: A. Horford vs. M. Plumlee (A. Aminu gains possession)
6:43.0,Offensive rebound by Team,,52-64,,
6:24.0,T. Frazier misses 3-pt shot from 24 ft,,52-64,,
6:23.0,,,52-64,,Defensive rebound by K. Bazemore
6:08.0,,,52-66,2,M. Scott makes 2-pt shot from 7 ft (assist by J. Teague)
6:08.0,Portland full timeout,,52-66,,
6:08.0,,,52-66,,T. Splitter enters the game for A. Horford
6:08.0,,,52-66,,T. Sefolosha enters the game for K. Korver
6:08.0,E. Davis enters the game for A. Aminu,,52-66,,
6:08.0,M. Leonard enters the game for N. Vonleh,,52-66,,
6:08.0,M. Harkless enters the game for M. Plumlee,,52-66,,
5:59.0,Turnover by A. Crabbe (traveling),,52-66,,
5:42.0,,,52-66,,T. Splitter misses 2-pt shot from 1 ft
5:40.0,Defensive rebound by A. Crabbe,,52-66,,
5:21.0,M. Leonard misses 2-pt shot from 13 ft,,52-66,,
5:20.0,,,52-66,,Defensive rebound by K. Bazemore
5:09.0,,,52-66,,K. Bazemore misses 3-pt shot from 23 ft
5:07.0,Defensive rebound by M. Harkless,,52-66,,
4:52.0,A. Crabbe makes 2-pt shot from 22 ft (assist by T. Frazier),2,54-66,,
4:35.0,,,54-66,,J. Teague misses 2-pt shot from 5 ft
4:34.0,Defensive rebound by E. Davis,,54-66,,
4:10.0,M. Harkless misses 3-pt shot from 24 ft,,54-66,,
4:10.0,Offensive rebound by Team,,54-66,,
4:10.0,Turnover by Team (shot clock),,54-66,,
4:10.0,,,54-66,,D. Schroder enters the game for J. Teague
4:10.0,G. Henderson enters the game for A. Crabbe,,54-66,,
3:54.0,,,54-66,,T. Sefolosha misses 2-pt shot from 10 ft
3:53.0,Defensive rebound by E. Davis,,54-66,,
3:33.0,G. Henderson makes 2-pt shot from 16 ft (assist by E. Davis),2,56-66,,
3:19.0,,,56-66,,M. Scott misses 2-pt shot from 6 ft
3:16.0,Defensive rebound by M. Leonard,,56-66,,
3:02.0,,,56-66,,Personal foul by T. Sefolosha (drawn by G. Henderson)
3:02.0,,,56-66,,P. Millsap enters the game for M. Scott
2:54.0,Offensive charge foul by G. Henderson,,56-66,,
2:54.0,Turnover by G. Henderson (offensive foul),,56-66,,
2:43.0,,,56-68,2,D. Schroder makes 2-pt shot from 18 ft
2:25.0,G. Henderson misses 2-pt shot from 15 ft,,56-68,,
2:24.0,,,56-68,,Defensive rebound by K. Bazemore
2:04.0,,,56-70,2,D. Schroder makes 2-pt shot from 1 ft
1:49.0,Turnover by E. Davis (lost ball; steal by T. Splitter),,56-70,,
1:44.0,,,56-70,,Shooting foul by M. Leonard (drawn by T. Sefolosha)
1:44.0,,,56-70,,T. Sefolosha misses free throw 1 of 2
1:44.0,,,56-70,,Offensive rebound by Team
1:44.0,,,56-70,,K. Korver enters the game for K. Bazemore
1:44.0,,,56-71,1,T. Sefolosha makes free throw 2 of 2
1:25.0,M. Harkless makes 2-pt shot at rim (assist by G. Henderson),2,58-71,,
1:25.0,Technical foul by M. Harkless,,58-71,,
1:25.0,,,58-72,1,K. Korver makes technical free throw
1:12.0,,,58-72,,D. Schroder misses 2-pt shot from 19 ft (block by T. Frazier)
1:07.0,Defensive rebound by M. Harkless,,58-72,,
0:48.0,M. Harkless misses 3-pt shot from 25 ft,,58-72,,
0:45.0,,,58-72,,Defensive rebound by T. Sefolosha
0:30.0,,,58-74,2,T. Splitter makes 2-pt shot from 1 ft (assist by D. Schroder)
0:17.0,Turnover by M. Harkless (lost ball; steal by P. Millsap),,58-74,,
0:16.0,,,58-74,,Turnover by P. Millsap (lost ball; steal by M. Harkless)
0:04.0,G. Henderson misses 3-pt shot from 28 ft,,58-74,,
0:03.0,,,58-74,,Defensive rebound by D. Schroder
0:00.0,,,58-77,3,D. Schroder makes 3-pt shot from 31 ft
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:42.0,,,58-79,2,T. Sefolosha makes 2-pt shot from 12 ft (assist by A. Horford)
11:27.0,M. Harkless misses 3-pt shot from 25 ft,,58-79,,
11:25.0,,,58-79,,Defensive rebound by P. Millsap
11:15.0,,,58-79,,Turnover by D. Schroder (lost ball; steal by T. Frazier)
11:10.0,T. Frazier makes 2-pt shot at rim (assist by M. Harkless),2,60-79,,
11:00.0,,,60-79,,Atlanta full timeout
10:55.0,,,60-79,,Offensive foul by A. Horford
10:55.0,,,60-79,,Turnover by A. Horford (offensive foul)
10:35.0,T. Frazier makes 2-pt shot from 7 ft,2,62-79,,
10:35.0,Shooting foul by D. Schroder (drawn by T. Frazier),,62-79,,
10:35.0,T. Frazier makes free throw 1 of 1,1,63-79,,
10:14.0,,,63-81,2,P. Millsap makes 2-pt shot from 1 ft (assist by D. Schroder)
10:14.0,,,63-81,,Shooting foul by M. Leonard (drawn by P. Millsap)
10:14.0,,,63-81,,L. Patterson enters the game for K. Korver
10:14.0,,,63-82,1,P. Millsap makes free throw 1 of 1
10:00.0,,,63-82,,Def 3 sec tech foul by A. Horford
10:00.0,M. Leonard makes technical free throw,1,64-82,,
9:48.0,Turnover by T. Frazier (bad pass; steal by D. Schroder),,64-82,,
9:29.0,,,64-85,3,D. Schroder makes 3-pt shot from 24 ft (assist by P. Millsap)
9:23.0,Portland full timeout,,64-85,,
9:23.0,,,64-85,,M. Scott enters the game for P. Millsap
9:23.0,,,64-85,,K. Korver enters the game for T. Sefolosha
9:16.0,G. Henderson makes 3-pt shot from 23 ft (assist by M. Leonard),3,67-85,,
8:58.0,,,67-85,,M. Scott misses 2-pt shot from 1 ft
8:56.0,Defensive rebound by T. Frazier,,67-85,,
8:54.0,Shooting foul by L. Patterson (drawn by G. Henderson),,67-85,,
8:54.0,G. Henderson makes free throw 1 of 2,1,68-85,,
8:54.0,A. Crabbe enters the game for M. Harkless,,68-85,,
8:54.0,G. Henderson makes free throw 2 of 2,1,69-85,,
8:40.0,,,69-88,3,D. Schroder makes 3-pt shot from 24 ft
8:19.0,A. Crabbe misses 2-pt shot from 12 ft,,69-88,,
8:16.0,Offensive rebound by E. Davis,,69-88,,
8:16.0,E. Davis makes 2-pt shot at rim,2,71-88,,
8:00.0,,,71-88,,M. Scott misses 3-pt shot from 24 ft
7:59.0,Defensive rebound by T. Frazier,,71-88,,
7:54.0,T. Frazier makes 2-pt shot from 11 ft,2,73-88,,
7:54.0,Violation by Team (jump ball),,73-88,,
7:38.0,,,73-88,,A. Horford misses 2-pt shot from 1 ft (block by M. Leonard)
7:38.0,,,73-88,,Offensive rebound by Team
7:38.0,Loose ball foul by M. Leonard (drawn by L. Patterson),,73-88,,
7:38.0,,,73-88,,J. Teague enters the game for D. Schroder
7:38.0,M. Plumlee enters the game for M. Leonard,,73-88,,
7:38.0,A. Aminu enters the game for E. Davis,,73-88,,
7:24.0,,,73-90,2,A. Horford makes 2-pt shot from 16 ft
7:11.0,Turnover by M. Plumlee (bad pass),,73-90,,
6:53.0,,,73-92,2,M. Scott makes 2-pt shot from 12 ft (assist by J. Teague)
6:36.0,A. Crabbe misses 2-pt shot from 16 ft,,73-92,,
6:33.0,Offensive rebound by G. Henderson,,73-92,,
6:31.0,G. Henderson misses 3-pt shot from 23 ft,,73-92,,
6:31.0,Offensive rebound by A. Crabbe,,73-92,,
6:31.0,Shooting foul by J. Teague (drawn by A. Crabbe),,73-92,,
6:31.0,A. Crabbe makes 2-pt shot at rim,2,75-92,,
6:31.0,,,75-92,,M. Muscala enters the game for A. Horford
6:31.0,A. Crabbe makes free throw 1 of 1,1,76-92,,
6:12.0,Violation by M. Plumlee (def goaltending),,76-92,,
6:12.0,,,76-94,2,J. Teague makes 2-pt shot at rim
6:02.0,A. Crabbe makes 2-pt shot from 12 ft (assist by T. Frazier),2,78-94,,
5:48.0,,,78-94,,L. Patterson misses 3-pt shot from 25 ft
5:47.0,Defensive rebound by Team,,78-94,,
5:47.0,,,78-94,,K. Bazemore enters the game for K. Korver
5:41.0,A. Crabbe misses 2-pt shot from 18 ft,,78-94,,
5:40.0,,,78-94,,Defensive rebound by Team
5:40.0,Loose ball foul by M. Plumlee (drawn by L. Patterson),,78-94,,
5:23.0,Personal foul by G. Henderson (drawn by M. Muscala),,78-94,,
5:07.0,,,78-94,,K. Bazemore misses 3-pt shot from 22 ft
5:06.0,Defensive rebound by A. Aminu,,78-94,,
4:58.0,G. Henderson makes 2-pt shot from 18 ft,2,80-94,,
4:41.0,,,80-96,2,M. Scott makes 2-pt shot from 17 ft
4:27.0,T. Frazier misses 3-pt shot from 25 ft,,80-96,,
4:26.0,,,80-96,,Defensive rebound by M. Muscala
4:18.0,,,80-96,,Shooting foul by T. Frazier (drawn by J. Teague)
4:18.0,,,80-97,1,J. Teague makes free throw 1 of 2
4:18.0,,,80-97,,T. Sefolosha enters the game for L. Patterson
4:18.0,,,80-97,,J. Teague misses free throw 2 of 2
4:16.0,Defensive rebound by M. Plumlee,,80-97,,
4:12.0,,,80-97,,Personal foul by M. Muscala (drawn by M. Plumlee)
4:05.0,A. Crabbe makes 3-pt shot from 24 ft (assist by M. Plumlee),3,83-97,,
3:48.0,,,83-99,2,J. Teague makes 2-pt shot from 18 ft
3:37.0,A. Crabbe makes 2-pt shot from 13 ft (assist by T. Frazier),2,85-99,,
3:17.0,,,85-99,,J. Teague misses 2-pt shot from 13 ft
3:14.0,Defensive rebound by M. Plumlee,,85-99,,
3:11.0,A. Crabbe makes 2-pt shot at rim (assist by M. Plumlee),2,87-99,,
2:50.0,,,87-99,,M. Muscala misses 3-pt shot from 23 ft
2:46.0,Defensive rebound by T. Frazier,,87-99,,
2:42.0,T. Frazier misses 3-pt shot from 25 ft,,87-99,,
2:39.0,,,87-99,,Defensive rebound by J. Teague
2:36.0,,,87-99,,Turnover by T. Sefolosha (lost ball)
2:36.0,Official timeout,,87-99,,
2:36.0,,,87-99,,P. Millsap enters the game for K. Bazemore
