time,Milwaukee,pts.away,score,pts.home,Brooklyn
7:56.0,Defensive rebound by G. Monroe,,12-7,,
7:49.0,G. Antetokounmpo makes 3-pt shot from 24 ft (assist by M. Carter-Williams),3,15-7,,
7:33.0,,,15-10,3,J. Johnson makes 3-pt shot from 22 ft (assist by J. Jack)
7:23.0,Shooting foul by J. Johnson (drawn by K. Middleton),,15-10,,
7:23.0,K. Middleton misses free throw 1 of 2,,15-10,,
7:23.0,Offensive rebound by Team,,15-10,,
7:23.0,K. Middleton makes free throw 2 of 2,1,16-10,,
7:06.0,,,16-10,,T. Young misses 2-pt shot from 1 ft (block by G. Monroe)
7:05.0,,,16-10,,Offensive rebound by T. Young
7:03.0,,,16-12,2,T. Young makes 2-pt shot from 2 ft
6:49.0,M. Carter-Williams misses 2-pt shot from 1 ft,,16-12,,
6:48.0,,,16-12,,Defensive rebound by J. Jack
6:38.0,,,16-12,,J. Johnson misses 3-pt shot from 24 ft
6:37.0,Defensive rebound by G. Antetokounmpo,,16-12,,
6:22.0,K. Middleton misses 2-pt shot from 10 ft,,16-12,,
6:21.0,,,16-12,,Defensive rebound by B. Lopez
6:15.0,,,16-12,,Shooting foul by M. Carter-Williams (drawn by J. Johnson)
6:15.0,,,16-13,1,J. Johnson makes free throw 1 of 2
6:15.0,,,16-14,1,J. Johnson makes free throw 2 of 2
5:57.0,G. Monroe makes 2-pt shot from 16 ft,2,18-14,,
5:38.0,,,18-16,2,B. Lopez makes 2-pt shot from 15 ft (assist by J. Johnson)
5:25.0,Shooting foul by T. Young (drawn by G. Antetokounmpo),,18-16,,
5:25.0,,,18-16,,Brooklyn full timeout
5:25.0,G. Vasquez enters the game for J. Bayless,,18-16,,
5:25.0,G. Antetokounmpo makes free throw 1 of 2,1,19-16,,
5:25.0,G. Antetokounmpo makes free throw 2 of 2,1,20-16,,
5:01.0,,,20-18,2,J. Johnson makes 2-pt shot from 21 ft
4:46.0,K. Middleton makes 3-pt shot from 23 ft (assist by G. Vasquez),3,23-18,,
4:30.0,,,23-20,2,T. Young makes 2-pt shot from 7 ft (assist by J. Johnson)
4:10.0,G. Antetokounmpo misses 2-pt shot from 2 ft,,23-20,,
4:09.0,,,23-20,,Defensive rebound by B. Lopez
4:05.0,,,23-22,2,T. Young makes 2-pt shot from 1 ft (assist by J. Jack)
4:05.0,Personal foul by M. Carter-Williams (drawn by T. Young),,23-22,,
4:05.0,J. Bayless enters the game for M. Carter-Williams,,23-22,,
4:05.0,M. Plumlee enters the game for G. Monroe,,23-22,,
4:05.0,,,23-23,1,T. Young makes free throw 1 of 1
3:43.0,,,23-25,2,B. Lopez makes 2-pt shot from 16 ft
3:43.0,,,23-25,,Shooting foul by M. Plumlee (drawn by B. Lopez)
3:43.0,,,23-26,1,B. Lopez makes free throw 1 of 1
3:31.0,J. Bayless misses 2-pt shot from 12 ft (block by B. Lopez),,23-26,,
3:29.0,,,23-26,,Defensive rebound by T. Young
3:23.0,,,23-26,,Shooting foul by M. Plumlee (drawn by J. Jack)
3:23.0,,,23-28,2,J. Jack makes 2-pt shot from 1 ft
3:23.0,J. O'Bryant enters the game for G. Antetokounmpo,,23-28,,
3:23.0,,,23-29,1,J. Jack makes free throw 1 of 1
3:07.0,,,23-29,,Personal foul by M. Brown (drawn by J. Bayless)
3:07.0,J. Bayless misses free throw 1 of 2,,23-29,,
3:07.0,Offensive rebound by Team,,23-29,,
3:07.0,,,23-29,,A. Bargnani enters the game for T. Young
3:07.0,J. Bayless misses free throw 2 of 2,,23-29,,
3:06.0,Offensive rebound by Team,,23-29,,
2:51.0,M. Plumlee makes 2-pt shot from 2 ft (assist by J. Bayless),2,25-29,,
2:33.0,,,25-31,2,J. Jack makes 2-pt shot from 8 ft
2:23.0,G. Vasquez misses 3-pt shot from 24 ft,,25-31,,
2:22.0,Offensive rebound by M. Plumlee,,25-31,,
2:16.0,J. Bayless makes 3-pt shot from 23 ft (assist by M. Plumlee),3,28-31,,
2:00.0,,,28-31,,Offensive charge foul by B. Lopez
2:00.0,,,28-31,,Turnover by B. Lopez (offensive foul)
2:00.0,Milwaukee full timeout,,28-31,,
1:41.0,G. Vasquez misses 2-pt shot from 8 ft,,28-31,,
1:40.0,Offensive rebound by J. O'Bryant,,28-31,,
1:38.0,J. O'Bryant makes 2-pt shot from 4 ft,2,30-31,,
1:15.0,,,30-31,,A. Bargnani misses 3-pt shot from 26 ft
1:14.0,Defensive rebound by J. Bayless,,30-31,,
1:06.0,J. Bayless misses 2-pt shot from 10 ft,,30-31,,
1:05.0,,,30-31,,Defensive rebound by A. Bargnani
0:52.0,,,30-31,,A. Bargnani misses 2-pt shot from 19 ft
0:51.0,Defensive rebound by M. Plumlee,,30-31,,
0:36.0,Turnover by J. Bayless (bad pass),,30-31,,
0:27.0,,,30-31,,Turnover by B. Lopez (lost ball; steal by G. Vasquez)
0:22.0,G. Vasquez misses 2-pt shot from 3 ft (block by M. Brown),,30-31,,
0:19.0,Offensive rebound by K. Middleton,,30-31,,
0:17.0,J. Bayless makes 3-pt shot from 23 ft (assist by K. Middleton),3,33-31,,
0:05.0,Personal foul by M. Plumlee (drawn by J. Jack),,33-31,,
0:05.0,,,33-32,1,J. Jack makes free throw 1 of 2
0:05.0,C. Copeland enters the game for M. Plumlee,,33-32,,
0:05.0,,,33-32,,R. Hollis-Jefferson enters the game for B. Lopez
0:05.0,,,33-32,,T. Robinson enters the game for J. Johnson
0:05.0,,,33-32,,B. Bogdanovic enters the game for M. Brown
0:05.0,,,33-33,1,J. Jack makes free throw 2 of 2
0:01.0,K. Middleton misses 3-pt shot from 27 ft,,33-33,,
0:00.0,Offensive rebound by Team,,33-33,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:40.0,G. Monroe makes 2-pt shot from 4 ft,2,35-33,,
11:19.0,Personal foul by G. Vasquez (drawn by B. Bogdanovic),,35-33,,
11:07.0,,,35-35,2,B. Bogdanovic makes 2-pt shot from 8 ft
10:48.0,J. O'Bryant misses 2-pt shot from 2 ft,,35-35,,
10:47.0,,,35-35,,Defensive rebound by B. Bogdanovic
10:32.0,,,35-35,,A. Bargnani misses 2-pt shot from 6 ft
10:31.0,Defensive rebound by J. Bayless,,35-35,,
10:25.0,J. Bayless misses 3-pt shot from 26 ft,,35-35,,
10:24.0,,,35-35,,Defensive rebound by T. Robinson
10:08.0,,,35-37,2,S. Larkin makes 2-pt shot from 12 ft (assist by T. Robinson)
9:46.0,Turnover by G. Antetokounmpo (lost ball),,35-37,,
9:39.0,Personal foul by J. Bayless (drawn by S. Larkin),,35-37,,
9:29.0,,,35-37,,B. Bogdanovic misses 2-pt shot from 2 ft
9:28.0,,,35-37,,Offensive rebound by A. Bargnani
9:27.0,,,35-37,,A. Bargnani misses 2-pt shot from 1 ft
9:26.0,,,35-37,,Offensive rebound by A. Bargnani
9:25.0,,,35-37,,A. Bargnani misses 2-pt shot at rim
9:24.0,,,35-37,,Offensive rebound by A. Bargnani
9:23.0,,,35-37,,Shooting foul by G. Antetokounmpo (drawn by A. Bargnani)
9:23.0,,,35-38,1,A. Bargnani makes free throw 1 of 2
9:23.0,,,35-39,1,A. Bargnani makes free throw 2 of 2
9:02.0,J. Bayless makes 3-pt shot from 24 ft (assist by J. O'Bryant),3,38-39,,
8:44.0,,,38-41,2,S. Larkin makes 2-pt shot from 18 ft (assist by B. Bogdanovic)
8:33.0,Official timeout,,38-41,,
8:22.0,Shooting foul by R. Hollis-Jefferson (drawn by G. Antetokounmpo),,38-41,,
8:22.0,G. Antetokounmpo makes free throw 1 of 2,1,39-41,,
8:22.0,G. Antetokounmpo makes free throw 2 of 2,1,40-41,,
8:05.0,,,40-41,,T. Robinson misses 2-pt shot from 2 ft (block by J. O'Bryant)
8:04.0,Defensive rebound by G. Monroe,,40-41,,
7:47.0,G. Antetokounmpo makes 2-pt shot from 1 ft,2,42-41,,
7:42.0,,,42-41,,Turnover by T. Robinson (bad pass)
7:42.0,,,42-41,,J. Johnson enters the game for R. Hollis-Jefferson
7:38.0,J. O'Bryant makes 2-pt shot from 10 ft (assist by G. Antetokounmpo),2,44-41,,
7:17.0,,,44-41,,A. Bargnani misses 2-pt shot from 13 ft
7:16.0,Defensive rebound by G. Monroe,,44-41,,
7:07.0,,,44-41,,Personal foul by T. Robinson (drawn by G. Monroe)
7:07.0,G. Monroe makes free throw 1 of 2,1,45-41,,
7:07.0,,,45-41,,T. Young enters the game for A. Bargnani
7:07.0,,,45-41,,B. Lopez enters the game for T. Robinson
7:07.0,G. Monroe makes free throw 2 of 2,1,46-41,,
6:58.0,,,46-41,,Turnover by S. Larkin (bad pass)
6:40.0,G. Monroe makes 2-pt shot from 6 ft,2,48-41,,
6:23.0,,,48-41,,B. Lopez misses 2-pt shot from 5 ft
6:22.0,,,48-41,,Offensive rebound by Team
6:22.0,K. Middleton enters the game for G. Antetokounmpo,,48-41,,
6:22.0,,,48-41,,Brooklyn full timeout
6:18.0,,,48-41,,B. Bogdanovic misses 2-pt shot from 16 ft
6:17.0,,,48-41,,Offensive rebound by J. Johnson
6:15.0,,,48-41,,J. Johnson misses 2-pt shot from 1 ft
6:14.0,Defensive rebound by G. Monroe,,48-41,,
6:06.0,J. Bayless misses 3-pt shot from 23 ft,,48-41,,
6:05.0,,,48-41,,Defensive rebound by B. Lopez
5:54.0,,,48-43,2,B. Bogdanovic makes 2-pt shot from 9 ft
5:43.0,J. Bayless makes 2-pt shot at rim (assist by G. Vasquez),2,50-43,,
5:22.0,,,50-43,,Offensive charge foul by S. Larkin
5:22.0,,,50-43,,Turnover by S. Larkin (offensive foul)
5:22.0,,,50-43,,J. Jack enters the game for S. Larkin
5:09.0,K. Middleton makes 2-pt shot from 16 ft (assist by G. Vasquez),2,52-43,,
4:52.0,,,52-43,,Turnover by J. Jack (lost ball)
4:35.0,G. Vasquez misses 2-pt shot from 18 ft,,52-43,,
4:34.0,,,52-43,,Defensive rebound by J. Johnson
4:24.0,,,52-46,3,B. Bogdanovic makes 3-pt shot from 23 ft (assist by J. Jack)
4:09.0,G. Vasquez misses 3-pt shot from 25 ft,,52-46,,
4:07.0,,,52-46,,Defensive rebound by T. Young
4:01.0,,,52-46,,Turnover by T. Young (lost ball; steal by G. Monroe)
3:57.0,,,52-46,,Loose ball foul by T. Young (drawn by J. Bayless)
3:57.0,M. Carter-Williams enters the game for G. Vasquez,,52-46,,
3:57.0,G. Antetokounmpo enters the game for J. O'Bryant,,52-46,,
3:35.0,G. Antetokounmpo misses 3-pt shot from 26 ft,,52-46,,
3:34.0,,,52-46,,Defensive rebound by J. Johnson
3:27.0,,,52-46,,J. Johnson misses 3-pt shot from 26 ft
3:25.0,,,52-46,,Offensive rebound by T. Young
3:23.0,,,52-46,,T. Young misses 2-pt shot from 3 ft (block by G. Antetokounmpo)
3:22.0,Defensive rebound by G. Monroe,,52-46,,
3:15.0,J. Bayless misses 3-pt shot from 24 ft,,52-46,,
3:14.0,Offensive rebound by G. Antetokounmpo,,52-46,,
3:01.0,,,52-46,,M. Brown enters the game for T. Young
2:59.0,G. Antetokounmpo makes 2-pt shot from 3 ft (assist by M. Carter-Williams),2,54-46,,
2:47.0,,,54-46,,Turnover by J. Jack (lost ball; steal by K. Middleton)
2:41.0,G. Antetokounmpo makes 2-pt shot at rim (assist by K. Middleton),2,56-46,,
2:39.0,,,56-46,,Brooklyn full timeout
2:39.0,Milwaukee full timeout,,56-46,,
2:29.0,,,56-46,,B. Lopez misses 2-pt shot from 3 ft
2:28.0,Defensive rebound by G. Antetokounmpo,,56-46,,
2:06.0,G. Monroe misses 2-pt shot from 7 ft,,56-46,,
2:05.0,,,56-46,,Defensive rebound by M. Brown
1:53.0,,,56-46,,J. Johnson misses 3-pt shot from 23 ft
1:52.0,Defensive rebound by G. Monroe,,56-46,,
1:49.0,,,56-46,,Shooting block foul by J. Jack (drawn by J. Bayless)
1:49.0,J. Bayless misses free throw 1 of 2,,56-46,,
1:49.0,Offensive rebound by Team,,56-46,,
1:49.0,,,56-46,,W. Ellington enters the game for J. Jack
1:49.0,J. Bayless makes free throw 2 of 2,1,57-46,,
1:35.0,,,57-46,,M. Brown misses 2-pt shot from 19 ft
1:34.0,Defensive rebound by M. Carter-Williams,,57-46,,
1:29.0,G. Antetokounmpo misses 2-pt shot from 2 ft (block by B. Lopez),,57-46,,
1:27.0,,,57-46,,Defensive rebound by B. Lopez
1:21.0,,,57-46,,B. Bogdanovic misses 2-pt shot from 7 ft (block by M. Carter-Williams)
1:20.0,,,57-46,,Offensive rebound by Team
1:11.0,,,57-46,,Turnover by B. Bogdanovic (bad pass)
1:05.0,G. Monroe makes 2-pt shot from 17 ft (assist by J. Bayless),2,59-46,,
0:54.0,Personal foul by J. Bayless (drawn by B. Lopez),,59-46,,
0:48.0,,,59-48,2,M. Brown makes 2-pt shot from 2 ft
0:47.0,Turnover by M. Carter-Williams (traveling),,59-48,,
0:35.0,,,59-48,,B. Bogdanovic misses 3-pt shot from 24 ft
0:34.0,Defensive rebound by G. Antetokounmpo,,59-48,,
0:22.0,K. Middleton misses 2-pt shot from 10 ft,,59-48,,
0:21.0,,,59-48,,Defensive rebound by B. Lopez
0:02.0,,,59-48,,B. Bogdanovic misses 3-pt shot from 24 ft
0:01.0,Defensive rebound by K. Middleton,,59-48,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:38.0,G. Antetokounmpo misses 3-pt shot from 26 ft,,59-48,,
11:37.0,,,59-48,,Defensive rebound by Team
11:26.0,Personal foul by G. Monroe (drawn by B. Lopez),,59-48,,
11:14.0,,,59-51,3,J. Jack makes 3-pt shot from 27 ft (assist by J. Johnson)
10:52.0,G. Antetokounmpo misses 2-pt shot at rim,,59-51,,
10:50.0,Offensive rebound by G. Antetokounmpo,,59-51,,
10:48.0,G. Antetokounmpo misses 2-pt shot from 2 ft,,59-51,,
10:47.0,,,59-51,,Defensive rebound by B. Lopez
10:28.0,,,59-51,,M. Brown misses 3-pt shot from 25 ft
10:26.0,Defensive rebound by G. Monroe,,59-51,,
10:16.0,G. Monroe makes 2-pt shot from 17 ft (assist by M. Carter-Williams),2,61-51,,
10:04.0,,,61-53,2,T. Young makes 2-pt shot from 3 ft (assist by J. Johnson)
9:53.0,,,61-53,,Personal foul by J. Johnson (drawn by G. Monroe)
9:37.0,Turnover by M. Carter-Williams (lost ball),,61-53,,
9:23.0,,,61-53,,Shooting foul by G. Monroe (drawn by B. Lopez)
9:23.0,,,61-54,1,B. Lopez makes free throw 1 of 2
9:23.0,,,61-55,1,B. Lopez makes free throw 2 of 2
9:13.0,Turnover by J. Bayless (traveling),,61-55,,
9:02.0,Personal foul by G. Monroe (drawn by J. Johnson),,61-55,,
8:52.0,,,61-57,2,J. Johnson makes 2-pt shot from 16 ft
8:29.0,Shooting foul by B. Lopez (drawn by G. Monroe),,61-57,,
8:29.0,G. Monroe makes free throw 1 of 2,1,62-57,,
8:29.0,G. Monroe misses free throw 2 of 2,,62-57,,
8:28.0,,,62-57,,Defensive rebound by T. Young
8:09.0,,,62-57,,Turnover by J. Jack (lost ball; steal by M. Carter-Williams)
8:06.0,M. Carter-Williams makes 2-pt shot at rim,2,64-57,,
7:53.0,,,64-57,,T. Young misses 2-pt shot from 2 ft (block by M. Carter-Williams)
7:52.0,,,64-57,,Offensive rebound by Team
7:39.0,,,64-59,2,J. Jack makes 2-pt shot from 17 ft (assist by J. Johnson)
7:21.0,G. Antetokounmpo makes 2-pt shot at rim (assist by M. Carter-Williams),2,66-59,,
7:07.0,,,66-59,,Shooting foul by M. Carter-Williams (drawn by B. Lopez)
7:07.0,,,66-60,1,B. Lopez makes free throw 1 of 2
7:07.0,,,66-61,1,B. Lopez makes free throw 2 of 2
6:47.0,G. Antetokounmpo misses 2-pt shot from 1 ft (block by T. Young),,66-61,,
6:46.0,Offensive rebound by Team,,66-61,,
6:39.0,K. Middleton makes 2-pt shot from 17 ft (assist by M. Carter-Williams),2,68-61,,
6:28.0,,,68-63,2,B. Lopez makes 2-pt shot from 19 ft (assist by M. Brown)
6:16.0,K. Middleton makes 3-pt shot from 25 ft,3,71-63,,
6:01.0,,,71-63,,Shooting foul by M. Carter-Williams (drawn by J. Jack)
6:01.0,,,71-63,,J. Jack misses free throw 1 of 2
6:01.0,,,71-63,,Offensive rebound by Team
6:01.0,G. Vasquez enters the game for M. Carter-Williams,,71-63,,
6:01.0,,,71-64,1,J. Jack makes free throw 2 of 2
5:36.0,J. Bayless makes 3-pt shot from 26 ft (assist by G. Vasquez),3,74-64,,
5:14.0,,,74-64,,J. Johnson misses 2-pt shot from 7 ft (block by K. Middleton)
5:12.0,Defensive rebound by G. Monroe,,74-64,,
5:02.0,G. Monroe misses 2-pt shot from 5 ft,,74-64,,
5:01.0,,,74-64,,Defensive rebound by J. Jack
4:55.0,,,74-66,2,T. Young makes 2-pt shot from 2 ft (assist by J. Jack)
4:40.0,G. Monroe misses 2-pt shot from 1 ft,,74-66,,
4:39.0,,,74-66,,Defensive rebound by M. Brown
4:30.0,,,74-68,2,J. Johnson makes 2-pt shot from 17 ft (assist by M. Brown)
4:30.0,Milwaukee full timeout,,74-68,,
4:30.0,M. Plumlee enters the game for G. Monroe,,74-68,,
4:20.0,G. Antetokounmpo makes 2-pt shot from 1 ft (assist by G. Vasquez),2,76-68,,
4:03.0,,,76-68,,Offensive foul by B. Lopez
4:03.0,,,76-68,,Turnover by B. Lopez (offensive foul)
3:54.0,Turnover by M. Plumlee (step out of bounds),,76-68,,
3:38.0,,,76-71,3,J. Johnson makes 3-pt shot from 24 ft (assist by T. Young)
3:27.0,Turnover by M. Plumlee (traveling),,76-71,,
3:12.0,,,76-73,2,M. Brown makes 2-pt shot from 11 ft (assist by T. Young)
3:01.0,Turnover by G. Vasquez (traveling),,76-73,,
3:01.0,,,76-73,,Brooklyn full timeout
2:41.0,,,76-73,,B. Lopez misses 3-pt shot from 26 ft
2:40.0,Defensive rebound by Team,,76-73,,
2:30.0,J. Bayless misses 2-pt shot from 5 ft,,76-73,,
2:29.0,,,76-73,,Defensive rebound by B. Lopez
2:23.0,,,76-75,2,J. Jack makes 2-pt shot from 1 ft
2:11.0,Offensive charge foul by M. Plumlee,,76-75,,
2:11.0,Turnover by M. Plumlee (offensive foul),,76-75,,
2:11.0,,,76-75,,A. Bargnani enters the game for B. Lopez
2:11.0,J. O'Bryant enters the game for M. Plumlee,,76-75,,
1:51.0,,,76-75,,T. Young misses 2-pt shot from 17 ft
1:50.0,,,76-75,,Offensive rebound by A. Bargnani
1:36.0,,,76-75,,M. Brown misses 3-pt shot from 26 ft
1:35.0,Defensive rebound by J. O'Bryant,,76-75,,
1:23.0,Turnover by G. Antetokounmpo (traveling),,76-75,,
1:23.0,,,76-75,,B. Bogdanovic enters the game for M. Brown
1:08.0,,,76-75,,Turnover by A. Bargnani (3 sec)
0:52.0,J. O'Bryant makes 2-pt shot from 19 ft (assist by G. Vasquez),2,78-75,,
0:40.0,,,78-77,2,T. Young makes 2-pt shot from 3 ft
0:26.0,K. Middleton makes 2-pt shot from 6 ft (assist by G. Vasquez),2,80-77,,
0:03.0,,,80-77,,T. Young misses 2-pt shot from 7 ft
0:03.0,,,80-77,,Offensive rebound by Team
0:02.0,,,80-79,2,A. Bargnani makes 2-pt shot from 12 ft (assist by J. Johnson)
0:02.0,,,80-79,,Shooting foul by G. Antetokounmpo (drawn by A. Bargnani)
0:02.0,,,80-79,,R. Hollis-Jefferson enters the game for J. Johnson
0:02.0,,,80-80,1,A. Bargnani makes free throw 1 of 1
0:00.0,G. Vasquez misses 3-pt shot from 53 ft,,80-80,,
0:00.0,Offensive rebound by Team,,80-80,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:45.0,Def 3 sec tech foul by G. Antetokounmpo,,80-80,,
11:45.0,,,80-80,,B. Bogdanovic misses technical free throw
11:45.0,,,80-80,,Offensive rebound by Team
11:37.0,,,80-80,,A. Bargnani misses 2-pt shot from 17 ft
11:36.0,Defensive rebound by G. Monroe,,80-80,,
11:20.0,G. Monroe makes 2-pt shot from 2 ft (assist by G. Antetokounmpo),2,82-80,,
10:54.0,,,82-82,2,B. Lopez makes 2-pt shot from 18 ft
10:36.0,J. Bayless makes 3-pt shot from 23 ft (assist by G. Vasquez),3,85-82,,
10:36.0,Shooting foul by W. Ellington (drawn by J. Bayless),,85-82,,
10:36.0,J. Bayless makes free throw 1 of 1,1,86-82,,
10:20.0,,,86-84,2,B. Bogdanovic makes 2-pt shot from 5 ft
10:02.0,G. Vasquez misses 3-pt shot from 24 ft,,86-84,,
10:01.0,,,86-84,,Defensive rebound by B. Lopez
9:49.0,Personal block foul by J. O'Bryant (drawn by S. Larkin),,86-84,,
9:34.0,,,86-86,2,S. Larkin makes 2-pt shot from 1 ft (assist by B. Lopez)
9:15.0,Shooting foul by B. Lopez (drawn by J. O'Bryant),,86-86,,
9:15.0,J. O'Bryant makes free throw 1 of 2,1,87-86,,
9:15.0,,,87-86,,J. Johnson enters the game for B. Lopez
9:15.0,J. O'Bryant makes free throw 2 of 2,1,88-86,,
9:06.0,,,88-86,,J. Johnson misses 3-pt shot from 26 ft
9:05.0,Defensive rebound by J. Bayless,,88-86,,
8:50.0,G. Monroe misses 2-pt shot from 5 ft,,88-86,,
8:49.0,,,88-86,,Defensive rebound by S. Larkin
8:38.0,,,88-86,,W. Ellington misses 3-pt shot from 22 ft
8:37.0,Defensive rebound by G. Monroe,,88-86,,
8:35.0,Milwaukee full timeout,,88-86,,
8:35.0,K. Middleton enters the game for J. O'Bryant,,88-86,,
8:15.0,J. Bayless makes 2-pt shot from 10 ft,2,90-86,,
7:58.0,,,90-89,3,B. Bogdanovic makes 3-pt shot from 22 ft (assist by S. Larkin)
7:43.0,,,90-89,,Personal foul by A. Bargnani (drawn by G. Monroe)
7:34.0,G. Antetokounmpo misses 2-pt shot from 1 ft,,90-89,,
7:33.0,Offensive rebound by G. Vasquez,,90-89,,
7:27.0,Jump ball: S. Larkin vs. G. Vasquez,,,,Jump ball: S. Larkin vs. G. Vasquez
7:11.0,G. Antetokounmpo makes 2-pt shot from 9 ft,2,92-89,,
7:01.0,,,92-89,,Offensive foul by A. Bargnani
7:01.0,,,92-89,,Turnover by A. Bargnani (offensive foul)
7:01.0,,,92-89,,B. Lopez enters the game for A. Bargnani
7:01.0,,,92-89,,J. Jack enters the game for W. Ellington
6:49.0,Turnover by G. Antetokounmpo (bad pass; steal by B. Bogdanovic),,92-89,,
6:48.0,Personal foul by K. Middleton (drawn by B. Bogdanovic),,92-89,,
6:34.0,,,92-89,,J. Jack misses 2-pt shot from 6 ft
6:33.0,,,92-89,,Offensive rebound by B. Bogdanovic
6:18.0,,,92-89,,Offensive charge foul by B. Bogdanovic
6:18.0,,,92-89,,Turnover by B. Bogdanovic (offensive foul)
5:58.0,G. Vasquez misses 3-pt shot from 23 ft,,92-89,,
5:57.0,Offensive rebound by G. Monroe,,92-89,,
5:47.0,K. Middleton misses 2-pt shot from 15 ft,,92-89,,
5:46.0,Offensive rebound by G. Antetokounmpo,,92-89,,
5:35.0,Turnover by G. Antetokounmpo (lost ball; steal by S. Larkin),,92-89,,
5:32.0,,,92-91,2,S. Larkin makes 2-pt shot from 2 ft
5:11.0,J. Bayless misses 3-pt shot from 22 ft,,92-91,,
5:10.0,,,92-91,,Defensive rebound by J. Jack
4:58.0,,,92-91,,Shooting foul by G. Antetokounmpo (drawn by B. Lopez)
4:58.0,Official timeout,,92-91,,
4:58.0,M. Carter-Williams enters the game for G. Vasquez,,92-91,,
4:58.0,,,92-92,1,B. Lopez makes free throw 1 of 2
4:58.0,,,92-92,,B. Lopez misses free throw 2 of 2
4:57.0,Defensive rebound by K. Middleton,,92-92,,
4:44.0,,,92-92,,Personal foul by B. Lopez (drawn by M. Carter-Williams)
4:44.0,,,92-92,,T. Robinson enters the game for B. Lopez
4:34.0,Turnover by G. Monroe (bad pass),,92-92,,
4:18.0,,,92-92,,J. Johnson misses 2-pt shot from 14 ft
4:17.0,,,92-92,,Offensive rebound by T. Robinson
4:16.0,,,92-92,,T. Robinson misses 2-pt shot at rim
4:15.0,Defensive rebound by Team,,92-92,,
3:59.0,K. Middleton misses 3-pt shot from 24 ft,,92-92,,
3:58.0,,,92-92,,Defensive rebound by S. Larkin
3:47.0,,,92-92,,J. Jack misses 2-pt shot from 8 ft
3:46.0,Defensive rebound by G. Monroe,,92-92,,
3:37.0,K. Middleton misses 3-pt shot from 25 ft,,92-92,,
3:36.0,,,92-92,,Defensive rebound by S. Larkin
3:24.0,,,92-92,,Shooting foul by G. Monroe (drawn by B. Bogdanovic)
3:24.0,,,92-93,1,B. Bogdanovic makes free throw 1 of 2
3:24.0,,,92-94,1,B. Bogdanovic makes free throw 2 of 2
3:05.0,G. Monroe makes 2-pt shot from 1 ft,2,94-94,,
2:45.0,,,94-96,2,S. Larkin makes 2-pt shot from 8 ft
2:45.0,,,94-96,,Shooting foul by M. Carter-Williams (drawn by S. Larkin)
2:45.0,,,94-96,,Brooklyn full timeout
2:45.0,,,94-96,,S. Larkin misses free throw 1 of 1
2:44.0,Defensive rebound by G. Antetokounmpo,,94-96,,
2:24.0,G. Monroe makes 2-pt shot from 4 ft,2,96-96,,
1:55.0,,,96-96,,J. Johnson misses 2-pt shot from 18 ft
1:54.0,Defensive rebound by M. Carter-Williams,,96-96,,
