time,Cleveland,pts.away,score,pts.home,Charlotte
2:50.0,,,16-17,,Charlotte full timeout
2:50.0,,,16-17,,J. Lin enters the game for K. Walker
2:40.0,J. Jones misses 3-pt shot from 23 ft,,16-17,,
2:39.0,,,16-17,,Defensive rebound by J. Lamb
2:17.0,,,16-17,,N. Batum misses 3-pt shot from 26 ft
2:16.0,Defensive rebound by L. James,,16-17,,
2:10.0,R. Jefferson misses 3-pt shot from 22 ft,,16-17,,
2:08.0,,,16-17,,Defensive rebound by J. Lin
1:59.0,,,16-17,,J. Lamb misses 2-pt shot from 4 ft
1:58.0,Defensive rebound by L. James,,16-17,,
1:50.0,L. James makes 2-pt shot from 2 ft,2,18-17,,
1:29.0,,,18-17,,Shooting foul by L. James (drawn by C. Zeller)
1:29.0,,,18-18,1,C. Zeller makes free throw 1 of 2
1:29.0,,,18-19,1,C. Zeller makes free throw 2 of 2
1:17.0,L. James misses 2-pt shot from 2 ft (block by C. Zeller),,18-19,,
1:15.0,,,18-19,,Defensive rebound by C. Zeller
1:12.0,Personal foul by J. Jones (drawn by F. Kaminsky),,18-19,,
1:12.0,,,18-20,1,F. Kaminsky makes free throw 1 of 2
1:12.0,,,18-20,,F. Kaminsky misses free throw 2 of 2
1:10.0,Defensive rebound by L. James,,18-20,,
1:02.0,,,18-20,,Personal foul by F. Kaminsky (drawn by R. Jefferson)
0:55.0,J. Jones misses 2-pt shot from 11 ft,,18-20,,
0:55.0,Offensive rebound by Team,,18-20,,
0:55.0,,,18-20,,Loose ball foul by C. Zeller (drawn by T. Thompson)
0:55.0,T. Thompson misses free throw 1 of 2,,18-20,,
0:55.0,Offensive rebound by Team,,18-20,,
0:55.0,T. Thompson makes free throw 2 of 2,1,19-20,,
0:41.0,,,19-22,2,C. Zeller makes 2-pt shot from 1 ft (assist by N. Batum)
0:32.0,L. James makes 2-pt shot from 2 ft,2,21-22,,
0:11.0,,,21-22,,J. Lin misses 2-pt shot from 1 ft (block by M. Dellavedova)
0:10.0,Defensive rebound by M. Dellavedova,,21-22,,
0:08.0,Shooting foul by J. Lamb (drawn by R. Jefferson),,21-22,,
0:08.0,R. Jefferson makes free throw 1 of 2,1,22-22,,
0:08.0,J. Cunningham enters the game for L. James,,22-22,,
0:08.0,R. Jefferson makes free throw 2 of 2,1,23-22,,
0:00.0,,,23-22,,Offensive foul by C. Zeller
0:00.0,,,23-22,,Turnover by C. Zeller (offensive foul)
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:47.0,T. Thompson makes 2-pt shot at rim (assist by L. James),2,25-22,,
11:32.0,,,25-24,2,J. Lamb makes 2-pt shot from 2 ft (assist by S. Hawes)
11:20.0,Shooting foul by S. Hawes (drawn by R. Jefferson),,25-24,,
11:20.0,R. Jefferson misses free throw 1 of 2,,25-24,,
11:20.0,Offensive rebound by Team,,25-24,,
11:20.0,R. Jefferson misses free throw 2 of 2,,25-24,,
11:20.0,Offensive rebound by Team,,25-24,,
11:20.0,,,25-24,,Loose ball foul by M. Williams (drawn by J. Jones)
11:20.0,,,25-24,,P. Hairston enters the game for M. Williams
11:11.0,Shooting foul by J. Lin (drawn by L. James),,25-24,,
11:11.0,L. James makes free throw 1 of 2,1,26-24,,
11:11.0,L. James makes free throw 2 of 2,1,27-24,,
10:57.0,,,27-27,3,J. Lin makes 3-pt shot from 25 ft (assist by P. Hairston)
10:44.0,,,27-27,,Personal foul by S. Hawes (drawn by T. Thompson)
10:30.0,J. Jones misses 3-pt shot from 26 ft,,27-27,,
10:28.0,,,27-27,,Defensive rebound by J. Lamb
10:13.0,,,27-27,,F. Kaminsky misses 2-pt shot from 3 ft
10:12.0,Defensive rebound by T. Thompson,,27-27,,
10:05.0,M. Dellavedova misses 2-pt shot from 4 ft,,27-27,,
10:04.0,Offensive rebound by T. Thompson,,27-27,,
10:04.0,T. Thompson makes 2-pt shot from 1 ft,2,29-27,,
9:45.0,,,29-29,2,S. Hawes makes 2-pt shot from 4 ft (assist by J. Lin)
9:26.0,Shooting foul by P. Hairston (drawn by L. James),,29-29,,
9:26.0,L. James makes free throw 1 of 2,1,30-29,,
9:26.0,,,30-29,,M. Williams enters the game for P. Hairston
9:26.0,K. Love enters the game for J. Jones,,30-29,,
9:26.0,L. James makes free throw 2 of 2,1,31-29,,
9:07.0,,,31-31,2,J. Lamb makes 2-pt shot at rim (assist by J. Lin)
8:57.0,Turnover by T. Thompson (3 sec),,31-31,,
8:57.0,Official timeout,,31-31,,
8:43.0,,,31-31,,J. Lamb misses 3-pt shot from 26 ft
8:42.0,,,31-31,,Offensive rebound by M. Williams
8:35.0,,,31-31,,J. Lamb misses 2-pt shot from 7 ft
8:33.0,Defensive rebound by K. Love,,31-31,,
8:21.0,L. James misses 2-pt shot from 1 ft,,31-31,,
8:17.0,Offensive rebound by L. James,,31-31,,
8:17.0,L. James makes 2-pt shot from 1 ft,2,33-31,,
7:52.0,,,33-31,,M. Williams misses 3-pt shot from 25 ft
7:50.0,,,33-31,,Offensive rebound by F. Kaminsky
7:50.0,,,33-33,2,F. Kaminsky makes 2-pt shot from 2 ft
7:33.0,M. Dellavedova misses 3-pt shot from 25 ft,,33-33,,
7:31.0,Offensive rebound by T. Thompson,,33-33,,
7:29.0,T. Thompson misses 2-pt shot from 2 ft (block by J. Lamb),,33-33,,
7:27.0,Offensive rebound by T. Thompson,,33-33,,
7:08.0,M. Dellavedova misses 2-pt shot from 9 ft,,33-33,,
7:06.0,,,33-33,,Defensive rebound by F. Kaminsky
6:52.0,,,33-35,2,S. Hawes makes 2-pt shot from 9 ft
6:40.0,Shooting foul by J. Lamb (drawn by R. Jefferson),,33-35,,
6:40.0,R. Jefferson makes free throw 1 of 2,1,34-35,,
6:40.0,T. Mozgov enters the game for T. Thompson,,34-35,,
6:40.0,J. Smith enters the game for L. James,,34-35,,
6:40.0,,,34-35,,A. Jefferson enters the game for J. Lamb
6:40.0,,,34-35,,N. Batum enters the game for F. Kaminsky
6:40.0,,,34-35,,K. Walker enters the game for S. Hawes
6:40.0,R. Jefferson misses free throw 2 of 2,,34-35,,
6:38.0,,,34-35,,Defensive rebound by A. Jefferson
6:24.0,,,34-37,2,K. Walker makes 2-pt shot from 1 ft (assist by M. Williams)
6:06.0,K. Love makes 3-pt shot from 22 ft (assist by R. Jefferson),3,37-37,,
5:49.0,,,37-40,3,K. Walker makes 3-pt shot from 23 ft (assist by J. Lin)
5:30.0,R. Jefferson makes 3-pt shot from 22 ft (assist by K. Love),3,40-40,,
5:20.0,,,40-40,,Charlotte full timeout
5:20.0,M. Williams enters the game for R. Jefferson,,40-40,,
5:00.0,,,40-40,,K. Walker misses 2-pt shot from 21 ft
4:58.0,Defensive rebound by K. Love,,40-40,,
4:41.0,K. Love makes 2-pt shot from 1 ft (assist by M. Dellavedova),2,42-40,,
4:26.0,,,42-40,,Turnover by N. Batum (bad pass; steal by T. Mozgov)
4:19.0,T. Mozgov makes 2-pt shot at rim (assist by J. Smith),2,44-40,,
4:08.0,Personal foul by M. Williams (drawn by J. Lin),,44-40,,
3:54.0,,,44-40,,K. Walker misses 2-pt shot from 19 ft
3:53.0,Defensive rebound by K. Love,,44-40,,
3:41.0,T. Mozgov misses 2-pt shot from 6 ft,,44-40,,
3:38.0,,,44-40,,Defensive rebound by N. Batum
3:25.0,,,44-40,,A. Jefferson misses 2-pt shot from 2 ft
3:24.0,Defensive rebound by M. Williams,,44-40,,
3:11.0,K. Love makes 2-pt shot from 1 ft,2,46-40,,
2:54.0,,,46-42,2,J. Lin makes 2-pt shot from 1 ft (assist by A. Jefferson)
2:54.0,Cleveland full timeout,,46-42,,
2:54.0,L. James enters the game for M. Dellavedova,,46-42,,
2:37.0,Turnover by K. Love (bad pass; steal by A. Jefferson),,46-42,,
2:27.0,,,46-45,3,M. Williams makes 3-pt shot from 26 ft (assist by K. Walker)
2:10.0,T. Mozgov misses 2-pt shot from 5 ft,,46-45,,
2:09.0,Offensive rebound by T. Mozgov,,46-45,,
2:07.0,T. Mozgov misses 2-pt shot from 1 ft,,46-45,,
2:06.0,Offensive rebound by K. Love,,46-45,,
2:06.0,K. Love makes 2-pt shot from 1 ft,2,48-45,,
1:38.0,,,48-45,,J. Lin misses 3-pt shot from 23 ft
1:38.0,Defensive rebound by K. Love,,48-45,,
1:24.0,Turnover by T. Mozgov (3 sec),,48-45,,
1:24.0,T. Thompson enters the game for T. Mozgov,,48-45,,
1:24.0,M. Dellavedova enters the game for M. Williams,,48-45,,
1:20.0,,,48-45,,Shooting foul by T. Thompson (drawn by K. Walker)
1:20.0,,,48-46,1,K. Walker makes free throw 1 of 2
1:20.0,,,48-47,1,K. Walker makes free throw 2 of 2
1:01.0,L. James misses 2-pt shot from 7 ft,,48-47,,
1:00.0,,,48-47,,Defensive rebound by N. Batum
0:53.0,Personal foul by J. Smith (drawn by M. Williams),,48-47,,
0:53.0,,,48-48,1,M. Williams makes free throw 1 of 2
0:53.0,,,48-49,1,M. Williams makes free throw 2 of 2
0:29.0,J. Smith misses 3-pt shot from 29 ft,,48-49,,
0:27.0,Offensive rebound by K. Love,,48-49,,
0:08.0,L. James makes 2-pt shot from 1 ft,2,50-49,,
0:00.0,,,50-49,,Shooting foul by M. Dellavedova (drawn by K. Walker)
0:00.0,,,50-50,1,K. Walker makes free throw 1 of 3
0:00.0,,,50-51,1,K. Walker makes free throw 2 of 3
0:00.0,,,50-52,1,K. Walker makes free throw 3 of 3
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:50.0,J. Smith makes 2-pt shot from 18 ft (assist by L. James),2,52-52,,
11:37.0,,,52-52,,Shooting foul by J. Smith (drawn by N. Batum)
11:37.0,,,52-53,1,N. Batum makes free throw 1 of 3
11:37.0,,,52-54,1,N. Batum makes free throw 2 of 3
11:37.0,,,52-55,1,N. Batum makes free throw 3 of 3
11:22.0,J. Smith makes 2-pt shot from 23 ft (assist by L. James),2,54-55,,
11:05.0,,,54-55,,P. Hairston misses 2-pt shot from 15 ft
11:04.0,Defensive rebound by K. Love,,54-55,,
10:52.0,J. Smith misses 3-pt shot from 25 ft,,54-55,,
10:49.0,,,54-55,,Defensive rebound by K. Walker
10:39.0,,,54-57,2,A. Jefferson makes 2-pt shot from 18 ft (assist by M. Williams)
10:19.0,Offensive foul by T. Mozgov,,54-57,,
10:19.0,Turnover by T. Mozgov (offensive foul),,54-57,,
10:01.0,,,54-59,2,A. Jefferson makes 2-pt shot from 1 ft
10:01.0,,,54-59,,Personal foul by N. Batum (drawn by J. Smith)
10:01.0,Personal foul by J. Smith,,54-59,,
9:44.0,Turnover by M. Williams (bad pass; steal by K. Walker),,54-59,,
9:31.0,,,54-61,2,A. Jefferson makes 2-pt shot from 18 ft
9:17.0,Turnover by L. James (bad pass; steal by K. Walker),,54-61,,
9:07.0,,,54-61,,P. Hairston misses 3-pt shot from 26 ft
9:06.0,,,54-61,,Offensive rebound by K. Walker
9:00.0,,,54-61,,Turnover by N. Batum (bad pass)
8:47.0,Turnover by K. Love (bad pass),,54-61,,
8:31.0,,,54-61,,A. Jefferson misses 2-pt shot from 10 ft
8:29.0,,,54-61,,Offensive rebound by A. Jefferson
8:22.0,,,54-61,,K. Walker misses 2-pt shot from 18 ft
8:20.0,Defensive rebound by K. Love,,54-61,,
8:09.0,J. Smith misses 3-pt shot from 26 ft,,54-61,,
8:07.0,,,54-61,,Defensive rebound by P. Hairston
7:56.0,,,54-61,,M. Williams misses 3-pt shot from 26 ft
7:54.0,Defensive rebound by J. Smith,,54-61,,
7:49.0,,,54-61,,Personal foul by M. Williams (drawn by K. Love)
7:37.0,M. Williams misses 2-pt shot from 16 ft (block by K. Walker),,54-61,,
7:35.0,Offensive rebound by T. Mozgov,,54-61,,
7:32.0,T. Mozgov misses 2-pt shot from 2 ft,,54-61,,
7:31.0,,,54-61,,Defensive rebound by A. Jefferson
7:30.0,,,54-61,,Turnover by K. Walker (bad pass)
7:30.0,Cleveland full timeout,,54-61,,
7:15.0,L. James makes 2-pt shot from 2 ft,2,56-61,,
7:00.0,Personal foul by M. Williams (drawn by K. Walker),,56-61,,
7:00.0,M. Dellavedova enters the game for M. Williams,,56-61,,
6:50.0,,,56-64,3,N. Batum makes 3-pt shot from 26 ft (assist by K. Walker)
6:23.0,J. Smith misses 2-pt shot at rim,,56-64,,
6:22.0,Offensive rebound by J. Smith,,56-64,,
6:22.0,J. Smith misses 2-pt shot at rim,,56-64,,
6:22.0,,,56-64,,Defensive rebound by Team
6:22.0,Loose ball foul by J. Smith (drawn by M. Williams),,56-64,,
6:22.0,R. Jefferson enters the game for J. Smith,,56-64,,
6:06.0,,,56-64,,N. Batum misses 3-pt shot from 25 ft
6:05.0,Defensive rebound by Team,,56-64,,
5:47.0,L. James makes 3-pt shot from 27 ft (assist by M. Dellavedova),3,59-64,,
5:41.0,Personal foul by M. Dellavedova (drawn by K. Walker),,59-64,,
5:41.0,T. Thompson enters the game for T. Mozgov,,59-64,,
5:28.0,,,59-66,2,A. Jefferson makes 2-pt shot from 8 ft
5:03.0,,,59-66,,Personal foul by M. Williams (drawn by T. Thompson)
5:03.0,,,59-66,,C. Zeller enters the game for M. Williams
4:57.0,L. James makes 3-pt shot from 26 ft (assist by M. Dellavedova),3,62-66,,
4:44.0,,,62-66,,Shooting foul by T. Thompson (drawn by A. Jefferson)
4:44.0,,,62-66,,A. Jefferson misses free throw 1 of 2
4:44.0,,,62-66,,Offensive rebound by Team
4:44.0,,,62-67,1,A. Jefferson makes free throw 2 of 2
4:22.0,R. Jefferson makes 2-pt shot from 1 ft (assist by L. James),2,64-67,,
4:10.0,,,64-69,2,K. Walker makes 2-pt shot from 17 ft
3:43.0,T. Thompson misses 2-pt shot from 3 ft (block by A. Jefferson),,64-69,,
3:41.0,Offensive rebound by K. Love,,64-69,,
3:36.0,K. Love misses 2-pt shot from 7 ft,,64-69,,
3:35.0,,,64-69,,Defensive rebound by A. Jefferson
3:22.0,,,64-69,,A. Jefferson misses 2-pt shot from 7 ft
3:20.0,Defensive rebound by K. Love,,64-69,,
3:12.0,L. James misses 3-pt shot from 25 ft,,64-69,,
3:11.0,,,64-69,,Defensive rebound by C. Zeller
3:06.0,,,64-69,,Turnover by K. Walker (traveling)
3:06.0,,,64-69,,F. Kaminsky enters the game for A. Jefferson
2:52.0,K. Love makes 2-pt shot from 7 ft (assist by T. Thompson),2,66-69,,
2:37.0,,,66-71,2,K. Walker makes 2-pt shot from 2 ft (assist by C. Zeller)
2:27.0,Shooting foul by P. Hairston (drawn by L. James),,66-71,,
2:27.0,L. James makes 2-pt shot at rim (assist by M. Dellavedova),2,68-71,,
2:27.0,,,68-71,,Charlotte full timeout
2:27.0,,,68-71,,J. Lamb enters the game for P. Hairston
2:27.0,L. James makes free throw 1 of 1,1,69-71,,
2:12.0,,,69-73,2,N. Batum makes 2-pt shot from 13 ft
1:44.0,R. Jefferson misses 2-pt shot from 19 ft,,69-73,,
1:44.0,,,69-73,,Defensive rebound by Team
1:44.0,M. Williams enters the game for L. James,,69-73,,
1:28.0,,,69-73,,Offensive foul by F. Kaminsky
1:28.0,,,69-73,,Turnover by F. Kaminsky (offensive foul)
1:28.0,,,69-73,,J. Lin enters the game for K. Walker
1:13.0,Turnover by R. Jefferson (lost ball; steal by N. Batum),,69-73,,
1:13.0,Personal foul by R. Jefferson (drawn by N. Batum),,69-73,,
1:13.0,,,69-74,1,N. Batum makes free throw 1 of 2
1:13.0,,,69-74,,N. Batum misses free throw 2 of 2
1:12.0,Defensive rebound by K. Love,,69-74,,
1:02.0,K. Love makes 3-pt shot from 24 ft (assist by M. Williams),3,72-74,,
0:51.0,,,72-76,2,N. Batum makes 2-pt shot from 17 ft
0:31.0,M. Dellavedova misses 3-pt shot from 25 ft,,72-76,,
0:29.0,,,72-76,,Defensive rebound by J. Lin
0:24.0,,,72-76,,J. Lamb misses 3-pt shot from 26 ft
0:21.0,Defensive rebound by T. Thompson,,72-76,,
0:06.0,,,72-76,,Personal foul by J. Lin (drawn by M. Williams)
0:01.0,K. Love misses 3-pt shot from 25 ft,,72-76,,
0:00.0,,,72-76,,Defensive rebound by J. Lin
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:44.0,,,72-76,,J. Lin misses 2-pt shot from 2 ft (block by M. Williams)
11:44.0,,,72-76,,Offensive rebound by Team
11:43.0,Personal foul by M. Williams (drawn by J. Lin),,72-76,,
11:39.0,,,72-78,2,J. Lamb makes 2-pt shot at rim (assist by F. Kaminsky)
11:19.0,J. Jones misses 3-pt shot from 24 ft,,72-78,,
11:18.0,,,72-78,,Defensive rebound by J. Lin
11:14.0,,,72-78,,Turnover by J. Lin (bad pass)
10:57.0,R. Jefferson makes 3-pt shot from 22 ft (assist by M. Williams),3,75-78,,
10:42.0,,,75-80,2,J. Lin makes 2-pt shot from 9 ft
10:27.0,Offensive foul by T. Thompson,,75-80,,
10:27.0,Turnover by T. Thompson (offensive foul),,75-80,,
10:13.0,,,75-82,2,J. Lamb makes 2-pt shot from 15 ft (assist by J. Lin)
9:53.0,Shooting foul by C. Zeller (drawn by M. Dellavedova),,75-82,,
9:53.0,M. Dellavedova makes free throw 1 of 2,1,76-82,,
9:53.0,J. Smith enters the game for M. Williams,,76-82,,
9:53.0,L. James enters the game for J. Jones,,76-82,,
9:53.0,M. Dellavedova makes free throw 2 of 2,1,77-82,,
9:41.0,,,77-82,,J. Lamb misses 2-pt shot from 18 ft
9:40.0,Defensive rebound by T. Thompson,,77-82,,
9:21.0,L. James misses 3-pt shot from 23 ft,,77-82,,
9:20.0,,,77-82,,Defensive rebound by J. Lamb
9:07.0,,,77-82,,Turnover by J. Lin (lost ball; steal by T. Thompson)
9:03.0,R. Jefferson makes 2-pt shot from 1 ft,2,79-82,,
8:48.0,,,79-82,,C. Zeller misses 2-pt shot from 8 ft
8:47.0,Defensive rebound by T. Thompson,,79-82,,
8:25.0,Turnover by J. Smith (lost ball),,79-82,,
8:25.0,Official timeout,,79-82,,
8:25.0,,,79-82,,K. Walker enters the game for J. Lin
8:15.0,,,79-82,,Shooting foul by T. Thompson (drawn by C. Zeller)
8:15.0,,,79-83,1,C. Zeller makes free throw 1 of 2
8:15.0,,,79-84,1,C. Zeller makes free throw 2 of 2
8:00.0,Shooting foul by M. Williams (drawn by L. James),,79-84,,
8:00.0,L. James misses free throw 1 of 2,,79-84,,
8:00.0,Offensive rebound by Team,,79-84,,
8:00.0,,,79-84,,N. Batum enters the game for M. Williams
8:00.0,L. James makes free throw 2 of 2,1,80-84,,
7:47.0,,,80-84,,F. Kaminsky misses 2-pt shot from 3 ft
7:45.0,Defensive rebound by Team,,80-84,,
7:32.0,T. Thompson makes 2-pt shot from 7 ft (assist by M. Dellavedova),2,82-84,,
7:23.0,,,82-84,,K. Walker misses 2-pt shot from 15 ft
7:22.0,Defensive rebound by T. Thompson,,82-84,,
7:17.0,,,82-84,,Personal foul by C. Zeller (drawn by L. James)
7:17.0,,,82-84,,A. Jefferson enters the game for C. Zeller
7:08.0,M. Dellavedova makes 3-pt shot from 27 ft,3,85-84,,
6:55.0,,,85-86,2,K. Walker makes 2-pt shot from 2 ft
6:37.0,M. Dellavedova makes 2-pt shot from 7 ft,2,87-86,,
6:15.0,,,87-86,,A. Jefferson misses 2-pt shot from 8 ft
6:14.0,Defensive rebound by L. James,,87-86,,
5:59.0,R. Jefferson misses 3-pt shot from 23 ft,,87-86,,
5:57.0,,,87-86,,Defensive rebound by J. Lamb
5:47.0,,,87-86,,J. Lamb misses 2-pt shot from 8 ft
5:46.0,Defensive rebound by T. Thompson,,87-86,,
5:31.0,J. Smith makes 2-pt shot from 18 ft,2,89-86,,
5:30.0,,,89-86,,Charlotte full timeout
5:30.0,,,89-86,,M. Williams enters the game for F. Kaminsky
5:20.0,Personal foul by M. Dellavedova (drawn by N. Batum),,89-86,,
5:12.0,,,89-86,,K. Walker misses 2-pt shot from 7 ft
5:11.0,Defensive rebound by T. Thompson,,89-86,,
5:00.0,Offensive foul by T. Thompson,,89-86,,
5:00.0,Turnover by T. Thompson (offensive foul),,89-86,,
4:40.0,,,89-86,,M. Williams misses 2-pt shot from 8 ft
4:38.0,Defensive rebound by R. Jefferson,,89-86,,
4:23.0,T. Thompson misses 2-pt shot at rim,,89-86,,
4:22.0,,,89-86,,Defensive rebound by A. Jefferson
4:12.0,,,89-86,,N. Batum misses 3-pt shot from 25 ft
4:11.0,,,89-86,,Offensive rebound by J. Lamb
4:10.0,Personal foul by L. James (drawn by J. Lamb),,89-86,,
3:56.0,,,89-88,2,K. Walker makes 2-pt shot from 20 ft
3:38.0,R. Jefferson misses 3-pt shot from 23 ft,,89-88,,
3:32.0,,,89-88,,Defensive rebound by N. Batum
3:23.0,,,89-88,,K. Walker misses 3-pt shot from 25 ft
3:22.0,Defensive rebound by T. Thompson,,89-88,,
3:05.0,J. Smith makes 3-pt shot from 25 ft (assist by L. James),3,92-88,,
2:51.0,,,92-88,,Turnover by K. Walker (bad pass; steal by J. Smith)
2:36.0,M. Dellavedova misses 3-pt shot from 26 ft,,92-88,,
2:35.0,,,92-88,,Defensive rebound by N. Batum
2:20.0,,,92-88,,A. Jefferson misses 2-pt shot from 8 ft
2:19.0,Defensive rebound by L. James,,92-88,,
2:19.0,,,92-88,,Personal foul by A. Jefferson (drawn by L. James)
2:19.0,Cleveland full timeout,,92-88,,
2:01.0,L. James misses 2-pt shot from 15 ft (block by M. Williams),,92-88,,
2:01.0,Offensive rebound by L. James,,92-88,,
1:58.0,L. James misses 3-pt shot from 26 ft,,92-88,,
1:57.0,,,92-88,,Defensive rebound by J. Lamb
1:35.0,,,92-88,,J. Lamb misses 2-pt shot from 20 ft
