time,Philadelphia,pts.away,score,pts.home,Dallas
9:34.0,,,59-71,,Violation by Team (jump ball)
9:34.0,N. Stauskas makes free throw 1 of 2,1,60-71,,
9:34.0,N. Stauskas makes free throw 2 of 2,1,61-71,,
9:27.0,Personal foul by R. Covington (drawn by D. Nowitzki),,61-71,,
9:15.0,,,61-71,,Z. Pachulia misses 2-pt shot from 2 ft
9:14.0,Defensive rebound by R. Covington,,61-71,,
9:02.0,Offensive foul by J. Okafor,,61-71,,
9:02.0,Turnover by J. Okafor (offensive foul),,61-71,,
8:46.0,,,61-73,2,W. Matthews makes 2-pt shot from 16 ft
8:20.0,R. Covington makes 3-pt shot from 25 ft (assist by N. Noel),3,64-73,,
8:02.0,,,64-73,,D. Nowitzki misses 2-pt shot from 14 ft
8:02.0,,,64-73,,Offensive rebound by Z. Pachulia
8:02.0,Loose ball foul by N. Noel (drawn by Z. Pachulia),,64-73,,
7:48.0,,,64-76,3,W. Matthews makes 3-pt shot from 25 ft (assist by D. Williams)
7:38.0,N. Stauskas misses 2-pt shot from 7 ft,,64-76,,
7:38.0,,,64-76,,Defensive rebound by D. Nowitzki
7:33.0,Shooting block foul by I. Smith (drawn by D. Williams),,64-76,,
7:33.0,,,64-77,1,D. Williams makes free throw 1 of 2
7:33.0,,,64-77,,R. Felton enters the game for D. Nowitzki
7:33.0,,,64-78,1,D. Williams makes free throw 2 of 2
7:18.0,I. Smith misses 2-pt shot from 9 ft (block by C. Parsons),,64-78,,
7:15.0,,,64-78,,Defensive rebound by Z. Pachulia
7:10.0,,,64-78,,W. Matthews misses 3-pt shot from 25 ft
7:09.0,Defensive rebound by J. Okafor,,64-78,,
6:51.0,J. Okafor misses 2-pt shot from 6 ft,,64-78,,
6:51.0,Offensive rebound by J. Okafor,,64-78,,
6:51.0,Shooting foul by Z. Pachulia (drawn by J. Okafor),,64-78,,
6:51.0,J. Okafor makes free throw 1 of 2,1,65-78,,
6:51.0,J. Okafor makes free throw 2 of 2,1,66-78,,
6:45.0,Personal foul by J. Okafor (drawn by Z. Pachulia),,66-78,,
6:45.0,J. Grant enters the game for J. Okafor,,66-78,,
6:40.0,,,66-78,,Z. Pachulia misses 2-pt shot from 1 ft (block by N. Noel)
6:38.0,Defensive rebound by N. Noel,,66-78,,
6:30.0,N. Noel makes 2-pt shot from 1 ft,2,68-78,,
6:07.0,,,68-78,,W. Matthews misses 3-pt shot from 25 ft
6:05.0,Defensive rebound by N. Noel,,68-78,,
5:55.0,R. Covington misses 3-pt shot from 26 ft,,68-78,,
5:53.0,,,68-78,,Defensive rebound by Z. Pachulia
5:40.0,,,68-78,,Shooting foul by R. Covington (drawn by Z. Pachulia)
5:40.0,,,68-79,1,Z. Pachulia makes free throw 1 of 2
5:40.0,,,68-80,1,Z. Pachulia makes free throw 2 of 2
5:35.0,Turnover by N. Noel (bad pass),,68-80,,
5:24.0,,,68-80,,Offensive foul by Z. Pachulia
5:24.0,,,68-80,,Turnover by Z. Pachulia (offensive foul)
5:10.0,N. Stauskas makes 3-pt shot from 24 ft (assist by I. Smith),3,71-80,,
5:09.0,,,71-80,,Dallas full timeout
5:09.0,,,71-80,,S. Mejri enters the game for Z. Pachulia
4:48.0,,,71-80,,C. Parsons misses 2-pt shot from 8 ft
4:46.0,,,71-80,,Offensive rebound by R. Felton
4:37.0,,,71-80,,Shooting foul by N. Noel (drawn by C. Parsons)
4:37.0,,,71-81,1,C. Parsons makes free throw 1 of 2
4:37.0,H. Thompson enters the game for N. Noel,,71-81,,
4:37.0,I. Canaan enters the game for N. Stauskas,,71-81,,
4:37.0,,,71-82,1,C. Parsons makes free throw 2 of 2
4:24.0,Turnover by I. Smith (lost ball; steal by R. Felton),,71-82,,
4:19.0,,,71-82,,C. Parsons misses 2-pt shot from 1 ft
4:18.0,,,71-82,,Offensive rebound by C. Parsons
4:18.0,,,71-84,2,C. Parsons makes 2-pt shot from 1 ft
4:00.0,Turnover by J. Grant (bad pass),,71-84,,
4:00.0,T. McConnell enters the game for I. Smith,,71-84,,
3:40.0,,,71-86,2,W. Matthews makes 2-pt shot from 11 ft
3:39.0,Philadelphia full timeout,,71-86,,
3:39.0,J. Okafor enters the game for R. Covington,,71-86,,
3:15.0,J. Okafor misses 2-pt shot from 7 ft,,71-86,,
3:14.0,Offensive rebound by Team,,71-86,,
3:14.0,Turnover by Team (shot clock),,71-86,,
2:59.0,,,71-88,2,W. Matthews makes 2-pt shot from 15 ft
2:43.0,I. Canaan misses 2-pt shot from 4 ft (block by R. Felton),,71-88,,
2:42.0,,,71-88,,Defensive rebound by R. Felton
2:40.0,Personal take foul by T. McConnell (drawn by R. Felton),,71-88,,
2:40.0,,,71-89,1,R. Felton makes free throw 1 of 2
2:40.0,,,71-89,,J. Barea enters the game for C. Parsons
2:40.0,,,71-89,,D. Harris enters the game for W. Matthews
2:40.0,,,71-89,,D. Nowitzki enters the game for D. Williams
2:40.0,,,71-90,1,R. Felton makes free throw 2 of 2
2:28.0,Shooting foul by R. Felton (drawn by J. Okafor),,71-90,,
2:28.0,J. Okafor makes free throw 1 of 2,1,72-90,,
2:28.0,J. Okafor makes free throw 2 of 2,1,73-90,,
2:16.0,,,73-90,,D. Harris misses 3-pt shot from 22 ft
2:15.0,,,73-90,,Offensive rebound by D. Harris
2:11.0,,,73-90,,D. Nowitzki misses 3-pt shot from 25 ft
2:10.0,,,73-90,,Offensive rebound by S. Mejri
1:59.0,,,73-90,,S. Mejri misses 2-pt shot at rim (block by J. Okafor)
1:59.0,Defensive rebound by Team,,73-90,,
1:44.0,I. Canaan misses 3-pt shot from 25 ft,,73-90,,
1:44.0,,,73-90,,Defensive rebound by J. Barea
1:35.0,,,73-92,2,J. Barea makes 2-pt shot from 10 ft
1:18.0,T. McConnell makes 2-pt shot from 6 ft,2,75-92,,
0:57.0,,,75-94,2,J. Barea makes 2-pt shot from 10 ft
0:47.0,I. Canaan makes 3-pt shot from 25 ft (assist by T. McConnell),3,78-94,,
0:31.0,Personal foul by T. McConnell (drawn by D. Nowitzki),,78-94,,
0:31.0,,,78-94,,D. Nowitzki misses free throw 1 of 2
0:31.0,,,78-94,,Offensive rebound by Team
0:31.0,,,78-95,1,D. Nowitzki makes free throw 2 of 2
0:16.0,J. Okafor makes 2-pt shot from 19 ft,2,80-95,,
0:02.0,,,80-95,,R. Felton misses 3-pt shot from 25 ft
0:01.0,Defensive rebound by J. Grant,,80-95,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:46.0,H. Thompson misses 3-pt shot from 25 ft,,80-95,,
11:45.0,Offensive rebound by J. Grant,,80-95,,
11:34.0,Turnover by I. Canaan (bad pass; steal by J. Barea),,80-95,,
11:20.0,,,80-97,2,D. Harris makes 2-pt shot from 1 ft (assist by J. Barea)
11:12.0,T. McConnell misses 2-pt shot from 17 ft,,80-97,,
11:11.0,,,80-97,,Defensive rebound by D. Harris
10:54.0,,,80-99,2,S. Mejri makes 2-pt shot from 1 ft (assist by D. Nowitzki)
10:53.0,Philadelphia full timeout,,80-99,,
10:53.0,N. Noel enters the game for I. Canaan,,80-99,,
10:37.0,H. Thompson makes 3-pt shot from 24 ft (assist by T. McConnell),3,83-99,,
10:20.0,,,83-101,2,D. Nowitzki makes 2-pt shot from 17 ft (assist by J. Barea)
10:05.0,,,83-101,,Personal foul by D. Nowitzki (drawn by H. Thompson)
9:58.0,N. Noel makes 2-pt shot at rim (assist by T. McConnell),2,85-101,,
9:42.0,,,85-101,,D. Nowitzki misses 3-pt shot from 26 ft
9:41.0,,,85-101,,Offensive rebound by S. Mejri
9:34.0,,,85-104,3,D. Nowitzki makes 3-pt shot from 26 ft (assist by J. Barea)
9:34.0,Philadelphia full timeout,,85-104,,
9:19.0,H. Thompson misses 3-pt shot from 24 ft,,85-104,,
9:18.0,,,85-104,,Defensive rebound by S. Mejri
9:03.0,,,85-107,3,J. Barea makes 3-pt shot from 25 ft (assist by D. Harris)
8:47.0,T. McConnell makes 2-pt shot from 10 ft,2,87-107,,
8:33.0,,,87-110,3,D. Harris makes 3-pt shot from 23 ft (assist by D. Nowitzki)
8:19.0,J. Okafor misses 2-pt shot from 3 ft,,87-110,,
8:16.0,,,87-110,,Defensive rebound by D. Harris
8:07.0,,,87-112,2,J. Barea makes 2-pt shot from 21 ft
7:45.0,,,87-112,,Dallas full timeout
7:45.0,,,87-112,,C. Villanueva enters the game for D. Nowitzki
7:45.0,I. Smith enters the game for T. McConnell,,87-112,,
7:41.0,J. Okafor misses 2-pt shot from 13 ft,,87-112,,
7:39.0,,,87-112,,Defensive rebound by R. Felton
7:25.0,,,87-112,,R. Felton misses 2-pt shot from 18 ft
7:23.0,,,87-112,,Offensive rebound by S. Mejri
7:17.0,,,87-112,,C. Villanueva misses 3-pt shot from 25 ft
7:16.0,Defensive rebound by J. Grant,,87-112,,
7:10.0,Turnover by I. Smith (bad pass; steal by R. Felton),,87-112,,
6:52.0,,,87-112,,D. Harris misses 3-pt shot from 22 ft
6:51.0,Defensive rebound by H. Thompson,,87-112,,
6:44.0,I. Smith misses 2-pt shot from 4 ft,,87-112,,
6:42.0,Offensive rebound by J. Grant,,87-112,,
6:42.0,J. Grant misses 2-pt shot from 1 ft (block by S. Mejri),,87-112,,
6:41.0,,,87-112,,Defensive rebound by S. Mejri
6:27.0,,,87-112,,J. Barea misses 2-pt shot from 6 ft
6:25.0,,,87-112,,Offensive rebound by S. Mejri
6:17.0,C. Landry enters the game for N. Noel,,87-112,,
6:17.0,K. Marshall enters the game for J. Okafor,,87-112,,
6:17.0,R. Holmes enters the game for I. Smith,,87-112,,
6:17.0,,,87-112,,J. Anderson enters the game for R. Felton
6:01.0,,,87-112,,J. Barea misses 3-pt shot from 30 ft
6:01.0,Defensive rebound by J. Grant,,87-112,,
5:51.0,,,87-112,,Shooting block foul by J. Anderson (drawn by C. Landry)
5:51.0,C. Landry misses free throw 1 of 2,,87-112,,
5:51.0,Offensive rebound by Team,,87-112,,
5:51.0,,,87-112,,D. Powell enters the game for S. Mejri
5:51.0,I. Canaan enters the game for J. Grant,,87-112,,
5:51.0,C. Landry makes free throw 2 of 2,1,88-112,,
