time,Sacramento,pts.away,score,pts.home,Brooklyn
11:06.0,D. Cousins enters the game for R. Gay,,25-37,,
11:06.0,,,25-37,,B. Lopez enters the game for T. Robinson
11:06.0,,,25-38,1,M. Brown makes free throw 1 of 1
10:50.0,O. Casspi makes 3-pt shot from 25 ft (assist by D. Cousins),3,28-38,,
10:28.0,,,28-38,,W. Ellington misses 2-pt shot from 16 ft
10:27.0,Defensive rebound by D. Collison,,28-38,,
10:24.0,Shooting foul by S. Larkin (drawn by D. Collison),,28-38,,
10:24.0,D. Collison makes free throw 1 of 2,1,29-38,,
10:24.0,J. Anderson enters the game for O. Casspi,,29-38,,
10:24.0,D. Collison makes free throw 2 of 2,1,30-38,,
10:10.0,Violation by Q. Acy (def goaltending),,30-38,,
10:10.0,,,30-40,2,B. Lopez makes 2-pt shot from 2 ft
10:10.0,,,30-40,,Shooting foul by D. Cousins (drawn by B. Lopez)
10:10.0,Technical foul by Q. Acy,,30-40,,
10:10.0,,,30-41,1,W. Ellington makes technical free throw
10:10.0,,,30-42,1,B. Lopez makes free throw 1 of 1
10:02.0,Shooting foul by M. Brown (drawn by B. McLemore),,30-42,,
10:02.0,B. McLemore makes free throw 1 of 3,1,31-42,,
10:02.0,B. McLemore makes free throw 2 of 3,1,32-42,,
10:02.0,B. McLemore makes free throw 3 of 3,1,33-42,,
9:44.0,,,33-42,,S. Larkin misses 2-pt shot from 2 ft
9:43.0,Defensive rebound by J. Anderson,,33-42,,
9:25.0,D. Cousins makes 2-pt shot from 5 ft,2,35-42,,
9:18.0,,,35-42,,Brooklyn full timeout
9:18.0,,,35-42,,J. Johnson enters the game for M. Brown
9:10.0,,,35-42,,A. Bargnani misses 2-pt shot from 11 ft
9:09.0,Defensive rebound by J. Anderson,,35-42,,
8:56.0,D. Collison makes 2-pt shot from 7 ft,2,37-42,,
8:56.0,Shooting foul by S. Larkin (drawn by D. Collison),,37-42,,
8:56.0,,,37-42,,D. Sloan enters the game for S. Larkin
8:56.0,D. Collison makes free throw 1 of 1,1,38-42,,
8:45.0,,,38-42,,Shooting foul by B. McLemore (drawn by W. Ellington)
8:45.0,,,38-43,1,W. Ellington makes free throw 1 of 2
8:45.0,,,38-43,,T. Young enters the game for A. Bargnani
8:45.0,W. Cauley-Stein enters the game for Q. Acy,,38-43,,
8:45.0,,,38-44,1,W. Ellington makes free throw 2 of 2
8:32.0,D. Cousins misses 2-pt shot from 18 ft,,38-44,,
8:31.0,,,38-44,,Defensive rebound by W. Ellington
8:20.0,,,38-44,,W. Ellington misses 3-pt shot from 22 ft
8:19.0,Defensive rebound by W. Cauley-Stein,,38-44,,
8:09.0,J. Anderson misses 2-pt shot from 10 ft,,38-44,,
8:08.0,,,38-44,,Defensive rebound by J. Johnson
7:59.0,,,38-44,,W. Ellington misses 2-pt shot from 16 ft
7:58.0,Defensive rebound by D. Cousins,,38-44,,
7:42.0,D. Collison makes 3-pt shot from 25 ft,3,41-44,,
7:30.0,Personal foul by J. Anderson (drawn by J. Johnson),,41-44,,
7:30.0,R. Rondo enters the game for B. McLemore,,41-44,,
7:15.0,,,41-47,3,W. Ellington makes 3-pt shot from 25 ft
7:06.0,Turnover by D. Cousins (bad pass),,41-47,,
6:47.0,,,41-47,,D. Sloan misses 2-pt shot at rim
6:46.0,Defensive rebound by D. Cousins,,41-47,,
6:40.0,W. Cauley-Stein makes 2-pt shot at rim (assist by R. Rondo),2,43-47,,
6:21.0,,,43-47,,J. Johnson misses 2-pt shot from 14 ft
6:20.0,Defensive rebound by D. Cousins,,43-47,,
6:17.0,,,43-47,,Violation by T. Young (def goaltending)
6:17.0,D. Collison makes 2-pt shot from 2 ft (assist by D. Cousins),2,45-47,,
6:17.0,,,45-47,,Brooklyn full timeout
6:17.0,M. Belinelli enters the game for D. Collison,,45-47,,
6:01.0,,,45-49,2,B. Lopez makes 2-pt shot from 10 ft (assist by W. Ellington)
5:46.0,R. Rondo misses 2-pt shot from 15 ft,,45-49,,
5:45.0,,,45-49,,Defensive rebound by T. Young
5:33.0,,,45-49,,W. Ellington misses 3-pt shot from 24 ft
5:32.0,Defensive rebound by W. Cauley-Stein,,45-49,,
5:20.0,D. Cousins makes 2-pt shot from 1 ft,2,47-49,,
5:07.0,,,47-49,,B. Lopez misses 2-pt shot from 20 ft
5:06.0,Defensive rebound by J. Anderson,,47-49,,
4:57.0,D. Cousins makes 3-pt shot from 25 ft (assist by R. Rondo),3,50-49,,
4:39.0,Violation by W. Cauley-Stein (kicked ball),,50-49,,
4:39.0,Official timeout,,50-49,,
4:39.0,,,50-49,,B. Bogdanovic enters the game for W. Ellington
4:25.0,,,50-49,,Turnover by Team (shot clock)
4:04.0,D. Cousins misses 2-pt shot from 14 ft,,50-49,,
4:03.0,,,50-49,,Defensive rebound by D. Sloan
3:54.0,,,50-49,,B. Lopez misses 2-pt shot from 8 ft
3:53.0,Defensive rebound by D. Cousins,,50-49,,
3:48.0,Shooting foul by B. Bogdanovic (drawn by W. Cauley-Stein),,50-49,,
3:48.0,W. Cauley-Stein makes free throw 1 of 2,1,51-49,,
3:48.0,W. Cauley-Stein makes free throw 2 of 2,1,52-49,,
3:32.0,,,52-49,,D. Sloan misses 2-pt shot from 6 ft
3:31.0,,,52-49,,Offensive rebound by B. Lopez
3:30.0,,,52-49,,B. Lopez misses 2-pt shot from 1 ft
3:29.0,,,52-49,,Offensive rebound by B. Lopez
3:27.0,,,52-51,2,B. Lopez makes 2-pt shot from 1 ft
3:19.0,,,52-51,,Personal foul by B. Lopez (drawn by D. Cousins)
3:19.0,D. Cousins misses free throw 1 of 2,,52-51,,
3:19.0,Offensive rebound by Team,,52-51,,
3:19.0,D. Cousins makes free throw 2 of 2,1,53-51,,
3:07.0,,,53-53,2,J. Johnson makes 2-pt shot from 6 ft
2:53.0,R. Rondo misses 2-pt shot from 1 ft (block by B. Lopez),,53-53,,
2:51.0,,,53-53,,Defensive rebound by B. Lopez
2:47.0,,,53-55,2,B. Bogdanovic makes 2-pt shot from 3 ft (assist by B. Lopez)
2:29.0,M. Belinelli makes 2-pt shot from 13 ft,2,55-55,,
2:14.0,,,55-55,,Offensive foul by B. Bogdanovic
2:14.0,,,55-55,,Turnover by B. Bogdanovic (offensive foul)
2:14.0,Sacramento full timeout,,55-55,,
2:14.0,,,55-55,,W. Ellington enters the game for B. Bogdanovic
2:01.0,W. Cauley-Stein makes 2-pt shot at rim (assist by D. Cousins),2,57-55,,
1:46.0,,,57-55,,Turnover by B. Lopez (bad pass; steal by D. Cousins)
1:39.0,J. Anderson misses 3-pt shot from 23 ft,,57-55,,
1:38.0,,,57-55,,Defensive rebound by B. Lopez
1:26.0,,,57-57,2,D. Sloan makes 2-pt shot from 21 ft
1:21.0,W. Cauley-Stein makes 2-pt shot from 2 ft (assist by R. Rondo),2,59-57,,
0:58.0,,,59-60,3,D. Sloan makes 3-pt shot from 24 ft (assist by W. Ellington)
0:47.0,J. Anderson makes 2-pt shot from 1 ft,2,61-60,,
0:46.0,,,61-60,,Turnover by T. Young (bad pass; steal by W. Cauley-Stein)
0:46.0,Turnover by W. Cauley-Stein (bad pass; steal by T. Young),,61-60,,
0:37.0,,,61-63,3,J. Johnson makes 3-pt shot from 23 ft (assist by T. Young)
0:25.0,R. Rondo misses 3-pt shot from 25 ft,,61-63,,
0:24.0,,,61-63,,Defensive rebound by Team
0:23.0,K. Koufos enters the game for W. Cauley-Stein,,61-63,,
0:23.0,Q. Acy enters the game for D. Cousins,,61-63,,
0:11.0,,,61-65,2,J. Johnson makes 2-pt shot from 10 ft
0:02.0,M. Belinelli misses 3-pt shot from 24 ft,,61-65,,
0:00.0,Offensive rebound by Team,,61-65,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:37.0,,,61-68,3,D. Sloan makes 3-pt shot from 23 ft (assist by J. Johnson)
11:25.0,,,61-68,,Personal foul by D. Sloan (drawn by R. Rondo)
11:12.0,D. Cousins misses 2-pt shot from 12 ft,,61-68,,
11:11.0,,,61-68,,Defensive rebound by D. Sloan
10:52.0,,,61-70,2,T. Young makes 2-pt shot from 8 ft
10:32.0,M. Belinelli makes 2-pt shot from 2 ft (assist by D. Cousins),2,63-70,,
10:12.0,,,63-70,,W. Ellington misses 2-pt shot from 12 ft
10:11.0,,,63-70,,Offensive rebound by B. Lopez
10:08.0,,,63-72,2,T. Young makes 2-pt shot from 1 ft (assist by J. Johnson)
9:57.0,O. Casspi misses 3-pt shot from 24 ft,,63-72,,
9:56.0,,,63-72,,Defensive rebound by T. Young
9:48.0,,,63-72,,W. Ellington misses 3-pt shot from 24 ft
9:47.0,Defensive rebound by D. Cousins,,63-72,,
9:38.0,D. Cousins makes 3-pt shot from 24 ft (assist by R. Rondo),3,66-72,,
9:22.0,,,66-75,3,D. Sloan makes 3-pt shot from 25 ft (assist by B. Lopez)
9:10.0,R. Rondo misses 3-pt shot from 24 ft,,66-75,,
9:09.0,,,66-75,,Defensive rebound by T. Young
8:58.0,,,66-77,2,T. Young makes 2-pt shot from 7 ft (assist by J. Johnson)
8:57.0,Sacramento full timeout,,66-77,,
8:39.0,R. Rondo makes 2-pt shot from 1 ft (assist by M. Belinelli),2,68-77,,
8:20.0,,,68-77,,Shooting foul by W. Cauley-Stein (drawn by T. Young)
8:20.0,,,68-78,1,T. Young makes free throw 1 of 2
8:20.0,,,68-79,1,T. Young makes free throw 2 of 2
8:02.0,D. Cousins misses 2-pt shot from 7 ft,,68-79,,
8:01.0,,,68-79,,Defensive rebound by T. Young
7:42.0,,,68-79,,Turnover by J. Johnson (bad pass; steal by O. Casspi)
7:32.0,D. Cousins makes 3-pt shot from 25 ft (assist by R. Rondo),3,71-79,,
7:20.0,Personal foul by W. Cauley-Stein (drawn by T. Young),,71-79,,
7:14.0,,,71-81,2,B. Lopez makes 2-pt shot from 12 ft (assist by D. Sloan)
7:03.0,D. Cousins misses 2-pt shot at rim,,71-81,,
7:02.0,,,71-81,,Defensive rebound by J. Johnson
6:54.0,,,71-83,2,B. Lopez makes 2-pt shot at rim (assist by J. Johnson)
6:37.0,M. Belinelli misses 2-pt shot from 12 ft,,71-83,,
6:36.0,,,71-83,,Defensive rebound by T. Young
6:34.0,Personal foul by R. Rondo (drawn by D. Sloan),,71-83,,
6:34.0,J. Anderson enters the game for W. Cauley-Stein,,71-83,,
6:27.0,,,71-83,,D. Sloan misses 3-pt shot from 23 ft
6:26.0,,,71-83,,Offensive rebound by T. Young
6:22.0,,,71-86,3,J. Johnson makes 3-pt shot from 24 ft (assist by T. Young)
6:00.0,Turnover by D. Cousins (lost ball),,71-86,,
5:50.0,,,71-86,,J. Johnson misses 2-pt shot from 21 ft
5:49.0,Defensive rebound by D. Cousins,,71-86,,
5:39.0,O. Casspi misses 3-pt shot from 25 ft,,71-86,,
5:38.0,,,71-86,,Defensive rebound by J. Johnson
5:33.0,,,71-86,,Turnover by J. Johnson (bad pass; steal by O. Casspi)
5:29.0,J. Anderson makes 2-pt shot from 1 ft (assist by R. Rondo),2,73-86,,
5:13.0,,,73-86,,Turnover by D. Sloan (bad pass; steal by M. Belinelli)
5:09.0,Turnover by J. Anderson (lost ball),,73-86,,
5:09.0,,,73-86,,Brooklyn full timeout
5:09.0,D. Collison enters the game for M. Belinelli,,73-86,,
4:58.0,,,73-86,,Turnover by T. Young (traveling)
4:44.0,,,73-86,,Violation by D. Sloan (kicked ball)
4:36.0,J. Anderson makes 2-pt shot from 1 ft (assist by D. Cousins),2,75-86,,
4:17.0,,,75-86,,T. Young misses 2-pt shot from 4 ft (block by J. Anderson)
4:16.0,,,75-86,,Offensive rebound by Team
4:14.0,,,75-88,2,B. Lopez makes 2-pt shot from 11 ft (assist by J. Johnson)
4:02.0,J. Anderson misses 2-pt shot from 2 ft,,75-88,,
4:01.0,,,75-88,,Defensive rebound by T. Young
3:55.0,,,75-88,,J. Johnson misses 3-pt shot from 24 ft
3:54.0,,,75-88,,Offensive rebound by J. Johnson
3:52.0,,,75-88,,Shooting foul by J. Anderson (drawn by B. Lopez)
3:52.0,,,75-90,2,B. Lopez makes 2-pt shot from 2 ft (assist by T. Young)
3:52.0,,,75-90,,B. Bogdanovic enters the game for J. Johnson
3:52.0,K. Koufos enters the game for O. Casspi,,75-90,,
3:52.0,,,75-91,1,B. Lopez makes free throw 1 of 1
3:40.0,R. Rondo misses 2-pt shot from 5 ft,,75-91,,
3:39.0,,,75-91,,Defensive rebound by W. Ellington
3:34.0,,,75-91,,B. Bogdanovic misses 3-pt shot from 22 ft
3:33.0,Defensive rebound by D. Collison,,75-91,,
3:21.0,J. Anderson makes 2-pt shot from 3 ft (assist by R. Rondo),2,77-91,,
2:59.0,,,77-93,2,B. Lopez makes 2-pt shot from 5 ft
2:34.0,J. Anderson misses 3-pt shot from 24 ft,,77-93,,
2:33.0,Offensive rebound by K. Koufos,,77-93,,
2:29.0,D. Collison misses 3-pt shot from 23 ft,,77-93,,
2:28.0,,,77-93,,Defensive rebound by B. Bogdanovic
2:14.0,,,77-95,2,T. Young makes 2-pt shot from 4 ft
1:59.0,R. Rondo makes 2-pt shot from 2 ft,2,79-95,,
1:45.0,,,79-97,2,D. Sloan makes 2-pt shot from 2 ft
1:45.0,,,79-97,,Shooting foul by D. Collison (drawn by D. Sloan)
1:45.0,W. Cauley-Stein enters the game for D. Cousins,,79-97,,
1:45.0,B. McLemore enters the game for J. Anderson,,79-97,,
1:45.0,,,79-97,,A. Bargnani enters the game for T. Young
1:45.0,,,79-98,1,D. Sloan makes free throw 1 of 1
1:34.0,B. McLemore misses 3-pt shot from 24 ft,,79-98,,
1:33.0,,,79-98,,Defensive rebound by B. Lopez
1:12.0,,,79-101,3,D. Sloan makes 3-pt shot from 24 ft (assist by W. Ellington)
1:01.0,Shooting foul by W. Ellington (drawn by D. Collison),,79-101,,
1:01.0,D. Collison makes free throw 1 of 2,1,80-101,,
1:01.0,,,80-101,,T. Robinson enters the game for B. Lopez
1:01.0,,,80-101,,S. Larkin enters the game for D. Sloan
1:01.0,D. Collison makes free throw 2 of 2,1,81-101,,
0:44.0,,,81-103,2,A. Bargnani makes 2-pt shot from 15 ft
0:37.0,Shooting foul by T. Robinson (drawn by B. McLemore),,81-103,,
0:37.0,B. McLemore makes free throw 1 of 2,1,82-103,,
0:37.0,B. McLemore makes free throw 2 of 2,1,83-103,,
0:29.0,,,83-103,,Turnover by S. Larkin (bad pass; steal by D. Collison)
0:25.0,W. Cauley-Stein makes 2-pt shot at rim (assist by B. McLemore),2,85-103,,
0:03.0,,,85-103,,B. Bogdanovic misses 3-pt shot from 24 ft
0:02.0,Defensive rebound by Team,,85-103,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:43.0,K. Koufos misses 2-pt shot from 2 ft (block by T. Robinson),,85-103,,
11:42.0,,,85-103,,Defensive rebound by S. Larkin
11:41.0,,,85-103,,Turnover by S. Larkin (step out of bounds)
11:37.0,,,85-103,,Personal foul by T. Robinson (drawn by K. Koufos)
11:24.0,W. Cauley-Stein misses 2-pt shot from 1 ft (block by A. Bargnani),,85-103,,
11:23.0,Offensive rebound by Team,,85-103,,
11:18.0,B. McLemore misses 2-pt shot from 20 ft,,85-103,,
11:17.0,,,85-103,,Defensive rebound by T. Robinson
11:00.0,,,85-103,,W. Ellington misses 3-pt shot from 25 ft
10:59.0,Defensive rebound by K. Koufos,,85-103,,
10:53.0,D. Collison makes 2-pt shot from 2 ft,2,87-103,,
10:37.0,Personal block foul by W. Cauley-Stein (drawn by S. Larkin),,87-103,,
10:37.0,O. Casspi enters the game for W. Cauley-Stein,,87-103,,
10:31.0,,,87-103,,Shooting foul by B. McLemore (drawn by W. Ellington)
10:31.0,,,87-104,1,W. Ellington makes free throw 1 of 2
10:31.0,,,87-105,1,W. Ellington makes free throw 2 of 2
10:17.0,,,87-105,,M. Brown enters the game for W. Ellington
10:08.0,B. McLemore misses 2-pt shot at rim,,87-105,,
10:07.0,Offensive rebound by K. Koufos,,87-105,,
10:06.0,K. Koufos makes 2-pt shot at rim,2,89-105,,
9:50.0,,,89-105,,Turnover by M. Brown (lost ball; steal by B. McLemore)
9:45.0,O. Casspi makes 2-pt shot from 1 ft (assist by B. McLemore),2,91-105,,
9:44.0,,,91-105,,Brooklyn full timeout
9:22.0,,,91-105,,Turnover by S. Larkin (step out of bounds)
9:16.0,,,91-105,,Personal foul by B. Bogdanovic (drawn by M. Belinelli)
9:16.0,,,91-105,,B. Lopez enters the game for T. Robinson
9:16.0,,,91-105,,J. Johnson enters the game for M. Brown
9:16.0,D. Cousins enters the game for K. Koufos,,91-105,,
9:16.0,,,91-105,,T. Young enters the game for A. Bargnani
9:14.0,W. Cauley-Stein enters the game for B. McLemore,,91-105,,
9:08.0,M. Belinelli misses 2-pt shot from 20 ft,,91-105,,
9:07.0,,,91-105,,Defensive rebound by T. Young
8:59.0,,,91-108,3,S. Larkin makes 3-pt shot from 25 ft
8:47.0,D. Collison makes 2-pt shot from 16 ft,2,93-108,,
8:25.0,,,93-108,,B. Lopez misses 2-pt shot from 9 ft
8:24.0,,,93-108,,Offensive rebound by B. Lopez
8:22.0,,,93-110,2,B. Lopez makes 2-pt shot at rim
8:06.0,W. Cauley-Stein makes 2-pt shot at rim (assist by D. Cousins),2,95-110,,
7:42.0,,,95-113,3,B. Bogdanovic makes 3-pt shot from 25 ft (assist by J. Johnson)
7:27.0,M. Belinelli misses 3-pt shot from 24 ft,,95-113,,
7:26.0,,,95-113,,Defensive rebound by J. Johnson
7:18.0,,,95-113,,Turnover by J. Johnson (lost ball; steal by D. Collison)
7:16.0,Shooting foul by T. Young (drawn by D. Collison),,95-113,,
7:16.0,Sacramento full timeout,,95-113,,
7:16.0,D. Collison makes free throw 1 of 2,1,96-113,,
7:16.0,D. Collison makes free throw 2 of 2,1,97-113,,
7:04.0,,,97-113,,S. Larkin misses 2-pt shot from 17 ft
7:03.0,Defensive rebound by O. Casspi,,97-113,,
6:57.0,,,97-113,,Personal foul by S. Larkin (drawn by D. Collison)
6:57.0,,,97-113,,D. Sloan enters the game for S. Larkin
6:48.0,D. Cousins misses 2-pt shot from 20 ft,,97-113,,
6:47.0,,,97-113,,Defensive rebound by B. Bogdanovic
6:28.0,,,97-113,,D. Sloan misses 2-pt shot from 3 ft (block by W. Cauley-Stein)
6:27.0,Defensive rebound by O. Casspi,,97-113,,
6:21.0,O. Casspi misses 3-pt shot from 24 ft,,97-113,,
6:20.0,,,97-113,,Defensive rebound by T. Young
5:59.0,,,97-115,2,J. Johnson makes 2-pt shot from 14 ft
5:48.0,D. Cousins makes 2-pt shot from 2 ft,2,99-115,,
5:48.0,Shooting foul by B. Lopez (drawn by D. Cousins),,99-115,,
5:48.0,R. Rondo enters the game for O. Casspi,,99-115,,
5:48.0,D. Cousins makes free throw 1 of 1,1,100-115,,
5:31.0,,,100-115,,T. Young misses 2-pt shot from 2 ft
5:30.0,Defensive rebound by W. Cauley-Stein,,100-115,,
5:24.0,D. Collison makes 3-pt shot from 24 ft (assist by R. Rondo),3,103-115,,
5:06.0,,,103-115,,Turnover by J. Johnson (lost ball; steal by R. Rondo)
5:00.0,Turnover by W. Cauley-Stein (bad pass; steal by J. Johnson),,103-115,,
4:49.0,,,103-118,3,B. Bogdanovic makes 3-pt shot from 23 ft (assist by J. Johnson)
4:28.0,Turnover by D. Cousins (bad pass; steal by T. Young),,103-118,,
4:16.0,,,103-118,,J. Johnson misses 3-pt shot from 24 ft
4:15.0,Defensive rebound by D. Cousins,,103-118,,
4:10.0,R. Rondo misses 2-pt shot from 1 ft (block by J. Johnson),,103-118,,
4:08.0,Offensive rebound by D. Collison,,103-118,,
4:02.0,D. Collison misses 2-pt shot from 2 ft,,103-118,,
