time,Indiana,pts.away,score,pts.home,Philadelphia
6:08.0,Defensive rebound by P. George,,10-14,,
5:52.0,Shooting foul by N. Stauskas (drawn by P. George),,10-14,,
5:52.0,,,10-14,,Philadelphia full timeout
5:52.0,S. Hill enters the game for L. Allen,,10-14,,
5:52.0,P. George makes free throw 1 of 2,1,11-14,,
5:52.0,P. George makes free throw 2 of 2,1,12-14,,
5:40.0,,,12-14,,Shooting foul by S. Hill (drawn by N. Stauskas)
5:40.0,,,12-15,1,N. Stauskas makes free throw 1 of 2
5:40.0,,,12-16,1,N. Stauskas makes free throw 2 of 2
5:25.0,P. George misses 2-pt shot from 16 ft,,12-16,,
5:23.0,,,12-16,,Defensive rebound by E. Brand
5:07.0,,,12-19,3,N. Stauskas makes 3-pt shot from 24 ft (assist by R. Covington)
4:54.0,G. Hill makes 2-pt shot from 15 ft,2,14-19,,
4:34.0,,,14-21,2,I. Canaan makes 2-pt shot from 10 ft (assist by N. Stauskas)
4:18.0,M. Ellis makes 2-pt shot from 15 ft,2,16-21,,
3:54.0,,,16-21,,E. Brand misses 2-pt shot from 3 ft
3:52.0,,,16-21,,Offensive rebound by I. Smith
3:49.0,,,16-21,,N. Stauskas misses 3-pt shot from 26 ft
3:47.0,Defensive rebound by I. Mahinmi,,16-21,,
3:38.0,G. Hill misses 2-pt shot from 1 ft,,16-21,,
3:36.0,Offensive rebound by P. George,,16-21,,
3:36.0,P. George misses 2-pt shot from 2 ft,,16-21,,
3:33.0,Offensive rebound by I. Mahinmi,,16-21,,
3:32.0,S. Hill misses 3-pt shot from 26 ft,,16-21,,
3:30.0,,,16-21,,Defensive rebound by E. Brand
3:23.0,,,16-21,,I. Canaan misses 3-pt shot from 26 ft
3:22.0,Defensive rebound by I. Mahinmi,,16-21,,
3:16.0,Indiana full timeout,,16-21,,
3:16.0,,,16-21,,T. McConnell enters the game for I. Smith
3:16.0,,,16-21,,K. Marshall enters the game for I. Canaan
3:16.0,M. Turner enters the game for I. Mahinmi,,16-21,,
3:08.0,,,16-21,,Def 3 sec tech foul by E. Brand
3:08.0,S. Hill misses technical free throw,,16-21,,
3:08.0,Offensive rebound by Team,,16-21,,
3:02.0,S. Hill makes 2-pt shot at rim (assist by M. Turner),2,18-21,,
2:51.0,,,18-24,3,K. Marshall makes 3-pt shot from 25 ft
2:39.0,P. George makes 2-pt shot from 20 ft (assist by M. Ellis),2,20-24,,
2:23.0,,,20-24,,K. Marshall misses 2-pt shot from 12 ft (block by G. Hill)
2:20.0,Defensive rebound by M. Ellis,,20-24,,
2:13.0,P. George misses 3-pt shot from 23 ft,,20-24,,
2:12.0,,,20-24,,Defensive rebound by E. Brand
2:01.0,,,20-24,,E. Brand misses 2-pt shot from 18 ft
2:00.0,Defensive rebound by S. Hill,,20-24,,
1:50.0,G. Hill makes 2-pt shot from 2 ft (assist by M. Ellis),2,22-24,,
1:34.0,,,22-24,,N. Stauskas misses 2-pt shot at rim (block by M. Turner)
1:33.0,Defensive rebound by P. George,,22-24,,
1:33.0,,,22-24,,Personal foul by E. Brand
1:33.0,,,22-24,,C. Landry enters the game for E. Brand
1:33.0,R. Stuckey enters the game for G. Hill,,22-24,,
1:33.0,T. Lawson enters the game for M. Ellis,,22-24,,
1:23.0,Shooting foul by R. Covington (drawn by P. George),,22-24,,
1:23.0,P. George misses free throw 1 of 2,,22-24,,
1:23.0,Offensive rebound by Team,,22-24,,
1:23.0,P. George makes free throw 2 of 2,1,23-24,,
1:12.0,,,23-26,2,C. Landry makes 2-pt shot from 2 ft (assist by N. Stauskas)
1:01.0,M. Turner misses 2-pt shot from 18 ft,,23-26,,
1:00.0,,,23-26,,Defensive rebound by R. Covington
0:54.0,,,23-28,2,T. McConnell makes 2-pt shot from 10 ft
0:39.0,R. Stuckey makes 3-pt shot from 23 ft (assist by P. George),3,26-28,,
0:23.0,,,26-28,,K. Marshall misses 2-pt shot from 21 ft
0:22.0,Defensive rebound by S. Hill,,26-28,,
0:04.0,T. Lawson misses 2-pt shot from 2 ft,,26-28,,
0:03.0,Offensive rebound by M. Turner,,26-28,,
0:03.0,M. Turner makes 2-pt shot at rim,2,28-28,,
0:00.0,,,28-28,,R. Covington misses 3-pt shot from 43 ft
0:00.0,,,28-28,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:47.0,,,28-28,,C. Landry misses 2-pt shot from 16 ft
11:46.0,Defensive rebound by C. Miles,,28-28,,
11:28.0,T. Lawson misses 3-pt shot from 26 ft,,28-28,,
11:27.0,Offensive rebound by Team,,28-28,,
11:27.0,,,28-28,,Loose ball foul by N. Stauskas
11:27.0,,,28-28,,J. Grant enters the game for R. Covington
11:21.0,R. Stuckey makes 2-pt shot from 8 ft (assist by M. Turner),2,30-28,,
10:55.0,,,30-28,,J. Grant misses 3-pt shot from 24 ft
10:54.0,Defensive rebound by T. Lawson,,30-28,,
10:38.0,C. Miles misses 3-pt shot from 25 ft,,30-28,,
10:37.0,,,30-28,,Defensive rebound by N. Stauskas
10:31.0,,,30-28,,Turnover by N. Stauskas (lost ball; steal by C. Miles)
10:19.0,C. Miles makes 2-pt shot from 2 ft,2,32-28,,
10:11.0,,,32-28,,Turnover by C. Landry (lost ball; steal by R. Stuckey)
10:10.0,Shooting foul by K. Marshall (drawn by R. Stuckey),,32-28,,
10:10.0,R. Stuckey makes free throw 1 of 2,1,33-28,,
10:10.0,R. Stuckey makes free throw 2 of 2,1,34-28,,
10:02.0,,,34-28,,K. Marshall misses 2-pt shot from 13 ft
10:00.0,Defensive rebound by M. Turner,,34-28,,
9:46.0,T. Lawson misses 2-pt shot from 16 ft,,34-28,,
9:45.0,,,34-28,,Defensive rebound by C. Landry
9:37.0,,,34-28,,T. McConnell misses 2-pt shot from 1 ft
9:36.0,Defensive rebound by M. Turner,,34-28,,
9:30.0,C. Miles makes 3-pt shot from 25 ft (assist by S. Hill),3,37-28,,
9:30.0,,,37-28,,Philadelphia full timeout
9:30.0,,,37-28,,I. Canaan enters the game for K. Marshall
9:16.0,,,37-28,,Shooting foul by C. Miles (drawn by N. Stauskas)
9:16.0,,,37-29,1,N. Stauskas makes free throw 1 of 2
9:16.0,,,37-30,1,N. Stauskas makes free throw 2 of 2
9:08.0,C. Miles misses 3-pt shot from 24 ft,,37-30,,
9:06.0,,,37-30,,Defensive rebound by C. Landry
8:59.0,,,37-30,,Turnover by J. Grant (lost ball; steal by S. Hill)
8:51.0,S. Hill makes 2-pt shot from 2 ft,2,39-30,,
8:30.0,,,39-30,,J. Grant misses 2-pt shot from 6 ft
8:29.0,Defensive rebound by R. Stuckey,,39-30,,
8:21.0,C. Miles makes 3-pt shot from 25 ft (assist by T. Lawson),3,42-30,,
8:06.0,,,42-30,,I. Smith enters the game for N. Stauskas
7:57.0,,,42-32,2,C. Landry makes 2-pt shot from 1 ft (assist by I. Smith)
7:49.0,M. Turner makes 2-pt shot at rim (assist by R. Stuckey),2,44-32,,
7:27.0,Personal foul by R. Stuckey,,44-32,,
7:15.0,,,44-34,2,C. Landry makes 2-pt shot from 16 ft (assist by T. McConnell)
7:02.0,C. Miles misses 3-pt shot from 25 ft,,44-34,,
7:00.0,Offensive rebound by S. Hill,,44-34,,
6:51.0,M. Turner makes 2-pt shot at rim (assist by R. Stuckey),2,46-34,,
6:42.0,Personal foul by T. Lawson,,46-34,,
6:42.0,,,46-34,,R. Covington enters the game for T. McConnell
6:29.0,,,46-34,,I. Smith misses 2-pt shot from 9 ft
6:28.0,Defensive rebound by S. Hill,,46-34,,
6:19.0,M. Turner misses 2-pt shot from 19 ft,,46-34,,
6:17.0,,,46-34,,Defensive rebound by C. Landry
6:06.0,,,46-34,,Shooting foul by M. Turner (drawn by J. Grant)
6:06.0,,,46-35,1,J. Grant makes free throw 1 of 2
6:06.0,,,46-35,,J. Grant misses free throw 2 of 2
6:05.0,Defensive rebound by S. Hill,,46-35,,
5:53.0,R. Stuckey makes 2-pt shot from 7 ft,2,48-35,,
5:53.0,Shooting foul by I. Canaan (drawn by R. Stuckey),,48-35,,
5:53.0,Official timeout,,48-35,,
5:53.0,R. Stuckey makes free throw 1 of 1,1,49-35,,
5:38.0,,,49-35,,I. Smith misses 2-pt shot from 18 ft
5:37.0,Defensive rebound by M. Turner,,49-35,,
5:26.0,Offensive foul by C. Miles,,49-35,,
5:26.0,Turnover by C. Miles (offensive foul),,49-35,,
5:26.0,,,49-35,,E. Brand enters the game for C. Landry
5:12.0,,,49-38,3,R. Covington makes 3-pt shot from 25 ft (assist by I. Canaan)
4:56.0,C. Miles makes 2-pt shot from 11 ft (assist by R. Stuckey),2,51-38,,
4:34.0,,,51-41,3,R. Covington makes 3-pt shot from 26 ft (assist by E. Brand)
4:18.0,C. Miles makes 2-pt shot from 15 ft (assist by R. Stuckey),2,53-41,,
4:02.0,,,53-44,3,I. Canaan makes 3-pt shot from 25 ft (assist by E. Brand)
3:44.0,C. Miles makes 2-pt shot from 14 ft (assist by T. Lawson),2,55-44,,
3:32.0,,,55-44,,I. Canaan misses 3-pt shot from 24 ft
3:30.0,Defensive rebound by M. Turner,,55-44,,
3:21.0,,,55-44,,N. Stauskas enters the game for J. Grant
3:21.0,Indiana full timeout,,55-44,,
3:16.0,C. Miles misses 3-pt shot from 23 ft,,55-44,,
3:16.0,,,55-44,,Defensive rebound by E. Brand
3:16.0,,,55-44,,Turnover by E. Brand (step out of bounds)
3:16.0,P. George enters the game for C. Miles,,55-44,,
3:07.0,P. George misses 2-pt shot from 14 ft,,55-44,,
3:04.0,,,55-44,,Defensive rebound by E. Brand
2:59.0,,,55-44,,I. Canaan misses 3-pt shot from 25 ft
2:58.0,Defensive rebound by T. Lawson,,55-44,,
2:48.0,Turnover by M. Turner (step out of bounds),,55-44,,
2:29.0,,,55-44,,R. Covington misses 3-pt shot from 24 ft
2:27.0,,,55-44,,Offensive rebound by E. Brand
2:20.0,,,55-44,,Turnover by E. Brand (lost ball; steal by T. Lawson)
2:13.0,R. Stuckey misses 3-pt shot from 24 ft,,55-44,,
2:11.0,,,55-44,,Defensive rebound by I. Smith
2:02.0,,,55-44,,R. Covington misses 3-pt shot from 24 ft
2:00.0,,,55-44,,Offensive rebound by R. Covington
1:53.0,,,55-47,3,R. Covington makes 3-pt shot from 25 ft (assist by I. Smith)
1:51.0,Indiana full timeout,,55-47,,
1:51.0,G. Hill enters the game for T. Lawson,,55-47,,
1:51.0,M. Ellis enters the game for R. Stuckey,,55-47,,
1:32.0,,,55-47,,Personal foul by R. Covington
1:32.0,I. Mahinmi enters the game for M. Turner,,55-47,,
1:23.0,I. Mahinmi makes 2-pt shot from 2 ft (assist by M. Ellis),2,57-47,,
1:02.0,,,57-47,,I. Smith misses 3-pt shot from 24 ft
1:01.0,Defensive rebound by I. Mahinmi,,57-47,,
0:46.0,M. Ellis makes 2-pt shot from 1 ft,2,59-47,,
0:43.0,,,59-47,,Philadelphia full timeout
0:43.0,,,59-47,,J. Grant enters the game for R. Covington
0:37.0,Personal foul by S. Hill,,59-47,,
0:37.0,,,59-48,1,J. Grant makes free throw 1 of 2
0:37.0,C. Miles enters the game for S. Hill,,59-48,,
0:37.0,,,59-49,1,J. Grant makes free throw 2 of 2
0:28.0,M. Ellis misses 2-pt shot from 4 ft,,59-49,,
0:27.0,Offensive rebound by I. Mahinmi,,59-49,,
0:27.0,I. Mahinmi makes 2-pt shot at rim,2,61-49,,
0:05.0,,,61-49,,I. Smith misses 2-pt shot from 4 ft
0:04.0,Defensive rebound by I. Mahinmi,,61-49,,
0:01.0,M. Ellis misses 3-pt shot from 27 ft,,61-49,,
0:00.0,Offensive rebound by Team,,61-49,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:37.0,,,61-49,,I. Smith misses 3-pt shot from 26 ft
11:34.0,Defensive rebound by I. Mahinmi,,61-49,,
11:21.0,P. George misses 2-pt shot from 9 ft,,61-49,,
11:18.0,Offensive rebound by I. Mahinmi,,61-49,,
11:04.0,M. Ellis makes 2-pt shot from 16 ft,2,63-49,,
10:56.0,,,63-49,,I. Canaan misses 3-pt shot from 23 ft
10:54.0,Defensive rebound by I. Mahinmi,,63-49,,
10:38.0,P. George makes 2-pt shot at rim (assist by M. Ellis),2,65-49,,
10:38.0,,,65-49,,Philadelphia full timeout
10:27.0,,,65-49,,C. Landry misses 2-pt shot from 17 ft
10:25.0,,,65-49,,Offensive rebound by Team
10:12.0,,,65-51,2,I. Smith makes 2-pt shot at rim (assist by C. Landry)
9:52.0,P. George misses 3-pt shot from 25 ft,,65-51,,
9:49.0,,,65-51,,Defensive rebound by C. Landry
9:43.0,,,65-51,,I. Smith misses 2-pt shot at rim
9:41.0,Defensive rebound by I. Mahinmi,,65-51,,
9:34.0,M. Ellis misses 2-pt shot from 1 ft,,65-51,,
9:28.0,,,65-51,,Defensive rebound by R. Covington
9:25.0,,,65-51,,R. Covington misses 3-pt shot from 26 ft
9:23.0,Defensive rebound by I. Mahinmi,,65-51,,
9:14.0,G. Hill makes 2-pt shot from 2 ft (assist by P. George),2,67-51,,
8:46.0,,,67-51,,Turnover by Team (shot clock)
8:34.0,G. Hill misses 3-pt shot from 23 ft,,67-51,,
8:33.0,,,67-51,,Defensive rebound by C. Landry
8:23.0,,,67-51,,Turnover by C. Landry (lost ball; steal by I. Mahinmi)
8:21.0,Shooting foul by R. Covington (drawn by P. George),,67-51,,
8:21.0,P. George makes free throw 1 of 2,1,68-51,,
8:21.0,P. George makes free throw 2 of 2,1,69-51,,
8:09.0,,,69-53,2,I. Smith makes 2-pt shot from 1 ft (assist by C. Landry)
7:55.0,G. Hill makes 2-pt shot from 12 ft,2,71-53,,
7:39.0,,,71-53,,Shooting foul by M. Ellis (drawn by I. Canaan)
7:39.0,,,71-53,,I. Canaan misses free throw 1 of 3
7:39.0,,,71-53,,Offensive rebound by Team
7:39.0,,,71-54,1,I. Canaan makes free throw 2 of 3
7:39.0,,,71-54,,E. Brand enters the game for C. Landry
7:39.0,,,71-55,1,I. Canaan makes free throw 3 of 3
7:23.0,G. Hill misses 3-pt shot from 24 ft,,71-55,,
7:22.0,,,71-55,,Defensive rebound by J. Grant
7:12.0,Personal foul by I. Mahinmi,,71-55,,
7:01.0,,,71-58,3,J. Grant makes 3-pt shot from 22 ft (assist by E. Brand)
6:33.0,L. Allen misses 2-pt shot from 17 ft,,71-58,,
6:32.0,,,71-58,,Defensive rebound by E. Brand
6:26.0,,,71-61,3,I. Canaan makes 3-pt shot from 26 ft (assist by I. Smith)
6:24.0,Indiana full timeout,,71-61,,
6:13.0,Turnover by L. Allen (bad pass),,71-61,,
6:13.0,Technical foul by I. Mahinmi,,71-61,,
6:13.0,,,71-62,1,I. Canaan makes technical free throw
5:59.0,,,71-65,3,J. Grant makes 3-pt shot from 22 ft (assist by E. Brand)
5:39.0,M. Ellis misses 2-pt shot from 16 ft,,71-65,,
5:37.0,Offensive rebound by Team,,71-65,,
5:36.0,S. Hill enters the game for L. Allen,,71-65,,
5:31.0,,,71-65,,Personal block foul by R. Covington
5:31.0,,,71-65,,Technical foul by R. Covington
5:31.0,P. George makes technical free throw,1,72-65,,
5:31.0,,,72-65,,N. Stauskas enters the game for R. Covington
5:23.0,I. Mahinmi misses 2-pt shot from 10 ft,,72-65,,
5:21.0,,,72-65,,Defensive rebound by I. Canaan
5:13.0,,,72-68,3,I. Canaan makes 3-pt shot from 24 ft
4:58.0,Offensive foul by P. George,,72-68,,
4:58.0,Turnover by P. George (offensive foul),,72-68,,
4:40.0,,,72-68,,Turnover by N. Stauskas (bad pass)
4:30.0,,,72-68,,Personal foul by E. Brand
4:17.0,P. George misses 2-pt shot from 16 ft,,72-68,,
4:15.0,,,72-68,,Defensive rebound by I. Canaan
4:09.0,,,72-68,,J. Grant misses 2-pt shot from 3 ft (block by I. Mahinmi)
4:08.0,,,72-68,,Offensive rebound by J. Grant
4:08.0,,,72-68,,Shooting foul by I. Mahinmi (drawn by J. Grant)
4:08.0,,,72-68,,J. Grant misses free throw 1 of 2
4:08.0,,,72-68,,Offensive rebound by Team
4:08.0,M. Turner enters the game for I. Mahinmi,,72-68,,
4:08.0,,,72-68,,J. Grant misses free throw 2 of 2
4:07.0,Defensive rebound by S. Hill,,72-68,,
3:59.0,,,72-68,,Personal foul by N. Stauskas
3:53.0,S. Hill makes 2-pt shot from 1 ft,2,74-68,,
3:32.0,,,74-68,,I. Canaan misses 3-pt shot from 24 ft
3:30.0,Defensive rebound by P. George,,74-68,,
3:23.0,P. George misses 3-pt shot from 27 ft,,74-68,,
3:21.0,,,74-68,,Defensive rebound by J. Grant
3:14.0,,,74-70,2,I. Smith makes 2-pt shot from 2 ft
3:14.0,,,74-70,,Shooting foul by M. Turner (drawn by I. Smith)
3:14.0,R. Stuckey enters the game for M. Ellis,,74-70,,
3:14.0,,,74-70,,T. McConnell enters the game for I. Canaan
3:14.0,T. Lawson enters the game for G. Hill,,74-70,,
3:14.0,,,74-71,1,I. Smith makes free throw 1 of 1
2:55.0,Turnover by P. George (bad pass),,74-71,,
2:47.0,,,74-71,,T. McConnell misses 2-pt shot from 16 ft
2:45.0,Defensive rebound by M. Turner,,74-71,,
2:43.0,Turnover by M. Turner (lost ball; steal by T. McConnell),,74-71,,
2:30.0,,,74-71,,N. Stauskas misses 3-pt shot from 27 ft
2:28.0,Defensive rebound by P. George,,74-71,,
2:21.0,M. Turner misses 2-pt shot from 12 ft,,74-71,,
2:19.0,,,74-71,,Defensive rebound by E. Brand
2:06.0,,,74-73,2,E. Brand makes 2-pt shot from 18 ft (assist by N. Stauskas)
1:47.0,S. Hill misses 2-pt shot from 12 ft,,74-73,,
1:45.0,,,74-73,,Defensive rebound by J. Grant
1:35.0,,,74-73,,E. Brand misses 2-pt shot from 15 ft
1:34.0,,,74-73,,Offensive rebound by J. Grant
1:34.0,,,74-73,,Shooting foul by R. Stuckey (drawn by J. Grant)
1:34.0,,,74-75,2,J. Grant makes 2-pt shot from 5 ft
1:34.0,Technical foul by Team,,74-75,,
1:34.0,,,74-75,,N. Stauskas misses technical free throw
1:34.0,,,74-75,,Offensive rebound by Team
1:34.0,C. Miles enters the game for P. George,,74-75,,
1:34.0,,,74-75,,J. Grant misses free throw 1 of 1
1:34.0,Defensive rebound by M. Turner,,74-75,,
1:13.0,Turnover by S. Hill (traveling),,74-75,,
0:52.0,,,74-75,,Turnover by J. Grant (lost ball)
0:41.0,C. Miles misses 2-pt shot from 16 ft,,74-75,,
0:39.0,,,74-75,,Defensive rebound by E. Brand
0:30.0,,,74-77,2,N. Stauskas makes 2-pt shot at rim
0:14.0,Offensive foul by T. Lawson,,74-77,,
0:14.0,Turnover by T. Lawson (offensive foul),,74-77,,
0:14.0,,,74-77,,R. Covington enters the game for J. Grant
0:14.0,,,74-77,,I. Canaan enters the game for T. McConnell
0:00.0,,,74-77,,R. Covington misses 3-pt shot from 26 ft
0:00.0,,,74-77,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:46.0,Shooting foul by R. Covington (drawn by C. Miles),,74-77,,
11:46.0,C. Miles makes free throw 1 of 2,1,75-77,,
11:46.0,,,75-77,,J. Grant enters the game for R. Covington
11:46.0,C. Miles makes free throw 2 of 2,1,76-77,,
11:36.0,,,76-79,2,J. Grant makes 2-pt shot from 2 ft (assist by I. Canaan)
11:25.0,T. Lawson makes 2-pt shot from 1 ft,2,78-79,,
11:10.0,,,78-82,3,I. Canaan makes 3-pt shot from 23 ft (assist by J. Grant)
11:04.0,Offensive charge foul by C. Miles,,78-82,,
11:04.0,Turnover by C. Miles (offensive foul),,78-82,,
10:54.0,Personal foul by S. Hill,,78-82,,
10:40.0,,,78-82,,C. Landry misses 2-pt shot from 17 ft
10:39.0,,,78-82,,Offensive rebound by N. Stauskas
10:25.0,,,78-84,2,T. McConnell makes 2-pt shot from 2 ft
10:15.0,Shooting foul by T. McConnell (drawn by T. Lawson),,78-84,,
10:15.0,T. Lawson misses free throw 1 of 2,,78-84,,
10:15.0,Offensive rebound by Team,,78-84,,
10:15.0,T. Lawson makes free throw 2 of 2,1,79-84,,
9:59.0,,,79-84,,Offensive charge foul by J. Grant
9:59.0,,,79-84,,Turnover by J. Grant (offensive foul)
9:49.0,R. Stuckey makes 2-pt shot from 1 ft (assist by T. Lawson),2,81-84,,
9:37.0,Personal foul by R. Stuckey,,81-84,,
9:27.0,,,81-84,,T. McConnell misses 2-pt shot from 14 ft
9:25.0,Defensive rebound by C. Miles,,81-84,,
9:17.0,T. Lawson makes 2-pt shot from 15 ft,2,83-84,,
9:17.0,,,83-84,,Philadelphia full timeout
9:01.0,,,83-87,3,J. Grant makes 3-pt shot from 24 ft (assist by T. McConnell)
8:44.0,C. Miles makes 3-pt shot from 25 ft,3,86-87,,
8:28.0,,,86-87,,Shooting foul by C. Miles (drawn by C. Landry)
8:28.0,,,86-88,1,C. Landry makes free throw 1 of 2
8:28.0,P. George enters the game for S. Hill,,86-88,,
8:28.0,,,86-88,,C. Landry misses free throw 2 of 2
8:27.0,Defensive rebound by M. Turner,,86-88,,
8:10.0,R. Stuckey makes 2-pt shot from 12 ft (assist by T. Lawson),2,88-88,,
7:53.0,,,88-88,,J. Grant misses 2-pt shot from 3 ft
7:51.0,,,88-88,,Offensive rebound by J. Grant
7:51.0,,,88-88,,J. Grant misses 2-pt shot from 4 ft (block by C. Miles)
7:51.0,,,88-88,,Offensive rebound by Team
7:51.0,,,88-88,,Offensive foul by J. Grant
7:51.0,,,88-88,,Turnover by J. Grant (offensive foul)
7:44.0,T. Lawson misses 2-pt shot from 1 ft (block by J. Grant),,88-88,,
7:43.0,,,88-88,,Defensive rebound by Team
7:23.0,,,88-88,,J. Grant misses 2-pt shot from 11 ft
7:21.0,Defensive rebound by M. Turner,,88-88,,
7:18.0,R. Stuckey makes 2-pt shot at rim (assist by T. Lawson),2,90-88,,
6:59.0,,,90-90,2,I. Canaan makes 2-pt shot from 5 ft
6:59.0,,,90-90,,Shooting foul by R. Stuckey (drawn by I. Canaan)
6:59.0,,,90-91,1,I. Canaan makes free throw 1 of 1
6:45.0,Shooting foul by N. Stauskas (drawn by R. Stuckey),,90-91,,
6:45.0,R. Stuckey makes free throw 1 of 2,1,91-91,,
6:45.0,,,91-91,,I. Smith enters the game for T. McConnell
6:45.0,,,91-91,,R. Covington enters the game for N. Stauskas
6:45.0,R. Stuckey misses free throw 2 of 2,,91-91,,
6:44.0,,,91-91,,Defensive rebound by C. Landry
6:32.0,,,91-91,,Turnover by C. Landry (lost ball; steal by C. Miles)
6:27.0,M. Turner makes 2-pt shot at rim (assist by P. George),2,93-91,,
6:11.0,,,93-91,,I. Canaan misses 3-pt shot from 25 ft
6:09.0,,,93-91,,Offensive rebound by J. Grant
6:09.0,,,93-91,,Shooting foul by P. George (drawn by J. Grant)
6:09.0,,,93-92,1,J. Grant makes free throw 1 of 2
6:09.0,,,93-92,,E. Brand enters the game for C. Landry
6:09.0,,,93-93,1,J. Grant makes free throw 2 of 2
5:58.0,P. George misses 2-pt shot from 15 ft,,93-93,,
5:57.0,,,93-93,,Defensive rebound by J. Grant
5:36.0,,,93-96,3,I. Canaan makes 3-pt shot from 26 ft
5:21.0,C. Miles makes 3-pt shot from 26 ft (assist by R. Stuckey),3,96-96,,
4:58.0,,,96-98,2,I. Smith makes 2-pt shot from 20 ft
4:57.0,Indiana full timeout,,96-98,,
4:57.0,M. Ellis enters the game for T. Lawson,,96-98,,
4:57.0,G. Hill enters the game for R. Stuckey,,96-98,,
4:38.0,M. Ellis makes 2-pt shot from 16 ft (assist by P. George),2,98-98,,
4:18.0,,,98-98,,I. Smith misses 2-pt shot from 19 ft
4:16.0,Defensive rebound by M. Turner,,98-98,,
4:04.0,M. Ellis misses 2-pt shot from 18 ft,,98-98,,
4:02.0,,,98-98,,Defensive rebound by R. Covington
3:48.0,,,98-98,,Turnover by I. Canaan (lost ball; steal by M. Ellis)
3:39.0,C. Miles makes 3-pt shot from 24 ft (assist by M. Ellis),3,101-98,,
3:22.0,,,101-98,,Turnover by R. Covington (lost ball; steal by C. Miles)
3:17.0,G. Hill makes 2-pt shot from 2 ft (assist by P. George),2,103-98,,
3:17.0,Shooting foul by I. Smith (drawn by G. Hill),,103-98,,
3:17.0,I. Mahinmi enters the game for M. Turner,,103-98,,
3:17.0,G. Hill makes free throw 1 of 1,1,104-98,,
