time,Detroit,pts.away,score,pts.home,Washington
8:40.0,Defensive rebound by A. Tolliver,,20-41,,
8:30.0,S. Johnson misses 3-pt shot from 28 ft,,20-41,,
8:29.0,Offensive rebound by A. Baynes,,20-41,,
8:25.0,Turnover by A. Baynes (lost ball; steal by B. Beal),,20-41,,
8:20.0,,,20-41,,O. Porter misses 2-pt shot from 19 ft
8:19.0,Defensive rebound by S. Johnson,,20-41,,
8:15.0,S. Blake misses 2-pt shot from 20 ft,,20-41,,
8:13.0,,,20-41,,Defensive rebound by R. Sessions
8:09.0,,,20-41,,Washington full timeout
8:09.0,T. Harris enters the game for S. Blake,,20-41,,
8:09.0,M. Morris enters the game for A. Tolliver,,20-41,,
8:09.0,R. Jackson enters the game for S. Johnson,,20-41,,
7:59.0,,,20-43,2,N. Hilario makes 2-pt shot from 5 ft (assist by R. Sessions)
7:44.0,,,20-43,,Personal foul by R. Sessions
7:44.0,A. Baynes makes free throw 1 of 2,1,21-43,,
7:44.0,A. Baynes makes free throw 2 of 2,1,22-43,,
7:32.0,,,22-45,2,R. Sessions makes 2-pt shot from 1 ft (assist by N. Hilario)
7:14.0,R. Bullock makes 2-pt shot from 2 ft (assist by A. Baynes),2,24-45,,
7:00.0,,,24-45,,Offensive foul by N. Hilario
7:00.0,,,24-45,,Turnover by N. Hilario (offensive foul)
7:00.0,A. Drummond enters the game for A. Baynes,,24-45,,
7:00.0,,,24-45,,M. Gortat enters the game for N. Hilario
7:00.0,,,24-45,,J. Wall enters the game for B. Beal
6:48.0,R. Bullock makes 2-pt shot from 21 ft (assist by A. Drummond),2,26-45,,
6:32.0,Def 3 sec tech foul by A. Drummond,,26-45,,
6:32.0,,,26-46,1,J. Wall makes technical free throw
6:32.0,,,26-46,,M. Morris enters the game for J. Dudley
6:23.0,,,26-46,,M. Gortat misses 2-pt shot from 7 ft
6:21.0,Defensive rebound by M. Morris,,26-46,,
6:08.0,A. Drummond misses 2-pt shot from 12 ft,,26-46,,
6:07.0,,,26-46,,Defensive rebound by O. Porter
5:48.0,,,26-48,2,M. Gortat makes 2-pt shot from 3 ft (assist by M. Morris)
5:35.0,R. Jackson misses 2-pt shot from 16 ft,,26-48,,
5:34.0,,,26-48,,Defensive rebound by Team
5:34.0,Loose ball foul by A. Drummond,,26-48,,
5:34.0,Official timeout,,26-48,,
5:34.0,K. Caldwell-Pope enters the game for R. Bullock,,26-48,,
5:20.0,,,26-50,2,M. Morris makes 2-pt shot at rim (assist by J. Wall)
5:03.0,T. Harris misses 2-pt shot from 5 ft (block by M. Morris),,26-50,,
5:02.0,,,26-50,,Defensive rebound by O. Porter
4:58.0,,,26-50,,Turnover by O. Porter (lost ball; steal by M. Morris)
4:58.0,,,26-50,,Personal take foul by M. Morris
4:58.0,M. Morris makes free throw 1 of 2,1,27-50,,
4:58.0,M. Morris makes free throw 2 of 2,1,28-50,,
4:38.0,,,28-52,2,J. Wall makes 2-pt shot from 16 ft
4:18.0,,,28-52,,Violation by M. Morris (def goaltending)
4:18.0,T. Harris makes 2-pt shot at rim (assist by R. Jackson),2,30-52,,
4:06.0,,,30-52,,R. Sessions misses 3-pt shot from 26 ft
4:05.0,Defensive rebound by A. Drummond,,30-52,,
3:58.0,Turnover by R. Jackson (lost ball; steal by R. Sessions),,30-52,,
3:53.0,,,30-52,,J. Wall misses 2-pt shot at rim (block by R. Jackson)
3:53.0,,,30-52,,Offensive rebound by Team
3:46.0,,,30-52,,Turnover by R. Sessions (lost ball; steal by A. Drummond)
3:39.0,T. Harris makes 2-pt shot from 1 ft (assist by M. Morris),2,32-52,,
3:37.0,,,32-52,,Turnover by M. Morris (inbound)
3:37.0,,,32-52,,B. Beal enters the game for R. Sessions
3:24.0,T. Harris misses 3-pt shot from 26 ft,,32-52,,
3:23.0,,,32-52,,Defensive rebound by M. Gortat
3:08.0,,,32-52,,B. Beal misses 3-pt shot from 24 ft
3:07.0,Defensive rebound by R. Jackson,,32-52,,
3:01.0,Offensive foul by R. Jackson,,32-52,,
3:01.0,Turnover by R. Jackson (offensive foul),,32-52,,
3:01.0,S. Blake enters the game for R. Jackson,,32-52,,
2:40.0,,,32-52,,M. Morris misses 3-pt shot from 26 ft
2:39.0,Defensive rebound by A. Drummond,,32-52,,
2:26.0,K. Caldwell-Pope misses 2-pt shot from 19 ft,,32-52,,
2:25.0,,,32-52,,Defensive rebound by B. Beal
2:16.0,,,32-52,,M. Gortat misses 2-pt shot from 7 ft
2:15.0,,,32-52,,Offensive rebound by M. Morris
2:13.0,,,32-54,2,M. Morris makes 2-pt shot from 1 ft
1:59.0,K. Caldwell-Pope misses 2-pt shot from 7 ft,,32-54,,
1:58.0,,,32-54,,Defensive rebound by M. Morris
1:50.0,,,32-56,2,M. Morris makes 2-pt shot from 1 ft (assist by J. Wall)
1:39.0,Detroit full timeout,,32-56,,
1:39.0,,,32-56,,J. Dudley enters the game for M. Morris
1:33.0,S. Blake misses 2-pt shot from 4 ft (block by O. Porter),,32-56,,
1:33.0,Offensive rebound by Team,,32-56,,
1:27.0,T. Harris makes 2-pt shot from 5 ft,2,34-56,,
1:04.0,,,34-58,2,J. Wall makes 2-pt shot from 15 ft
0:44.0,M. Morris makes 3-pt shot from 24 ft (assist by T. Harris),3,37-58,,
0:38.0,,,37-60,2,J. Wall makes 2-pt shot from 1 ft
0:24.0,K. Caldwell-Pope makes 2-pt shot from 2 ft (assist by M. Morris),2,39-60,,
0:16.0,,,39-60,,Washington full timeout
0:16.0,A. Baynes enters the game for A. Drummond,,39-60,,
0:01.0,,,39-60,,O. Porter misses 3-pt shot from 24 ft
0:00.0,,,39-60,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:36.0,,,39-60,,M. Morris misses 2-pt shot from 15 ft
11:35.0,Defensive rebound by M. Morris,,39-60,,
11:25.0,Turnover by R. Jackson (lost ball; steal by M. Gortat),,39-60,,
11:17.0,,,39-62,2,M. Gortat makes 2-pt shot at rim (assist by J. Wall)
11:05.0,,,39-62,,Personal foul by O. Porter
10:51.0,Turnover by A. Drummond (lost ball; steal by M. Morris),,39-62,,
10:43.0,,,39-62,,B. Beal misses 3-pt shot from 25 ft
10:42.0,Defensive rebound by A. Drummond,,39-62,,
10:31.0,K. Caldwell-Pope misses 3-pt shot from 25 ft,,39-62,,
10:30.0,,,39-62,,Defensive rebound by M. Morris
10:13.0,,,39-64,2,B. Beal makes 2-pt shot from 18 ft (assist by O. Porter)
9:56.0,T. Harris misses 2-pt shot from 5 ft,,39-64,,
9:55.0,Offensive rebound by A. Drummond,,39-64,,
9:53.0,A. Drummond misses 2-pt shot at rim,,39-64,,
9:52.0,Offensive rebound by A. Drummond,,39-64,,
9:50.0,A. Drummond makes 2-pt shot from 2 ft,2,41-64,,
9:43.0,,,41-66,2,M. Gortat makes 2-pt shot at rim (assist by J. Wall)
9:43.0,Detroit full timeout,,41-66,,
9:32.0,M. Morris makes 2-pt shot from 12 ft (assist by A. Drummond),2,43-66,,
9:13.0,,,43-66,,M. Gortat misses 2-pt shot from 6 ft
9:11.0,,,43-66,,Offensive rebound by B. Beal
9:02.0,,,43-68,2,O. Porter makes 2-pt shot from 17 ft (assist by J. Wall)
8:43.0,Turnover by M. Morris (lost ball; steal by B. Beal),,43-68,,
8:39.0,,,43-68,,Shooting foul by R. Jackson (drawn by B. Beal)
8:39.0,,,43-69,1,B. Beal makes free throw 1 of 2
8:39.0,,,43-70,1,B. Beal makes free throw 2 of 2
8:29.0,R. Jackson makes 2-pt shot from 5 ft,2,45-70,,
8:11.0,,,45-72,2,M. Gortat makes 2-pt shot from 1 ft
7:56.0,R. Jackson makes 3-pt shot from 26 ft,3,48-72,,
7:39.0,,,48-75,3,B. Beal makes 3-pt shot from 25 ft (assist by M. Morris)
7:21.0,Offensive foul by T. Harris,,48-75,,
7:21.0,Turnover by T. Harris (offensive foul),,48-75,,
7:03.0,,,48-78,3,M. Morris makes 3-pt shot from 23 ft (assist by J. Wall)
6:42.0,,,48-78,,Personal foul by J. Wall
6:41.0,Shooting foul by J. Wall (drawn by R. Jackson),,48-78,,
6:41.0,R. Jackson misses free throw 1 of 2,,48-78,,
6:41.0,Offensive rebound by Team,,48-78,,
6:41.0,R. Jackson makes free throw 2 of 2,1,49-78,,
6:22.0,,,49-80,2,O. Porter makes 2-pt shot from 20 ft (assist by B. Beal)
5:57.0,A. Drummond misses 2-pt shot from 2 ft,,49-80,,
5:56.0,,,49-80,,Defensive rebound by O. Porter
5:48.0,,,49-80,,J. Wall misses 3-pt shot from 26 ft
5:47.0,Defensive rebound by M. Morris,,49-80,,
5:39.0,T. Harris misses 3-pt shot from 26 ft,,49-80,,
5:39.0,Offensive rebound by Team,,49-80,,
5:39.0,,,49-80,,Loose ball foul by M. Gortat
5:39.0,,,49-80,,G. Temple enters the game for B. Beal
5:17.0,M. Morris makes 2-pt shot from 16 ft (assist by T. Harris),2,51-80,,
5:03.0,,,51-80,,M. Morris misses 3-pt shot from 24 ft
5:02.0,Defensive rebound by A. Drummond,,51-80,,
4:46.0,Shooting foul by M. Gortat (drawn by M. Morris),,51-80,,
4:46.0,M. Morris misses free throw 1 of 2,,51-80,,
4:46.0,Offensive rebound by Team,,51-80,,
4:46.0,A. Tolliver enters the game for T. Harris,,51-80,,
4:46.0,M. Morris misses free throw 2 of 2,,51-80,,
4:45.0,,,51-80,,Defensive rebound by M. Gortat
4:37.0,Personal foul by R. Jackson,,51-80,,
4:37.0,S. Blake enters the game for R. Jackson,,51-80,,
4:24.0,,,51-82,2,O. Porter makes 2-pt shot from 18 ft (assist by M. Gortat)
4:11.0,Shooting foul by M. Gortat (drawn by A. Drummond),,51-82,,
4:11.0,A. Drummond misses free throw 1 of 2,,51-82,,
4:11.0,Offensive rebound by Team,,51-82,,
4:11.0,S. Johnson enters the game for M. Morris,,51-82,,
4:11.0,,,51-82,,N. Hilario enters the game for M. Gortat
4:11.0,A. Drummond makes free throw 2 of 2,1,52-82,,
4:07.0,Personal foul by S. Blake,,52-82,,
3:59.0,,,52-84,2,O. Porter makes 2-pt shot from 14 ft
3:43.0,K. Caldwell-Pope makes 2-pt shot from 2 ft,2,54-84,,
3:32.0,,,54-84,,O. Porter misses 2-pt shot at rim
3:31.0,Defensive rebound by A. Drummond,,54-84,,
3:23.0,S. Blake misses 2-pt shot from 21 ft,,54-84,,
3:22.0,,,54-84,,Defensive rebound by G. Temple
3:17.0,,,54-84,,Shooting foul by A. Drummond (drawn by N. Hilario)
3:17.0,,,54-85,1,N. Hilario makes free throw 1 of 2
3:17.0,,,54-85,,J. Dudley enters the game for M. Morris
3:17.0,,,54-86,1,N. Hilario makes free throw 2 of 2
3:03.0,S. Johnson misses 2-pt shot from 14 ft,,54-86,,
3:02.0,,,54-86,,Defensive rebound by O. Porter
2:54.0,,,54-86,,J. Dudley misses 3-pt shot from 25 ft
2:53.0,Defensive rebound by S. Johnson,,54-86,,
2:41.0,A. Drummond makes 2-pt shot from 11 ft (assist by S. Johnson),2,56-86,,
2:23.0,,,56-86,,J. Wall misses 2-pt shot from 18 ft
2:22.0,Defensive rebound by S. Johnson,,56-86,,
2:14.0,K. Caldwell-Pope makes 2-pt shot from 2 ft (assist by S. Johnson),2,58-86,,
2:14.0,Shooting foul by G. Temple (drawn by K. Caldwell-Pope),,58-86,,
2:14.0,,,58-86,,Washington full timeout
2:14.0,,,58-86,,R. Sessions enters the game for J. Wall
2:14.0,K. Caldwell-Pope makes free throw 1 of 1,1,59-86,,
2:06.0,,,59-86,,Turnover by O. Porter (traveling)
1:50.0,S. Johnson misses 2-pt shot from 1 ft (block by O. Porter),,59-86,,
1:48.0,,,59-86,,Defensive rebound by N. Hilario
1:35.0,,,59-88,2,N. Hilario makes 2-pt shot from 16 ft (assist by O. Porter)
1:20.0,Turnover by A. Drummond (offensive foul),,59-88,,
1:20.0,Offensive foul by A. Drummond,,59-88,,
1:08.0,,,59-90,2,N. Hilario makes 2-pt shot at rim (assist by R. Sessions)
0:48.0,S. Blake misses 3-pt shot from 23 ft,,59-90,,
0:48.0,Offensive rebound by K. Caldwell-Pope,,59-90,,
0:47.0,K. Caldwell-Pope makes 2-pt shot at rim,2,61-90,,
0:37.0,Personal foul by S. Blake,,61-90,,
0:37.0,,,61-91,1,R. Sessions makes free throw 1 of 2
0:37.0,,,61-92,1,R. Sessions makes free throw 2 of 2
0:22.0,K. Caldwell-Pope misses 2-pt shot from 18 ft,,61-92,,
0:21.0,,,61-92,,Defensive rebound by O. Porter
0:06.0,,,61-92,,Shooting foul by K. Caldwell-Pope (drawn by R. Sessions)
0:06.0,,,61-92,,R. Sessions misses free throw 1 of 2
0:06.0,,,61-92,,Offensive rebound by Team
0:06.0,,,61-93,1,R. Sessions makes free throw 2 of 2
0:02.0,K. Caldwell-Pope makes 2-pt shot at rim (assist by S. Blake),2,63-93,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:52.0,Turnover by S. Blake (lost ball; steal by N. Hilario),,63-93,,
11:50.0,,,63-93,,Shooting foul by A. Baynes (drawn by N. Hilario)
11:50.0,,,63-95,2,N. Hilario makes 2-pt shot at rim
11:50.0,,,63-96,1,N. Hilario makes free throw 1 of 1
11:35.0,D. Hilliard makes 2-pt shot from 1 ft,2,65-96,,
11:21.0,,,65-98,2,R. Sessions makes 2-pt shot at rim (assist by N. Hilario)
11:20.0,Detroit full timeout,,65-98,,
11:01.0,S. Johnson makes 2-pt shot from 11 ft (assist by A. Tolliver),2,67-98,,
10:46.0,,,67-98,,B. Beal misses 2-pt shot from 4 ft
10:45.0,Defensive rebound by A. Baynes,,67-98,,
10:34.0,A. Tolliver misses 3-pt shot from 29 ft,,67-98,,
10:33.0,,,67-98,,Defensive rebound by N. Hilario
10:21.0,Violation by A. Baynes (kicked ball),,67-98,,
10:06.0,,,67-98,,R. Sessions misses 2-pt shot from 5 ft
10:05.0,Defensive rebound by S. Johnson,,67-98,,
9:51.0,S. Johnson misses 3-pt shot from 27 ft,,67-98,,
9:49.0,,,67-98,,Defensive rebound by G. Temple
9:42.0,,,67-100,2,N. Hilario makes 2-pt shot from 16 ft (assist by J. Dudley)
9:37.0,,,67-100,,Personal foul by N. Hilario
9:37.0,,,67-100,,K. Oubre enters the game for B. Beal
9:30.0,D. Hilliard makes 2-pt shot from 17 ft,2,69-100,,
9:12.0,,,69-100,,K. Oubre misses 2-pt shot from 16 ft
9:11.0,Defensive rebound by A. Tolliver,,69-100,,
9:01.0,Turnover by S. Blake (lost ball; steal by K. Oubre),,69-100,,
9:01.0,,,69-100,,Turnover by K. Oubre (lost ball)
8:49.0,D. Hilliard misses 2-pt shot from 7 ft,,69-100,,
8:48.0,,,69-100,,Defensive rebound by K. Oubre
8:37.0,,,69-102,2,R. Sessions makes 2-pt shot from 1 ft (assist by N. Hilario)
8:37.0,,,69-102,,Shooting foul by S. Blake (drawn by R. Sessions)
8:37.0,,,69-103,1,R. Sessions makes free throw 1 of 1
8:23.0,S. Johnson makes 2-pt shot from 15 ft,2,71-103,,
8:07.0,,,71-105,2,J. Dudley makes 2-pt shot from 20 ft (assist by R. Sessions)
8:07.0,Away from play foul by A. Baynes,,71-105,,
8:07.0,,,71-106,1,N. Hilario makes free throw 1 of 1
8:01.0,,,71-106,,Personal foul by R. Sessions
7:54.0,,,71-106,,J. Hickson enters the game for N. Hilario
7:51.0,,,71-106,,Personal foul by J. Hickson
7:34.0,Turnover by Team (shot clock),,71-106,,
7:21.0,,,71-106,,J. Dudley misses 2-pt shot from 21 ft
7:20.0,Defensive rebound by S. Johnson,,71-106,,
7:04.0,D. Hilliard misses 3-pt shot from 26 ft,,71-106,,
7:04.0,,,71-106,,Defensive rebound by Team
6:43.0,,,71-106,,R. Sessions misses 2-pt shot from 5 ft
6:42.0,Defensive rebound by A. Baynes,,71-106,,
6:34.0,S. Johnson misses 3-pt shot from 22 ft,,71-106,,
6:33.0,,,71-106,,Defensive rebound by K. Oubre
6:28.0,,,71-108,2,R. Sessions makes 2-pt shot at rim (assist by G. Temple)
6:07.0,S. Blake misses 3-pt shot from 23 ft,,71-108,,
6:06.0,,,71-108,,Defensive rebound by J. Hickson
5:58.0,,,71-108,,G. Temple misses 2-pt shot at rim (block by A. Baynes)
5:58.0,,,71-108,,Offensive rebound by Team
5:58.0,Official timeout,,71-108,,
5:58.0,,,71-108,,M. Thornton enters the game for G. Temple
5:50.0,,,71-110,2,J. Hickson makes 2-pt shot from 12 ft (assist by M. Thornton)
5:35.0,A. Tolliver misses 3-pt shot from 25 ft,,71-110,,
5:33.0,,,71-110,,Defensive rebound by R. Sessions
5:16.0,,,71-112,2,K. Oubre makes 2-pt shot at rim (assist by J. Hickson)
5:16.0,,,71-112,,Shooting foul by S. Johnson (drawn by K. Oubre)
5:16.0,,,71-112,,K. Oubre misses free throw 1 of 1
5:14.0,Defensive rebound by Team,,71-112,,
5:01.0,D. Hilliard makes 2-pt shot from 5 ft,2,73-112,,
4:48.0,,,73-114,2,R. Sessions makes 2-pt shot from 1 ft
4:38.0,Shooting foul by J. Dudley (drawn by D. Hilliard),,73-114,,
4:38.0,D. Hilliard makes free throw 1 of 2,1,74-114,,
4:38.0,R. Bullock enters the game for A. Tolliver,,74-114,,
4:38.0,J. Anthony enters the game for A. Baynes,,74-114,,
4:38.0,D. Hilliard makes free throw 2 of 2,1,75-114,,
4:21.0,,,75-116,2,K. Oubre makes 2-pt shot at rim
3:51.0,S. Johnson misses 3-pt shot from 23 ft,,75-116,,
3:50.0,Offensive rebound by R. Bullock,,75-116,,
3:33.0,Offensive foul by J. Anthony,,75-116,,
3:33.0,Turnover by J. Anthony (offensive foul),,75-116,,
3:19.0,,,75-116,,Shooting foul by J. Anthony (drawn by J. Hickson)
3:19.0,,,75-116,,J. Hickson misses free throw 1 of 2
3:19.0,,,75-116,,Offensive rebound by Team
3:19.0,,,75-117,1,J. Hickson makes free throw 2 of 2
