time,Toronto,pts.away,score,pts.home,Miami
5:14.0,J. Valanciunas makes 2-pt shot at rim (assist by J. Johnson),2,36-38,,
4:57.0,,,36-38,,Turnover by D. Wade (bad pass; steal by J. Valanciunas)
4:55.0,,,36-38,,Personal foul by H. Whiteside (drawn by J. Valanciunas)
4:55.0,,,36-38,,G. Dragic enters the game for M. Chalmers
4:39.0,J. Valanciunas makes 2-pt shot from 4 ft,2,38-38,,
4:15.0,,,38-38,,L. Deng misses 2-pt shot from 2 ft
4:14.0,,,38-38,,Offensive rebound by H. Whiteside
4:14.0,,,38-38,,Shooting foul by J. Johnson (drawn by H. Whiteside)
4:14.0,,,38-39,1,H. Whiteside makes free throw 1 of 2
4:14.0,,,38-40,1,H. Whiteside makes free throw 2 of 2
4:06.0,,,38-40,,Personal foul by T. Johnson (drawn by J. Johnson)
3:57.0,J. Johnson makes 2-pt shot at rim,2,40-40,,
3:42.0,Personal foul by J. Johnson (drawn by H. Whiteside),,40-40,,
3:42.0,T. Ross enters the game for J. Johnson,,40-40,,
3:42.0,,,40-40,,J. Winslow enters the game for T. Johnson
3:42.0,K. Lowry enters the game for C. Joseph,,40-40,,
3:31.0,,,40-40,,D. Wade misses 2-pt shot from 21 ft
3:30.0,Defensive rebound by L. Scola,,40-40,,
3:19.0,J. Valanciunas makes 2-pt shot from 12 ft (assist by D. DeRozan),2,42-40,,
3:06.0,,,42-42,2,H. Whiteside makes 2-pt shot from 6 ft (assist by G. Dragic)
2:46.0,J. Valanciunas makes 2-pt shot from 8 ft,2,44-42,,
2:26.0,,,44-42,,H. Whiteside misses 2-pt shot from 6 ft
2:25.0,Defensive rebound by T. Ross,,44-42,,
2:19.0,,,44-42,,Miami full timeout
2:19.0,,,44-42,,C. Bosh enters the game for H. Whiteside
2:16.0,Turnover by D. DeRozan (bad pass),,44-42,,
2:00.0,,,44-42,,D. Wade misses 2-pt shot from 1 ft
1:59.0,Defensive rebound by T. Ross,,44-42,,
1:44.0,K. Lowry makes 3-pt shot from 24 ft (assist by D. DeRozan),3,47-42,,
1:30.0,Personal foul by T. Ross (drawn by D. Wade),,47-42,,
1:28.0,Personal foul by T. Ross (drawn by D. Wade),,47-42,,
1:28.0,,,47-42,,D. Wade misses free throw 1 of 2
1:28.0,,,47-42,,Offensive rebound by Team
1:28.0,,,47-43,1,D. Wade makes free throw 2 of 2
1:13.0,Turnover by K. Lowry (bad pass; steal by L. Deng),,47-43,,
1:12.0,Personal foul by D. DeRozan (drawn by L. Deng),,47-43,,
1:12.0,,,47-44,1,L. Deng makes free throw 1 of 2
1:12.0,N. Powell enters the game for T. Ross,,47-44,,
1:12.0,,,47-44,,L. Deng misses free throw 2 of 2
1:11.0,Defensive rebound by J. Valanciunas,,47-44,,
0:59.0,Turnover by D. DeRozan (lost ball),,47-44,,
0:43.0,,,47-44,,C. Bosh misses 3-pt shot from 24 ft
0:42.0,Defensive rebound by K. Lowry,,47-44,,
0:42.0,,,47-44,,Personal foul by C. Bosh (drawn by K. Lowry)
0:42.0,,,47-44,,J. McRoberts enters the game for C. Bosh
0:29.0,Offensive charge foul by D. DeRozan,,47-44,,
0:29.0,Turnover by D. DeRozan (offensive foul),,47-44,,
0:07.0,,,47-44,,D. Wade misses 2-pt shot from 12 ft
0:06.0,Defensive rebound by D. DeRozan,,47-44,,
0:01.0,K. Lowry misses 3-pt shot from 24 ft,,47-44,,
0:00.0,Offensive rebound by Team,,47-44,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:45.0,Personal foul by L. Scola (drawn by C. Bosh),,47-44,,
11:34.0,,,47-46,2,C. Bosh makes 2-pt shot from 20 ft (assist by G. Dragic)
11:17.0,D. DeRozan makes 2-pt shot from 18 ft (assist by L. Scola),2,49-46,,
10:56.0,,,49-48,2,C. Bosh makes 2-pt shot from 14 ft (assist by D. Wade)
10:37.0,,,49-48,,Personal foul by L. Deng (drawn by K. Lowry)
10:30.0,D. DeRozan makes 2-pt shot from 19 ft (assist by K. Lowry),2,51-48,,
10:03.0,,,51-48,,H. Whiteside misses 2-pt shot from 6 ft
10:02.0,Defensive rebound by K. Lowry,,51-48,,
9:46.0,Turnover by J. Johnson (bad pass; steal by H. Whiteside),,51-48,,
9:35.0,,,51-48,,D. Wade misses 2-pt shot from 14 ft
9:34.0,,,51-48,,Offensive rebound by H. Whiteside
9:34.0,,,51-48,,Shooting foul by J. Valanciunas (drawn by H. Whiteside)
9:34.0,,,51-48,,H. Whiteside misses free throw 1 of 2
9:34.0,,,51-48,,Offensive rebound by Team
9:34.0,,,51-49,1,H. Whiteside makes free throw 2 of 2
9:14.0,J. Johnson misses 2-pt shot from 5 ft (block by H. Whiteside),,51-49,,
9:13.0,,,51-49,,Defensive rebound by L. Deng
9:08.0,Personal block foul by K. Lowry (drawn by G. Dragic),,51-49,,
8:46.0,,,51-49,,D. Wade misses 2-pt shot from 1 ft
8:41.0,,,51-49,,Offensive rebound by H. Whiteside
8:41.0,,,51-51,2,H. Whiteside makes 2-pt shot at rim
8:33.0,D. DeRozan misses 3-pt shot from 24 ft,,51-51,,
8:32.0,,,51-51,,Defensive rebound by H. Whiteside
8:22.0,,,51-51,,G. Dragic misses 3-pt shot from 24 ft
8:21.0,Defensive rebound by J. Valanciunas,,51-51,,
8:03.0,D. DeRozan makes 2-pt shot from 19 ft (assist by K. Lowry),2,53-51,,
7:33.0,,,53-51,,L. Deng misses 3-pt shot from 24 ft
7:32.0,Defensive rebound by L. Scola,,53-51,,
7:25.0,K. Lowry misses 3-pt shot from 24 ft,,53-51,,
7:24.0,,,53-51,,Defensive rebound by H. Whiteside
7:14.0,,,53-53,2,G. Dragic makes 2-pt shot from 2 ft
7:01.0,,,53-53,,J. Winslow enters the game for C. Bosh
6:56.0,J. Johnson misses 2-pt shot from 2 ft (block by H. Whiteside),,53-53,,
6:55.0,Offensive rebound by J. Johnson,,53-53,,
6:51.0,K. Lowry misses 2-pt shot from 15 ft (block by D. Wade),,53-53,,
6:50.0,Offensive rebound by Team,,53-53,,
6:49.0,Turnover by Team (shot clock),,53-53,,
6:32.0,,,53-56,3,D. Wade makes 3-pt shot from 23 ft (assist by G. Dragic)
6:24.0,Toronto full timeout,,53-56,,
6:24.0,T. Ross enters the game for J. Johnson,,53-56,,
6:24.0,P. Patterson enters the game for L. Scola,,53-56,,
6:09.0,P. Patterson misses 2-pt shot from 3 ft (block by H. Whiteside),,53-56,,
6:08.0,,,53-56,,Defensive rebound by J. Winslow
6:07.0,,,53-56,,Shooting foul by T. Ross (drawn by D. Wade)
6:07.0,,,53-57,1,D. Wade makes free throw 1 of 2
6:07.0,,,53-58,1,D. Wade makes free throw 2 of 2
5:47.0,D. DeRozan misses 2-pt shot from 19 ft,,53-58,,
5:46.0,,,53-58,,Defensive rebound by D. Wade
5:28.0,,,53-58,,Turnover by J. Winslow (bad pass; steal by T. Ross)
5:27.0,Jump ball: K. Lowry vs. J. Winslow (T. Ross gains possession),,,,Jump ball: K. Lowry vs. J. Winslow (T. Ross gains possession)
5:22.0,Shooting foul by L. Deng (drawn by K. Lowry),,53-58,,
5:22.0,K. Lowry makes free throw 1 of 2,1,54-58,,
5:22.0,K. Lowry makes free throw 2 of 2,1,55-58,,
5:08.0,,,55-58,,J. Winslow misses 3-pt shot from 24 ft
5:07.0,,,55-58,,Offensive rebound by D. Wade
5:06.0,,,55-58,,D. Wade misses 2-pt shot from 1 ft
5:05.0,,,55-58,,Offensive rebound by H. Whiteside
5:04.0,,,55-60,2,H. Whiteside makes 2-pt shot at rim
4:45.0,J. Valanciunas misses 2-pt shot from 17 ft,,55-60,,
4:44.0,,,55-60,,Defensive rebound by L. Deng
4:37.0,,,55-60,,D. Wade misses 2-pt shot from 14 ft
4:36.0,,,55-60,,Offensive rebound by H. Whiteside
4:35.0,,,55-62,2,H. Whiteside makes 2-pt shot at rim
4:14.0,D. DeRozan misses 2-pt shot from 12 ft,,55-62,,
4:13.0,,,55-62,,Defensive rebound by G. Dragic
4:00.0,,,55-64,2,H. Whiteside makes 2-pt shot from 18 ft
4:00.0,Toronto full timeout,,55-64,,
4:00.0,,,55-64,,M. Chalmers enters the game for D. Wade
3:38.0,Shooting foul by M. Chalmers (drawn by D. DeRozan),,55-64,,
3:38.0,D. DeRozan makes free throw 1 of 2,1,56-64,,
3:38.0,B. Biyombo enters the game for J. Valanciunas,,56-64,,
3:38.0,D. DeRozan makes free throw 2 of 2,1,57-64,,
3:20.0,,,57-64,,G. Dragic misses 3-pt shot from 24 ft
3:19.0,,,57-64,,Offensive rebound by Team
3:18.0,C. Joseph enters the game for D. DeRozan,,57-64,,
3:15.0,,,57-64,,H. Whiteside misses 2-pt shot from 12 ft
3:14.0,Defensive rebound by B. Biyombo,,57-64,,
3:07.0,Offensive charge foul by K. Lowry,,57-64,,
3:07.0,Turnover by K. Lowry (offensive foul),,57-64,,
3:07.0,,,57-64,,J. McRoberts enters the game for L. Deng
2:39.0,,,57-64,,H. Whiteside misses 2-pt shot from 9 ft
2:38.0,Defensive rebound by B. Biyombo,,57-64,,
2:25.0,,,57-64,,Miami full timeout
2:25.0,,,57-64,,C. Bosh enters the game for H. Whiteside
2:21.0,T. Ross misses 3-pt shot from 23 ft,,57-64,,
2:20.0,,,57-64,,Defensive rebound by M. Chalmers
2:03.0,,,57-64,,Shooting foul by B. Biyombo (drawn by C. Bosh)
2:03.0,,,57-64,,C. Bosh misses free throw 1 of 2
2:03.0,,,57-64,,Offensive rebound by Team
2:03.0,,,57-65,1,C. Bosh makes free throw 2 of 2
1:52.0,Turnover by P. Patterson (lost ball; steal by J. McRoberts),,57-65,,
1:51.0,Personal foul by P. Patterson (drawn by J. McRoberts),,57-65,,
1:51.0,,,57-66,1,J. McRoberts makes free throw 1 of 2
1:51.0,,,57-66,,J. McRoberts misses free throw 2 of 2
1:50.0,Defensive rebound by B. Biyombo,,57-66,,
1:37.0,K. Lowry misses 3-pt shot from 24 ft,,57-66,,
1:36.0,,,57-66,,Defensive rebound by M. Chalmers
1:27.0,,,57-68,2,M. Chalmers makes 2-pt shot from 19 ft
1:14.0,,,57-68,,Personal foul by M. Chalmers (drawn by C. Joseph)
1:14.0,,,57-68,,T. Johnson enters the game for G. Dragic
1:00.0,T. Ross misses 2-pt shot from 12 ft,,57-68,,
0:59.0,,,57-68,,Defensive rebound by C. Bosh
0:50.0,,,57-71,3,C. Bosh makes 3-pt shot from 25 ft (assist by J. McRoberts)
0:36.0,K. Lowry misses 3-pt shot from 24 ft,,57-71,,
0:35.0,Offensive rebound by B. Biyombo,,57-71,,
0:35.0,Shooting foul by C. Bosh (drawn by B. Biyombo),,57-71,,
0:35.0,B. Biyombo makes free throw 1 of 2,1,58-71,,
0:35.0,B. Biyombo makes free throw 2 of 2,1,59-71,,
0:18.0,,,59-71,,Turnover by M. Chalmers (bad pass; steal by K. Lowry)
0:14.0,K. Lowry makes 2-pt shot from 2 ft,2,61-71,,
0:04.0,Personal foul by C. Joseph (drawn by M. Chalmers),,61-71,,
0:04.0,,,61-72,1,M. Chalmers makes free throw 1 of 3
0:04.0,,,61-73,1,M. Chalmers makes free throw 2 of 3
0:04.0,,,61-73,,L. Deng enters the game for C. Bosh
0:04.0,,,61-74,1,M. Chalmers makes free throw 3 of 3
0:01.0,Shooting foul by T. Johnson (drawn by K. Lowry),,61-74,,
0:01.0,K. Lowry makes free throw 1 of 2,1,62-74,,
0:01.0,,,62-74,,H. Whiteside enters the game for L. Deng
0:01.0,K. Lowry makes free throw 2 of 2,1,63-74,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:47.0,Shooting foul by T. Johnson (drawn by D. DeRozan),,63-74,,
11:47.0,D. DeRozan makes free throw 1 of 2,1,64-74,,
11:47.0,D. DeRozan makes free throw 2 of 2,1,65-74,,
11:34.0,,,65-74,,J. Winslow misses 2-pt shot from 1 ft (block by B. Biyombo)
11:33.0,Defensive rebound by C. Joseph,,65-74,,
11:25.0,C. Joseph makes 2-pt shot from 14 ft,2,67-74,,
11:02.0,,,67-76,2,J. Winslow makes 2-pt shot at rim (assist by J. McRoberts)
10:45.0,A. Bennett misses 3-pt shot from 27 ft,,67-76,,
10:44.0,Offensive rebound by B. Biyombo,,67-76,,
10:33.0,D. DeRozan misses 2-pt shot from 16 ft,,67-76,,
10:32.0,Offensive rebound by B. Biyombo,,67-76,,
10:29.0,T. Ross misses 3-pt shot from 24 ft,,67-76,,
10:28.0,,,67-76,,Defensive rebound by C. Bosh
10:09.0,,,67-76,,J. Winslow misses 2-pt shot from 16 ft
10:08.0,Defensive rebound by B. Biyombo,,67-76,,
10:00.0,Turnover by C. Joseph (bad pass; steal by J. McRoberts),,67-76,,
9:58.0,,,67-76,,Shooting foul by A. Bennett (drawn by J. Winslow)
9:58.0,,,67-77,1,J. Winslow makes free throw 1 of 2
9:58.0,,,67-78,1,J. Winslow makes free throw 2 of 2
9:46.0,Turnover by B. Biyombo (lost ball; steal by C. Bosh),,67-78,,
9:40.0,,,67-80,2,T. Johnson makes 2-pt shot at rim (assist by J. Winslow)
9:17.0,Turnover by D. DeRozan (lost ball; steal by J. Winslow),,67-80,,
9:12.0,,,67-82,2,J. McRoberts makes 2-pt shot at rim (assist by M. Chalmers)
9:12.0,Toronto full timeout,,67-82,,
8:54.0,B. Biyombo misses 2-pt shot from 17 ft (block by M. Chalmers),,67-82,,
8:53.0,,,67-82,,Defensive rebound by M. Chalmers
8:41.0,,,67-82,,Turnover by M. Chalmers (lost ball; steal by B. Biyombo)
8:33.0,Turnover by D. DeRozan (lost ball; steal by J. McRoberts),,67-82,,
8:28.0,,,67-84,2,J. Winslow makes 2-pt shot at rim (assist by J. McRoberts)
8:08.0,Shooting foul by J. Winslow (drawn by D. DeRozan),,67-84,,
8:08.0,Technical foul by D. DeRozan,,67-84,,
8:08.0,,,67-84,,C. Bosh misses technical free throw
8:08.0,Offensive rebound by Team,,67-84,,
8:08.0,D. DeRozan makes free throw 1 of 2,1,68-84,,
8:08.0,J. Valanciunas enters the game for B. Biyombo,,68-84,,
8:08.0,K. Lowry enters the game for T. Ross,,68-84,,
8:08.0,D. DeRozan makes free throw 2 of 2,1,69-84,,
7:54.0,,,69-84,,J. McRoberts misses 3-pt shot from 24 ft
7:53.0,Defensive rebound by C. Joseph,,69-84,,
7:29.0,C. Joseph misses 2-pt shot from 19 ft,,69-84,,
7:28.0,,,69-84,,Defensive rebound by J. Winslow
7:13.0,,,69-86,2,C. Bosh makes 2-pt shot from 1 ft
6:47.0,Shooting foul by J. McRoberts (drawn by J. Valanciunas),,69-86,,
6:47.0,J. Valanciunas misses free throw 1 of 2,,69-86,,
6:47.0,Offensive rebound by Team,,69-86,,
6:47.0,J. Johnson enters the game for A. Bennett,,69-86,,
6:47.0,J. Valanciunas makes free throw 2 of 2,1,70-86,,
6:30.0,,,70-86,,C. Bosh misses 3-pt shot from 23 ft
6:29.0,Defensive rebound by K. Lowry,,70-86,,
6:18.0,Turnover by D. DeRozan (offensive foul),,70-86,,
6:18.0,Offensive charge foul by D. DeRozan,,70-86,,
5:57.0,,,70-89,3,C. Bosh makes 3-pt shot from 24 ft (assist by T. Johnson)
5:36.0,D. DeRozan misses 3-pt shot from 24 ft,,70-89,,
5:35.0,,,70-89,,Defensive rebound by C. Bosh
5:21.0,,,70-92,3,C. Bosh makes 3-pt shot from 24 ft (assist by M. Chalmers)
4:57.0,Shooting foul by J. Winslow (drawn by K. Lowry),,70-92,,
4:57.0,Official timeout,,70-92,,
4:57.0,L. Scola enters the game for J. Valanciunas,,70-92,,
4:57.0,K. Lowry makes free throw 1 of 2,1,71-92,,
4:57.0,K. Lowry misses free throw 2 of 2,,71-92,,
4:56.0,,,71-92,,Defensive rebound by C. Bosh
4:43.0,Shooting block foul by L. Scola (drawn by J. Winslow),,71-92,,
4:43.0,,,71-92,,J. Winslow misses free throw 1 of 2
4:43.0,,,71-92,,Offensive rebound by Team
4:43.0,,,71-93,1,J. Winslow makes free throw 2 of 2
4:25.0,K. Lowry misses 3-pt shot from 25 ft,,71-93,,
4:24.0,,,71-93,,Defensive rebound by M. Chalmers
4:16.0,,,71-93,,Turnover by T. Johnson (bad pass)
3:59.0,Turnover by Team (back court),,71-93,,
3:36.0,,,71-93,,J. McRoberts misses 2-pt shot from 2 ft
3:35.0,,,71-93,,Offensive rebound by J. McRoberts
3:34.0,,,71-93,,J. McRoberts misses 2-pt shot from 6 ft
3:33.0,Defensive rebound by C. Joseph,,71-93,,
3:27.0,L. Scola makes 2-pt shot at rim (assist by K. Lowry),2,73-93,,
3:26.0,,,73-93,,Miami full timeout
3:26.0,L. Nogueira enters the game for L. Scola,,73-93,,
3:26.0,N. Powell enters the game for D. DeRozan,,73-93,,
3:26.0,,,73-93,,J. Ennis enters the game for J. McRoberts
