time,Toronto,pts.away,score,pts.home,Sacramento
6:16.0,,,12-10,,Turnover by W. Cauley-Stein (lost ball; steal by D. DeRozan)
6:10.0,L. Scola misses 2-pt shot from 11 ft,,12-10,,
6:10.0,Offensive rebound by L. Scola,,12-10,,
6:10.0,L. Scola misses 2-pt shot from 11 ft (block by W. Cauley-Stein),,12-10,,
6:10.0,Offensive rebound by L. Scola,,12-10,,
6:08.0,Jump ball: W. Cauley-Stein vs. L. Scola (K. Lowry gains possession),,,,Jump ball: W. Cauley-Stein vs. L. Scola (K. Lowry gains possession)
6:00.0,J. Valanciunas misses 2-pt shot at rim,,12-10,,
5:59.0,Offensive rebound by J. Valanciunas,,12-10,,
5:59.0,J. Valanciunas misses 2-pt shot at rim,,12-10,,
5:58.0,,,12-10,,Defensive rebound by D. Cousins
5:50.0,,,12-13,3,D. Cousins makes 3-pt shot from 24 ft (assist by R. Rondo)
5:31.0,,,12-13,,Sacramento full timeout
5:22.0,K. Lowry misses 2-pt shot from 22 ft,,12-13,,
5:22.0,,,12-13,,Defensive rebound by D. Cousins
5:05.0,,,12-13,,D. Cousins misses 2-pt shot from 8 ft
5:04.0,Defensive rebound by D. Carroll,,12-13,,
4:47.0,D. DeRozan misses 2-pt shot from 9 ft,,12-13,,
4:47.0,,,12-13,,Defensive rebound by D. Cousins
4:40.0,,,12-13,,Turnover by D. Cousins (bad pass; steal by D. DeRozan)
4:33.0,D. Carroll misses 3-pt shot from 24 ft,,12-13,,
4:32.0,,,12-13,,Defensive rebound by W. Cauley-Stein
4:17.0,,,12-13,,D. Cousins misses 2-pt shot from 1 ft
4:16.0,,,12-13,,Offensive rebound by D. Cousins
4:15.0,,,12-15,2,D. Cousins makes 2-pt shot from 6 ft
3:56.0,J. Valanciunas misses 2-pt shot from 7 ft,,12-15,,
3:56.0,,,12-15,,Defensive rebound by R. Gay
3:48.0,,,12-15,,R. Gay misses 3-pt shot from 24 ft
3:47.0,Defensive rebound by D. DeRozan,,12-15,,
3:39.0,,,12-15,,Personal foul by D. Cousins (drawn by L. Scola)
3:39.0,,,12-15,,M. Belinelli enters the game for R. Gay
3:39.0,,,12-15,,O. Casspi enters the game for W. Cauley-Stein
3:39.0,,,12-15,,K. Koufos enters the game for B. McLemore
3:39.0,B. Biyombo enters the game for L. Scola,,12-15,,
3:39.0,P. Patterson enters the game for J. Valanciunas,,12-15,,
3:33.0,D. DeRozan misses 2-pt shot from 7 ft (block by D. Cousins),,12-15,,
3:31.0,,,12-15,,Defensive rebound by D. Cousins
3:29.0,,,12-15,,Offensive foul by R. Rondo
3:29.0,,,12-15,,Turnover by R. Rondo (offensive foul)
3:18.0,Turnover by K. Lowry (turnover),,12-15,,
3:03.0,,,12-15,,Turnover by R. Rondo (lost ball; steal by K. Lowry)
2:59.0,Shooting foul by M. Belinelli (drawn by D. DeRozan),,12-15,,
2:59.0,Toronto full timeout,,12-15,,
2:59.0,D. DeRozan makes free throw 1 of 2,1,13-15,,
2:59.0,D. DeRozan makes free throw 2 of 2,1,14-15,,
2:44.0,,,14-15,,M. Belinelli misses 2-pt shot from 22 ft
2:44.0,Defensive rebound by D. DeRozan,,14-15,,
2:20.0,K. Lowry misses 2-pt shot from 9 ft,,14-15,,
2:19.0,,,14-15,,Defensive rebound by M. Belinelli
2:08.0,,,14-18,3,D. Cousins makes 3-pt shot from 25 ft (assist by R. Rondo)
1:47.0,D. DeRozan makes 2-pt shot from 8 ft,2,16-18,,
1:47.0,Shooting foul by K. Koufos (drawn by D. DeRozan),,16-18,,
1:47.0,D. DeRozan makes free throw 1 of 1,1,17-18,,
1:31.0,,,17-18,,Turnover by R. Rondo (bad pass; steal by D. Carroll)
1:22.0,D. Carroll misses 3-pt shot from 24 ft,,17-18,,
1:21.0,Offensive rebound by B. Biyombo,,17-18,,
1:15.0,K. Lowry misses 3-pt shot from 24 ft,,17-18,,
1:15.0,,,17-18,,Defensive rebound by D. Cousins
1:12.0,,,17-18,,Shooting foul by K. Lowry (drawn by D. Cousins)
1:12.0,,,17-18,,D. Cousins misses free throw 1 of 3
1:12.0,,,17-18,,Offensive rebound by Team
1:12.0,,,17-19,1,D. Cousins makes free throw 2 of 3
1:12.0,C. Joseph enters the game for K. Lowry,,17-19,,
1:12.0,,,17-20,1,D. Cousins makes free throw 3 of 3
0:58.0,Turnover by D. DeRozan (bad pass; steal by O. Casspi),,17-20,,
0:54.0,,,17-22,2,O. Casspi makes 2-pt shot from 2 ft (assist by R. Rondo)
0:38.0,P. Patterson makes 3-pt shot from 24 ft (assist by D. DeRozan),3,20-22,,
0:35.0,,,20-22,,Turnover by R. Rondo (turnover)
0:35.0,,,20-22,,S. Curry enters the game for R. Rondo
0:28.0,P. Patterson makes 3-pt shot from 25 ft (assist by C. Joseph),3,23-22,,
0:06.0,,,23-22,,D. Cousins misses 3-pt shot from 25 ft
0:05.0,Defensive rebound by P. Patterson,,23-22,,
0:00.0,D. DeRozan misses 3-pt shot from 38 ft,,23-22,,
0:00.0,Offensive rebound by Team,,23-22,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:47.0,,,23-22,,M. Belinelli misses 3-pt shot from 25 ft
11:46.0,Defensive rebound by B. Biyombo,,23-22,,
11:34.0,C. Joseph makes 2-pt shot from 21 ft,2,25-22,,
11:22.0,,,25-22,,Shooting foul by B. Biyombo (drawn by K. Koufos)
11:22.0,,,25-23,1,K. Koufos makes free throw 1 of 2
11:22.0,,,25-23,,K. Koufos misses free throw 2 of 2
11:20.0,Defensive rebound by P. Patterson,,25-23,,
11:04.0,Shooting foul by Q. Acy (drawn by B. Biyombo),,25-23,,
11:04.0,B. Biyombo makes free throw 1 of 2,1,26-23,,
11:04.0,B. Biyombo makes free throw 2 of 2,1,27-23,,
10:40.0,,,27-23,,M. Belinelli misses 2-pt shot from 21 ft
10:39.0,,,27-23,,Offensive rebound by K. Koufos
10:38.0,,,27-23,,K. Koufos misses 2-pt shot from 11 ft
10:36.0,Defensive rebound by B. Biyombo,,27-23,,
10:20.0,J. Johnson misses 2-pt shot from 3 ft,,27-23,,
10:19.0,,,27-23,,Defensive rebound by Q. Acy
10:13.0,,,27-26,3,O. Casspi makes 3-pt shot from 25 ft
9:51.0,Turnover by N. Powell (traveling),,27-26,,
9:51.0,,,27-26,,R. Gay enters the game for Q. Acy
9:34.0,,,27-26,,O. Casspi misses 3-pt shot from 25 ft
9:33.0,Defensive rebound by J. Johnson,,27-26,,
9:25.0,Turnover by N. Powell (lost ball),,27-26,,
9:16.0,,,27-26,,R. Gay misses 3-pt shot from 26 ft
9:16.0,Defensive rebound by C. Joseph,,27-26,,
9:06.0,C. Joseph misses 2-pt shot from 18 ft,,27-26,,
9:05.0,Offensive rebound by Team,,27-26,,
9:05.0,,,27-26,,Loose ball foul by K. Koufos (drawn by J. Johnson)
8:58.0,,,27-26,,Violation by K. Koufos (kicked ball)
8:58.0,Official timeout,,27-26,,
8:46.0,B. Biyombo makes 2-pt shot at rim (assist by J. Johnson),2,29-26,,
8:29.0,,,29-29,3,S. Curry makes 3-pt shot from 25 ft (assist by R. Gay)
8:15.0,,,29-29,,Personal foul by S. Curry (drawn by C. Joseph)
8:15.0,,,29-29,,D. Cousins enters the game for K. Koufos
8:04.0,J. Johnson misses 2-pt shot from 12 ft,,29-29,,
8:04.0,,,29-29,,Defensive rebound by M. Belinelli
7:51.0,,,29-29,,Shooting foul by J. Johnson (drawn by R. Gay)
7:51.0,,,29-30,1,R. Gay makes free throw 1 of 2
7:51.0,K. Lowry enters the game for N. Powell,,29-30,,
7:51.0,,,29-30,,R. Rondo enters the game for S. Curry
7:51.0,,,29-31,1,R. Gay makes free throw 2 of 2
7:31.0,C. Joseph misses 2-pt shot from 4 ft,,29-31,,
7:31.0,Offensive rebound by Team,,29-31,,
7:31.0,,,29-31,,Loose ball foul by M. Belinelli (drawn by B. Biyombo)
7:15.0,K. Lowry misses 2-pt shot from 4 ft,,29-31,,
7:14.0,,,29-31,,Defensive rebound by R. Rondo
7:08.0,,,29-31,,R. Rondo misses 2-pt shot from 2 ft
7:07.0,,,29-31,,Offensive rebound by O. Casspi
7:06.0,,,29-33,2,O. Casspi makes 2-pt shot from 5 ft
6:47.0,Shooting foul by D. Cousins (drawn by J. Johnson),,29-33,,
6:47.0,J. Johnson misses free throw 1 of 2,,29-33,,
6:47.0,Offensive rebound by Team,,29-33,,
6:47.0,D. DeRozan enters the game for B. Biyombo,,29-33,,
6:47.0,J. Valanciunas enters the game for P. Patterson,,29-33,,
6:47.0,J. Johnson makes free throw 2 of 2,1,30-33,,
6:34.0,,,30-33,,M. Belinelli misses 2-pt shot from 22 ft
6:32.0,,,30-33,,Offensive rebound by R. Rondo
6:26.0,,,30-33,,D. Cousins misses 2-pt shot from 4 ft
6:24.0,Defensive rebound by J. Johnson,,30-33,,
6:23.0,,,30-33,,Personal foul by O. Casspi (drawn by D. DeRozan)
6:23.0,D. DeRozan makes free throw 1 of 2,1,31-33,,
6:23.0,D. Carroll enters the game for J. Johnson,,31-33,,
6:23.0,D. DeRozan makes free throw 2 of 2,1,32-33,,
6:09.0,Personal foul by J. Valanciunas (drawn by D. Cousins),,32-33,,
6:09.0,,,32-33,,B. McLemore enters the game for M. Belinelli
5:59.0,,,32-33,,R. Gay misses 2-pt shot from 15 ft
5:58.0,Defensive rebound by J. Valanciunas,,32-33,,
5:52.0,D. DeRozan misses 2-pt shot from 5 ft,,32-33,,
5:51.0,,,32-33,,Defensive rebound by O. Casspi
5:44.0,,,32-33,,Turnover by R. Rondo (bad pass; steal by D. DeRozan)
5:33.0,C. Joseph makes 3-pt shot from 25 ft (assist by D. DeRozan),3,35-33,,
5:22.0,,,35-35,2,D. Cousins makes 2-pt shot from 2 ft
5:06.0,D. DeRozan misses 3-pt shot from 23 ft,,35-35,,
5:04.0,,,35-35,,Defensive rebound by O. Casspi
4:59.0,,,35-35,,Turnover by O. Casspi (lost ball; steal by K. Lowry)
4:52.0,D. Carroll misses 3-pt shot from 24 ft,,35-35,,
4:51.0,,,35-35,,Defensive rebound by R. Rondo
4:43.0,,,35-35,,R. Gay misses 2-pt shot from 5 ft
4:43.0,,,35-35,,Offensive rebound by R. Gay
4:40.0,Personal foul by C. Joseph (drawn by R. Gay),,35-35,,
4:40.0,,,35-35,,Sacramento full timeout
4:40.0,,,35-35,,Q. Acy enters the game for O. Casspi
4:32.0,,,35-35,,Turnover by R. Rondo (bad pass; steal by K. Lowry)
4:26.0,K. Lowry misses 3-pt shot from 25 ft,,35-35,,
4:26.0,,,35-35,,Defensive rebound by Q. Acy
4:16.0,,,35-38,3,R. Rondo makes 3-pt shot from 25 ft (assist by D. Cousins)
3:52.0,D. Carroll misses 2-pt shot from 8 ft,,35-38,,
3:51.0,Offensive rebound by J. Valanciunas,,35-38,,
3:51.0,J. Valanciunas misses 2-pt shot from 2 ft,,35-38,,
3:50.0,Offensive rebound by Team,,35-38,,
3:36.0,D. Carroll makes 2-pt shot from 20 ft (assist by K. Lowry),2,37-38,,
3:25.0,,,37-40,2,R. Gay makes 2-pt shot from 4 ft
3:03.0,C. Joseph makes 2-pt shot from 7 ft,2,39-40,,
2:49.0,,,39-40,,R. Rondo misses 3-pt shot from 25 ft
2:49.0,Defensive rebound by C. Joseph,,39-40,,
2:34.0,J. Valanciunas makes 2-pt shot at rim (assist by K. Lowry),2,41-40,,
2:16.0,Personal foul by D. Carroll (drawn by D. Cousins),,41-40,,
2:16.0,Toronto full timeout,,41-40,,
2:16.0,L. Scola enters the game for C. Joseph,,41-40,,
2:16.0,,,41-41,1,D. Cousins makes free throw 1 of 2
2:16.0,,,41-42,1,D. Cousins makes free throw 2 of 2
1:59.0,J. Valanciunas misses 2-pt shot from 11 ft,,41-42,,
1:57.0,,,41-42,,Defensive rebound by B. McLemore
1:47.0,,,41-45,3,D. Cousins makes 3-pt shot from 24 ft (assist by R. Rondo)
1:21.0,D. DeRozan makes 2-pt shot from 12 ft,2,43-45,,
1:13.0,,,43-47,2,D. Cousins makes 2-pt shot from 3 ft
1:13.0,,,43-47,,Shooting foul by J. Valanciunas (drawn by D. Cousins)
1:13.0,,,43-47,,D. Cousins misses free throw 1 of 1
1:12.0,,,43-47,,Offensive rebound by B. McLemore
1:06.0,,,43-50,3,B. McLemore makes 3-pt shot from 24 ft (assist by R. Rondo)
0:52.0,D. Carroll makes 3-pt shot from 25 ft (assist by K. Lowry),3,46-50,,
0:38.0,,,46-50,,D. Cousins misses 3-pt shot from 24 ft
0:38.0,Defensive rebound by Team,,46-50,,
0:37.0,Toronto full timeout,,46-50,,
0:37.0,P. Patterson enters the game for J. Valanciunas,,46-50,,
0:37.0,,,46-50,,K. Koufos enters the game for D. Cousins
0:30.0,K. Lowry makes 3-pt shot from 24 ft,3,49-50,,
0:07.0,,,49-53,3,R. Gay makes 3-pt shot from 22 ft
0:01.0,D. DeRozan makes 2-pt shot from 11 ft,2,51-53,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:42.0,Personal foul by L. Scola (drawn by D. Cousins),,51-53,,
11:32.0,,,51-55,2,Q. Acy makes 2-pt shot from 6 ft (assist by R. Rondo)
11:21.0,Turnover by K. Lowry (turnover),,51-55,,
11:08.0,,,51-57,2,R. Gay makes 2-pt shot from 7 ft
10:48.0,D. DeRozan misses 3-pt shot from 25 ft,,51-57,,
10:47.0,,,51-57,,Defensive rebound by D. Cousins
10:37.0,Personal foul by L. Scola (drawn by D. Cousins),,51-57,,
10:24.0,,,51-57,,D. Cousins misses 2-pt shot at rim
10:22.0,Defensive rebound by D. Carroll,,51-57,,
10:21.0,,,51-57,,Personal foul by R. Rondo (drawn by D. Carroll)
10:15.0,D. DeRozan misses 2-pt shot from 16 ft,,51-57,,
10:14.0,,,51-57,,Defensive rebound by B. McLemore
10:02.0,,,51-57,,D. Cousins misses 2-pt shot from 2 ft
10:01.0,Defensive rebound by D. DeRozan,,51-57,,
9:53.0,D. Carroll makes 3-pt shot from 24 ft (assist by K. Lowry),3,54-57,,
9:41.0,,,54-57,,B. McLemore misses 3-pt shot from 23 ft
9:40.0,Defensive rebound by J. Valanciunas,,54-57,,
9:30.0,,,54-57,,Personal foul by Q. Acy (drawn by J. Valanciunas)
9:30.0,,,54-57,,Technical foul by Q. Acy (drawn by J. Valanciunas)
9:30.0,D. DeRozan misses technical free throw,,54-57,,
9:30.0,Offensive rebound by Team,,54-57,,
9:14.0,K. Lowry makes 2-pt shot from 3 ft,2,56-57,,
8:56.0,,,56-60,3,B. McLemore makes 3-pt shot from 23 ft (assist by Q. Acy)
8:38.0,L. Scola misses 2-pt shot from 9 ft,,56-60,,
8:37.0,,,56-60,,Defensive rebound by Q. Acy
8:34.0,,,56-60,,Turnover by R. Gay (traveling)
8:13.0,D. DeRozan misses 2-pt shot from 19 ft,,56-60,,
8:13.0,,,56-60,,Defensive rebound by R. Rondo
8:08.0,,,56-62,2,R. Gay makes 2-pt shot at rim (assist by R. Rondo)
8:03.0,Toronto full timeout,,56-62,,
7:42.0,K. Lowry misses 2-pt shot from 4 ft,,56-62,,
7:40.0,Offensive rebound by J. Valanciunas,,56-62,,
7:40.0,J. Valanciunas makes 2-pt shot from 1 ft,2,58-62,,
7:26.0,,,58-64,2,R. Gay makes 2-pt shot at rim (assist by R. Rondo)
7:01.0,D. Carroll makes 3-pt shot from 24 ft,3,61-64,,
6:49.0,,,61-64,,Q. Acy misses 2-pt shot from 22 ft
6:49.0,Defensive rebound by L. Scola,,61-64,,
6:37.0,L. Scola makes 3-pt shot from 23 ft (assist by D. DeRozan),3,64-64,,
6:20.0,Def 3 sec tech foul by J. Valanciunas,,64-64,,
6:20.0,,,64-64,,O. Casspi enters the game for Q. Acy
6:20.0,B. Biyombo enters the game for J. Valanciunas,,64-64,,
6:20.0,,,64-65,1,R. Gay makes technical free throw
6:10.0,,,64-65,,Turnover by R. Rondo (bad pass; steal by D. DeRozan)
6:01.0,D. DeRozan makes 2-pt shot from 3 ft,2,66-65,,
5:37.0,,,66-65,,R. Rondo misses 2-pt shot from 22 ft (block by K. Lowry)
5:36.0,,,66-65,,Offensive rebound by R. Rondo
5:35.0,,,66-65,,R. Rondo misses 2-pt shot from 19 ft
5:35.0,,,66-65,,Offensive rebound by Team
5:35.0,,,66-65,,Turnover by Team (shot clock)
5:17.0,D. Carroll makes 3-pt shot from 24 ft (assist by D. DeRozan),3,69-65,,
5:04.0,,,69-67,2,D. Cousins makes 2-pt shot from 2 ft
4:49.0,D. DeRozan makes 2-pt shot from 4 ft,2,71-67,,
4:48.0,,,71-67,,Sacramento full timeout
4:48.0,,,71-67,,M. Belinelli enters the game for B. McLemore
4:38.0,,,71-69,2,R. Gay makes 2-pt shot at rim (assist by R. Rondo)
4:21.0,B. Biyombo misses 2-pt shot from 4 ft,,71-69,,
4:20.0,,,71-69,,Defensive rebound by D. Cousins
4:12.0,,,71-69,,O. Casspi misses 3-pt shot from 25 ft
4:11.0,Defensive rebound by B. Biyombo,,71-69,,
3:58.0,Turnover by D. DeRozan (lost ball; steal by R. Rondo),,71-69,,
3:49.0,,,71-69,,Turnover by O. Casspi (lost ball)
3:49.0,,,71-69,,K. Koufos enters the game for R. Gay
3:25.0,L. Scola misses 3-pt shot from 24 ft,,71-69,,
3:25.0,Offensive rebound by Team,,71-69,,
3:25.0,Turnover by Team (shot clock),,71-69,,
3:06.0,,,71-69,,R. Rondo misses 3-pt shot from 25 ft
3:05.0,,,71-69,,Offensive rebound by O. Casspi
2:58.0,,,71-71,2,K. Koufos makes 2-pt shot from 3 ft (assist by R. Rondo)
2:40.0,Turnover by D. DeRozan (lost ball; steal by M. Belinelli),,71-71,,
2:35.0,,,71-71,,Shooting foul by L. Scola (drawn by M. Belinelli)
2:35.0,,,71-72,1,M. Belinelli makes free throw 1 of 2
2:35.0,J. Johnson enters the game for L. Scola,,71-72,,
2:35.0,C. Joseph enters the game for D. DeRozan,,71-72,,
2:35.0,,,71-73,1,M. Belinelli makes free throw 2 of 2
2:18.0,K. Lowry makes 3-pt shot from 25 ft (assist by B. Biyombo),3,74-73,,
2:05.0,,,74-73,,D. Cousins misses 2-pt shot from 2 ft
2:04.0,Defensive rebound by J. Johnson,,74-73,,
1:58.0,Turnover by J. Johnson (bad pass; steal by O. Casspi),,74-73,,
1:55.0,,,74-75,2,O. Casspi makes 2-pt shot from 2 ft (assist by D. Cousins)
1:55.0,,,74-75,,Shooting foul by C. Joseph (drawn by O. Casspi)
1:55.0,P. Patterson enters the game for D. Carroll,,74-75,,
1:55.0,,,74-76,1,O. Casspi makes free throw 1 of 1
1:38.0,C. Joseph makes 2-pt shot from 17 ft,2,76-76,,
1:28.0,,,76-76,,Shooting foul by B. Biyombo (drawn by D. Cousins)
1:28.0,,,76-76,,D. Cousins misses free throw 1 of 2
1:28.0,,,76-76,,Offensive rebound by Team
1:28.0,,,76-77,1,D. Cousins makes free throw 2 of 2
1:14.0,K. Lowry makes 3-pt shot from 26 ft (assist by C. Joseph),3,79-77,,
0:58.0,,,79-77,,Turnover by M. Belinelli (lost ball)
0:58.0,,,79-77,,Q. Acy enters the game for D. Cousins
0:42.0,,,79-77,,Personal foul by Q. Acy (drawn by B. Biyombo)
0:30.0,P. Patterson misses 2-pt shot from 7 ft,,79-77,,
0:30.0,,,79-77,,Defensive rebound by R. Rondo
0:07.0,,,79-79,2,M. Belinelli makes 2-pt shot from 10 ft (assist by R. Rondo)
0:00.0,K. Lowry makes 3-pt shot from 26 ft,3,82-79,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:40.0,K. Lowry makes 2-pt shot from 14 ft,2,84-79,,
11:14.0,,,84-79,,Turnover by M. Belinelli (bad pass; steal by J. Johnson)
11:06.0,P. Patterson makes 3-pt shot from 24 ft (assist by K. Lowry),3,87-79,,
10:55.0,,,87-79,,M. Belinelli misses 2-pt shot from 20 ft
10:55.0,Defensive rebound by P. Patterson,,87-79,,
10:49.0,,,87-79,,Personal foul by K. Koufos (drawn by K. Lowry)
10:49.0,,,87-79,,R. Gay enters the game for Q. Acy
10:37.0,P. Patterson misses 3-pt shot from 23 ft,,87-79,,
10:36.0,,,87-79,,Defensive rebound by R. Gay
10:29.0,,,87-79,,Turnover by R. Gay (lost ball; steal by K. Lowry)
10:24.0,C. Joseph makes 2-pt shot from 1 ft (assist by K. Lowry),2,89-79,,
10:23.0,,,89-79,,Sacramento full timeout
10:23.0,,,89-79,,D. Cousins enters the game for K. Koufos
10:09.0,Personal foul by B. Biyombo (drawn by R. Gay),,89-79,,
10:09.0,,,89-79,,Technical foul by D. Cousins
10:09.0,Technical foul by B. Biyombo (drawn by R. Gay),,89-79,,
9:54.0,,,89-79,,R. Rondo misses 3-pt shot from 22 ft
9:53.0,Defensive rebound by C. Joseph,,89-79,,
9:45.0,K. Lowry misses 3-pt shot from 26 ft,,89-79,,
9:45.0,,,89-79,,Defensive rebound by Team
9:32.0,,,89-79,,Turnover by D. Cousins (bad pass)
9:32.0,,,89-79,,Loose ball foul by D. Cousins (drawn by K. Lowry)
9:18.0,Turnover by B. Biyombo (traveling),,89-79,,
9:11.0,,,89-81,2,D. Cousins makes 2-pt shot at rim (assist by R. Rondo)
9:00.0,C. Joseph makes 2-pt shot from 19 ft,2,91-81,,
8:47.0,,,91-81,,Turnover by R. Gay (lost ball; steal by J. Johnson)
8:29.0,Turnover by K. Lowry (bad pass; steal by D. Cousins),,91-81,,
8:22.0,,,91-83,2,O. Casspi makes 2-pt shot at rim (assist by R. Rondo)
8:20.0,Toronto full timeout,,91-83,,
8:20.0,D. DeRozan enters the game for K. Lowry,,91-83,,
8:20.0,D. Carroll enters the game for J. Johnson,,91-83,,
8:06.0,Turnover by D. DeRozan (traveling),,91-83,,
7:43.0,,,91-83,,R. Gay misses 2-pt shot from 11 ft
7:42.0,Defensive rebound by B. Biyombo,,91-83,,
7:27.0,Turnover by C. Joseph (3 sec),,91-83,,
7:10.0,,,91-83,,O. Casspi misses 3-pt shot from 25 ft
7:10.0,Defensive rebound by D. Carroll,,91-83,,
6:56.0,D. DeRozan makes 2-pt shot from 19 ft,2,93-83,,
6:42.0,,,93-85,2,D. Cousins makes 2-pt shot from 3 ft
6:24.0,D. DeRozan misses 2-pt shot from 20 ft,,93-85,,
6:24.0,,,93-85,,Defensive rebound by O. Casspi
6:13.0,,,93-87,2,R. Gay makes 2-pt shot at rim (assist by D. Cousins)
5:50.0,D. DeRozan makes 2-pt shot from 20 ft (assist by C. Joseph),2,95-87,,
5:35.0,,,95-89,2,R. Rondo makes 2-pt shot from 18 ft
5:19.0,D. DeRozan misses 2-pt shot from 19 ft,,95-89,,
5:18.0,,,95-89,,Defensive rebound by R. Rondo
5:11.0,,,95-89,,D. Cousins misses 3-pt shot from 25 ft
5:10.0,Defensive rebound by C. Joseph,,95-89,,
4:48.0,C. Joseph makes 2-pt shot from 8 ft,2,97-89,,
4:36.0,,,97-89,,Shooting foul by B. Biyombo (drawn by D. Cousins)
4:36.0,,,97-90,1,D. Cousins makes free throw 1 of 2
4:36.0,,,97-90,,Sacramento full timeout
4:36.0,K. Lowry enters the game for P. Patterson,,97-90,,
4:36.0,,,97-91,1,D. Cousins makes free throw 2 of 2
4:23.0,C. Joseph makes 2-pt shot from 2 ft,2,99-91,,
4:04.0,,,99-93,2,O. Casspi makes 2-pt shot from 2 ft (assist by R. Gay)
3:40.0,D. Carroll misses 2-pt shot from 6 ft (block by O. Casspi),,99-93,,
3:40.0,,,99-93,,Defensive rebound by Team
3:40.0,,,99-93,,B. McLemore enters the game for O. Casspi
3:22.0,,,99-96,3,M. Belinelli makes 3-pt shot from 25 ft (assist by B. McLemore)
2:58.0,,,99-96,,Personal foul by M. Belinelli (drawn by K. Lowry)
2:52.0,D. DeRozan makes 2-pt shot from 11 ft (assist by C. Joseph),2,101-96,,
2:43.0,,,101-98,2,R. Gay makes 2-pt shot at rim (assist by R. Rondo)
2:20.0,D. DeRozan misses 2-pt shot from 18 ft,,101-98,,
2:20.0,,,101-98,,Defensive rebound by B. McLemore
2:13.0,,,101-98,,Shooting foul by K. Lowry (drawn by D. Cousins)
2:13.0,,,101-99,1,D. Cousins makes free throw 1 of 2
2:13.0,Toronto full timeout,,101-99,,
2:13.0,,,101-100,1,D. Cousins makes free throw 2 of 2
1:49.0,D. Carroll misses 3-pt shot from 23 ft,,101-100,,
1:48.0,,,101-100,,Defensive rebound by D. Cousins
1:40.0,,,101-102,2,B. McLemore makes 2-pt shot from 2 ft (assist by M. Belinelli)
1:26.0,Turnover by K. Lowry (lost ball; steal by R. Rondo),,101-102,,
