time,Charlotte,pts.away,score,pts.home,New York
11:44.0,J. Lamb makes 2-pt shot from 19 ft (assist by F. Kaminsky),2,23-26,,
11:30.0,,,23-28,2,D. Williams makes 2-pt shot from 10 ft (assist by K. Seraphin)
11:14.0,J. Lin misses 2-pt shot from 2 ft (block by D. Williams),,23-28,,
11:13.0,Offensive rebound by S. Hawes,,23-28,,
11:07.0,M. Williams misses 3-pt shot from 25 ft,,23-28,,
11:07.0,Offensive rebound by F. Kaminsky,,23-28,,
11:06.0,F. Kaminsky makes 2-pt shot from 1 ft,2,25-28,,
10:45.0,,,25-28,,L. Galloway misses 2-pt shot from 21 ft
10:44.0,Defensive rebound by M. Williams,,25-28,,
10:29.0,S. Hawes makes 3-pt shot from 24 ft (assist by J. Lin),3,28-28,,
10:13.0,,,28-28,,L. Thomas misses 2-pt shot from 15 ft
10:13.0,,,28-28,,Offensive rebound by K. Seraphin
10:11.0,,,28-28,,K. Seraphin misses 2-pt shot at rim (block by F. Kaminsky)
10:10.0,Defensive rebound by J. Lamb,,28-28,,
9:57.0,J. Lamb misses 3-pt shot from 25 ft,,28-28,,
9:57.0,Offensive rebound by S. Hawes,,28-28,,
9:55.0,S. Hawes misses 2-pt shot at rim,,28-28,,
9:53.0,,,28-28,,Defensive rebound by L. Galloway
9:49.0,,,28-28,,D. Williams misses 2-pt shot from 1 ft (block by M. Williams)
9:44.0,Defensive rebound by J. Lamb,,28-28,,
9:35.0,J. Lamb makes 2-pt shot from 3 ft,2,30-28,,
9:17.0,,,30-28,,K. Seraphin misses 2-pt shot from 9 ft (block by S. Hawes)
9:16.0,Defensive rebound by S. Hawes,,30-28,,
9:04.0,S. Hawes makes 3-pt shot from 25 ft (assist by J. Lamb),3,33-28,,
8:50.0,,,33-28,,Shooting foul by J. Lin (drawn by J. Grant)
8:50.0,Official timeout,,33-28,,
8:50.0,,,33-28,,L. Amundson enters the game for K. Seraphin
8:50.0,,,33-29,1,J. Grant makes free throw 1 of 2
8:50.0,,,33-30,1,J. Grant makes free throw 2 of 2
8:36.0,J. Lamb makes 2-pt shot at rim (assist by J. Lin),2,35-30,,
8:21.0,,,35-30,,J. Grant misses 2-pt shot from 9 ft
8:21.0,Defensive rebound by F. Kaminsky,,35-30,,
8:16.0,,,35-30,,Personal foul by L. Amundson
8:16.0,,,35-30,,S. Vujacic enters the game for J. Grant
8:16.0,,,35-30,,J. Calderon enters the game for L. Galloway
8:09.0,Shooting foul by L. Amundson (drawn by J. Lin),,35-30,,
8:09.0,J. Lin makes free throw 1 of 2,1,36-30,,
8:09.0,J. Lin misses free throw 2 of 2,,36-30,,
8:07.0,Offensive rebound by J. Lin,,36-30,,
7:59.0,Turnover by S. Hawes (lost ball; steal by S. Vujacic),,36-30,,
7:48.0,,,36-30,,S. Vujacic misses 3-pt shot from 24 ft
7:47.0,Defensive rebound by S. Hawes,,36-30,,
7:40.0,J. Lin makes 2-pt shot from 1 ft,2,38-30,,
7:17.0,,,38-30,,D. Williams misses 2-pt shot from 4 ft (block by F. Kaminsky)
7:17.0,,,38-30,,Offensive rebound by Team
7:17.0,,,38-30,,K. Porzingis enters the game for D. Williams
7:17.0,,,38-30,,C. Anthony enters the game for L. Thomas
7:15.0,,,38-30,,Turnover by Team (shot clock)
7:03.0,S. Hawes misses 3-pt shot from 26 ft,,38-30,,
7:03.0,,,38-30,,Defensive rebound by J. Calderon
6:53.0,,,38-30,,C. Anthony misses 3-pt shot from 23 ft
6:52.0,Defensive rebound by J. Lin,,38-30,,
6:43.0,S. Hawes misses 2-pt shot from 5 ft,,38-30,,
6:42.0,,,38-30,,Defensive rebound by C. Anthony
6:25.0,,,38-30,,J. Calderon misses 2-pt shot from 19 ft
6:24.0,,,38-30,,Offensive rebound by Team
6:24.0,,,38-30,,R. Lopez enters the game for L. Amundson
6:24.0,K. Walker enters the game for J. Lamb,,38-30,,
6:24.0,A. Jefferson enters the game for S. Hawes,,38-30,,
6:19.0,,,38-32,2,K. Porzingis makes 2-pt shot from 18 ft
6:02.0,A. Jefferson makes 2-pt shot from 1 ft (assist by J. Lin),2,40-32,,
5:46.0,,,40-32,,K. Porzingis misses 2-pt shot from 11 ft
5:46.0,Defensive rebound by A. Jefferson,,40-32,,
5:35.0,J. Lin misses 3-pt shot from 26 ft,,40-32,,
5:34.0,,,40-32,,Defensive rebound by K. Porzingis
5:30.0,Personal foul by M. Williams (drawn by C. Anthony),,40-32,,
5:30.0,,,40-32,,New York full timeout
5:30.0,N. Batum enters the game for M. Williams,,40-32,,
5:30.0,,,40-32,,A. Afflalo enters the game for S. Vujacic
5:21.0,Violation by F. Kaminsky (kicked ball),,40-32,,
5:16.0,,,40-32,,Turnover by J. Calderon (bad pass; steal by A. Jefferson)
5:02.0,Shooting foul by R. Lopez (drawn by A. Jefferson),,40-32,,
5:02.0,A. Jefferson misses free throw 1 of 2,,40-32,,
5:02.0,Offensive rebound by Team,,40-32,,
5:02.0,A. Jefferson misses free throw 2 of 2,,40-32,,
5:01.0,,,40-32,,Defensive rebound by R. Lopez
4:42.0,,,40-32,,K. Porzingis misses 2-pt shot from 7 ft (block by A. Jefferson)
4:41.0,,,40-32,,Offensive rebound by Team
4:41.0,Inbound foul by N. Batum,,40-32,,
4:41.0,,,40-33,1,C. Anthony makes free throw 1 of 2
4:41.0,,,40-33,,C. Anthony misses free throw 2 of 2
4:40.0,Defensive rebound by A. Jefferson,,40-33,,
4:28.0,Shooting foul by K. Porzingis (drawn by K. Walker),,40-33,,
4:28.0,K. Walker misses free throw 1 of 2,,40-33,,
4:28.0,Offensive rebound by Team,,40-33,,
4:28.0,K. Walker makes free throw 2 of 2,1,41-33,,
4:07.0,,,41-35,2,R. Lopez makes 2-pt shot from 2 ft (assist by J. Calderon)
3:51.0,K. Walker makes 2-pt shot from 20 ft (assist by A. Jefferson),2,43-35,,
3:39.0,,,43-38,3,K. Porzingis makes 3-pt shot from 24 ft (assist by C. Anthony)
3:25.0,K. Walker misses 2-pt shot from 20 ft,,43-38,,
3:24.0,,,43-38,,Defensive rebound by C. Anthony
3:16.0,,,43-38,,Turnover by K. Porzingis (lost ball; steal by K. Walker)
3:05.0,,,43-38,,Personal foul by J. Calderon (drawn by K. Walker)
3:05.0,K. Walker misses free throw 1 of 2,,43-38,,
3:05.0,Offensive rebound by Team,,43-38,,
3:05.0,K. Walker makes free throw 2 of 2,1,44-38,,
2:43.0,,,44-38,,C. Anthony misses 2-pt shot from 1 ft
2:43.0,Defensive rebound by F. Kaminsky,,44-38,,
2:34.0,J. Lin makes 2-pt shot from 15 ft,2,46-38,,
2:17.0,,,46-40,2,C. Anthony makes 2-pt shot from 2 ft
2:12.0,Shooting foul by R. Lopez (drawn by J. Lin),,46-40,,
2:12.0,Charlotte full timeout,,46-40,,
2:12.0,,,46-40,,K. Seraphin enters the game for R. Lopez
2:12.0,J. Lin makes free throw 1 of 2,1,47-40,,
2:12.0,J. Lin makes free throw 2 of 2,1,48-40,,
2:00.0,,,48-42,2,K. Porzingis makes 2-pt shot from 1 ft (assist by C. Anthony)
1:41.0,A. Jefferson misses 2-pt shot from 6 ft,,48-42,,
1:40.0,,,48-42,,Defensive rebound by K. Porzingis
1:32.0,,,48-42,,Shooting foul by F. Kaminsky (drawn by K. Porzingis)
1:32.0,,,48-43,1,K. Porzingis makes free throw 1 of 2
1:32.0,,,48-43,,L. Galloway enters the game for J. Calderon
1:32.0,M. Williams enters the game for F. Kaminsky,,48-43,,
1:32.0,,,48-44,1,K. Porzingis makes free throw 2 of 2
1:11.0,M. Williams misses 3-pt shot from 25 ft,,48-44,,
1:08.0,,,48-44,,Defensive rebound by C. Anthony
1:00.0,,,48-46,2,K. Seraphin makes 2-pt shot from 6 ft (assist by A. Afflalo)
0:43.0,A. Jefferson misses 2-pt shot from 2 ft (block by K. Seraphin),,48-46,,
0:42.0,,,48-46,,Defensive rebound by K. Seraphin
0:41.0,,,48-46,,Offensive foul by L. Galloway
0:41.0,,,48-46,,Turnover by L. Galloway (offensive foul)
0:32.0,K. Walker misses 3-pt shot from 24 ft,,48-46,,
0:31.0,,,48-46,,Defensive rebound by Team
0:29.0,,,48-46,,New York full timeout
0:12.0,,,48-46,,C. Anthony misses 2-pt shot from 1 ft
0:11.0,,,48-46,,Offensive rebound by C. Anthony
0:09.0,,,48-46,,Turnover by C. Anthony (lost ball; steal by K. Walker)
0:03.0,J. Lin misses 3-pt shot from 25 ft,,48-46,,
0:02.0,,,48-46,,Defensive rebound by K. Porzingis
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:47.0,N. Batum misses 2-pt shot from 20 ft,,48-46,,
11:47.0,,,48-46,,Defensive rebound by A. Afflalo
11:28.0,,,48-46,,K. Porzingis misses 2-pt shot at rim
11:27.0,Defensive rebound by A. Jefferson,,48-46,,
11:15.0,A. Jefferson misses 2-pt shot from 16 ft,,48-46,,
11:14.0,,,48-46,,Defensive rebound by J. Calderon
11:00.0,,,48-46,,Shooting foul by A. Jefferson (drawn by K. Porzingis)
11:00.0,,,48-47,1,K. Porzingis makes free throw 1 of 2
11:00.0,,,48-48,1,K. Porzingis makes free throw 2 of 2
10:48.0,K. Walker makes 2-pt shot from 16 ft,2,50-48,,
10:30.0,,,50-50,2,A. Afflalo makes 2-pt shot from 15 ft
10:14.0,A. Jefferson makes 2-pt shot from 6 ft,2,52-50,,
9:51.0,,,52-52,2,C. Anthony makes 2-pt shot from 1 ft
9:38.0,M. Williams makes 2-pt shot from 22 ft (assist by C. Zeller),2,54-52,,
9:25.0,,,54-54,2,C. Anthony makes 2-pt shot from 15 ft
9:06.0,Turnover by C. Zeller (3 sec),,54-54,,
8:47.0,,,54-56,2,A. Afflalo makes 2-pt shot from 1 ft
8:27.0,C. Zeller misses 2-pt shot from 8 ft,,54-56,,
8:27.0,,,54-56,,Defensive rebound by J. Calderon
8:17.0,,,54-56,,R. Lopez misses 2-pt shot from 1 ft
8:16.0,,,54-56,,Offensive rebound by R. Lopez
8:15.0,,,54-56,,Turnover by R. Lopez (lost ball; steal by M. Williams)
8:02.0,K. Walker makes 2-pt shot from 1 ft (assist by A. Jefferson),2,56-56,,
7:50.0,,,56-56,,Turnover by R. Lopez (lost ball; steal by A. Jefferson)
7:44.0,K. Walker misses 2-pt shot from 1 ft,,56-56,,
7:44.0,Offensive rebound by C. Zeller,,56-56,,
7:43.0,C. Zeller makes 2-pt shot at rim,2,58-56,,
7:19.0,,,58-56,,C. Anthony misses 2-pt shot from 18 ft
7:18.0,Defensive rebound by A. Jefferson,,58-56,,
7:10.0,K. Walker makes 3-pt shot from 25 ft,3,61-56,,
7:10.0,,,61-56,,New York full timeout
7:10.0,,,61-56,,K. Seraphin enters the game for R. Lopez
7:10.0,,,61-56,,L. Galloway enters the game for J. Calderon
6:49.0,,,61-58,2,K. Seraphin makes 2-pt shot from 17 ft (assist by L. Galloway)
6:27.0,A. Jefferson makes 2-pt shot from 9 ft,2,63-58,,
6:12.0,,,63-58,,A. Afflalo misses 2-pt shot from 2 ft
6:11.0,,,63-58,,Offensive rebound by Team
6:03.0,,,63-58,,New York full timeout
5:48.0,,,63-60,2,K. Porzingis makes 2-pt shot at rim (assist by K. Seraphin)
5:30.0,Turnover by N. Batum (bad pass),,63-60,,
5:16.0,,,63-62,2,C. Anthony makes 2-pt shot from 15 ft
4:53.0,A. Jefferson misses 2-pt shot from 4 ft (block by K. Seraphin),,63-62,,
4:52.0,,,63-62,,Defensive rebound by L. Galloway
4:45.0,,,63-65,3,C. Anthony makes 3-pt shot from 24 ft (assist by L. Galloway)
4:30.0,K. Walker makes 2-pt shot from 1 ft,2,65-65,,
4:13.0,,,65-68,3,K. Porzingis makes 3-pt shot from 24 ft (assist by L. Galloway)
4:05.0,Charlotte full timeout,,65-68,,
4:05.0,S. Hawes enters the game for C. Zeller,,65-68,,
4:05.0,F. Kaminsky enters the game for A. Jefferson,,65-68,,
4:05.0,,,65-68,,J. Grant enters the game for K. Porzingis
4:05.0,,,65-68,,L. Thomas enters the game for A. Afflalo
3:46.0,K. Walker misses 2-pt shot from 12 ft,,65-68,,
3:46.0,,,65-68,,Defensive rebound by C. Anthony
3:37.0,,,65-68,,C. Anthony misses 3-pt shot from 25 ft
3:36.0,Defensive rebound by F. Kaminsky,,65-68,,
3:31.0,Shooting foul by L. Thomas (drawn by K. Walker),,65-68,,
3:31.0,K. Walker misses free throw 1 of 2,,65-68,,
3:31.0,Offensive rebound by Team,,65-68,,
3:31.0,K. Walker makes free throw 2 of 2,1,66-68,,
3:17.0,,,66-68,,Shooting foul by S. Hawes (drawn by C. Anthony)
3:17.0,,,66-69,1,C. Anthony makes free throw 1 of 2
3:17.0,J. Lamb enters the game for N. Batum,,66-69,,
3:17.0,,,66-70,1,C. Anthony makes free throw 2 of 2
2:57.0,F. Kaminsky misses 2-pt shot from 9 ft,,66-70,,
2:56.0,Offensive rebound by J. Lamb,,66-70,,
2:51.0,J. Lamb makes 2-pt shot from 5 ft,2,68-70,,
2:24.0,,,68-70,,J. Grant misses 2-pt shot from 21 ft
2:24.0,,,68-70,,Offensive rebound by C. Anthony
2:10.0,,,68-72,2,J. Grant makes 2-pt shot from 2 ft (assist by K. Seraphin)
1:57.0,Shooting foul by C. Anthony (drawn by S. Hawes),,68-72,,
1:57.0,S. Hawes makes free throw 1 of 2,1,69-72,,
1:57.0,,,69-72,,A. Afflalo enters the game for C. Anthony
1:57.0,J. Lin enters the game for K. Walker,,69-72,,
1:57.0,S. Hawes makes free throw 2 of 2,1,70-72,,
1:32.0,,,70-74,2,K. Seraphin makes 2-pt shot from 13 ft
1:12.0,F. Kaminsky misses 2-pt shot from 6 ft,,70-74,,
1:11.0,Offensive rebound by Team,,70-74,,
1:10.0,,,70-74,,Personal foul by J. Grant (drawn by J. Lamb)
1:10.0,J. Lamb makes free throw 1 of 2,1,71-74,,
1:10.0,J. Lamb makes free throw 2 of 2,1,72-74,,
0:56.0,,,72-77,3,L. Galloway makes 3-pt shot from 24 ft (assist by A. Afflalo)
0:47.0,Turnover by J. Lin (lost ball),,72-77,,
0:47.0,,,72-77,,L. Amundson enters the game for L. Thomas
0:30.0,,,72-77,,L. Amundson misses 2-pt shot from 1 ft
0:30.0,Defensive rebound by Team,,72-77,,
0:15.0,S. Hawes misses 3-pt shot from 24 ft,,72-77,,
0:14.0,,,72-77,,Defensive rebound by L. Amundson
0:06.0,Personal foul by J. Lamb (drawn by J. Grant),,72-77,,
0:06.0,,,72-77,,C. Anthony enters the game for L. Amundson
0:06.0,N. Batum enters the game for F. Kaminsky,,72-77,,
0:00.0,,,72-80,3,L. Galloway makes 3-pt shot from 24 ft (assist by C. Anthony)
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:40.0,,,72-80,,L. Galloway misses 3-pt shot from 25 ft
11:39.0,Defensive rebound by K. Walker,,72-80,,
11:26.0,Shooting foul by K. Seraphin (drawn by S. Hawes),,72-80,,
11:26.0,S. Hawes makes free throw 1 of 2,1,73-80,,
11:26.0,S. Hawes makes free throw 2 of 2,1,74-80,,
11:06.0,,,74-82,2,K. Seraphin makes 2-pt shot from 7 ft (assist by L. Galloway)
10:49.0,J. Lin misses 2-pt shot from 22 ft,,74-82,,
10:48.0,Offensive rebound by S. Hawes,,74-82,,
10:44.0,K. Walker makes 3-pt shot from 24 ft (assist by S. Hawes),3,77-82,,
10:28.0,Personal foul by J. Lamb (drawn by A. Afflalo),,77-82,,
10:23.0,,,77-82,,J. Grant misses 2-pt shot from 12 ft (block by K. Walker)
10:22.0,,,77-82,,Offensive rebound by Team
10:22.0,,,77-82,,J. Calderon enters the game for J. Grant
10:18.0,,,77-82,,K. Seraphin misses 2-pt shot from 19 ft
10:16.0,Defensive rebound by Team,,77-82,,
10:06.0,,,77-82,,Personal foul by L. Amundson
10:00.0,K. Walker makes 2-pt shot from 14 ft,2,79-82,,
9:43.0,,,79-82,,L. Galloway misses 2-pt shot from 2 ft
9:43.0,,,79-82,,Offensive rebound by Team
9:43.0,,,79-82,,L. Thomas enters the game for K. Seraphin
9:40.0,,,79-82,,L. Thomas misses 2-pt shot from 18 ft
9:39.0,Defensive rebound by J. Lin,,79-82,,
9:32.0,Turnover by J. Lin (lost ball; steal by J. Calderon),,79-82,,
9:22.0,,,79-85,3,A. Afflalo makes 3-pt shot from 23 ft (assist by L. Amundson)
8:59.0,Turnover by K. Walker (bad pass; steal by L. Galloway),,79-85,,
8:52.0,,,79-88,3,J. Calderon makes 3-pt shot from 25 ft (assist by L. Galloway)
8:52.0,Charlotte full timeout,,79-88,,
8:52.0,,,79-88,,C. Anthony enters the game for L. Amundson
8:52.0,,,79-88,,L. Amundson enters the game for L. Thomas
8:52.0,M. Williams enters the game for J. Lamb,,79-88,,
8:52.0,N. Batum enters the game for F. Kaminsky,,79-88,,
8:35.0,S. Hawes misses 2-pt shot from 19 ft,,79-88,,
8:34.0,,,79-88,,Defensive rebound by Team
8:21.0,,,79-88,,C. Anthony misses 2-pt shot from 13 ft
8:20.0,Defensive rebound by J. Lin,,79-88,,
8:09.0,S. Hawes makes 2-pt shot from 9 ft,2,81-88,,
7:45.0,Flagrant foul type 1 by M. Williams,,81-88,,
7:45.0,C. Zeller enters the game for M. Williams,,81-88,,
7:45.0,,,81-89,1,J. Calderon makes flagrant free throw 1 of 2
7:45.0,,,81-90,1,J. Calderon makes flagrant free throw 2 of 2
7:45.0,,,81-90,,K. Porzingis enters the game for L. Amundson
7:45.0,J. Lamb enters the game for S. Hawes,,81-90,,
7:38.0,,,81-90,,A. Afflalo misses 2-pt shot from 20 ft
7:37.0,,,81-90,,Offensive rebound by K. Porzingis
7:36.0,,,81-92,2,K. Porzingis makes 2-pt shot at rim
7:36.0,,,81-92,,Shooting foul by C. Zeller (drawn by K. Porzingis)
7:36.0,,,81-93,1,K. Porzingis makes free throw 1 of 1
7:24.0,K. Walker misses 2-pt shot from 18 ft,,81-93,,
7:24.0,,,81-93,,Defensive rebound by A. Afflalo
7:00.0,,,81-93,,J. Calderon misses 3-pt shot from 23 ft
6:59.0,Defensive rebound by N. Batum,,81-93,,
6:41.0,J. Lamb makes 2-pt shot from 20 ft,2,83-93,,
6:25.0,,,83-93,,K. Porzingis misses 2-pt shot from 18 ft
6:23.0,,,83-93,,Offensive rebound by Team
6:18.0,,,83-95,2,A. Afflalo makes 2-pt shot from 11 ft
6:09.0,Shooting foul by K. Porzingis (drawn by K. Walker),,83-95,,
6:09.0,K. Walker makes free throw 1 of 2,1,84-95,,
6:09.0,K. Walker makes free throw 2 of 2,1,85-95,,
5:54.0,,,85-98,3,L. Galloway makes 3-pt shot from 25 ft (assist by C. Anthony)
5:54.0,Charlotte full timeout,,85-98,,
5:54.0,Official timeout,,85-98,,
5:42.0,K. Walker makes 2-pt shot from 14 ft,2,87-98,,
5:18.0,,,87-98,,K. Porzingis misses 2-pt shot from 9 ft
5:17.0,Defensive rebound by J. Lin,,87-98,,
5:01.0,K. Walker makes 2-pt shot from 2 ft,2,89-98,,
4:42.0,,,89-98,,C. Anthony misses 2-pt shot from 2 ft
4:42.0,Defensive rebound by N. Batum,,89-98,,
4:37.0,J. Lin makes 2-pt shot from 3 ft,2,91-98,,
4:07.0,,,91-98,,A. Afflalo misses 2-pt shot from 19 ft
4:06.0,Defensive rebound by K. Walker,,91-98,,
3:59.0,K. Walker misses 2-pt shot from 16 ft,,91-98,,
3:59.0,,,91-98,,Defensive rebound by C. Anthony
3:55.0,,,91-98,,New York full timeout
3:55.0,A. Jefferson enters the game for C. Zeller,,91-98,,
3:55.0,,,91-98,,K. Seraphin enters the game for K. Porzingis
3:32.0,,,91-98,,A. Afflalo misses 2-pt shot from 14 ft
3:32.0,Defensive rebound by J. Lamb,,91-98,,
