time,Phoenix,pts.away,score,pts.home,Utah
5:36.0,,,30-34,,Turnover by S. Mack (lost ball; steal by J. Leuer)
5:35.0,,,30-34,,Personal foul by T. Burke
5:35.0,,,30-34,,Utah full timeout
5:35.0,B. Knight enters the game for A. Goodwin,,30-34,,
5:35.0,,,30-34,,R. Neto enters the game for S. Mack
5:35.0,,,30-34,,R. Hood enters the game for C. Johnson
5:25.0,M. Teletovic misses 3-pt shot from 24 ft,,30-34,,
5:23.0,,,30-34,,Defensive rebound by D. Favors
5:07.0,,,30-34,,T. Burke misses 3-pt shot from 24 ft
5:05.0,Defensive rebound by B. Knight,,30-34,,
4:58.0,,,30-34,,Personal foul by T. Burke
4:47.0,Turnover by D. Booker (lost ball; steal by T. Lyles),,30-34,,
4:44.0,,,30-34,,Shooting foul by R. Price (drawn by T. Lyles)
4:44.0,,,30-35,1,T. Lyles makes free throw 1 of 2
4:44.0,P. Tucker enters the game for R. Price,,30-35,,
4:44.0,A. Goodwin enters the game for D. Booker,,30-35,,
4:44.0,,,30-36,1,T. Lyles makes free throw 2 of 2
4:32.0,J. Leuer makes 2-pt shot from 3 ft,2,32-36,,
4:09.0,,,32-39,3,R. Neto makes 3-pt shot from 25 ft (assist by T. Burke)
3:58.0,B. Knight misses 2-pt shot from 18 ft,,32-39,,
3:56.0,,,32-39,,Defensive rebound by T. Burke
3:50.0,,,32-39,,T. Burke misses 2-pt shot from 3 ft
3:47.0,Defensive rebound by J. Leuer,,32-39,,
3:38.0,T. Chandler enters the game for J. Leuer,,32-39,,
3:38.0,A. Len enters the game for M. Teletovic,,32-39,,
3:38.0,D. Booker enters the game for A. Goodwin,,32-39,,
3:34.0,D. Booker makes 2-pt shot from 18 ft (assist by A. Len),2,34-39,,
3:19.0,,,34-39,,Turnover by T. Burke (lost ball; steal by D. Booker)
3:11.0,T. Chandler makes 2-pt shot from 2 ft (assist by D. Booker),2,36-39,,
2:48.0,,,36-41,2,D. Favors makes 2-pt shot at rim
2:26.0,A. Len misses 2-pt shot from 4 ft,,36-41,,
2:25.0,,,36-41,,Defensive rebound by D. Favors
2:14.0,,,36-43,2,T. Lyles makes 2-pt shot from 11 ft
1:57.0,A. Len misses 2-pt shot from 4 ft,,36-43,,
1:55.0,Offensive rebound by T. Chandler,,36-43,,
1:55.0,T. Chandler makes 2-pt shot at rim,2,38-43,,
1:50.0,,,38-43,,Utah full timeout
1:50.0,Phoenix full timeout,,38-43,,
1:50.0,,,38-43,,S. Mack enters the game for R. Neto
1:50.0,,,38-43,,J. Ingles enters the game for T. Burke
1:50.0,,,38-43,,R. Gobert enters the game for D. Favors
1:42.0,,,38-43,,T. Lyles misses 3-pt shot from 24 ft
1:41.0,Defensive rebound by B. Knight,,38-43,,
1:26.0,Turnover by A. Len (lost ball; steal by R. Hood),,38-43,,
1:15.0,,,38-43,,T. Lyles misses 3-pt shot from 24 ft
1:14.0,Defensive rebound by B. Knight,,38-43,,
1:08.0,D. Booker misses 3-pt shot from 24 ft,,38-43,,
1:07.0,,,38-43,,Defensive rebound by R. Gobert
0:53.0,,,38-43,,S. Mack misses 2-pt shot from 8 ft
0:52.0,Defensive rebound by A. Len,,38-43,,
0:50.0,Turnover by A. Len (lost ball; steal by J. Ingles),,38-43,,
0:40.0,,,38-43,,R. Hood misses 2-pt shot from 6 ft
0:39.0,Defensive rebound by B. Knight,,38-43,,
0:17.0,B. Knight misses 3-pt shot from 24 ft,,38-43,,
0:15.0,,,38-43,,Defensive rebound by Team
0:01.0,,,38-46,3,T. Lyles makes 3-pt shot from 24 ft (assist by S. Mack)
0:00.0,Turnover by T. Chandler (lost ball; steal by T. Lyles),,38-46,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:42.0,,,38-46,,D. Favors misses 2-pt shot from 18 ft
11:40.0,Defensive rebound by P. Tucker,,38-46,,
11:29.0,A. Len misses 2-pt shot from 18 ft,,38-46,,
11:27.0,,,38-46,,Defensive rebound by R. Hood
11:08.0,,,38-46,,R. Hood misses 2-pt shot from 18 ft
11:06.0,,,38-46,,Offensive rebound by R. Gobert
11:06.0,,,38-46,,R. Gobert misses 2-pt shot from 2 ft
11:04.0,Defensive rebound by B. Knight,,38-46,,
10:48.0,T. Chandler misses 2-pt shot from 17 ft,,38-46,,
10:46.0,,,38-46,,Defensive rebound by S. Mack
10:35.0,,,38-49,3,J. Ingles makes 3-pt shot from 24 ft (assist by S. Mack)
10:19.0,A. Len misses 2-pt shot from 16 ft,,38-49,,
10:18.0,,,38-49,,Defensive rebound by R. Gobert
10:06.0,,,38-49,,R. Hood misses 2-pt shot from 18 ft
10:05.0,,,38-49,,Offensive rebound by Team
10:05.0,Personal foul by T. Chandler,,38-49,,
9:58.0,,,38-49,,D. Favors misses 2-pt shot from 16 ft
9:56.0,Defensive rebound by A. Len,,38-49,,
9:47.0,D. Booker misses 2-pt shot from 21 ft,,38-49,,
9:46.0,,,38-49,,Defensive rebound by S. Mack
9:42.0,,,38-49,,S. Mack misses 2-pt shot from 3 ft (block by B. Knight)
9:42.0,,,38-49,,Offensive rebound by Team
9:36.0,,,38-49,,R. Hood misses 3-pt shot from 25 ft
9:34.0,Defensive rebound by D. Booker,,38-49,,
9:29.0,D. Booker misses 2-pt shot from 3 ft (block by R. Gobert),,38-49,,
9:29.0,Offensive rebound by Team,,38-49,,
9:27.0,,,38-49,,Personal foul by J. Ingles
9:17.0,Turnover by A. Len (lost ball; steal by J. Ingles),,38-49,,
9:08.0,,,38-49,,Shooting foul by P. Tucker (drawn by D. Favors)
9:08.0,,,38-50,1,D. Favors makes free throw 1 of 2
9:08.0,,,38-51,1,D. Favors makes free throw 2 of 2
8:53.0,Turnover by B. Knight (bad pass),,38-51,,
8:41.0,,,38-51,,Turnover by J. Ingles (bad pass)
8:30.0,Turnover by T. Chandler (lost ball; steal by D. Favors),,38-51,,
8:11.0,,,38-51,,Shooting foul by T. Chandler (drawn by R. Gobert)
8:11.0,,,38-52,1,R. Gobert makes free throw 1 of 2
8:11.0,M. Teletovic enters the game for T. Chandler,,38-52,,
8:11.0,,,38-52,,R. Gobert misses free throw 2 of 2
8:10.0,Defensive rebound by A. Len,,38-52,,
8:07.0,Phoenix full timeout,,38-52,,
7:59.0,A. Len misses 2-pt shot from 4 ft (block by R. Gobert),,38-52,,
7:59.0,Offensive rebound by Team,,38-52,,
7:50.0,M. Teletovic misses 2-pt shot from 10 ft,,38-52,,
7:49.0,,,38-52,,Defensive rebound by J. Ingles
7:30.0,,,38-54,2,R. Hood makes 2-pt shot from 9 ft
7:20.0,M. Teletovic misses 3-pt shot from 26 ft,,38-54,,
7:18.0,,,38-54,,Defensive rebound by J. Ingles
7:07.0,,,38-56,2,D. Favors makes 2-pt shot from 4 ft
6:58.0,Phoenix full timeout,,38-56,,
6:58.0,R. Price enters the game for D. Booker,,38-56,,
6:49.0,,,38-56,,Personal foul by S. Mack
6:41.0,B. Knight misses 2-pt shot from 22 ft,,38-56,,
6:40.0,Offensive rebound by B. Knight,,38-56,,
6:33.0,P. Tucker makes 3-pt shot from 23 ft (assist by B. Knight),3,41-56,,
6:18.0,Def 3 sec tech foul by A. Len,,41-56,,
6:18.0,,,41-56,,R. Hood misses technical free throw
6:18.0,,,41-56,,Offensive rebound by Team
6:07.0,,,41-56,,R. Hood misses 3-pt shot from 25 ft
6:05.0,,,41-56,,Offensive rebound by D. Favors
5:56.0,,,41-56,,T. Booker enters the game for D. Favors
5:56.0,,,41-56,,R. Neto enters the game for S. Mack
5:50.0,,,41-59,3,J. Ingles makes 3-pt shot from 24 ft (assist by R. Neto)
5:30.0,M. Teletovic makes 2-pt shot from 10 ft,2,43-59,,
5:06.0,,,43-59,,T. Booker misses 2-pt shot from 2 ft
5:05.0,,,43-59,,Offensive rebound by R. Gobert
5:05.0,,,43-61,2,R. Gobert makes 2-pt shot at rim
4:55.0,A. Len makes 2-pt shot from 2 ft (assist by M. Teletovic),2,45-61,,
4:55.0,Shooting foul by T. Booker (drawn by A. Len),,45-61,,
4:55.0,A. Len makes free throw 1 of 1,1,46-61,,
4:34.0,,,46-61,,R. Neto misses 3-pt shot from 24 ft
4:33.0,Defensive rebound by R. Price,,46-61,,
4:29.0,P. Tucker misses 2-pt shot from 1 ft,,46-61,,
4:27.0,,,46-61,,Defensive rebound by R. Gobert
4:21.0,Personal foul by P. Tucker,,46-61,,
4:14.0,,,46-61,,R. Hood misses 3-pt shot from 23 ft
4:13.0,Defensive rebound by A. Len,,46-61,,
4:02.0,Turnover by B. Knight (lost ball; steal by T. Booker),,46-61,,
3:58.0,,,46-63,2,J. Ingles makes 2-pt shot from 1 ft (assist by T. Booker)
3:49.0,A. Len misses 2-pt shot from 5 ft,,46-63,,
3:48.0,,,46-63,,Defensive rebound by R. Gobert
3:28.0,,,46-63,,Turnover by R. Hood (lost ball; steal by P. Tucker)
3:17.0,B. Knight makes 3-pt shot from 23 ft,3,49-63,,
2:58.0,,,49-65,2,T. Booker makes 2-pt shot from 3 ft
2:44.0,B. Knight makes 2-pt shot from 14 ft,2,51-65,,
2:27.0,,,51-65,,C. Johnson enters the game for J. Ingles
2:23.0,,,51-65,,C. Johnson misses 2-pt shot from 4 ft
2:21.0,Defensive rebound by M. Teletovic,,51-65,,
2:20.0,,,51-65,,Personal foul by C. Johnson
2:14.0,Turnover by B. Knight (kicked ball),,51-65,,
2:14.0,J. Leuer enters the game for A. Len,,51-65,,
1:56.0,,,51-65,,Turnover by R. Hood (discontinued dribble)
1:56.0,,,51-65,,D. Favors enters the game for R. Gobert
1:56.0,D. Booker enters the game for B. Knight,,51-65,,
1:43.0,J. Leuer misses 2-pt shot from 6 ft,,51-65,,
1:39.0,,,51-65,,Defensive rebound by T. Booker
1:30.0,,,51-65,,D. Favors misses 2-pt shot from 5 ft
1:28.0,Defensive rebound by J. Leuer,,51-65,,
1:22.0,M. Teletovic misses 3-pt shot from 23 ft,,51-65,,
1:22.0,Offensive rebound by J. Leuer,,51-65,,
1:22.0,J. Leuer makes 2-pt shot from 2 ft,2,53-65,,
1:22.0,Shooting foul by D. Favors (drawn by J. Leuer),,53-65,,
1:22.0,J. Leuer makes free throw 1 of 1,1,54-65,,
1:14.0,,,54-65,,Shooting foul by M. Teletovic (drawn by R. Neto)
1:14.0,,,54-67,2,R. Neto makes 2-pt shot from 3 ft
1:14.0,,,54-67,,R. Neto misses free throw 1 of 1
1:13.0,Defensive rebound by M. Teletovic,,54-67,,
0:58.0,R. Price misses 3-pt shot from 24 ft,,54-67,,
0:57.0,,,54-67,,Defensive rebound by T. Booker
0:39.0,,,54-69,2,R. Hood makes 2-pt shot from 2 ft
0:36.0,Turnover by J. Leuer (lost ball; steal by C. Johnson),,54-69,,
0:33.0,,,54-71,2,T. Booker makes 2-pt shot from 3 ft (assist by C. Johnson)
0:17.0,M. Teletovic misses 3-pt shot from 24 ft,,54-71,,
0:15.0,,,54-71,,Defensive rebound by R. Hood
0:03.0,,,54-71,,D. Favors misses 2-pt shot from 13 ft
0:01.0,Defensive rebound by J. Leuer,,54-71,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:50.0,Turnover by T. Chandler (3 sec),,54-71,,
11:36.0,,,54-71,,Turnover by D. Favors (lost ball; steal by T. Chandler)
11:31.0,Turnover by A. Goodwin (lost ball; steal by R. Neto),,54-71,,
11:27.0,,,54-73,2,T. Booker makes 2-pt shot at rim (assist by S. Mack)
11:10.0,Offensive foul by D. Booker,,54-73,,
11:10.0,Turnover by D. Booker (offensive foul),,54-73,,
11:02.0,,,54-75,2,S. Mack makes 2-pt shot from 16 ft
10:54.0,D. Booker misses 2-pt shot from 7 ft (block by C. Johnson),,54-75,,
10:50.0,,,54-75,,Defensive rebound by D. Favors
10:36.0,,,54-75,,R. Neto misses 2-pt shot from 10 ft
10:34.0,,,54-75,,Offensive rebound by C. Johnson
10:26.0,,,54-75,,C. Johnson misses 3-pt shot from 25 ft
10:25.0,,,54-75,,Offensive rebound by T. Booker
10:21.0,,,54-78,3,R. Neto makes 3-pt shot from 24 ft (assist by T. Booker)
10:21.0,Phoenix full timeout,,54-78,,
10:21.0,P. Tucker enters the game for R. Price,,54-78,,
10:10.0,B. Knight enters the game for A. Goodwin,,54-78,,
10:10.0,A. Len enters the game for J. Leuer,,54-78,,
10:08.0,,,54-78,,Personal foul by R. Neto
10:06.0,Offensive foul by T. Chandler,,54-78,,
10:06.0,Turnover by T. Chandler (offensive foul),,54-78,,
9:51.0,,,54-78,,D. Favors misses 2-pt shot from 19 ft
9:50.0,Defensive rebound by A. Len,,54-78,,
9:41.0,B. Knight makes 2-pt shot from 14 ft (assist by A. Len),2,56-78,,
9:24.0,,,56-80,2,R. Neto makes 2-pt shot from 3 ft
9:24.0,,,56-80,,Shooting foul by A. Len (drawn by R. Neto)
9:24.0,,,56-80,,T. Lyles enters the game for T. Booker
9:24.0,,,56-81,1,R. Neto makes free throw 1 of 1
9:13.0,B. Knight misses 3-pt shot from 22 ft,,56-81,,
9:12.0,,,56-81,,Defensive rebound by C. Johnson
8:58.0,,,56-81,,Turnover by S. Mack (bad pass)
8:58.0,,,56-81,,R. Gobert enters the game for D. Favors
8:42.0,A. Len misses 3-pt shot from 23 ft,,56-81,,
8:39.0,,,56-81,,Defensive rebound by C. Johnson
8:23.0,,,56-83,2,S. Mack makes 2-pt shot from 3 ft
8:10.0,B. Knight misses 2-pt shot from 21 ft,,56-83,,
8:08.0,,,56-83,,Defensive rebound by R. Gobert
8:01.0,Personal foul by T. Chandler,,56-83,,
7:50.0,,,56-86,3,T. Lyles makes 3-pt shot from 24 ft (assist by S. Mack)
7:33.0,D. Booker misses 3-pt shot from 25 ft,,56-86,,
7:31.0,,,56-86,,Defensive rebound by C. Johnson
7:23.0,,,56-89,3,T. Lyles makes 3-pt shot from 24 ft (assist by S. Mack)
7:23.0,Phoenix full timeout,,56-89,,
7:23.0,C. Budinger enters the game for P. Tucker,,56-89,,
7:23.0,J. Jenkins enters the game for D. Booker,,56-89,,
7:23.0,,,56-89,,J. Ingles enters the game for R. Neto
7:04.0,J. Jenkins misses 2-pt shot from 17 ft,,56-89,,
7:02.0,Offensive rebound by A. Len,,56-89,,
6:51.0,J. Jenkins misses 3-pt shot from 24 ft,,56-89,,
6:49.0,,,56-89,,Defensive rebound by R. Gobert
6:33.0,,,56-91,2,T. Lyles makes 2-pt shot from 3 ft
6:17.0,A. Len misses 2-pt shot from 13 ft,,56-91,,
6:16.0,,,56-91,,Defensive rebound by S. Mack
6:03.0,,,56-91,,C. Johnson misses 2-pt shot from 6 ft
6:01.0,,,56-91,,Offensive rebound by R. Gobert
6:01.0,,,56-93,2,R. Gobert makes 2-pt shot at rim
5:44.0,J. Jenkins makes 2-pt shot from 21 ft,2,58-93,,
5:30.0,,,58-96,3,S. Mack makes 3-pt shot from 24 ft
5:10.0,B. Knight makes 3-pt shot from 24 ft (assist by C. Budinger),3,61-96,,
5:10.0,,,61-96,,Utah full timeout
5:10.0,M. Teletovic enters the game for T. Chandler,,61-96,,
5:10.0,J. Leuer enters the game for B. Knight,,61-96,,
5:10.0,,,61-96,,T. Burke enters the game for C. Johnson
5:10.0,,,61-96,,R. Neto enters the game for R. Gobert
5:10.0,,,61-96,,J. Withey enters the game for S. Mack
5:10.0,R. Price enters the game for A. Len,,61-96,,
4:51.0,,,61-96,,J. Withey misses 2-pt shot from 2 ft
4:50.0,Defensive rebound by J. Leuer,,61-96,,
4:41.0,R. Price misses 2-pt shot from 6 ft,,61-96,,
4:41.0,,,61-96,,Defensive rebound by J. Withey
4:41.0,Personal foul by R. Price,,61-96,,
4:31.0,,,61-96,,T. Lyles misses 2-pt shot from 23 ft
4:29.0,Defensive rebound by C. Budinger,,61-96,,
4:22.0,Shooting foul by J. Withey (drawn by J. Leuer),,61-96,,
4:22.0,J. Leuer misses free throw 1 of 2,,61-96,,
4:22.0,Offensive rebound by Team,,61-96,,
4:22.0,,,61-96,,C. Johnson enters the game for J. Ingles
4:22.0,J. Leuer misses free throw 2 of 2,,61-96,,
4:19.0,,,61-96,,Defensive rebound by J. Withey
4:00.0,,,61-96,,T. Burke misses 3-pt shot from 24 ft
3:59.0,Defensive rebound by J. Leuer,,61-96,,
3:54.0,,,61-96,,Personal foul by R. Neto
3:47.0,Offensive foul by R. Price,,61-96,,
3:47.0,Turnover by R. Price (offensive foul),,61-96,,
3:28.0,,,61-99,3,T. Burke makes 3-pt shot from 24 ft (assist by T. Lyles)
3:06.0,C. Budinger misses 2-pt shot from 9 ft,,61-99,,
3:05.0,Offensive rebound by J. Leuer,,61-99,,
3:01.0,J. Leuer makes 2-pt shot from 1 ft,2,63-99,,
2:44.0,,,63-99,,Turnover by T. Lyles (bad pass)
2:32.0,R. Price makes 2-pt shot from 8 ft,2,65-99,,
2:18.0,,,65-99,,T. Burke misses 2-pt shot from 14 ft
2:15.0,Defensive rebound by J. Leuer,,65-99,,
2:12.0,Shooting foul by T. Burke (drawn by R. Price),,65-99,,
2:12.0,R. Price misses free throw 1 of 2,,65-99,,
2:12.0,Offensive rebound by Team,,65-99,,
2:12.0,A. Williams enters the game for M. Teletovic,,65-99,,
2:12.0,R. Price misses free throw 2 of 2,,65-99,,
2:10.0,,,65-99,,Defensive rebound by J. Withey
1:56.0,,,65-99,,Turnover by R. Neto (lost ball; steal by J. Leuer)
1:53.0,Turnover by J. Jenkins (lost ball),,65-99,,
1:29.0,,,65-101,2,R. Neto makes 2-pt shot from 17 ft (assist by J. Withey)
1:20.0,J. Leuer misses 2-pt shot from 17 ft,,65-101,,
1:20.0,Offensive rebound by Team,,65-101,,
1:20.0,Shooting foul by T. Lyles (drawn by A. Williams),,65-101,,
1:20.0,A. Williams misses free throw 1 of 2,,65-101,,
1:20.0,Offensive rebound by Team,,65-101,,
1:20.0,A. Williams makes free throw 2 of 2,1,66-101,,
1:04.0,,,66-103,2,T. Lyles makes 2-pt shot from 3 ft
0:57.0,,,66-103,,Personal foul by R. Neto
0:57.0,R. Price makes free throw 1 of 2,1,67-103,,
0:57.0,R. Price misses free throw 2 of 2,,67-103,,
