time,Charlotte,pts.away,score,pts.home,LA Clippers
4:14.0,K. Walker misses 2-pt shot from 1 ft (block by D. Jordan),,14-21,,
4:12.0,,,14-21,,Defensive rebound by J. Redick
4:07.0,,,14-23,2,J. Crawford makes 2-pt shot from 13 ft
3:45.0,J. Lin misses 2-pt shot from 9 ft,,14-23,,
3:42.0,Offensive rebound by C. Zeller,,14-23,,
3:37.0,K. Walker misses 3-pt shot from 28 ft,,14-23,,
3:37.0,Offensive rebound by C. Zeller,,14-23,,
3:35.0,Turnover by K. Walker (step out of bounds),,14-23,,
3:35.0,,,14-23,,P. Prigioni enters the game for J. Redick
3:35.0,,,14-23,,A. Rivers enters the game for C. Paul
3:33.0,F. Kaminsky enters the game for M. Williams,,14-23,,
3:33.0,J. Lamb enters the game for J. Lin,,14-23,,
3:24.0,Personal foul by K. Walker (drawn by D. Jordan),,14-23,,
3:15.0,,,14-25,2,J. Crawford makes 2-pt shot from 16 ft
2:59.0,P. Hairston makes 2-pt shot from 12 ft (assist by K. Walker),2,16-25,,
2:37.0,,,16-25,,W. Johnson misses 2-pt shot from 16 ft
2:34.0,,,16-25,,Offensive rebound by D. Jordan
2:31.0,,,16-25,,D. Jordan misses 2-pt shot from 1 ft
2:29.0,Defensive rebound by J. Lamb,,16-25,,
2:25.0,K. Walker misses 2-pt shot from 17 ft,,16-25,,
2:24.0,,,16-25,,Defensive rebound by P. Prigioni
2:05.0,,,16-25,,A. Rivers misses 2-pt shot from 11 ft
2:05.0,,,16-25,,Offensive rebound by D. Jordan
2:05.0,,,16-25,,D. Jordan misses 2-pt shot from 1 ft
2:05.0,Defensive rebound by Team,,16-25,,
2:05.0,,,16-25,,LA Clippers full timeout
2:05.0,S. Hawes enters the game for C. Zeller,,16-25,,
1:47.0,Shooting foul by P. Prigioni (drawn by F. Kaminsky),,16-25,,
1:47.0,F. Kaminsky makes free throw 1 of 2,1,17-25,,
1:47.0,J. Lin enters the game for P. Hairston,,17-25,,
1:47.0,F. Kaminsky makes free throw 2 of 2,1,18-25,,
1:32.0,,,18-25,,J. Crawford misses 2-pt shot from 14 ft
1:31.0,Defensive rebound by S. Hawes,,18-25,,
1:12.0,S. Hawes misses 3-pt shot from 23 ft,,18-25,,
1:10.0,,,18-25,,Defensive rebound by J. Crawford
1:06.0,,,18-25,,Turnover by J. Crawford (bad pass; steal by J. Lamb)
0:48.0,J. Lin misses 2-pt shot from 13 ft,,18-25,,
0:46.0,,,18-25,,Defensive rebound by W. Johnson
0:32.0,,,18-25,,A. Rivers misses 2-pt shot from 12 ft
0:31.0,Defensive rebound by S. Hawes,,18-25,,
0:19.0,S. Hawes misses 2-pt shot from 2 ft,,18-25,,
0:18.0,Offensive rebound by S. Hawes,,18-25,,
0:18.0,S. Hawes misses 2-pt shot from 1 ft,,18-25,,
0:18.0,,,18-25,,Defensive rebound by D. Jordan
0:01.0,,,18-27,2,J. Crawford makes 2-pt shot from 18 ft
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:44.0,,,18-27,,Personal foul by P. Prigioni (drawn by J. Lin)
11:37.0,F. Kaminsky misses 2-pt shot from 1 ft,,18-27,,
11:36.0,Offensive rebound by J. Lamb,,18-27,,
11:29.0,J. Lamb makes 3-pt shot from 24 ft,3,21-27,,
11:17.0,,,21-29,2,J. Crawford makes 2-pt shot from 17 ft
10:57.0,J. Lamb makes 2-pt shot from 2 ft (assist by J. Lin),2,23-29,,
10:51.0,,,23-29,,Offensive foul by J. Crawford
10:51.0,,,23-29,,Turnover by J. Crawford (offensive foul)
10:41.0,J. Lin makes 3-pt shot from 24 ft (assist by B. Roberts),3,26-29,,
10:22.0,,,26-31,2,C. Aldrich makes 2-pt shot from 2 ft (assist by P. Prigioni)
10:09.0,F. Kaminsky misses 2-pt shot from 1 ft (block by W. Johnson),,26-31,,
10:09.0,Offensive rebound by Team,,26-31,,
10:03.0,,,26-31,,Violation by C. Aldrich (kicked ball)
9:46.0,B. Roberts misses 2-pt shot from 1 ft,,26-31,,
9:38.0,,,26-31,,Defensive rebound by C. Aldrich
9:34.0,,,26-33,2,J. Crawford makes 2-pt shot from 19 ft
9:19.0,,,26-33,,Personal block foul by W. Johnson (drawn by J. Lin)
9:09.0,Turnover by B. Roberts (lost ball; steal by W. Johnson),,26-33,,
8:51.0,,,26-33,,W. Johnson misses 3-pt shot from 24 ft
8:51.0,,,26-33,,Offensive rebound by C. Aldrich
8:44.0,,,26-33,,J. Crawford misses 3-pt shot from 24 ft
8:43.0,Defensive rebound by J. Lin,,26-33,,
8:40.0,Shooting foul by A. Rivers (drawn by S. Hawes),,26-33,,
8:40.0,Official timeout,,26-33,,
8:40.0,S. Hawes makes free throw 1 of 2,1,27-33,,
8:40.0,S. Hawes makes free throw 2 of 2,1,28-33,,
8:28.0,,,28-33,,A. Rivers misses 2-pt shot from 15 ft
8:28.0,Defensive rebound by J. Lamb,,28-33,,
8:14.0,J. Lin misses 3-pt shot from 24 ft,,28-33,,
8:14.0,Offensive rebound by J. Lamb,,28-33,,
8:02.0,F. Kaminsky misses 3-pt shot from 24 ft,,28-33,,
8:01.0,,,28-33,,Defensive rebound by P. Prigioni
7:46.0,,,28-35,2,C. Aldrich makes 2-pt shot from 4 ft (assist by P. Prigioni)
7:31.0,J. Lin makes 2-pt shot at rim (assist by S. Hawes),2,30-35,,
7:16.0,,,30-35,,W. Johnson misses 2-pt shot from 19 ft
7:15.0,Defensive rebound by J. Lamb,,30-35,,
7:07.0,Turnover by F. Kaminsky (bad pass; steal by A. Rivers),,30-35,,
7:00.0,,,30-35,,A. Rivers misses 2-pt shot from 1 ft
6:57.0,Defensive rebound by F. Kaminsky,,30-35,,
6:47.0,S. Hawes makes 3-pt shot from 24 ft (assist by B. Roberts),3,33-35,,
6:39.0,,,33-35,,LA Clippers full timeout
6:39.0,,,33-35,,C. Paul enters the game for W. Johnson
6:39.0,,,33-35,,J. Redick enters the game for P. Prigioni
6:39.0,,,33-35,,P. Pierce enters the game for A. Rivers
6:39.0,,,33-35,,D. Jordan enters the game for C. Aldrich
6:39.0,C. Zeller enters the game for S. Hawes,,33-35,,
6:27.0,,,33-35,,J. Redick misses 2-pt shot from 18 ft
6:26.0,Defensive rebound by F. Kaminsky,,33-35,,
6:17.0,Turnover by B. Roberts (bad pass; steal by C. Paul),,33-35,,
6:17.0,Personal foul by C. Zeller (drawn by C. Paul),,33-35,,
6:00.0,,,33-35,,J. Crawford misses 3-pt shot from 26 ft
5:59.0,Defensive rebound by C. Zeller,,33-35,,
5:42.0,B. Roberts misses 2-pt shot from 18 ft,,33-35,,
5:39.0,,,33-35,,Defensive rebound by D. Jordan
5:33.0,,,33-37,2,C. Paul makes 2-pt shot from 17 ft
5:18.0,J. Lin makes 2-pt shot from 13 ft,2,35-37,,
4:59.0,,,35-37,,Turnover by J. Crawford (bad pass; steal by B. Roberts)
4:53.0,J. Lamb makes 2-pt shot at rim (assist by B. Roberts),2,37-37,,
4:45.0,Personal foul by J. Lin (drawn by J. Redick),,37-37,,
4:45.0,M. Williams enters the game for F. Kaminsky,,37-37,,
4:45.0,K. Walker enters the game for B. Roberts,,37-37,,
4:35.0,,,37-37,,J. Crawford misses 3-pt shot from 24 ft
4:34.0,Defensive rebound by J. Lin,,37-37,,
4:25.0,J. Lin makes 2-pt shot from 7 ft,2,39-37,,
4:09.0,,,39-39,2,C. Paul makes 2-pt shot from 1 ft
4:03.0,Charlotte full timeout,,39-39,,
4:03.0,,,39-39,,A. Rivers enters the game for J. Crawford
3:47.0,M. Williams makes 2-pt shot from 1 ft (assist by J. Lin),2,41-39,,
3:28.0,,,41-41,2,C. Paul makes 2-pt shot from 15 ft
3:12.0,M. Williams misses 3-pt shot from 24 ft,,41-41,,
3:11.0,,,41-41,,Defensive rebound by D. Jordan
2:59.0,,,41-41,,C. Paul misses 2-pt shot from 11 ft
2:59.0,Defensive rebound by J. Lamb,,41-41,,
2:48.0,J. Lamb makes 2-pt shot from 1 ft,2,43-41,,
2:28.0,,,43-41,,P. Pierce misses 3-pt shot from 24 ft
2:28.0,Defensive rebound by J. Lamb,,43-41,,
2:23.0,C. Zeller misses 2-pt shot from 1 ft (block by P. Pierce),,43-41,,
2:23.0,Offensive rebound by Team,,43-41,,
2:23.0,P. Hairston enters the game for J. Lin,,43-41,,
2:22.0,C. Zeller misses 2-pt shot from 1 ft (block by D. Jordan),,43-41,,
2:22.0,Offensive rebound by Team,,43-41,,
2:17.0,M. Williams misses 3-pt shot from 24 ft,,43-41,,
2:17.0,,,43-41,,Defensive rebound by A. Rivers
1:53.0,,,43-43,2,P. Pierce makes 2-pt shot from 20 ft
1:34.0,J. Lamb makes 3-pt shot from 25 ft (assist by K. Walker),3,46-43,,
1:15.0,,,46-43,,P. Pierce misses 3-pt shot from 24 ft
1:14.0,Defensive rebound by J. Lamb,,46-43,,
1:05.0,,,46-43,,Personal foul by C. Paul (drawn by K. Walker)
0:58.0,Turnover by K. Walker (bad pass),,46-43,,
0:42.0,,,46-43,,J. Redick misses 3-pt shot from 24 ft
0:41.0,Defensive rebound by C. Zeller,,46-43,,
0:29.0,K. Walker misses 3-pt shot from 23 ft,,46-43,,
0:28.0,,,46-43,,Defensive rebound by J. Redick
0:05.0,,,46-43,,C. Paul misses 3-pt shot from 25 ft
0:04.0,,,46-43,,Offensive rebound by D. Jordan
0:04.0,,,46-43,,D. Jordan misses 2-pt shot from 5 ft
0:02.0,Defensive rebound by C. Zeller,,46-43,,
0:00.0,M. Williams misses 3-pt shot from 49 ft,,46-43,,
0:00.0,Offensive rebound by Team,,46-43,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:47.0,P. Hairston misses 2-pt shot from 21 ft,,46-43,,
11:46.0,,,46-43,,Defensive rebound by P. Pierce
11:30.0,,,46-43,,P. Pierce misses 3-pt shot from 24 ft
11:28.0,Defensive rebound by C. Zeller,,46-43,,
11:20.0,K. Walker misses 2-pt shot from 12 ft (block by C. Paul),,46-43,,
11:18.0,,,46-43,,Defensive rebound by C. Paul
11:11.0,,,46-43,,Shooting foul by C. Zeller (drawn by L. Mbah a Moute)
11:11.0,,,46-44,1,L. Mbah a Moute makes free throw 1 of 2
11:11.0,,,46-45,1,L. Mbah a Moute makes free throw 2 of 2
10:51.0,Shooting foul by L. Mbah a Moute (drawn by J. Lin),,46-45,,
10:51.0,J. Lin makes free throw 1 of 2,1,47-45,,
10:51.0,J. Lin makes free throw 2 of 2,1,48-45,,
10:33.0,,,48-45,,P. Pierce misses 3-pt shot from 24 ft
10:32.0,Defensive rebound by P. Hairston,,48-45,,
10:18.0,M. Williams misses 2-pt shot from 6 ft (block by D. Jordan),,48-45,,
10:17.0,,,48-45,,Defensive rebound by D. Jordan
10:08.0,Personal foul by K. Walker (drawn by D. Jordan),,48-45,,
9:59.0,,,48-45,,C. Paul misses 2-pt shot from 7 ft
9:58.0,,,48-45,,Offensive rebound by L. Mbah a Moute
9:54.0,,,48-47,2,L. Mbah a Moute makes 2-pt shot at rim
9:42.0,Turnover by K. Walker (bad pass; steal by P. Pierce),,48-47,,
9:32.0,,,48-47,,Turnover by J. Redick (bad pass)
9:24.0,Offensive foul by C. Zeller,,48-47,,
9:24.0,Turnover by C. Zeller (offensive foul),,48-47,,
9:09.0,,,48-50,3,C. Paul makes 3-pt shot from 24 ft
8:44.0,C. Zeller misses 2-pt shot from 4 ft (block by D. Jordan),,48-50,,
8:42.0,,,48-50,,Defensive rebound by L. Mbah a Moute
8:39.0,,,48-50,,Turnover by C. Paul (bad pass)
8:24.0,Turnover by J. Lin (bad pass),,48-50,,
8:18.0,,,48-52,2,J. Redick makes 2-pt shot from 16 ft (assist by C. Paul)
8:18.0,Charlotte full timeout,,48-52,,
7:59.0,J. Lin misses 2-pt shot from 20 ft,,48-52,,
7:52.0,,,48-52,,Defensive rebound by P. Pierce
7:44.0,,,48-54,2,D. Jordan makes 2-pt shot from 1 ft (assist by C. Paul)
7:31.0,Shooting foul by C. Paul (drawn by K. Walker),,48-54,,
7:31.0,K. Walker misses free throw 1 of 2,,48-54,,
7:31.0,Offensive rebound by Team,,48-54,,
7:31.0,K. Walker makes free throw 2 of 2,1,49-54,,
7:18.0,,,49-54,,C. Paul misses 3-pt shot from 24 ft
7:17.0,Defensive rebound by C. Zeller,,49-54,,
7:09.0,J. Lin misses 2-pt shot from 12 ft,,49-54,,
7:08.0,,,49-54,,Defensive rebound by D. Jordan
7:00.0,,,49-54,,P. Pierce misses 3-pt shot from 24 ft
6:59.0,,,49-54,,Offensive rebound by D. Jordan
6:43.0,,,49-56,2,D. Jordan makes 2-pt shot from 1 ft (assist by J. Redick)
6:37.0,Charlotte full timeout,,49-56,,
6:37.0,J. Lamb enters the game for J. Lin,,49-56,,
6:17.0,P. Hairston misses 3-pt shot from 26 ft,,49-56,,
6:16.0,Offensive rebound by M. Williams,,49-56,,
6:14.0,M. Williams misses 2-pt shot from 1 ft,,49-56,,
6:12.0,,,49-56,,Defensive rebound by D. Jordan
6:02.0,,,49-58,2,C. Paul makes 2-pt shot from 18 ft
5:55.0,,,49-58,,Personal block foul by P. Pierce (drawn by K. Walker)
5:39.0,K. Walker misses 3-pt shot from 25 ft (block by P. Pierce),,49-58,,
5:39.0,Offensive rebound by Team,,49-58,,
5:39.0,Turnover by Team (shot clock),,49-58,,
5:16.0,,,49-58,,L. Mbah a Moute misses 2-pt shot from 4 ft (block by C. Zeller)
5:15.0,Defensive rebound by J. Lamb,,49-58,,
5:09.0,M. Williams misses 3-pt shot from 25 ft,,49-58,,
5:08.0,,,49-58,,Defensive rebound by D. Jordan
5:00.0,,,49-58,,P. Pierce misses 3-pt shot from 24 ft
4:59.0,,,49-58,,Offensive rebound by D. Jordan
4:53.0,,,49-58,,P. Pierce misses 3-pt shot from 24 ft
4:53.0,,,49-58,,Offensive rebound by C. Paul
4:47.0,,,49-58,,D. Jordan misses 2-pt shot from 2 ft
4:45.0,Defensive rebound by M. Williams,,49-58,,
4:36.0,J. Lamb makes 2-pt shot from 9 ft,2,51-58,,
4:36.0,,,51-58,,LA Clippers full timeout
4:36.0,,,51-58,,W. Johnson enters the game for P. Pierce
4:36.0,F. Kaminsky enters the game for M. Williams,,51-58,,
4:27.0,,,51-58,,Shooting foul by P. Hairston (drawn by D. Jordan)
4:27.0,,,51-58,,D. Jordan misses free throw 1 of 2
4:27.0,,,51-58,,Offensive rebound by Team
4:27.0,,,51-59,1,D. Jordan makes free throw 2 of 2
4:09.0,J. Lamb misses 2-pt shot from 19 ft,,51-59,,
4:09.0,Offensive rebound by K. Walker,,51-59,,
4:09.0,K. Walker misses 2-pt shot from 19 ft,,51-59,,
4:09.0,Offensive rebound by Team,,51-59,,
4:09.0,,,51-59,,Personal foul by W. Johnson (drawn by C. Zeller)
4:09.0,,,51-59,,J. Crawford enters the game for J. Redick
3:51.0,Turnover by F. Kaminsky (lost ball; steal by L. Mbah a Moute),,51-59,,
3:38.0,,,51-61,2,C. Paul makes 2-pt shot from 2 ft
3:36.0,Shooting foul by C. Paul (drawn by K. Walker),,51-61,,
3:36.0,K. Walker misses free throw 1 of 2,,51-61,,
3:36.0,Offensive rebound by Team,,51-61,,
3:36.0,J. Lin enters the game for P. Hairston,,51-61,,
3:36.0,,,51-61,,A. Rivers enters the game for L. Mbah a Moute
3:36.0,K. Walker makes free throw 2 of 2,1,52-61,,
3:22.0,,,52-61,,D. Jordan misses 2-pt shot from 2 ft
3:20.0,Defensive rebound by C. Zeller,,52-61,,
3:17.0,K. Walker makes 2-pt shot at rim,2,54-61,,
3:17.0,Shooting foul by D. Jordan (drawn by K. Walker),,54-61,,
3:17.0,S. Hawes enters the game for C. Zeller,,54-61,,
3:17.0,K. Walker makes free throw 1 of 1,1,55-61,,
3:03.0,,,55-61,,J. Crawford misses 2-pt shot from 18 ft
3:01.0,,,55-61,,Offensive rebound by D. Jordan
2:53.0,,,55-61,,C. Paul misses 2-pt shot from 10 ft
2:52.0,,,55-61,,Offensive rebound by D. Jordan
2:52.0,,,55-61,,D. Jordan misses 2-pt shot from 1 ft
2:52.0,,,55-61,,Offensive rebound by Team
2:52.0,Loose ball foul by F. Kaminsky (drawn by D. Jordan),,55-61,,
2:52.0,,,55-62,1,D. Jordan makes free throw 1 of 2
2:52.0,,,55-62,,P. Prigioni enters the game for C. Paul
2:52.0,,,55-63,1,D. Jordan makes free throw 2 of 2
2:31.0,F. Kaminsky misses 2-pt shot from 18 ft,,55-63,,
2:29.0,,,55-63,,Defensive rebound by W. Johnson
2:19.0,,,55-63,,W. Johnson misses 3-pt shot from 24 ft
2:17.0,Defensive rebound by K. Walker,,55-63,,
2:15.0,Turnover by K. Walker (lost ball),,55-63,,
2:15.0,,,55-63,,C. Aldrich enters the game for D. Jordan
2:00.0,,,55-66,3,W. Johnson makes 3-pt shot from 23 ft (assist by A. Rivers)
1:46.0,J. Lamb misses 2-pt shot from 9 ft,,55-66,,
1:45.0,Offensive rebound by F. Kaminsky,,55-66,,
1:34.0,F. Kaminsky makes 2-pt shot from 2 ft (assist by J. Lin),2,57-66,,
1:23.0,,,57-66,,Shooting foul by J. Lin (drawn by A. Rivers)
1:23.0,,,57-67,1,A. Rivers makes free throw 1 of 2
1:23.0,,,57-68,1,A. Rivers makes free throw 2 of 2
1:10.0,J. Lin makes 3-pt shot from 24 ft,3,60-68,,
0:54.0,,,60-70,2,J. Crawford makes 2-pt shot from 14 ft
0:41.0,J. Lin makes 2-pt shot from 23 ft,2,62-70,,
0:29.0,,,62-70,,W. Johnson misses 3-pt shot from 23 ft
0:28.0,Defensive rebound by J. Lamb,,62-70,,
0:21.0,S. Hawes makes 2-pt shot from 1 ft (assist by F. Kaminsky),2,64-70,,
0:03.0,,,64-70,,J. Crawford misses 2-pt shot from 22 ft
0:00.0,Defensive rebound by F. Kaminsky,,64-70,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:49.0,,,64-72,2,J. Crawford makes 2-pt shot from 19 ft (assist by A. Rivers)
11:30.0,B. Roberts misses 2-pt shot from 17 ft,,64-72,,
11:29.0,Offensive rebound by Team,,64-72,,
11:20.0,,,64-72,,Personal foul by A. Rivers (drawn by J. Lin)
11:12.0,B. Roberts makes 2-pt shot from 1 ft (assist by F. Kaminsky),2,66-72,,
10:57.0,,,66-74,2,C. Aldrich makes 2-pt shot from 7 ft (assist by P. Prigioni)
10:43.0,Turnover by S. Hawes (traveling),,66-74,,
10:25.0,,,66-74,,W. Johnson misses 3-pt shot from 23 ft
10:25.0,Defensive rebound by J. Lin,,66-74,,
10:19.0,J. Lin makes 2-pt shot from 1 ft,2,68-74,,
10:04.0,,,68-74,,C. Aldrich misses 2-pt shot at rim
10:03.0,Defensive rebound by F. Kaminsky,,68-74,,
9:50.0,F. Kaminsky misses 2-pt shot from 1 ft,,68-74,,
9:49.0,,,68-74,,Defensive rebound by C. Aldrich
9:40.0,,,68-76,2,J. Crawford makes 2-pt shot from 7 ft
9:34.0,Turnover by B. Roberts (bad pass),,68-76,,
9:24.0,,,68-78,2,A. Rivers makes 2-pt shot from 8 ft (assist by P. Prigioni)
9:24.0,Charlotte full timeout,,68-78,,
9:24.0,K. Walker enters the game for B. Roberts,,68-78,,
9:24.0,M. Williams enters the game for F. Kaminsky,,68-78,,
9:10.0,Shooting foul by W. Johnson (drawn by J. Lin),,68-78,,
9:10.0,J. Lin makes free throw 1 of 2,1,69-78,,
9:10.0,J. Lin makes free throw 2 of 2,1,70-78,,
8:43.0,,,70-78,,A. Rivers misses 3-pt shot from 25 ft
8:42.0,,,70-78,,Offensive rebound by P. Prigioni
8:28.0,,,70-78,,J. Crawford misses 3-pt shot from 24 ft
8:27.0,Defensive rebound by J. Lamb,,70-78,,
8:08.0,J. Lamb misses 3-pt shot from 24 ft,,70-78,,
8:08.0,,,70-78,,Defensive rebound by W. Johnson
7:51.0,,,70-78,,J. Crawford misses 3-pt shot from 25 ft
7:51.0,Defensive rebound by S. Hawes,,70-78,,
7:49.0,,,70-78,,Personal take foul by P. Prigioni (drawn by J. Lin)
7:49.0,C. Zeller enters the game for S. Hawes,,70-78,,
7:34.0,J. Lamb misses 2-pt shot from 17 ft,,70-78,,
7:33.0,Offensive rebound by J. Lamb,,70-78,,
7:28.0,J. Lamb makes 2-pt shot from 6 ft,2,72-78,,
7:16.0,,,72-78,,C. Aldrich misses 2-pt shot at rim (block by M. Williams)
7:11.0,,,72-78,,Offensive rebound by C. Aldrich
7:08.0,,,72-80,2,C. Aldrich makes 2-pt shot from 1 ft
7:01.0,Offensive charge foul by J. Lamb,,72-80,,
7:01.0,Turnover by J. Lamb (offensive foul),,72-80,,
7:01.0,,,72-80,,D. Jordan enters the game for C. Aldrich
7:01.0,,,72-80,,C. Paul enters the game for P. Prigioni
6:48.0,,,72-80,,J. Crawford misses 2-pt shot from 7 ft
6:45.0,Defensive rebound by J. Lamb,,72-80,,
6:32.0,J. Lin makes 2-pt shot from 13 ft,2,74-80,,
6:16.0,,,74-82,2,A. Rivers makes 2-pt shot from 1 ft
5:57.0,M. Williams misses 3-pt shot from 24 ft,,74-82,,
5:56.0,,,74-82,,Defensive rebound by C. Paul
5:47.0,,,74-82,,C. Paul misses 2-pt shot from 18 ft
5:47.0,Defensive rebound by C. Zeller,,74-82,,
5:37.0,Shooting foul by W. Johnson (drawn by C. Zeller),,74-82,,
5:37.0,Official timeout,,74-82,,
5:37.0,,,74-82,,J. Redick enters the game for A. Rivers
5:37.0,,,74-82,,L. Mbah a Moute enters the game for W. Johnson
5:37.0,C. Zeller misses free throw 1 of 2,,74-82,,
5:37.0,Offensive rebound by Team,,74-82,,
5:37.0,C. Zeller makes free throw 2 of 2,1,75-82,,
5:25.0,,,75-82,,Shooting foul by J. Lin (drawn by J. Redick)
5:25.0,,,75-83,1,J. Redick makes free throw 1 of 2
5:25.0,,,75-84,1,J. Redick makes free throw 2 of 2
5:08.0,J. Lamb misses 3-pt shot from 24 ft,,75-84,,
5:08.0,,,75-84,,Defensive rebound by D. Jordan
4:57.0,Personal foul by J. Lin (drawn by J. Redick),,75-84,,
4:43.0,,,75-84,,Turnover by C. Paul (lost ball; steal by J. Lin)
4:32.0,K. Walker misses 2-pt shot from 18 ft,,75-84,,
4:30.0,,,75-84,,Defensive rebound by C. Paul
4:19.0,,,75-86,2,J. Redick makes 2-pt shot from 19 ft (assist by C. Paul)
4:19.0,Charlotte full timeout,,75-86,,
4:04.0,J. Lamb makes 2-pt shot from 17 ft,2,77-86,,
3:49.0,,,77-88,2,D. Jordan makes 2-pt shot at rim (assist by J. Crawford)
3:22.0,K. Walker makes 2-pt shot from 1 ft,2,79-88,,
3:03.0,,,79-91,3,J. Crawford makes 3-pt shot from 23 ft (assist by D. Jordan)
2:46.0,J. Lamb misses 2-pt shot from 19 ft,,79-91,,
2:46.0,Offensive rebound by Team,,79-91,,
2:46.0,,,79-91,,Loose ball foul by C. Paul (drawn by C. Zeller)
2:46.0,C. Zeller misses free throw 1 of 2,,79-91,,
2:46.0,Offensive rebound by Team,,79-91,,
2:46.0,C. Zeller makes free throw 2 of 2,1,80-91,,
2:38.0,Personal foul by K. Walker (drawn by J. Redick),,80-91,,
2:27.0,,,80-93,2,C. Paul makes 2-pt shot from 15 ft
2:12.0,Turnover by J. Lin (lost ball; steal by C. Paul),,80-93,,
1:53.0,,,80-93,,J. Crawford misses 2-pt shot from 15 ft
1:52.0,Defensive rebound by C. Zeller,,80-93,,
1:45.0,Offensive foul by C. Zeller,,80-93,,
1:45.0,Turnover by C. Zeller (offensive foul),,80-93,,
1:35.0,,,80-93,,J. Redick misses 2-pt shot from 1 ft (block by J. Lamb)
1:34.0,Defensive rebound by C. Zeller,,80-93,,
