time,Denver,pts.away,score,pts.home,Brooklyn
3:37.0,G. Harris makes 2-pt shot from 12 ft (assist by D. Gallinari),2,20-21,,
3:23.0,,,20-21,,Turnover by T. Young (lost ball)
3:06.0,D. Gallinari misses 2-pt shot from 2 ft,,20-21,,
3:05.0,,,20-21,,Defensive rebound by T. Young
2:48.0,,,20-21,,W. Ellington misses 3-pt shot from 24 ft
2:47.0,Defensive rebound by G. Harris,,20-21,,
2:26.0,J. Nurkic makes 2-pt shot from 3 ft (assist by D. Gallinari),2,22-21,,
2:20.0,,,22-21,,Brooklyn full timeout
2:05.0,,,22-24,3,D. Sloan makes 3-pt shot from 24 ft (assist by J. Johnson)
1:48.0,J. Nurkic misses 2-pt shot from 5 ft,,22-24,,
1:47.0,,,22-24,,Defensive rebound by T. Young
1:39.0,,,22-24,,W. Ellington misses 2-pt shot from 15 ft
1:38.0,Defensive rebound by W. Barton,,22-24,,
1:28.0,Turnover by W. Barton (lost ball; steal by J. Johnson),,22-24,,
1:23.0,,,22-24,,B. Bogdanovic enters the game for W. Ellington
1:14.0,,,22-24,,B. Bogdanovic misses 2-pt shot from 6 ft
1:13.0,,,22-24,,Offensive rebound by Team
1:05.0,,,22-24,,Turnover by J. Johnson (bad pass; steal by J. Nurkic)
0:47.0,W. Barton misses 3-pt shot from 25 ft,,22-24,,
0:45.0,,,22-24,,Defensive rebound by T. Young
0:34.0,,,22-24,,B. Lopez misses 2-pt shot from 5 ft
0:33.0,Defensive rebound by J. Nurkic,,22-24,,
0:28.0,R. Foye misses 2-pt shot from 2 ft (block by T. Young),,22-24,,
0:27.0,Offensive rebound by Team,,22-24,,
0:11.0,J. Nurkic misses 2-pt shot from 2 ft,,22-24,,
0:10.0,Offensive rebound by J. Nurkic,,22-24,,
0:09.0,J. Nurkic misses 2-pt shot from 1 ft,,22-24,,
0:08.0,,,22-24,,Defensive rebound by J. Johnson
0:04.0,Personal foul by W. Barton (drawn by J. Johnson),,22-24,,
0:00.0,,,22-26,2,B. Lopez makes 2-pt shot from 6 ft
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:45.0,E. Mudiay misses 2-pt shot from 2 ft,,22-26,,
11:44.0,,,22-26,,Defensive rebound by T. Robinson
11:39.0,Personal take foul by J. Nurkic (drawn by T. Young),,22-26,,
11:39.0,J. Lauvergne enters the game for J. Nurkic,,22-26,,
11:29.0,,,22-26,,T. Young misses 2-pt shot from 8 ft
11:28.0,,,22-26,,Offensive rebound by Team
11:28.0,Loose ball foul by J. Lauvergne (drawn by T. Robinson),,22-26,,
11:21.0,,,22-28,2,S. Larkin makes 2-pt shot from 2 ft (assist by T. Young)
10:58.0,W. Barton makes 2-pt shot from 14 ft,2,24-28,,
10:45.0,,,24-30,2,S. Larkin makes 2-pt shot from 21 ft
10:35.0,Turnover by J. Lauvergne (lost ball; steal by T. Robinson),,24-30,,
10:32.0,,,24-32,2,T. Robinson makes 2-pt shot at rim
10:13.0,,,24-32,,C. McCullough enters the game for T. Young
10:12.0,Offensive foul by M. Miller,,24-32,,
10:12.0,Turnover by M. Miller (offensive foul),,24-32,,
9:53.0,,,24-32,,Shooting foul by M. Miller (drawn by B. Bogdanovic)
9:53.0,,,24-34,2,B. Bogdanovic makes 2-pt shot from 2 ft
9:53.0,Denver full timeout,,24-34,,
9:53.0,,,24-35,1,B. Bogdanovic makes free throw 1 of 1
9:42.0,M. Miller misses 2-pt shot from 2 ft (block by C. McCullough),,24-35,,
9:40.0,,,24-35,,Defensive rebound by C. McCullough
9:40.0,Jump ball: C. McCullough vs. M. Miller (M. Brown gains possession),,,,Jump ball: C. McCullough vs. M. Miller (M. Brown gains possession)
9:25.0,,,24-35,,M. Brown misses 3-pt shot from 25 ft
9:24.0,,,24-35,,Offensive rebound by C. McCullough
9:08.0,,,24-35,,S. Larkin misses 3-pt shot from 25 ft
9:07.0,Defensive rebound by W. Barton,,24-35,,
8:59.0,W. Barton makes 2-pt shot from 2 ft,2,26-35,,
8:34.0,,,26-37,2,C. McCullough makes 2-pt shot from 19 ft (assist by T. Robinson)
8:20.0,R. Foye misses 3-pt shot from 24 ft,,26-37,,
8:19.0,Offensive rebound by J. Lauvergne,,26-37,,
8:14.0,M. Miller misses 3-pt shot from 27 ft,,26-37,,
8:13.0,,,26-37,,Defensive rebound by T. Robinson
8:08.0,,,26-37,,T. Robinson misses 2-pt shot from 4 ft
8:07.0,Defensive rebound by M. Miller,,26-37,,
7:44.0,J. Lauvergne makes 2-pt shot from 20 ft (assist by W. Barton),2,28-37,,
7:33.0,,,28-40,3,M. Brown makes 3-pt shot from 23 ft (assist by S. Larkin)
7:12.0,J. Lauvergne makes 2-pt shot at rim (assist by W. Barton),2,30-40,,
6:54.0,,,30-42,2,B. Bogdanovic makes 2-pt shot from 1 ft
6:36.0,R. Foye misses 3-pt shot from 22 ft,,30-42,,
6:35.0,,,30-42,,Defensive rebound by S. Larkin
6:28.0,,,30-44,2,M. Brown makes 2-pt shot from 2 ft (assist by S. Larkin)
6:15.0,W. Barton misses 3-pt shot from 24 ft,,30-44,,
6:14.0,,,30-44,,Defensive rebound by Team
6:14.0,K. Faried enters the game for J. Lauvergne,,30-44,,
6:14.0,D. Gallinari enters the game for W. Barton,,30-44,,
6:14.0,G. Harris enters the game for M. Miller,,30-44,,
5:59.0,,,30-44,,C. McCullough misses 2-pt shot from 5 ft
5:58.0,,,30-44,,Offensive rebound by T. Robinson
5:57.0,,,30-44,,T. Robinson misses 2-pt shot at rim
5:56.0,Defensive rebound by R. Foye,,30-44,,
5:52.0,K. Faried misses 2-pt shot at rim,,30-44,,
5:51.0,Offensive rebound by E. Mudiay,,30-44,,
5:44.0,Turnover by E. Mudiay (bad pass; steal by C. McCullough),,30-44,,
5:40.0,,,30-44,,Turnover by M. Brown (bad pass)
5:40.0,Official timeout,,30-44,,
5:31.0,K. Faried misses 2-pt shot from 1 ft,,30-44,,
5:30.0,,,30-44,,Defensive rebound by T. Robinson
5:26.0,,,30-46,2,B. Bogdanovic makes 2-pt shot from 1 ft (assist by S. Larkin)
5:03.0,D. Gallinari makes 2-pt shot from 14 ft,2,32-46,,
5:03.0,Shooting foul by C. McCullough (drawn by D. Gallinari),,32-46,,
5:03.0,D. Gallinari makes free throw 1 of 1,1,33-46,,
4:49.0,,,33-46,,B. Bogdanovic misses 2-pt shot from 8 ft
4:47.0,Defensive rebound by K. Faried,,33-46,,
4:38.0,E. Mudiay makes 2-pt shot from 5 ft (assist by R. Foye),2,35-46,,
4:26.0,,,35-46,,Turnover by S. Larkin (lost ball; steal by G. Harris)
4:26.0,,,35-46,,Personal foul by C. McCullough (drawn by E. Mudiay)
4:26.0,E. Mudiay makes free throw 1 of 2,1,36-46,,
4:26.0,,,36-46,,T. Young enters the game for C. McCullough
4:26.0,E. Mudiay misses free throw 2 of 2,,36-46,,
4:25.0,,,36-46,,Defensive rebound by T. Robinson
4:12.0,,,36-46,,T. Young misses 2-pt shot from 4 ft
4:10.0,,,36-46,,Offensive rebound by T. Robinson
4:08.0,,,36-46,,T. Robinson misses 2-pt shot from 2 ft
4:07.0,Defensive rebound by K. Faried,,36-46,,
4:01.0,K. Faried makes 2-pt shot at rim (assist by E. Mudiay),2,38-46,,
3:57.0,Personal foul by R. Foye (drawn by S. Larkin),,38-46,,
3:57.0,Denver full timeout,,38-46,,
3:51.0,,,38-48,2,M. Brown makes 2-pt shot from 20 ft (assist by B. Bogdanovic)
3:35.0,Turnover by E. Mudiay (lost ball; steal by T. Young),,38-48,,
3:32.0,,,38-50,2,M. Brown makes 2-pt shot at rim (assist by T. Young)
3:16.0,K. Faried makes 2-pt shot from 2 ft (assist by D. Gallinari),2,40-50,,
2:59.0,Personal foul by R. Foye (drawn by M. Brown),,40-50,,
2:59.0,,,40-51,1,M. Brown makes free throw 1 of 2
2:59.0,,,40-52,1,M. Brown makes free throw 2 of 2
2:45.0,E. Mudiay makes 2-pt shot from 9 ft,2,42-52,,
2:26.0,,,42-52,,Turnover by T. Young (lost ball; steal by D. Gallinari)
2:24.0,,,42-52,,Personal foul by M. Brown (drawn by D. Gallinari)
2:14.0,D. Gallinari misses 2-pt shot from 18 ft,,42-52,,
2:13.0,,,42-52,,Defensive rebound by T. Robinson
2:04.0,,,42-52,,S. Larkin misses 2-pt shot from 16 ft
2:03.0,Defensive rebound by G. Harris,,42-52,,
1:56.0,E. Mudiay misses 2-pt shot from 2 ft,,42-52,,
1:55.0,Offensive rebound by K. Faried,,42-52,,
1:54.0,K. Faried makes 2-pt shot at rim,2,44-52,,
1:52.0,,,44-52,,Brooklyn full timeout
1:52.0,,,44-52,,D. Sloan enters the game for S. Larkin
1:52.0,,,44-52,,B. Lopez enters the game for T. Robinson
1:31.0,,,44-52,,M. Brown misses 2-pt shot from 21 ft
1:30.0,,,44-52,,Offensive rebound by B. Lopez
1:29.0,,,44-52,,B. Lopez misses 2-pt shot at rim
1:28.0,,,44-52,,Offensive rebound by M. Brown
1:27.0,,,44-52,,Shooting foul by R. Foye (drawn by M. Brown)
1:27.0,,,44-53,1,M. Brown makes free throw 1 of 2
1:27.0,J. Nurkic enters the game for R. Foye,,44-53,,
1:27.0,,,44-54,1,M. Brown makes free throw 2 of 2
1:17.0,Turnover by E. Mudiay (bad pass),,44-54,,
0:59.0,,,44-54,,B. Bogdanovic misses 3-pt shot from 29 ft
0:58.0,Defensive rebound by D. Gallinari,,44-54,,
0:47.0,K. Faried makes 2-pt shot from 2 ft (assist by J. Nurkic),2,46-54,,
0:29.0,,,46-54,,Shooting foul by E. Mudiay (drawn by M. Brown)
0:29.0,,,46-55,1,M. Brown makes free throw 1 of 2
0:29.0,,,46-55,,M. Brown misses free throw 2 of 2
0:28.0,Defensive rebound by Team,,46-55,,
0:06.0,G. Harris makes 3-pt shot from 27 ft (assist by E. Mudiay),3,49-55,,
0:03.0,,,49-55,,D. Sloan misses 3-pt shot from 25 ft
0:01.0,Defensive rebound by G. Harris,,49-55,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:44.0,E. Mudiay makes 2-pt shot from 18 ft,2,51-55,,
11:29.0,,,51-55,,T. Young misses 2-pt shot from 1 ft
11:28.0,Defensive rebound by E. Mudiay,,51-55,,
11:24.0,Turnover by G. Harris (bad pass),,51-55,,
11:12.0,Personal foul by G. Harris (drawn by B. Lopez),,51-55,,
11:12.0,,,51-56,1,B. Lopez makes free throw 1 of 2
11:12.0,D. Gallinari enters the game for R. Foye,,51-56,,
11:12.0,,,51-57,1,B. Lopez makes free throw 2 of 2
11:01.0,E. Mudiay misses 2-pt shot from 1 ft,,51-57,,
11:00.0,Offensive rebound by K. Faried,,51-57,,
10:59.0,K. Faried misses 2-pt shot from 1 ft,,51-57,,
10:58.0,Offensive rebound by K. Faried,,51-57,,
10:57.0,K. Faried makes 2-pt shot from 1 ft,2,53-57,,
10:32.0,,,53-57,,J. Johnson misses 2-pt shot from 16 ft
10:31.0,Defensive rebound by N. Jokic,,53-57,,
10:19.0,N. Jokic misses 2-pt shot from 18 ft,,53-57,,
10:18.0,,,53-57,,Defensive rebound by T. Young
9:55.0,,,53-59,2,D. Sloan makes 2-pt shot from 2 ft
9:30.0,N. Jokic misses 2-pt shot from 3 ft,,53-59,,
9:29.0,,,53-59,,Defensive rebound by T. Young
9:09.0,,,53-61,2,T. Young makes 2-pt shot from 5 ft
8:55.0,G. Harris makes 2-pt shot from 14 ft,2,55-61,,
8:37.0,,,55-61,,B. Lopez misses 2-pt shot at rim (block by K. Faried)
8:35.0,Defensive rebound by K. Faried,,55-61,,
8:30.0,Turnover by E. Mudiay (bad pass),,55-61,,
8:17.0,,,55-61,,B. Lopez misses 2-pt shot from 20 ft
8:16.0,Defensive rebound by E. Mudiay,,55-61,,
8:06.0,K. Faried makes 2-pt shot from 1 ft (assist by E. Mudiay),2,57-61,,
8:04.0,,,57-61,,Brooklyn full timeout
7:47.0,,,57-64,3,W. Ellington makes 3-pt shot from 24 ft (assist by J. Johnson)
7:30.0,D. Gallinari makes 3-pt shot from 23 ft (assist by K. Faried),3,60-64,,
7:06.0,,,60-64,,Turnover by J. Johnson (bad pass; steal by N. Jokic)
7:01.0,K. Faried makes 2-pt shot at rim (assist by E. Mudiay),2,62-64,,
6:45.0,,,62-64,,D. Sloan misses 2-pt shot from 16 ft
6:44.0,Defensive rebound by E. Mudiay,,62-64,,
6:34.0,N. Jokic misses 3-pt shot from 25 ft,,62-64,,
6:33.0,,,62-64,,Defensive rebound by W. Ellington
6:17.0,,,62-64,,B. Bogdanovic enters the game for W. Ellington
6:13.0,,,62-64,,Offensive foul by B. Lopez
6:13.0,,,62-64,,Turnover by B. Lopez (offensive foul)
5:51.0,D. Gallinari misses 2-pt shot from 20 ft,,62-64,,
5:49.0,Offensive rebound by K. Faried,,62-64,,
5:48.0,K. Faried makes 2-pt shot from 1 ft,2,64-64,,
5:25.0,,,64-67,3,J. Johnson makes 3-pt shot from 27 ft (assist by B. Bogdanovic)
5:12.0,G. Harris misses 3-pt shot from 25 ft,,64-67,,
5:10.0,,,64-67,,Defensive rebound by B. Lopez
5:04.0,,,64-67,,Shooting foul by N. Jokic (drawn by T. Young)
5:04.0,,,64-68,1,T. Young makes free throw 1 of 2
5:04.0,,,64-69,1,T. Young makes free throw 2 of 2
4:52.0,D. Gallinari makes 3-pt shot from 26 ft (assist by E. Mudiay),3,67-69,,
4:34.0,,,67-69,,T. Young misses 2-pt shot from 9 ft
4:33.0,Defensive rebound by N. Jokic,,67-69,,
4:27.0,E. Mudiay misses 2-pt shot from 1 ft,,67-69,,
4:26.0,Offensive rebound by N. Jokic,,67-69,,
4:24.0,N. Jokic misses 2-pt shot from 1 ft,,67-69,,
4:23.0,,,67-69,,Defensive rebound by J. Johnson
4:18.0,,,67-72,3,B. Bogdanovic makes 3-pt shot from 23 ft (assist by J. Johnson)
4:03.0,Turnover by D. Gallinari (lost ball; steal by J. Johnson),,67-72,,
3:59.0,,,67-74,2,T. Young makes 2-pt shot at rim (assist by J. Johnson)
3:59.0,Denver full timeout,,67-74,,
3:59.0,J. Nurkic enters the game for N. Jokic,,67-74,,
3:48.0,J. Nurkic misses 2-pt shot from 14 ft (block by T. Young),,67-74,,
3:47.0,Jump ball: J. Nurkic vs. T. Young (K. Faried gains possession),,,,Jump ball: J. Nurkic vs. T. Young (K. Faried gains possession)
3:47.0,Offensive rebound by Team,,67-74,,
3:33.0,Shooting foul by T. Young (drawn by D. Gallinari),,67-74,,
3:33.0,D. Gallinari makes free throw 1 of 2,1,68-74,,
3:33.0,D. Gallinari makes free throw 2 of 2,1,69-74,,
3:11.0,,,69-76,2,D. Sloan makes 2-pt shot from 18 ft
2:58.0,J. Nurkic makes 2-pt shot at rim (assist by D. Gallinari),2,71-76,,
2:42.0,,,71-76,,D. Sloan misses 2-pt shot from 20 ft
2:41.0,Defensive rebound by J. Nurkic,,71-76,,
2:38.0,Shooting foul by T. Young (drawn by K. Faried),,71-76,,
2:38.0,K. Faried makes free throw 1 of 2,1,72-76,,
2:38.0,W. Barton enters the game for G. Harris,,72-76,,
2:38.0,K. Faried makes free throw 2 of 2,1,73-76,,
2:16.0,,,73-76,,Turnover by B. Lopez (bad pass; steal by D. Gallinari)
2:11.0,E. Mudiay misses 3-pt shot from 24 ft,,73-76,,
2:10.0,,,73-76,,Defensive rebound by T. Young
1:51.0,,,73-76,,J. Johnson misses 3-pt shot from 27 ft
1:50.0,Defensive rebound by D. Gallinari,,73-76,,
1:44.0,Offensive foul by J. Nurkic,,73-76,,
1:44.0,Turnover by J. Nurkic (offensive foul),,73-76,,
1:44.0,,,73-76,,Brooklyn full timeout
1:44.0,R. Foye enters the game for K. Faried,,73-76,,
1:32.0,,,73-78,2,B. Lopez makes 2-pt shot from 3 ft (assist by J. Johnson)
1:12.0,J. Nurkic misses 2-pt shot from 2 ft (block by T. Young),,73-78,,
1:10.0,Offensive rebound by Team,,73-78,,
1:10.0,,,73-78,,Loose ball foul by D. Sloan (drawn by J. Nurkic)
0:58.0,D. Gallinari makes 2-pt shot from 1 ft,2,75-78,,
0:39.0,,,75-78,,T. Young misses 2-pt shot from 1 ft (block by W. Barton)
0:38.0,,,75-78,,Offensive rebound by B. Lopez
0:37.0,,,75-78,,Shooting foul by D. Gallinari (drawn by B. Lopez)
0:37.0,,,75-79,1,B. Lopez makes free throw 1 of 2
0:37.0,,,75-79,,B. Lopez misses free throw 2 of 2
0:36.0,Defensive rebound by J. Nurkic,,75-79,,
0:21.0,R. Foye makes 3-pt shot from 23 ft (assist by E. Mudiay),3,78-79,,
0:02.0,,,78-81,2,J. Johnson makes 2-pt shot from 18 ft
0:00.0,R. Foye misses 3-pt shot from 69 ft,,78-81,,
0:00.0,Offensive rebound by Team,,78-81,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:42.0,,,78-83,2,T. Young makes 2-pt shot from 3 ft
11:24.0,D. Gallinari misses 3-pt shot from 25 ft,,78-83,,
11:23.0,Offensive rebound by J. Nurkic,,78-83,,
11:22.0,J. Nurkic makes 2-pt shot from 3 ft,2,80-83,,
11:02.0,,,80-83,,Turnover by T. Young (bad pass; steal by G. Harris)
10:49.0,R. Foye misses 2-pt shot from 19 ft,,80-83,,
10:48.0,,,80-83,,Defensive rebound by T. Robinson
10:36.0,,,80-83,,Turnover by T. Robinson (bad pass)
10:36.0,,,80-83,,C. McCullough enters the game for T. Young
10:21.0,R. Foye makes 2-pt shot from 3 ft,2,82-83,,
9:55.0,,,82-83,,M. Brown misses 2-pt shot from 18 ft
9:54.0,,,82-83,,Offensive rebound by T. Robinson
9:41.0,,,82-86,3,M. Brown makes 3-pt shot from 23 ft (assist by S. Larkin)
9:31.0,R. Foye makes 3-pt shot from 24 ft,3,85-86,,
9:14.0,,,85-88,2,M. Brown makes 2-pt shot from 1 ft
9:02.0,Shooting foul by C. McCullough (drawn by D. Gallinari),,85-88,,
9:02.0,D. Gallinari misses free throw 1 of 2,,85-88,,
9:02.0,Offensive rebound by Team,,85-88,,
9:02.0,D. Gallinari makes free throw 2 of 2,1,86-88,,
8:43.0,,,86-90,2,B. Bogdanovic makes 2-pt shot from 16 ft
8:43.0,Denver full timeout,,86-90,,
8:43.0,,,86-90,,W. Ellington enters the game for B. Bogdanovic
8:19.0,G. Harris makes 2-pt shot from 11 ft,2,88-90,,
8:06.0,,,88-92,2,S. Larkin makes 2-pt shot from 2 ft
7:53.0,R. Foye misses 2-pt shot from 1 ft (block by T. Robinson),,88-92,,
7:52.0,Offensive rebound by Team,,88-92,,
7:41.0,R. Foye makes 3-pt shot from 26 ft (assist by G. Harris),3,91-92,,
7:21.0,,,91-95,3,S. Larkin makes 3-pt shot from 26 ft
6:55.0,R. Foye misses 3-pt shot from 23 ft,,91-95,,
6:54.0,,,91-95,,Defensive rebound by T. Robinson
6:45.0,,,91-95,,Turnover by S. Larkin (bad pass; steal by J. Nurkic)
6:37.0,J. Nurkic misses 2-pt shot from 1 ft,,91-95,,
6:36.0,Offensive rebound by D. Gallinari,,91-95,,
6:35.0,D. Gallinari misses 2-pt shot from 3 ft,,91-95,,
6:34.0,,,91-95,,Defensive rebound by W. Ellington
6:29.0,,,91-95,,Turnover by C. McCullough (step out of bounds)
6:29.0,K. Faried enters the game for J. Nurkic,,91-95,,
6:11.0,W. Barton makes 3-pt shot from 23 ft (assist by R. Foye),3,94-95,,
5:56.0,,,94-95,,S. Larkin misses 2-pt shot from 19 ft
5:55.0,Defensive rebound by R. Foye,,94-95,,
5:52.0,Turnover by R. Foye (bad pass; steal by S. Larkin),,94-95,,
5:48.0,,,94-95,,C. McCullough misses 2-pt shot from 2 ft
5:47.0,,,94-95,,Offensive rebound by T. Robinson
5:46.0,,,94-95,,T. Robinson misses 2-pt shot at rim
5:45.0,Defensive rebound by K. Faried,,94-95,,
5:34.0,Shooting foul by S. Larkin (drawn by D. Gallinari),,94-95,,
5:34.0,Official timeout,,94-95,,
5:34.0,,,94-95,,J. Johnson enters the game for W. Ellington
5:34.0,,,94-95,,B. Lopez enters the game for T. Robinson
5:34.0,,,94-95,,T. Young enters the game for C. McCullough
5:34.0,E. Mudiay enters the game for W. Barton,,94-95,,
5:34.0,D. Gallinari makes free throw 1 of 2,1,95-95,,
5:34.0,D. Gallinari makes free throw 2 of 2,1,96-95,,
5:10.0,,,96-95,,J. Johnson misses 3-pt shot from 24 ft
5:09.0,Defensive rebound by K. Faried,,96-95,,
4:58.0,K. Faried misses 2-pt shot from 1 ft (block by B. Lopez),,96-95,,
4:56.0,,,96-95,,Defensive rebound by S. Larkin
4:49.0,,,96-95,,M. Brown misses 3-pt shot from 23 ft
4:48.0,Defensive rebound by E. Mudiay,,96-95,,
4:26.0,K. Faried makes 2-pt shot from 6 ft,2,98-95,,
4:04.0,,,98-97,2,J. Johnson makes 2-pt shot from 5 ft
3:44.0,E. Mudiay misses 2-pt shot from 17 ft,,98-97,,
3:43.0,,,98-97,,Defensive rebound by M. Brown
3:25.0,,,98-97,,J. Johnson misses 2-pt shot from 15 ft
3:24.0,Defensive rebound by K. Faried,,98-97,,
3:03.0,D. Gallinari misses 2-pt shot from 20 ft,,98-97,,
3:02.0,,,98-97,,Defensive rebound by M. Brown
2:51.0,,,98-99,2,B. Lopez makes 2-pt shot from 19 ft (assist by M. Brown)
2:35.0,G. Harris makes 2-pt shot from 2 ft (assist by D. Gallinari),2,100-99,,
2:34.0,,,100-99,,Brooklyn full timeout
2:24.0,,,100-99,,Shooting foul by K. Faried (drawn by B. Lopez)
2:24.0,,,100-100,1,B. Lopez makes free throw 1 of 2
2:24.0,,,100-100,,B. Lopez misses free throw 2 of 2
2:22.0,Defensive rebound by R. Foye,,100-100,,
2:06.0,D. Gallinari makes 2-pt shot from 2 ft,2,102-100,,
2:00.0,Personal foul by K. Faried (drawn by T. Young),,102-100,,
1:55.0,,,102-100,,Turnover by S. Larkin (bad pass; steal by E. Mudiay)
1:35.0,D. Gallinari misses 3-pt shot from 24 ft,,102-100,,
1:34.0,,,102-100,,Defensive rebound by M. Brown
1:22.0,,,102-102,2,B. Lopez makes 2-pt shot from 2 ft (assist by J. Johnson)
1:22.0,Denver full timeout,,102-102,,
0:58.0,D. Gallinari misses 3-pt shot from 26 ft,,102-102,,
0:57.0,,,102-102,,Defensive rebound by S. Larkin
0:43.0,,,102-102,,Turnover by M. Brown (bad pass; steal by G. Harris)
0:26.0,G. Harris misses 3-pt shot from 25 ft,,102-102,,
0:22.0,Offensive rebound by K. Faried,,102-102,,
0:22.0,Jump ball: K. Faried vs. B. Lopez (D. Gallinari gains possession),,,,Jump ball: K. Faried vs. B. Lopez (D. Gallinari gains possession)
0:20.0,Denver full timeout,,102-102,,
0:05.0,,,102-102,,Personal foul by S. Larkin (drawn by E. Mudiay)
0:05.0,,,102-102,,T. Robinson enters the game for B. Lopez
0:01.0,K. Faried makes 2-pt shot from 5 ft (assist by E. Mudiay),2,104-102,,
0:01.0,,,104-102,,Brooklyn full timeout
0:01.0,,,104-102,,Brooklyn full timeout
0:01.0,,,104-102,,B. Lopez enters the game for T. Robinson
0:01.0,N. Jokic enters the game for E. Mudiay,,104-102,,
0:00.0,,,104-105,3,J. Johnson makes 3-pt shot from 27 ft (assist by M. Brown)
0:00.0,End of 4th quarter,,,,End of 4th quarter
