time,Utah,pts.away,score,pts.home,New Orleans
2:22.0,Personal foul by T. Booker (drawn by J. Holiday),,21-14,,
2:08.0,,,21-14,,R. Anderson misses 2-pt shot from 11 ft
2:07.0,Defensive rebound by J. Ingles,,21-14,,
1:51.0,G. Hayward misses 2-pt shot from 3 ft,,21-14,,
1:51.0,Offensive rebound by R. Gobert,,21-14,,
1:45.0,R. Neto makes 2-pt shot from 22 ft (assist by R. Gobert),2,23-14,,
1:34.0,,,23-17,3,T. Douglas makes 3-pt shot from 24 ft (assist by A. Gee)
1:13.0,T. Booker makes 2-pt shot from 12 ft (assist by J. Ingles),2,25-17,,
1:03.0,,,25-17,,R. Anderson misses 3-pt shot from 24 ft
1:02.0,Defensive rebound by R. Gobert,,25-17,,
0:55.0,G. Hayward makes 2-pt shot from 8 ft,2,27-17,,
0:37.0,,,27-20,3,T. Douglas makes 3-pt shot from 24 ft (assist by R. Anderson)
0:15.0,Shooting foul by A. Gee (drawn by T. Booker),,27-20,,
0:15.0,T. Booker makes free throw 1 of 2,1,28-20,,
0:15.0,R. Hood enters the game for G. Hayward,,28-20,,
0:15.0,,,28-20,,N. Cole enters the game for A. Gee
0:15.0,T. Booker makes free throw 2 of 2,1,29-20,,
0:08.0,Personal foul by R. Neto (drawn by N. Cole),,29-20,,
0:00.0,,,29-20,,A. Davis misses 2-pt shot from 3 ft (block by R. Gobert)
0:00.0,,,29-20,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:38.0,R. Hood misses 3-pt shot from 24 ft,,29-20,,
11:37.0,,,29-20,,Defensive rebound by K. Perkins
11:28.0,,,29-20,,J. Holiday misses 2-pt shot from 8 ft
11:27.0,Defensive rebound by D. Favors,,29-20,,
11:12.0,J. Ingles makes 3-pt shot from 26 ft (assist by T. Booker),3,32-20,,
11:11.0,,,32-20,,New Orleans full timeout
10:59.0,,,32-20,,T. Douglas misses 2-pt shot from 19 ft
10:58.0,Defensive rebound by D. Favors,,32-20,,
10:33.0,R. Hood makes 2-pt shot from 9 ft,2,34-20,,
10:18.0,,,34-23,3,J. Holiday makes 3-pt shot from 25 ft
10:09.0,Turnover by J. Ingles (traveling),,34-23,,
9:57.0,,,34-23,,R. Anderson misses 2-pt shot from 3 ft (block by D. Favors)
9:57.0,Defensive rebound by Team,,34-23,,
9:36.0,Shooting foul by K. Perkins (drawn by D. Favors),,34-23,,
9:36.0,D. Favors makes free throw 1 of 2,1,35-23,,
9:36.0,T. Lyles enters the game for J. Ingles,,35-23,,
9:36.0,C. Johnson enters the game for T. Booker,,35-23,,
9:36.0,D. Favors makes free throw 2 of 2,1,36-23,,
9:24.0,,,36-23,,T. Douglas misses 2-pt shot from 3 ft (block by D. Favors)
9:23.0,Defensive rebound by D. Favors,,36-23,,
9:18.0,Turnover by S. Mack (bad pass; steal by J. Holiday),,36-23,,
9:14.0,,,36-23,,T. Douglas misses 2-pt shot from 2 ft (block by C. Johnson)
9:13.0,,,36-23,,Offensive rebound by A. Gee
9:12.0,,,36-25,2,A. Gee makes 2-pt shot at rim
8:49.0,D. Favors misses 2-pt shot from 11 ft,,36-25,,
8:48.0,,,36-25,,Defensive rebound by A. Gee
8:41.0,,,36-27,2,A. Gee makes 2-pt shot from 8 ft (assist by R. Anderson)
8:41.0,,,36-27,,Shooting foul by R. Hood (drawn by A. Gee)
8:41.0,,,36-27,,A. Gee misses free throw 1 of 1
8:40.0,Defensive rebound by S. Mack,,36-27,,
8:18.0,R. Hood misses 3-pt shot from 25 ft,,36-27,,
8:18.0,,,36-27,,Defensive rebound by K. Perkins
8:02.0,,,36-27,,Turnover by J. Holiday (lost ball; steal by R. Hood)
7:57.0,S. Mack makes 2-pt shot from 3 ft (assist by R. Hood),2,38-27,,
7:45.0,,,38-29,2,J. Holiday makes 2-pt shot from 8 ft
7:37.0,,,38-29,,Personal foul by J. Holiday (drawn by T. Lyles)
7:37.0,,,38-29,,E. Gordon enters the game for T. Douglas
7:26.0,C. Johnson makes 3-pt shot from 24 ft (assist by D. Favors),3,41-29,,
7:11.0,,,41-31,2,K. Perkins makes 2-pt shot from 2 ft (assist by E. Gordon)
6:55.0,,,41-31,,A. Davis enters the game for K. Perkins
6:55.0,R. Gobert enters the game for D. Favors,,41-31,,
6:48.0,R. Hood misses 3-pt shot from 25 ft,,41-31,,
6:46.0,,,41-31,,Defensive rebound by R. Anderson
6:37.0,,,41-31,,A. Davis misses 2-pt shot from 3 ft (block by C. Johnson)
6:37.0,,,41-31,,Offensive rebound by Team
6:37.0,G. Hayward enters the game for R. Hood,,41-31,,
6:37.0,R. Neto enters the game for S. Mack,,41-31,,
6:24.0,,,41-34,3,E. Gordon makes 3-pt shot from 26 ft (assist by A. Davis)
6:11.0,R. Neto misses 2-pt shot from 4 ft (block by E. Gordon),,41-34,,
6:11.0,,,41-34,,Defensive rebound by Team
5:55.0,,,41-34,,A. Davis misses 2-pt shot from 9 ft
5:54.0,Defensive rebound by C. Johnson,,41-34,,
5:35.0,Shooting foul by A. Gee (drawn by T. Lyles),,41-34,,
5:35.0,Official timeout,,41-34,,
5:35.0,T. Lyles makes free throw 1 of 2,1,42-34,,
5:35.0,T. Lyles makes free throw 2 of 2,1,43-34,,
5:24.0,,,43-34,,J. Holiday misses 2-pt shot from 10 ft
5:23.0,Defensive rebound by R. Neto,,43-34,,
5:16.0,Turnover by T. Lyles (traveling),,43-34,,
5:03.0,,,43-34,,A. Davis misses 2-pt shot at rim
5:02.0,,,43-34,,Offensive rebound by A. Davis
5:02.0,,,43-34,,A. Davis misses 2-pt shot at rim
5:01.0,Defensive rebound by R. Gobert,,43-34,,
4:41.0,T. Lyles misses 2-pt shot from 10 ft,,43-34,,
4:40.0,,,43-34,,Defensive rebound by A. Davis
4:32.0,,,43-37,3,R. Anderson makes 3-pt shot from 25 ft (assist by A. Gee)
4:15.0,G. Hayward misses 3-pt shot from 24 ft,,43-37,,
4:14.0,,,43-37,,Defensive rebound by A. Davis
4:06.0,,,43-37,,A. Davis misses 2-pt shot from 22 ft
4:05.0,,,43-37,,Offensive rebound by Team
4:05.0,S. Mack enters the game for R. Neto,,43-37,,
4:05.0,R. Hood enters the game for C. Johnson,,43-37,,
4:05.0,,,43-37,,D. Cunningham enters the game for E. Gordon
4:05.0,,,43-37,,N. Cole enters the game for A. Gee
3:49.0,,,43-37,,R. Anderson misses 3-pt shot from 24 ft
3:49.0,Defensive rebound by R. Hood,,43-37,,
3:37.0,Turnover by R. Gobert (lost ball; steal by J. Holiday),,43-37,,
3:28.0,,,43-39,2,J. Holiday makes 2-pt shot from 3 ft (assist by D. Cunningham)
3:25.0,Utah full timeout,,43-39,,
3:25.0,D. Favors enters the game for T. Lyles,,43-39,,
3:09.0,Turnover by R. Hood (bad pass),,43-39,,
2:51.0,,,43-39,,A. Davis misses 2-pt shot from 14 ft
2:50.0,Defensive rebound by G. Hayward,,43-39,,
2:42.0,Turnover by G. Hayward (bad pass; steal by R. Anderson),,43-39,,
2:34.0,,,43-39,,N. Cole misses 2-pt shot from 9 ft
2:33.0,Defensive rebound by S. Mack,,43-39,,
2:19.0,G. Hayward makes 3-pt shot from 25 ft (assist by S. Mack),3,46-39,,
2:07.0,,,46-39,,J. Holiday misses 2-pt shot from 3 ft
2:06.0,Defensive rebound by R. Hood,,46-39,,
1:48.0,D. Favors makes 2-pt shot from 6 ft,2,48-39,,
1:34.0,,,48-39,,J. Holiday misses 2-pt shot from 11 ft
1:31.0,Defensive rebound by R. Hood,,48-39,,
1:27.0,,,48-39,,Personal block foul by J. Holiday (drawn by G. Hayward)
1:27.0,,,48-39,,O. Asik enters the game for R. Anderson
1:13.0,Turnover by R. Hood (bad pass; steal by A. Davis),,48-39,,
1:11.0,,,48-41,2,A. Davis makes 2-pt shot from 2 ft
1:11.0,,,48-41,,Shooting foul by R. Hood (drawn by A. Davis)
1:11.0,,,48-41,,T. Douglas enters the game for J. Holiday
1:11.0,J. Ingles enters the game for R. Hood,,48-41,,
1:11.0,,,48-41,,A. Davis misses free throw 1 of 1
1:10.0,,,48-41,,Offensive rebound by O. Asik
1:05.0,,,48-41,,O. Asik misses 2-pt shot from 2 ft
1:03.0,Defensive rebound by D. Favors,,48-41,,
0:53.0,D. Favors makes 2-pt shot from 2 ft (assist by S. Mack),2,50-41,,
0:53.0,Shooting foul by A. Davis (drawn by D. Favors),,50-41,,
0:53.0,,,50-41,,R. Anderson enters the game for A. Davis
0:53.0,D. Favors makes free throw 1 of 1,1,51-41,,
0:41.0,,,51-43,2,R. Anderson makes 2-pt shot from 9 ft (assist by N. Cole)
0:31.0,S. Mack misses 2-pt shot from 15 ft,,51-43,,
0:28.0,Offensive rebound by R. Gobert,,51-43,,
0:25.0,Turnover by R. Gobert (back court),,51-43,,
0:09.0,,,51-45,2,N. Cole makes 2-pt shot from 7 ft
0:00.0,S. Mack misses 2-pt shot from 21 ft,,51-45,,
0:00.0,Offensive rebound by Team,,51-45,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:45.0,R. Gobert makes 2-pt shot at rim (assist by D. Favors),2,53-45,,
11:28.0,,,53-47,2,O. Asik makes 2-pt shot from 2 ft (assist by J. Holiday)
11:13.0,Turnover by D. Favors (bad pass; steal by D. Cunningham),,53-47,,
11:13.0,Loose ball foul by G. Hayward (drawn by D. Cunningham),,53-47,,
11:00.0,,,53-49,2,A. Davis makes 2-pt shot from 19 ft (assist by J. Holiday)
10:36.0,D. Favors misses 2-pt shot from 2 ft,,53-49,,
10:36.0,,,53-49,,Defensive rebound by Team
10:21.0,,,53-49,,J. Holiday misses 2-pt shot from 14 ft
10:21.0,Defensive rebound by D. Favors,,53-49,,
10:08.0,G. Hayward makes 2-pt shot from 14 ft,2,55-49,,
9:58.0,,,55-49,,J. Holiday misses 3-pt shot from 25 ft
9:57.0,Defensive rebound by G. Hayward,,55-49,,
9:48.0,S. Mack makes 3-pt shot from 25 ft (assist by R. Hood),3,58-49,,
9:35.0,,,58-51,2,A. Davis makes 2-pt shot from 7 ft (assist by J. Holiday)
9:22.0,Turnover by D. Favors (offensive foul),,58-51,,
9:22.0,Offensive charge foul by D. Favors,,58-51,,
9:11.0,,,58-53,2,J. Holiday makes 2-pt shot from 3 ft
8:52.0,,,58-53,,Personal block foul by D. Cunningham (drawn by S. Mack)
8:38.0,S. Mack misses 3-pt shot from 25 ft,,58-53,,
8:38.0,Offensive rebound by Team,,58-53,,
8:38.0,Turnover by Team (shot clock),,58-53,,
8:26.0,,,58-53,,A. Davis misses 2-pt shot from 20 ft
8:25.0,Defensive rebound by R. Gobert,,58-53,,
8:23.0,,,58-53,,Personal foul by O. Asik (drawn by D. Favors)
8:11.0,S. Mack makes 2-pt shot from 4 ft,2,60-53,,
8:05.0,Violation by S. Mack (kicked ball),,60-53,,
7:57.0,,,60-55,2,A. Davis makes 2-pt shot from 7 ft (assist by J. Holiday)
7:45.0,Shooting foul by N. Cole (drawn by S. Mack),,60-55,,
7:45.0,S. Mack makes free throw 1 of 2,1,61-55,,
7:45.0,S. Mack makes free throw 2 of 2,1,62-55,,
7:32.0,,,62-55,,J. Holiday misses 2-pt shot from 4 ft
7:32.0,,,62-55,,Offensive rebound by Team
7:32.0,Loose ball foul by R. Hood (drawn by O. Asik),,62-55,,
7:27.0,Violation by R. Gobert (def goaltending),,62-55,,
7:27.0,,,62-57,2,J. Holiday makes 2-pt shot from 14 ft
7:15.0,Turnover by G. Hayward (bad pass),,62-57,,
7:15.0,J. Ingles enters the game for R. Hood,,62-57,,
7:03.0,,,62-59,2,N. Cole makes 2-pt shot from 18 ft
6:41.0,S. Mack misses 2-pt shot from 4 ft,,62-59,,
6:39.0,Offensive rebound by R. Gobert,,62-59,,
6:26.0,G. Hayward misses 2-pt shot from 14 ft,,62-59,,
6:26.0,,,62-59,,Defensive rebound by Team
6:14.0,,,62-59,,A. Davis misses 2-pt shot from 3 ft
6:13.0,,,62-59,,Offensive rebound by O. Asik
6:09.0,,,62-59,,Shooting foul by R. Gobert (drawn by O. Asik)
6:09.0,,,62-60,1,O. Asik makes free throw 1 of 2
6:09.0,T. Booker enters the game for D. Favors,,62-60,,
6:09.0,R. Neto enters the game for S. Mack,,62-60,,
6:09.0,,,62-61,1,O. Asik makes free throw 2 of 2
5:59.0,,,62-61,,Personal foul by N. Cole (drawn by R. Neto)
5:59.0,,,62-61,,New Orleans full timeout
5:50.0,G. Hayward makes 2-pt shot at rim,2,64-61,,
5:37.0,,,64-61,,A. Davis misses 2-pt shot from 14 ft
5:35.0,Defensive rebound by R. Gobert,,64-61,,
5:26.0,Shooting foul by N. Cole (drawn by R. Neto),,64-61,,
5:26.0,R. Neto makes free throw 1 of 2,1,65-61,,
5:26.0,,,65-61,,T. Douglas enters the game for N. Cole
5:26.0,R. Neto makes free throw 2 of 2,1,66-61,,
5:13.0,,,66-63,2,A. Davis makes 2-pt shot at rim (assist by J. Holiday)
4:59.0,,,66-63,,Personal foul by T. Douglas (drawn by R. Neto)
4:59.0,R. Neto makes free throw 1 of 2,1,67-63,,
4:59.0,R. Neto makes free throw 2 of 2,1,68-63,,
4:49.0,,,68-63,,J. Holiday misses 2-pt shot from 4 ft (block by R. Gobert)
4:49.0,,,68-63,,Offensive rebound by Team
4:44.0,,,68-65,2,A. Davis makes 2-pt shot from 16 ft (assist by D. Cunningham)
4:27.0,G. Hayward misses 2-pt shot from 15 ft,,68-65,,
4:26.0,,,68-65,,Defensive rebound by D. Cunningham
4:17.0,,,68-65,,J. Holiday misses 3-pt shot from 24 ft
4:17.0,Defensive rebound by T. Booker,,68-65,,
4:02.0,J. Ingles misses 3-pt shot from 25 ft,,68-65,,
4:01.0,,,68-65,,Defensive rebound by T. Douglas
3:45.0,,,68-67,2,A. Davis makes 2-pt shot at rim (assist by D. Cunningham)
3:22.0,J. Ingles misses 3-pt shot from 25 ft,,68-67,,
3:22.0,Offensive rebound by R. Gobert,,68-67,,
3:21.0,R. Gobert misses 2-pt shot at rim,,68-67,,
3:19.0,,,68-67,,Defensive rebound by J. Holiday
3:16.0,,,68-67,,Offensive charge foul by D. Cunningham
3:16.0,,,68-67,,Turnover by D. Cunningham (offensive foul)
3:16.0,D. Favors enters the game for R. Gobert,,68-67,,
3:00.0,D. Favors makes 2-pt shot from 3 ft (assist by G. Hayward),2,70-67,,
2:48.0,,,70-70,3,A. Davis makes 3-pt shot from 26 ft (assist by J. Holiday)
2:42.0,Utah full timeout,,70-70,,
2:42.0,,,70-70,,K. Perkins enters the game for O. Asik
2:42.0,,,70-70,,A. Gee enters the game for D. Cunningham
2:33.0,G. Hayward makes 2-pt shot from 8 ft,2,72-70,,
2:15.0,Personal foul by J. Ingles (drawn by A. Davis),,72-70,,
2:01.0,,,72-70,,A. Davis misses 2-pt shot from 9 ft
2:00.0,Defensive rebound by D. Favors,,72-70,,
1:40.0,D. Favors makes 2-pt shot from 15 ft (assist by J. Ingles),2,74-70,,
1:29.0,,,74-70,,K. Perkins misses 2-pt shot from 8 ft (block by D. Favors)
1:28.0,Defensive rebound by J. Ingles,,74-70,,
1:26.0,,,74-70,,Flagrant foul type 1 by T. Douglas (drawn by G. Hayward)
1:26.0,G. Hayward makes flagrant free throw 1 of 2,1,75-70,,
1:26.0,G. Hayward makes flagrant free throw 2 of 2,1,76-70,,
1:26.0,,,76-70,,R. Anderson enters the game for A. Davis
1:19.0,D. Favors makes 2-pt shot from 2 ft (assist by J. Ingles),2,78-70,,
0:55.0,,,78-70,,T. Douglas misses 2-pt shot from 13 ft (block by D. Favors)
0:54.0,Defensive rebound by T. Booker,,78-70,,
0:43.0,D. Favors makes 2-pt shot from 9 ft (assist by T. Booker),2,80-70,,
0:36.0,,,80-70,,J. Holiday misses 2-pt shot from 3 ft
0:35.0,Defensive rebound by D. Favors,,80-70,,
0:31.0,Shooting foul by J. Holiday (drawn by G. Hayward),,80-70,,
0:31.0,G. Hayward makes free throw 1 of 2,1,81-70,,
0:31.0,G. Hayward makes free throw 2 of 2,1,82-70,,
0:23.0,,,82-70,,Offensive foul by K. Perkins
0:23.0,,,82-70,,Turnover by K. Perkins (offensive foul)
0:04.0,T. Booker makes 2-pt shot at rim,2,84-70,,
0:03.0,,,84-70,,Turnover by J. Holiday (bad pass; steal by G. Hayward)
0:01.0,T. Booker misses 2-pt shot from 6 ft,,84-70,,
0:00.0,,,84-70,,Defensive rebound by K. Perkins
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:46.0,,,84-72,2,R. Anderson makes 2-pt shot from 6 ft (assist by J. Holiday)
11:21.0,D. Favors misses 2-pt shot from 16 ft,,84-72,,
11:20.0,,,84-72,,Defensive rebound by R. Anderson
11:03.0,,,84-74,2,R. Anderson makes 2-pt shot from 14 ft
10:42.0,T. Booker makes 2-pt shot from 2 ft (assist by J. Ingles),2,86-74,,
10:42.0,Shooting foul by A. Gee (drawn by T. Booker),,86-74,,
10:42.0,T. Booker makes free throw 1 of 1,1,87-74,,
10:32.0,,,87-76,2,J. Holiday makes 2-pt shot from 8 ft
10:12.0,T. Booker makes 2-pt shot at rim,2,89-76,,
9:57.0,,,89-79,3,T. Douglas makes 3-pt shot from 25 ft (assist by A. Gee)
9:40.0,D. Favors misses 2-pt shot from 2 ft,,89-79,,
9:39.0,,,89-79,,Defensive rebound by K. Perkins
9:21.0,,,89-79,,J. Holiday misses 2-pt shot from 20 ft
9:20.0,Defensive rebound by D. Favors,,89-79,,
9:11.0,D. Favors misses 2-pt shot from 12 ft,,89-79,,
9:10.0,Offensive rebound by T. Booker,,89-79,,
9:10.0,T. Booker misses 2-pt shot at rim,,89-79,,
9:09.0,,,89-79,,Defensive rebound by J. Holiday
8:49.0,,,89-79,,R. Anderson misses 3-pt shot from 26 ft
8:47.0,Defensive rebound by T. Booker,,89-79,,
8:29.0,J. Ingles makes 2-pt shot from 20 ft,2,91-79,,
8:22.0,Personal foul by S. Mack (drawn by J. Holiday),,91-79,,
8:22.0,Official timeout,,91-79,,
8:22.0,R. Gobert enters the game for T. Booker,,91-79,,
8:22.0,,,91-79,,N. Cole enters the game for J. Holiday
8:22.0,,,91-79,,D. Cunningham enters the game for A. Gee
8:05.0,,,91-79,,N. Cole misses 2-pt shot from 22 ft
8:05.0,,,91-79,,Offensive rebound by K. Perkins
8:05.0,Loose ball foul by S. Mack (drawn by K. Perkins),,91-79,,
7:51.0,,,91-79,,T. Douglas misses 3-pt shot from 26 ft
7:50.0,Defensive rebound by R. Gobert,,91-79,,
7:38.0,,,91-79,,Personal foul by T. Douglas (drawn by R. Hood)
7:29.0,D. Favors makes 2-pt shot from 4 ft (assist by R. Hood),2,93-79,,
7:28.0,Violation by Team (jump ball),,93-79,,
7:15.0,,,93-79,,R. Anderson misses 3-pt shot from 26 ft
7:14.0,Defensive rebound by S. Mack,,93-79,,
7:06.0,J. Ingles misses 3-pt shot from 26 ft,,93-79,,
7:05.0,Offensive rebound by D. Favors,,93-79,,
7:04.0,D. Favors makes 2-pt shot at rim,2,95-79,,
6:47.0,,,95-79,,Turnover by R. Anderson (offensive goaltending)
6:47.0,G. Hayward enters the game for R. Hood,,95-79,,
6:47.0,C. Johnson enters the game for J. Ingles,,95-79,,
6:47.0,,,95-79,,O. Asik enters the game for R. Anderson
6:47.0,,,95-79,,A. Davis enters the game for T. Douglas
6:47.0,,,95-79,,J. Holiday enters the game for K. Perkins
6:35.0,Shooting foul by O. Asik (drawn by D. Favors),,95-79,,
6:35.0,D. Favors makes free throw 1 of 2,1,96-79,,
6:35.0,D. Favors makes free throw 2 of 2,1,97-79,,
6:24.0,,,97-79,,A. Davis misses 2-pt shot from 13 ft (block by D. Favors)
6:22.0,Defensive rebound by R. Gobert,,97-79,,
6:05.0,,,97-79,,Personal foul by J. Holiday (drawn by R. Gobert)
5:57.0,D. Favors misses 2-pt shot from 13 ft,,97-79,,
5:56.0,,,97-79,,Defensive rebound by A. Davis
5:46.0,,,97-79,,Turnover by J. Holiday (bad pass; steal by S. Mack)
5:42.0,,,97-79,,New Orleans full timeout
5:42.0,T. Booker enters the game for D. Favors,,97-79,,
5:36.0,,,97-79,,Violation by O. Asik (kicked ball)
5:22.0,C. Johnson misses 2-pt shot from 10 ft,,97-79,,
5:21.0,,,97-79,,Defensive rebound by A. Davis
5:10.0,Personal foul by T. Booker (drawn by A. Davis),,97-79,,
5:10.0,R. Neto enters the game for S. Mack,,97-79,,
4:58.0,,,97-79,,N. Cole misses 2-pt shot from 19 ft
4:58.0,,,97-79,,Offensive rebound by Team
4:58.0,Loose ball foul by R. Neto (drawn by O. Asik),,97-79,,
4:58.0,R. Hood enters the game for C. Johnson,,97-79,,
4:49.0,,,97-81,2,J. Holiday makes 2-pt shot from 4 ft
4:49.0,,,97-81,,Shooting foul by T. Booker (drawn by J. Holiday)
4:49.0,,,97-82,1,J. Holiday makes free throw 1 of 1
4:36.0,R. Hood misses 3-pt shot from 26 ft,,97-82,,
4:36.0,,,97-82,,Defensive rebound by O. Asik
4:30.0,,,97-82,,D. Cunningham misses 2-pt shot at rim
4:29.0,Defensive rebound by T. Booker,,97-82,,
4:20.0,G. Hayward misses 3-pt shot from 23 ft,,97-82,,
4:19.0,Offensive rebound by T. Booker,,97-82,,
4:09.0,G. Hayward misses 3-pt shot from 25 ft,,97-82,,
4:08.0,Offensive rebound by R. Hood,,97-82,,
3:54.0,R. Hood misses 2-pt shot from 10 ft,,97-82,,
3:54.0,,,97-82,,Defensive rebound by O. Asik
3:45.0,Personal foul by R. Hood (drawn by A. Davis),,97-82,,
3:45.0,,,97-83,1,A. Davis makes free throw 1 of 2
3:45.0,S. Mack enters the game for R. Neto,,97-83,,
3:45.0,D. Favors enters the game for T. Booker,,97-83,,
3:45.0,,,97-84,1,A. Davis makes free throw 2 of 2
3:34.0,Turnover by R. Gobert (bad pass; steal by N. Cole),,97-84,,
3:30.0,,,97-84,,N. Cole misses 2-pt shot from 2 ft
3:29.0,,,97-84,,Offensive rebound by A. Davis
3:29.0,,,97-84,,A. Davis misses 2-pt shot at rim
3:28.0,Defensive rebound by R. Gobert,,97-84,,
3:09.0,G. Hayward misses 3-pt shot from 25 ft,,97-84,,
3:08.0,,,97-84,,Defensive rebound by N. Cole
2:59.0,,,97-84,,Shooting foul by R. Hood (drawn by A. Davis)
2:59.0,Utah full timeout,,97-84,,
2:59.0,,,97-85,1,A. Davis makes free throw 1 of 2
2:59.0,,,97-86,1,A. Davis makes free throw 2 of 2
2:47.0,,,97-86,,Personal foul by D. Cunningham (drawn by G. Hayward)
