time,Cleveland,pts.away,score,pts.home,Chicago
8:26.0,K. Love misses 2-pt shot from 1 ft,,10-4,,
8:25.0,,,10-4,,Defensive rebound by Team
8:14.0,,,10-6,2,J. Butler makes 2-pt shot at rim (assist by N. Mirotic)
7:57.0,L. James makes 2-pt shot from 2 ft (assist by K. Love),2,12-6,,
7:48.0,,,12-6,,D. Rose misses 2-pt shot from 2 ft (block by M. Williams)
7:48.0,,,12-6,,Offensive rebound by Team
7:38.0,,,12-6,,D. Rose misses 3-pt shot from 23 ft
7:37.0,Defensive rebound by L. James,,12-6,,
7:24.0,Turnover by T. Mozgov (lost ball; steal by J. Butler),,12-6,,
7:19.0,,,12-6,,J. Butler misses 2-pt shot from 2 ft
7:18.0,Defensive rebound by L. James,,12-6,,
7:10.0,M. Williams misses 3-pt shot from 25 ft,,12-6,,
7:09.0,Offensive rebound by J. Smith,,12-6,,
7:01.0,R. Jefferson enters the game for L. James,,12-6,,
7:01.0,,,12-6,,A. Brooks enters the game for D. Rose
6:47.0,J. Smith misses 3-pt shot from 26 ft,,12-6,,
6:46.0,,,12-6,,Defensive rebound by J. Butler
6:36.0,,,12-9,3,N. Mirotic makes 3-pt shot from 24 ft (assist by J. Butler)
6:16.0,R. Jefferson makes 3-pt shot from 25 ft (assist by M. Williams),3,15-9,,
5:56.0,,,15-12,3,N. Mirotic makes 3-pt shot from 28 ft
5:41.0,T. Mozgov misses 2-pt shot from 3 ft (block by P. Gasol),,15-12,,
5:40.0,Offensive rebound by Team,,15-12,,
5:40.0,,,15-12,,Chicago full timeout
5:40.0,T. Thompson enters the game for T. Mozgov,,15-12,,
5:40.0,,,15-12,,D. McDermott enters the game for T. Snell
5:40.0,,,15-12,,J. Noah enters the game for P. Gasol
5:39.0,,,15-12,,Personal foul by N. Mirotic (drawn by K. Love)
5:39.0,,,15-12,,E. Moore enters the game for J. Butler
5:32.0,K. Love misses 3-pt shot from 24 ft,,15-12,,
5:31.0,,,15-12,,Defensive rebound by A. Brooks
5:11.0,,,15-12,,E. Moore misses 3-pt shot from 24 ft
5:10.0,Defensive rebound by M. Williams,,15-12,,
5:04.0,M. Williams misses 2-pt shot from 22 ft,,15-12,,
5:02.0,,,15-12,,Defensive rebound by E. Moore
4:56.0,,,15-14,2,N. Mirotic makes 2-pt shot at rim (assist by E. Moore)
4:56.0,,,15-14,,Shooting foul by R. Jefferson (drawn by N. Mirotic)
4:56.0,,,15-15,1,N. Mirotic makes free throw 1 of 1
4:37.0,T. Thompson misses 2-pt shot from 13 ft,,15-15,,
4:37.0,Offensive rebound by K. Love,,15-15,,
4:37.0,K. Love misses 2-pt shot at rim,,15-15,,
4:35.0,,,15-15,,Defensive rebound by J. Noah
4:32.0,,,15-15,,Turnover by N. Mirotic (bad pass; steal by T. Thompson)
4:32.0,Turnover by T. Thompson (bad pass; steal by J. Noah),,15-15,,
4:16.0,,,15-17,2,E. Moore makes 2-pt shot from 6 ft
4:01.0,,,15-17,,Personal foul by E. Moore (drawn by T. Thompson)
4:01.0,M. Dellavedova enters the game for M. Williams,,15-17,,
3:54.0,M. Dellavedova misses 2-pt shot from 11 ft,,15-17,,
3:53.0,,,15-17,,Defensive rebound by J. Noah
3:49.0,J. Jones enters the game for K. Love,,15-17,,
3:49.0,,,15-17,,T. Gibson enters the game for N. Mirotic
3:35.0,,,15-17,,A. Brooks misses 2-pt shot from 15 ft
3:34.0,Defensive rebound by T. Thompson,,15-17,,
3:20.0,T. Thompson misses 2-pt shot from 15 ft,,15-17,,
3:19.0,,,15-17,,Defensive rebound by D. McDermott
3:08.0,,,15-17,,T. Gibson misses 2-pt shot from 14 ft
3:08.0,,,15-17,,Offensive rebound by J. Noah
3:08.0,Personal foul by J. Smith (drawn by J. Noah),,15-17,,
3:08.0,L. James enters the game for J. Smith,,15-17,,
3:08.0,,,15-17,,T. Snell enters the game for D. McDermott
2:56.0,,,15-17,,T. Snell misses 2-pt shot from 22 ft
2:55.0,Defensive rebound by L. James,,15-17,,
2:42.0,L. James misses 2-pt shot from 23 ft,,15-17,,
2:40.0,,,15-17,,Defensive rebound by Team
2:40.0,Cleveland full timeout,,15-17,,
2:40.0,,,15-17,,D. Rose enters the game for A. Brooks
2:40.0,,,15-17,,J. Butler enters the game for E. Moore
2:29.0,Personal foul by J. Jones (drawn by J. Noah),,15-17,,
2:18.0,Personal foul by R. Jefferson (drawn by T. Gibson),,15-17,,
2:18.0,,,15-17,,T. Gibson misses free throw 1 of 2
2:18.0,,,15-17,,Offensive rebound by Team
2:18.0,J. Cunningham enters the game for R. Jefferson,,15-17,,
2:18.0,,,15-18,1,T. Gibson makes free throw 2 of 2
1:59.0,J. Jones misses 3-pt shot from 24 ft,,15-18,,
1:59.0,,,15-18,,Defensive rebound by J. Butler
1:59.0,Personal foul by T. Thompson (drawn by J. Butler),,15-18,,
1:59.0,,,15-19,1,J. Butler makes free throw 1 of 2
1:59.0,,,15-19,,E. Moore enters the game for T. Snell
1:59.0,,,15-20,1,J. Butler makes free throw 2 of 2
1:47.0,J. Jones misses 3-pt shot from 25 ft,,15-20,,
1:46.0,,,15-20,,Defensive rebound by J. Butler
1:29.0,,,15-20,,D. Rose misses 2-pt shot from 21 ft
1:29.0,,,15-20,,Offensive rebound by T. Gibson
1:29.0,Personal foul by L. James (drawn by T. Gibson),,15-20,,
1:29.0,,,15-21,1,T. Gibson makes free throw 1 of 2
1:29.0,,,15-22,1,T. Gibson makes free throw 2 of 2
1:20.0,L. James makes 2-pt shot from 2 ft (assist by M. Dellavedova),2,17-22,,
1:06.0,,,17-22,,Turnover by J. Noah (3 sec)
1:06.0,,,17-22,,N. Mirotic enters the game for J. Noah
0:49.0,Turnover by M. Dellavedova (lost ball; steal by D. Rose),,17-22,,
0:46.0,,,17-24,2,E. Moore makes 2-pt shot from 2 ft (assist by D. Rose)
0:32.0,J. Cunningham misses 2-pt shot at rim (block by T. Gibson),,17-24,,
0:29.0,,,17-24,,Defensive rebound by E. Moore
0:11.0,,,17-24,,N. Mirotic misses 2-pt shot from 4 ft (block by J. Jones)
0:11.0,,,17-24,,Offensive rebound by Team
0:06.0,,,17-26,2,J. Butler makes 2-pt shot from 19 ft
0:00.0,T. Thompson misses 2-pt shot from 17 ft,,17-26,,
0:00.0,Offensive rebound by Team,,17-26,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:41.0,J. Cunningham misses 2-pt shot from 23 ft,,17-26,,
11:40.0,,,17-26,,Defensive rebound by T. Gibson
11:25.0,,,17-28,2,D. Rose makes 2-pt shot from 15 ft
11:07.0,,,17-28,,Personal foul by T. Snell (drawn by K. Love)
11:07.0,J. Smith enters the game for J. Cunningham,,17-28,,
11:02.0,M. Williams makes 3-pt shot from 25 ft (assist by J. Smith),3,20-28,,
10:36.0,,,20-30,2,T. Snell makes 2-pt shot from 15 ft
10:21.0,M. Williams makes 2-pt shot from 2 ft (assist by L. James),2,22-30,,
10:09.0,,,22-30,,J. Butler misses 3-pt shot from 23 ft
10:08.0,Defensive rebound by T. Mozgov,,22-30,,
10:06.0,Shooting foul by T. Snell (drawn by L. James),,22-30,,
10:06.0,L. James misses free throw 1 of 2,,22-30,,
10:06.0,Offensive rebound by Team,,22-30,,
10:06.0,,,22-30,,E. Moore enters the game for T. Snell
10:06.0,L. James misses free throw 2 of 2,,22-30,,
10:05.0,,,22-30,,Defensive rebound by T. Gibson
9:54.0,,,22-30,,D. Rose misses 2-pt shot from 2 ft (block by T. Mozgov)
9:51.0,Defensive rebound by L. James,,22-30,,
9:48.0,L. James misses 2-pt shot from 2 ft,,22-30,,
9:46.0,,,22-30,,Defensive rebound by T. Gibson
9:42.0,,,22-30,,D. Rose misses 2-pt shot from 2 ft
9:41.0,,,22-30,,Offensive rebound by J. Butler
9:41.0,,,22-32,2,J. Butler makes 2-pt shot from 1 ft
9:18.0,T. Mozgov misses 2-pt shot from 5 ft (block by P. Gasol),,22-32,,
9:18.0,Offensive rebound by Team,,22-32,,
9:18.0,,,22-32,,Loose ball foul by T. Gibson (drawn by K. Love)
9:18.0,,,22-32,,A. Brooks enters the game for D. Rose
9:02.0,K. Love misses 2-pt shot from 2 ft (block by T. Gibson),,22-32,,
9:01.0,,,22-32,,Defensive rebound by T. Gibson
8:46.0,,,22-32,,P. Gasol misses 2-pt shot from 13 ft
8:44.0,Defensive rebound by L. James,,22-32,,
8:36.0,L. James misses 3-pt shot from 24 ft,,22-32,,
8:35.0,Offensive rebound by K. Love,,22-32,,
8:26.0,L. James misses 2-pt shot from 2 ft (block by J. Butler),,22-32,,
8:24.0,,,22-32,,Defensive rebound by E. Moore
8:18.0,,,22-32,,J. Butler misses 2-pt shot from 18 ft
8:17.0,Defensive rebound by J. Smith,,22-32,,
8:09.0,Shooting foul by T. Gibson (drawn by T. Mozgov),,22-32,,
8:09.0,Cleveland full timeout,,22-32,,
8:09.0,,,22-32,,N. Mirotic enters the game for T. Gibson
8:09.0,T. Mozgov misses free throw 1 of 2,,22-32,,
8:09.0,Offensive rebound by Team,,22-32,,
8:09.0,T. Mozgov makes free throw 2 of 2,1,23-32,,
7:57.0,,,23-32,,J. Butler misses 3-pt shot from 25 ft
7:57.0,,,23-32,,Offensive rebound by Team
7:57.0,Loose ball foul by T. Mozgov (drawn by P. Gasol),,23-32,,
7:47.0,,,23-34,2,A. Brooks makes 2-pt shot from 5 ft
7:27.0,J. Smith misses 2-pt shot from 13 ft,,23-34,,
7:25.0,,,23-34,,Defensive rebound by A. Brooks
7:13.0,,,23-34,,Turnover by N. Mirotic (lost ball; steal by J. Smith)
7:08.0,L. James makes 2-pt shot from 1 ft (assist by M. Williams),2,25-34,,
6:54.0,Personal foul by T. Mozgov (drawn by P. Gasol),,25-34,,
6:40.0,,,25-34,,J. Butler misses 2-pt shot from 14 ft
6:39.0,Defensive rebound by K. Love,,25-34,,
6:23.0,,,25-34,,Personal foul by E. Moore (drawn by L. James)
6:23.0,L. James misses free throw 1 of 2,,25-34,,
6:23.0,Offensive rebound by Team,,25-34,,
6:23.0,,,25-34,,T. Snell enters the game for E. Moore
6:23.0,Turnover by T. Mozgov (lane violation.),,25-34,,
6:13.0,,,25-34,,Offensive foul by N. Mirotic
6:13.0,,,25-34,,Turnover by N. Mirotic (offensive foul)
6:00.0,J. Smith misses 2-pt shot from 3 ft,,25-34,,
5:59.0,,,25-34,,Defensive rebound by T. Snell
5:52.0,,,25-34,,Offensive charge foul by N. Mirotic
5:52.0,,,25-34,,Turnover by N. Mirotic (offensive foul)
5:52.0,,,25-34,,Chicago full timeout
5:52.0,,,25-34,,D. Rose enters the game for A. Brooks
5:52.0,,,25-34,,J. Noah enters the game for N. Mirotic
5:52.0,A. Varejao enters the game for T. Mozgov,,25-34,,
5:22.0,J. Smith misses 2-pt shot from 20 ft,,25-34,,
5:21.0,Offensive rebound by A. Varejao,,25-34,,
5:17.0,M. Williams makes 3-pt shot from 23 ft (assist by J. Smith),3,28-34,,
5:03.0,,,28-36,2,D. Rose makes 2-pt shot at rim
4:43.0,M. Williams misses 3-pt shot from 24 ft,,28-36,,
4:42.0,,,28-36,,Defensive rebound by P. Gasol
4:33.0,,,28-36,,T. Snell misses 3-pt shot from 25 ft
4:33.0,Defensive rebound by Team,,28-36,,
4:33.0,,,28-36,,Loose ball foul by J. Noah (drawn by A. Varejao)
4:33.0,A. Varejao makes free throw 1 of 2,1,29-36,,
4:33.0,R. Jefferson enters the game for L. James,,29-36,,
4:33.0,M. Dellavedova enters the game for J. Smith,,29-36,,
4:33.0,,,29-36,,D. McDermott enters the game for J. Butler
4:33.0,A. Varejao makes free throw 2 of 2,1,30-36,,
4:14.0,,,30-36,,T. Snell misses 3-pt shot from 25 ft
4:12.0,Defensive rebound by M. Williams,,30-36,,
3:58.0,M. Williams misses 2-pt shot from 17 ft,,30-36,,
3:57.0,,,30-36,,Defensive rebound by J. Noah
3:45.0,,,30-36,,Turnover by T. Snell (lost ball; steal by R. Jefferson)
3:40.0,R. Jefferson makes 2-pt shot from 1 ft (assist by K. Love),2,32-36,,
3:29.0,,,32-36,,D. Rose misses 2-pt shot from 2 ft
3:29.0,,,32-36,,Offensive rebound by J. Noah
3:29.0,Personal foul by M. Dellavedova (drawn by J. Noah),,32-36,,
3:20.0,,,32-39,3,T. Snell makes 3-pt shot from 25 ft (assist by J. Noah)
3:11.0,Cleveland full timeout,,32-39,,
3:11.0,L. James enters the game for M. Williams,,32-39,,
3:03.0,K. Love misses 3-pt shot from 24 ft,,32-39,,
3:02.0,,,32-39,,Defensive rebound by D. McDermott
2:46.0,,,32-39,,D. Rose misses 2-pt shot from 5 ft
2:45.0,Defensive rebound by A. Varejao,,32-39,,
2:35.0,K. Love makes 3-pt shot from 24 ft (assist by M. Dellavedova),3,35-39,,
2:16.0,,,35-41,2,D. McDermott makes 2-pt shot from 22 ft
1:55.0,K. Love misses 3-pt shot from 25 ft,,35-41,,
1:54.0,,,35-41,,Defensive rebound by D. McDermott
1:51.0,,,35-41,,Shooting foul by A. Varejao (drawn by J. Noah)
1:51.0,,,35-41,,J. Noah misses free throw 1 of 2
1:51.0,,,35-41,,Offensive rebound by Team
1:51.0,T. Thompson enters the game for K. Love,,35-41,,
1:51.0,,,35-41,,J. Butler enters the game for T. Snell
1:51.0,,,35-41,,T. Gibson enters the game for P. Gasol
1:51.0,,,35-41,,J. Noah misses free throw 2 of 2
1:49.0,,,35-41,,Offensive rebound by T. Gibson
1:48.0,,,35-41,,Turnover by T. Gibson (bad pass)
1:31.0,M. Dellavedova makes 2-pt shot from 21 ft (assist by R. Jefferson),2,37-41,,
1:16.0,,,37-44,3,D. McDermott makes 3-pt shot from 25 ft (assist by J. Butler)
1:03.0,R. Jefferson misses 2-pt shot from 20 ft,,37-44,,
1:01.0,,,37-44,,Defensive rebound by J. Noah
0:53.0,,,37-44,,T. Gibson misses 2-pt shot from 13 ft
0:52.0,Defensive rebound by M. Dellavedova,,37-44,,
0:35.0,L. James misses 3-pt shot from 25 ft,,37-44,,
0:34.0,,,37-44,,Defensive rebound by T. Gibson
0:24.0,,,37-46,2,D. McDermott makes 2-pt shot from 16 ft (assist by J. Noah)
0:02.0,L. James makes 3-pt shot from 26 ft,3,40-46,,
0:00.0,,,40-46,,D. McDermott misses 3-pt shot from 43 ft
0:00.0,,,40-46,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:38.0,L. James makes 2-pt shot from 2 ft,2,42-46,,
11:15.0,,,42-46,,Turnover by D. Rose (bad pass; steal by L. James)
11:11.0,Turnover by L. James (bad pass; steal by P. Gasol),,42-46,,
11:02.0,,,42-48,2,T. Snell makes 2-pt shot from 5 ft
10:57.0,L. James makes 2-pt shot from 2 ft (assist by M. Williams),2,44-48,,
10:47.0,,,44-51,3,N. Mirotic makes 3-pt shot from 26 ft (assist by D. Rose)
10:29.0,K. Love makes 2-pt shot from 20 ft (assist by M. Williams),2,46-51,,
10:12.0,,,46-53,2,D. Rose makes 2-pt shot from 1 ft
10:12.0,,,46-53,,Shooting foul by M. Williams (drawn by D. Rose)
10:12.0,,,46-53,,D. Rose misses free throw 1 of 1
10:10.0,Defensive rebound by J. Smith,,46-53,,
9:52.0,T. Mozgov makes 2-pt shot at rim (assist by K. Love),2,48-53,,
9:37.0,,,48-55,2,P. Gasol makes 2-pt shot from 16 ft (assist by D. Rose)
9:17.0,K. Love misses 2-pt shot from 2 ft,,48-55,,
9:16.0,,,48-55,,Defensive rebound by N. Mirotic
9:03.0,,,48-55,,D. Rose misses 3-pt shot from 24 ft
9:02.0,Defensive rebound by L. James,,48-55,,
8:55.0,J. Smith misses 3-pt shot from 24 ft,,48-55,,
8:53.0,,,48-55,,Defensive rebound by N. Mirotic
8:45.0,,,48-57,2,D. Rose makes 2-pt shot from 6 ft
8:45.0,,,48-57,,Shooting foul by M. Williams (drawn by D. Rose)
8:45.0,,,48-58,1,D. Rose makes free throw 1 of 1
8:33.0,Turnover by K. Love (bad pass; steal by N. Mirotic),,48-58,,
8:27.0,,,48-61,3,T. Snell makes 3-pt shot from 25 ft (assist by D. Rose)
8:26.0,Cleveland full timeout,,48-61,,
8:06.0,J. Smith makes 2-pt shot from 3 ft,2,50-61,,
7:50.0,,,50-61,,T. Snell misses 3-pt shot from 24 ft
7:49.0,Defensive rebound by T. Mozgov,,50-61,,
7:42.0,Shooting foul by P. Gasol (drawn by J. Smith),,50-61,,
7:42.0,J. Smith misses free throw 1 of 2,,50-61,,
7:42.0,Offensive rebound by Team,,50-61,,
7:42.0,J. Smith misses free throw 2 of 2,,50-61,,
7:41.0,,,50-61,,Defensive rebound by N. Mirotic
7:27.0,,,50-61,,P. Gasol misses 2-pt shot from 17 ft
7:26.0,Defensive rebound by L. James,,50-61,,
7:11.0,,,50-61,,Personal foul by J. Butler (drawn by K. Love)
7:02.0,Turnover by T. Mozgov (3 sec),,50-61,,
6:46.0,,,50-61,,T. Snell misses 2-pt shot from 9 ft (block by K. Love)
6:46.0,,,50-61,,Offensive rebound by Team
6:46.0,,,50-61,,Turnover by D. Rose (bad pass)
6:28.0,J. Smith makes 2-pt shot from 6 ft,2,52-61,,
6:18.0,,,52-63,2,D. Rose makes 2-pt shot from 7 ft
6:01.0,M. Williams misses 2-pt shot from 7 ft,,52-63,,
6:00.0,,,52-63,,Defensive rebound by D. Rose
5:50.0,,,52-63,,D. Rose misses 2-pt shot from 7 ft
5:49.0,Defensive rebound by L. James,,52-63,,
5:38.0,Shooting foul by N. Mirotic (drawn by K. Love),,52-63,,
5:38.0,K. Love makes 2-pt shot from 2 ft (assist by T. Mozgov),2,54-63,,
5:38.0,M. Dellavedova enters the game for M. Williams,,54-63,,
5:38.0,,,54-63,,A. Brooks enters the game for D. Rose
5:38.0,,,54-63,,T. Gibson enters the game for N. Mirotic
5:38.0,K. Love makes free throw 1 of 1,1,55-63,,
5:24.0,,,55-63,,J. Butler misses 2-pt shot from 14 ft
5:24.0,,,55-63,,Offensive rebound by Team
5:24.0,T. Thompson enters the game for K. Love,,55-63,,
5:19.0,,,55-63,,P. Gasol misses 2-pt shot from 9 ft
5:17.0,Defensive rebound by T. Thompson,,55-63,,
5:07.0,M. Dellavedova misses 3-pt shot from 25 ft,,55-63,,
5:06.0,,,55-63,,Defensive rebound by T. Snell
4:59.0,,,55-65,2,A. Brooks makes 2-pt shot from 11 ft
4:44.0,J. Smith misses 2-pt shot from 11 ft,,55-65,,
4:43.0,,,55-65,,Defensive rebound by T. Gibson
4:34.0,,,55-65,,Turnover by A. Brooks (bad pass)
4:34.0,,,55-65,,D. McDermott enters the game for T. Snell
4:34.0,R. Jefferson enters the game for L. James,,55-65,,
4:21.0,M. Dellavedova makes 2-pt shot from 10 ft (assist by T. Mozgov),2,57-65,,
4:09.0,,,57-67,2,A. Brooks makes 2-pt shot from 16 ft
3:46.0,T. Mozgov misses 2-pt shot from 15 ft,,57-67,,
3:45.0,,,57-67,,Defensive rebound by T. Gibson
3:34.0,,,57-67,,A. Brooks misses 2-pt shot from 19 ft
3:34.0,Defensive rebound by J. Smith,,57-67,,
3:34.0,,,57-67,,Personal foul by A. Brooks (drawn by J. Smith)
3:34.0,A. Varejao enters the game for T. Mozgov,,57-67,,
3:34.0,,,57-67,,J. Noah enters the game for P. Gasol
3:34.0,,,57-67,,E. Moore enters the game for J. Butler
3:24.0,R. Jefferson misses 3-pt shot from 25 ft,,57-67,,
3:23.0,,,57-67,,Defensive rebound by J. Noah
3:14.0,,,57-69,2,E. Moore makes 2-pt shot from 7 ft
2:53.0,M. Dellavedova misses 3-pt shot from 22 ft,,57-69,,
2:52.0,Offensive rebound by M. Dellavedova,,57-69,,
2:48.0,R. Jefferson makes 3-pt shot from 24 ft (assist by J. Smith),3,60-69,,
2:29.0,,,60-71,2,E. Moore makes 2-pt shot from 15 ft
2:14.0,J. Smith makes 2-pt shot from 2 ft (assist by M. Dellavedova),2,62-71,,
1:59.0,,,62-71,,Offensive foul by T. Gibson
1:59.0,,,62-71,,Turnover by T. Gibson (offensive foul)
1:59.0,,,62-71,,Chicago full timeout
1:59.0,M. Williams enters the game for J. Smith,,62-71,,
1:37.0,R. Jefferson makes 2-pt shot from 1 ft (assist by M. Williams),2,64-71,,
1:13.0,,,64-71,,A. Brooks misses 2-pt shot from 8 ft
1:12.0,Defensive rebound by T. Thompson,,64-71,,
1:05.0,R. Jefferson misses 3-pt shot from 24 ft,,64-71,,
1:05.0,,,64-71,,Defensive rebound by J. Noah
1:05.0,Personal foul by T. Thompson (drawn by J. Noah),,64-71,,
0:53.0,,,64-71,,A. Brooks misses 2-pt shot from 13 ft
0:51.0,Defensive rebound by T. Thompson,,64-71,,
0:44.0,M. Williams makes 2-pt shot from 19 ft,2,66-71,,
0:33.0,,,66-71,,E. Moore misses 2-pt shot from 4 ft (block by A. Varejao)
0:33.0,Defensive rebound by Team,,66-71,,
0:21.0,Shooting foul by E. Moore (drawn by M. Williams),,66-71,,
0:21.0,M. Williams misses free throw 1 of 3,,66-71,,
0:21.0,Offensive rebound by Team,,66-71,,
0:21.0,M. Williams makes free throw 2 of 3,1,67-71,,
0:21.0,M. Williams makes free throw 3 of 3,1,68-71,,
0:01.0,,,68-71,,Turnover by A. Brooks (bad pass; steal by M. Williams)
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:36.0,,,68-71,,E. Moore misses 2-pt shot from 16 ft
11:35.0,Defensive rebound by T. Thompson,,68-71,,
11:30.0,M. Williams makes 3-pt shot from 26 ft (assist by M. Dellavedova),3,71-71,,
11:03.0,,,71-71,,A. Brooks misses 3-pt shot from 24 ft
11:02.0,Defensive rebound by M. Williams,,71-71,,
10:55.0,M. Williams misses 3-pt shot from 23 ft,,71-71,,
10:53.0,,,71-71,,Defensive rebound by T. Gibson
10:44.0,,,71-71,,A. Brooks misses 2-pt shot from 15 ft
10:43.0,Defensive rebound by T. Thompson,,71-71,,
10:31.0,M. Dellavedova misses 2-pt shot from 7 ft,,71-71,,
10:29.0,,,71-71,,Defensive rebound by J. Noah
10:23.0,,,71-74,3,E. Moore makes 3-pt shot from 24 ft (assist by J. Noah)
10:01.0,A. Varejao misses 2-pt shot from 19 ft,,71-74,,
10:00.0,,,71-74,,Defensive rebound by D. McDermott
9:53.0,,,71-74,,Shooting foul by R. Jefferson (drawn by D. McDermott)
9:53.0,,,71-75,1,D. McDermott makes free throw 1 of 2
9:53.0,L. James enters the game for M. Dellavedova,,71-75,,
9:53.0,K. Love enters the game for A. Varejao,,71-75,,
9:53.0,,,71-75,,D. Rose enters the game for A. Brooks
9:53.0,,,71-75,,J. Butler enters the game for E. Moore
9:53.0,,,71-75,,D. McDermott misses free throw 2 of 2
9:51.0,Defensive rebound by T. Thompson,,71-75,,
9:32.0,K. Love misses 3-pt shot from 23 ft (block by T. Gibson),,71-75,,
9:30.0,Offensive rebound by T. Thompson,,71-75,,
9:29.0,Turnover by Team (shot clock),,71-75,,
9:18.0,,,71-77,2,T. Gibson makes 2-pt shot from 14 ft (assist by J. Noah)
8:53.0,Turnover by R. Jefferson (bad pass),,71-77,,
8:53.0,,,71-77,,Chicago full timeout
8:53.0,,,71-77,,P. Gasol enters the game for J. Noah
8:53.0,J. Smith enters the game for R. Jefferson,,71-77,,
8:40.0,,,71-77,,P. Gasol misses 2-pt shot from 21 ft
8:39.0,Defensive rebound by L. James,,71-77,,
8:32.0,L. James makes 2-pt shot from 2 ft,2,73-77,,
8:11.0,,,73-77,,P. Gasol misses 3-pt shot from 25 ft
8:09.0,Defensive rebound by T. Thompson,,73-77,,
7:59.0,L. James makes 2-pt shot from 21 ft,2,75-77,,
7:59.0,,,75-77,,Chicago full timeout
7:48.0,,,75-77,,J. Butler misses 2-pt shot from 20 ft
7:47.0,Defensive rebound by J. Smith,,75-77,,
7:34.0,L. James misses 3-pt shot from 24 ft,,75-77,,
7:33.0,,,75-77,,Defensive rebound by P. Gasol
7:27.0,,,75-77,,Shooting foul by T. Thompson (drawn by D. Rose)
7:27.0,,,75-77,,D. Rose misses free throw 1 of 2
7:27.0,,,75-77,,Offensive rebound by Team
7:27.0,,,75-77,,T. Snell enters the game for D. McDermott
7:27.0,,,75-78,1,D. Rose makes free throw 2 of 2
7:18.0,Shooting foul by T. Gibson (drawn by J. Smith),,75-78,,
7:18.0,J. Smith makes free throw 1 of 2,1,76-78,,
7:18.0,,,76-78,,N. Mirotic enters the game for T. Gibson
7:18.0,J. Smith makes free throw 2 of 2,1,77-78,,
6:58.0,,,77-80,2,J. Butler makes 2-pt shot from 20 ft
6:42.0,M. Williams makes 2-pt shot from 16 ft (assist by K. Love),2,79-80,,
6:32.0,Personal foul by J. Smith (drawn by J. Butler),,79-80,,
6:20.0,,,79-82,2,D. Rose makes 2-pt shot from 14 ft
6:01.0,T. Thompson makes 2-pt shot at rim (assist by M. Williams),2,81-82,,
5:50.0,,,81-82,,D. Rose misses 2-pt shot from 2 ft (block by K. Love)
5:48.0,Defensive rebound by K. Love,,81-82,,
5:32.0,L. James makes 2-pt shot from 6 ft,2,83-82,,
5:18.0,,,83-84,2,N. Mirotic makes 2-pt shot from 12 ft
5:18.0,,,83-84,,Shooting foul by T. Thompson (drawn by N. Mirotic)
5:18.0,,,83-85,1,N. Mirotic makes free throw 1 of 1
5:07.0,K. Love misses 2-pt shot from 3 ft (block by P. Gasol),,83-85,,
5:05.0,,,83-85,,Defensive rebound by N. Mirotic
4:58.0,Personal foul by J. Smith (drawn by N. Mirotic),,83-85,,
