time,Dallas,pts.away,score,pts.home,Memphis
9:26.0,D. Nowitzki misses 2-pt shot from 12 ft,,17-25,,
9:24.0,,,17-25,,Defensive rebound by J. Green
9:16.0,,,17-25,,C. Lee misses 3-pt shot from 23 ft
9:16.0,Defensive rebound by D. Nowitzki,,17-25,,
9:08.0,R. Felton misses 2-pt shot from 10 ft,,17-25,,
9:08.0,Offensive rebound by Team,,17-25,,
9:08.0,,,17-25,,Loose ball foul by J. Green (drawn by D. Powell)
9:08.0,J. Evans enters the game for D. Nowitzki,,17-25,,
8:58.0,Turnover by J. Barea (bad pass; steal by J. Green),,17-25,,
8:48.0,,,17-27,2,J. Green makes 2-pt shot from 5 ft
8:47.0,Dallas full timeout,,17-27,,
8:47.0,D. Williams enters the game for R. Felton,,17-27,,
8:26.0,J. Barea makes 2-pt shot from 5 ft (assist by D. Powell),2,19-27,,
8:07.0,,,19-27,,C. Lee misses 2-pt shot from 11 ft (block by D. Powell)
8:03.0,Defensive rebound by C. Parsons,,19-27,,
8:00.0,J. Barea misses 3-pt shot from 26 ft,,19-27,,
7:57.0,,,19-27,,Defensive rebound by J. Green
7:48.0,,,19-27,,M. Chalmers misses 3-pt shot from 25 ft
7:47.0,Defensive rebound by J. Evans,,19-27,,
7:37.0,C. Parsons misses 3-pt shot from 25 ft,,19-27,,
7:37.0,,,19-27,,Defensive rebound by C. Lee
7:18.0,,,19-29,2,V. Carter makes 2-pt shot at rim
7:09.0,Turnover by J. Barea (lost ball; steal by M. Chalmers),,19-29,,
7:03.0,,,19-29,,Shooting foul by J. Evans (drawn by J. Green)
7:03.0,,,19-30,1,J. Green makes free throw 1 of 2
7:03.0,,,19-30,,M. Gasol enters the game for J. Green
7:03.0,Z. Pachulia enters the game for D. Powell,,19-30,,
7:03.0,C. Villanueva enters the game for J. Evans,,19-30,,
7:03.0,,,19-30,,T. Allen enters the game for V. Carter
7:03.0,,,19-31,1,J. Green makes free throw 2 of 2
6:55.0,D. Williams misses 3-pt shot from 24 ft,,19-31,,
6:54.0,,,19-31,,Defensive rebound by T. Allen
6:45.0,,,19-33,2,M. Chalmers makes 2-pt shot from 20 ft
6:31.0,C. Villanueva makes 2-pt shot from 1 ft (assist by J. Barea),2,21-33,,
6:17.0,,,21-33,,M. Chalmers misses 2-pt shot from 2 ft
6:17.0,,,21-33,,Offensive rebound by Team
6:09.0,,,21-35,2,J. Green makes 2-pt shot from 3 ft
5:57.0,Shooting foul by M. Chalmers (drawn by J. Barea),,21-35,,
5:57.0,Dallas full timeout,,21-35,,
5:57.0,,,21-35,,M. Conley enters the game for M. Chalmers
5:57.0,J. Barea makes free throw 1 of 2,1,22-35,,
5:57.0,J. Barea makes free throw 2 of 2,1,23-35,,
5:40.0,Personal foul by D. Williams (drawn by M. Gasol),,23-35,,
5:40.0,D. Nowitzki enters the game for C. Villanueva,,23-35,,
5:40.0,W. Matthews enters the game for J. Barea,,23-35,,
5:31.0,,,23-35,,C. Lee misses 2-pt shot from 14 ft
5:30.0,Defensive rebound by C. Parsons,,23-35,,
5:21.0,,,23-35,,Personal foul by M. Conley (drawn by D. Williams)
5:21.0,D. Williams misses free throw 1 of 2,,23-35,,
5:21.0,Offensive rebound by Team,,23-35,,
5:21.0,D. Williams makes free throw 2 of 2,1,24-35,,
5:06.0,,,24-37,2,M. Gasol makes 2-pt shot from 9 ft (assist by M. Conley)
4:50.0,D. Nowitzki makes 3-pt shot from 24 ft (assist by C. Parsons),3,27-37,,
4:30.0,,,27-37,,C. Lee misses 2-pt shot from 12 ft
4:29.0,Defensive rebound by Z. Pachulia,,27-37,,
4:20.0,W. Matthews makes 3-pt shot from 23 ft (assist by D. Williams),3,30-37,,
4:11.0,,,30-37,,Memphis full timeout
4:11.0,,,30-37,,M. Barnes enters the game for C. Lee
4:02.0,,,30-37,,M. Barnes misses 3-pt shot from 26 ft
4:01.0,Defensive rebound by D. Nowitzki,,30-37,,
3:39.0,D. Nowitzki makes 2-pt shot from 11 ft,2,32-37,,
3:16.0,,,32-37,,M. Conley misses 2-pt shot from 2 ft
3:16.0,Defensive rebound by Z. Pachulia,,32-37,,
3:05.0,C. Parsons makes 2-pt shot from 19 ft,2,34-37,,
2:50.0,,,34-37,,T. Allen misses 2-pt shot from 20 ft
2:49.0,Defensive rebound by D. Williams,,34-37,,
2:33.0,C. Parsons misses 3-pt shot from 27 ft,,34-37,,
2:33.0,,,34-37,,Defensive rebound by M. Gasol
2:33.0,Personal foul by Z. Pachulia (drawn by M. Gasol),,34-37,,
2:33.0,,,34-38,1,M. Gasol makes free throw 1 of 2
2:33.0,,,34-39,1,M. Gasol makes free throw 2 of 2
2:17.0,Shooting foul by M. Conley (drawn by Z. Pachulia),,34-39,,
2:17.0,Z. Pachulia makes free throw 1 of 2,1,35-39,,
2:17.0,Z. Pachulia makes free throw 2 of 2,1,36-39,,
1:55.0,,,36-39,,M. Conley misses 3-pt shot from 24 ft
1:55.0,Defensive rebound by D. Nowitzki,,36-39,,
1:38.0,D. Nowitzki misses 2-pt shot from 12 ft,,36-39,,
1:36.0,,,36-39,,Defensive rebound by M. Barnes
1:30.0,,,36-41,2,J. Green makes 2-pt shot at rim (assist by M. Barnes)
1:13.0,W. Matthews misses 2-pt shot from 2 ft (block by M. Gasol),,36-41,,
1:11.0,,,36-41,,Defensive rebound by M. Gasol
1:03.0,,,36-41,,M. Barnes misses 3-pt shot from 23 ft
1:00.0,Defensive rebound by Z. Pachulia,,36-41,,
0:46.0,Turnover by D. Williams (bad pass),,36-41,,
0:37.0,,,36-41,,Shooting foul by D. Williams (drawn by M. Conley)
0:37.0,,,36-42,1,M. Conley makes free throw 1 of 2
0:37.0,R. Felton enters the game for D. Williams,,36-42,,
0:37.0,,,36-43,1,M. Conley makes free throw 2 of 2
0:21.0,R. Felton misses 2-pt shot from 19 ft,,36-43,,
0:20.0,,,36-43,,Defensive rebound by J. Green
0:03.0,,,36-46,3,M. Conley makes 3-pt shot from 25 ft
0:01.0,Z. Pachulia misses 3-pt shot from 48 ft,,36-46,,
0:00.0,Offensive rebound by Team,,36-46,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:33.0,D. Nowitzki misses 2-pt shot from 17 ft,,36-46,,
11:30.0,,,36-46,,Defensive rebound by T. Allen
11:14.0,,,36-49,3,J. Green makes 3-pt shot from 26 ft
11:04.0,Turnover by D. Williams (bad pass; steal by M. Barnes),,36-49,,
11:00.0,,,36-49,,M. Barnes misses 2-pt shot from 1 ft
10:57.0,,,36-49,,Offensive rebound by M. Conley
10:57.0,,,36-51,2,M. Conley makes 2-pt shot from 1 ft
10:45.0,C. Parsons misses 3-pt shot from 27 ft,,36-51,,
10:43.0,Offensive rebound by Z. Pachulia,,36-51,,
10:39.0,D. Nowitzki makes 2-pt shot from 21 ft (assist by Z. Pachulia),2,38-51,,
10:17.0,,,38-53,2,M. Gasol makes 2-pt shot from 4 ft (assist by T. Allen)
10:17.0,,,38-53,,Shooting foul by W. Matthews (drawn by M. Gasol)
10:17.0,,,38-54,1,M. Gasol makes free throw 1 of 1
10:05.0,D. Nowitzki misses 2-pt shot from 14 ft,,38-54,,
10:05.0,,,38-54,,Defensive rebound by T. Allen
9:46.0,,,38-56,2,M. Gasol makes 2-pt shot from 17 ft
9:29.0,C. Parsons misses 2-pt shot from 1 ft,,38-56,,
9:26.0,,,38-56,,Defensive rebound by M. Conley
9:17.0,,,38-56,,Turnover by M. Barnes (lost ball; steal by D. Nowitzki)
9:11.0,C. Parsons makes 2-pt shot at rim (assist by W. Matthews),2,40-56,,
9:01.0,,,40-56,,J. Green misses 2-pt shot at rim (block by C. Parsons)
9:01.0,,,40-56,,Offensive rebound by Team
9:01.0,,,40-56,,Offensive charge foul by J. Green
9:01.0,,,40-56,,Turnover by J. Green (offensive foul)
8:47.0,Shooting foul by M. Barnes (drawn by Z. Pachulia),,40-56,,
8:47.0,Z. Pachulia makes free throw 1 of 2,1,41-56,,
8:47.0,Z. Pachulia makes free throw 2 of 2,1,42-56,,
8:27.0,,,42-58,2,J. Green makes 2-pt shot at rim (assist by M. Gasol)
8:23.0,,,42-58,,Personal foul by T. Allen (drawn by Z. Pachulia)
8:07.0,D. Williams misses 2-pt shot from 2 ft (block by M. Gasol),,42-58,,
8:07.0,Offensive rebound by Team,,42-58,,
8:05.0,Shooting foul by M. Gasol (drawn by Z. Pachulia),,42-58,,
8:05.0,Z. Pachulia makes free throw 1 of 2,1,43-58,,
8:05.0,Z. Pachulia makes free throw 2 of 2,1,44-58,,
7:41.0,,,44-58,,T. Allen misses 3-pt shot from 24 ft
7:40.0,Defensive rebound by D. Nowitzki,,44-58,,
7:32.0,C. Parsons misses 3-pt shot from 26 ft,,44-58,,
7:30.0,,,44-58,,Defensive rebound by M. Gasol
7:24.0,,,44-58,,M. Conley misses 2-pt shot from 3 ft
7:22.0,Defensive rebound by D. Nowitzki,,44-58,,
7:09.0,W. Matthews makes 3-pt shot from 25 ft (assist by Z. Pachulia),3,47-58,,
6:52.0,,,47-60,2,M. Conley makes 2-pt shot from 8 ft
6:52.0,,,47-60,,Shooting foul by D. Williams (drawn by M. Conley)
6:52.0,Violation by Team (delay of game),,47-60,,
6:52.0,,,47-61,1,M. Conley makes free throw 1 of 1
6:31.0,D. Williams makes 3-pt shot from 26 ft (assist by W. Matthews),3,50-61,,
6:14.0,,,50-61,,M. Conley misses 2-pt shot from 19 ft
6:14.0,Defensive rebound by C. Parsons,,50-61,,
5:58.0,W. Matthews misses 3-pt shot from 25 ft,,50-61,,
5:56.0,,,50-61,,Defensive rebound by M. Gasol
5:49.0,,,50-64,3,M. Barnes makes 3-pt shot from 23 ft (assist by J. Green)
5:47.0,Dallas full timeout,,50-64,,
5:47.0,J. Barea enters the game for C. Parsons,,50-64,,
5:47.0,C. Villanueva enters the game for D. Nowitzki,,50-64,,
5:47.0,,,50-64,,M. Chalmers enters the game for T. Allen
5:25.0,Z. Pachulia misses 2-pt shot from 11 ft,,50-64,,
5:25.0,,,50-64,,Defensive rebound by M. Barnes
5:15.0,,,50-66,2,M. Conley makes 2-pt shot from 6 ft
5:15.0,,,50-66,,Shooting foul by J. Barea (drawn by M. Conley)
5:15.0,,,50-67,1,M. Conley makes free throw 1 of 1
5:02.0,C. Villanueva misses 2-pt shot from 15 ft,,50-67,,
5:01.0,,,50-67,,Defensive rebound by M. Barnes
4:44.0,,,50-67,,M. Conley misses 2-pt shot at rim
4:44.0,Defensive rebound by Team,,50-67,,
4:44.0,,,50-67,,Loose ball foul by M. Gasol (drawn by Z. Pachulia)
4:44.0,,,50-67,,J. Green enters the game for M. Gasol
4:32.0,D. Williams makes 2-pt shot from 11 ft (assist by J. Barea),2,52-67,,
4:10.0,,,52-67,,J. Green misses 2-pt shot from 11 ft
4:09.0,Defensive rebound by D. Williams,,52-67,,
4:05.0,Shooting foul by M. Barnes (drawn by D. Williams),,52-67,,
4:05.0,D. Williams makes free throw 1 of 2,1,53-67,,
4:05.0,D. Powell enters the game for Z. Pachulia,,53-67,,
4:05.0,D. Williams makes free throw 2 of 2,1,54-67,,
3:49.0,,,54-67,,Shooting foul by J. Barea (drawn by M. Chalmers)
3:49.0,,,54-68,1,M. Chalmers makes free throw 1 of 2
3:49.0,,,54-68,,M. Chalmers misses free throw 2 of 2
3:48.0,Defensive rebound by D. Powell,,54-68,,
3:43.0,Shooting foul by M. Chalmers (drawn by J. Barea),,54-68,,
3:43.0,J. Barea makes free throw 1 of 2,1,55-68,,
3:43.0,R. Felton enters the game for W. Matthews,,55-68,,
3:43.0,J. Barea makes free throw 2 of 2,1,56-68,,
3:32.0,,,56-68,,Turnover by J. Green (offensive foul)
3:32.0,,,56-68,,Offensive foul by J. Green
3:21.0,Turnover by R. Felton (bad pass; steal by M. Chalmers),,56-68,,
3:18.0,,,56-68,,M. Chalmers misses 2-pt shot from 1 ft
3:15.0,,,56-68,,Offensive rebound by J. Green
3:15.0,,,56-70,2,J. Green makes 2-pt shot at rim
3:00.0,Turnover by D. Williams (bad pass; steal by M. Chalmers),,56-70,,
2:55.0,,,56-72,2,J. Green makes 2-pt shot at rim (assist by M. Barnes)
2:54.0,Dallas full timeout,,56-72,,
2:54.0,,,56-72,,Memphis full timeout
2:54.0,,,56-72,,C. Lee enters the game for M. Conley
2:54.0,,,56-72,,M. Gasol enters the game for J. Green
2:41.0,C. Villanueva misses 3-pt shot from 26 ft,,56-72,,
2:40.0,,,56-72,,Defensive rebound by C. Lee
2:21.0,,,56-72,,C. Lee misses 2-pt shot from 15 ft
2:19.0,Defensive rebound by J. Barea,,56-72,,
2:10.0,D. Powell misses 2-pt shot from 20 ft,,56-72,,
2:10.0,,,56-72,,Defensive rebound by J. Green
1:59.0,,,56-74,2,M. Chalmers makes 2-pt shot from 8 ft (assist by J. Green)
1:45.0,J. Barea makes 2-pt shot from 2 ft,2,58-74,,
1:29.0,,,58-76,2,M. Chalmers makes 2-pt shot from 6 ft
1:11.0,D. Powell makes 2-pt shot at rim (assist by J. Barea),2,60-76,,
1:00.0,,,60-76,,Turnover by M. Chalmers (lost ball; steal by R. Felton)
0:51.0,R. Felton misses 2-pt shot from 6 ft,,60-76,,
0:49.0,,,60-76,,Defensive rebound by J. Green
0:37.0,,,60-78,2,J. Green makes 2-pt shot at rim (assist by M. Gasol)
0:26.0,D. Williams misses 3-pt shot from 26 ft,,60-78,,
0:25.0,,,60-78,,Defensive rebound by J. Green
0:03.0,,,60-80,2,J. Green makes 2-pt shot from 1 ft (assist by M. Chalmers)
0:01.0,Turnover by D. Powell (bad pass; steal by M. Chalmers),,60-80,,
0:01.0,Personal foul by D. Williams (drawn by M. Chalmers),,60-80,,
0:01.0,,,60-81,1,M. Chalmers makes free throw 1 of 2
0:01.0,,,60-81,,J. Green enters the game for M. Barnes
0:01.0,D. Nowitzki enters the game for C. Villanueva,,60-81,,
0:01.0,W. Matthews enters the game for D. Williams,,60-81,,
0:01.0,,,60-82,1,M. Chalmers makes free throw 2 of 2
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:39.0,,,60-85,3,J. Green makes 3-pt shot from 24 ft (assist by J. Green)
11:18.0,Shooting foul by J. Green (drawn by R. Felton),,60-85,,
11:18.0,R. Felton makes free throw 1 of 2,1,61-85,,
11:18.0,R. Felton makes free throw 2 of 2,1,62-85,,
10:56.0,,,62-85,,M. Gasol misses 2-pt shot from 6 ft
10:56.0,Defensive rebound by D. Nowitzki,,62-85,,
10:42.0,Shooting foul by C. Lee (drawn by J. Barea),,62-85,,
10:42.0,J. Barea makes free throw 1 of 2,1,63-85,,
10:42.0,J. Barea makes free throw 2 of 2,1,64-85,,
10:22.0,,,64-85,,M. Gasol misses 2-pt shot from 6 ft
10:20.0,Defensive rebound by R. Felton,,64-85,,
10:15.0,J. Barea makes 2-pt shot from 1 ft (assist by R. Felton),2,66-85,,
10:00.0,,,66-85,,Offensive charge foul by J. Green
10:00.0,,,66-85,,Turnover by J. Green (offensive foul)
9:49.0,J. Barea makes 2-pt shot from 20 ft,2,68-85,,
9:49.0,,,68-85,,Memphis full timeout
9:49.0,,,68-85,,M. Barnes enters the game for J. Green
9:31.0,,,68-85,,Shooting foul by R. Felton (drawn by M. Gasol)
9:31.0,,,68-86,1,M. Gasol makes free throw 1 of 2
9:31.0,,,68-87,1,M. Gasol makes free throw 2 of 2
9:19.0,Shooting foul by M. Barnes (drawn by D. Nowitzki),,68-87,,
9:19.0,D. Nowitzki makes free throw 1 of 2,1,69-87,,
9:19.0,,,69-87,,T. Allen enters the game for J. Green
9:19.0,D. Nowitzki makes free throw 2 of 2,1,70-87,,
8:56.0,,,70-87,,M. Gasol misses 2-pt shot from 7 ft
8:53.0,Defensive rebound by D. Powell,,70-87,,
8:45.0,D. Nowitzki misses 2-pt shot from 19 ft,,70-87,,
8:45.0,Offensive rebound by D. Powell,,70-87,,
8:41.0,R. Felton makes 3-pt shot from 25 ft (assist by D. Powell),3,73-87,,
8:28.0,,,73-87,,Shooting foul by W. Matthews (drawn by M. Chalmers)
8:28.0,,,73-88,1,M. Chalmers makes free throw 1 of 2
8:28.0,,,73-88,,V. Carter enters the game for C. Lee
8:28.0,,,73-89,1,M. Chalmers makes free throw 2 of 2
8:17.0,J. Barea misses 2-pt shot from 2 ft,,73-89,,
8:15.0,,,73-89,,Defensive rebound by M. Gasol
8:01.0,,,73-89,,M. Barnes misses 3-pt shot from 25 ft
8:00.0,Defensive rebound by R. Felton,,73-89,,
7:53.0,D. Nowitzki makes 3-pt shot from 25 ft (assist by R. Felton),3,76-89,,
7:38.0,Personal foul by J. Barea,,76-89,,
7:38.0,,,76-89,,M. Conley enters the game for M. Chalmers
7:24.0,,,76-89,,M. Conley misses 3-pt shot from 24 ft
7:23.0,Defensive rebound by D. Nowitzki,,76-89,,
7:15.0,D. Nowitzki misses 3-pt shot from 26 ft,,76-89,,
7:13.0,,,76-89,,Defensive rebound by M. Barnes
7:06.0,,,76-89,,V. Carter misses 3-pt shot from 25 ft
7:05.0,Defensive rebound by W. Matthews,,76-89,,
6:53.0,W. Matthews misses 3-pt shot from 26 ft,,76-89,,
6:52.0,,,76-89,,Defensive rebound by M. Barnes
6:30.0,,,76-89,,Offensive charge foul by M. Gasol
6:30.0,,,76-89,,Turnover by M. Gasol (offensive foul)
6:30.0,Z. Pachulia enters the game for D. Nowitzki,,76-89,,
6:30.0,D. Williams enters the game for D. Powell,,76-89,,
6:10.0,R. Felton makes 3-pt shot from 25 ft (assist by W. Matthews),3,79-89,,
5:54.0,,,79-89,,Shooting foul by Z. Pachulia (drawn by M. Gasol)
5:54.0,,,79-89,,Memphis full timeout
5:54.0,,,79-90,1,M. Gasol makes free throw 1 of 2
5:54.0,,,79-91,1,M. Gasol makes free throw 2 of 2
5:44.0,Z. Pachulia makes 2-pt shot from 19 ft (assist by D. Williams),2,81-91,,
5:19.0,,,81-91,,M. Conley misses 2-pt shot at rim
5:18.0,Defensive rebound by Z. Pachulia,,81-91,,
5:05.0,Turnover by R. Felton (bad pass; steal by T. Allen),,81-91,,
5:00.0,,,81-91,,T. Allen misses 2-pt shot from 2 ft
4:58.0,,,81-91,,Offensive rebound by M. Conley
4:58.0,,,81-93,2,M. Conley makes 2-pt shot at rim
4:42.0,J. Barea misses 3-pt shot from 25 ft,,81-93,,
4:42.0,,,81-93,,Defensive rebound by Team
