time,Phoenix,pts.away,score,pts.home,Milwaukee
4:16.0,A. Len makes 2-pt shot from 16 ft (assist by P. Tucker),2,43-42,,
3:51.0,,,43-42,,J. Bayless misses 2-pt shot from 4 ft
3:50.0,Defensive rebound by A. Len,,43-42,,
3:41.0,Turnover by B. Knight (lost ball; steal by R. Vaughn),,43-42,,
3:21.0,,,43-42,,G. Monroe misses 2-pt shot from 8 ft
3:20.0,Defensive rebound by T. Chandler,,43-42,,
3:20.0,,,43-42,,Personal foul by G. Monroe
3:20.0,Personal foul by A. Len,,43-42,,
3:20.0,,,43-42,,K. Middleton enters the game for J. Bayless
3:20.0,,,43-42,,J. Parker enters the game for M. Plumlee
3:02.0,A. Len misses 2-pt shot from 6 ft (block by R. Vaughn),,43-42,,
3:02.0,Offensive rebound by Team,,43-42,,
2:57.0,P. Tucker makes 2-pt shot at rim (assist by A. Len),2,45-42,,
2:43.0,,,45-44,2,K. Middleton makes 2-pt shot from 5 ft (assist by G. Monroe)
2:27.0,Turnover by A. Len (bad pass),,45-44,,
2:27.0,,,45-44,,Milwaukee full timeout
2:27.0,D. Booker enters the game for R. Price,,45-44,,
2:17.0,,,45-46,2,K. Middleton makes 2-pt shot from 11 ft
1:53.0,Turnover by B. Knight (lost ball; steal by G. Monroe),,45-46,,
1:45.0,,,45-48,2,G. Monroe makes 2-pt shot at rim (assist by G. Antetokounmpo)
1:34.0,Turnover by D. Booker (kicked ball),,45-48,,
1:26.0,,,45-48,,G. Monroe misses 2-pt shot at rim
1:24.0,Defensive rebound by A. Len,,45-48,,
1:16.0,A. Len misses 2-pt shot from 6 ft,,45-48,,
1:14.0,Offensive rebound by T. Chandler,,45-48,,
1:13.0,P. Tucker makes 2-pt shot from 1 ft (assist by T. Chandler),2,47-48,,
0:54.0,,,47-48,,R. Vaughn misses 2-pt shot from 17 ft
0:53.0,Defensive rebound by T. Chandler,,47-48,,
0:51.0,Turnover by T. Chandler (lost ball; steal by J. Parker),,47-48,,
0:48.0,Shooting block foul by T. Chandler (drawn by J. Parker),,47-48,,
0:48.0,,,47-49,1,J. Parker makes free throw 1 of 2
0:48.0,J. Leuer enters the game for T. Chandler,,47-49,,
0:48.0,,,47-50,1,J. Parker makes free throw 2 of 2
0:37.0,,,47-50,,Personal foul by K. Middleton
0:34.0,Turnover by P. Tucker (lost ball; steal by G. Monroe),,47-50,,
0:26.0,,,47-53,3,K. Middleton makes 3-pt shot from 28 ft (assist by G. Antetokounmpo)
0:02.0,Turnover by Team (shot clock),,47-53,,
0:02.0,,,47-53,,G. Monroe misses 3-pt shot from 25 ft
0:00.0,,,47-53,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:46.0,,,47-53,,K. Middleton misses 2-pt shot from 19 ft
11:45.0,,,47-53,,Offensive rebound by G. Monroe
11:35.0,,,47-55,2,G. Monroe makes 2-pt shot from 3 ft
11:21.0,Turnover by A. Len (lost ball; steal by R. Vaughn),,47-55,,
11:14.0,,,47-57,2,R. Vaughn makes 2-pt shot at rim (assist by G. Monroe)
11:14.0,Phoenix full timeout,,47-57,,
11:02.0,Turnover by D. Booker (lost ball; steal by J. Parker),,47-57,,
10:51.0,,,47-57,,G. Monroe misses 2-pt shot from 2 ft
10:49.0,,,47-57,,Offensive rebound by G. Antetokounmpo
10:39.0,Personal foul by B. Knight,,47-57,,
10:32.0,,,47-59,2,J. Parker makes 2-pt shot from 15 ft
10:09.0,,,47-59,,Personal foul by G. Antetokounmpo
9:58.0,T. Chandler misses 2-pt shot from 8 ft,,47-59,,
9:57.0,Offensive rebound by P. Tucker,,47-59,,
9:55.0,P. Tucker makes 2-pt shot from 1 ft,2,49-59,,
9:36.0,,,49-62,3,G. Antetokounmpo makes 3-pt shot from 27 ft (assist by R. Vaughn)
9:28.0,Turnover by B. Knight (bad pass),,49-62,,
9:11.0,,,49-62,,Turnover by G. Antetokounmpo (lost ball)
8:57.0,Turnover by D. Booker (lost ball; steal by R. Vaughn),,49-62,,
8:43.0,,,49-62,,Turnover by G. Monroe (3 sec)
8:26.0,D. Booker makes 2-pt shot from 17 ft,2,51-62,,
8:17.0,,,51-64,2,J. Parker makes 2-pt shot from 15 ft (assist by G. Antetokounmpo)
8:07.0,,,51-64,,Personal foul by G. Monroe
8:01.0,,,51-64,,Personal foul by R. Vaughn
7:55.0,T. Chandler makes 2-pt shot at rim (assist by B. Knight),2,53-64,,
7:34.0,,,53-64,,G. Antetokounmpo misses 2-pt shot from 7 ft
7:33.0,Defensive rebound by T. Chandler,,53-64,,
7:18.0,B. Knight misses 3-pt shot from 28 ft,,53-64,,
7:17.0,,,53-64,,Defensive rebound by Team
7:05.0,,,53-67,3,R. Vaughn makes 3-pt shot from 22 ft (assist by K. Middleton)
6:42.0,T. Chandler makes 2-pt shot at rim (assist by P. Tucker),2,55-67,,
6:22.0,,,55-69,2,J. Parker makes 2-pt shot at rim (assist by G. Antetokounmpo)
6:04.0,B. Knight makes 2-pt shot from 2 ft (assist by T. Chandler),2,57-69,,
5:51.0,,,57-69,,K. Middleton misses 2-pt shot from 1 ft
5:50.0,Defensive rebound by A. Len,,57-69,,
5:40.0,,,57-69,,Personal foul by J. Parker
5:38.0,Shooting foul by K. Middleton (drawn by B. Knight),,57-69,,
5:38.0,B. Knight makes free throw 1 of 2,1,58-69,,
5:38.0,R. Price enters the game for D. Booker,,58-69,,
5:38.0,B. Knight makes free throw 2 of 2,1,59-69,,
5:33.0,,,59-69,,Shooting foul by A. Len (drawn by G. Antetokounmpo)
5:33.0,,,59-70,1,G. Antetokounmpo makes free throw 1 of 2
5:33.0,C. Budinger enters the game for T. Chandler,,59-70,,
5:33.0,,,59-70,,G. Antetokounmpo misses free throw 2 of 2
5:31.0,Defensive rebound by P. Tucker,,59-70,,
5:22.0,Shooting foul by G. Antetokounmpo (drawn by B. Knight),,59-70,,
5:22.0,B. Knight makes free throw 1 of 2,1,60-70,,
5:22.0,,,60-70,,G. Vasquez enters the game for K. Middleton
5:22.0,B. Knight misses free throw 2 of 2,,60-70,,
5:20.0,Offensive rebound by A. Len,,60-70,,
5:12.0,P. Tucker misses 2-pt shot at rim (block by G. Monroe),,60-70,,
5:09.0,,,60-70,,Defensive rebound by G. Monroe
5:05.0,,,60-72,2,G. Antetokounmpo makes 2-pt shot from 1 ft
4:50.0,B. Knight makes 3-pt shot from 26 ft,3,63-72,,
4:23.0,,,63-72,,G. Monroe misses 2-pt shot from 3 ft
4:21.0,Defensive rebound by P. Tucker,,63-72,,
4:14.0,R. Price misses 3-pt shot from 22 ft,,63-72,,
4:13.0,,,63-72,,Defensive rebound by G. Monroe
4:13.0,Personal foul by B. Knight,,63-72,,
4:07.0,,,63-72,,Shooting foul by A. Len (drawn by G. Antetokounmpo)
4:07.0,,,63-72,,G. Antetokounmpo misses free throw 1 of 2
4:07.0,,,63-72,,Offensive rebound by Team
4:07.0,,,63-72,,G. Antetokounmpo misses free throw 2 of 2
4:06.0,Defensive rebound by A. Len,,63-72,,
4:02.0,Turnover by R. Price (lost ball; steal by J. Parker),,63-72,,
3:55.0,,,63-72,,Shooting foul by P. Tucker (drawn by G. Monroe)
3:55.0,,,63-73,1,G. Monroe makes free throw 1 of 2
3:55.0,,,63-73,,T. Ennis enters the game for G. Antetokounmpo
3:55.0,,,63-74,1,G. Monroe makes free throw 2 of 2
3:36.0,Shooting foul by G. Vasquez (drawn by P. Tucker),,63-74,,
3:36.0,P. Tucker makes free throw 1 of 2,1,64-74,,
3:36.0,P. Tucker makes free throw 2 of 2,1,65-74,,
3:11.0,,,65-74,,Turnover by Team (shot clock)
3:01.0,B. Knight misses 3-pt shot from 25 ft,,65-74,,
3:00.0,,,65-74,,Defensive rebound by G. Vasquez
2:50.0,,,65-76,2,G. Monroe makes 2-pt shot from 8 ft
2:24.0,B. Knight misses 2-pt shot at rim,,65-76,,
2:22.0,Offensive rebound by A. Len,,65-76,,
2:21.0,A. Len misses 2-pt shot from 1 ft,,65-76,,
2:21.0,Offensive rebound by Team,,65-76,,
2:21.0,,,65-76,,Milwaukee full timeout
2:19.0,A. Len misses 2-pt shot at rim,,65-76,,
2:17.0,Offensive rebound by P. Tucker,,65-76,,
2:11.0,B. Knight misses 2-pt shot from 15 ft,,65-76,,
2:09.0,Offensive rebound by P. Tucker,,65-76,,
2:07.0,P. Tucker makes 2-pt shot at rim,2,67-76,,
1:48.0,,,67-76,,Shooting foul by P. Tucker (drawn by J. Parker)
1:48.0,,,67-77,1,J. Parker makes free throw 1 of 2
1:48.0,,,67-78,1,J. Parker makes free throw 2 of 2
1:29.0,C. Budinger misses 3-pt shot from 25 ft,,67-78,,
1:28.0,,,67-78,,Defensive rebound by G. Monroe
1:10.0,,,67-78,,Turnover by G. Vasquez (bad pass)
1:10.0,J. Jenkins enters the game for C. Budinger,,67-78,,
0:56.0,B. Knight makes 2-pt shot from 10 ft,2,69-78,,
0:45.0,,,69-78,,G. Monroe misses 2-pt shot from 8 ft
0:43.0,Defensive rebound by P. Tucker,,69-78,,
0:34.0,P. Tucker makes 2-pt shot at rim,2,71-78,,
0:20.0,,,71-78,,G. Vasquez misses 2-pt shot from 3 ft
0:18.0,Defensive rebound by R. Price,,71-78,,
0:14.0,A. Len makes 2-pt shot at rim (assist by P. Tucker),2,73-78,,
0:03.0,,,73-78,,Shooting foul by R. Price (drawn by T. Ennis)
0:03.0,,,73-79,1,T. Ennis makes free throw 1 of 2
0:03.0,,,73-80,1,T. Ennis makes free throw 2 of 2
0:03.0,Turnover by P. Tucker (lost ball; steal by G. Vasquez),,73-80,,
0:01.0,,,73-80,,Turnover by R. Vaughn (lost ball; steal by J. Jenkins)
0:00.0,J. Jenkins makes 2-pt shot at rim,2,75-80,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:37.0,R. Price makes 3-pt shot from 26 ft (assist by D. Booker),3,78-80,,
11:12.0,,,78-80,,M. Plumlee misses 2-pt shot from 1 ft (block by T. Chandler)
11:09.0,Defensive rebound by J. Jenkins,,78-80,,
11:06.0,,,78-80,,Shooting block foul by J. Henson (drawn by A. Goodwin)
11:06.0,A. Goodwin misses free throw 1 of 2,,78-80,,
11:06.0,Offensive rebound by Team,,78-80,,
11:06.0,A. Goodwin misses free throw 2 of 2,,78-80,,
10:46.0,,,78-80,,Defensive rebound by K. Middleton
10:46.0,,,78-80,,K. Middleton misses 3-pt shot from 28 ft
10:43.0,Defensive rebound by D. Booker,,78-80,,
10:40.0,D. Booker makes 2-pt shot from 1 ft,2,80-80,,
10:27.0,,,80-80,,J. Henson misses 2-pt shot from 1 ft
10:25.0,Defensive rebound by T. Chandler,,80-80,,
10:19.0,R. Price misses 3-pt shot from 25 ft,,80-80,,
10:17.0,,,80-80,,Defensive rebound by J. Henson
10:06.0,Personal foul by R. Price,,80-80,,
10:05.0,Personal foul by R. Price,,80-80,,
10:01.0,,,80-80,,J. Henson misses 2-pt shot at rim
9:59.0,Defensive rebound by T. Chandler,,80-80,,
9:53.0,J. Jenkins misses 3-pt shot from 23 ft,,80-80,,
9:51.0,,,80-80,,Defensive rebound by T. Ennis
9:46.0,,,80-80,,G. Vasquez misses 3-pt shot from 25 ft
9:44.0,,,80-80,,Offensive rebound by J. Henson
9:42.0,,,80-82,2,J. Henson makes 2-pt shot from 3 ft
9:30.0,Turnover by D. Booker (bad pass),,80-82,,
9:17.0,,,80-82,,M. Plumlee misses 2-pt shot from 5 ft
9:17.0,,,80-82,,Offensive rebound by T. Ennis
9:12.0,,,80-82,,Shooting foul by A. Goodwin (drawn by J. Henson)
9:12.0,,,80-82,,J. Henson misses free throw 1 of 2
9:12.0,,,80-82,,Offensive rebound by Team
9:12.0,,,80-83,1,J. Henson makes free throw 2 of 2
9:01.0,D. Booker makes 2-pt shot from 16 ft,2,82-83,,
8:43.0,,,82-83,,Shooting foul by T. Chandler (drawn by J. Henson)
8:43.0,Official timeout,,82-83,,
8:43.0,,,82-83,,G. Antetokounmpo enters the game for M. Plumlee
8:43.0,,,82-83,,J. Parker enters the game for G. Vasquez
8:43.0,,,82-83,,J. Henson misses free throw 1 of 2
8:43.0,,,82-83,,Offensive rebound by Team
8:43.0,,,82-84,1,J. Henson makes free throw 2 of 2
8:30.0,,,82-84,,Personal foul by J. Henson
8:17.0,R. Price misses 3-pt shot from 27 ft,,82-84,,
8:16.0,,,82-84,,Defensive rebound by J. Parker
7:59.0,,,82-84,,K. Middleton misses 2-pt shot from 7 ft
7:58.0,Defensive rebound by A. Goodwin,,82-84,,
7:47.0,D. Booker misses 3-pt shot from 25 ft,,82-84,,
7:46.0,,,82-84,,Defensive rebound by J. Parker
7:37.0,,,82-84,,Turnover by G. Antetokounmpo (lost ball; steal by R. Price)
7:35.0,Turnover by R. Price (lost ball),,82-84,,
7:31.0,,,82-84,,Shooting foul by T. Chandler (drawn by K. Middleton)
7:31.0,,,82-85,1,K. Middleton makes free throw 1 of 2
7:31.0,A. Len enters the game for T. Chandler,,82-85,,
7:31.0,B. Knight enters the game for J. Jenkins,,82-85,,
7:31.0,P. Tucker enters the game for A. Goodwin,,82-85,,
7:31.0,,,82-86,1,K. Middleton makes free throw 2 of 2
7:16.0,P. Tucker misses 3-pt shot from 22 ft,,82-86,,
7:14.0,Offensive rebound by R. Price,,82-86,,
7:14.0,R. Price makes 2-pt shot at rim,2,84-86,,
6:57.0,,,84-88,2,T. Ennis makes 2-pt shot from 13 ft
6:40.0,B. Knight misses 3-pt shot from 27 ft,,84-88,,
6:39.0,,,84-88,,Defensive rebound by K. Middleton
6:30.0,,,84-88,,J. Henson misses 2-pt shot from 3 ft
6:28.0,Defensive rebound by A. Len,,84-88,,
6:18.0,,,84-88,,Personal foul by T. Ennis
6:10.0,Turnover by D. Booker (lost ball; steal by J. Parker),,84-88,,
5:57.0,,,84-88,,T. Ennis misses 3-pt shot from 26 ft
5:56.0,Defensive rebound by P. Tucker,,84-88,,
5:40.0,,,84-88,,Milwaukee full timeout
5:32.0,Turnover by Team (shot clock),,84-88,,
5:13.0,,,84-90,2,K. Middleton makes 2-pt shot from 14 ft
5:00.0,R. Price misses 3-pt shot from 22 ft,,84-90,,
4:59.0,,,84-90,,Defensive rebound by J. Henson
4:45.0,,,84-92,2,K. Middleton makes 2-pt shot from 16 ft
4:40.0,Phoenix full timeout,,84-92,,
4:40.0,T. Chandler enters the game for R. Price,,84-92,,
4:31.0,A. Len makes 2-pt shot from 2 ft (assist by P. Tucker),2,86-92,,
4:13.0,,,86-92,,K. Middleton misses 2-pt shot from 13 ft
4:11.0,Defensive rebound by D. Booker,,86-92,,
