time,Orlando,pts.away,score,pts.home,Chicago
8:54.0,,,34-37,,J. Noah misses 2-pt shot from 1 ft (block by A. Gordon)
8:52.0,Defensive rebound by E. Fournier,,34-37,,
8:46.0,C. Frye misses 3-pt shot from 24 ft,,34-37,,
8:45.0,,,34-37,,Defensive rebound by T. Gibson
8:39.0,,,34-37,,Offensive charge foul by D. McDermott
8:39.0,,,34-37,,Turnover by D. McDermott (offensive foul)
8:39.0,Orlando full timeout,,34-37,,
8:39.0,,,34-37,,D. Rose enters the game for A. Brooks
8:21.0,Turnover by A. Gordon (traveling),,34-37,,
8:11.0,,,34-39,2,J. Noah makes 2-pt shot at rim (assist by D. Rose)
7:54.0,C. Frye misses 3-pt shot from 25 ft,,34-39,,
7:53.0,,,34-39,,Defensive rebound by D. Rose
7:42.0,,,34-39,,D. McDermott misses 2-pt shot from 1 ft (block by A. Gordon)
7:40.0,,,34-39,,Offensive rebound by J. Noah
7:40.0,,,34-41,2,J. Noah makes 2-pt shot from 1 ft
7:16.0,A. Gordon misses 3-pt shot from 22 ft,,34-41,,
7:15.0,,,34-41,,Defensive rebound by D. Rose
7:08.0,,,34-41,,D. McDermott misses 3-pt shot from 24 ft
7:07.0,Defensive rebound by C. Frye,,34-41,,
6:59.0,E. Payton misses 2-pt shot from 14 ft,,34-41,,
6:58.0,,,34-41,,Defensive rebound by E. Moore
6:54.0,,,34-43,2,T. Gibson makes 2-pt shot from 1 ft (assist by E. Moore)
6:35.0,E. Payton misses 3-pt shot from 25 ft,,34-43,,
6:34.0,,,34-43,,Defensive rebound by D. Rose
6:31.0,T. Harris enters the game for C. Frye,,34-43,,
6:31.0,N. Vucevic enters the game for A. Gordon,,34-43,,
6:31.0,,,34-43,,P. Gasol enters the game for J. Noah
6:22.0,,,34-43,,E. Moore misses 2-pt shot from 12 ft
6:21.0,Defensive rebound by Team,,34-43,,
6:07.0,T. Harris misses 2-pt shot from 2 ft,,34-43,,
6:06.0,Offensive rebound by T. Harris,,34-43,,
6:04.0,Turnover by T. Harris (bad pass; steal by P. Gasol),,34-43,,
5:48.0,,,34-45,2,D. McDermott makes 2-pt shot from 10 ft (assist by P. Gasol)
5:28.0,N. Vucevic misses 2-pt shot from 1 ft,,34-45,,
5:27.0,,,34-45,,Defensive rebound by P. Gasol
5:17.0,,,34-45,,P. Gasol misses 2-pt shot from 18 ft
5:16.0,Defensive rebound by V. Oladipo,,34-45,,
5:05.0,T. Harris misses 2-pt shot from 1 ft,,34-45,,
5:03.0,,,34-45,,Defensive rebound by P. Gasol
4:58.0,,,34-45,,E. Moore misses 2-pt shot from 4 ft (block by V. Oladipo)
4:56.0,Defensive rebound by V. Oladipo,,34-45,,
4:45.0,E. Payton misses 3-pt shot from 26 ft,,34-45,,
4:44.0,Offensive rebound by T. Harris,,34-45,,
4:33.0,E. Fournier makes 2-pt shot from 1 ft,2,36-45,,
4:26.0,Personal block foul by E. Payton (drawn by D. Rose),,36-45,,
4:26.0,,,36-45,,Chicago full timeout
4:26.0,,,36-45,,N. Mirotic enters the game for T. Gibson
4:26.0,C. Watson enters the game for V. Oladipo,,36-45,,
4:26.0,,,36-45,,J. Butler enters the game for D. McDermott
4:14.0,,,36-47,2,J. Butler makes 2-pt shot from 8 ft
4:01.0,Turnover by E. Payton (bad pass; steal by J. Butler),,36-47,,
3:57.0,,,36-47,,J. Butler misses 2-pt shot from 2 ft
3:55.0,Defensive rebound by E. Fournier,,36-47,,
3:53.0,Turnover by E. Payton (traveling),,36-47,,
3:30.0,,,36-47,,Turnover by E. Moore (bad pass)
3:19.0,E. Fournier misses 3-pt shot from 24 ft,,36-47,,
3:18.0,,,36-47,,Defensive rebound by D. Rose
3:10.0,,,36-47,,E. Moore misses 3-pt shot from 24 ft
3:09.0,Defensive rebound by Team,,36-47,,
2:55.0,N. Vucevic makes 2-pt shot from 8 ft,2,38-47,,
2:36.0,,,38-47,,E. Moore misses 2-pt shot from 18 ft
2:35.0,Defensive rebound by T. Harris,,38-47,,
2:30.0,T. Harris misses 2-pt shot from 1 ft,,38-47,,
2:29.0,,,38-47,,Defensive rebound by P. Gasol
2:24.0,,,38-47,,D. Rose misses 2-pt shot from 4 ft (block by E. Payton)
2:24.0,,,38-47,,Offensive rebound by Team
2:24.0,Orlando full timeout,,38-47,,
2:24.0,,,38-47,,T. Snell enters the game for E. Moore
2:23.0,,,38-47,,Shooting foul by T. Harris (drawn by N. Mirotic)
2:23.0,,,38-48,1,N. Mirotic makes free throw 1 of 2
2:23.0,A. Gordon enters the game for T. Harris,,38-48,,
2:23.0,,,38-49,1,N. Mirotic makes free throw 2 of 2
1:58.0,C. Watson makes 2-pt shot from 19 ft (assist by N. Vucevic),2,40-49,,
1:43.0,,,40-52,3,T. Snell makes 3-pt shot from 23 ft (assist by J. Butler)
1:33.0,Turnover by N. Vucevic (lost ball; steal by J. Butler),,40-52,,
1:21.0,,,40-52,,D. Rose misses 2-pt shot from 6 ft
1:19.0,Defensive rebound by E. Fournier,,40-52,,
1:15.0,Offensive charge foul by E. Payton,,40-52,,
1:15.0,Turnover by E. Payton (offensive foul),,40-52,,
1:15.0,S. Napier enters the game for E. Payton,,40-52,,
1:08.0,Violation by E. Fournier (kicked ball),,40-52,,
0:58.0,,,40-52,,P. Gasol misses 2-pt shot from 5 ft (block by N. Vucevic)
0:56.0,Defensive rebound by N. Vucevic,,40-52,,
0:45.0,E. Fournier misses 2-pt shot from 21 ft,,40-52,,
0:44.0,,,40-52,,Defensive rebound by D. Rose
0:38.0,,,40-52,,Turnover by T. Snell (bad pass; steal by N. Vucevic)
0:28.0,S. Napier misses 2-pt shot from 2 ft,,40-52,,
0:26.0,,,40-52,,Defensive rebound by P. Gasol
0:05.0,,,40-52,,Shooting foul by N. Vucevic (drawn by P. Gasol)
0:05.0,,,40-53,1,P. Gasol makes free throw 1 of 2
0:05.0,,,40-53,,J. Noah enters the game for N. Mirotic
0:05.0,,,40-54,1,P. Gasol makes free throw 2 of 2
0:00.0,C. Watson misses 3-pt shot from 26 ft,,40-54,,
0:00.0,Offensive rebound by Team,,40-54,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:39.0,N. Vucevic makes 2-pt shot from 8 ft (assist by T. Harris),2,42-54,,
11:20.0,,,42-54,,N. Mirotic misses 3-pt shot from 24 ft
11:18.0,Defensive rebound by E. Payton,,42-54,,
11:10.0,T. Harris misses 2-pt shot at rim,,42-54,,
11:09.0,Offensive rebound by T. Harris,,42-54,,
11:09.0,T. Harris makes 2-pt shot at rim,2,44-54,,
10:56.0,,,44-56,2,P. Gasol makes 2-pt shot at rim (assist by D. Rose)
10:35.0,T. Harris makes 2-pt shot from 3 ft (assist by E. Fournier),2,46-56,,
10:27.0,,,46-56,,Offensive foul by N. Mirotic
10:27.0,,,46-56,,Turnover by N. Mirotic (offensive foul)
10:04.0,E. Fournier misses 2-pt shot from 5 ft (block by J. Butler),,46-56,,
10:04.0,,,46-56,,Defensive rebound by Team
9:50.0,,,46-56,,D. Rose misses 2-pt shot from 2 ft
9:49.0,Defensive rebound by N. Vucevic,,46-56,,
9:43.0,T. Harris misses 2-pt shot from 1 ft (block by N. Mirotic),,46-56,,
9:41.0,Offensive rebound by T. Harris,,46-56,,
9:39.0,E. Payton misses 2-pt shot from 2 ft,,46-56,,
9:37.0,,,46-56,,Defensive rebound by J. Butler
9:19.0,,,46-58,2,P. Gasol makes 2-pt shot from 14 ft (assist by D. Rose)
9:01.0,E. Payton makes 2-pt shot from 18 ft (assist by E. Fournier),2,48-58,,
8:51.0,Personal foul by E. Payton (drawn by D. Rose),,48-58,,
8:37.0,,,48-58,,Turnover by D. Rose (bad pass; steal by V. Oladipo)
8:31.0,E. Payton makes 2-pt shot from 2 ft (assist by V. Oladipo),2,50-58,,
8:31.0,,,50-58,,Chicago full timeout
8:13.0,Personal foul by E. Fournier (drawn by P. Gasol),,50-58,,
8:01.0,,,50-58,,P. Gasol misses 3-pt shot from 23 ft
7:59.0,Defensive rebound by Team,,50-58,,
7:40.0,V. Oladipo misses 3-pt shot from 25 ft,,50-58,,
7:39.0,,,50-58,,Defensive rebound by D. Rose
7:32.0,,,50-58,,J. Butler misses 2-pt shot from 15 ft
7:31.0,Defensive rebound by N. Vucevic,,50-58,,
7:26.0,V. Oladipo misses 2-pt shot from 3 ft,,50-58,,
7:24.0,,,50-58,,Defensive rebound by T. Snell
7:03.0,,,50-61,3,N. Mirotic makes 3-pt shot from 26 ft (assist by J. Butler)
6:40.0,Shooting foul by T. Snell (drawn by T. Harris),,50-61,,
6:40.0,T. Harris misses free throw 1 of 2,,50-61,,
6:40.0,Offensive rebound by Team,,50-61,,
6:40.0,T. Harris makes free throw 2 of 2,1,51-61,,
6:26.0,Personal foul by E. Payton (drawn by J. Butler),,51-61,,
6:26.0,C. Watson enters the game for E. Payton,,51-61,,
6:19.0,,,51-61,,Shooting foul by V. Oladipo (drawn by J. Butler)
6:19.0,,,51-62,1,J. Butler makes free throw 1 of 2
6:19.0,,,51-63,1,J. Butler makes free throw 2 of 2
5:57.0,V. Oladipo misses 3-pt shot from 24 ft,,51-63,,
5:55.0,,,51-63,,Defensive rebound by D. Rose
5:40.0,,,51-63,,N. Mirotic misses 2-pt shot from 1 ft (block by V. Oladipo)
5:37.0,Defensive rebound by T. Harris,,51-63,,
5:35.0,Turnover by T. Harris (bad pass),,51-63,,
5:35.0,,,51-63,,J. Noah enters the game for P. Gasol
5:24.0,,,51-65,2,J. Butler makes 2-pt shot from 10 ft
5:10.0,Shooting foul by J. Noah (drawn by N. Vucevic),,51-65,,
5:10.0,N. Vucevic makes free throw 1 of 2,1,52-65,,
5:10.0,N. Vucevic makes free throw 2 of 2,1,53-65,,
4:51.0,,,53-65,,N. Mirotic misses 3-pt shot from 24 ft
4:50.0,Defensive rebound by N. Vucevic,,53-65,,
4:39.0,E. Fournier misses 2-pt shot from 23 ft,,53-65,,
4:38.0,Offensive rebound by N. Vucevic,,53-65,,
4:26.0,C. Watson makes 3-pt shot from 25 ft (assist by V. Oladipo),3,56-65,,
4:16.0,,,56-67,2,J. Noah makes 2-pt shot from 1 ft (assist by D. Rose)
4:03.0,E. Fournier makes 2-pt shot from 1 ft (assist by T. Harris),2,58-67,,
3:44.0,,,58-70,3,N. Mirotic makes 3-pt shot from 23 ft (assist by D. Rose)
3:20.0,E. Fournier makes 3-pt shot from 23 ft (assist by C. Watson),3,61-70,,
3:05.0,,,61-73,3,T. Snell makes 3-pt shot from 22 ft (assist by D. Rose)
2:49.0,E. Fournier misses 3-pt shot from 23 ft,,61-73,,
2:48.0,Offensive rebound by N. Vucevic,,61-73,,
2:45.0,N. Vucevic makes 2-pt shot from 9 ft,2,63-73,,
2:30.0,,,63-73,,D. Rose misses 3-pt shot from 25 ft
2:29.0,Defensive rebound by Team,,63-73,,
2:29.0,Orlando full timeout,,63-73,,
2:29.0,,,63-73,,A. Brooks enters the game for T. Snell
2:29.0,,,63-73,,E. Moore enters the game for D. Rose
2:29.0,A. Gordon enters the game for T. Harris,,63-73,,
2:29.0,J. Smith enters the game for V. Oladipo,,63-73,,
2:15.0,C. Watson misses 2-pt shot from 7 ft,,63-73,,
2:14.0,,,63-73,,Defensive rebound by J. Noah
1:54.0,,,63-73,,Turnover by N. Mirotic (bad pass; steal by A. Gordon)
1:49.0,A. Gordon misses 2-pt shot from 4 ft,,63-73,,
1:49.0,Offensive rebound by Team,,63-73,,
1:49.0,,,63-73,,Personal foul by E. Moore (drawn by E. Fournier)
1:49.0,,,63-73,,T. Gibson enters the game for N. Mirotic
1:24.0,J. Smith misses 2-pt shot from 19 ft,,63-73,,
1:23.0,Offensive rebound by C. Watson,,63-73,,
1:16.0,N. Vucevic misses 2-pt shot from 16 ft,,63-73,,
1:15.0,,,63-73,,Defensive rebound by E. Moore
0:57.0,Personal foul by E. Fournier (drawn by T. Gibson),,63-73,,
0:57.0,,,63-74,1,T. Gibson makes free throw 1 of 2
0:57.0,,,63-74,,D. McDermott enters the game for J. Butler
0:57.0,,,63-75,1,T. Gibson makes free throw 2 of 2
0:41.0,Turnover by N. Vucevic (step out of bounds),,63-75,,
0:25.0,,,63-75,,A. Brooks misses 2-pt shot from 10 ft
0:24.0,Defensive rebound by C. Watson,,63-75,,
0:21.0,Shooting foul by E. Moore (drawn by C. Watson),,63-75,,
0:21.0,C. Watson misses free throw 1 of 2,,63-75,,
0:21.0,Offensive rebound by Team,,63-75,,
0:21.0,,,63-75,,N. Mirotic enters the game for T. Gibson
0:21.0,C. Watson misses free throw 2 of 2,,63-75,,
0:19.0,,,63-75,,Defensive rebound by J. Noah
0:05.0,,,63-75,,N. Mirotic misses 3-pt shot from 25 ft
0:03.0,,,63-75,,Offensive rebound by D. McDermott
0:01.0,,,63-75,,D. McDermott misses 2-pt shot from 16 ft
0:00.0,Defensive rebound by E. Fournier,,63-75,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:36.0,,,63-75,,T. Gibson misses 2-pt shot from 2 ft (block by J. Smith)
11:36.0,,,63-75,,Offensive rebound by Team
11:36.0,,,63-75,,Turnover by Team (shot clock)
11:25.0,Shooting foul by E. Moore (drawn by J. Smith),,63-75,,
11:25.0,J. Smith misses free throw 1 of 2,,63-75,,
11:25.0,Offensive rebound by Team,,63-75,,
11:25.0,J. Smith makes free throw 2 of 2,1,64-75,,
11:05.0,,,64-75,,E. Moore misses 2-pt shot from 17 ft
11:04.0,Defensive rebound by A. Gordon,,64-75,,
10:59.0,Turnover by N. Vucevic (traveling),,64-75,,
10:44.0,,,64-75,,E. Moore misses 2-pt shot from 16 ft
10:43.0,,,64-75,,Offensive rebound by J. Noah
10:39.0,,,64-75,,D. McDermott misses 3-pt shot from 25 ft
10:38.0,Defensive rebound by C. Watson,,64-75,,
10:32.0,Turnover by N. Vucevic (3 sec),,64-75,,
10:19.0,,,64-77,2,A. Brooks makes 2-pt shot from 16 ft (assist by T. Gibson)
10:02.0,V. Oladipo misses 2-pt shot from 20 ft,,64-77,,
10:01.0,Offensive rebound by N. Vucevic,,64-77,,
9:54.0,J. Smith makes 2-pt shot from 20 ft (assist by C. Watson),2,66-77,,
9:43.0,,,66-79,2,D. McDermott makes 2-pt shot from 1 ft (assist by J. Noah)
9:26.0,A. Gordon misses 2-pt shot from 17 ft,,66-79,,
9:25.0,,,66-79,,Defensive rebound by T. Gibson
9:16.0,,,66-81,2,A. Brooks makes 2-pt shot from 5 ft
9:03.0,,,66-81,,Personal foul by A. Brooks (drawn by C. Watson)
8:58.0,,,66-81,,Personal foul by J. Noah (drawn by N. Vucevic)
8:58.0,Orlando full timeout,,66-81,,
8:58.0,S. Napier enters the game for C. Watson,,66-81,,
8:50.0,J. Smith makes 2-pt shot from 19 ft (assist by N. Vucevic),2,68-81,,
8:30.0,,,68-81,,Turnover by J. Noah (lost ball; steal by S. Napier)
8:29.0,,,68-81,,Personal foul by A. Brooks (drawn by S. Napier)
8:17.0,N. Vucevic misses 2-pt shot from 9 ft,,68-81,,
8:16.0,,,68-81,,Defensive rebound by J. Noah
7:59.0,,,68-81,,A. Brooks misses 3-pt shot from 25 ft
7:58.0,Defensive rebound by J. Smith,,68-81,,
7:46.0,S. Napier misses 2-pt shot from 1 ft,,68-81,,
7:45.0,,,68-81,,Defensive rebound by A. Brooks
7:23.0,,,68-81,,D. McDermott misses 2-pt shot from 21 ft (block by J. Smith)
7:21.0,,,68-81,,Offensive rebound by A. Brooks
7:20.0,,,68-81,,A. Brooks misses 3-pt shot from 41 ft
7:20.0,,,68-81,,Offensive rebound by Team
7:20.0,,,68-81,,Turnover by Team (shot clock)
7:05.0,Turnover by N. Vucevic (lost ball; steal by J. Noah),,68-81,,
7:01.0,,,68-83,2,T. Gibson makes 2-pt shot at rim (assist by E. Moore)
6:40.0,S. Napier makes 3-pt shot from 24 ft (assist by V. Oladipo),3,71-83,,
6:24.0,,,71-83,,A. Brooks misses 3-pt shot from 25 ft
6:23.0,Defensive rebound by N. Vucevic,,71-83,,
6:15.0,V. Oladipo makes 2-pt shot from 2 ft,2,73-83,,
6:00.0,,,73-83,,J. Noah misses 2-pt shot at rim
6:00.0,Defensive rebound by Team,,73-83,,
6:00.0,A. Nicholson enters the game for N. Vucevic,,73-83,,
6:00.0,,,73-83,,D. Rose enters the game for A. Brooks
5:44.0,A. Nicholson misses 2-pt shot from 4 ft,,73-83,,
5:43.0,,,73-83,,Defensive rebound by T. Gibson
5:33.0,,,73-83,,Turnover by T. Gibson (bad pass; steal by A. Gordon)
5:23.0,J. Smith makes 3-pt shot from 25 ft (assist by V. Oladipo),3,76-83,,
5:22.0,,,76-83,,Chicago full timeout
5:22.0,,,76-83,,T. Snell enters the game for J. Noah
5:22.0,,,76-83,,J. Butler enters the game for T. Gibson
5:22.0,,,76-83,,N. Mirotic enters the game for D. McDermott
5:22.0,,,76-83,,P. Gasol enters the game for E. Moore
5:01.0,,,76-83,,T. Snell misses 3-pt shot from 24 ft
5:00.0,Defensive rebound by V. Oladipo,,76-83,,
4:44.0,J. Smith misses 2-pt shot from 20 ft,,76-83,,
4:43.0,Offensive rebound by A. Gordon,,76-83,,
4:43.0,A. Gordon makes 2-pt shot from 3 ft,2,78-83,,
4:24.0,,,78-83,,Offensive charge foul by D. Rose
4:24.0,,,78-83,,Turnover by D. Rose (offensive foul)
4:12.0,V. Oladipo makes 2-pt shot at rim,2,80-83,,
3:52.0,,,80-83,,J. Butler misses 3-pt shot from 25 ft
3:51.0,Defensive rebound by A. Gordon,,80-83,,
3:36.0,S. Napier makes 2-pt shot from 11 ft,2,82-83,,
3:17.0,,,82-83,,Shooting foul by S. Napier (drawn by N. Mirotic)
3:17.0,,,82-83,,N. Mirotic misses free throw 1 of 2
3:17.0,,,82-83,,Offensive rebound by Team
3:17.0,,,82-84,1,N. Mirotic makes free throw 2 of 2
3:04.0,V. Oladipo misses 3-pt shot from 26 ft,,82-84,,
3:04.0,,,82-84,,Defensive rebound by N. Mirotic
3:04.0,Personal foul by A. Gordon (drawn by N. Mirotic),,82-84,,
2:51.0,,,82-86,2,P. Gasol makes 2-pt shot from 15 ft (assist by D. Rose)
2:34.0,J. Smith misses 3-pt shot from 25 ft,,82-86,,
2:33.0,,,82-86,,Defensive rebound by J. Butler
2:22.0,,,82-86,,N. Mirotic misses 3-pt shot from 23 ft
