time,Washington,pts.away,score,pts.home,Miami
7:17.0,R. Hollins misses 2-pt shot from 5 ft,,10-8,,
7:16.0,Offensive rebound by O. Porter,,10-8,,
7:16.0,Shooting foul by D. Wade (drawn by O. Porter),,10-8,,
7:16.0,O. Porter makes free throw 1 of 2,1,11-8,,
7:16.0,O. Porter misses free throw 2 of 2,,11-8,,
7:15.0,,,11-8,,Defensive rebound by H. Whiteside
6:49.0,,,11-10,2,H. Whiteside makes 2-pt shot at rim (assist by G. Dragic)
6:29.0,B. Beal misses 2-pt shot from 3 ft,,11-10,,
6:28.0,Offensive rebound by R. Hollins,,11-10,,
6:15.0,Shooting foul by H. Whiteside (drawn by J. Dudley),,11-10,,
6:15.0,J. Dudley makes free throw 1 of 2,1,12-10,,
6:15.0,,,12-10,,T. Johnson enters the game for G. Dragic
6:15.0,,,12-10,,J. Winslow enters the game for C. Bosh
6:15.0,J. Dudley misses free throw 2 of 2,,12-10,,
6:14.0,,,12-10,,Defensive rebound by H. Whiteside
5:56.0,,,12-10,,Shooting foul by R. Hollins (drawn by H. Whiteside)
5:56.0,,,12-10,,Miami full timeout
5:56.0,G. Neal enters the game for J. Dudley,,12-10,,
5:56.0,,,12-10,,H. Whiteside misses free throw 1 of 2
5:56.0,,,12-10,,Offensive rebound by Team
5:56.0,,,12-10,,H. Whiteside misses free throw 2 of 2
5:55.0,Defensive rebound by B. Beal,,12-10,,
5:34.0,O. Porter misses 2-pt shot from 16 ft,,12-10,,
5:33.0,,,12-10,,Defensive rebound by D. Wade
5:27.0,,,12-10,,D. Wade misses 2-pt shot at rim (block by R. Hollins)
5:26.0,Defensive rebound by O. Porter,,12-10,,
5:20.0,B. Beal misses 3-pt shot from 24 ft,,12-10,,
5:19.0,Offensive rebound by O. Porter,,12-10,,
5:18.0,O. Porter misses 2-pt shot from 10 ft,,12-10,,
5:17.0,Offensive rebound by Team,,12-10,,
5:11.0,Turnover by J. Wall (bad pass),,12-10,,
4:59.0,,,12-12,2,H. Whiteside makes 2-pt shot at rim (assist by D. Wade)
4:47.0,J. Wall makes 2-pt shot from 2 ft,2,14-12,,
4:33.0,,,14-12,,G. Green misses 3-pt shot from 25 ft
4:32.0,Defensive rebound by O. Porter,,14-12,,
4:24.0,J. Wall makes 2-pt shot from 18 ft,2,16-12,,
4:09.0,,,16-12,,Turnover by D. Wade (bad pass; steal by O. Porter)
4:03.0,B. Beal makes 2-pt shot from 11 ft (assist by O. Porter),2,18-12,,
3:44.0,,,18-12,,Turnover by T. Johnson (lost ball; steal by G. Neal)
3:40.0,J. Wall makes 2-pt shot at rim,2,20-12,,
3:40.0,,,20-12,,Miami full timeout
3:40.0,K. Humphries enters the game for R. Hollins,,20-12,,
3:40.0,,,20-12,,G. Dragic enters the game for H. Whiteside
3:40.0,,,20-12,,C. Bosh enters the game for D. Wade
3:33.0,,,20-12,,Shooting foul by K. Humphries (drawn by C. Bosh)
3:33.0,,,20-12,,C. Bosh misses free throw 1 of 2
3:33.0,,,20-12,,Offensive rebound by Team
3:33.0,,,20-13,1,C. Bosh makes free throw 2 of 2
3:21.0,K. Humphries makes 2-pt shot at rim (assist by J. Wall),2,22-13,,
3:02.0,,,22-13,,Turnover by G. Dragic (bad pass)
3:02.0,,,22-13,,J. McRoberts enters the game for G. Green
2:40.0,B. Beal misses 2-pt shot from 18 ft,,22-13,,
2:39.0,,,22-13,,Defensive rebound by G. Dragic
2:27.0,,,22-15,2,G. Dragic makes 2-pt shot from 2 ft
2:07.0,B. Beal makes 2-pt shot from 10 ft,2,24-15,,
1:55.0,Violation by O. Porter (kicked ball),,24-15,,
1:55.0,Washington full timeout,,24-15,,
1:55.0,J. Dudley enters the game for O. Porter,,24-15,,
1:55.0,G. Temple enters the game for B. Beal,,24-15,,
1:42.0,,,24-15,,G. Dragic misses 2-pt shot from 16 ft
1:41.0,Defensive rebound by G. Temple,,24-15,,
1:18.0,K. Humphries misses 2-pt shot from 18 ft,,24-15,,
1:17.0,,,24-15,,Defensive rebound by J. McRoberts
0:56.0,,,24-15,,Offensive charge foul by J. Winslow
0:56.0,,,24-15,,Turnover by J. Winslow (offensive foul)
0:43.0,G. Neal makes 3-pt shot from 23 ft (assist by J. Wall),3,27-15,,
0:34.0,,,27-17,2,J. McRoberts makes 2-pt shot from 19 ft (assist by G. Dragic)
0:27.0,G. Neal makes 2-pt shot from 18 ft,2,29-17,,
0:09.0,Personal foul by G. Temple (drawn by G. Dragic),,29-17,,
0:04.0,,,29-19,2,J. McRoberts makes 2-pt shot from 18 ft (assist by C. Bosh)
0:01.0,J. Dudley misses 3-pt shot from 24 ft,,29-19,,
0:00.0,Offensive rebound by Team,,29-19,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:41.0,G. Neal makes 2-pt shot from 13 ft,2,31-19,,
11:24.0,,,31-21,2,C. Bosh makes 2-pt shot at rim
11:10.0,J. Dudley makes 2-pt shot from 21 ft (assist by G. Temple),2,33-21,,
10:56.0,,,33-21,,Turnover by G. Dragic (3 sec)
10:41.0,G. Temple misses 2-pt shot from 7 ft,,33-21,,
10:40.0,,,33-21,,Defensive rebound by J. Winslow
10:31.0,,,33-24,3,G. Dragic makes 3-pt shot from 25 ft (assist by J. McRoberts)
10:19.0,R. Sessions makes 2-pt shot from 5 ft,2,35-24,,
10:03.0,,,35-24,,J. McRoberts misses 3-pt shot from 24 ft
10:02.0,,,35-24,,Offensive rebound by C. Bosh
9:43.0,,,35-24,,G. Dragic misses 3-pt shot from 24 ft
9:42.0,Defensive rebound by R. Sessions,,35-24,,
9:33.0,Turnover by R. Sessions (bad pass; steal by J. McRoberts),,35-24,,
9:27.0,,,35-24,,G. Dragic misses 2-pt shot from 2 ft
9:26.0,Defensive rebound by G. Temple,,35-24,,
9:18.0,G. Temple makes 3-pt shot from 25 ft (assist by G. Neal),3,38-24,,
9:18.0,,,38-24,,Miami full timeout
9:02.0,,,38-24,,Shooting foul by K. Humphries (drawn by T. Johnson)
9:02.0,,,38-25,1,T. Johnson makes free throw 1 of 2
9:02.0,O. Porter enters the game for K. Humphries,,38-25,,
9:02.0,,,38-26,1,T. Johnson makes free throw 2 of 2
8:46.0,G. Neal makes 2-pt shot from 1 ft,2,40-26,,
8:22.0,,,40-29,3,T. Johnson makes 3-pt shot from 24 ft (assist by C. Bosh)
8:08.0,O. Porter misses 3-pt shot from 24 ft,,40-29,,
8:07.0,,,40-29,,Defensive rebound by C. Bosh
7:58.0,,,40-29,,C. Bosh misses 2-pt shot from 21 ft
7:57.0,,,40-29,,Offensive rebound by J. Winslow
7:49.0,Personal foul by R. Sessions (drawn by G. Dragic),,40-29,,
7:40.0,,,40-31,2,C. Bosh makes 2-pt shot from 1 ft (assist by G. Dragic)
7:31.0,R. Sessions makes 2-pt shot from 1 ft,2,42-31,,
7:31.0,Shooting foul by G. Dragic (drawn by R. Sessions),,42-31,,
7:31.0,B. Beal enters the game for G. Temple,,42-31,,
7:31.0,,,42-31,,D. Wade enters the game for G. Dragic
7:31.0,R. Sessions makes free throw 1 of 1,1,43-31,,
7:06.0,,,43-31,,T. Johnson misses 2-pt shot from 11 ft
7:05.0,,,43-31,,Offensive rebound by C. Bosh
6:55.0,Shooting block foul by G. Neal (drawn by C. Bosh),,43-31,,
6:55.0,,,43-32,1,C. Bosh makes free throw 1 of 2
6:55.0,,,43-32,,G. Green enters the game for J. McRoberts
6:55.0,Violation by R. Sessions (lane),,43-32,,
6:55.0,,,43-33,1,C. Bosh makes free throw 2 of 2
6:44.0,Turnover by R. Sessions (bad pass; steal by D. Wade),,43-33,,
6:38.0,,,43-35,2,J. Winslow makes 2-pt shot at rim (assist by D. Wade)
6:24.0,B. Beal misses 3-pt shot from 23 ft,,43-35,,
6:23.0,,,43-35,,Defensive rebound by D. Wade
6:04.0,,,43-37,2,D. Wade makes 2-pt shot from 1 ft (assist by T. Johnson)
5:57.0,Washington full timeout,,43-37,,
5:57.0,J. Wall enters the game for R. Sessions,,43-37,,
5:57.0,,,43-37,,J. McRoberts enters the game for C. Bosh
5:43.0,Shooting foul by J. McRoberts (drawn by O. Porter),,43-37,,
5:43.0,O. Porter makes free throw 1 of 2,1,44-37,,
5:43.0,,,44-37,,H. Whiteside enters the game for J. McRoberts
5:43.0,K. Humphries enters the game for J. Dudley,,44-37,,
5:43.0,O. Porter makes free throw 2 of 2,1,45-37,,
5:31.0,,,45-37,,G. Green misses 2-pt shot from 1 ft
5:30.0,Defensive rebound by O. Porter,,45-37,,
5:26.0,B. Beal makes 2-pt shot from 1 ft (assist by O. Porter),2,47-37,,
5:06.0,,,47-39,2,D. Wade makes 2-pt shot from 6 ft
4:56.0,O. Porter makes 2-pt shot from 1 ft (assist by B. Beal),2,49-39,,
4:38.0,,,49-41,2,D. Wade makes 2-pt shot from 1 ft
4:21.0,G. Neal makes 2-pt shot from 12 ft,2,51-41,,
4:03.0,,,51-41,,T. Johnson misses 2-pt shot from 12 ft
4:02.0,Defensive rebound by K. Humphries,,51-41,,
3:55.0,O. Porter misses 2-pt shot at rim,,51-41,,
3:54.0,,,51-41,,Defensive rebound by J. Winslow
3:40.0,,,51-43,2,D. Wade makes 2-pt shot from 6 ft
3:30.0,B. Beal misses 2-pt shot from 19 ft (block by G. Green),,51-43,,
3:29.0,Offensive rebound by Team,,51-43,,
3:29.0,,,51-43,,C. Bosh enters the game for J. Winslow
3:29.0,,,51-43,,G. Dragic enters the game for T. Johnson
3:29.0,G. Temple enters the game for O. Porter,,51-43,,
3:15.0,Turnover by Team (shot clock),,51-43,,
3:02.0,,,51-45,2,C. Bosh makes 2-pt shot from 13 ft (assist by D. Wade)
2:55.0,J. Wall makes 2-pt shot from 1 ft,2,53-45,,
2:39.0,,,53-45,,Turnover by G. Dragic (bad pass; steal by J. Wall)
2:34.0,J. Wall makes 2-pt shot at rim,2,55-45,,
2:23.0,,,55-47,2,H. Whiteside makes 2-pt shot from 1 ft (assist by D. Wade)
2:23.0,,,55-47,,Shooting foul by G. Temple (drawn by H. Whiteside)
2:23.0,Official timeout,,55-47,,
2:23.0,R. Hollins enters the game for G. Temple,,55-47,,
2:23.0,,,55-47,,H. Whiteside misses free throw 1 of 1
2:22.0,Defensive rebound by G. Neal,,55-47,,
2:11.0,,,55-47,,Def 3 sec tech foul by C. Bosh
2:11.0,J. Wall makes technical free throw,1,56-47,,
2:02.0,Turnover by J. Wall (bad pass; steal by C. Bosh),,56-47,,
1:51.0,,,56-49,2,C. Bosh makes 2-pt shot from 2 ft (assist by D. Wade)
1:39.0,J. Wall misses 2-pt shot from 17 ft (block by H. Whiteside),,56-49,,
1:38.0,Offensive rebound by R. Hollins,,56-49,,
1:36.0,R. Hollins makes 2-pt shot from 1 ft,2,58-49,,
1:23.0,,,58-49,,Shooting foul by B. Beal (drawn by D. Wade)
1:23.0,,,58-50,1,D. Wade makes free throw 1 of 2
1:23.0,D. Blair enters the game for R. Hollins,,58-50,,
1:23.0,,,58-51,1,D. Wade makes free throw 2 of 2
1:03.0,D. Blair misses 2-pt shot from 7 ft (block by H. Whiteside),,58-51,,
1:02.0,Offensive rebound by G. Neal,,58-51,,
0:58.0,B. Beal makes 2-pt shot from 8 ft (assist by G. Neal),2,60-51,,
0:47.0,,,60-53,2,H. Whiteside makes 2-pt shot at rim (assist by G. Dragic)
0:36.0,B. Beal misses 2-pt shot from 6 ft,,60-53,,
0:34.0,Offensive rebound by D. Blair,,60-53,,
0:32.0,D. Blair misses 2-pt shot from 2 ft,,60-53,,
0:31.0,Offensive rebound by K. Humphries,,60-53,,
0:30.0,K. Humphries misses 2-pt shot at rim,,60-53,,
0:28.0,,,60-53,,Defensive rebound by D. Wade
0:28.0,,,60-55,2,G. Dragic makes 2-pt shot from 1 ft (assist by D. Wade)
0:21.0,Washington full timeout,,60-55,,
0:21.0,O. Porter enters the game for K. Humphries,,60-55,,
0:21.0,,,60-55,,T. Johnson enters the game for H. Whiteside
0:21.0,,,60-55,,J. Winslow enters the game for G. Dragic
0:10.0,,,60-55,,Personal foul by D. Wade (drawn by J. Wall)
0:10.0,,,60-55,,J. Richardson enters the game for D. Wade
0:01.0,J. Wall misses 2-pt shot from 7 ft (block by C. Bosh),,60-55,,
0:00.0,Offensive rebound by Team,,60-55,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:36.0,B. Beal makes 2-pt shot at rim,2,62-55,,
11:07.0,,,62-57,2,D. Wade makes 2-pt shot from 19 ft
10:47.0,J. Dudley misses 2-pt shot from 20 ft,,62-57,,
10:46.0,Offensive rebound by J. Dudley,,62-57,,
10:39.0,O. Porter misses 2-pt shot from 19 ft (block by H. Whiteside),,62-57,,
10:38.0,Offensive rebound by Team,,62-57,,
10:38.0,,,62-57,,Personal foul by G. Green (drawn by R. Hollins)
10:25.0,O. Porter misses 2-pt shot from 10 ft,,62-57,,
10:24.0,,,62-57,,Defensive rebound by C. Bosh
10:21.0,Personal foul by J. Dudley (drawn by G. Dragic),,62-57,,
10:06.0,,,62-59,2,D. Wade makes 2-pt shot from 12 ft
9:59.0,O. Porter misses 2-pt shot from 2 ft (block by C. Bosh),,62-59,,
9:58.0,Offensive rebound by Team,,62-59,,
9:44.0,R. Hollins makes 2-pt shot at rim (assist by J. Wall),2,64-59,,
9:22.0,,,64-61,2,G. Green makes 2-pt shot from 5 ft
9:01.0,B. Beal misses 2-pt shot from 2 ft,,64-61,,
9:00.0,,,64-61,,Defensive rebound by H. Whiteside
8:50.0,,,64-63,2,D. Wade makes 2-pt shot from 2 ft (assist by G. Dragic)
8:50.0,Washington full timeout,,64-63,,
8:36.0,B. Beal misses 2-pt shot from 20 ft,,64-63,,
8:35.0,,,64-63,,Defensive rebound by D. Wade
8:21.0,,,64-65,2,H. Whiteside makes 2-pt shot at rim (assist by D. Wade)
8:09.0,J. Wall misses 2-pt shot from 21 ft,,64-65,,
8:08.0,,,64-65,,Defensive rebound by C. Bosh
8:03.0,,,64-65,,G. Dragic misses 2-pt shot from 4 ft
8:02.0,Defensive rebound by R. Hollins,,64-65,,
7:59.0,Offensive charge foul by O. Porter,,64-65,,
7:59.0,Turnover by O. Porter (offensive foul),,64-65,,
7:43.0,,,64-67,2,D. Wade makes 2-pt shot from 19 ft (assist by G. Green)
7:33.0,O. Porter makes 2-pt shot from 19 ft (assist by J. Wall),2,66-67,,
7:08.0,,,66-69,2,G. Green makes 2-pt shot from 14 ft (assist by C. Bosh)
6:58.0,J. Dudley misses 2-pt shot from 18 ft,,66-69,,
6:57.0,Offensive rebound by R. Hollins,,66-69,,
6:55.0,Turnover by J. Dudley (bad pass),,66-69,,
6:55.0,K. Humphries enters the game for R. Hollins,,66-69,,
6:35.0,,,66-69,,C. Bosh misses 3-pt shot from 23 ft
6:34.0,Defensive rebound by O. Porter,,66-69,,
6:27.0,K. Humphries misses 3-pt shot from 25 ft,,66-69,,
6:26.0,,,66-69,,Defensive rebound by Team
6:26.0,G. Neal enters the game for O. Porter,,66-69,,
6:14.0,Personal foul by B. Beal (drawn by H. Whiteside),,66-69,,
6:14.0,,,66-69,,J. Winslow enters the game for C. Bosh
6:04.0,,,66-69,,Turnover by J. Winslow (lost ball; steal by J. Dudley)
5:58.0,B. Beal makes 3-pt shot from 24 ft (assist by G. Neal),3,69-69,,
5:49.0,,,69-69,,D. Wade misses 2-pt shot from 18 ft
5:48.0,Defensive rebound by Team,,69-69,,
5:44.0,Turnover by B. Beal (lost ball; steal by G. Dragic),,69-69,,
5:38.0,,,69-71,2,G. Dragic makes 2-pt shot from 1 ft
5:25.0,G. Neal misses 2-pt shot from 17 ft,,69-71,,
5:24.0,,,69-71,,Defensive rebound by J. Winslow
5:18.0,,,69-74,3,G. Green makes 3-pt shot from 23 ft (assist by G. Dragic)
5:11.0,B. Beal makes 2-pt shot from 7 ft (assist by J. Wall),2,71-74,,
4:53.0,,,71-76,2,D. Wade makes 2-pt shot from 17 ft (assist by G. Dragic)
4:41.0,K. Humphries misses 2-pt shot from 2 ft,,71-76,,
4:40.0,,,71-76,,Defensive rebound by D. Wade
4:34.0,O. Porter enters the game for J. Dudley,,71-76,,
4:29.0,,,71-78,2,G. Green makes 2-pt shot at rim
4:28.0,Washington full timeout,,71-78,,
4:17.0,O. Porter makes 2-pt shot from 18 ft (assist by J. Wall),2,73-78,,
4:01.0,,,73-78,,Turnover by D. Wade (bad pass; steal by G. Neal)
3:54.0,G. Neal makes 3-pt shot from 25 ft (assist by B. Beal),3,76-78,,
3:54.0,,,76-78,,Miami full timeout
3:54.0,,,76-78,,J. Richardson enters the game for D. Wade
3:37.0,,,76-80,2,G. Dragic makes 2-pt shot from 2 ft
3:18.0,O. Porter makes 2-pt shot from 16 ft (assist by B. Beal),2,78-80,,
2:51.0,,,78-80,,G. Dragic misses 3-pt shot from 24 ft
2:50.0,Defensive rebound by O. Porter,,78-80,,
2:41.0,,,78-80,,Personal foul by G. Green (drawn by J. Wall)
2:41.0,,,78-80,,C. Bosh enters the game for H. Whiteside
2:29.0,O. Porter misses 3-pt shot from 25 ft,,78-80,,
2:27.0,,,78-80,,Defensive rebound by C. Bosh
2:24.0,,,78-80,,Shooting foul by G. Neal (drawn by G. Dragic)
2:24.0,,,78-81,1,G. Dragic makes free throw 1 of 2
2:24.0,,,78-82,1,G. Dragic makes free throw 2 of 2
2:06.0,,,78-82,,Personal foul by J. Richardson (drawn by O. Porter)
1:52.0,G. Neal makes 2-pt shot from 19 ft (assist by K. Humphries),2,80-82,,
1:27.0,,,80-82,,Shooting foul by K. Humphries (drawn by C. Bosh)
1:27.0,,,80-83,1,C. Bosh makes free throw 1 of 2
1:27.0,,,80-83,,T. Johnson enters the game for G. Dragic
1:27.0,J. Dudley enters the game for K. Humphries,,80-83,,
1:27.0,,,80-84,1,C. Bosh makes free throw 2 of 2
1:12.0,B. Beal makes 2-pt shot from 5 ft,2,82-84,,
0:49.0,,,82-84,,J. Winslow misses 3-pt shot from 24 ft
0:48.0,Defensive rebound by O. Porter,,82-84,,
0:28.0,J. Dudley makes 3-pt shot from 24 ft (assist by G. Neal),3,85-84,,
0:10.0,,,85-84,,T. Johnson misses 2-pt shot from 21 ft
0:09.0,Defensive rebound by O. Porter,,85-84,,
0:01.0,J. Wall makes 2-pt shot at rim,2,87-84,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:52.0,,,87-84,,Offensive charge foul by J. Winslow
11:52.0,,,87-84,,Turnover by J. Winslow (offensive foul)
11:36.0,B. Beal misses 2-pt shot from 14 ft,,87-84,,
11:35.0,,,87-84,,Defensive rebound by J. McRoberts
11:24.0,,,87-84,,J. McRoberts misses 3-pt shot from 24 ft
11:23.0,Defensive rebound by R. Sessions,,87-84,,
11:16.0,,,87-84,,Violation by J. McRoberts (kicked ball)
11:07.0,J. Dudley misses 3-pt shot from 25 ft,,87-84,,
11:06.0,Offensive rebound by J. Dudley,,87-84,,
11:01.0,G. Neal misses 3-pt shot from 23 ft,,87-84,,
11:00.0,,,87-84,,Defensive rebound by C. Bosh
10:48.0,,,87-86,2,J. McRoberts makes 2-pt shot from 2 ft
10:33.0,,,87-86,,Personal foul by J. Richardson (drawn by J. Dudley)
10:20.0,R. Sessions makes 2-pt shot from 1 ft (assist by J. Dudley),2,89-86,,
9:58.0,,,89-86,,Turnover by C. Bosh (lost ball)
9:41.0,R. Sessions misses 2-pt shot from 7 ft,,89-86,,
9:40.0,,,89-86,,Defensive rebound by J. Winslow
9:32.0,,,89-86,,Shooting foul by O. Porter (drawn by C. Bosh)
9:32.0,,,89-87,1,C. Bosh makes free throw 1 of 2
9:32.0,,,89-88,1,C. Bosh makes free throw 2 of 2
9:15.0,Turnover by G. Neal (traveling),,89-88,,
9:05.0,,,89-88,,Turnover by C. Bosh (lost ball)
8:50.0,B. Beal misses 2-pt shot from 20 ft,,89-88,,
8:49.0,,,89-88,,Defensive rebound by J. Richardson
8:37.0,,,89-88,,J. McRoberts misses 2-pt shot from 20 ft
8:36.0,,,89-88,,Offensive rebound by T. Johnson
8:31.0,,,89-88,,J. Winslow misses 2-pt shot from 1 ft (block by O. Porter)
8:30.0,Defensive rebound by J. Dudley,,89-88,,
8:24.0,Turnover by R. Sessions (bad pass; steal by J. Winslow),,89-88,,
8:23.0,Personal foul by J. Dudley (drawn by J. Winslow),,89-88,,
8:23.0,Official timeout,,89-88,,
8:23.0,J. Wall enters the game for B. Beal,,89-88,,
8:23.0,,,89-88,,G. Green enters the game for C. Bosh
8:00.0,,,89-88,,G. Green misses 3-pt shot from 24 ft
7:59.0,Defensive rebound by O. Porter,,89-88,,
7:49.0,Shooting foul by J. Winslow (drawn by J. Dudley),,89-88,,
7:49.0,J. Dudley makes 2-pt shot from 1 ft (assist by R. Sessions),2,91-88,,
7:49.0,,,91-88,,D. Wade enters the game for J. Richardson
7:49.0,J. Dudley makes free throw 1 of 1,1,92-88,,
7:36.0,,,92-88,,Turnover by J. McRoberts (bad pass; steal by O. Porter)
7:27.0,R. Sessions misses 2-pt shot from 2 ft,,92-88,,
7:26.0,,,92-88,,Defensive rebound by G. Green
7:26.0,Personal foul by J. Dudley (drawn by D. Wade),,92-88,,
7:18.0,,,92-90,2,J. McRoberts makes 2-pt shot at rim (assist by D. Wade)
7:18.0,,,92-90,,Shooting foul by G. Neal (drawn by J. McRoberts)
7:18.0,,,92-91,1,J. McRoberts makes free throw 1 of 1
6:59.0,R. Sessions makes 2-pt shot from 20 ft,2,94-91,,
6:39.0,,,94-91,,G. Green misses 2-pt shot from 15 ft
6:38.0,Defensive rebound by R. Sessions,,94-91,,
6:28.0,J. Dudley misses 2-pt shot from 21 ft,,94-91,,
6:27.0,,,94-91,,Defensive rebound by D. Wade
6:25.0,,,94-91,,Shooting foul by R. Sessions (drawn by J. McRoberts)
6:25.0,,,94-91,,J. McRoberts misses free throw 1 of 2
6:25.0,,,94-91,,Offensive rebound by Team
6:25.0,B. Beal enters the game for O. Porter,,94-91,,
6:25.0,,,94-91,,G. Dragic enters the game for T. Johnson
6:25.0,,,94-91,,J. McRoberts misses free throw 2 of 2
6:24.0,Defensive rebound by B. Beal,,94-91,,
6:08.0,R. Sessions makes 3-pt shot from 25 ft (assist by J. Wall),3,97-91,,
5:48.0,,,97-91,,Turnover by D. Wade (traveling)
5:48.0,,,97-91,,Miami full timeout
5:48.0,,,97-91,,C. Bosh enters the game for J. McRoberts
5:32.0,J. Wall makes 2-pt shot from 1 ft,2,99-91,,
5:05.0,,,99-91,,J. Winslow misses 3-pt shot from 24 ft
5:04.0,Defensive rebound by J. Wall,,99-91,,
4:40.0,G. Neal misses 2-pt shot from 2 ft,,99-91,,
4:39.0,,,99-91,,Defensive rebound by J. Winslow
4:30.0,,,99-94,3,G. Dragic makes 3-pt shot from 23 ft (assist by C. Bosh)
4:12.0,B. Beal misses 2-pt shot from 18 ft,,99-94,,
4:11.0,,,99-94,,Defensive rebound by G. Dragic
4:06.0,,,99-96,2,D. Wade makes 2-pt shot at rim (assist by G. Dragic)
4:06.0,Washington full timeout,,99-96,,
4:06.0,O. Porter enters the game for R. Sessions,,99-96,,
3:51.0,J. Wall makes 2-pt shot from 19 ft,2,101-96,,
3:29.0,,,101-99,3,C. Bosh makes 3-pt shot from 24 ft (assist by D. Wade)
3:06.0,B. Beal misses 2-pt shot from 14 ft,,101-99,,
3:05.0,,,101-99,,Defensive rebound by C. Bosh
2:54.0,,,101-101,2,D. Wade makes 2-pt shot from 2 ft
2:43.0,Shooting foul by D. Wade (drawn by J. Wall),,101-101,,
2:43.0,J. Wall makes free throw 1 of 2,1,102-101,,
2:43.0,J. Wall makes free throw 2 of 2,1,103-101,,
2:28.0,Shooting block foul by G. Neal (drawn by G. Dragic),,103-101,,
2:28.0,,,103-102,1,G. Dragic makes free throw 1 of 2
2:28.0,,,103-103,1,G. Dragic makes free throw 2 of 2
2:11.0,B. Beal misses 2-pt shot from 1 ft,,103-103,,
2:10.0,,,103-103,,Defensive rebound by D. Wade
1:59.0,,,103-103,,Turnover by D. Wade (lost ball; steal by B. Beal)
1:56.0,B. Beal makes 2-pt shot at rim,2,105-103,,
1:32.0,,,105-103,,Offensive charge foul by G. Dragic
1:32.0,,,105-103,,Turnover by G. Dragic (offensive foul)
1:07.0,G. Neal makes 3-pt shot from 24 ft (assist by B. Beal),3,108-103,,
0:58.0,,,108-103,,J. Winslow misses 3-pt shot from 24 ft
0:57.0,Defensive rebound by J. Dudley,,108-103,,
0:35.0,G. Neal makes 2-pt shot from 1 ft,2,110-103,,
0:35.0,,,110-103,,Miami full timeout
0:35.0,,,110-103,,T. Johnson enters the game for J. Winslow
0:32.0,,,110-103,,Turnover by Team (5 sec inbounds)
0:32.0,,,110-103,,Personal foul by G. Green (drawn by J. Wall)
0:28.0,,,110-103,,Personal foul by G. Green (drawn by J. Wall)
0:28.0,,,110-103,,Technical foul by C. Bosh
0:28.0,,,110-103,,Technical foul by C. Bosh
0:28.0,,,110-103,,J. Winslow enters the game for C. Bosh
0:28.0,J. Wall makes technical free throw,1,111-103,,
0:28.0,J. Wall makes technical free throw,1,112-103,,
0:28.0,J. Wall makes free throw 1 of 2,1,113-103,,
0:28.0,J. Wall makes free throw 2 of 2,1,114-103,,
