time,Miami,pts.away,score,pts.home,Indiana
8:48.0,T. Johnson makes 3-pt shot from 24 ft (assist by C. Bosh),3,37-24,,
8:30.0,,,37-24,,R. Stuckey misses 2-pt shot from 16 ft
8:29.0,Defensive rebound by T. Johnson,,37-24,,
8:08.0,C. Bosh misses 2-pt shot from 12 ft,,37-24,,
8:08.0,,,37-24,,Defensive rebound by J. Hill
7:46.0,,,37-26,2,J. Hill makes 2-pt shot from 1 ft
7:26.0,J. Winslow makes 2-pt shot from 3 ft (assist by J. McRoberts),2,39-26,,
7:12.0,,,39-26,,Offensive charge foul by J. Hill
7:12.0,,,39-26,,Turnover by J. Hill (offensive foul)
7:12.0,,,39-26,,L. Allen enters the game for C. Budinger
7:12.0,L. Deng enters the game for C. Bosh,,39-26,,
7:12.0,H. Whiteside enters the game for M. Chalmers,,39-26,,
7:12.0,D. Wade enters the game for J. McRoberts,,39-26,,
6:54.0,H. Whiteside misses 2-pt shot from 8 ft,,39-26,,
6:54.0,,,39-26,,Defensive rebound by R. Stuckey
6:41.0,,,39-28,2,G. Robinson makes 2-pt shot from 7 ft (assist by R. Stuckey)
6:17.0,H. Whiteside misses 2-pt shot from 5 ft,,39-28,,
6:16.0,Offensive rebound by J. Winslow,,39-28,,
6:12.0,J. Winslow misses 2-pt shot from 2 ft,,39-28,,
6:12.0,,,39-28,,Defensive rebound by L. Allen
6:05.0,,,39-30,2,G. Robinson makes 2-pt shot from 16 ft
6:00.0,,,39-30,,Personal take foul by G. Hill (drawn by T. Johnson)
6:00.0,,,39-30,,Indiana full timeout
6:00.0,,,39-30,,M. Ellis enters the game for R. Stuckey
5:45.0,D. Wade makes 2-pt shot from 7 ft (assist by T. Johnson),2,41-30,,
5:27.0,,,41-33,3,G. Hill makes 3-pt shot from 26 ft (assist by M. Ellis)
5:09.0,T. Johnson misses 2-pt shot from 6 ft,,41-33,,
5:08.0,Offensive rebound by H. Whiteside,,41-33,,
5:08.0,H. Whiteside makes 2-pt shot from 2 ft,2,43-33,,
4:50.0,,,43-35,2,J. Hill makes 2-pt shot from 3 ft (assist by M. Ellis)
4:30.0,D. Wade makes 2-pt shot at rim,2,45-35,,
4:11.0,,,45-37,2,J. Hill makes 2-pt shot from 1 ft
4:05.0,Miami full timeout,,45-37,,
4:05.0,G. Dragic enters the game for T. Johnson,,45-37,,
4:05.0,,,45-37,,P. George enters the game for G. Robinson
3:52.0,D. Wade misses 2-pt shot from 6 ft,,45-37,,
3:51.0,,,45-37,,Defensive rebound by J. Hill
3:32.0,,,45-40,3,P. George makes 3-pt shot from 22 ft (assist by L. Allen)
3:13.0,,,45-40,,Personal foul by L. Allen (drawn by L. Deng)
3:13.0,C. Bosh enters the game for J. Winslow,,45-40,,
3:04.0,D. Wade misses 2-pt shot from 2 ft,,45-40,,
3:03.0,,,45-40,,Defensive rebound by L. Allen
2:56.0,,,45-43,3,G. Hill makes 3-pt shot from 25 ft (assist by P. George)
2:28.0,L. Deng misses 3-pt shot from 24 ft,,45-43,,
2:26.0,,,45-43,,Defensive rebound by J. Hill
2:13.0,Def 3 sec tech foul by H. Whiteside,,45-43,,
2:13.0,,,45-44,1,P. George makes technical free throw
2:03.0,,,45-44,,L. Allen misses 2-pt shot from 3 ft
2:03.0,Defensive rebound by C. Bosh,,45-44,,
1:53.0,Shooting foul by J. Hill (drawn by C. Bosh),,45-44,,
1:53.0,C. Bosh misses free throw 1 of 2,,45-44,,
1:53.0,Offensive rebound by Team,,45-44,,
1:53.0,C. Bosh makes free throw 2 of 2,1,46-44,,
1:39.0,,,46-46,2,L. Allen makes 2-pt shot from 19 ft (assist by G. Hill)
1:17.0,C. Bosh misses 3-pt shot from 25 ft,,46-46,,
1:17.0,,,46-46,,Defensive rebound by L. Allen
1:05.0,,,46-46,,P. George misses 2-pt shot at rim
1:05.0,Defensive rebound by G. Dragic,,46-46,,
1:03.0,Offensive charge foul by G. Dragic,,46-46,,
1:03.0,Turnover by G. Dragic (offensive foul),,46-46,,
1:03.0,T. Johnson enters the game for G. Dragic,,46-46,,
0:52.0,,,46-46,,L. Allen misses 2-pt shot from 5 ft
0:51.0,Defensive rebound by H. Whiteside,,46-46,,
0:43.0,T. Johnson misses 3-pt shot from 25 ft,,46-46,,
0:42.0,Offensive rebound by D. Wade,,46-46,,
0:42.0,D. Wade makes 2-pt shot at rim,2,48-46,,
0:34.0,,,48-46,,Shooting foul by T. Johnson (drawn by G. Hill)
0:34.0,,,48-47,1,G. Hill makes free throw 1 of 3
0:34.0,,,48-48,1,G. Hill makes free throw 2 of 3
0:34.0,,,48-48,,I. Mahinmi enters the game for J. Hill
0:34.0,,,48-49,1,G. Hill makes free throw 3 of 3
0:22.0,Shooting foul by L. Allen (drawn by D. Wade),,48-49,,
0:22.0,D. Wade makes free throw 1 of 2,1,49-49,,
0:22.0,,,49-49,,G. Robinson enters the game for L. Allen
0:22.0,,,49-49,,J. Hill enters the game for I. Mahinmi
0:22.0,D. Wade misses free throw 2 of 2,,49-49,,
0:22.0,,,49-49,,Defensive rebound by P. George
0:00.0,,,49-49,,P. George misses 2-pt shot from 15 ft
0:00.0,Defensive rebound by H. Whiteside,,49-49,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:37.0,,,49-49,,I. Mahinmi misses 2-pt shot from 1 ft
11:37.0,Defensive rebound by H. Whiteside,,49-49,,
11:16.0,C. Bosh makes 2-pt shot from 12 ft,2,51-49,,
11:02.0,,,51-49,,Turnover by P. George (lost ball; steal by C. Bosh)
10:55.0,G. Dragic makes 3-pt shot from 22 ft (assist by D. Wade),3,54-49,,
10:34.0,,,54-51,2,I. Mahinmi makes 2-pt shot from 18 ft (assist by G. Hill)
10:08.0,D. Wade misses 3-pt shot from 25 ft,,54-51,,
10:07.0,,,54-51,,Defensive rebound by L. Allen
10:01.0,,,54-53,2,P. George makes 2-pt shot from 16 ft (assist by G. Hill)
9:45.0,L. Deng misses 2-pt shot from 2 ft,,54-53,,
9:44.0,,,54-53,,Defensive rebound by P. George
9:29.0,,,54-55,2,L. Allen makes 2-pt shot from 16 ft (assist by P. George)
9:17.0,Turnover by G. Dragic (bad pass; steal by P. George),,54-55,,
9:10.0,,,54-55,,Turnover by M. Ellis (lost ball; steal by D. Wade)
9:02.0,L. Deng makes 3-pt shot from 25 ft (assist by G. Dragic),3,57-55,,
8:44.0,,,57-57,2,M. Ellis makes 2-pt shot at rim (assist by L. Allen)
8:18.0,G. Dragic misses 3-pt shot from 24 ft,,57-57,,
8:18.0,,,57-57,,Defensive rebound by P. George
8:01.0,,,57-57,,Turnover by I. Mahinmi (3 sec)
7:51.0,G. Dragic makes 2-pt shot from 13 ft (assist by C. Bosh),2,59-57,,
7:37.0,,,59-57,,G. Hill misses 2-pt shot from 16 ft
7:36.0,Defensive rebound by H. Whiteside,,59-57,,
7:30.0,,,59-57,,Personal foul by G. Hill (drawn by G. Dragic)
7:19.0,G. Dragic misses 2-pt shot from 16 ft,,59-57,,
7:18.0,,,59-57,,Defensive rebound by P. George
7:17.0,,,59-57,,Turnover by P. George (traveling)
7:01.0,C. Bosh makes 3-pt shot from 25 ft (assist by D. Wade),3,62-57,,
6:51.0,Personal foul by G. Dragic (drawn by G. Hill),,62-57,,
6:41.0,,,62-57,,M. Ellis misses 2-pt shot from 15 ft (block by D. Wade)
6:40.0,,,62-57,,Offensive rebound by L. Allen
6:34.0,,,62-59,2,P. George makes 2-pt shot from 8 ft
6:08.0,D. Wade misses 3-pt shot from 25 ft,,62-59,,
6:07.0,,,62-59,,Defensive rebound by M. Ellis
6:01.0,,,62-61,2,P. George makes 2-pt shot from 17 ft (assist by M. Ellis)
5:33.0,Turnover by Team (shot clock),,62-61,,
5:33.0,,,62-61,,Indiana full timeout
5:33.0,J. Winslow enters the game for C. Bosh,,62-61,,
5:16.0,,,62-63,2,P. George makes 2-pt shot from 3 ft (assist by M. Ellis)
5:01.0,D. Wade misses 2-pt shot from 15 ft,,62-63,,
5:00.0,,,62-63,,Defensive rebound by I. Mahinmi
4:55.0,,,62-63,,Shooting foul by J. Winslow (drawn by L. Allen)
4:55.0,,,62-63,,L. Allen misses free throw 1 of 2
4:55.0,,,62-63,,Offensive rebound by Team
4:55.0,,,62-63,,L. Allen misses free throw 2 of 2
4:55.0,Defensive rebound by H. Whiteside,,62-63,,
4:38.0,H. Whiteside misses 2-pt shot from 17 ft,,62-63,,
4:38.0,,,62-63,,Defensive rebound by Team
4:27.0,,,62-65,2,I. Mahinmi makes 2-pt shot from 1 ft (assist by G. Hill)
4:07.0,,,62-65,,M. Turner enters the game for I. Mahinmi
4:07.0,M. Chalmers enters the game for D. Wade,,62-65,,
4:00.0,G. Dragic misses 2-pt shot at rim,,62-65,,
3:59.0,Offensive rebound by J. Winslow,,62-65,,
3:56.0,J. Winslow makes 2-pt shot from 19 ft,2,64-65,,
3:39.0,Personal block foul by J. Winslow (drawn by P. George),,64-65,,
3:27.0,,,64-65,,G. Hill misses 3-pt shot from 26 ft
3:26.0,,,64-65,,Offensive rebound by P. George
3:13.0,,,64-67,2,P. George makes 2-pt shot from 20 ft
2:57.0,M. Chalmers makes 2-pt shot from 21 ft (assist by G. Dragic),2,66-67,,
2:42.0,,,66-69,2,M. Turner makes 2-pt shot at rim (assist by M. Ellis)
2:20.0,G. Dragic misses 2-pt shot from 19 ft,,66-69,,
2:20.0,,,66-69,,Defensive rebound by Team
2:20.0,Miami full timeout,,66-69,,
2:20.0,,,66-69,,C. Budinger enters the game for L. Allen
2:20.0,,,66-69,,J. Hill enters the game for G. Hill
2:20.0,T. Johnson enters the game for L. Deng,,66-69,,
2:20.0,J. McRoberts enters the game for H. Whiteside,,66-69,,
2:20.0,C. Bosh enters the game for G. Dragic,,66-69,,
2:06.0,,,66-69,,M. Turner misses 2-pt shot from 18 ft
2:05.0,Defensive rebound by M. Chalmers,,66-69,,
1:51.0,C. Bosh misses 2-pt shot from 3 ft,,66-69,,
1:51.0,,,66-69,,Defensive rebound by M. Turner
1:35.0,,,66-71,2,J. Hill makes 2-pt shot from 3 ft
1:17.0,M. Chalmers misses 3-pt shot from 24 ft,,66-71,,
1:16.0,,,66-71,,Defensive rebound by M. Ellis
1:07.0,,,66-71,,Turnover by P. George (lost ball)
0:54.0,C. Bosh misses 3-pt shot from 24 ft,,66-71,,
0:53.0,,,66-71,,Defensive rebound by P. George
0:46.0,Personal foul by J. Winslow (drawn by P. George),,66-71,,
0:34.0,,,66-71,,Turnover by P. George (bad pass)
0:21.0,J. Winslow makes 2-pt shot at rim (assist by J. McRoberts),2,68-71,,
0:01.0,,,68-71,,C. Budinger misses 3-pt shot from 23 ft
0:00.0,Defensive rebound by C. Bosh,,68-71,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:47.0,J. McRoberts makes 3-pt shot from 23 ft (assist by T. Johnson),3,71-71,,
11:29.0,,,71-71,,J. Hill misses 2-pt shot from 5 ft
11:29.0,Defensive rebound by C. Bosh,,71-71,,
11:06.0,J. McRoberts misses 3-pt shot from 24 ft,,71-71,,
11:05.0,,,71-71,,Defensive rebound by J. Hill
10:56.0,,,71-71,,G. Robinson misses 2-pt shot from 7 ft
10:55.0,Defensive rebound by J. McRoberts,,71-71,,
10:35.0,J. McRoberts makes 2-pt shot from 4 ft,2,73-71,,
10:25.0,Personal foul by J. McRoberts (drawn by J. Hill),,73-71,,
10:10.0,,,73-71,,J. Hill misses 2-pt shot from 19 ft
10:10.0,Defensive rebound by J. McRoberts,,73-71,,
9:56.0,J. Winslow makes 2-pt shot from 2 ft,2,75-71,,
9:48.0,,,75-71,,Indiana full timeout
9:48.0,,,75-71,,P. George enters the game for C. Budinger
9:48.0,,,75-71,,I. Mahinmi enters the game for M. Turner
9:32.0,,,75-71,,G. Hill misses 2-pt shot from 5 ft
9:32.0,Defensive rebound by C. Bosh,,75-71,,
9:11.0,T. Johnson misses 2-pt shot from 2 ft (block by I. Mahinmi),,75-71,,
9:10.0,,,75-71,,Defensive rebound by G. Robinson
8:49.0,,,75-74,3,G. Hill makes 3-pt shot from 24 ft (assist by G. Robinson)
8:30.0,J. Winslow makes 2-pt shot from 3 ft,2,77-74,,
8:30.0,Shooting foul by I. Mahinmi (drawn by J. Winslow),,77-74,,
8:30.0,J. Winslow makes free throw 1 of 1,1,78-74,,
8:18.0,,,78-74,,P. George misses 2-pt shot from 15 ft
8:18.0,,,78-74,,Offensive rebound by J. Hill
8:15.0,,,78-74,,J. Hill misses 2-pt shot from 2 ft (block by C. Bosh)
8:14.0,,,78-74,,Offensive rebound by P. George
8:07.0,,,78-74,,Shooting foul by M. Chalmers (drawn by P. George)
8:07.0,,,78-76,2,P. George makes 2-pt shot from 12 ft
8:07.0,,,78-76,,P. George misses free throw 1 of 1
8:07.0,Defensive rebound by C. Bosh,,78-76,,
7:39.0,J. Winslow misses 2-pt shot at rim,,78-76,,
7:37.0,,,78-76,,Defensive rebound by P. George
7:24.0,,,78-76,,G. Robinson misses 3-pt shot from 24 ft
7:24.0,Defensive rebound by C. Bosh,,78-76,,
7:06.0,C. Bosh misses 2-pt shot from 17 ft,,78-76,,
7:06.0,,,78-76,,Defensive rebound by J. Hill
7:03.0,,,78-76,,Turnover by J. Hill (lost ball; steal by T. Johnson)
7:01.0,Miami full timeout,,78-76,,
7:01.0,D. Wade enters the game for C. Bosh,,78-76,,
7:01.0,H. Whiteside enters the game for J. Winslow,,78-76,,
6:57.0,Offensive foul by T. Johnson,,78-76,,
6:57.0,Turnover by T. Johnson (offensive foul),,78-76,,
6:42.0,,,78-76,,I. Mahinmi misses 2-pt shot from 5 ft
6:42.0,Defensive rebound by Team,,78-76,,
6:30.0,D. Wade misses 2-pt shot from 16 ft,,78-76,,
6:27.0,,,78-76,,Defensive rebound by Team
6:27.0,G. Dragic enters the game for M. Chalmers,,78-76,,
6:27.0,,,78-76,,M. Ellis enters the game for G. Hill
6:04.0,,,78-76,,Shooting foul by D. Wade (drawn by P. George)
6:04.0,,,78-77,1,P. George makes free throw 1 of 2
6:04.0,,,78-78,1,P. George makes free throw 2 of 2
5:50.0,Turnover by J. McRoberts (traveling),,78-78,,
5:37.0,,,78-78,,M. Ellis misses 2-pt shot from 11 ft
5:36.0,Defensive rebound by H. Whiteside,,78-78,,
5:26.0,Turnover by J. McRoberts (bad pass; steal by P. George),,78-78,,
5:20.0,,,78-80,2,G. Robinson makes 2-pt shot from 2 ft (assist by P. George)
5:09.0,,,78-80,,Violation by M. Ellis (kicked ball)
5:09.0,,,78-80,,G. Hill enters the game for G. Robinson
5:09.0,C. Bosh enters the game for J. McRoberts,,78-80,,
5:09.0,J. Winslow enters the game for T. Johnson,,78-80,,
5:01.0,H. Whiteside makes 2-pt shot from 5 ft (assist by D. Wade),2,80-80,,
5:01.0,Shooting foul by G. Hill (drawn by H. Whiteside),,80-80,,
5:01.0,H. Whiteside misses free throw 1 of 1,,80-80,,
5:01.0,,,80-80,,Defensive rebound by P. George
4:44.0,,,80-80,,Turnover by M. Ellis (traveling)
4:26.0,H. Whiteside misses 2-pt shot from 5 ft,,80-80,,
4:26.0,,,80-80,,Defensive rebound by Team
4:26.0,,,80-80,,Technical foul by P. George
4:26.0,Technical foul by H. Whiteside,,80-80,,
4:08.0,,,80-82,2,P. George makes 2-pt shot from 20 ft
3:52.0,J. Winslow misses 2-pt shot from 3 ft (block by I. Mahinmi),,80-82,,
3:52.0,,,80-82,,Defensive rebound by Team
3:38.0,,,80-84,2,P. George makes 2-pt shot from 19 ft (assist by I. Mahinmi)
3:22.0,D. Wade misses 3-pt shot from 25 ft,,80-84,,
3:21.0,,,80-84,,Defensive rebound by J. Hill
3:12.0,,,80-84,,Shooting foul by H. Whiteside (drawn by I. Mahinmi)
3:12.0,,,80-84,,I. Mahinmi misses free throw 1 of 2
3:12.0,,,80-84,,Offensive rebound by Team
3:12.0,,,80-84,,I. Mahinmi misses free throw 2 of 2
3:11.0,Defensive rebound by Team,,80-84,,
2:56.0,G. Dragic misses 2-pt shot from 4 ft (block by I. Mahinmi),,80-84,,
2:56.0,Offensive rebound by Team,,80-84,,
2:56.0,Official timeout,,80-84,,
2:53.0,C. Bosh makes 2-pt shot at rim (assist by J. Winslow),2,82-84,,
2:31.0,,,82-84,,P. George misses 2-pt shot from 1 ft
2:30.0,Defensive rebound by J. Winslow,,82-84,,
2:18.0,J. Winslow makes 2-pt shot from 20 ft (assist by D. Wade),2,84-84,,
1:57.0,Violation by J. Winslow (kicked ball),,84-84,,
1:42.0,,,84-84,,P. George misses 2-pt shot from 15 ft
1:41.0,,,84-84,,Offensive rebound by J. Hill
1:41.0,,,84-84,,J. Hill misses 2-pt shot at rim
1:41.0,Defensive rebound by Team,,84-84,,
1:23.0,C. Bosh misses 3-pt shot from 24 ft,,84-84,,
1:22.0,,,84-84,,Defensive rebound by I. Mahinmi
1:04.0,,,84-84,,Shooting foul by J. Winslow (drawn by P. George)
1:04.0,,,84-85,1,P. George makes free throw 1 of 2
1:04.0,,,84-86,1,P. George makes free throw 2 of 2
0:51.0,D. Wade misses 2-pt shot from 18 ft,,84-86,,
0:50.0,,,84-86,,Defensive rebound by J. Hill
0:35.0,,,84-86,,P. George misses 3-pt shot from 22 ft
0:34.0,,,84-86,,Offensive rebound by J. Hill
0:34.0,,,84-88,2,J. Hill makes 2-pt shot from 1 ft
0:34.0,Miami full timeout,,84-88,,
0:34.0,L. Deng enters the game for H. Whiteside,,84-88,,
0:34.0,T. Johnson enters the game for J. Winslow,,84-88,,
0:33.0,T. Johnson makes 2-pt shot at rim (assist by D. Wade),2,86-88,,
0:33.0,,,86-88,,Indiana full timeout
0:33.0,,,86-88,,G. Robinson enters the game for I. Mahinmi
0:33.0,J. Winslow enters the game for L. Deng,,86-88,,
0:33.0,H. Whiteside enters the game for T. Johnson,,86-88,,
0:09.0,,,86-88,,J. Hill misses 2-pt shot from 19 ft
0:08.0,,,86-88,,Offensive rebound by G. Robinson
0:07.0,Personal foul by G. Dragic (drawn by G. Robinson),,86-88,,
0:07.0,,,86-88,,G. Robinson misses free throw 1 of 2
0:07.0,,,86-88,,Offensive rebound by Team
0:07.0,,,86-89,1,G. Robinson makes free throw 2 of 2
0:07.0,Miami full timeout,,86-89,,
