time,Portland,pts.away,score,pts.home,LA Lakers
7:03.0,,,12-11,1,K. Bryant makes free throw 1 of 2
7:03.0,M. Harkless enters the game for A. Aminu,,12-11,,
7:03.0,,,12-12,1,K. Bryant makes free throw 2 of 2
7:03.0,C. McCollum misses 2-pt shot from 15 ft (block by R. Hibbert),,12-12,,
7:02.0,,,12-12,,Defensive rebound by R. Hibbert
6:54.0,,,12-12,,K. Bryant misses 2-pt shot from 10 ft (block by C. McCollum)
6:53.0,,,12-12,,Offensive rebound by J. Randle
6:48.0,,,12-12,,J. Randle misses 2-pt shot from 1 ft (block by N. Vonleh)
6:47.0,,,12-12,,Offensive rebound by K. Bryant
6:35.0,,,12-12,,Shooting foul by M. Harkless (drawn by D. Russell)
6:35.0,,,12-12,,LA Lakers full timeout
6:35.0,,,12-12,,L. Williams enters the game for J. Clarkson
6:35.0,A. Crabbe enters the game for C. McCollum,,12-12,,
6:35.0,,,12-13,1,D. Russell makes free throw 1 of 2
6:35.0,,,12-14,1,D. Russell makes free throw 2 of 2
6:35.0,M. Harkless misses 2-pt shot from 1 ft (block by R. Hibbert),,12-14,,
6:33.0,Offensive rebound by Team,,12-14,,
6:04.0,A. Crabbe misses 2-pt shot from 2 ft,,12-14,,
6:03.0,Offensive rebound by M. Plumlee,,12-14,,
6:01.0,M. Plumlee makes 2-pt shot at rim,2,14-14,,
5:52.0,,,14-14,,K. Bryant misses 3-pt shot from 25 ft
5:52.0,Defensive rebound by M. Plumlee,,14-14,,
5:48.0,M. Harkless makes 2-pt shot at rim (assist by M. Plumlee),2,16-14,,
5:33.0,,,16-16,2,R. Hibbert makes 2-pt shot from 10 ft (assist by D. Russell)
5:22.0,D. Lillard makes 2-pt shot from 12 ft,2,18-16,,
5:06.0,,,18-16,,K. Bryant misses 2-pt shot from 17 ft
5:05.0,Defensive rebound by A. Crabbe,,18-16,,
4:47.0,M. Harkless misses 2-pt shot from 2 ft (block by R. Hibbert),,18-16,,
4:46.0,,,18-16,,Defensive rebound by R. Hibbert
4:40.0,,,18-16,,L. Williams misses 2-pt shot at rim (block by N. Vonleh)
4:38.0,Defensive rebound by D. Lillard,,18-16,,
4:31.0,A. Crabbe makes 3-pt shot from 23 ft (assist by D. Lillard),3,21-16,,
4:05.0,,,21-16,,K. Bryant misses 2-pt shot from 13 ft
4:04.0,Defensive rebound by M. Plumlee,,21-16,,
3:56.0,M. Harkless misses 3-pt shot from 25 ft,,21-16,,
3:55.0,,,21-16,,Defensive rebound by J. Randle
3:43.0,,,21-18,2,J. Randle makes 2-pt shot from 6 ft
3:39.0,Portland full timeout,,21-18,,
3:39.0,,,21-18,,M. World Peace enters the game for K. Bryant
3:39.0,,,21-18,,N. Young enters the game for J. Randle
3:39.0,,,21-18,,B. Bass enters the game for R. Hibbert
3:39.0,G. Henderson enters the game for N. Vonleh,,21-18,,
3:39.0,E. Davis enters the game for M. Plumlee,,21-18,,
3:39.0,E. Davis makes 2-pt shot at rim (assist by D. Lillard),2,23-18,,
3:27.0,,,23-20,2,L. Williams makes 2-pt shot from 18 ft (assist by D. Russell)
3:05.0,D. Lillard makes 2-pt shot from 2 ft,2,25-20,,
2:52.0,,,25-20,,Turnover by L. Williams (bad pass; steal by M. Harkless)
2:48.0,M. Harkless makes 2-pt shot at rim (assist by D. Lillard),2,27-20,,
2:29.0,,,27-23,3,D. Russell makes 3-pt shot from 25 ft (assist by B. Bass)
2:06.0,E. Davis makes 2-pt shot from 1 ft (assist by D. Lillard),2,29-23,,
2:06.0,Shooting foul by M. World Peace (drawn by E. Davis),,29-23,,
2:06.0,C. McCollum enters the game for D. Lillard,,29-23,,
2:06.0,E. Davis makes free throw 1 of 1,1,30-23,,
2:06.0,Personal foul by A. Crabbe,,30-23,,
2:06.0,,,30-23,,D. Russell misses 3-pt shot from 24 ft
2:06.0,Defensive rebound by E. Davis,,30-23,,
1:44.0,C. McCollum misses 2-pt shot from 14 ft,,30-23,,
1:44.0,,,30-23,,Defensive rebound by D. Russell
1:36.0,,,30-23,,N. Young misses 2-pt shot from 17 ft
1:36.0,Defensive rebound by A. Crabbe,,30-23,,
0:00.0,C. McCollum makes 2-pt shot at rim,2,32-23,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:45.0,,,32-25,2,B. Bass makes 2-pt shot at rim (assist by N. Young)
11:23.0,G. Henderson misses 2-pt shot from 10 ft,,32-25,,
11:21.0,,,32-25,,Defensive rebound by Team
11:01.0,,,32-25,,M. World Peace misses 2-pt shot from 13 ft (block by M. Harkless)
10:58.0,,,32-25,,Offensive rebound by Team
10:57.0,,,32-27,2,N. Young makes 2-pt shot from 19 ft (assist by M. World Peace)
10:42.0,A. Crabbe misses 2-pt shot from 5 ft,,32-27,,
10:42.0,,,32-27,,Defensive rebound by L. Williams
10:36.0,Personal foul by A. Crabbe,,32-27,,
10:36.0,,,32-27,,K. Bryant enters the game for M. World Peace
10:26.0,,,32-27,,K. Bryant misses 3-pt shot from 24 ft
10:26.0,Defensive rebound by G. Henderson,,32-27,,
10:14.0,Shooting foul by B. Bass (drawn by G. Henderson),,32-27,,
10:14.0,G. Henderson makes free throw 1 of 2,1,33-27,,
10:14.0,A. Aminu enters the game for M. Harkless,,33-27,,
10:14.0,G. Henderson misses free throw 2 of 2,,33-27,,
10:14.0,,,33-27,,Defensive rebound by K. Bryant
9:57.0,,,33-29,2,J. Clarkson makes 2-pt shot from 1 ft
9:39.0,G. Henderson misses 2-pt shot from 2 ft,,33-29,,
9:39.0,,,33-29,,Defensive rebound by J. Clarkson
9:26.0,,,33-31,2,K. Bryant makes 2-pt shot from 11 ft
9:10.0,A. Crabbe misses 2-pt shot from 19 ft,,33-31,,
9:10.0,Offensive rebound by C. McCollum,,33-31,,
9:00.0,C. McCollum makes 2-pt shot from 1 ft,2,35-31,,
8:54.0,,,35-34,3,J. Clarkson makes 3-pt shot from 24 ft (assist by K. Bryant)
8:29.0,A. Aminu misses 2-pt shot from 2 ft (block by B. Bass),,35-34,,
8:28.0,Offensive rebound by E. Davis,,35-34,,
8:25.0,E. Davis misses 2-pt shot from 6 ft,,35-34,,
8:25.0,Offensive rebound by A. Aminu,,35-34,,
8:17.0,A. Aminu makes 2-pt shot from 1 ft,2,37-34,,
8:09.0,,,37-34,,Turnover by N. Young (lost ball; steal by G. Henderson)
8:01.0,G. Henderson misses 2-pt shot from 13 ft,,37-34,,
8:00.0,,,37-34,,Defensive rebound by L. Williams
7:51.0,,,37-34,,N. Young misses 3-pt shot from 26 ft
7:40.0,,,37-34,,Offensive rebound by Team
7:40.0,Official timeout,,37-34,,
7:40.0,,,37-34,,J. Randle enters the game for N. Young
7:40.0,D. Lillard enters the game for C. McCollum,,37-34,,
7:40.0,M. Harkless enters the game for A. Crabbe,,37-34,,
7:40.0,Jump ball: B. Bass vs. G. Henderson (J. Randle gains possession),,,,Jump ball: B. Bass vs. G. Henderson (J. Randle gains possession)
7:28.0,,,37-37,3,L. Williams makes 3-pt shot from 24 ft
7:09.0,D. Lillard makes 2-pt shot from 21 ft,2,39-37,,
6:54.0,,,39-39,2,J. Clarkson makes 2-pt shot from 7 ft
6:34.0,E. Davis makes 2-pt shot from 1 ft (assist by D. Lillard),2,41-39,,
6:23.0,,,41-39,,K. Bryant misses 2-pt shot from 11 ft
6:23.0,Defensive rebound by M. Harkless,,41-39,,
6:11.0,A. Aminu makes 3-pt shot from 24 ft (assist by E. Davis),3,44-39,,
5:59.0,,,44-42,3,J. Clarkson makes 3-pt shot from 24 ft (assist by K. Bryant)
5:38.0,M. Harkless makes 2-pt shot at rim (assist by E. Davis),2,46-42,,
5:15.0,,,46-42,,J. Randle misses 2-pt shot from 1 ft
5:13.0,,,46-42,,Offensive rebound by J. Randle
5:13.0,,,46-42,,J. Randle misses 2-pt shot at rim
5:09.0,,,46-42,,Offensive rebound by J. Randle
5:09.0,,,46-44,2,J. Randle makes 2-pt shot at rim
5:03.0,Turnover by D. Lillard (lost ball),,46-44,,
4:57.0,,,46-44,,LA Lakers full timeout
4:57.0,,,46-44,,R. Hibbert enters the game for L. Williams
4:57.0,,,46-44,,D. Russell enters the game for B. Bass
4:57.0,T. Frazier enters the game for E. Davis,,46-44,,
4:57.0,M. Plumlee enters the game for G. Henderson,,46-44,,
4:42.0,,,46-44,,D. Russell misses 2-pt shot from 10 ft
4:42.0,Defensive rebound by M. Plumlee,,46-44,,
4:32.0,D. Lillard misses 3-pt shot from 24 ft,,46-44,,
4:31.0,,,46-44,,Defensive rebound by R. Hibbert
4:23.0,,,46-44,,Turnover by J. Clarkson (bad pass; steal by D. Lillard)
4:18.0,T. Frazier makes 2-pt shot at rim (assist by D. Lillard),2,48-44,,
3:52.0,,,48-44,,K. Bryant misses 2-pt shot from 16 ft
3:52.0,Defensive rebound by M. Plumlee,,48-44,,
3:40.0,M. Harkless makes 2-pt shot from 2 ft (assist by M. Plumlee),2,50-44,,
3:40.0,,,50-44,,Violation by J. Randle (def goaltending)
3:18.0,,,50-44,,Shooting foul by M. Harkless (drawn by J. Randle)
3:18.0,,,50-45,1,J. Randle makes free throw 1 of 2
3:18.0,,,50-45,,N. Young enters the game for K. Bryant
3:18.0,,,50-46,1,J. Randle makes free throw 2 of 2
3:03.0,M. Plumlee makes 2-pt shot from 1 ft (assist by D. Lillard),2,52-46,,
3:03.0,Shooting foul by R. Hibbert (drawn by M. Plumlee),,52-46,,
3:03.0,M. Plumlee makes free throw 1 of 1,1,53-46,,
2:53.0,Personal foul by T. Frazier (drawn by D. Russell),,53-46,,
2:53.0,Portland full timeout,,53-46,,
2:46.0,,,53-48,2,J. Clarkson makes 2-pt shot at rim
2:29.0,A. Aminu misses 3-pt shot from 25 ft,,53-48,,
2:29.0,,,53-48,,Defensive rebound by J. Randle
2:18.0,,,53-48,,Turnover by J. Clarkson (turnover)
2:00.0,D. Lillard misses 3-pt shot from 24 ft,,53-48,,
2:00.0,,,53-48,,Defensive rebound by J. Randle
1:53.0,,,53-48,,J. Randle misses 2-pt shot from 1 ft (block by M. Plumlee)
1:52.0,Defensive rebound by M. Plumlee,,53-48,,
1:45.0,D. Lillard misses 3-pt shot from 24 ft,,53-48,,
1:44.0,Offensive rebound by M. Harkless,,53-48,,
1:30.0,D. Lillard misses 2-pt shot from 1 ft (block by R. Hibbert),,53-48,,
1:29.0,,,53-48,,Defensive rebound by R. Hibbert
1:14.0,,,53-48,,J. Randle misses 2-pt shot from 3 ft
1:14.0,,,53-48,,Offensive rebound by J. Clarkson
1:04.0,,,53-51,3,D. Russell makes 3-pt shot from 25 ft (assist by N. Young)
0:45.0,A. Aminu makes 2-pt shot from 20 ft (assist by M. Plumlee),2,55-51,,
0:39.0,,,55-51,,J. Clarkson misses 3-pt shot from 25 ft
0:38.0,Defensive rebound by A. Aminu,,55-51,,
0:12.0,Shooting foul by N. Young (drawn by A. Aminu),,55-51,,
0:12.0,A. Aminu misses free throw 1 of 2,,55-51,,
0:12.0,Offensive rebound by Team,,55-51,,
0:12.0,A. Aminu makes free throw 2 of 2,1,56-51,,
0:07.0,Personal take foul by T. Frazier (drawn by D. Russell),,56-51,,
0:07.0,N. Vonleh enters the game for A. Aminu,,56-51,,
0:07.0,A. Crabbe enters the game for M. Harkless,,56-51,,
0:02.0,,,56-51,,Shooting foul by D. Lillard (drawn by D. Russell)
0:02.0,,,56-52,1,D. Russell makes free throw 1 of 2
0:02.0,Portland full timeout,,56-52,,
0:02.0,,,56-52,,B. Bass enters the game for R. Hibbert
0:02.0,,,56-52,,D. Russell misses free throw 2 of 2
0:02.0,Defensive rebound by M. Plumlee,,56-52,,
0:00.0,M. Plumlee misses 3-pt shot from 68 ft,,56-52,,
0:00.0,Offensive rebound by Team,,56-52,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:37.0,,,56-52,,J. Randle misses 2-pt shot from 2 ft
11:37.0,,,56-52,,Offensive rebound by Team
11:32.0,,,56-54,2,D. Russell makes 2-pt shot from 16 ft (assist by K. Bryant)
11:14.0,C. McCollum makes 2-pt shot from 9 ft,2,58-54,,
10:57.0,,,58-54,,R. Hibbert misses 2-pt shot from 16 ft
10:56.0,Defensive rebound by N. Vonleh,,58-54,,
10:51.0,Turnover by A. Aminu (lost ball),,58-54,,
10:37.0,,,58-56,2,D. Russell makes 2-pt shot from 12 ft (assist by K. Bryant)
10:16.0,M. Plumlee makes 2-pt shot from 1 ft (assist by C. McCollum),2,60-56,,
10:08.0,,,60-56,,J. Clarkson misses 2-pt shot from 15 ft
10:07.0,Defensive rebound by A. Aminu,,60-56,,
10:03.0,Turnover by A. Aminu (lost ball),,60-56,,
9:44.0,,,60-56,,K. Bryant misses 2-pt shot from 16 ft
9:44.0,Defensive rebound by D. Lillard,,60-56,,
9:35.0,D. Lillard makes 2-pt shot from 18 ft,2,62-56,,
9:16.0,,,62-56,,J. Clarkson misses 2-pt shot from 8 ft
9:14.0,,,62-56,,Offensive rebound by J. Clarkson
9:10.0,,,62-56,,J. Clarkson misses 2-pt shot from 8 ft
9:08.0,Defensive rebound by N. Vonleh,,62-56,,
9:01.0,D. Lillard makes 2-pt shot from 10 ft,2,64-56,,
8:48.0,,,64-56,,Shooting foul by M. Plumlee (drawn by K. Bryant)
8:48.0,,,64-57,1,K. Bryant makes free throw 1 of 2
8:48.0,,,64-57,,K. Bryant misses free throw 2 of 2
8:47.0,Defensive rebound by M. Plumlee,,64-57,,
8:32.0,Turnover by C. McCollum (traveling),,64-57,,
8:15.0,,,64-59,2,J. Clarkson makes 2-pt shot from 1 ft (assist by J. Randle)
8:00.0,C. McCollum misses 2-pt shot from 15 ft,,64-59,,
7:59.0,,,64-59,,Defensive rebound by R. Hibbert
7:49.0,,,64-61,2,R. Hibbert makes 2-pt shot from 2 ft (assist by D. Russell)
7:29.0,C. McCollum makes 3-pt shot from 25 ft (assist by D. Lillard),3,67-61,,
7:07.0,,,67-61,,J. Randle misses 2-pt shot from 1 ft
7:06.0,,,67-61,,Offensive rebound by R. Hibbert
6:57.0,,,67-61,,R. Hibbert misses 2-pt shot from 1 ft
6:52.0,,,67-61,,Offensive rebound by J. Randle
6:52.0,Turnover by D. Lillard (turnover),,67-61,,
6:52.0,,,67-63,2,J. Randle makes 2-pt shot from 1 ft
6:44.0,Personal foul by C. McCollum (drawn by J. Clarkson),,67-63,,
6:35.0,,,67-65,2,J. Clarkson makes 2-pt shot from 17 ft
6:18.0,C. McCollum makes 3-pt shot from 25 ft (assist by D. Lillard),3,70-65,,
5:58.0,,,70-67,2,K. Bryant makes 2-pt shot from 2 ft
5:38.0,D. Lillard makes 3-pt shot from 25 ft (assist by C. McCollum),3,73-67,,
5:24.0,,,73-67,,Turnover by D. Russell (lost ball; steal by D. Lillard)
5:17.0,D. Lillard misses 2-pt shot at rim,,73-67,,
5:16.0,,,73-67,,Defensive rebound by J. Randle
5:10.0,,,73-67,,LA Lakers full timeout
5:10.0,,,73-67,,L. Williams enters the game for D. Russell
5:10.0,,,73-67,,Violation by Team (delay of game)
4:53.0,,,73-67,,K. Bryant misses 2-pt shot from 15 ft (block by A. Aminu)
4:52.0,,,73-67,,Offensive rebound by J. Randle
4:52.0,,,73-67,,Turnover by Team (shot clock)
4:39.0,D. Lillard misses 3-pt shot from 24 ft,,73-67,,
4:39.0,,,73-67,,Defensive rebound by J. Randle
4:28.0,,,73-69,2,J. Randle makes 2-pt shot from 7 ft (assist by J. Clarkson)
4:06.0,A. Aminu misses 2-pt shot from 3 ft (block by K. Bryant),,73-69,,
4:05.0,,,73-69,,Defensive rebound by K. Bryant
3:59.0,,,73-69,,Turnover by J. Clarkson (bad pass; steal by C. McCollum)
3:55.0,C. McCollum makes 2-pt shot at rim,2,75-69,,
3:55.0,Technical foul by A. Aminu,,75-69,,
3:55.0,,,75-70,1,K. Bryant makes technical free throw
3:55.0,,,75-70,,N. Young enters the game for K. Bryant
3:55.0,M. Harkless enters the game for N. Vonleh,,75-70,,
3:35.0,,,75-73,3,J. Clarkson makes 3-pt shot from 25 ft (assist by N. Young)
3:08.0,M. Plumlee makes 2-pt shot at rim (assist by C. McCollum),2,77-73,,
2:51.0,,,77-73,,R. Hibbert misses 2-pt shot from 10 ft
2:50.0,Defensive rebound by Team,,77-73,,
2:50.0,Portland full timeout,,77-73,,
2:50.0,A. Crabbe enters the game for A. Aminu,,77-73,,
2:50.0,G. Henderson enters the game for C. McCollum,,77-73,,
2:38.0,A. Crabbe makes 2-pt shot from 15 ft (assist by M. Plumlee),2,79-73,,
2:19.0,,,79-73,,L. Williams misses 2-pt shot from 15 ft
2:19.0,,,79-73,,Offensive rebound by J. Randle
2:16.0,,,79-73,,J. Randle misses 2-pt shot from 2 ft
2:16.0,Defensive rebound by M. Plumlee,,79-73,,
2:10.0,D. Lillard makes 2-pt shot from 18 ft,2,81-73,,
2:10.0,,,81-73,,Away from play foul by R. Hibbert (drawn by M. Plumlee)
2:10.0,,,81-73,,M. World Peace enters the game for J. Randle
2:10.0,M. Plumlee misses free throw 1 of 1,,81-73,,
2:05.0,,,81-73,,Defensive rebound by L. Williams
1:53.0,,,81-73,,N. Young misses 2-pt shot from 13 ft
1:53.0,Defensive rebound by M. Harkless,,81-73,,
1:42.0,D. Lillard misses 2-pt shot from 4 ft,,81-73,,
1:40.0,,,81-73,,Defensive rebound by N. Young
1:35.0,,,81-73,,J. Clarkson misses 2-pt shot from 5 ft
1:34.0,,,81-73,,Offensive rebound by R. Hibbert
1:34.0,,,81-73,,Shooting foul by M. Harkless (drawn by R. Hibbert)
1:34.0,,,81-73,,R. Hibbert misses free throw 1 of 2
1:34.0,,,81-73,,Offensive rebound by Team
1:34.0,,,81-74,1,R. Hibbert makes free throw 2 of 2
1:21.0,M. Harkless misses 3-pt shot from 24 ft,,81-74,,
1:21.0,,,81-74,,Defensive rebound by L. Williams
1:04.0,,,81-74,,Turnover by R. Hibbert (lost ball; steal by M. Plumlee)
1:02.0,Turnover by M. Harkless (turnover),,81-74,,
0:50.0,,,81-74,,L. Williams misses 3-pt shot from 25 ft (block by D. Lillard)
0:48.0,,,81-74,,Offensive rebound by N. Young
0:38.0,,,81-74,,M. World Peace misses 2-pt shot from 21 ft
0:35.0,Defensive rebound by G. Henderson,,81-74,,
0:33.0,Shooting foul by R. Hibbert (drawn by D. Lillard),,81-74,,
0:33.0,D. Lillard makes 2-pt shot from 13 ft,2,83-74,,
0:33.0,D. Lillard makes free throw 1 of 1,1,84-74,,
0:11.0,,,84-74,,N. Young misses 2-pt shot from 22 ft
0:09.0,Defensive rebound by G. Henderson,,84-74,,
0:01.0,M. Plumlee misses 2-pt shot from 1 ft,,84-74,,
0:01.0,,,84-74,,Defensive rebound by N. Young
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:38.0,C. McCollum misses 3-pt shot from 24 ft,,84-74,,
11:36.0,,,84-74,,Defensive rebound by K. Bryant
11:20.0,,,84-76,2,K. Bryant makes 2-pt shot from 19 ft
10:55.0,M. Harkless misses 3-pt shot from 23 ft,,84-76,,
10:54.0,,,84-76,,Defensive rebound by D. Russell
10:49.0,,,84-76,,Shooting foul by A. Crabbe (drawn by L. Williams)
10:49.0,,,84-77,1,L. Williams makes free throw 1 of 2
10:49.0,,,84-78,1,L. Williams makes free throw 2 of 2
10:26.0,G. Henderson misses 2-pt shot from 3 ft,,84-78,,
10:26.0,,,84-78,,Defensive rebound by D. Russell
10:20.0,,,84-78,,L. Williams misses 3-pt shot from 24 ft
10:18.0,Defensive rebound by A. Crabbe,,84-78,,
10:12.0,M. Harkless makes 2-pt shot at rim (assist by C. McCollum),2,86-78,,
9:56.0,,,86-78,,D. Russell misses 2-pt shot from 3 ft
9:55.0,,,86-78,,Offensive rebound by L. Williams
9:55.0,,,86-78,,Shooting foul by C. McCollum (drawn by L. Williams)
9:55.0,,,86-79,1,L. Williams makes free throw 1 of 3
9:55.0,,,86-80,1,L. Williams makes free throw 2 of 3
9:55.0,,,86-81,1,L. Williams makes free throw 3 of 3
9:33.0,G. Henderson makes 2-pt shot at rim (assist by E. Davis),2,88-81,,
9:11.0,,,88-81,,M. World Peace misses 2-pt shot from 4 ft
9:10.0,Defensive rebound by C. McCollum,,88-81,,
9:04.0,Turnover by C. McCollum (step out of bounds),,88-81,,
8:51.0,,,88-81,,K. Bryant misses 2-pt shot from 13 ft (block by C. McCollum)
8:49.0,Defensive rebound by M. Harkless,,88-81,,
8:47.0,Turnover by C. McCollum (dbl dribble),,88-81,,
8:47.0,Official timeout,,88-81,,
8:27.0,,,88-83,2,L. Williams makes 2-pt shot from 8 ft
8:14.0,C. McCollum makes 3-pt shot from 24 ft,3,91-83,,
7:54.0,,,91-83,,K. Bryant misses 2-pt shot from 19 ft
7:54.0,,,91-83,,Offensive rebound by M. World Peace
7:53.0,,,91-83,,Turnover by M. World Peace (traveling)
7:36.0,M. Harkless misses 3-pt shot from 22 ft,,91-83,,
7:36.0,Offensive rebound by E. Davis,,91-83,,
7:21.0,Turnover by E. Davis (bad pass; steal by M. World Peace),,91-83,,
7:17.0,,,91-83,,Shooting foul by E. Davis (drawn by L. Williams)
7:17.0,,,91-84,1,L. Williams makes free throw 1 of 2
7:17.0,D. Lillard enters the game for G. Henderson,,91-84,,
7:17.0,A. Aminu enters the game for M. Harkless,,91-84,,
7:17.0,,,91-84,,N. Young enters the game for K. Bryant
7:17.0,,,91-85,1,L. Williams makes free throw 2 of 2
6:59.0,D. Lillard misses 3-pt shot from 26 ft,,91-85,,
6:59.0,,,91-85,,Defensive rebound by M. World Peace
6:42.0,,,91-85,,L. Williams misses 2-pt shot from 13 ft
6:41.0,Defensive rebound by D. Lillard,,91-85,,
6:22.0,C. McCollum misses 3-pt shot from 25 ft,,91-85,,
6:22.0,,,91-85,,Defensive rebound by B. Bass
6:10.0,,,91-85,,D. Russell misses 2-pt shot from 15 ft
6:09.0,Defensive rebound by D. Lillard,,91-85,,
6:02.0,E. Davis makes 2-pt shot from 3 ft (assist by D. Lillard),2,93-85,,
6:02.0,Shooting foul by M. World Peace (drawn by E. Davis),,93-85,,
6:02.0,,,93-85,,J. Clarkson enters the game for L. Williams
6:02.0,E. Davis misses free throw 1 of 1,,93-85,,
6:01.0,,,93-85,,Defensive rebound by B. Bass
5:45.0,,,93-85,,Shooting foul by E. Davis (drawn by B. Bass)
5:45.0,,,93-85,,LA Lakers full timeout
5:45.0,,,93-85,,J. Randle enters the game for M. World Peace
5:45.0,,,93-86,1,B. Bass makes free throw 1 of 2
5:45.0,,,93-87,1,B. Bass makes free throw 2 of 2
5:23.0,A. Crabbe misses 3-pt shot from 23 ft,,93-87,,
5:22.0,,,93-87,,Defensive rebound by D. Russell
5:02.0,,,93-87,,Shooting foul by E. Davis (drawn by B. Bass)
5:02.0,,,93-87,,B. Bass misses free throw 1 of 2
5:02.0,,,93-87,,Offensive rebound by Team
5:02.0,M. Plumlee enters the game for E. Davis,,93-87,,
5:02.0,,,93-88,1,B. Bass makes free throw 2 of 2
4:48.0,D. Lillard misses 2-pt shot from 18 ft,,93-88,,
4:47.0,,,93-88,,Defensive rebound by D. Russell
4:34.0,,,93-90,2,B. Bass makes 2-pt shot at rim (assist by D. Russell)
4:08.0,D. Lillard misses 2-pt shot from 3 ft,,93-90,,
4:07.0,,,93-90,,Defensive rebound by B. Bass
3:50.0,,,93-90,,N. Young misses 2-pt shot from 19 ft
3:49.0,Defensive rebound by A. Aminu,,93-90,,
3:39.0,M. Plumlee makes 2-pt shot at rim (assist by D. Lillard),2,95-90,,
3:39.0,,,95-90,,LA Lakers full timeout
3:39.0,,,95-90,,K. Bryant enters the game for N. Young
3:25.0,,,95-90,,K. Bryant misses 3-pt shot from 25 ft
3:24.0,Defensive rebound by D. Lillard,,95-90,,
3:20.0,A. Crabbe makes 2-pt shot at rim (assist by D. Lillard),2,97-90,,
2:54.0,,,97-90,,J. Randle misses 2-pt shot from 2 ft
2:54.0,Defensive rebound by Team,,97-90,,
2:54.0,Portland full timeout,,97-90,,
2:43.0,Shooting foul by B. Bass (drawn by D. Lillard),,97-90,,
2:43.0,D. Lillard makes free throw 1 of 2,1,98-90,,
2:43.0,D. Lillard makes free throw 2 of 2,1,99-90,,
2:30.0,,,99-90,,Turnover by D. Russell (lost ball)
