time,Minnesota,pts.away,score,pts.home,Oklahoma City
8:10.0,,,0-6,,Defensive rebound by K. Durant
8:04.0,,,0-6,,K. Durant misses 3-pt shot from 24 ft
8:04.0,,,0-6,,Offensive rebound by A. Roberson
8:02.0,,,0-8,2,A. Roberson makes 2-pt shot at rim
7:41.0,K. Towns misses 2-pt shot from 7 ft,,0-8,,
7:40.0,Offensive rebound by K. Towns,,0-8,,
7:39.0,K. Towns misses 2-pt shot from 1 ft,,0-8,,
7:38.0,Offensive rebound by K. Towns,,0-8,,
7:38.0,K. Towns makes 2-pt shot from 1 ft,2,2-8,,
7:38.0,Shooting foul by S. Adams (drawn by K. Towns),,2-8,,
7:38.0,,,2-8,,E. Kanter enters the game for S. Adams
7:38.0,K. Towns makes free throw 1 of 1,1,3-8,,
7:23.0,,,3-8,,S. Ibaka misses 2-pt shot from 14 ft
7:22.0,Defensive rebound by R. Rubio,,3-8,,
7:12.0,K. Garnett misses 2-pt shot from 3 ft,,3-8,,
7:11.0,,,3-8,,Defensive rebound by A. Roberson
7:00.0,G. Dieng enters the game for K. Garnett,,3-8,,
6:57.0,,,3-10,2,K. Durant makes 2-pt shot at rim (assist by R. Westbrook)
6:33.0,A. Wiggins misses 2-pt shot from 2 ft,,3-10,,
6:31.0,Offensive rebound by A. Wiggins,,3-10,,
6:31.0,A. Wiggins makes 2-pt shot from 1 ft,2,5-10,,
6:17.0,,,5-12,2,E. Kanter makes 2-pt shot at rim (assist by R. Westbrook)
6:00.0,A. Wiggins misses 2-pt shot from 17 ft,,5-12,,
5:59.0,,,5-12,,Defensive rebound by R. Westbrook
5:44.0,,,5-14,2,S. Ibaka makes 2-pt shot from 19 ft (assist by K. Durant)
5:24.0,T. Prince makes 2-pt shot from 21 ft (assist by A. Wiggins),2,7-14,,
5:08.0,,,7-14,,E. Kanter misses 2-pt shot from 6 ft
5:07.0,Defensive rebound by T. Prince,,7-14,,
4:59.0,K. Towns misses 3-pt shot from 24 ft,,7-14,,
4:59.0,,,7-14,,Defensive rebound by K. Durant
4:55.0,Personal foul by R. Rubio (drawn by K. Durant),,7-14,,
4:55.0,N. Pekovic enters the game for K. Towns,,7-14,,
4:50.0,,,7-16,2,R. Westbrook makes 2-pt shot from 14 ft (assist by K. Durant)
4:24.0,Turnover by Team (shot clock),,7-16,,
4:24.0,,,7-16,,D. Waiters enters the game for A. Roberson
4:10.0,,,7-18,2,D. Waiters makes 2-pt shot from 1 ft (assist by S. Ibaka)
4:04.0,Minnesota full timeout,,7-18,,
4:04.0,,,7-18,,N. Collison enters the game for S. Ibaka
3:54.0,N. Pekovic makes 2-pt shot from 5 ft,2,9-18,,
3:28.0,,,9-18,,R. Westbrook misses 2-pt shot from 16 ft
3:28.0,,,9-18,,Offensive rebound by R. Westbrook
3:20.0,,,9-21,3,D. Waiters makes 3-pt shot from 25 ft (assist by R. Westbrook)
3:01.0,T. Prince makes 2-pt shot from 21 ft (assist by G. Dieng),2,11-21,,
2:47.0,,,11-21,,Oklahoma City full timeout
2:47.0,,,11-21,,C. Payne enters the game for R. Westbrook
2:47.0,S. Muhammad enters the game for T. Prince,,11-21,,
2:47.0,Z. LaVine enters the game for R. Rubio,,11-21,,
2:35.0,,,11-23,2,C. Payne makes 2-pt shot from 15 ft
2:14.0,N. Pekovic makes 2-pt shot from 6 ft,2,13-23,,
1:53.0,,,13-25,2,K. Durant makes 2-pt shot from 14 ft
1:36.0,S. Muhammad misses 2-pt shot from 4 ft,,13-25,,
1:36.0,Offensive rebound by N. Pekovic,,13-25,,
1:36.0,Shooting foul by N. Collison (drawn by N. Pekovic),,13-25,,
1:36.0,N. Pekovic makes free throw 1 of 2,1,14-25,,
1:36.0,A. Miller enters the game for A. Wiggins,,14-25,,
1:36.0,N. Pekovic makes free throw 2 of 2,1,15-25,,
1:22.0,,,15-25,,D. Waiters misses 3-pt shot from 25 ft
1:20.0,,,15-25,,Offensive rebound by E. Kanter
1:20.0,,,15-25,,E. Kanter misses 2-pt shot from 1 ft
1:20.0,,,15-25,,Offensive rebound by N. Collison
1:17.0,,,15-25,,K. Durant misses 3-pt shot from 24 ft
1:17.0,,,15-25,,Offensive rebound by Team
1:17.0,Loose ball foul by N. Pekovic (drawn by E. Kanter),,15-25,,
1:13.0,,,15-27,2,K. Durant makes 2-pt shot at rim (assist by N. Collison)
0:51.0,Z. LaVine makes 2-pt shot from 1 ft,2,17-27,,
0:37.0,,,17-29,2,D. Waiters makes 2-pt shot from 1 ft
0:21.0,Turnover by G. Dieng (lost ball; steal by C. Payne),,17-29,,
0:18.0,,,17-31,2,K. Durant makes 2-pt shot at rim (assist by E. Kanter)
0:01.0,Z. LaVine misses 2-pt shot from 17 ft,,17-31,,
0:01.0,,,17-31,,Defensive rebound by K. Durant
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:42.0,G. Dieng misses 2-pt shot from 18 ft,,17-31,,
11:41.0,,,17-31,,Defensive rebound by Team
11:21.0,,,17-31,,E. Kanter misses 2-pt shot from 16 ft
11:20.0,Defensive rebound by G. Dieng,,17-31,,
11:07.0,G. Dieng makes 2-pt shot at rim (assist by A. Miller),2,19-31,,
10:57.0,,,19-31,,C. Payne misses 2-pt shot from 17 ft
10:57.0,,,19-31,,Offensive rebound by Team
10:57.0,Loose ball foul by N. Pekovic (drawn by E. Kanter),,19-31,,
10:36.0,,,19-31,,D. Waiters misses 2-pt shot from 14 ft
10:36.0,Defensive rebound by G. Dieng,,19-31,,
10:20.0,Shooting foul by E. Kanter (drawn by N. Pekovic),,19-31,,
10:20.0,N. Pekovic makes free throw 1 of 2,1,20-31,,
10:20.0,N. Pekovic makes free throw 2 of 2,1,21-31,,
10:03.0,,,21-31,,A. Morrow misses 3-pt shot from 23 ft
10:02.0,,,21-31,,Offensive rebound by N. Collison
9:59.0,,,21-33,2,E. Kanter makes 2-pt shot from 4 ft (assist by N. Collison)
9:44.0,S. Muhammad misses 2-pt shot from 2 ft,,21-33,,
9:44.0,,,21-33,,Defensive rebound by C. Payne
9:39.0,,,21-33,,A. Morrow misses 3-pt shot from 26 ft
9:38.0,,,21-33,,Offensive rebound by E. Kanter
9:24.0,,,21-35,2,N. Collison makes 2-pt shot from 4 ft (assist by C. Payne)
8:59.0,Shooting foul by N. Collison (drawn by S. Muhammad),,21-35,,
8:59.0,Official timeout,,21-35,,
8:59.0,,,21-35,,S. Ibaka enters the game for N. Collison
8:59.0,,,21-35,,S. Adams enters the game for E. Kanter
8:59.0,,,21-35,,R. Westbrook enters the game for D. Waiters
8:59.0,K. Towns enters the game for G. Dieng,,21-35,,
8:59.0,N. Bjelica enters the game for N. Pekovic,,21-35,,
8:59.0,S. Muhammad makes free throw 1 of 2,1,22-35,,
8:59.0,S. Muhammad makes free throw 2 of 2,1,23-35,,
8:46.0,,,23-37,2,R. Westbrook makes 2-pt shot at rim (assist by C. Payne)
8:35.0,A. Miller misses 2-pt shot at rim (block by A. Morrow),,23-37,,
8:34.0,,,23-37,,Defensive rebound by S. Adams
8:29.0,,,23-39,2,R. Westbrook makes 2-pt shot at rim
8:08.0,N. Bjelica misses 2-pt shot from 8 ft,,23-39,,
8:07.0,,,23-39,,Defensive rebound by S. Ibaka
8:00.0,,,23-39,,C. Payne misses 2-pt shot from 4 ft
7:59.0,Defensive rebound by Z. LaVine,,23-39,,
7:52.0,S. Muhammad misses 2-pt shot from 1 ft,,23-39,,
7:50.0,Offensive rebound by N. Bjelica,,23-39,,
7:50.0,N. Bjelica misses 2-pt shot from 1 ft,,23-39,,
7:49.0,Offensive rebound by K. Towns,,23-39,,
7:49.0,K. Towns makes 2-pt shot from 1 ft,2,25-39,,
7:22.0,,,25-39,,S. Ibaka misses 2-pt shot from 15 ft
7:22.0,,,25-39,,Offensive rebound by Team
7:22.0,Loose ball foul by K. Towns (drawn by S. Adams),,25-39,,
7:22.0,A. Wiggins enters the game for A. Miller,,25-39,,
7:11.0,,,25-39,,S. Adams misses 2-pt shot at rim (block by N. Bjelica)
7:10.0,Defensive rebound by K. Towns,,25-39,,
7:09.0,Turnover by A. Wiggins (bad pass; steal by R. Westbrook),,25-39,,
7:06.0,Personal foul by Z. LaVine (drawn by R. Westbrook),,25-39,,
6:58.0,,,25-39,,S. Ibaka misses 2-pt shot from 18 ft
6:58.0,Defensive rebound by Z. LaVine,,25-39,,
6:54.0,Turnover by Z. LaVine (bad pass; steal by S. Adams),,25-39,,
6:53.0,,,25-41,2,S. Adams makes 2-pt shot at rim
6:32.0,Z. LaVine makes 2-pt shot from 18 ft,2,27-41,,
6:16.0,,,27-41,,A. Morrow misses 2-pt shot from 2 ft
6:16.0,Defensive rebound by N. Bjelica,,27-41,,
6:10.0,Z. LaVine misses 2-pt shot from 20 ft,,27-41,,
6:09.0,,,27-41,,Defensive rebound by C. Payne
6:03.0,,,27-43,2,C. Payne makes 2-pt shot from 1 ft
5:58.0,Minnesota full timeout,,27-43,,
5:58.0,,,27-43,,K. Durant enters the game for C. Payne
5:58.0,,,27-43,,D. Waiters enters the game for A. Morrow
5:58.0,R. Rubio enters the game for Z. LaVine,,27-43,,
5:45.0,A. Wiggins makes 2-pt shot from 1 ft,2,29-43,,
5:31.0,,,29-43,,S. Adams misses 2-pt shot at rim
5:31.0,Defensive rebound by R. Rubio,,29-43,,
5:27.0,S. Muhammad misses 2-pt shot at rim,,29-43,,
5:27.0,Offensive rebound by Team,,29-43,,
5:27.0,,,29-43,,Loose ball foul by S. Adams (drawn by A. Wiggins)
5:27.0,,,29-43,,A. Morrow enters the game for S. Adams
5:16.0,A. Wiggins makes 2-pt shot from 17 ft,2,31-43,,
5:00.0,,,31-43,,Shooting foul by S. Muhammad (drawn by K. Durant)
5:00.0,,,31-44,1,K. Durant makes free throw 1 of 2
5:00.0,,,31-45,1,K. Durant makes free throw 2 of 2
4:49.0,A. Wiggins misses 3-pt shot from 24 ft,,31-45,,
4:49.0,,,31-45,,Defensive rebound by Team
4:36.0,,,31-47,2,S. Ibaka makes 2-pt shot from 1 ft (assist by R. Westbrook)
4:14.0,R. Rubio makes 3-pt shot from 25 ft (assist by N. Bjelica),3,34-47,,
3:55.0,,,34-47,,Turnover by S. Ibaka (bad pass; steal by N. Bjelica)
3:50.0,S. Muhammad makes 2-pt shot at rim (assist by R. Rubio),2,36-47,,
3:50.0,Shooting foul by K. Durant (drawn by S. Muhammad),,36-47,,
3:50.0,S. Muhammad makes free throw 1 of 1,1,37-47,,
3:38.0,,,37-47,,D. Waiters misses 3-pt shot from 23 ft
3:36.0,,,37-47,,Offensive rebound by R. Westbrook
3:31.0,,,37-47,,S. Ibaka misses 3-pt shot from 24 ft
3:31.0,Defensive rebound by A. Wiggins,,37-47,,
3:18.0,A. Wiggins makes 2-pt shot at rim (assist by K. Towns),2,39-47,,
3:10.0,,,39-47,,Oklahoma City full timeout
3:10.0,,,39-47,,E. Kanter enters the game for A. Morrow
3:04.0,,,39-49,2,S. Ibaka makes 2-pt shot from 12 ft (assist by K. Durant)
2:48.0,Shooting foul by R. Westbrook (drawn by N. Bjelica),,39-49,,
2:48.0,N. Bjelica misses free throw 1 of 2,,39-49,,
2:48.0,Offensive rebound by Team,,39-49,,
2:48.0,N. Bjelica makes free throw 2 of 2,1,40-49,,
2:29.0,,,40-52,3,K. Durant makes 3-pt shot from 25 ft (assist by S. Ibaka)
1:57.0,N. Bjelica misses 3-pt shot from 28 ft,,40-52,,
1:57.0,Offensive rebound by S. Muhammad,,40-52,,
1:56.0,S. Muhammad makes 2-pt shot from 1 ft,2,42-52,,
1:56.0,Shooting foul by E. Kanter (drawn by S. Muhammad),,42-52,,
1:56.0,S. Muhammad makes free throw 1 of 1,1,43-52,,
1:51.0,Personal foul by K. Towns (drawn by K. Durant),,43-52,,
1:51.0,,,43-53,1,K. Durant makes free throw 1 of 2
1:51.0,,,43-54,1,K. Durant makes free throw 2 of 2
1:34.0,Turnover by A. Wiggins (lost ball; steal by S. Ibaka),,43-54,,
1:20.0,,,43-57,3,D. Waiters makes 3-pt shot from 23 ft (assist by R. Westbrook)
1:04.0,N. Bjelica misses 2-pt shot from 3 ft,,43-57,,
1:01.0,,,43-57,,Defensive rebound by E. Kanter
0:52.0,,,43-57,,S. Ibaka misses 3-pt shot from 23 ft
0:52.0,,,43-57,,Offensive rebound by R. Westbrook
0:36.0,,,43-57,,Turnover by D. Waiters (discontinued dribble)
0:21.0,R. Rubio misses 2-pt shot from 19 ft,,43-57,,
0:19.0,Offensive rebound by K. Towns,,43-57,,
0:19.0,Turnover by K. Towns (bad pass; steal by K. Durant),,43-57,,
0:01.0,,,43-57,,K. Durant misses 3-pt shot from 25 ft
0:00.0,Defensive rebound by N. Bjelica,,43-57,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:37.0,R. Rubio misses 2-pt shot from 19 ft,,43-57,,
11:36.0,,,43-57,,Defensive rebound by Team
11:17.0,,,43-57,,Turnover by R. Westbrook (bad pass; steal by R. Rubio)
11:01.0,A. Wiggins makes 2-pt shot from 15 ft,2,45-57,,
10:48.0,,,45-59,2,K. Durant makes 2-pt shot from 9 ft (assist by R. Westbrook)
10:30.0,A. Wiggins makes 2-pt shot from 1 ft (assist by K. Garnett),2,47-59,,
10:14.0,,,47-61,2,S. Adams makes 2-pt shot from 3 ft (assist by R. Westbrook)
9:56.0,K. Garnett misses 2-pt shot from 1 ft,,47-61,,
9:55.0,,,47-61,,Defensive rebound by R. Westbrook
9:47.0,,,47-61,,R. Westbrook misses 3-pt shot from 24 ft
9:46.0,Defensive rebound by K. Garnett,,47-61,,
9:35.0,K. Garnett makes 2-pt shot from 19 ft (assist by R. Rubio),2,49-61,,
9:21.0,,,49-61,,Turnover by K. Durant (bad pass)
8:56.0,K. Towns misses 2-pt shot from 7 ft,,49-61,,
8:56.0,,,49-61,,Defensive rebound by Team
8:56.0,Loose ball foul by K. Towns (drawn by K. Durant),,49-61,,
8:41.0,,,49-63,2,A. Roberson makes 2-pt shot at rim (assist by R. Westbrook)
8:30.0,,,49-63,,Personal foul by S. Ibaka (drawn by K. Garnett)
8:20.0,A. Wiggins makes 2-pt shot from 8 ft,2,51-63,,
8:04.0,,,51-65,2,R. Westbrook makes 2-pt shot at rim
7:46.0,R. Rubio misses 3-pt shot from 24 ft,,51-65,,
7:45.0,Offensive rebound by K. Towns,,51-65,,
7:37.0,K. Towns misses 2-pt shot from 1 ft (block by S. Ibaka),,51-65,,
7:36.0,,,51-65,,Defensive rebound by R. Westbrook
7:28.0,,,51-65,,S. Adams misses 2-pt shot from 1 ft
7:28.0,,,51-65,,Offensive rebound by S. Adams
7:26.0,Personal foul by R. Rubio (drawn by S. Adams),,51-65,,
7:26.0,N. Pekovic enters the game for K. Garnett,,51-65,,
7:23.0,,,51-65,,S. Ibaka misses 3-pt shot from 24 ft
7:22.0,Defensive rebound by Team,,51-65,,
7:22.0,,,51-65,,Loose ball foul by R. Westbrook (drawn by A. Wiggins)
7:02.0,N. Pekovic misses 2-pt shot from 9 ft,,51-65,,
7:02.0,,,51-65,,Defensive rebound by R. Westbrook
6:53.0,,,51-65,,Shooting foul by T. Prince (drawn by A. Roberson)
6:53.0,,,51-65,,A. Roberson misses free throw 1 of 2
6:53.0,,,51-65,,Offensive rebound by Team
6:53.0,S. Muhammad enters the game for T. Prince,,51-65,,
6:53.0,,,51-65,,E. Kanter enters the game for S. Ibaka
6:53.0,,,51-65,,A. Roberson misses free throw 2 of 2
6:53.0,Defensive rebound by R. Rubio,,51-65,,
6:41.0,Turnover by S. Muhammad (lost ball),,51-65,,
6:27.0,,,51-65,,E. Kanter misses 2-pt shot from 2 ft
6:27.0,Defensive rebound by K. Towns,,51-65,,
6:24.0,Turnover by K. Towns (bad pass; steal by R. Westbrook),,51-65,,
6:14.0,Def 3 sec tech foul by N. Pekovic,,51-65,,
6:14.0,,,51-66,1,K. Durant makes technical free throw
6:05.0,,,51-66,,Shooting foul by K. Towns (drawn by E. Kanter)
6:05.0,,,51-67,1,E. Kanter makes free throw 1 of 2
6:05.0,G. Dieng enters the game for K. Towns,,51-67,,
6:05.0,,,51-67,,E. Kanter misses free throw 2 of 2
6:05.0,Defensive rebound by G. Dieng,,51-67,,
5:44.0,,,51-67,,Personal foul by R. Westbrook (drawn by A. Wiggins)
5:44.0,,,51-67,,Oklahoma City full timeout
5:38.0,A. Wiggins misses 2-pt shot from 14 ft (block by A. Roberson),,51-67,,
5:37.0,,,51-67,,Defensive rebound by K. Durant
5:33.0,,,51-69,2,R. Westbrook makes 2-pt shot from 1 ft (assist by K. Durant)
5:15.0,R. Rubio makes 3-pt shot from 22 ft (assist by N. Pekovic),3,54-69,,
5:01.0,,,54-71,2,S. Adams makes 2-pt shot at rim (assist by K. Durant)
4:45.0,A. Wiggins misses 2-pt shot from 10 ft,,54-71,,
4:42.0,Offensive rebound by G. Dieng,,54-71,,
4:42.0,G. Dieng misses 2-pt shot from 1 ft,,54-71,,
4:41.0,,,54-71,,Defensive rebound by A. Roberson
4:40.0,,,54-73,2,K. Durant makes 2-pt shot at rim (assist by A. Roberson)
4:18.0,S. Muhammad misses 2-pt shot from 1 ft (block by S. Adams),,54-73,,
4:17.0,,,54-73,,Defensive rebound by R. Westbrook
4:13.0,,,54-75,2,A. Roberson makes 2-pt shot at rim (assist by R. Westbrook)
4:11.0,Minnesota full timeout,,54-75,,
3:56.0,Turnover by A. Wiggins (traveling),,54-75,,
3:44.0,,,54-75,,E. Kanter misses 3-pt shot from 22 ft
3:43.0,Defensive rebound by S. Muhammad,,54-75,,
3:37.0,S. Muhammad misses 2-pt shot from 1 ft,,54-75,,
3:36.0,,,54-75,,Defensive rebound by E. Kanter
3:31.0,Flagrant foul type 1 by A. Wiggins (drawn by S. Adams),,54-75,,
3:31.0,,,54-76,1,S. Adams makes flagrant free throw 1 of 2
3:31.0,,,54-77,1,S. Adams makes flagrant free throw 2 of 2
3:31.0,Z. LaVine enters the game for R. Rubio,,54-77,,
3:22.0,,,54-79,2,R. Westbrook makes 2-pt shot at rim (assist by K. Durant)
3:00.0,Shooting foul by R. Westbrook (drawn by N. Pekovic),,54-79,,
3:00.0,N. Pekovic makes free throw 1 of 2,1,55-79,,
3:00.0,,,55-79,,S. Ibaka enters the game for S. Adams
3:00.0,,,55-79,,C. Payne enters the game for R. Westbrook
3:00.0,,,55-79,,D. Waiters enters the game for A. Roberson
3:00.0,N. Pekovic makes free throw 2 of 2,1,56-79,,
2:44.0,Violation by G. Dieng (kicked ball),,56-79,,
2:44.0,N. Bjelica enters the game for G. Dieng,,56-79,,
2:35.0,,,56-79,,K. Durant misses 2-pt shot from 13 ft
2:35.0,Defensive rebound by N. Pekovic,,56-79,,
2:24.0,A. Wiggins misses 2-pt shot from 4 ft,,56-79,,
2:22.0,Jump ball: E. Kanter vs. N. Pekovic (Z. LaVine gains possession),,,,Jump ball: E. Kanter vs. N. Pekovic (Z. LaVine gains possession)
2:22.0,Offensive rebound by Team,,56-79,,
2:14.0,Turnover by Z. LaVine (bad pass; steal by C. Payne),,56-79,,
2:05.0,,,56-79,,C. Payne misses 2-pt shot from 2 ft
2:05.0,Defensive rebound by S. Muhammad,,56-79,,
2:01.0,Turnover by S. Muhammad (lost ball; steal by C. Payne),,56-79,,
1:56.0,,,56-79,,Oklahoma City full timeout
1:53.0,,,56-79,,K. Durant misses 2-pt shot at rim
1:52.0,Defensive rebound by N. Pekovic,,56-79,,
1:48.0,A. Wiggins makes 2-pt shot from 4 ft,2,58-79,,
1:48.0,Shooting foul by E. Kanter (drawn by A. Wiggins),,58-79,,
1:48.0,A. Wiggins makes free throw 1 of 1,1,59-79,,
1:34.0,Shooting block foul by A. Wiggins (drawn by K. Durant),,59-79,,
1:34.0,,,59-79,,K. Durant misses free throw 1 of 2
1:34.0,,,59-79,,Offensive rebound by Team
1:34.0,,,59-80,1,K. Durant makes free throw 2 of 2
1:14.0,Z. LaVine makes 3-pt shot from 25 ft (assist by N. Bjelica),3,62-80,,
0:55.0,,,62-80,,K. Durant misses 3-pt shot from 24 ft
0:54.0,Defensive rebound by Z. LaVine,,62-80,,
0:46.0,Shooting foul by E. Kanter (drawn by Z. LaVine),,62-80,,
0:46.0,Z. LaVine misses free throw 1 of 2,,62-80,,
0:46.0,Offensive rebound by Team,,62-80,,
0:46.0,Z. LaVine makes free throw 2 of 2,1,63-80,,
0:34.0,,,63-82,2,D. Waiters makes 2-pt shot from 1 ft
0:09.0,A. Wiggins makes 2-pt shot from 16 ft (assist by N. Bjelica),2,65-82,,
0:02.0,,,65-82,,D. Waiters misses 3-pt shot from 23 ft
0:00.0,,,65-82,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:35.0,,,65-84,2,D. Waiters makes 2-pt shot from 2 ft
11:13.0,S. Muhammad makes 2-pt shot from 1 ft (assist by A. Wiggins),2,67-84,,
11:00.0,,,67-84,,Turnover by C. Payne (bad pass; steal by A. Wiggins)
10:57.0,Shooting foul by D. Waiters (drawn by A. Wiggins),,67-84,,
10:57.0,A. Wiggins makes free throw 1 of 2,1,68-84,,
10:57.0,A. Wiggins makes free throw 2 of 2,1,69-84,,
10:35.0,,,69-84,,D. Waiters misses 2-pt shot from 2 ft (block by N. Bjelica)
10:33.0,Defensive rebound by Z. LaVine,,69-84,,
10:28.0,,,69-84,,Shooting block foul by C. Payne (drawn by A. Wiggins)
10:28.0,A. Wiggins makes free throw 1 of 2,1,70-84,,
10:28.0,A. Wiggins makes free throw 2 of 2,1,71-84,,
10:12.0,,,71-87,3,C. Payne makes 3-pt shot from 24 ft (assist by D. Waiters)
9:50.0,S. Muhammad makes 2-pt shot at rim (assist by A. Wiggins),2,73-87,,
9:49.0,,,73-87,,Oklahoma City full timeout
9:49.0,K. Towns enters the game for N. Pekovic,,73-87,,
9:49.0,,,73-87,,K. Singler enters the game for A. Morrow
9:33.0,,,73-89,2,C. Payne makes 2-pt shot from 7 ft
9:12.0,A. Wiggins misses 2-pt shot from 11 ft,,73-89,,
9:11.0,,,73-89,,Defensive rebound by S. Adams
8:55.0,Personal foul by A. Wiggins (drawn by K. Singler),,73-89,,
8:45.0,,,73-89,,D. Waiters misses 2-pt shot from 1 ft
8:45.0,Defensive rebound by N. Bjelica,,73-89,,
8:33.0,K. Towns misses 2-pt shot from 17 ft,,73-89,,
8:32.0,,,73-89,,Defensive rebound by D. Waiters
8:18.0,,,73-89,,Shooting foul by K. Towns (drawn by S. Adams)
8:18.0,,,73-90,1,S. Adams makes free throw 1 of 2
8:18.0,,,73-91,1,S. Adams makes free throw 2 of 2
8:04.0,Z. LaVine misses 2-pt shot from 20 ft,,73-91,,
8:03.0,,,73-91,,Defensive rebound by K. Singler
7:53.0,,,73-91,,C. Payne misses 2-pt shot from 16 ft
7:53.0,,,73-91,,Offensive rebound by S. Ibaka
7:50.0,,,73-93,2,S. Ibaka makes 2-pt shot from 2 ft
7:38.0,S. Muhammad misses 2-pt shot from 2 ft (block by C. Payne),,73-93,,
7:37.0,,,73-93,,Defensive rebound by S. Adams
7:35.0,,,73-93,,Shooting foul by N. Bjelica (drawn by D. Waiters)
7:35.0,,,73-94,1,D. Waiters makes free throw 1 of 2
7:35.0,,,73-94,,D. Waiters misses free throw 2 of 2
7:35.0,Defensive rebound by N. Bjelica,,73-94,,
7:23.0,,,73-94,,Personal foul by S. Adams (drawn by K. Towns)
7:22.0,,,73-94,,Personal foul by S. Ibaka (drawn by N. Bjelica)
7:09.0,Z. LaVine misses 2-pt shot from 2 ft (block by S. Ibaka),,73-94,,
7:08.0,Offensive rebound by Z. LaVine,,73-94,,
7:07.0,Z. LaVine makes 2-pt shot at rim,2,75-94,,
6:49.0,,,75-97,3,S. Ibaka makes 3-pt shot from 24 ft (assist by C. Payne)
6:28.0,K. Towns misses 2-pt shot at rim (block by S. Ibaka),,75-97,,
6:27.0,,,75-97,,Defensive rebound by S. Ibaka
6:10.0,,,75-97,,C. Payne misses 3-pt shot from 26 ft
6:09.0,,,75-97,,Offensive rebound by S. Ibaka
5:57.0,,,75-99,2,D. Waiters makes 2-pt shot at rim (assist by S. Ibaka)
5:57.0,Minnesota full timeout,,75-99,,
5:35.0,A. Wiggins misses 2-pt shot from 6 ft,,75-99,,
5:34.0,Offensive rebound by K. Towns,,75-99,,
5:34.0,N. Bjelica misses 2-pt shot from 2 ft,,75-99,,
5:34.0,,,75-99,,Defensive rebound by Team
5:19.0,,,75-99,,S. Ibaka misses 3-pt shot from 22 ft
5:18.0,Defensive rebound by Z. LaVine,,75-99,,
5:09.0,Turnover by S. Muhammad (bad pass; steal by C. Payne),,75-99,,
5:05.0,,,75-101,2,K. Singler makes 2-pt shot at rim (assist by C. Payne)
5:02.0,Minnesota full timeout,,75-101,,
4:48.0,N. Bjelica makes 3-pt shot from 24 ft,3,78-101,,
4:32.0,,,78-101,,Shooting foul by N. Bjelica (drawn by S. Adams)
4:32.0,,,78-101,,S. Adams misses free throw 1 of 2
4:32.0,,,78-101,,Offensive rebound by Team
4:32.0,,,78-101,,M. McGary enters the game for S. Ibaka
4:32.0,,,78-101,,S. Adams misses free throw 2 of 2
4:32.0,Defensive rebound by K. Towns,,78-101,,
4:17.0,,,78-101,,Personal foul by M. McGary (drawn by N. Bjelica)
4:17.0,N. Bjelica misses free throw 1 of 2,,78-101,,
4:17.0,Offensive rebound by Team,,78-101,,
4:17.0,,,78-101,,E. Kanter enters the game for S. Adams
4:17.0,N. Bjelica makes free throw 2 of 2,1,79-101,,
