time,Cleveland,pts.away,score,pts.home,Charlotte
5:06.0,,,15-12,,J. Lin misses 2-pt shot at rim (block by K. Love)
5:04.0,Defensive rebound by K. Love,,15-12,,
5:00.0,L. James makes 2-pt shot from 1 ft,2,17-12,,
4:46.0,,,17-14,2,N. Batum makes 2-pt shot from 20 ft (assist by J. Lin)
4:24.0,T. Mozgov makes 2-pt shot at rim (assist by K. Irving),2,19-14,,
4:08.0,,,19-16,2,M. Kidd-Gilchrist makes 2-pt shot from 1 ft (assist by J. Lin)
3:46.0,K. Irving misses 2-pt shot from 1 ft,,19-16,,
3:45.0,,,19-16,,Defensive rebound by M. Williams
3:39.0,,,19-16,,M. Kidd-Gilchrist misses 2-pt shot from 1 ft
3:36.0,Defensive rebound by L. James,,19-16,,
3:30.0,K. Love misses 3-pt shot from 23 ft,,19-16,,
3:29.0,,,19-16,,Defensive rebound by M. Kidd-Gilchrist
3:23.0,,,19-18,2,M. Williams makes 2-pt shot at rim (assist by N. Batum)
3:21.0,Cleveland full timeout,,19-18,,
3:21.0,M. Williams enters the game for K. Irving,,19-18,,
3:21.0,,,19-18,,J. Lamb enters the game for M. Williams
3:21.0,,,19-18,,F. Kaminsky enters the game for N. Batum
3:05.0,J. Smith misses 2-pt shot from 20 ft,,19-18,,
3:04.0,,,19-18,,Defensive rebound by J. Lin
2:59.0,,,19-18,,Shooting foul by T. Mozgov (drawn by J. Lin)
2:59.0,,,19-18,,J. Lin misses free throw 1 of 2
2:59.0,,,19-18,,Offensive rebound by Team
2:59.0,I. Shumpert enters the game for K. Love,,19-18,,
2:59.0,,,19-19,1,J. Lin makes free throw 2 of 2
2:45.0,I. Shumpert misses 2-pt shot from 18 ft,,19-19,,
2:44.0,,,19-19,,Defensive rebound by C. Zeller
2:30.0,,,19-19,,M. Kidd-Gilchrist misses 3-pt shot from 24 ft
2:29.0,,,19-19,,Offensive rebound by J. Lin
2:23.0,,,19-19,,M. Kidd-Gilchrist misses 2-pt shot from 3 ft
2:22.0,,,19-19,,Offensive rebound by M. Kidd-Gilchrist
2:18.0,,,19-19,,J. Lamb misses 3-pt shot from 26 ft
2:17.0,,,19-19,,Offensive rebound by F. Kaminsky
2:17.0,,,19-21,2,F. Kaminsky makes 2-pt shot from 1 ft
1:57.0,M. Williams makes 2-pt shot from 17 ft,2,21-21,,
1:31.0,,,21-21,,J. Lin misses 2-pt shot from 20 ft
1:30.0,Defensive rebound by L. James,,21-21,,
1:23.0,L. James makes 2-pt shot at rim,2,23-21,,
1:05.0,,,23-23,2,J. Lin makes 2-pt shot from 19 ft
0:45.0,M. Williams misses 2-pt shot from 6 ft,,23-23,,
0:44.0,,,23-23,,Defensive rebound by C. Zeller
0:35.0,,,23-23,,F. Kaminsky misses 3-pt shot from 26 ft
0:34.0,,,23-23,,Offensive rebound by F. Kaminsky
0:28.0,,,23-23,,J. Lin misses 3-pt shot from 24 ft
0:27.0,Defensive rebound by L. James,,23-23,,
0:08.0,I. Shumpert misses 2-pt shot from 15 ft,,23-23,,
0:07.0,,,23-23,,Defensive rebound by M. Kidd-Gilchrist
0:01.0,Personal foul by M. Williams (drawn by C. Zeller),,23-23,,
0:00.0,,,23-23,,J. Lamb misses 2-pt shot at rim (block by J. Smith)
0:00.0,,,23-23,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:37.0,,,23-26,3,J. Lamb makes 3-pt shot from 25 ft (assist by B. Roberts)
11:15.0,R. Jefferson makes 3-pt shot from 25 ft (assist by I. Shumpert),3,26-26,,
10:59.0,Personal foul by I. Shumpert (drawn by F. Kaminsky),,26-26,,
10:49.0,,,26-28,2,F. Kaminsky makes 2-pt shot from 17 ft (assist by P. Hairston)
10:25.0,T. Mozgov makes 2-pt shot from 14 ft (assist by M. Williams),2,28-28,,
10:14.0,,,28-30,2,B. Roberts makes 2-pt shot from 19 ft
9:57.0,Cleveland full timeout,,28-30,,
9:57.0,K. Love enters the game for T. Mozgov,,28-30,,
9:47.0,M. Williams makes 3-pt shot from 25 ft (assist by I. Shumpert),3,31-30,,
9:26.0,,,31-30,,Turnover by P. Hairston (bad pass; steal by I. Shumpert)
9:10.0,M. Williams misses 2-pt shot from 18 ft,,31-30,,
9:08.0,,,31-30,,Defensive rebound by J. Lamb
8:55.0,,,31-30,,S. Hawes misses 3-pt shot from 24 ft
8:52.0,,,31-30,,Offensive rebound by J. Lamb
8:52.0,,,31-32,2,J. Lamb makes 2-pt shot from 1 ft
8:42.0,Shooting foul by J. Lamb (drawn by I. Shumpert),,31-32,,
8:42.0,I. Shumpert misses free throw 1 of 2,,31-32,,
8:42.0,Offensive rebound by Team,,31-32,,
8:42.0,K. Irving enters the game for M. Williams,,31-32,,
8:42.0,I. Shumpert makes free throw 2 of 2,1,32-32,,
8:27.0,,,32-32,,J. Lamb misses 2-pt shot from 17 ft
8:26.0,Defensive rebound by R. Jefferson,,32-32,,
8:18.0,K. Irving makes 2-pt shot from 1 ft,2,34-32,,
8:02.0,,,34-32,,P. Hairston misses 3-pt shot from 27 ft
8:01.0,,,34-32,,Offensive rebound by B. Roberts
7:50.0,,,34-34,2,J. Lamb makes 2-pt shot from 1 ft (assist by S. Hawes)
7:28.0,I. Shumpert makes 3-pt shot from 23 ft (assist by R. Jefferson),3,37-34,,
7:18.0,,,37-36,2,F. Kaminsky makes 2-pt shot from 6 ft (assist by B. Roberts)
7:03.0,,,37-36,,Personal foul by J. Lamb (drawn by I. Shumpert)
7:03.0,,,37-36,,N. Batum enters the game for J. Lamb
6:55.0,Shooting foul by B. Roberts (drawn by K. Irving),,37-36,,
6:55.0,K. Irving makes free throw 1 of 2,1,38-36,,
6:55.0,K. Irving makes free throw 2 of 2,1,39-36,,
6:47.0,Personal foul by R. Jefferson (drawn by S. Hawes),,39-36,,
6:47.0,Inbound foul by K. Irving,,39-36,,
6:47.0,,,39-37,1,B. Roberts makes free throw 1 of 2
6:47.0,J. Smith enters the game for I. Shumpert,,39-37,,
6:47.0,L. James enters the game for R. Jefferson,,39-37,,
6:47.0,,,39-38,1,B. Roberts makes free throw 2 of 2
6:29.0,Shooting foul by F. Kaminsky (drawn by K. Love),,39-38,,
6:29.0,K. Love makes free throw 1 of 2,1,40-38,,
6:29.0,K. Love makes free throw 2 of 2,1,41-38,,
6:15.0,Personal foul by K. Love (drawn by S. Hawes),,41-38,,
6:15.0,Violation by Team (delay of game),,41-38,,
6:05.0,,,41-41,3,P. Hairston makes 3-pt shot from 25 ft (assist by N. Batum)
6:00.0,L. James misses 2-pt shot at rim,,41-41,,
5:58.0,,,41-41,,Defensive rebound by N. Batum
5:54.0,,,41-41,,P. Hairston misses 3-pt shot from 25 ft
5:53.0,,,41-41,,Offensive rebound by F. Kaminsky
5:52.0,,,41-43,2,F. Kaminsky makes 2-pt shot from 1 ft
5:33.0,J. Smith makes 2-pt shot from 9 ft,2,43-43,,
5:09.0,,,43-45,2,F. Kaminsky makes 2-pt shot from 6 ft (assist by S. Hawes)
4:52.0,Official timeout,,43-45,,
4:52.0,,,43-45,,J. Lin enters the game for B. Roberts
4:52.0,,,43-45,,M. Kidd-Gilchrist enters the game for P. Hairston
4:45.0,K. Irving misses 2-pt shot from 1 ft (block by S. Hawes),,43-45,,
4:43.0,Offensive rebound by T. Thompson,,43-45,,
4:43.0,T. Thompson misses 2-pt shot from 1 ft,,43-45,,
4:41.0,,,43-45,,Defensive rebound by F. Kaminsky
4:29.0,,,43-47,2,F. Kaminsky makes 2-pt shot from 1 ft (assist by J. Lin)
4:10.0,L. James misses 2-pt shot from 17 ft,,43-47,,
4:09.0,Offensive rebound by T. Thompson,,43-47,,
4:09.0,T. Thompson makes 2-pt shot from 1 ft,2,45-47,,
3:45.0,,,45-47,,N. Batum misses 3-pt shot from 25 ft
3:43.0,Defensive rebound by L. James,,45-47,,
3:19.0,J. Smith misses 2-pt shot from 19 ft,,45-47,,
3:18.0,,,45-47,,Defensive rebound by J. Lin
3:14.0,,,45-47,,Shooting foul by J. Smith (drawn by J. Lin)
3:14.0,,,45-48,1,J. Lin makes free throw 1 of 2
3:14.0,,,45-48,,C. Zeller enters the game for S. Hawes
3:14.0,,,45-48,,M. Williams enters the game for F. Kaminsky
3:14.0,,,45-48,,J. Lin misses free throw 2 of 2
3:12.0,Defensive rebound by J. Smith,,45-48,,
2:55.0,Shooting foul by C. Zeller (drawn by L. James),,45-48,,
2:55.0,,,45-48,,Charlotte full timeout
2:55.0,L. James misses free throw 1 of 2,,45-48,,
2:55.0,Offensive rebound by Team,,45-48,,
2:55.0,L. James makes free throw 2 of 2,1,46-48,,
2:34.0,,,46-48,,M. Kidd-Gilchrist misses 2-pt shot from 12 ft
2:33.0,Defensive rebound by J. Smith,,46-48,,
2:21.0,K. Irving makes 2-pt shot from 13 ft,2,48-48,,
2:07.0,,,48-48,,C. Zeller misses 2-pt shot from 1 ft (block by L. James)
2:05.0,Defensive rebound by L. James,,48-48,,
1:55.0,L. James makes 2-pt shot from 1 ft,2,50-48,,
1:34.0,,,50-48,,J. Lin misses 2-pt shot from 17 ft
1:30.0,Defensive rebound by K. Love,,50-48,,
1:14.0,K. Love makes 3-pt shot from 24 ft (assist by L. James),3,53-48,,
0:57.0,,,53-48,,M. Kidd-Gilchrist misses 2-pt shot from 21 ft
0:56.0,Defensive rebound by Team,,53-48,,
0:56.0,,,53-48,,S. Hawes enters the game for C. Zeller
0:33.0,L. James makes 2-pt shot from 13 ft (assist by K. Irving),2,55-48,,
0:17.0,,,55-48,,Shooting foul by K. Irving (drawn by J. Lin)
0:17.0,,,55-48,,J. Lin misses free throw 1 of 2
0:17.0,,,55-48,,Offensive rebound by Team
0:17.0,,,55-49,1,J. Lin makes free throw 2 of 2
0:08.0,Cleveland full timeout,,55-49,,
0:00.0,J. Smith makes 3-pt shot from 26 ft (assist by K. Irving),3,58-49,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:45.0,,,58-51,2,N. Batum makes 2-pt shot from 22 ft
11:23.0,L. James misses 3-pt shot from 25 ft,,58-51,,
11:21.0,,,58-51,,Defensive rebound by M. Williams
11:10.0,,,58-54,3,N. Batum makes 3-pt shot from 24 ft (assist by C. Zeller)
10:41.0,J. Smith misses 3-pt shot from 35 ft,,58-54,,
10:41.0,Offensive rebound by Team,,58-54,,
10:41.0,Turnover by Team (shot clock),,58-54,,
10:32.0,Personal foul by J. Smith (drawn by N. Batum),,58-54,,
10:26.0,,,58-54,,N. Batum misses 3-pt shot from 26 ft
10:25.0,Defensive rebound by K. Love,,58-54,,
10:16.0,L. James makes 2-pt shot from 8 ft,2,60-54,,
9:52.0,,,60-57,3,M. Williams makes 3-pt shot from 25 ft (assist by J. Lin)
9:37.0,K. Irving makes 3-pt shot from 26 ft,3,63-57,,
9:19.0,,,63-57,,Shooting foul by J. Smith (drawn by M. Kidd-Gilchrist)
9:19.0,,,63-58,1,M. Kidd-Gilchrist makes free throw 1 of 2
9:19.0,,,63-58,,M. Kidd-Gilchrist misses free throw 2 of 2
9:17.0,Defensive rebound by K. Love,,63-58,,
9:05.0,K. Irving makes 2-pt shot from 2 ft,2,65-58,,
8:49.0,,,65-58,,M. Kidd-Gilchrist misses 2-pt shot from 16 ft
8:48.0,Defensive rebound by K. Love,,65-58,,
8:39.0,K. Love misses 3-pt shot from 25 ft,,65-58,,
8:37.0,,,65-58,,Defensive rebound by M. Kidd-Gilchrist
8:31.0,,,65-60,2,M. Kidd-Gilchrist makes 2-pt shot from 1 ft
8:07.0,J. Smith misses 2-pt shot from 19 ft,,65-60,,
8:06.0,,,65-60,,Defensive rebound by M. Williams
8:00.0,,,65-60,,M. Kidd-Gilchrist misses 2-pt shot from 1 ft
8:00.0,,,65-60,,Offensive rebound by C. Zeller
8:00.0,,,65-62,2,C. Zeller makes 2-pt shot at rim
8:00.0,Cleveland full timeout,,65-62,,
7:44.0,L. James makes 2-pt shot from 14 ft,2,67-62,,
7:26.0,,,67-65,3,M. Williams makes 3-pt shot from 25 ft (assist by N. Batum)
7:00.0,Turnover by L. James (bad pass; steal by M. Williams),,67-65,,
6:54.0,,,67-67,2,C. Zeller makes 2-pt shot at rim (assist by J. Lin)
6:36.0,K. Irving makes 2-pt shot from 1 ft,2,69-67,,
6:14.0,,,69-67,,M. Williams misses 3-pt shot from 24 ft
6:13.0,Defensive rebound by K. Love,,69-67,,
6:08.0,,,69-67,,Personal block foul by M. Kidd-Gilchrist (drawn by K. Irving)
5:56.0,L. James misses 2-pt shot from 13 ft,,69-67,,
5:54.0,,,69-67,,Defensive rebound by J. Lin
5:48.0,,,69-69,2,J. Lin makes 2-pt shot from 1 ft (assist by N. Batum)
5:48.0,,,69-69,,Shooting foul by T. Thompson (drawn by J. Lin)
5:48.0,,,69-70,1,J. Lin makes free throw 1 of 1
5:36.0,L. James misses 2-pt shot from 17 ft,,69-70,,
5:34.0,,,69-70,,Defensive rebound by N. Batum
5:29.0,,,69-70,,Turnover by N. Batum (bad pass; steal by K. Love)
5:12.0,K. Irving misses 2-pt shot from 1 ft,,69-70,,
5:11.0,,,69-70,,Defensive rebound by C. Zeller
5:06.0,,,69-72,2,M. Kidd-Gilchrist makes 2-pt shot at rim (assist by J. Lin)
4:44.0,K. Love misses 2-pt shot from 9 ft,,69-72,,
4:44.0,Offensive rebound by Team,,69-72,,
4:44.0,,,69-72,,Loose ball foul by N. Batum (drawn by T. Thompson)
4:44.0,A. Varejao enters the game for K. Love,,69-72,,
4:44.0,,,69-72,,J. Lamb enters the game for N. Batum
4:44.0,M. Williams enters the game for K. Irving,,69-72,,
4:37.0,L. James misses 3-pt shot from 24 ft,,69-72,,
4:36.0,,,69-72,,Defensive rebound by C. Zeller
4:28.0,,,69-72,,Turnover by J. Lin (bad pass)
4:09.0,L. James misses 2-pt shot from 21 ft,,69-72,,
4:08.0,,,69-72,,Defensive rebound by J. Lamb
3:51.0,,,69-75,3,J. Lin makes 3-pt shot from 27 ft (assist by C. Zeller)
3:29.0,M. Williams misses 2-pt shot from 18 ft,,69-75,,
3:28.0,,,69-75,,Defensive rebound by M. Kidd-Gilchrist
3:13.0,,,69-75,,C. Zeller misses 2-pt shot from 3 ft
3:12.0,Defensive rebound by T. Thompson,,69-75,,
3:07.0,L. James makes 2-pt shot from 15 ft,2,71-75,,
3:07.0,Shooting foul by C. Zeller (drawn by L. James),,71-75,,
3:07.0,I. Shumpert enters the game for T. Thompson,,71-75,,
3:07.0,,,71-75,,F. Kaminsky enters the game for M. Williams
3:07.0,L. James makes free throw 1 of 1,1,72-75,,
3:00.0,,,72-75,,Shooting foul by M. Williams (drawn by J. Lin)
3:00.0,,,72-76,1,J. Lin makes free throw 1 of 2
3:00.0,,,72-77,1,J. Lin makes free throw 2 of 2
2:43.0,L. James misses 2-pt shot from 14 ft (block by C. Zeller),,72-77,,
2:41.0,,,72-77,,Defensive rebound by J. Lin
2:33.0,,,72-77,,Turnover by J. Lin (lost ball; steal by L. James)
2:13.0,M. Williams misses 3-pt shot from 23 ft,,72-77,,
2:12.0,,,72-77,,Defensive rebound by M. Kidd-Gilchrist
2:04.0,,,72-79,2,M. Kidd-Gilchrist makes 2-pt shot at rim
1:59.0,Cleveland full timeout,,72-79,,
1:59.0,,,72-79,,Charlotte full timeout
1:59.0,,,72-79,,S. Hawes enters the game for C. Zeller
1:40.0,M. Williams misses 2-pt shot from 11 ft,,72-79,,
1:39.0,Offensive rebound by Team,,72-79,,
1:35.0,J. Smith makes 3-pt shot from 24 ft (assist by L. James),3,75-79,,
1:19.0,,,75-79,,Turnover by S. Hawes (bad pass; steal by J. Smith)
1:13.0,J. Smith misses 3-pt shot from 27 ft,,75-79,,
1:11.0,,,75-79,,Defensive rebound by Team
1:02.0,Violation by M. Williams (kicked ball),,75-79,,
0:54.0,,,75-79,,J. Lamb misses 2-pt shot from 15 ft
0:54.0,Defensive rebound by Team,,75-79,,
0:44.0,Turnover by M. Williams (traveling),,75-79,,
0:35.0,,,75-82,3,J. Lin makes 3-pt shot from 26 ft (assist by S. Hawes)
0:09.0,L. James misses 2-pt shot from 11 ft,,75-82,,
0:05.0,,,75-82,,Defensive rebound by F. Kaminsky
0:00.0,,,75-82,,J. Lin misses 3-pt shot from 28 ft
0:00.0,,,75-82,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:40.0,A. Varejao makes 2-pt shot from 18 ft (assist by K. Irving),2,77-82,,
11:20.0,,,77-84,2,S. Hawes makes 2-pt shot from 1 ft (assist by J. Lamb)
11:03.0,K. Irving misses 2-pt shot from 16 ft,,77-84,,
11:02.0,,,77-84,,Defensive rebound by S. Hawes
10:48.0,,,77-86,2,S. Hawes makes 2-pt shot from 11 ft (assist by B. Roberts)
10:33.0,Turnover by I. Shumpert (lost ball; steal by S. Hawes),,77-86,,
10:22.0,,,77-86,,Offensive foul by S. Hawes
10:22.0,,,77-86,,Turnover by S. Hawes (offensive foul)
10:22.0,,,77-86,,Technical foul by S. Hawes
10:22.0,K. Irving makes technical free throw,1,78-86,,
10:09.0,Turnover by K. Irving (lost ball; steal by S. Hawes),,78-86,,
10:00.0,,,78-86,,B. Roberts misses 2-pt shot from 16 ft
9:58.0,Defensive rebound by I. Shumpert,,78-86,,
9:51.0,Turnover by I. Shumpert (bad pass; steal by J. Lamb),,78-86,,
9:47.0,,,78-86,,Shooting foul by K. Irving (drawn by B. Roberts)
9:47.0,,,78-87,1,B. Roberts makes free throw 1 of 2
9:47.0,K. Love enters the game for A. Varejao,,78-87,,
9:47.0,,,78-88,1,B. Roberts makes free throw 2 of 2
9:33.0,K. Irving makes 2-pt shot from 13 ft,2,80-88,,
9:19.0,,,80-90,2,S. Hawes makes 2-pt shot at rim (assist by J. Lamb)
8:56.0,I. Shumpert misses 3-pt shot from 22 ft,,80-90,,
8:55.0,,,80-90,,Defensive rebound by S. Hawes
8:43.0,,,80-90,,J. Lamb misses 3-pt shot from 25 ft
8:42.0,Defensive rebound by K. Love,,80-90,,
8:25.0,Cleveland full timeout,,80-90,,
8:21.0,Shooting foul by B. Roberts (drawn by K. Irving),,80-90,,
8:21.0,K. Irving makes free throw 1 of 2,1,81-90,,
8:21.0,L. James enters the game for R. Jefferson,,81-90,,
8:21.0,K. Irving makes free throw 2 of 2,1,82-90,,
8:06.0,,,82-90,,J. Lamb misses 2-pt shot at rim
8:05.0,,,82-90,,Offensive rebound by J. Lamb
8:05.0,,,82-90,,J. Lamb misses 2-pt shot at rim
8:04.0,Defensive rebound by K. Irving,,82-90,,
7:59.0,Shooting foul by P. Hairston (drawn by L. James),,82-90,,
7:59.0,L. James makes free throw 1 of 2,1,83-90,,
7:59.0,,,83-90,,M. Kidd-Gilchrist enters the game for P. Hairston
7:59.0,,,83-90,,N. Batum enters the game for J. Lamb
7:59.0,L. James misses free throw 2 of 2,,83-90,,
7:56.0,,,83-90,,Defensive rebound by M. Kidd-Gilchrist
7:47.0,,,83-92,2,B. Roberts makes 2-pt shot from 1 ft
7:29.0,Turnover by K. Love (lost ball),,83-92,,
7:13.0,,,83-92,,M. Kidd-Gilchrist misses 2-pt shot from 6 ft
7:12.0,Defensive rebound by T. Thompson,,83-92,,
6:49.0,K. Irving misses 3-pt shot from 23 ft,,83-92,,
6:48.0,,,83-92,,Defensive rebound by M. Kidd-Gilchrist
6:36.0,,,83-92,,N. Batum misses 3-pt shot from 25 ft
6:32.0,,,83-92,,Offensive rebound by M. Kidd-Gilchrist
6:23.0,,,83-92,,S. Hawes misses 3-pt shot from 24 ft
6:23.0,,,83-92,,Offensive rebound by Team
6:23.0,Loose ball foul by L. James (drawn by M. Kidd-Gilchrist),,83-92,,
6:23.0,J. Smith enters the game for I. Shumpert,,83-92,,
6:12.0,,,83-95,3,F. Kaminsky makes 3-pt shot from 25 ft (assist by S. Hawes)
5:49.0,J. Smith misses 2-pt shot from 11 ft,,83-95,,
5:49.0,,,83-95,,Defensive rebound by S. Hawes
5:49.0,Personal foul by J. Smith (drawn by S. Hawes),,83-95,,
5:49.0,Official timeout,,83-95,,
5:35.0,Personal block foul by J. Smith (drawn by B. Roberts),,83-95,,
5:27.0,,,83-95,,Offensive foul by S. Hawes
5:27.0,,,83-95,,Turnover by S. Hawes (offensive foul)
5:27.0,Technical foul by J. Smith,,83-95,,
5:27.0,I. Shumpert enters the game for T. Thompson,,83-95,,
5:27.0,,,83-96,1,N. Batum makes technical free throw
5:14.0,J. Smith misses 3-pt shot from 26 ft,,83-96,,
5:13.0,,,83-96,,Defensive rebound by F. Kaminsky
4:56.0,,,83-98,2,M. Kidd-Gilchrist makes 2-pt shot from 18 ft (assist by F. Kaminsky)
4:41.0,K. Irving makes 2-pt shot at rim,2,85-98,,
4:21.0,,,85-98,,N. Batum misses 3-pt shot from 24 ft
4:20.0,Defensive rebound by K. Love,,85-98,,
4:00.0,J. Smith misses 3-pt shot from 25 ft,,85-98,,
3:59.0,,,85-98,,Defensive rebound by S. Hawes
3:48.0,,,85-98,,B. Roberts misses 3-pt shot from 26 ft
3:47.0,Defensive rebound by K. Love,,85-98,,
3:42.0,L. James makes 2-pt shot at rim (assist by K. Love),2,87-98,,
3:33.0,,,87-98,,Charlotte full timeout
3:33.0,,,87-98,,M. Williams enters the game for F. Kaminsky
3:33.0,,,87-98,,J. Lin enters the game for B. Roberts
3:33.0,,,87-98,,C. Zeller enters the game for S. Hawes
3:26.0,,,87-98,,Turnover by J. Lin (bad pass; steal by K. Irving)
3:17.0,K. Love makes 3-pt shot from 25 ft (assist by L. James),3,90-98,,
2:50.0,,,90-98,,Turnover by J. Lin (bad pass)
2:44.0,L. James makes 2-pt shot at rim,2,92-98,,
2:32.0,,,92-98,,Shooting foul by K. Irving (drawn by J. Lin)
2:32.0,,,92-99,1,J. Lin makes free throw 1 of 2
2:32.0,,,92-100,1,J. Lin makes free throw 2 of 2
2:22.0,K. Irving misses 3-pt shot from 25 ft,,92-100,,
2:21.0,,,92-100,,Defensive rebound by N. Batum
2:00.0,,,92-102,2,J. Lin makes 2-pt shot from 8 ft
1:51.0,J. Smith makes 3-pt shot from 23 ft (assist by L. James),3,95-102,,
1:35.0,Personal foul by I. Shumpert (drawn by N. Batum),,95-102,,
1:35.0,,,95-103,1,N. Batum makes free throw 1 of 2
1:35.0,,,95-104,1,N. Batum makes free throw 2 of 2
1:29.0,L. James makes 2-pt shot at rim,2,97-104,,
1:05.0,,,97-106,2,J. Lin makes 2-pt shot from 1 ft
1:05.0,Cleveland full timeout,,97-106,,
1:02.0,Turnover by I. Shumpert (bad pass),,97-106,,
0:45.0,,,97-106,,J. Lin misses 2-pt shot from 9 ft
0:42.0,Defensive rebound by L. James,,97-106,,
0:39.0,,,97-106,,Personal foul by M. Kidd-Gilchrist (drawn by L. James)
0:30.0,L. James misses 3-pt shot from 25 ft,,97-106,,
0:28.0,Offensive rebound by K. Love,,97-106,,
0:24.0,K. Irving misses 3-pt shot from 23 ft,,97-106,,
0:20.0,,,97-106,,Defensive rebound by C. Zeller
0:00.0,End of 4th quarter,,,,End of 4th quarter
