time,Oklahoma City,pts.away,score,pts.home,Dallas
1:30.0,,,46-52,,R. Felton misses 3-pt shot from 24 ft
1:30.0,Defensive rebound by Team,,46-52,,
1:18.0,K. Durant misses 3-pt shot from 24 ft,,46-52,,
1:17.0,,,46-52,,Defensive rebound by Team
1:17.0,,,46-52,,D. Harris enters the game for R. Felton
1:04.0,,,46-54,2,D. Williams makes 2-pt shot from 2 ft (assist by Z. Pachulia)
0:48.0,Offensive charge foul by R. Westbrook,,46-54,,
0:48.0,Turnover by R. Westbrook (offensive foul),,46-54,,
0:34.0,,,46-56,2,D. Williams makes 2-pt shot from 16 ft
0:32.0,R. Westbrook misses 3-pt shot from 25 ft,,46-56,,
0:30.0,,,46-56,,Defensive rebound by Z. Pachulia
0:18.0,Personal foul by D. Waiters (drawn by D. Harris),,46-56,,
0:04.0,,,46-56,,D. Williams misses 3-pt shot from 27 ft
0:04.0,Defensive rebound by Team,,46-56,,
0:04.0,,,46-56,,Personal foul by W. Matthews (drawn by K. Singler)
0:04.0,K. Singler makes free throw 1 of 2,1,47-56,,
0:04.0,K. Singler makes free throw 2 of 2,1,48-56,,
0:00.0,,,48-56,,D. Harris misses 3-pt shot from 48 ft
0:00.0,,,48-56,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:52.0,,,48-56,,Offensive foul by Z. Pachulia
11:52.0,,,48-56,,Turnover by Z. Pachulia (offensive foul)
11:41.0,S. Ibaka misses 2-pt shot from 19 ft,,48-56,,
11:40.0,,,48-56,,Defensive rebound by C. Parsons
11:22.0,,,48-56,,W. Matthews misses 2-pt shot from 9 ft
11:21.0,Defensive rebound by S. Ibaka,,48-56,,
11:17.0,R. Westbrook makes 2-pt shot from 1 ft,2,50-56,,
11:05.0,,,50-56,,D. Nowitzki misses 3-pt shot from 25 ft
11:04.0,Defensive rebound by N. Collison,,50-56,,
10:56.0,S. Ibaka makes 3-pt shot from 24 ft (assist by R. Westbrook),3,53-56,,
10:40.0,,,53-58,2,D. Nowitzki makes 2-pt shot from 18 ft (assist by D. Williams)
10:18.0,K. Durant misses 3-pt shot from 24 ft,,53-58,,
10:17.0,Offensive rebound by N. Collison,,53-58,,
10:16.0,N. Collison misses 2-pt shot from 2 ft (block by D. Nowitzki),,53-58,,
10:15.0,Offensive rebound by Team,,53-58,,
10:09.0,S. Ibaka makes 2-pt shot from 10 ft,2,55-58,,
9:43.0,,,55-58,,D. Williams misses 3-pt shot from 22 ft
9:41.0,Defensive rebound by A. Roberson,,55-58,,
9:36.0,R. Westbrook makes 2-pt shot from 2 ft,2,57-58,,
9:36.0,,,57-58,,Dallas full timeout
9:27.0,,,57-60,2,W. Matthews makes 2-pt shot at rim (assist by Z. Pachulia)
9:11.0,K. Durant makes 2-pt shot from 14 ft,2,59-60,,
9:02.0,,,59-60,,D. Williams misses 2-pt shot from 2 ft (block by K. Durant)
9:01.0,Defensive rebound by N. Collison,,59-60,,
8:54.0,S. Ibaka misses 2-pt shot from 17 ft,,59-60,,
8:52.0,Offensive rebound by A. Roberson,,59-60,,
8:52.0,A. Roberson makes 2-pt shot from 3 ft,2,61-60,,
8:37.0,,,61-62,2,C. Parsons makes 2-pt shot from 1 ft (assist by Z. Pachulia)
8:22.0,,,61-62,,Violation by Z. Pachulia (kicked ball)
8:13.0,K. Durant makes 2-pt shot from 7 ft,2,63-62,,
7:57.0,,,63-62,,W. Matthews misses 3-pt shot from 24 ft
7:55.0,Defensive rebound by N. Collison,,63-62,,
7:41.0,S. Ibaka misses 3-pt shot from 25 ft,,63-62,,
7:40.0,Offensive rebound by R. Westbrook,,63-62,,
7:32.0,,,63-62,,Personal foul by D. Williams (drawn by S. Ibaka)
7:32.0,D. Waiters enters the game for A. Roberson,,63-62,,
7:24.0,R. Westbrook misses 2-pt shot from 9 ft,,63-62,,
7:23.0,,,63-62,,Defensive rebound by Z. Pachulia
7:10.0,,,63-62,,D. Nowitzki misses 2-pt shot from 8 ft
7:08.0,Defensive rebound by N. Collison,,63-62,,
7:01.0,S. Ibaka makes 3-pt shot from 23 ft (assist by D. Waiters),3,66-62,,
6:41.0,,,66-64,2,Z. Pachulia makes 2-pt shot at rim (assist by D. Nowitzki)
6:22.0,Shooting foul by D. Nowitzki (drawn by N. Collison),,66-64,,
6:22.0,N. Collison misses free throw 1 of 2,,66-64,,
6:22.0,Offensive rebound by Team,,66-64,,
6:22.0,N. Collison makes free throw 2 of 2,1,67-64,,
6:03.0,,,67-64,,W. Matthews misses 2-pt shot from 7 ft (block by D. Waiters)
6:02.0,Defensive rebound by R. Westbrook,,67-64,,
5:59.0,S. Ibaka makes 2-pt shot at rim (assist by R. Westbrook),2,69-64,,
5:43.0,Personal foul by R. Westbrook (drawn by D. Williams),,69-64,,
5:43.0,,,69-64,,D. Harris enters the game for D. Nowitzki
5:43.0,E. Kanter enters the game for N. Collison,,69-64,,
5:36.0,,,69-64,,Shooting foul by S. Ibaka (drawn by C. Parsons)
5:36.0,,,69-65,1,C. Parsons makes free throw 1 of 2
5:36.0,,,69-66,1,C. Parsons makes free throw 2 of 2
5:18.0,K. Durant makes 3-pt shot from 27 ft,3,72-66,,
4:59.0,,,72-66,,C. Parsons misses 3-pt shot from 24 ft
4:58.0,Defensive rebound by S. Ibaka,,72-66,,
4:46.0,E. Kanter makes 2-pt shot from 15 ft (assist by K. Durant),2,74-66,,
4:45.0,,,74-66,,Dallas full timeout
4:27.0,,,74-66,,W. Matthews misses 3-pt shot from 25 ft
4:25.0,Defensive rebound by R. Westbrook,,74-66,,
4:06.0,R. Westbrook misses 3-pt shot from 26 ft,,74-66,,
4:05.0,,,74-66,,Defensive rebound by C. Parsons
3:50.0,,,74-66,,Z. Pachulia misses 2-pt shot from 1 ft
3:49.0,Defensive rebound by R. Westbrook,,74-66,,
3:42.0,D. Waiters misses 3-pt shot from 23 ft,,74-66,,
3:42.0,,,74-66,,Defensive rebound by Z. Pachulia
3:42.0,Loose ball foul by R. Westbrook (drawn by Z. Pachulia),,74-66,,
3:30.0,,,74-66,,Offensive foul by Z. Pachulia
3:30.0,,,74-66,,Turnover by Z. Pachulia (offensive foul)
3:30.0,,,74-66,,J. McGee enters the game for Z. Pachulia
3:19.0,Turnover by E. Kanter (3 sec),,74-66,,
3:05.0,,,74-66,,Shooting foul by R. Westbrook (drawn by J. McGee)
3:05.0,,,74-66,,J. McGee misses free throw 1 of 2
3:05.0,,,74-66,,Offensive rebound by Team
3:05.0,,,74-66,,J. Barea enters the game for D. Williams
3:05.0,C. Payne enters the game for R. Westbrook,,74-66,,
3:05.0,,,74-67,1,J. McGee makes free throw 2 of 2
2:56.0,Turnover by K. Durant (lost ball; steal by W. Matthews),,74-67,,
2:44.0,,,74-67,,D. Harris misses 3-pt shot from 24 ft
2:43.0,Defensive rebound by Team,,74-67,,
2:43.0,,,74-67,,Loose ball foul by J. McGee (drawn by E. Kanter)
2:43.0,Oklahoma City full timeout,,74-67,,
2:29.0,E. Kanter makes 2-pt shot from 2 ft (assist by K. Durant),2,76-67,,
2:09.0,,,76-67,,C. Parsons misses 2-pt shot from 4 ft
2:06.0,Defensive rebound by E. Kanter,,76-67,,
1:55.0,K. Durant makes 3-pt shot from 26 ft,3,79-67,,
1:37.0,,,79-67,,C. Parsons misses 2-pt shot from 16 ft
1:36.0,Defensive rebound by K. Durant,,79-67,,
1:28.0,K. Durant misses 2-pt shot from 11 ft,,79-67,,
1:26.0,,,79-67,,Defensive rebound by W. Matthews
1:22.0,,,79-70,3,C. Parsons makes 3-pt shot from 24 ft (assist by W. Matthews)
1:01.0,C. Payne makes 2-pt shot from 19 ft,2,81-70,,
0:53.0,,,81-72,2,J. McGee makes 2-pt shot at rim (assist by D. Harris)
0:38.0,C. Payne makes 2-pt shot from 4 ft,2,83-72,,
0:28.0,Personal foul by D. Waiters (drawn by D. Harris),,83-72,,
0:28.0,,,83-73,1,D. Harris makes free throw 1 of 2
0:28.0,,,83-73,,D. Powell enters the game for C. Parsons
0:28.0,,,83-74,1,D. Harris makes free throw 2 of 2
0:08.0,C. Payne misses 3-pt shot from 26 ft,,83-74,,
0:07.0,Offensive rebound by E. Kanter,,83-74,,
0:06.0,,,83-74,,Personal foul by D. Powell (drawn by E. Kanter)
0:03.0,K. Durant makes 2-pt shot from 14 ft,2,85-74,,
0:00.0,,,85-74,,W. Matthews misses 3-pt shot from 40 ft
0:00.0,,,85-74,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:41.0,D. Waiters misses 2-pt shot from 2 ft,,85-74,,
11:39.0,,,85-74,,Defensive rebound by J. Barea
11:20.0,,,85-76,2,J. McGee makes 2-pt shot from 11 ft (assist by D. Williams)
11:03.0,K. Singler misses 3-pt shot from 25 ft,,85-76,,
11:02.0,,,85-76,,Defensive rebound by J. McGee
10:54.0,,,85-78,2,D. Nowitzki makes 2-pt shot from 14 ft (assist by D. Harris)
10:53.0,Oklahoma City full timeout,,85-78,,
10:35.0,D. Waiters makes 3-pt shot from 25 ft (assist by C. Payne),3,88-78,,
10:17.0,,,88-78,,D. Harris misses 2-pt shot from 2 ft (block by K. Singler)
10:16.0,Defensive rebound by C. Payne,,88-78,,
10:06.0,C. Payne misses 3-pt shot from 26 ft,,88-78,,
10:06.0,,,88-78,,Defensive rebound by Team
9:54.0,,,88-78,,Offensive foul by D. Nowitzki
9:54.0,,,88-78,,Turnover by D. Nowitzki (offensive foul)
9:34.0,Turnover by C. Payne (bad pass; steal by D. Nowitzki),,88-78,,
9:27.0,,,88-78,,D. Harris misses 2-pt shot from 10 ft
9:25.0,Defensive rebound by C. Payne,,88-78,,
9:20.0,C. Payne makes 2-pt shot from 13 ft,2,90-78,,
9:15.0,,,90-78,,Dallas full timeout
9:15.0,,,90-78,,Z. Pachulia enters the game for J. McGee
9:00.0,,,90-80,2,D. Williams makes 2-pt shot from 17 ft
8:40.0,Shooting foul by D. Harris (drawn by N. Collison),,90-80,,
8:40.0,N. Collison makes free throw 1 of 2,1,91-80,,
8:40.0,N. Collison makes free throw 2 of 2,1,92-80,,
8:23.0,,,92-80,,J. Barea misses 2-pt shot from 2 ft
8:22.0,Defensive rebound by E. Kanter,,92-80,,
8:11.0,N. Collison makes 2-pt shot at rim (assist by C. Payne),2,94-80,,
8:01.0,,,94-80,,D. Williams misses 2-pt shot from 14 ft
7:59.0,Defensive rebound by E. Kanter,,94-80,,
7:59.0,,,94-80,,Technical foul by Z. Pachulia
7:59.0,K. Singler makes technical free throw,1,95-80,,
7:59.0,,,95-80,,W. Matthews enters the game for D. Harris
7:59.0,K. Durant enters the game for K. Singler,,95-80,,
7:59.0,,,95-80,,C. Parsons enters the game for D. Nowitzki
7:59.0,,,95-80,,S. Mejri enters the game for Z. Pachulia
7:49.0,E. Kanter makes 2-pt shot from 2 ft (assist by C. Payne),2,97-80,,
7:35.0,,,97-82,2,J. Barea makes 2-pt shot from 4 ft
7:21.0,Turnover by C. Payne (lost ball),,97-82,,
7:15.0,,,97-82,,Shooting foul by E. Kanter (drawn by S. Mejri)
7:15.0,,,97-83,1,S. Mejri makes free throw 1 of 2
7:15.0,R. Westbrook enters the game for C. Payne,,97-83,,
7:15.0,S. Ibaka enters the game for N. Collison,,97-83,,
7:15.0,,,97-84,1,S. Mejri makes free throw 2 of 2
6:58.0,K. Durant misses 3-pt shot from 26 ft,,97-84,,
6:57.0,,,97-84,,Defensive rebound by C. Parsons
6:47.0,,,97-86,2,C. Parsons makes 2-pt shot from 1 ft
6:47.0,,,97-86,,Shooting foul by E. Kanter (drawn by C. Parsons)
6:47.0,K. Singler enters the game for E. Kanter,,97-86,,
6:47.0,,,97-87,1,C. Parsons makes free throw 1 of 1
6:37.0,D. Waiters makes 3-pt shot from 23 ft (assist by R. Westbrook),3,100-87,,
6:30.0,Personal foul by K. Singler (drawn by C. Parsons),,100-87,,
6:23.0,,,100-89,2,S. Mejri makes 2-pt shot at rim (assist by D. Williams)
6:07.0,K. Singler makes 3-pt shot from 24 ft (assist by R. Westbrook),3,103-89,,
5:48.0,,,103-89,,Shooting foul by S. Ibaka (drawn by S. Mejri)
5:48.0,,,103-89,,S. Mejri misses free throw 1 of 2
5:48.0,,,103-89,,Offensive rebound by Team
5:48.0,,,103-90,1,S. Mejri makes free throw 2 of 2
5:38.0,Turnover by R. Westbrook (lost ball; steal by W. Matthews),,103-90,,
5:31.0,,,103-92,2,W. Matthews makes 2-pt shot from 2 ft (assist by J. Barea)
5:11.0,K. Durant misses 2-pt shot from 12 ft,,103-92,,
5:09.0,,,103-92,,Defensive rebound by J. Barea
5:05.0,,,103-92,,Shooting foul by K. Singler (drawn by C. Parsons)
5:05.0,,,103-93,1,C. Parsons makes free throw 1 of 3
5:05.0,,,103-94,1,C. Parsons makes free throw 2 of 3
5:05.0,,,103-95,1,C. Parsons makes free throw 3 of 3
4:42.0,R. Westbrook makes 2-pt shot from 19 ft,2,105-95,,
4:26.0,,,105-97,2,D. Williams makes 2-pt shot from 2 ft
4:08.0,K. Durant misses 3-pt shot from 25 ft,,105-97,,
4:07.0,,,105-97,,Defensive rebound by J. Barea
4:00.0,,,105-97,,C. Parsons misses 2-pt shot from 8 ft
3:56.0,Defensive rebound by D. Waiters,,105-97,,
3:41.0,Turnover by S. Ibaka (lost ball; steal by W. Matthews),,105-97,,
3:31.0,,,105-99,2,C. Parsons makes 2-pt shot from 1 ft
3:31.0,Oklahoma City full timeout,,105-99,,
3:09.0,R. Westbrook misses 2-pt shot from 2 ft (block by S. Mejri),,105-99,,
3:07.0,Offensive rebound by K. Singler,,105-99,,
3:05.0,K. Singler misses 3-pt shot from 25 ft,,105-99,,
3:04.0,,,105-99,,Defensive rebound by J. Barea
2:42.0,,,105-99,,J. Barea misses 2-pt shot from 1 ft
2:40.0,Defensive rebound by K. Singler,,105-99,,
2:36.0,R. Westbrook misses 2-pt shot from 1 ft,,105-99,,
2:35.0,Offensive rebound by K. Singler,,105-99,,
2:35.0,K. Singler makes 2-pt shot at rim,2,107-99,,
2:34.0,,,107-99,,Dallas full timeout
2:34.0,,,107-99,,D. Nowitzki enters the game for J. Barea
2:22.0,,,107-101,2,W. Matthews makes 2-pt shot from 1 ft (assist by C. Parsons)
2:06.0,S. Ibaka misses 2-pt shot from 17 ft,,107-101,,
2:05.0,,,107-101,,Defensive rebound by D. Nowitzki
1:55.0,,,107-101,,Shooting foul by K. Singler (drawn by D. Williams)
1:55.0,,,107-102,1,D. Williams makes free throw 1 of 2
1:55.0,,,107-103,1,D. Williams makes free throw 2 of 2
1:44.0,K. Durant misses 2-pt shot at rim (block by S. Mejri),,107-103,,
1:43.0,,,107-103,,Defensive rebound by W. Matthews
