time,Memphis,pts.away,score,pts.home,LA Clippers
3:25.0,X. Munford misses 2-pt shot from 18 ft,,11-21,,
3:23.0,Offensive rebound by J. Martin,,11-21,,
3:23.0,Shooting foul by B. Griffin (drawn by J. Martin),,11-21,,
3:23.0,J. Martin makes free throw 1 of 2,1,12-21,,
3:23.0,P. Hairston enters the game for J. Farmar,,12-21,,
3:23.0,,,12-21,,J. Green enters the game for B. Griffin
3:23.0,J. Martin makes free throw 2 of 2,1,13-21,,
3:08.0,,,13-21,,Shooting foul by X. Munford (drawn by C. Paul)
3:08.0,,,13-22,1,C. Paul makes free throw 1 of 2
3:08.0,,,13-23,1,C. Paul makes free throw 2 of 2
2:56.0,Shooting foul by D. Jordan (drawn by J. Martin),,13-23,,
2:56.0,,,13-23,,LA Clippers full timeout
2:56.0,J. Martin misses free throw 1 of 2,,13-23,,
2:56.0,Offensive rebound by Team,,13-23,,
2:56.0,J. Martin makes free throw 2 of 2,1,14-23,,
2:35.0,,,14-23,,D. Jordan misses 2-pt shot at rim
2:33.0,,,14-23,,Offensive rebound by J. Green
2:31.0,,,14-26,3,C. Paul makes 3-pt shot from 27 ft (assist by A. Rivers)
2:16.0,J. Green misses 2-pt shot from 4 ft,,14-26,,
2:14.0,,,14-26,,Defensive rebound by D. Jordan
2:11.0,Personal foul by J. Green,,14-26,,
2:11.0,,,14-26,,J. Green misses free throw 1 of 2
2:11.0,,,14-26,,Offensive rebound by Team
2:11.0,,,14-26,,P. Pierce enters the game for C. Paul
2:11.0,,,14-26,,J. Green misses free throw 2 of 2
2:10.0,Defensive rebound by J. Martin,,14-26,,
1:56.0,,,14-26,,Personal foul by A. Rivers
1:56.0,,,14-26,,C. Aldrich enters the game for D. Jordan
1:45.0,L. Stephenson makes 3-pt shot from 25 ft,3,17-26,,
1:32.0,,,17-26,,Shooting foul by J. Martin (drawn by A. Rivers)
1:32.0,,,17-26,,A. Rivers misses free throw 1 of 2
1:32.0,,,17-26,,Offensive rebound by Team
1:32.0,,,17-27,1,A. Rivers makes free throw 2 of 2
1:16.0,Turnover by X. Munford (bad pass),,17-27,,
1:02.0,Personal foul by X. Munford,,17-27,,
1:02.0,,,17-28,1,P. Pierce makes free throw 1 of 2
1:02.0,,,17-29,1,P. Pierce makes free throw 2 of 2
0:46.0,J. Martin makes 2-pt shot from 17 ft (assist by L. Stephenson),2,19-29,,
0:38.0,,,19-29,,P. Pierce misses 3-pt shot from 25 ft
0:37.0,Defensive rebound by L. Stephenson,,19-29,,
0:28.0,J. Martin makes 2-pt shot from 1 ft (assist by L. Stephenson),2,21-29,,
0:28.0,Shooting foul by C. Aldrich (drawn by J. Martin),,21-29,,
0:28.0,J. Martin makes free throw 1 of 1,1,22-29,,
0:05.0,,,22-29,,J. Green misses 2-pt shot from 3 ft
0:04.0,Defensive rebound by P. Hairston,,22-29,,
0:02.0,Turnover by P. Hairston (lost ball; steal by W. Johnson),,22-29,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:39.0,L. Stephenson makes 3-pt shot from 26 ft,3,25-29,,
11:19.0,Personal foul by L. Stephenson,,25-29,,
11:13.0,,,25-32,3,A. Rivers makes 3-pt shot from 27 ft
10:58.0,Shooting foul by C. Aldrich (drawn by L. Stephenson),,25-32,,
10:58.0,L. Stephenson makes free throw 1 of 2,1,26-32,,
10:58.0,L. Stephenson misses free throw 2 of 2,,26-32,,
10:57.0,,,26-32,,Defensive rebound by C. Aldrich
10:36.0,,,26-34,2,A. Rivers makes 2-pt shot from 2 ft
10:13.0,X. Munford misses 3-pt shot from 26 ft,,26-34,,
10:12.0,Offensive rebound by J. Green,,26-34,,
10:09.0,J. Martin makes 2-pt shot at rim (assist by J. Green),2,28-34,,
9:46.0,Shooting block foul by J. Martin (drawn by P. Pierce),,28-34,,
9:46.0,,,28-35,1,P. Pierce makes free throw 1 of 2
9:46.0,Z. Randolph enters the game for J. Martin,,28-35,,
9:46.0,,,28-36,1,P. Pierce makes free throw 2 of 2
9:34.0,X. Munford makes 2-pt shot from 2 ft,2,30-36,,
9:08.0,,,30-38,2,J. Green makes 2-pt shot from 4 ft
8:48.0,Z. Randolph makes 2-pt shot from 16 ft (assist by X. Munford),2,32-38,,
8:26.0,,,32-40,2,C. Aldrich makes 2-pt shot at rim (assist by P. Prigioni)
8:20.0,Memphis full timeout,,32-40,,
8:02.0,Z. Randolph misses 2-pt shot from 3 ft,,32-40,,
8:00.0,,,32-40,,Defensive rebound by P. Pierce
7:46.0,,,32-42,2,J. Green makes 2-pt shot from 6 ft (assist by C. Aldrich)
7:26.0,X. Munford misses 3-pt shot from 25 ft,,32-42,,
7:24.0,,,32-42,,Defensive rebound by P. Prigioni
7:18.0,,,32-45,3,A. Rivers makes 3-pt shot from 28 ft
7:03.0,M. Barnes enters the game for P. Hairston,,32-45,,
7:03.0,J. Farmar enters the game for J. Green,,32-45,,
6:50.0,L. Stephenson misses 2-pt shot from 19 ft,,32-45,,
6:48.0,,,32-45,,Defensive rebound by C. Aldrich
6:24.0,,,32-47,2,J. Green makes 2-pt shot from 10 ft
6:08.0,M. Barnes makes 2-pt shot from 3 ft,2,34-47,,
6:01.0,,,34-47,,LA Clippers full timeout
6:01.0,,,34-47,,B. Griffin enters the game for P. Pierce
6:01.0,,,34-47,,D. Jordan enters the game for C. Aldrich
6:01.0,,,34-47,,C. Paul enters the game for P. Prigioni
6:01.0,C. Andersen enters the game for L. Stephenson,,34-47,,
5:52.0,,,34-47,,J. Green misses 2-pt shot from 7 ft
5:49.0,Defensive rebound by X. Munford,,34-47,,
5:32.0,Z. Randolph misses 2-pt shot from 18 ft,,34-47,,
5:30.0,,,34-47,,Defensive rebound by B. Griffin
5:22.0,,,34-47,,Turnover by B. Griffin (offensive foul)
5:22.0,,,34-47,,Offensive foul by B. Griffin
5:22.0,,,34-47,,J. Redick enters the game for A. Rivers
5:11.0,X. Munford misses 3-pt shot from 23 ft,,34-47,,
5:10.0,,,34-47,,Defensive rebound by B. Griffin
4:59.0,,,34-50,3,J. Redick makes 3-pt shot from 22 ft (assist by B. Griffin)
4:39.0,Shooting foul by J. Green (drawn by M. Barnes),,34-50,,
4:39.0,M. Barnes makes free throw 1 of 3,1,35-50,,
4:39.0,M. Barnes misses free throw 2 of 3,,35-50,,
4:39.0,Offensive rebound by Team,,35-50,,
4:39.0,M. Barnes misses free throw 3 of 3,,35-50,,
4:37.0,,,35-50,,Defensive rebound by D. Jordan
4:14.0,,,35-50,,Turnover by Team (shot clock)
4:05.0,Z. Randolph misses 2-pt shot from 22 ft,,35-50,,
4:03.0,,,35-50,,Defensive rebound by C. Paul
3:53.0,,,35-52,2,B. Griffin makes 2-pt shot from 2 ft (assist by C. Paul)
3:42.0,J. Farmar misses 2-pt shot from 4 ft (block by D. Jordan),,35-52,,
3:39.0,,,35-52,,Defensive rebound by D. Jordan
3:32.0,,,35-52,,J. Green misses 2-pt shot from 1 ft
3:27.0,,,35-52,,Offensive rebound by J. Green
3:27.0,,,35-54,2,J. Green makes 2-pt shot from 2 ft
3:09.0,Z. Randolph misses 2-pt shot from 3 ft,,35-54,,
3:08.0,,,35-54,,Defensive rebound by B. Griffin
3:00.0,,,35-54,,Offensive charge foul by D. Jordan
3:00.0,,,35-54,,Turnover by D. Jordan (offensive foul)
3:00.0,,,35-54,,Technical foul by D. Jordan
3:00.0,Z. Randolph misses technical free throw,,35-54,,
3:00.0,Offensive rebound by Team,,35-54,,
3:00.0,,,35-54,,A. Rivers enters the game for J. Green
3:00.0,J. Green enters the game for Z. Randolph,,35-54,,
2:50.0,Official timeout,,35-54,,
2:41.0,C. Andersen makes 2-pt shot from 2 ft (assist by X. Munford),2,37-54,,
2:30.0,,,37-54,,Turnover by C. Paul (lost ball; steal by C. Andersen)
2:26.0,C. Andersen makes 2-pt shot at rim,2,39-54,,
2:08.0,,,39-54,,B. Griffin misses 2-pt shot from 3 ft
2:07.0,Defensive rebound by J. Farmar,,39-54,,
2:03.0,Turnover by X. Munford (offensive foul),,39-54,,
2:03.0,Offensive charge foul by X. Munford,,39-54,,
2:03.0,,,39-54,,W. Johnson enters the game for B. Griffin
2:03.0,P. Hairston enters the game for X. Munford,,39-54,,
1:53.0,,,39-54,,C. Paul misses 2-pt shot from 13 ft
1:51.0,Defensive rebound by J. Green,,39-54,,
1:45.0,M. Barnes misses 2-pt shot from 6 ft,,39-54,,
1:41.0,,,39-54,,Defensive rebound by W. Johnson
1:32.0,,,39-54,,J. Redick misses 3-pt shot from 26 ft
1:31.0,Defensive rebound by J. Farmar,,39-54,,
1:22.0,C. Andersen misses 3-pt shot from 27 ft,,39-54,,
1:21.0,,,39-54,,Defensive rebound by J. Redick
1:16.0,,,39-56,2,J. Redick makes 2-pt shot from 1 ft
1:01.0,P. Hairston misses 3-pt shot from 25 ft,,39-56,,
1:00.0,Offensive rebound by J. Farmar,,39-56,,
0:51.0,C. Andersen misses 2-pt shot from 2 ft,,39-56,,
0:50.0,Offensive rebound by J. Green,,39-56,,
0:50.0,J. Green misses 2-pt shot from 2 ft,,39-56,,
0:50.0,Offensive rebound by J. Green,,39-56,,
0:50.0,J. Green makes 2-pt shot from 2 ft,2,41-56,,
0:36.0,,,41-58,2,D. Jordan makes 2-pt shot at rim (assist by C. Paul)
0:28.0,J. Farmar misses 3-pt shot from 23 ft,,41-58,,
0:28.0,Offensive rebound by C. Andersen,,41-58,,
0:28.0,C. Andersen makes 2-pt shot from 2 ft,2,43-58,,
0:07.0,,,43-61,3,C. Paul makes 3-pt shot from 25 ft
0:03.0,M. Barnes misses 3-pt shot from 27 ft,,43-61,,
0:02.0,Offensive rebound by J. Green,,43-61,,
0:01.0,J. Green misses 2-pt shot from 15 ft,,43-61,,
0:00.0,Offensive rebound by Team,,43-61,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:45.0,Turnover by M. Barnes (lost ball; steal by D. Jordan),,43-61,,
11:39.0,,,43-63,2,L. Mbah a Moute makes 2-pt shot from 1 ft (assist by C. Paul)
11:19.0,M. Barnes makes 2-pt shot from 19 ft (assist by Z. Randolph),2,45-63,,
10:58.0,,,45-63,,Turnover by C. Paul (lost ball; steal by J. Farmar)
10:49.0,Z. Randolph makes 2-pt shot from 14 ft (assist by V. Carter),2,47-63,,
10:31.0,Personal foul by M. Barnes,,47-63,,
10:23.0,,,47-66,3,A. Rivers makes 3-pt shot from 25 ft (assist by C. Paul)
10:00.0,V. Carter misses 2-pt shot from 15 ft,,47-66,,
9:57.0,,,47-66,,Defensive rebound by D. Jordan
9:49.0,,,47-66,,C. Paul misses 3-pt shot from 25 ft
9:47.0,Defensive rebound by V. Carter,,47-66,,
9:34.0,M. Barnes misses 3-pt shot from 26 ft,,47-66,,
9:32.0,,,47-66,,Defensive rebound by B. Griffin
9:18.0,,,47-68,2,B. Griffin makes 2-pt shot from 15 ft (assist by C. Paul)
8:58.0,Z. Randolph makes 2-pt shot from 2 ft,2,49-68,,
8:38.0,,,49-68,,A. Rivers misses 3-pt shot from 26 ft
8:37.0,Defensive rebound by C. Andersen,,49-68,,
8:19.0,Z. Randolph misses 2-pt shot from 3 ft,,49-68,,
8:15.0,,,49-68,,Defensive rebound by B. Griffin
8:12.0,Violation by Z. Randolph (kicked ball),,49-68,,
8:02.0,,,49-70,2,B. Griffin makes 2-pt shot from 17 ft (assist by C. Paul)
7:51.0,C. Andersen misses 3-pt shot from 27 ft,,49-70,,
7:50.0,,,49-70,,Defensive rebound by B. Griffin
7:31.0,,,49-70,,A. Rivers misses 3-pt shot from 27 ft
7:30.0,Defensive rebound by M. Barnes,,49-70,,
7:18.0,Z. Randolph makes 2-pt shot from 21 ft (assist by J. Farmar),2,51-70,,
7:06.0,,,51-70,,Turnover by C. Paul (lost ball; steal by Z. Randolph)
7:03.0,,,51-70,,Personal foul by C. Paul
7:01.0,,,51-70,,Personal foul by L. Mbah a Moute
6:54.0,J. Farmar misses 2-pt shot from 2 ft (block by D. Jordan),,51-70,,
6:54.0,Offensive rebound by Team,,51-70,,
6:48.0,V. Carter misses 2-pt shot from 11 ft,,51-70,,
6:44.0,Offensive rebound by C. Andersen,,51-70,,
6:44.0,C. Andersen makes 2-pt shot at rim,2,53-70,,
6:28.0,,,53-70,,Turnover by C. Paul (lost ball; steal by C. Andersen)
6:22.0,M. Barnes makes 2-pt shot from 2 ft (assist by J. Farmar),2,55-70,,
6:22.0,,,55-70,,LA Clippers full timeout
6:12.0,,,55-70,,L. Mbah a Moute misses 2-pt shot from 16 ft
6:11.0,Defensive rebound by J. Farmar,,55-70,,
5:58.0,Turnover by Z. Randolph (lost ball; steal by B. Griffin),,55-70,,
5:51.0,,,55-72,2,L. Mbah a Moute makes 2-pt shot from 2 ft (assist by B. Griffin)
5:26.0,V. Carter misses 2-pt shot from 8 ft,,55-72,,
5:23.0,,,55-72,,Defensive rebound by D. Jordan
5:20.0,,,55-72,,Shooting foul by J. Farmar (drawn by A. Rivers)
5:20.0,,,55-73,1,A. Rivers makes free throw 1 of 2
5:20.0,,,55-73,,W. Johnson enters the game for L. Mbah a Moute
5:20.0,,,55-74,1,A. Rivers makes free throw 2 of 2
5:10.0,,,55-74,,Personal foul by W. Johnson
5:10.0,X. Munford enters the game for V. Carter,,55-74,,
4:57.0,Z. Randolph makes 2-pt shot from 5 ft,2,57-74,,
4:34.0,,,57-74,,B. Griffin misses 2-pt shot from 17 ft
4:33.0,Defensive rebound by X. Munford,,57-74,,
4:12.0,X. Munford misses 2-pt shot from 1 ft (block by W. Johnson),,57-74,,
4:09.0,,,57-74,,Defensive rebound by D. Jordan
3:54.0,,,57-74,,B. Griffin misses 2-pt shot from 16 ft
3:52.0,,,57-74,,Offensive rebound by D. Jordan
3:39.0,,,57-74,,C. Paul misses 2-pt shot from 18 ft
3:36.0,,,57-74,,Offensive rebound by C. Paul
3:17.0,,,57-74,,Offensive foul by A. Rivers
3:17.0,,,57-74,,Turnover by A. Rivers (offensive foul)
3:17.0,Memphis full timeout,,57-74,,
3:17.0,J. Green enters the game for C. Andersen,,57-74,,
3:02.0,Turnover by J. Farmar (lost ball; steal by B. Griffin),,57-74,,
2:57.0,,,57-76,2,D. Jordan makes 2-pt shot from 1 ft (assist by B. Griffin)
2:47.0,X. Munford makes 2-pt shot from 9 ft,2,59-76,,
2:28.0,,,59-76,,W. Johnson misses 2-pt shot from 19 ft
2:26.0,Defensive rebound by Team,,59-76,,
2:13.0,Z. Randolph misses 3-pt shot from 26 ft,,59-76,,
2:12.0,Offensive rebound by J. Farmar,,59-76,,
2:08.0,J. Green misses 2-pt shot from 16 ft,,59-76,,
2:07.0,Offensive rebound by Z. Randolph,,59-76,,
2:05.0,Z. Randolph makes 2-pt shot from 1 ft,2,61-76,,
1:51.0,,,61-79,3,W. Johnson makes 3-pt shot from 27 ft (assist by C. Paul)
1:30.0,Turnover by M. Barnes (lost ball; steal by W. Johnson),,61-79,,
1:20.0,,,61-81,2,D. Jordan makes 2-pt shot at rim (assist by C. Paul)
1:19.0,Memphis full timeout,,61-81,,
1:19.0,,,61-81,,P. Prigioni enters the game for B. Griffin
1:19.0,,,61-81,,J. Green enters the game for C. Paul
1:19.0,P. Hairston enters the game for J. Farmar,,61-81,,
1:07.0,M. Barnes misses 3-pt shot from 27 ft,,61-81,,
1:06.0,,,61-81,,Defensive rebound by A. Rivers
0:44.0,,,61-84,3,P. Prigioni makes 3-pt shot from 25 ft (assist by A. Rivers)
0:27.0,J. Green misses 2-pt shot at rim (block by W. Johnson),,61-84,,
0:23.0,Offensive rebound by Team,,61-84,,
0:23.0,,,61-84,,Violation by A. Rivers (kicked ball)
0:13.0,X. Munford makes 2-pt shot from 3 ft,2,63-84,,
0:13.0,Shooting foul by P. Prigioni (drawn by X. Munford),,63-84,,
0:13.0,L. Stephenson enters the game for Z. Randolph,,63-84,,
0:13.0,,,63-84,,P. Pierce enters the game for D. Jordan
0:13.0,X. Munford makes free throw 1 of 1,1,64-84,,
0:02.0,,,64-84,,A. Rivers misses 3-pt shot from 26 ft
0:00.0,,,64-84,,Offensive rebound by P. Prigioni
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:38.0,,,64-84,,J. Green misses 2-pt shot from 16 ft (block by J. Green)
11:30.0,,,64-84,,Offensive rebound by P. Prigioni
11:29.0,,,64-86,2,P. Prigioni makes 2-pt shot from 2 ft
11:20.0,P. Hairston makes 3-pt shot from 27 ft (assist by X. Munford),3,67-86,,
11:07.0,,,67-88,2,C. Aldrich makes 2-pt shot at rim (assist by P. Pierce)
10:50.0,P. Hairston makes 3-pt shot from 25 ft (assist by X. Munford),3,70-88,,
10:28.0,,,70-88,,Shooting foul by J. Martin (drawn by C. Aldrich)
10:28.0,,,70-89,1,C. Aldrich makes free throw 1 of 2
10:28.0,,,70-90,1,C. Aldrich makes free throw 2 of 2
10:04.0,J. Martin misses 2-pt shot from 18 ft,,70-90,,
10:03.0,,,70-90,,Defensive rebound by C. Aldrich
9:44.0,,,70-90,,J. Green misses 3-pt shot from 25 ft
9:42.0,Defensive rebound by P. Hairston,,70-90,,
9:41.0,,,70-90,,Personal take foul by P. Pierce
9:31.0,,,70-90,,Personal foul by P. Pierce
9:18.0,X. Munford makes 2-pt shot from 4 ft (assist by L. Stephenson),2,72-90,,
8:57.0,,,72-93,3,J. Green makes 3-pt shot from 23 ft (assist by P. Prigioni)
8:38.0,Turnover by P. Hairston (lost ball; steal by C. Aldrich),,72-93,,
8:33.0,,,72-95,2,W. Johnson makes 2-pt shot from 1 ft
8:13.0,L. Stephenson misses 2-pt shot from 5 ft,,72-95,,
8:11.0,Offensive rebound by Team,,72-95,,
8:11.0,Official timeout,,72-95,,
8:00.0,L. Stephenson misses 2-pt shot from 2 ft (block by C. Aldrich),,72-95,,
8:00.0,Offensive rebound by Team,,72-95,,
7:50.0,L. Stephenson misses 2-pt shot from 13 ft,,72-95,,
7:46.0,Offensive rebound by J. Green,,72-95,,
7:46.0,J. Green makes 2-pt shot at rim,2,74-95,,
7:25.0,,,74-95,,W. Johnson misses 3-pt shot from 23 ft
7:24.0,,,74-95,,Offensive rebound by P. Prigioni
7:02.0,,,74-95,,P. Pierce misses 3-pt shot from 25 ft
7:02.0,Defensive rebound by Team,,74-95,,
6:48.0,P. Hairston misses 3-pt shot from 26 ft,,74-95,,
6:48.0,Offensive rebound by J. Green,,74-95,,
6:45.0,P. Hairston misses 2-pt shot from 1 ft (block by C. Aldrich),,74-95,,
6:42.0,,,74-95,,Defensive rebound by J. Green
6:36.0,,,74-95,,P. Pierce misses 2-pt shot from 7 ft
6:35.0,Defensive rebound by J. Green,,74-95,,
6:26.0,L. Stephenson misses 2-pt shot from 4 ft (block by C. Aldrich),,74-95,,
6:22.0,,,74-95,,Defensive rebound by C. Aldrich
6:17.0,,,74-95,,W. Johnson misses 3-pt shot from 25 ft
6:17.0,Defensive rebound by L. Stephenson,,74-95,,
6:17.0,Memphis full timeout,,74-95,,
6:00.0,J. Green makes 2-pt shot from 19 ft (assist by J. Martin),2,76-95,,
5:39.0,,,76-95,,J. Green misses 2-pt shot from 2 ft
5:37.0,Defensive rebound by J. Green,,76-95,,
5:30.0,Turnover by L. Stephenson (bad pass),,76-95,,
5:20.0,,,76-95,,Shooting foul by J. Martin (drawn by P. Pierce)
5:20.0,,,76-96,1,P. Pierce makes free throw 1 of 2
5:20.0,,,76-96,,J. Ayres enters the game for C. Aldrich
5:20.0,,,76-96,,C. Wilcox enters the game for W. Johnson
5:20.0,,,76-97,1,P. Pierce makes free throw 2 of 2
5:00.0,X. Munford misses 2-pt shot from 16 ft,,76-97,,
4:57.0,Offensive rebound by L. Stephenson,,76-97,,
4:57.0,L. Stephenson makes 2-pt shot at rim,2,78-97,,
4:42.0,,,78-97,,P. Pierce misses 3-pt shot from 24 ft
4:41.0,Defensive rebound by X. Munford,,78-97,,
4:33.0,Turnover by X. Munford (lost ball; steal by P. Prigioni),,78-97,,
4:20.0,,,78-97,,P. Pierce misses 2-pt shot from 12 ft
4:17.0,Defensive rebound by J. Green,,78-97,,
4:08.0,L. Stephenson makes 2-pt shot from 2 ft,2,80-97,,
3:55.0,,,80-99,2,C. Wilcox makes 2-pt shot from 17 ft (assist by P. Prigioni)
3:35.0,P. Hairston misses 3-pt shot from 26 ft,,80-99,,
3:34.0,,,80-99,,Defensive rebound by P. Pierce
3:27.0,Personal foul by L. Stephenson,,80-99,,
3:17.0,,,80-101,2,P. Pierce makes 2-pt shot from 12 ft
3:05.0,,,80-101,,Violation by J. Ayres (def goaltending)
3:05.0,X. Munford makes 2-pt shot from 5 ft (assist by J. Green),2,82-101,,
2:51.0,,,82-101,,P. Pierce misses 2-pt shot from 2 ft
2:49.0,Defensive rebound by P. Hairston,,82-101,,
2:47.0,Offensive charge foul by X. Munford,,82-101,,
2:47.0,Turnover by X. Munford (offensive foul),,82-101,,
2:47.0,,,82-101,,LA Clippers full timeout
2:47.0,B. Cotton enters the game for J. Green,,82-101,,
2:32.0,,,82-103,2,C. Wilcox makes 2-pt shot from 17 ft (assist by J. Green)
2:10.0,,,82-103,,Personal foul by J. Ayres
2:05.0,Shooting foul by J. Ayres (drawn by J. Martin),,82-103,,
2:05.0,J. Martin makes free throw 1 of 2,1,83-103,,
2:05.0,J. Martin makes free throw 2 of 2,1,84-103,,
1:50.0,,,84-105,2,C. Wilcox makes 2-pt shot from 2 ft (assist by J. Ayres)
1:28.0,L. Stephenson misses 2-pt shot from 2 ft,,84-105,,
1:27.0,,,84-105,,Defensive rebound by C. Wilcox
1:11.0,,,84-108,3,P. Pierce makes 3-pt shot from 25 ft (assist by P. Prigioni)
0:51.0,P. Hairston misses 2-pt shot from 21 ft,,84-108,,
0:48.0,,,84-108,,Defensive rebound by J. Ayres
0:35.0,,,84-110,2,J. Green makes 2-pt shot from 2 ft (assist by P. Prigioni)
0:12.0,L. Stephenson misses 2-pt shot from 17 ft,,84-110,,
0:09.0,,,84-110,,Defensive rebound by P. Pierce
0:00.0,End of 4th quarter,,,,End of 4th quarter
