time,New York,pts.away,score,pts.home,Charlotte
6:31.0,A. Afflalo makes 2-pt shot from 17 ft (assist by J. Calderon),2,12-7,,
6:15.0,,,12-9,2,N. Batum makes 2-pt shot from 17 ft (assist by A. Jefferson)
5:55.0,C. Anthony misses 2-pt shot from 15 ft,,12-9,,
5:53.0,Offensive rebound by R. Lopez,,12-9,,
5:42.0,K. Porzingis makes 2-pt shot from 7 ft,2,14-9,,
5:30.0,,,14-12,3,N. Batum makes 3-pt shot from 25 ft (assist by P. Hairston)
5:24.0,New York full timeout,,14-12,,
5:24.0,,,14-12,,C. Zeller enters the game for M. Williams
5:24.0,J. Grant enters the game for A. Afflalo,,14-12,,
5:24.0,L. Galloway enters the game for J. Calderon,,14-12,,
5:12.0,Shooting foul by P. Hairston (drawn by C. Anthony),,14-12,,
5:12.0,C. Anthony makes free throw 1 of 2,1,15-12,,
5:12.0,C. Anthony misses free throw 2 of 2,,15-12,,
5:11.0,,,15-12,,Defensive rebound by A. Jefferson
4:56.0,,,15-12,,A. Jefferson misses 2-pt shot from 12 ft
4:55.0,Defensive rebound by K. Porzingis,,15-12,,
4:42.0,K. Porzingis makes 2-pt shot from 12 ft (assist by J. Grant),2,17-12,,
4:23.0,,,17-12,,N. Batum misses 2-pt shot from 10 ft
4:22.0,Defensive rebound by R. Lopez,,17-12,,
4:08.0,R. Lopez misses 2-pt shot from 1 ft,,17-12,,
4:08.0,,,17-12,,Defensive rebound by P. Hairston
4:08.0,Personal foul by K. Porzingis (drawn by P. Hairston),,17-12,,
4:08.0,K. O'Quinn enters the game for K. Porzingis,,17-12,,
3:54.0,,,17-14,2,P. Hairston makes 2-pt shot from 19 ft (assist by C. Zeller)
3:39.0,C. Anthony misses 2-pt shot from 17 ft,,17-14,,
3:38.0,,,17-14,,Defensive rebound by N. Batum
3:34.0,Personal foul by L. Galloway (drawn by N. Batum),,17-14,,
3:34.0,,,17-14,,S. Hawes enters the game for A. Jefferson
3:34.0,L. Amundson enters the game for R. Lopez,,17-14,,
3:27.0,,,17-14,,Shooting foul by K. O'Quinn (drawn by C. Zeller)
3:27.0,,,17-15,1,C. Zeller makes free throw 1 of 2
3:27.0,,,17-15,,C. Zeller misses free throw 2 of 2
3:25.0,Defensive rebound by K. O'Quinn,,17-15,,
3:07.0,C. Anthony misses 3-pt shot from 25 ft,,17-15,,
3:05.0,,,17-15,,Defensive rebound by Team
2:52.0,,,17-15,,K. Walker misses 2-pt shot from 17 ft
2:49.0,Defensive rebound by K. O'Quinn,,17-15,,
2:39.0,K. O'Quinn makes 2-pt shot from 19 ft (assist by J. Grant),2,19-15,,
2:29.0,,,19-15,,P. Hairston misses 3-pt shot from 25 ft
2:27.0,,,19-15,,Offensive rebound by S. Hawes
2:22.0,,,19-15,,P. Hairston misses 3-pt shot from 25 ft
2:21.0,Defensive rebound by C. Anthony,,19-15,,
2:11.0,C. Anthony makes 2-pt shot from 2 ft,2,21-15,,
2:07.0,,,21-15,,Charlotte full timeout
2:07.0,L. Thomas enters the game for C. Anthony,,21-15,,
2:07.0,,,21-15,,J. Lamb enters the game for P. Hairston
2:07.0,,,21-15,,J. Lin enters the game for K. Walker
1:55.0,,,21-15,,J. Lin misses 2-pt shot from 16 ft
1:54.0,Defensive rebound by J. Grant,,21-15,,
1:44.0,L. Galloway misses 3-pt shot from 23 ft,,21-15,,
1:43.0,,,21-15,,Defensive rebound by C. Zeller
1:35.0,,,21-15,,Shooting foul by L. Amundson (drawn by C. Zeller)
1:35.0,,,21-16,1,C. Zeller makes free throw 1 of 2
1:35.0,,,21-16,,M. Williams enters the game for N. Batum
1:35.0,,,21-17,1,C. Zeller makes free throw 2 of 2
1:20.0,L. Amundson makes 2-pt shot from 16 ft (assist by J. Grant),2,23-17,,
1:07.0,,,23-17,,C. Zeller misses 2-pt shot from 3 ft (block by L. Amundson)
1:07.0,,,23-17,,Offensive rebound by Team
1:07.0,Personal foul by K. O'Quinn (drawn by C. Zeller),,23-17,,
1:07.0,,,23-18,1,C. Zeller makes free throw 1 of 2
1:07.0,,,23-18,,C. Zeller misses free throw 2 of 2
1:06.0,Defensive rebound by K. O'Quinn,,23-18,,
0:54.0,L. Galloway makes 2-pt shot from 15 ft (assist by L. Amundson),2,25-18,,
0:43.0,,,25-18,,C. Zeller misses 2-pt shot from 18 ft
0:41.0,Defensive rebound by K. O'Quinn,,25-18,,
0:25.0,L. Thomas misses 3-pt shot from 23 ft,,25-18,,
0:23.0,,,25-18,,Defensive rebound by C. Zeller
0:08.0,,,25-18,,J. Lin misses 2-pt shot from 1 ft (block by K. O'Quinn)
0:06.0,Defensive rebound by J. Grant,,25-18,,
0:02.0,J. Grant misses 2-pt shot at rim (block by M. Williams),,25-18,,
0:01.0,Offensive rebound by L. Amundson,,25-18,,
0:00.0,L. Amundson makes 2-pt shot from 1 ft,2,27-18,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:40.0,J. Grant misses 3-pt shot from 25 ft,,27-18,,
11:38.0,Offensive rebound by L. Thomas,,27-18,,
11:32.0,L. Galloway makes 2-pt shot from 14 ft (assist by L. Thomas),2,29-18,,
11:11.0,,,29-18,,J. Lamb misses 2-pt shot from 12 ft
11:10.0,Defensive rebound by L. Amundson,,29-18,,
10:57.0,L. Galloway misses 2-pt shot from 2 ft (block by C. Zeller),,29-18,,
10:55.0,Offensive rebound by K. O'Quinn,,29-18,,
10:47.0,K. O'Quinn misses 2-pt shot from 16 ft,,29-18,,
10:44.0,,,29-18,,Defensive rebound by S. Hawes
10:44.0,,,29-18,,Shooting foul by K. O'Quinn (drawn by C. Zeller)
10:44.0,,,29-18,,C. Zeller misses free throw 1 of 2
10:44.0,,,29-18,,Offensive rebound by Team
10:44.0,,,29-19,1,C. Zeller makes free throw 2 of 2
10:28.0,J. Grant makes 2-pt shot from 17 ft,2,31-19,,
10:12.0,,,31-21,2,J. Lin makes 2-pt shot from 2 ft (assist by C. Zeller)
9:58.0,J. Grant makes 2-pt shot from 15 ft,2,33-21,,
9:54.0,,,33-21,,Charlotte full timeout
9:54.0,,,33-21,,F. Kaminsky enters the game for C. Zeller
9:54.0,D. Williams enters the game for K. O'Quinn,,33-21,,
9:54.0,K. Seraphin enters the game for L. Amundson,,33-21,,
9:45.0,,,33-23,2,J. Lin makes 2-pt shot from 2 ft
9:29.0,J. Grant misses 3-pt shot from 25 ft,,33-23,,
9:28.0,,,33-23,,Defensive rebound by S. Hawes
9:12.0,,,33-23,,Turnover by J. Lin (lost ball; steal by D. Williams)
9:08.0,Turnover by D. Williams (lost ball; steal by J. Lin),,33-23,,
9:03.0,Personal foul by L. Thomas (drawn by J. Lamb),,33-23,,
8:56.0,,,33-26,3,J. Lamb makes 3-pt shot from 25 ft (assist by J. Lin)
8:30.0,K. Seraphin makes 2-pt shot from 6 ft (assist by J. Grant),2,35-26,,
8:17.0,,,35-28,2,J. Lin makes 2-pt shot from 1 ft
8:10.0,,,35-28,,Personal foul by J. Lin (drawn by J. Grant)
8:02.0,D. Williams misses 2-pt shot from 10 ft,,35-28,,
8:01.0,Offensive rebound by K. Seraphin,,35-28,,
7:56.0,Turnover by K. Seraphin (lost ball; steal by J. Lamb),,35-28,,
7:49.0,,,35-28,,Turnover by J. Lamb (bad pass; steal by D. Williams)
7:45.0,Offensive charge foul by D. Williams,,35-28,,
7:45.0,Turnover by D. Williams (offensive foul),,35-28,,
7:24.0,,,35-30,2,J. Lamb makes 2-pt shot from 1 ft
7:20.0,New York full timeout,,35-30,,
7:20.0,,,35-30,,K. Walker enters the game for M. Williams
7:20.0,,,35-30,,P. Hairston enters the game for J. Lin
7:20.0,C. Anthony enters the game for L. Galloway,,35-30,,
7:20.0,R. Lopez enters the game for J. Grant,,35-30,,
7:20.0,J. Calderon enters the game for L. Thomas,,35-30,,
7:20.0,A. Afflalo enters the game for K. Seraphin,,35-30,,
7:01.0,R. Lopez misses 2-pt shot from 5 ft,,35-30,,
7:01.0,,,35-30,,Defensive rebound by Team
6:47.0,,,35-32,2,J. Lamb makes 2-pt shot at rim (assist by F. Kaminsky)
6:28.0,C. Anthony misses 2-pt shot from 6 ft (block by P. Hairston),,35-32,,
6:26.0,,,35-32,,Defensive rebound by K. Walker
6:15.0,,,35-35,3,P. Hairston makes 3-pt shot from 24 ft (assist by S. Hawes)
5:54.0,C. Anthony misses 2-pt shot from 21 ft,,35-35,,
5:52.0,Offensive rebound by Team,,35-35,,
5:52.0,K. Porzingis enters the game for D. Williams,,35-35,,
5:52.0,,,35-35,,A. Jefferson enters the game for S. Hawes
5:47.0,K. Porzingis makes 2-pt shot from 12 ft (assist by J. Calderon),2,37-35,,
5:30.0,,,37-35,,P. Hairston misses 2-pt shot from 16 ft
5:29.0,Defensive rebound by A. Afflalo,,37-35,,
5:22.0,Turnover by C. Anthony (bad pass; steal by F. Kaminsky),,37-35,,
5:18.0,,,37-35,,Shooting foul by R. Lopez (drawn by K. Walker)
5:18.0,,,37-36,1,K. Walker makes free throw 1 of 2
5:18.0,,,37-36,,N. Batum enters the game for J. Lamb
5:18.0,,,37-37,1,K. Walker makes free throw 2 of 2
5:00.0,A. Afflalo misses 3-pt shot from 24 ft,,37-37,,
4:59.0,,,37-37,,Defensive rebound by F. Kaminsky
4:48.0,,,37-37,,K. Walker misses 2-pt shot from 1 ft (block by R. Lopez)
4:48.0,Defensive rebound by Team,,37-37,,
4:32.0,C. Anthony makes 2-pt shot from 1 ft,2,39-37,,
4:20.0,,,39-37,,F. Kaminsky misses 3-pt shot from 25 ft
4:19.0,Defensive rebound by R. Lopez,,39-37,,
4:08.0,J. Calderon makes 2-pt shot from 17 ft,2,41-37,,
3:52.0,,,41-39,2,N. Batum makes 2-pt shot from 17 ft (assist by P. Hairston)
3:35.0,C. Anthony makes 2-pt shot from 11 ft (assist by J. Calderon),2,43-39,,
3:23.0,,,43-39,,Shooting foul by A. Afflalo (drawn by N. Batum)
3:23.0,,,43-39,,N. Batum misses free throw 1 of 2
3:23.0,,,43-39,,Offensive rebound by Team
3:23.0,,,43-40,1,N. Batum makes free throw 2 of 2
3:11.0,J. Calderon makes 2-pt shot from 17 ft (assist by R. Lopez),2,45-40,,
3:01.0,,,45-40,,Shooting foul by A. Afflalo (drawn by N. Batum)
3:01.0,,,45-40,,N. Batum misses free throw 1 of 3
3:01.0,,,45-40,,Offensive rebound by Team
3:01.0,,,45-41,1,N. Batum makes free throw 2 of 3
3:01.0,,,45-41,,N. Batum misses free throw 3 of 3
3:00.0,Defensive rebound by K. Porzingis,,45-41,,
2:41.0,K. Porzingis misses 2-pt shot from 15 ft,,45-41,,
2:40.0,,,45-41,,Defensive rebound by K. Walker
2:33.0,,,45-41,,K. Walker misses 2-pt shot from 14 ft
2:32.0,Defensive rebound by K. Porzingis,,45-41,,
2:23.0,C. Anthony misses 2-pt shot from 15 ft,,45-41,,
2:21.0,,,45-41,,Defensive rebound by F. Kaminsky
2:11.0,,,45-41,,Shooting foul by J. Calderon (drawn by K. Walker)
2:11.0,Official timeout,,45-41,,
2:11.0,,,45-42,1,K. Walker makes free throw 1 of 2
2:11.0,,,45-43,1,K. Walker makes free throw 2 of 2
1:56.0,J. Calderon misses 3-pt shot from 23 ft,,45-43,,
1:53.0,,,45-43,,Defensive rebound by P. Hairston
1:50.0,,,45-43,,P. Hairston misses 2-pt shot from 2 ft
1:48.0,Defensive rebound by K. Porzingis,,45-43,,
1:46.0,Turnover by K. Porzingis (bad pass; steal by F. Kaminsky),,45-43,,
1:41.0,,,45-45,2,F. Kaminsky makes 2-pt shot from 1 ft
1:32.0,Turnover by R. Lopez (bad pass; steal by F. Kaminsky),,45-45,,
1:27.0,,,45-47,2,N. Batum makes 2-pt shot from 2 ft (assist by K. Walker)
1:13.0,C. Anthony makes 2-pt shot from 13 ft,2,47-47,,
0:54.0,,,47-49,2,A. Jefferson makes 2-pt shot from 15 ft
0:44.0,Turnover by J. Calderon (bad pass),,47-49,,
0:29.0,,,47-49,,A. Jefferson misses 2-pt shot from 8 ft
0:28.0,Defensive rebound by K. Porzingis,,47-49,,
0:23.0,New York full timeout,,47-49,,
0:23.0,,,47-49,,M. Williams enters the game for A. Jefferson
0:23.0,,,47-49,,C. Zeller enters the game for F. Kaminsky
0:10.0,C. Anthony misses 2-pt shot from 1 ft,,47-49,,
0:09.0,Offensive rebound by C. Anthony,,47-49,,
0:09.0,C. Anthony misses 2-pt shot from 1 ft,,47-49,,
0:09.0,,,47-49,,Defensive rebound by Team
0:09.0,K. O'Quinn enters the game for R. Lopez,,47-49,,
0:09.0,L. Thomas enters the game for A. Afflalo,,47-49,,
0:01.0,,,47-49,,K. Walker misses 2-pt shot from 13 ft
0:01.0,Defensive rebound by Team,,47-49,,
0:00.0,L. Thomas misses 3-pt shot from 50 ft,,47-49,,
0:00.0,Offensive rebound by Team,,47-49,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:43.0,C. Anthony makes 3-pt shot from 25 ft (assist by A. Afflalo),3,50-49,,
11:28.0,,,50-49,,A. Jefferson misses 2-pt shot from 17 ft
11:27.0,Defensive rebound by R. Lopez,,50-49,,
11:17.0,C. Anthony makes 2-pt shot from 18 ft,2,52-49,,
11:00.0,,,52-49,,K. Walker misses 3-pt shot from 25 ft
10:59.0,Defensive rebound by K. Porzingis,,52-49,,
10:49.0,C. Anthony misses 2-pt shot from 17 ft,,52-49,,
10:48.0,Offensive rebound by K. Porzingis,,52-49,,
10:41.0,,,52-49,,Personal foul by P. Hairston (drawn by C. Anthony)
10:28.0,A. Afflalo misses 3-pt shot from 25 ft,,52-49,,
10:27.0,,,52-49,,Defensive rebound by P. Hairston
10:14.0,,,52-49,,P. Hairston misses 3-pt shot from 25 ft
10:12.0,Defensive rebound by R. Lopez,,52-49,,
9:59.0,C. Anthony makes 2-pt shot from 15 ft,2,54-49,,
9:41.0,,,54-51,2,K. Walker makes 2-pt shot from 1 ft
9:14.0,C. Anthony makes 3-pt shot from 24 ft,3,57-51,,
9:14.0,,,57-51,,Charlotte full timeout
8:56.0,,,57-54,3,N. Batum makes 3-pt shot from 24 ft
8:46.0,,,57-54,,Personal foul by P. Hairston (drawn by C. Anthony)
8:40.0,Turnover by K. Porzingis (lost ball; steal by M. Williams),,57-54,,
8:34.0,,,57-56,2,N. Batum makes 2-pt shot at rim
8:14.0,J. Calderon makes 2-pt shot from 18 ft (assist by C. Anthony),2,59-56,,
7:55.0,,,59-56,,A. Jefferson misses 2-pt shot from 8 ft
7:55.0,Defensive rebound by K. Porzingis,,59-56,,
7:55.0,,,59-56,,Personal foul by A. Jefferson (drawn by K. Porzingis)
7:38.0,C. Anthony misses 2-pt shot from 18 ft,,59-56,,
7:37.0,,,59-56,,Defensive rebound by A. Jefferson
7:24.0,,,59-56,,K. Walker misses 2-pt shot from 2 ft (block by K. Porzingis)
7:22.0,Defensive rebound by C. Anthony,,59-56,,
7:14.0,Turnover by J. Calderon (bad pass; steal by N. Batum),,59-56,,
7:09.0,,,59-58,2,N. Batum makes 2-pt shot from 1 ft
6:51.0,Turnover by R. Lopez (bad pass; steal by K. Walker),,59-58,,
6:40.0,,,59-58,,Turnover by N. Batum (bad pass; steal by R. Lopez)
6:34.0,A. Afflalo makes 2-pt shot at rim (assist by J. Calderon),2,61-58,,
6:13.0,,,61-58,,M. Williams misses 3-pt shot from 25 ft
6:11.0,Defensive rebound by R. Lopez,,61-58,,
6:04.0,J. Calderon makes 2-pt shot from 19 ft,2,63-58,,
5:38.0,,,63-58,,K. Walker misses 2-pt shot from 1 ft
5:37.0,,,63-58,,Offensive rebound by A. Jefferson
5:34.0,,,63-58,,A. Jefferson misses 2-pt shot from 1 ft
5:34.0,,,63-58,,Offensive rebound by Team
5:34.0,,,63-58,,C. Zeller enters the game for M. Williams
5:34.0,L. Galloway enters the game for A. Afflalo,,63-58,,
5:30.0,,,63-58,,N. Batum misses 2-pt shot from 2 ft
5:29.0,Defensive rebound by K. Porzingis,,63-58,,
5:05.0,C. Anthony makes 2-pt shot from 16 ft,2,65-58,,
4:48.0,,,65-58,,N. Batum misses 2-pt shot from 18 ft
4:46.0,,,65-58,,Offensive rebound by N. Batum
4:36.0,,,65-58,,C. Zeller misses 2-pt shot from 2 ft (block by K. Porzingis)
4:34.0,Defensive rebound by C. Anthony,,65-58,,
4:23.0,J. Calderon makes 3-pt shot from 23 ft (assist by C. Anthony),3,68-58,,
3:57.0,,,68-61,3,K. Walker makes 3-pt shot from 25 ft (assist by A. Jefferson)
3:36.0,C. Anthony makes 2-pt shot from 11 ft,2,70-61,,
3:23.0,,,70-63,2,N. Batum makes 2-pt shot from 10 ft
3:22.0,New York full timeout,,70-63,,
3:22.0,,,70-63,,J. Lamb enters the game for P. Hairston
3:22.0,,,70-63,,M. Williams enters the game for A. Jefferson
3:22.0,,,70-63,,S. Hawes enters the game for N. Batum
3:22.0,L. Amundson enters the game for K. Porzingis,,70-63,,
3:22.0,K. O'Quinn enters the game for R. Lopez,,70-63,,
3:22.0,J. Grant enters the game for J. Calderon,,70-63,,
3:00.0,Shooting foul by M. Williams (drawn by C. Anthony),,70-63,,
3:00.0,C. Anthony misses free throw 1 of 2,,70-63,,
3:00.0,Offensive rebound by Team,,70-63,,
3:00.0,C. Anthony makes free throw 2 of 2,1,71-63,,
2:45.0,Personal foul by L. Amundson,,71-63,,
2:45.0,L. Thomas enters the game for C. Anthony,,71-63,,
2:38.0,,,71-63,,S. Hawes misses 3-pt shot from 25 ft
2:36.0,,,71-63,,Offensive rebound by M. Williams
2:21.0,,,71-63,,J. Lamb misses 2-pt shot from 15 ft
2:21.0,,,71-63,,Offensive rebound by Team
2:21.0,,,71-63,,J. Lin enters the game for K. Walker
2:17.0,,,71-65,2,J. Lamb makes 2-pt shot from 1 ft (assist by M. Williams)
1:57.0,K. O'Quinn makes 2-pt shot from 12 ft,2,73-65,,
1:46.0,,,73-65,,S. Hawes misses 3-pt shot from 25 ft
1:45.0,Defensive rebound by L. Amundson,,73-65,,
1:40.0,Shooting foul by S. Hawes (drawn by K. O'Quinn),,73-65,,
1:40.0,K. O'Quinn makes free throw 1 of 2,1,74-65,,
1:40.0,K. O'Quinn makes free throw 2 of 2,1,75-65,,
1:26.0,,,75-65,,Turnover by J. Lin (lost ball; steal by L. Amundson)
1:16.0,J. Grant makes 2-pt shot from 8 ft,2,77-65,,
1:15.0,Personal foul by J. Grant (drawn by J. Lin),,77-65,,
1:01.0,,,77-68,3,J. Lin makes 3-pt shot from 25 ft (assist by S. Hawes)
0:49.0,Turnover by J. Grant (bad pass; steal by J. Lamb),,77-68,,
0:46.0,,,77-68,,Shooting foul by L. Galloway (drawn by M. Williams)
0:46.0,,,77-69,1,M. Williams makes free throw 1 of 2
0:46.0,,,77-69,,M. Williams misses free throw 2 of 2
0:45.0,Defensive rebound by L. Amundson,,77-69,,
0:24.0,L. Amundson makes 2-pt shot from 1 ft (assist by K. O'Quinn),2,79-69,,
0:01.0,,,79-69,,J. Lin misses 2-pt shot from 19 ft
0:00.0,,,79-69,,Offensive rebound by C. Zeller
0:00.0,,,79-69,,C. Zeller misses 2-pt shot at rim
0:00.0,,,79-69,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:49.0,,,79-69,,Shooting foul by L. Amundson (drawn by C. Zeller)
11:49.0,,,79-69,,C. Zeller misses free throw 1 of 2
11:49.0,,,79-69,,Offensive rebound by Team
11:49.0,,,79-70,1,C. Zeller makes free throw 2 of 2
11:35.0,Turnover by J. Grant (bad pass; steal by J. Lin),,79-70,,
11:34.0,Personal foul by L. Amundson,,79-70,,
11:24.0,,,79-73,3,J. Lamb makes 3-pt shot from 24 ft (assist by S. Hawes)
11:05.0,L. Galloway misses 2-pt shot from 22 ft,,79-73,,
11:04.0,,,79-73,,Defensive rebound by Team
10:49.0,,,79-73,,N. Batum misses 3-pt shot from 25 ft
10:48.0,Defensive rebound by K. O'Quinn,,79-73,,
10:23.0,J. Grant misses 3-pt shot from 27 ft,,79-73,,
10:22.0,,,79-73,,Defensive rebound by S. Hawes
10:14.0,,,79-73,,N. Batum misses 2-pt shot from 5 ft
10:13.0,,,79-73,,Offensive rebound by C. Zeller
10:10.0,,,79-75,2,C. Zeller makes 2-pt shot at rim (assist by N. Batum)
10:10.0,,,79-75,,Shooting foul by J. Grant (drawn by C. Zeller)
10:10.0,K. Porzingis enters the game for K. O'Quinn,,79-75,,
10:10.0,,,79-76,1,C. Zeller makes free throw 1 of 1
9:49.0,L. Amundson makes 2-pt shot at rim (assist by J. Grant),2,81-76,,
9:49.0,Shooting foul by C. Zeller (drawn by L. Amundson),,81-76,,
9:49.0,L. Amundson makes free throw 1 of 1,1,82-76,,
9:38.0,Personal foul by L. Amundson,,82-76,,
9:34.0,Personal foul by J. Grant (drawn by J. Lin),,82-76,,
9:34.0,,,82-77,1,J. Lin makes free throw 1 of 2
9:34.0,,,82-78,1,J. Lin makes free throw 2 of 2
9:22.0,L. Galloway misses 2-pt shot from 22 ft,,82-78,,
9:21.0,,,82-78,,Defensive rebound by J. Lamb
9:13.0,,,82-78,,J. Lamb misses 3-pt shot from 25 ft
9:12.0,Defensive rebound by K. Porzingis,,82-78,,
8:55.0,L. Thomas misses 3-pt shot from 23 ft,,82-78,,
8:52.0,,,82-78,,Defensive rebound by J. Lin
8:44.0,Violation by L. Amundson (def goaltending),,82-78,,
8:44.0,,,82-80,2,J. Lamb makes 2-pt shot from 1 ft (assist by C. Zeller)
8:28.0,K. Porzingis misses 3-pt shot from 26 ft,,82-80,,
8:26.0,,,82-80,,Defensive rebound by J. Lamb
8:14.0,,,82-82,2,J. Lin makes 2-pt shot from 15 ft
8:13.0,New York full timeout,,82-82,,
8:13.0,A. Afflalo enters the game for L. Galloway,,82-82,,
8:13.0,C. Anthony enters the game for L. Thomas,,82-82,,
7:52.0,Turnover by J. Grant (bad pass; steal by J. Lin),,82-82,,
7:30.0,,,82-84,2,N. Batum makes 2-pt shot from 10 ft (assist by S. Hawes)
7:15.0,J. Grant makes 2-pt shot from 15 ft,2,84-84,,
7:01.0,,,84-84,,J. Lin misses 2-pt shot from 19 ft
6:59.0,Defensive rebound by A. Afflalo,,84-84,,
6:52.0,A. Afflalo misses 2-pt shot from 15 ft,,84-84,,
6:50.0,,,84-84,,Defensive rebound by J. Lamb
6:42.0,Personal foul by C. Anthony (drawn by C. Zeller),,84-84,,
6:42.0,,,84-84,,C. Zeller misses free throw 1 of 2
6:42.0,,,84-84,,Offensive rebound by Team
6:42.0,J. Calderon enters the game for J. Grant,,84-84,,
6:42.0,R. Lopez enters the game for L. Amundson,,84-84,,
6:42.0,,,84-85,1,C. Zeller makes free throw 2 of 2
6:23.0,C. Anthony makes 2-pt shot from 16 ft,2,86-85,,
6:10.0,,,86-85,,N. Batum misses 3-pt shot from 26 ft
6:08.0,Defensive rebound by K. Porzingis,,86-85,,
5:59.0,Offensive foul by C. Anthony,,86-85,,
5:59.0,Turnover by C. Anthony (offensive foul),,86-85,,
5:59.0,Official timeout,,86-85,,
5:59.0,,,86-85,,M. Williams enters the game for S. Hawes
5:48.0,,,86-85,,J. Lamb misses 3-pt shot from 25 ft
5:47.0,Defensive rebound by C. Anthony,,86-85,,
5:31.0,K. Porzingis misses 2-pt shot from 13 ft,,86-85,,
5:30.0,,,86-85,,Defensive rebound by J. Lin
5:09.0,,,86-87,2,M. Williams makes 2-pt shot from 2 ft (assist by J. Lin)
4:54.0,J. Calderon misses 3-pt shot from 25 ft,,86-87,,
4:53.0,Offensive rebound by Team,,86-87,,
4:32.0,K. Porzingis misses 2-pt shot from 7 ft,,86-87,,
4:30.0,,,86-87,,Defensive rebound by M. Williams
4:24.0,,,86-89,2,N. Batum makes 2-pt shot from 1 ft (assist by J. Lin)
4:01.0,A. Afflalo misses 2-pt shot from 21 ft,,86-89,,
3:58.0,,,86-89,,Defensive rebound by N. Batum
3:41.0,,,86-89,,M. Williams misses 2-pt shot from 2 ft
3:40.0,Defensive rebound by R. Lopez,,86-89,,
3:17.0,C. Anthony makes 3-pt shot from 24 ft (assist by J. Calderon),3,89-89,,
3:01.0,,,89-91,2,J. Lin makes 2-pt shot from 1 ft
2:33.0,K. Porzingis misses 2-pt shot from 11 ft,,89-91,,
2:30.0,Offensive rebound by A. Afflalo,,89-91,,
2:30.0,A. Afflalo misses 2-pt shot from 1 ft (block by M. Williams),,89-91,,
2:28.0,Offensive rebound by R. Lopez,,89-91,,
2:25.0,R. Lopez misses 2-pt shot from 1 ft (block by M. Williams),,89-91,,
2:22.0,,,89-91,,Defensive rebound by J. Lamb
2:12.0,,,89-91,,N. Batum misses 2-pt shot from 12 ft
2:11.0,Defensive rebound by A. Afflalo,,89-91,,
1:55.0,C. Anthony misses 3-pt shot from 26 ft,,89-91,,
1:51.0,Offensive rebound by A. Afflalo,,89-91,,
1:51.0,A. Afflalo makes 2-pt shot from 1 ft,2,91-91,,
1:27.0,,,91-93,2,J. Lin makes 2-pt shot from 13 ft
1:27.0,New York full timeout,,91-93,,
1:27.0,J. Calderon enters the game for K. Porzingis,,91-93,,
