time,Minnesota,pts.away,score,pts.home,Washington
6:35.0,,,11-9,,O. Porter misses 2-pt shot from 20 ft
6:34.0,,,11-9,,Offensive rebound by M. Gortat
6:32.0,,,11-11,2,M. Gortat makes 2-pt shot at rim
6:16.0,Z. LaVine makes 2-pt shot from 19 ft (assist by R. Rubio),2,13-11,,
6:02.0,Def 3 sec tech foul by K. Towns,,13-11,,
6:02.0,,,13-12,1,B. Beal makes technical free throw
5:53.0,,,13-12,,J. Wall misses 2-pt shot from 17 ft
5:52.0,Defensive rebound by Team,,13-12,,
5:51.0,,,13-12,,Washington full timeout
5:37.0,A. Wiggins misses 3-pt shot from 25 ft,,13-12,,
5:36.0,,,13-12,,Defensive rebound by M. Morris
5:21.0,,,13-12,,Turnover by M. Morris (lost ball; steal by Z. LaVine)
5:07.0,G. Dieng makes 2-pt shot from 18 ft (assist by K. Towns),2,15-12,,
4:53.0,,,15-12,,B. Beal misses 2-pt shot from 18 ft
4:51.0,Defensive rebound by K. Towns,,15-12,,
4:31.0,K. Towns makes 2-pt shot from 21 ft (assist by Z. LaVine),2,17-12,,
4:14.0,,,17-12,,Shooting foul by K. Towns (drawn by M. Morris)
4:14.0,,,17-13,1,M. Morris makes free throw 1 of 2
4:14.0,,,17-13,,M. Thornton enters the game for B. Beal
4:14.0,,,17-14,1,M. Morris makes free throw 2 of 2
3:54.0,K. Towns misses 2-pt shot from 15 ft,,17-14,,
3:53.0,,,17-14,,Defensive rebound by M. Morris
3:43.0,,,17-17,3,M. Morris makes 3-pt shot from 25 ft (assist by J. Wall)
3:26.0,G. Dieng makes 2-pt shot from 1 ft (assist by K. Towns),2,19-17,,
3:08.0,,,19-17,,O. Porter misses 3-pt shot from 23 ft
3:07.0,Defensive rebound by G. Dieng,,19-17,,
3:01.0,Z. LaVine makes 2-pt shot from 19 ft (assist by G. Dieng),2,21-17,,
2:48.0,,,21-17,,M. Thornton misses 3-pt shot from 26 ft
2:47.0,,,21-17,,Offensive rebound by J. Wall
2:41.0,,,21-17,,J. Wall misses 2-pt shot from 21 ft
2:40.0,Defensive rebound by K. Towns,,21-17,,
2:34.0,Z. LaVine misses 2-pt shot from 13 ft,,21-17,,
2:33.0,,,21-17,,Defensive rebound by J. Wall
2:28.0,,,21-17,,M. Morris misses 2-pt shot at rim
2:28.0,,,21-17,,Offensive rebound by O. Porter
2:27.0,,,21-19,2,O. Porter makes 2-pt shot from 1 ft
2:16.0,Minnesota full timeout,,21-19,,
2:16.0,,,21-19,,N. Hilario enters the game for M. Gortat
2:16.0,T. Jones enters the game for A. Wiggins,,21-19,,
2:16.0,S. Muhammad enters the game for G. Dieng,,21-19,,
2:16.0,N. Bjelica enters the game for R. Rubio,,21-19,,
2:16.0,,,21-19,,J. Dudley enters the game for M. Morris
2:06.0,Turnover by K. Towns (lost ball),,21-19,,
1:47.0,,,21-21,2,J. Dudley makes 2-pt shot from 16 ft (assist by N. Hilario)
1:34.0,T. Jones makes 2-pt shot at rim,2,23-21,,
1:19.0,,,23-24,3,J. Dudley makes 3-pt shot from 23 ft (assist by M. Thornton)
1:05.0,T. Jones makes 2-pt shot from 18 ft,2,25-24,,
0:52.0,,,25-27,3,J. Dudley makes 3-pt shot from 25 ft (assist by J. Wall)
0:39.0,K. Towns misses 2-pt shot from 1 ft,,25-27,,
0:38.0,Offensive rebound by K. Towns,,25-27,,
0:36.0,K. Towns makes 2-pt shot from 3 ft,2,27-27,,
0:25.0,T. Prince enters the game for Z. LaVine,,27-27,,
0:25.0,G. Smith enters the game for K. Towns,,27-27,,
0:18.0,,,27-27,,Shooting foul by G. Smith (drawn by J. Wall)
0:18.0,,,27-28,1,J. Wall makes free throw 1 of 2
0:18.0,,,27-28,,G. Temple enters the game for O. Porter
0:18.0,,,27-29,1,J. Wall makes free throw 2 of 2
0:07.0,,,27-29,,Personal take foul by G. Temple
0:02.0,Turnover by S. Muhammad (lost ball; steal by M. Thornton),,27-29,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:45.0,,,27-29,,Shooting foul by T. Jones (drawn by M. Thornton)
11:45.0,,,27-29,,M. Thornton misses free throw 1 of 2
11:45.0,,,27-29,,Offensive rebound by Team
11:45.0,,,27-30,1,M. Thornton makes free throw 2 of 2
11:22.0,N. Bjelica misses 3-pt shot from 25 ft,,27-30,,
11:20.0,,,27-30,,Defensive rebound by Team
11:20.0,Loose ball foul by G. Smith,,27-30,,
11:00.0,,,27-32,2,N. Hilario makes 2-pt shot from 17 ft
10:48.0,Shooting foul by R. Sessions (drawn by T. Jones),,27-32,,
10:48.0,T. Jones makes free throw 1 of 2,1,28-32,,
10:48.0,T. Jones makes free throw 2 of 2,1,29-32,,
10:33.0,,,29-32,,R. Sessions misses 2-pt shot from 7 ft
10:32.0,Defensive rebound by N. Bjelica,,29-32,,
10:23.0,G. Smith misses 2-pt shot from 2 ft,,29-32,,
10:22.0,,,29-32,,Defensive rebound by G. Temple
10:14.0,,,29-32,,R. Sessions misses 2-pt shot at rim
10:13.0,Defensive rebound by N. Bjelica,,29-32,,
10:09.0,S. Muhammad makes 2-pt shot from 2 ft (assist by T. Jones),2,31-32,,
9:58.0,,,31-34,2,N. Hilario makes 2-pt shot at rim (assist by R. Sessions)
9:45.0,N. Bjelica makes 2-pt shot from 5 ft (assist by T. Jones),2,33-34,,
9:33.0,,,33-34,,Turnover by R. Sessions (lost ball; steal by T. Jones)
9:33.0,,,33-34,,Personal take foul by N. Hilario
9:33.0,,,33-34,,B. Beal enters the game for M. Thornton
9:25.0,G. Smith makes 2-pt shot at rim (assist by T. Jones),2,35-34,,
9:06.0,,,35-36,2,R. Sessions makes 2-pt shot at rim (assist by N. Hilario)
8:53.0,G. Smith makes 2-pt shot at rim (assist by T. Jones),2,37-36,,
8:53.0,Shooting foul by B. Beal (drawn by G. Smith),,37-36,,
8:53.0,Official timeout,,37-36,,
8:53.0,G. Smith makes free throw 1 of 1,1,38-36,,
8:40.0,,,38-38,2,B. Beal makes 2-pt shot at rim
8:22.0,N. Bjelica makes 2-pt shot from 1 ft (assist by S. Muhammad),2,40-38,,
8:04.0,,,40-38,,G. Temple misses 3-pt shot from 26 ft
8:03.0,Defensive rebound by T. Prince,,40-38,,
7:59.0,T. Jones makes 2-pt shot at rim (assist by T. Prince),2,42-38,,
7:51.0,,,42-38,,R. Sessions misses 2-pt shot from 2 ft
7:50.0,Defensive rebound by N. Bjelica,,42-38,,
7:43.0,S. Muhammad misses 3-pt shot from 25 ft,,42-38,,
7:42.0,,,42-38,,Defensive rebound by Team
7:40.0,,,42-38,,J. Wall enters the game for R. Sessions
7:19.0,,,42-38,,Turnover by J. Wall (lost ball; steal by N. Bjelica)
7:17.0,,,42-38,,Personal take foul by J. Wall
7:17.0,,,42-38,,O. Porter enters the game for G. Temple
7:17.0,R. Rubio enters the game for T. Jones,,42-38,,
7:17.0,K. Towns enters the game for N. Bjelica,,42-38,,
7:10.0,T. Prince makes 2-pt shot from 6 ft,2,44-38,,
6:53.0,,,44-40,2,B. Beal makes 2-pt shot from 1 ft
6:53.0,,,44-40,,Shooting foul by S. Muhammad (drawn by B. Beal)
6:53.0,A. Wiggins enters the game for S. Muhammad,,44-40,,
6:53.0,,,44-41,1,B. Beal makes free throw 1 of 1
6:33.0,Turnover by K. Towns (lost ball),,44-41,,
6:21.0,,,44-41,,N. Hilario misses 2-pt shot from 2 ft
6:20.0,Defensive rebound by T. Prince,,44-41,,
6:05.0,K. Towns misses 2-pt shot from 5 ft,,44-41,,
6:04.0,Offensive rebound by G. Smith,,44-41,,
5:51.0,A. Wiggins misses 2-pt shot from 18 ft,,44-41,,
5:50.0,,,44-41,,Defensive rebound by N. Hilario
5:34.0,,,44-43,2,B. Beal makes 2-pt shot from 13 ft (assist by N. Hilario)
5:07.0,A. Wiggins misses 3-pt shot from 22 ft,,44-43,,
5:06.0,Offensive rebound by G. Smith,,44-43,,
5:02.0,R. Rubio misses 3-pt shot from 24 ft,,44-43,,
5:01.0,Offensive rebound by A. Wiggins,,44-43,,
4:57.0,,,44-43,,Personal foul by J. Wall
4:57.0,,,44-43,,Washington full timeout
4:57.0,,,44-43,,M. Gortat enters the game for N. Hilario
4:57.0,Z. LaVine enters the game for T. Prince,,44-43,,
4:57.0,G. Dieng enters the game for G. Smith,,44-43,,
4:57.0,A. Wiggins makes free throw 1 of 2,1,45-43,,
4:57.0,A. Wiggins makes free throw 2 of 2,1,46-43,,
4:46.0,,,46-45,2,B. Beal makes 2-pt shot from 1 ft (assist by M. Gortat)
4:31.0,A. Wiggins misses 2-pt shot from 17 ft,,46-45,,
4:30.0,,,46-45,,Defensive rebound by O. Porter
4:14.0,,,46-45,,M. Gortat misses 2-pt shot from 14 ft
4:12.0,Defensive rebound by A. Wiggins,,46-45,,
3:56.0,R. Rubio makes 2-pt shot from 11 ft (assist by G. Dieng),2,48-45,,
3:30.0,,,48-47,2,M. Gortat makes 2-pt shot from 1 ft (assist by J. Wall)
3:22.0,Shooting foul by J. Dudley (drawn by R. Rubio),,48-47,,
3:22.0,R. Rubio makes free throw 1 of 2,1,49-47,,
3:22.0,R. Rubio makes free throw 2 of 2,1,50-47,,
3:10.0,,,50-47,,Turnover by J. Wall (lost ball; steal by Z. LaVine)
3:06.0,Z. LaVine makes 2-pt shot at rim,2,52-47,,
2:50.0,,,52-47,,J. Wall misses 3-pt shot from 26 ft
2:49.0,Defensive rebound by G. Dieng,,52-47,,
2:45.0,Z. LaVine makes 2-pt shot at rim (assist by G. Dieng),2,54-47,,
2:38.0,,,54-47,,Washington full timeout
2:38.0,Minnesota full timeout,,54-47,,
2:31.0,,,54-50,3,B. Beal makes 3-pt shot from 26 ft (assist by J. Dudley)
2:17.0,Z. LaVine makes 3-pt shot from 23 ft (assist by R. Rubio),3,57-50,,
2:06.0,,,57-53,3,B. Beal makes 3-pt shot from 25 ft (assist by J. Wall)
1:42.0,Z. LaVine makes 3-pt shot from 26 ft,3,60-53,,
1:20.0,,,60-55,2,J. Wall makes 2-pt shot from 1 ft (assist by J. Dudley)
1:20.0,Shooting block foul by G. Dieng (drawn by J. Wall),,60-55,,
1:20.0,,,60-56,1,J. Wall makes free throw 1 of 1
1:07.0,Z. LaVine makes 2-pt shot from 20 ft (assist by K. Towns),2,62-56,,
0:59.0,,,62-56,,Shooting foul by G. Dieng (drawn by M. Gortat)
0:59.0,,,62-56,,M. Gortat misses free throw 1 of 2
0:59.0,,,62-56,,Offensive rebound by Team
0:59.0,G. Smith enters the game for G. Dieng,,62-56,,
0:59.0,,,62-57,1,M. Gortat makes free throw 2 of 2
0:44.0,Z. LaVine misses 2-pt shot from 19 ft,,62-57,,
0:43.0,,,62-57,,Defensive rebound by O. Porter
0:34.0,,,62-60,3,O. Porter makes 3-pt shot from 28 ft (assist by J. Dudley)
0:25.0,K. Towns misses 2-pt shot from 19 ft,,62-60,,
0:24.0,,,62-60,,Defensive rebound by Team
0:01.0,,,62-62,2,J. Wall makes 2-pt shot from 20 ft (assist by J. Dudley)
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:44.0,,,62-62,,Turnover by M. Gortat (lost ball; steal by K. Towns)
11:27.0,,,62-62,,Personal foul by N. Hilario
11:15.0,A. Wiggins makes 2-pt shot at rim (assist by Z. LaVine),2,64-62,,
10:52.0,,,64-64,2,M. Gortat makes 2-pt shot at rim (assist by J. Wall)
10:35.0,G. Dieng makes 2-pt shot at rim (assist by K. Towns),2,66-64,,
10:14.0,,,66-66,2,N. Hilario makes 2-pt shot from 1 ft (assist by O. Porter)
9:54.0,A. Wiggins misses 2-pt shot from 11 ft,,66-66,,
9:53.0,,,66-66,,Defensive rebound by J. Wall
9:44.0,,,66-66,,M. Gortat misses 2-pt shot from 11 ft
9:43.0,,,66-66,,Offensive rebound by O. Porter
9:32.0,,,66-68,2,M. Gortat makes 2-pt shot at rim (assist by N. Hilario)
9:14.0,K. Towns misses 2-pt shot from 1 ft,,66-68,,
9:13.0,,,66-68,,Defensive rebound by O. Porter
9:05.0,,,66-68,,N. Hilario misses 2-pt shot from 2 ft (block by G. Dieng)
9:04.0,Defensive rebound by G. Dieng,,66-68,,
8:59.0,A. Wiggins makes 2-pt shot from 1 ft (assist by G. Dieng),2,68-68,,
8:42.0,,,68-68,,O. Porter misses 2-pt shot from 19 ft
8:41.0,Defensive rebound by K. Towns,,68-68,,
8:32.0,Shooting foul by O. Porter (drawn by A. Wiggins),,68-68,,
8:32.0,A. Wiggins makes free throw 1 of 2,1,69-68,,
8:32.0,A. Wiggins makes free throw 2 of 2,1,70-68,,
8:16.0,,,70-68,,M. Gortat misses 2-pt shot from 3 ft
8:15.0,Defensive rebound by G. Dieng,,70-68,,
8:10.0,Turnover by R. Rubio (lost ball; steal by J. Wall),,70-68,,
7:59.0,,,70-68,,Turnover by M. Gortat (lost ball; steal by A. Wiggins)
7:36.0,K. Towns misses 2-pt shot from 15 ft (block by N. Hilario),,70-68,,
7:34.0,,,70-68,,Defensive rebound by B. Beal
7:25.0,,,70-70,2,J. Wall makes 2-pt shot from 16 ft
7:24.0,Minnesota full timeout,,70-70,,
7:11.0,R. Rubio misses 3-pt shot from 26 ft,,70-70,,
7:10.0,,,70-70,,Defensive rebound by O. Porter
6:58.0,,,70-72,2,N. Hilario makes 2-pt shot from 18 ft (assist by J. Wall)
6:41.0,Z. LaVine makes 3-pt shot from 29 ft (assist by K. Towns),3,73-72,,
6:23.0,,,73-72,,B. Beal misses 2-pt shot from 17 ft
6:22.0,Defensive rebound by A. Wiggins,,73-72,,
6:15.0,,,73-72,,Personal foul by O. Porter
6:05.0,Shooting foul by J. Wall (drawn by R. Rubio),,73-72,,
6:05.0,R. Rubio makes free throw 1 of 2,1,74-72,,
6:05.0,R. Rubio makes free throw 2 of 2,1,75-72,,
5:49.0,,,75-72,,O. Porter misses 2-pt shot from 15 ft
5:47.0,Defensive rebound by A. Wiggins,,75-72,,
5:36.0,K. Towns makes 2-pt shot from 1 ft (assist by A. Wiggins),2,77-72,,
5:20.0,,,77-72,,O. Porter misses 2-pt shot from 1 ft (block by G. Dieng)
5:19.0,Defensive rebound by Team,,77-72,,
4:57.0,G. Dieng misses 3-pt shot from 26 ft,,77-72,,
4:56.0,,,77-72,,Defensive rebound by N. Hilario
4:52.0,Personal foul by R. Rubio,,77-72,,
4:52.0,,,77-72,,J. Dudley enters the game for N. Hilario
4:42.0,,,77-72,,B. Beal misses 2-pt shot from 1 ft
4:41.0,,,77-72,,Offensive rebound by O. Porter
4:40.0,,,77-74,2,O. Porter makes 2-pt shot at rim
4:27.0,Offensive foul by A. Wiggins,,77-74,,
4:27.0,Turnover by A. Wiggins (offensive foul),,77-74,,
4:18.0,,,77-74,,J. Wall misses 2-pt shot at rim
4:17.0,Defensive rebound by K. Towns,,77-74,,
4:04.0,,,77-74,,Personal foul by O. Porter
4:04.0,K. Towns makes free throw 1 of 2,1,78-74,,
4:04.0,K. Towns makes free throw 2 of 2,1,79-74,,
3:41.0,,,79-76,2,M. Gortat makes 2-pt shot at rim (assist by J. Wall)
3:27.0,,,79-76,,M. Thornton enters the game for B. Beal
3:27.0,G. Smith enters the game for G. Dieng,,79-76,,
3:21.0,A. Wiggins misses 3-pt shot from 27 ft,,79-76,,
3:20.0,,,79-76,,Defensive rebound by M. Thornton
3:11.0,,,79-76,,J. Dudley misses 3-pt shot from 27 ft
3:10.0,,,79-76,,Offensive rebound by M. Gortat
3:09.0,,,79-76,,Shooting foul by G. Smith (drawn by M. Gortat)
3:09.0,,,79-76,,M. Gortat misses free throw 1 of 2
3:09.0,,,79-76,,Offensive rebound by Team
3:09.0,T. Jones enters the game for R. Rubio,,79-76,,
3:09.0,S. Muhammad enters the game for A. Wiggins,,79-76,,
3:09.0,,,79-76,,M. Gortat misses free throw 2 of 2
3:08.0,Defensive rebound by K. Towns,,79-76,,
2:53.0,K. Towns misses 3-pt shot from 24 ft,,79-76,,
2:52.0,,,79-76,,Defensive rebound by O. Porter
2:37.0,,,79-78,2,O. Porter makes 2-pt shot from 23 ft (assist by J. Wall)
2:23.0,K. Towns misses 2-pt shot from 19 ft,,79-78,,
2:21.0,,,79-78,,Defensive rebound by J. Dudley
2:11.0,,,79-81,3,J. Wall makes 3-pt shot from 27 ft
2:08.0,Minnesota full timeout,,79-81,,
2:08.0,,,79-81,,Washington full timeout
2:08.0,,,79-81,,G. Temple enters the game for O. Porter
2:08.0,N. Bjelica enters the game for K. Towns,,79-81,,
1:52.0,Shooting foul by G. Temple (drawn by S. Muhammad),,79-81,,
1:52.0,S. Muhammad makes free throw 1 of 2,1,80-81,,
1:52.0,T. Prince enters the game for Z. LaVine,,80-81,,
1:52.0,S. Muhammad makes free throw 2 of 2,1,81-81,,
1:40.0,,,81-83,2,J. Dudley makes 2-pt shot from 19 ft (assist by J. Wall)
1:27.0,T. Jones misses 2-pt shot from 10 ft,,81-83,,
1:26.0,,,81-83,,Defensive rebound by M. Gortat
1:21.0,,,81-86,3,G. Temple makes 3-pt shot from 26 ft (assist by J. Wall)
1:00.0,T. Prince makes 2-pt shot from 4 ft,2,83-86,,
0:49.0,,,83-86,,M. Thornton misses 3-pt shot from 26 ft
0:46.0,Defensive rebound by S. Muhammad,,83-86,,
0:38.0,S. Muhammad misses 2-pt shot from 9 ft,,83-86,,
0:37.0,,,83-86,,Defensive rebound by J. Dudley
0:33.0,,,83-89,3,J. Wall makes 3-pt shot from 26 ft (assist by J. Dudley)
0:14.0,N. Bjelica makes 2-pt shot from 4 ft (assist by T. Jones),2,85-89,,
0:08.0,Personal take foul by T. Jones,,85-89,,
0:02.0,,,85-89,,J. Wall misses 3-pt shot from 26 ft
0:00.0,Defensive rebound by S. Muhammad,,85-89,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:47.0,Turnover by T. Jones (lost ball; steal by M. Thornton),,85-89,,
11:43.0,,,85-91,2,M. Thornton makes 2-pt shot from 1 ft (assist by R. Sessions)
11:29.0,T. Prince misses 3-pt shot from 24 ft,,85-91,,
11:28.0,Offensive rebound by S. Muhammad,,85-91,,
11:27.0,,,85-91,,Personal foul by J. Dudley
11:11.0,T. Jones misses 2-pt shot from 10 ft,,85-91,,
11:10.0,,,85-91,,Defensive rebound by B. Beal
10:46.0,,,85-91,,N. Hilario misses 3-pt shot from 22 ft
10:45.0,,,85-91,,Offensive rebound by Team
10:45.0,,,85-91,,Turnover by Team (shot clock)
10:35.0,,,85-91,,Personal foul by R. Sessions
10:24.0,N. Bjelica makes 2-pt shot from 3 ft,2,87-91,,
10:05.0,,,87-93,2,N. Hilario makes 2-pt shot from 12 ft
9:41.0,T. Jones misses 3-pt shot from 27 ft,,87-93,,
9:40.0,,,87-93,,Defensive rebound by B. Beal
9:37.0,,,87-95,2,R. Sessions makes 2-pt shot at rim (assist by B. Beal)
9:24.0,Shooting foul by N. Hilario (drawn by N. Bjelica),,87-95,,
9:24.0,N. Bjelica makes free throw 1 of 2,1,88-95,,
9:24.0,K. Towns enters the game for G. Smith,,88-95,,
9:24.0,N. Bjelica makes free throw 2 of 2,1,89-95,,
9:06.0,,,89-95,,Turnover by N. Hilario (lost ball; steal by T. Jones)
9:00.0,S. Muhammad makes 2-pt shot from 1 ft (assist by T. Jones),2,91-95,,
8:37.0,,,91-95,,Shooting foul by N. Bjelica (drawn by N. Hilario)
8:37.0,Official timeout,,91-95,,
8:37.0,R. Rubio enters the game for T. Jones,,91-95,,
8:37.0,,,91-95,,G. Temple enters the game for M. Thornton
8:37.0,,,91-96,1,N. Hilario makes free throw 1 of 2
8:37.0,,,91-97,1,N. Hilario makes free throw 2 of 2
8:17.0,K. Towns misses 2-pt shot from 10 ft,,91-97,,
8:16.0,Offensive rebound by T. Prince,,91-97,,
8:12.0,Turnover by T. Prince (lost ball; steal by B. Beal),,91-97,,
8:09.0,,,91-99,2,R. Sessions makes 2-pt shot at rim (assist by B. Beal)
7:53.0,Turnover by S. Muhammad (traveling),,91-99,,
7:53.0,Z. LaVine enters the game for N. Bjelica,,91-99,,
7:53.0,A. Wiggins enters the game for S. Muhammad,,91-99,,
7:53.0,G. Dieng enters the game for T. Prince,,91-99,,
7:39.0,,,91-99,,Turnover by B. Beal (lost ball)
7:16.0,R. Rubio makes 2-pt shot from 20 ft,2,93-99,,
7:02.0,,,93-99,,Turnover by B. Beal (bad pass)
7:02.0,,,93-99,,J. Wall enters the game for R. Sessions
6:50.0,A. Wiggins misses 3-pt shot from 26 ft,,93-99,,
6:49.0,,,93-99,,Defensive rebound by J. Dudley
6:37.0,,,93-99,,J. Wall misses 2-pt shot from 18 ft
6:36.0,Defensive rebound by K. Towns,,93-99,,
6:19.0,G. Dieng misses 2-pt shot from 15 ft,,93-99,,
6:18.0,,,93-99,,Defensive rebound by N. Hilario
6:13.0,Personal take foul by R. Rubio,,93-99,,
6:13.0,,,93-99,,M. Gortat enters the game for N. Hilario
6:13.0,,,93-99,,O. Porter enters the game for B. Beal
5:59.0,,,93-99,,G. Temple misses 3-pt shot from 26 ft
5:58.0,Defensive rebound by Team,,93-99,,
5:58.0,,,93-99,,Washington full timeout
5:42.0,R. Rubio makes 2-pt shot from 18 ft,2,95-99,,
5:25.0,,,95-99,,O. Porter misses 2-pt shot at rim
5:24.0,Defensive rebound by K. Towns,,95-99,,
5:13.0,K. Towns makes 2-pt shot from 19 ft (assist by R. Rubio),2,97-99,,
4:51.0,,,97-101,2,M. Gortat makes 2-pt shot from 7 ft
4:35.0,Z. LaVine misses 3-pt shot from 24 ft,,97-101,,
4:33.0,,,97-101,,Defensive rebound by O. Porter
4:20.0,Personal foul by R. Rubio,,97-101,,
4:20.0,,,97-101,,B. Beal enters the game for G. Temple
4:11.0,,,97-104,3,J. Wall makes 3-pt shot from 26 ft (assist by B. Beal)
3:55.0,Offensive charge foul by K. Towns,,97-104,,
3:55.0,Turnover by K. Towns (offensive foul),,97-104,,
3:37.0,,,97-104,,J. Dudley misses 2-pt shot from 18 ft
3:36.0,Defensive rebound by A. Wiggins,,97-104,,
3:29.0,Shooting foul by O. Porter (drawn by A. Wiggins),,97-104,,
3:29.0,A. Wiggins makes free throw 1 of 2,1,98-104,,
3:29.0,A. Wiggins makes free throw 2 of 2,1,99-104,,
3:05.0,,,99-106,2,J. Wall makes 2-pt shot from 18 ft (assist by J. Dudley)
2:48.0,K. Towns makes 2-pt shot at rim (assist by Z. LaVine),2,101-106,,
2:23.0,,,101-108,2,J. Wall makes 2-pt shot from 5 ft
2:21.0,Minnesota full timeout,,101-108,,
2:21.0,,,101-108,,N. Hilario enters the game for J. Dudley
2:11.0,Shooting foul by M. Gortat (drawn by A. Wiggins),,101-108,,
2:11.0,A. Wiggins makes free throw 1 of 2,1,102-108,,
2:11.0,,,102-108,,J. Dudley enters the game for N. Hilario
2:11.0,A. Wiggins makes free throw 2 of 2,1,103-108,,
2:02.0,Personal foul by R. Rubio,,103-108,,
1:48.0,,,103-108,,J. Wall misses 3-pt shot from 25 ft
1:47.0,,,103-108,,Offensive rebound by M. Gortat
1:29.0,,,103-108,,J. Wall misses 2-pt shot from 17 ft
1:28.0,Defensive rebound by A. Wiggins,,103-108,,
1:18.0,R. Rubio misses 3-pt shot from 26 ft,,103-108,,
1:17.0,,,103-108,,Defensive rebound by M. Gortat
1:11.0,,,103-108,,B. Beal misses 3-pt shot from 27 ft
1:09.0,Defensive rebound by R. Rubio,,103-108,,
1:05.0,G. Dieng makes 2-pt shot at rim (assist by R. Rubio),2,105-108,,
1:05.0,Shooting foul by B. Beal (drawn by G. Dieng),,105-108,,
1:05.0,G. Dieng makes free throw 1 of 1,1,106-108,,
0:41.0,,,106-108,,Turnover by Team (shot clock)
0:41.0,Minnesota full timeout,,106-108,,
0:41.0,,,106-108,,N. Hilario enters the game for J. Dudley
0:30.0,Turnover by A. Wiggins (lost ball; steal by N. Hilario),,106-108,,
0:30.0,Loose ball foul by K. Towns,,106-108,,
0:30.0,,,106-108,,N. Hilario misses free throw 1 of 2
0:30.0,,,106-108,,Offensive rebound by Team
0:30.0,,,106-109,1,N. Hilario makes free throw 2 of 2
0:20.0,G. Dieng makes 3-pt shot from 24 ft (assist by A. Wiggins),3,109-109,,
0:20.0,,,109-109,,Washington full timeout
0:20.0,,,109-109,,J. Dudley enters the game for N. Hilario
0:20.0,T. Prince enters the game for K. Towns,,109-109,,
0:04.0,,,109-109,,J. Wall misses 2-pt shot at rim
0:03.0,,,109-109,,Offensive rebound by M. Gortat
0:01.0,,,109-109,,B. Beal misses 3-pt shot from 27 ft
0:00.0,,,109-109,,Offensive rebound by O. Porter
0:00.0,End of 4th quarter,,,,End of 4th quarter
5:00.0,Start of 1st overtime,,,,Start of 1st overtime
4:42.0,,,109-111,2,N. Hilario makes 2-pt shot from 16 ft (assist by B. Beal)
4:20.0,Turnover by K. Towns (lost ball),,109-111,,
