time,Memphis,pts.away,score,pts.home,Minnesota
5:06.0,M. Conley misses 3-pt shot from 24 ft,,16-11,,
5:05.0,,,16-11,,Defensive rebound by G. Dieng
4:56.0,,,16-11,,G. Dieng misses 2-pt shot from 16 ft
4:55.0,Defensive rebound by M. Gasol,,16-11,,
4:44.0,Z. Randolph makes 2-pt shot from 15 ft (assist by M. Conley),2,18-11,,
4:39.0,Inbound foul by M. Conley,,18-11,,
4:39.0,,,18-11,,R. Rubio misses free throw 1 of 2
4:39.0,,,18-11,,Offensive rebound by Team
4:39.0,,,18-11,,S. Muhammad enters the game for T. Prince
4:39.0,J. Green enters the game for M. Barnes,,18-11,,
4:39.0,M. Chalmers enters the game for M. Conley,,18-11,,
4:39.0,,,18-12,1,R. Rubio makes free throw 2 of 2
4:14.0,J. Green misses 3-pt shot from 23 ft,,18-12,,
4:13.0,,,18-12,,Defensive rebound by A. Wiggins
4:10.0,,,18-14,2,S. Muhammad makes 2-pt shot at rim (assist by R. Rubio)
3:53.0,Offensive foul by M. Gasol,,18-14,,
3:53.0,Turnover by M. Gasol (offensive foul),,18-14,,
3:53.0,,,18-14,,Z. LaVine enters the game for R. Rubio
3:53.0,J. Green enters the game for Z. Randolph,,18-14,,
3:33.0,,,18-14,,G. Dieng misses 2-pt shot from 18 ft
3:32.0,Defensive rebound by C. Lee,,18-14,,
3:20.0,Shooting foul by K. Towns (drawn by M. Gasol),,18-14,,
3:20.0,M. Gasol makes free throw 1 of 2,1,19-14,,
3:20.0,,,19-14,,N. Bjelica enters the game for K. Towns
3:20.0,V. Carter enters the game for C. Lee,,19-14,,
3:20.0,M. Gasol misses free throw 2 of 2,,19-14,,
3:19.0,,,19-14,,Defensive rebound by G. Dieng
3:01.0,,,19-14,,S. Muhammad misses 2-pt shot from 8 ft
2:59.0,Defensive rebound by J. Green,,19-14,,
2:43.0,Turnover by J. Green (step out of bounds),,19-14,,
2:43.0,Memphis full timeout,,19-14,,
2:25.0,,,19-14,,Turnover by G. Dieng (bad pass; steal by J. Green)
2:24.0,Turnover by J. Green (traveling),,19-14,,
2:20.0,,,19-14,,Turnover by N. Bjelica (bad pass; steal by V. Carter)
2:02.0,M. Gasol makes 2-pt shot at rim (assist by J. Green),2,21-14,,
1:47.0,,,21-14,,Z. LaVine misses 2-pt shot from 17 ft
1:46.0,Defensive rebound by M. Chalmers,,21-14,,
1:30.0,Shooting foul by G. Dieng (drawn by V. Carter),,21-14,,
1:30.0,V. Carter makes free throw 1 of 2,1,22-14,,
1:30.0,R. Hollins enters the game for M. Gasol,,22-14,,
1:30.0,,,22-14,,K. Martin enters the game for A. Wiggins
1:30.0,V. Carter makes free throw 2 of 2,1,23-14,,
1:17.0,Violation by M. Chalmers (kicked ball),,23-14,,
1:09.0,,,23-16,2,G. Dieng makes 2-pt shot at rim (assist by Z. LaVine)
0:50.0,J. Green makes 2-pt shot from 10 ft (assist by M. Chalmers),2,25-16,,
0:41.0,,,25-16,,Shooting foul by J. Green (drawn by K. Martin)
0:41.0,,,25-17,1,K. Martin makes free throw 1 of 2
0:41.0,,,25-18,1,K. Martin makes free throw 2 of 2
0:27.0,V. Carter misses 2-pt shot from 2 ft (block by G. Dieng),,25-18,,
0:26.0,,,25-18,,Defensive rebound by G. Dieng
0:20.0,,,25-18,,Shooting foul by J. Green (drawn by S. Muhammad)
0:20.0,,,25-19,1,S. Muhammad makes free throw 1 of 2
0:20.0,,,25-20,1,S. Muhammad makes free throw 2 of 2
0:04.0,J. Green misses 2-pt shot from 4 ft,,25-20,,
0:01.0,,,25-20,,Defensive rebound by S. Muhammad
0:00.0,,,25-20,,S. Muhammad misses 3-pt shot from 38 ft
0:00.0,,,25-20,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:41.0,,,25-20,,Z. LaVine misses 2-pt shot from 8 ft (block by V. Carter)
11:39.0,Defensive rebound by V. Carter,,25-20,,
11:34.0,Turnover by J. Green (bad pass; steal by Z. LaVine),,25-20,,
11:29.0,,,25-22,2,S. Muhammad makes 2-pt shot at rim (assist by Z. LaVine)
11:12.0,Offensive foul by R. Hollins,,25-22,,
11:12.0,Turnover by R. Hollins (offensive foul),,25-22,,
10:54.0,,,25-25,3,K. Martin makes 3-pt shot from 24 ft (assist by G. Dieng)
10:41.0,M. Chalmers makes 2-pt shot at rim,2,27-25,,
10:22.0,,,27-25,,Offensive foul by G. Dieng
10:22.0,,,27-25,,Turnover by G. Dieng (offensive foul)
10:22.0,M. Conley enters the game for V. Carter,,27-25,,
10:22.0,,,27-25,,N. Pekovic enters the game for G. Dieng
10:07.0,J. Green misses 2-pt shot from 16 ft,,27-25,,
10:05.0,Offensive rebound by R. Hollins,,27-25,,
9:58.0,Memphis full timeout,,27-25,,
9:51.0,M. Conley makes 2-pt shot from 18 ft,2,29-25,,
9:28.0,,,29-25,,N. Pekovic misses 2-pt shot from 4 ft
9:26.0,Defensive rebound by J. Green,,29-25,,
9:21.0,,,29-25,,Personal foul by N. Pekovic (drawn by R. Hollins)
9:21.0,M. Barnes enters the game for J. Green,,29-25,,
9:17.0,Turnover by R. Hollins (bad pass),,29-25,,
9:05.0,,,29-25,,N. Bjelica misses 3-pt shot from 26 ft
9:04.0,,,29-25,,Offensive rebound by K. Martin
9:03.0,,,29-25,,K. Martin misses 2-pt shot from 2 ft (block by M. Chalmers)
9:02.0,Defensive rebound by M. Conley,,29-25,,
8:57.0,J. Green makes 2-pt shot from 15 ft (assist by M. Conley),2,31-25,,
8:38.0,,,31-25,,N. Pekovic misses 2-pt shot from 2 ft
8:36.0,Defensive rebound by M. Barnes,,31-25,,
8:29.0,M. Conley misses 2-pt shot from 8 ft (block by Z. LaVine),,31-25,,
8:27.0,,,31-25,,Defensive rebound by Z. LaVine
8:21.0,,,31-28,3,K. Martin makes 3-pt shot from 22 ft (assist by Z. LaVine)
8:10.0,M. Chalmers misses 3-pt shot from 24 ft,,31-28,,
8:08.0,,,31-28,,Defensive rebound by S. Muhammad
7:51.0,,,31-30,2,S. Muhammad makes 2-pt shot at rim (assist by N. Bjelica)
7:51.0,,,31-30,,Shooting foul by R. Hollins (drawn by S. Muhammad)
7:51.0,Z. Randolph enters the game for R. Hollins,,31-30,,
7:51.0,,,31-31,1,S. Muhammad makes free throw 1 of 1
7:32.0,Z. Randolph misses 2-pt shot from 15 ft,,31-31,,
7:31.0,Offensive rebound by Team,,31-31,,
7:31.0,,,31-31,,Loose ball foul by N. Bjelica (drawn by M. Barnes)
7:31.0,C. Lee enters the game for M. Chalmers,,31-31,,
7:19.0,J. Green makes 2-pt shot from 4 ft,2,33-31,,
7:19.0,Shooting foul by N. Bjelica (drawn by J. Green),,33-31,,
7:19.0,J. Green makes free throw 1 of 1,1,34-31,,
7:04.0,,,34-31,,Shooting foul by Z. Randolph (drawn by Z. LaVine)
7:04.0,,,34-32,1,Z. LaVine makes free throw 1 of 2
7:04.0,,,34-33,1,Z. LaVine makes free throw 2 of 2
6:49.0,,,34-33,,Personal foul by Z. LaVine (drawn by M. Conley)
6:38.0,Shooting foul by Z. LaVine (drawn by M. Conley),,34-33,,
6:38.0,M. Conley makes free throw 1 of 2,1,35-33,,
6:38.0,M. Conley makes free throw 2 of 2,1,36-33,,
6:30.0,Personal foul by M. Conley (drawn by K. Martin),,36-33,,
6:26.0,,,36-33,,S. Muhammad misses 2-pt shot from 20 ft
6:25.0,Defensive rebound by M. Conley,,36-33,,
6:12.0,Z. Randolph misses 2-pt shot from 2 ft,,36-33,,
6:11.0,,,36-33,,Defensive rebound by K. Martin
6:04.0,,,36-33,,Turnover by Z. LaVine (step out of bounds)
5:51.0,M. Conley makes 2-pt shot from 5 ft,2,38-33,,
5:41.0,,,38-33,,Minnesota full timeout
5:41.0,M. Gasol enters the game for J. Green,,38-33,,
5:41.0,,,38-33,,A. Wiggins enters the game for K. Martin
5:27.0,,,38-33,,Shooting foul by Z. Randolph (drawn by N. Pekovic)
5:27.0,,,38-33,,N. Pekovic misses free throw 1 of 2
5:27.0,,,38-33,,Offensive rebound by Team
5:27.0,,,38-33,,K. Garnett enters the game for N. Bjelica
5:27.0,,,38-33,,R. Rubio enters the game for Z. LaVine
5:27.0,,,38-34,1,N. Pekovic makes free throw 2 of 2
5:15.0,,,38-34,,Violation by N. Pekovic (kicked ball)
5:15.0,,,38-34,,K. Towns enters the game for N. Pekovic
5:00.0,M. Gasol misses 2-pt shot from 13 ft,,38-34,,
4:59.0,,,38-34,,Defensive rebound by A. Wiggins
4:49.0,,,38-36,2,K. Towns makes 2-pt shot from 20 ft (assist by R. Rubio)
4:37.0,Turnover by M. Conley (lost ball; steal by R. Rubio),,38-36,,
4:32.0,,,38-38,2,K. Towns makes 2-pt shot at rim (assist by R. Rubio)
4:15.0,C. Lee misses 2-pt shot from 20 ft,,38-38,,
4:13.0,,,38-38,,Defensive rebound by R. Rubio
3:59.0,,,38-38,,Turnover by S. Muhammad (bad pass; steal by M. Conley)
3:57.0,M. Barnes misses 2-pt shot at rim,,38-38,,
3:53.0,Offensive rebound by M. Conley,,38-38,,
3:52.0,M. Conley misses 2-pt shot from 1 ft,,38-38,,
3:51.0,Offensive rebound by C. Lee,,38-38,,
3:46.0,M. Conley misses 2-pt shot from 1 ft,,38-38,,
3:45.0,,,38-38,,Defensive rebound by R. Rubio
3:38.0,,,38-40,2,S. Muhammad makes 2-pt shot from 1 ft (assist by R. Rubio)
3:37.0,Memphis full timeout,,38-40,,
3:37.0,M. Chalmers enters the game for M. Conley,,38-40,,
3:30.0,,,38-40,,Personal foul by K. Garnett (drawn by Z. Randolph)
3:30.0,Z. Randolph misses free throw 1 of 2,,38-40,,
3:30.0,Offensive rebound by Team,,38-40,,
3:30.0,Z. Randolph makes free throw 2 of 2,1,39-40,,
3:18.0,,,39-40,,Shooting foul by M. Barnes (drawn by A. Wiggins)
3:18.0,,,39-41,1,A. Wiggins makes free throw 1 of 2
3:18.0,,,39-42,1,A. Wiggins makes free throw 2 of 2
3:02.0,M. Barnes misses 3-pt shot from 24 ft,,39-42,,
3:00.0,,,39-42,,Defensive rebound by R. Rubio
2:52.0,,,39-44,2,R. Rubio makes 2-pt shot from 5 ft
2:52.0,,,39-44,,Shooting foul by M. Chalmers (drawn by R. Rubio)
2:52.0,,,39-44,,Minnesota full timeout
2:52.0,,,39-45,1,R. Rubio makes free throw 1 of 1
2:41.0,M. Chalmers misses 2-pt shot at rim (block by A. Wiggins),,39-45,,
2:40.0,,,39-45,,Defensive rebound by Team
2:30.0,Personal foul by M. Chalmers (drawn by R. Rubio),,39-45,,
2:30.0,,,39-46,1,R. Rubio makes free throw 1 of 2
2:30.0,,,39-47,1,R. Rubio makes free throw 2 of 2
2:24.0,Turnover by M. Chalmers (bad pass; steal by R. Rubio),,39-47,,
2:20.0,,,39-47,,S. Muhammad misses 2-pt shot from 1 ft
2:19.0,,,39-47,,Offensive rebound by R. Rubio
2:19.0,,,39-49,2,R. Rubio makes 2-pt shot from 1 ft
2:19.0,Memphis full timeout,,39-49,,
2:19.0,,,39-49,,N. Pekovic enters the game for K. Garnett
2:06.0,M. Gasol misses 2-pt shot from 6 ft,,39-49,,
2:05.0,,,39-49,,Defensive rebound by Team
1:47.0,,,39-49,,R. Rubio misses 2-pt shot from 18 ft
1:46.0,Defensive rebound by Z. Randolph,,39-49,,
1:34.0,M. Gasol misses 2-pt shot from 1 ft,,39-49,,
1:33.0,,,39-49,,Defensive rebound by K. Towns
1:29.0,,,39-51,2,A. Wiggins makes 2-pt shot at rim (assist by R. Rubio)
1:13.0,Z. Randolph misses 2-pt shot from 6 ft,,39-51,,
1:12.0,,,39-51,,Defensive rebound by K. Towns
1:09.0,,,39-51,,Shooting foul by C. Lee (drawn by S. Muhammad)
1:09.0,,,39-52,1,S. Muhammad makes free throw 1 of 2
1:09.0,,,39-52,,G. Dieng enters the game for K. Towns
1:09.0,,,39-53,1,S. Muhammad makes free throw 2 of 2
0:56.0,M. Chalmers makes 2-pt shot from 11 ft,2,41-53,,
0:56.0,Technical foul by M. Chalmers,,41-53,,
0:56.0,,,41-54,1,R. Rubio makes technical free throw
0:48.0,Personal foul by M. Chalmers (drawn by R. Rubio),,41-54,,
0:48.0,,,41-55,1,R. Rubio makes free throw 1 of 2
0:48.0,,,41-56,1,R. Rubio makes free throw 2 of 2
0:34.0,,,41-56,,Personal foul by G. Dieng (drawn by M. Gasol)
0:34.0,Technical foul by Team,,41-56,,
0:34.0,,,41-57,1,R. Rubio makes technical free throw
0:34.0,M. Gasol makes free throw 1 of 2,1,42-57,,
0:34.0,,,42-57,,N. Bjelica enters the game for G. Dieng
0:34.0,M. Gasol makes free throw 2 of 2,1,43-57,,
0:20.0,,,43-57,,R. Rubio misses 3-pt shot from 24 ft
0:18.0,Defensive rebound by Z. Randolph,,43-57,,
0:00.0,M. Chalmers makes 3-pt shot from 24 ft (assist by Z. Randolph),3,46-57,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:38.0,,,46-57,,A. Wiggins misses 2-pt shot from 21 ft
11:35.0,Defensive rebound by Z. Randolph,,46-57,,
11:15.0,Z. Randolph misses 2-pt shot from 17 ft,,46-57,,
11:14.0,,,46-57,,Defensive rebound by K. Towns
11:03.0,,,46-57,,N. Pekovic misses 2-pt shot from 7 ft (block by M. Gasol)
11:01.0,Defensive rebound by M. Conley,,46-57,,
10:49.0,M. Gasol misses 2-pt shot from 15 ft,,46-57,,
10:45.0,Offensive rebound by Z. Randolph,,46-57,,
10:29.0,Z. Randolph makes 2-pt shot from 8 ft (assist by M. Conley),2,48-57,,
10:04.0,,,48-59,2,N. Pekovic makes 2-pt shot at rim (assist by T. Prince)
9:39.0,Shooting foul by R. Rubio (drawn by M. Conley),,48-59,,
9:39.0,M. Conley makes free throw 1 of 3,1,49-59,,
9:39.0,M. Conley makes free throw 2 of 3,1,50-59,,
9:39.0,M. Conley makes free throw 3 of 3,1,51-59,,
9:21.0,,,51-61,2,A. Wiggins makes 2-pt shot from 20 ft
9:00.0,C. Lee misses 2-pt shot from 11 ft,,51-61,,
8:59.0,,,51-61,,Defensive rebound by K. Towns
8:44.0,,,51-63,2,A. Wiggins makes 2-pt shot at rim (assist by R. Rubio)
8:29.0,M. Barnes makes 3-pt shot from 24 ft (assist by M. Conley),3,54-63,,
8:06.0,,,54-63,,Turnover by R. Rubio (bad pass; steal by C. Lee)
8:02.0,M. Barnes makes 2-pt shot at rim,2,56-63,,
7:44.0,,,56-65,2,T. Prince makes 2-pt shot from 20 ft (assist by R. Rubio)
7:19.0,M. Gasol makes 2-pt shot from 5 ft,2,58-65,,
7:04.0,,,58-67,2,T. Prince makes 2-pt shot at rim (assist by N. Pekovic)
6:44.0,Turnover by M. Gasol (lost ball; steal by K. Towns),,58-67,,
6:32.0,,,58-69,2,N. Pekovic makes 2-pt shot from 12 ft (assist by R. Rubio)
6:04.0,Z. Randolph misses 3-pt shot from 25 ft,,58-69,,
6:03.0,,,58-69,,Defensive rebound by A. Wiggins
5:57.0,,,58-69,,Minnesota full timeout
5:57.0,M. Chalmers enters the game for M. Conley,,58-69,,
5:57.0,R. Hollins enters the game for Z. Randolph,,58-69,,
5:57.0,,,58-69,,G. Dieng enters the game for N. Pekovic
5:43.0,,,58-69,,T. Prince misses 2-pt shot from 9 ft
5:42.0,,,58-69,,Offensive rebound by T. Prince
5:41.0,,,58-71,2,T. Prince makes 2-pt shot from 1 ft
5:15.0,M. Chalmers makes 3-pt shot from 22 ft (assist by R. Hollins),3,61-71,,
4:55.0,,,61-71,,A. Wiggins misses 2-pt shot from 20 ft
4:54.0,Defensive rebound by M. Chalmers,,61-71,,
4:43.0,M. Gasol makes 2-pt shot from 19 ft (assist by M. Chalmers),2,63-71,,
4:16.0,,,63-73,2,K. Towns makes 2-pt shot from 3 ft (assist by A. Wiggins)
3:54.0,Shooting foul by R. Rubio (drawn by R. Hollins),,63-73,,
3:54.0,R. Hollins makes free throw 1 of 2,1,64-73,,
3:54.0,J. Green enters the game for C. Lee,,64-73,,
3:54.0,,,64-73,,Z. LaVine enters the game for R. Rubio
3:54.0,,,64-73,,S. Muhammad enters the game for T. Prince
3:54.0,R. Hollins misses free throw 2 of 2,,64-73,,
3:53.0,,,64-73,,Defensive rebound by G. Dieng
3:30.0,,,64-73,,G. Dieng misses 2-pt shot from 3 ft
3:29.0,Defensive rebound by M. Gasol,,64-73,,
3:24.0,J. Green makes 2-pt shot at rim (assist by M. Barnes),2,66-73,,
3:03.0,,,66-75,2,S. Muhammad makes 2-pt shot from 7 ft (assist by K. Towns)
2:41.0,M. Barnes makes 3-pt shot from 25 ft (assist by J. Green),3,69-75,,
2:27.0,,,69-78,3,S. Muhammad makes 3-pt shot from 25 ft (assist by G. Dieng)
2:26.0,Memphis full timeout,,69-78,,
2:26.0,,,69-78,,K. Martin enters the game for A. Wiggins
2:12.0,,,69-78,,Personal foul by K. Martin (drawn by J. Green)
2:00.0,M. Gasol makes 2-pt shot from 9 ft,2,71-78,,
1:34.0,,,71-81,3,Z. LaVine makes 3-pt shot from 25 ft (assist by K. Martin)
1:14.0,J. Green misses 2-pt shot from 8 ft,,71-81,,
1:13.0,,,71-81,,Defensive rebound by K. Towns
1:00.0,Jump ball: G. Dieng vs. R. Hollins (M. Barnes gains possession),,,,Jump ball: G. Dieng vs. R. Hollins (M. Barnes gains possession)
1:00.0,,,71-81,,Turnover by G. Dieng (lost ball; steal by M. Barnes)
0:56.0,M. Barnes misses 2-pt shot from 1 ft,,71-81,,
0:54.0,,,71-81,,Defensive rebound by K. Martin
0:37.0,,,71-84,3,K. Martin makes 3-pt shot from 24 ft (assist by K. Towns)
0:27.0,Shooting foul by Z. LaVine (drawn by M. Chalmers),,71-84,,
0:27.0,M. Chalmers misses free throw 1 of 2,,71-84,,
0:27.0,Offensive rebound by Team,,71-84,,
0:27.0,J. Green enters the game for M. Gasol,,71-84,,
0:27.0,,,71-84,,N. Bjelica enters the game for K. Towns
0:27.0,M. Chalmers makes free throw 2 of 2,1,72-84,,
0:06.0,,,72-84,,Turnover by Z. LaVine (bad pass; steal by M. Chalmers)
0:00.0,J. Green makes 2-pt shot from 5 ft (assist by M. Barnes),2,74-84,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:46.0,M. Chalmers makes 2-pt shot from 2 ft,2,76-84,,
11:24.0,,,76-84,,K. Martin misses 2-pt shot from 12 ft
11:23.0,Defensive rebound by J. Green,,76-84,,
11:15.0,R. Hollins makes 2-pt shot at rim (assist by M. Chalmers),2,78-84,,
10:54.0,,,78-84,,G. Dieng misses 2-pt shot from 20 ft
10:53.0,Defensive rebound by Team,,78-84,,
10:43.0,R. Hollins misses 2-pt shot at rim,,78-84,,
10:42.0,,,78-84,,Defensive rebound by N. Bjelica
10:35.0,,,78-84,,N. Bjelica misses 3-pt shot from 24 ft
10:34.0,Defensive rebound by J. Green,,78-84,,
10:16.0,J. Green misses 2-pt shot from 18 ft,,78-84,,
10:15.0,,,78-84,,Defensive rebound by N. Bjelica
10:02.0,,,78-84,,Turnover by K. Martin (lost ball; steal by M. Chalmers)
9:58.0,Turnover by M. Chalmers (lost ball; steal by Z. LaVine),,78-84,,
9:47.0,,,78-84,,S. Muhammad misses 3-pt shot from 24 ft
9:45.0,,,78-84,,Offensive rebound by K. Martin
9:38.0,,,78-84,,Minnesota full timeout
9:34.0,,,78-86,2,S. Muhammad makes 2-pt shot from 7 ft (assist by Z. LaVine)
9:34.0,,,78-86,,Shooting foul by J. Green (drawn by S. Muhammad)
9:34.0,,,78-87,1,S. Muhammad makes free throw 1 of 1
9:22.0,V. Carter misses 3-pt shot from 24 ft,,78-87,,
9:21.0,,,78-87,,Defensive rebound by G. Dieng
9:09.0,,,78-87,,Turnover by G. Dieng (3 sec)
8:54.0,V. Carter misses 2-pt shot from 1 ft,,78-87,,
8:53.0,Offensive rebound by R. Hollins,,78-87,,
8:51.0,R. Hollins misses 2-pt shot at rim (block by G. Dieng),,78-87,,
8:50.0,Offensive rebound by J. Green,,78-87,,
8:49.0,J. Green makes 2-pt shot at rim,2,80-87,,
8:26.0,,,80-87,,K. Martin misses 3-pt shot from 24 ft
8:25.0,Defensive rebound by M. Chalmers,,80-87,,
8:15.0,J. Green misses 2-pt shot from 14 ft,,80-87,,
8:13.0,,,80-87,,Defensive rebound by Z. LaVine
8:05.0,,,80-87,,Shooting foul by M. Chalmers (drawn by S. Muhammad)
8:05.0,,,80-88,1,S. Muhammad makes free throw 1 of 2
8:05.0,M. Barnes enters the game for J. Green,,80-88,,
8:05.0,,,80-88,,A. Wiggins enters the game for K. Martin
8:05.0,,,80-89,1,S. Muhammad makes free throw 2 of 2
7:42.0,R. Hollins makes 2-pt shot at rim (assist by M. Chalmers),2,82-89,,
7:26.0,,,82-89,,Turnover by A. Wiggins (bad pass; steal by J. Green)
7:21.0,Turnover by J. Green (bad pass; steal by Z. LaVine),,82-89,,
7:13.0,,,82-89,,Turnover by Z. LaVine (bad pass; steal by R. Hollins)
7:09.0,Shooting foul by Z. LaVine (drawn by M. Chalmers),,82-89,,
7:09.0,M. Chalmers makes free throw 1 of 2,1,83-89,,
7:09.0,,,83-89,,R. Rubio enters the game for Z. LaVine
7:09.0,M. Chalmers makes free throw 2 of 2,1,84-89,,
6:54.0,,,84-89,,S. Muhammad misses 2-pt shot from 13 ft
6:52.0,,,84-89,,Offensive rebound by G. Dieng
6:45.0,,,84-89,,Turnover by Team (shot clock)
6:45.0,,,84-89,,K. Towns enters the game for G. Dieng
6:30.0,M. Barnes misses 3-pt shot from 26 ft,,84-89,,
6:28.0,,,84-89,,Defensive rebound by K. Towns
6:27.0,Personal foul by M. Chalmers (drawn by K. Towns),,84-89,,
6:04.0,,,84-91,2,A. Wiggins makes 2-pt shot from 19 ft
5:50.0,M. Chalmers makes 2-pt shot at rim,2,86-91,,
5:39.0,,,86-91,,Turnover by N. Bjelica (offensive foul)
5:39.0,,,86-91,,Offensive foul by N. Bjelica
5:39.0,Memphis full timeout,,86-91,,
5:27.0,Shooting foul by R. Rubio (drawn by M. Chalmers),,86-91,,
5:27.0,M. Chalmers makes free throw 1 of 2,1,87-91,,
5:27.0,M. Chalmers makes free throw 2 of 2,1,88-91,,
5:15.0,,,88-93,2,S. Muhammad makes 2-pt shot from 1 ft (assist by K. Towns)
4:56.0,J. Green makes 2-pt shot from 2 ft,2,90-93,,
4:33.0,,,90-95,2,K. Towns makes 2-pt shot from 1 ft
4:16.0,V. Carter makes 3-pt shot from 22 ft (assist by M. Chalmers),3,93-95,,
3:54.0,,,93-95,,S. Muhammad misses 3-pt shot from 24 ft
3:53.0,,,93-95,,Offensive rebound by K. Towns
3:52.0,,,93-95,,Shooting foul by R. Hollins (drawn by K. Towns)
3:52.0,,,93-96,1,K. Towns makes free throw 1 of 2
3:52.0,M. Conley enters the game for M. Chalmers,,93-96,,
3:52.0,M. Gasol enters the game for R. Hollins,,93-96,,
3:52.0,,,93-97,1,K. Towns makes free throw 2 of 2
3:38.0,M. Conley misses 2-pt shot from 1 ft,,93-97,,
3:37.0,,,93-97,,Defensive rebound by K. Towns
3:27.0,,,93-97,,Offensive foul by K. Towns
3:27.0,,,93-97,,Turnover by K. Towns (offensive foul)
3:20.0,,,93-97,,Personal foul by S. Muhammad (drawn by J. Green)
3:14.0,J. Green misses 2-pt shot from 2 ft (block by K. Towns),,93-97,,
3:12.0,Offensive rebound by J. Green,,93-97,,
3:10.0,V. Carter makes 3-pt shot from 24 ft (assist by J. Green),3,96-97,,
2:46.0,,,96-97,,N. Bjelica misses 3-pt shot from 27 ft
2:45.0,,,96-97,,Offensive rebound by R. Rubio
2:32.0,,,96-99,2,K. Towns makes 2-pt shot from 18 ft (assist by R. Rubio)
2:28.0,Memphis full timeout,,96-99,,
2:06.0,M. Conley misses 3-pt shot from 24 ft,,96-99,,
2:04.0,Offensive rebound by M. Barnes,,96-99,,
2:01.0,M. Barnes makes 3-pt shot from 24 ft,3,99-99,,
1:40.0,Personal foul by M. Barnes (drawn by N. Bjelica),,99-99,,
1:40.0,,,99-100,1,N. Bjelica makes free throw 1 of 2
1:40.0,,,99-101,1,N. Bjelica makes free throw 2 of 2
1:28.0,M. Gasol makes 2-pt shot from 8 ft (assist by M. Conley),2,101-101,,
1:22.0,,,101-101,,Minnesota full timeout
1:15.0,,,101-101,,R. Rubio misses 3-pt shot from 25 ft
1:14.0,,,101-101,,Offensive rebound by A. Wiggins
0:59.0,,,101-101,,N. Bjelica misses 3-pt shot from 25 ft
0:58.0,Defensive rebound by M. Conley,,101-101,,
0:43.0,M. Barnes misses 3-pt shot from 25 ft,,101-101,,
0:42.0,,,101-101,,Defensive rebound by S. Muhammad
0:35.0,Personal block foul by M. Conley (drawn by R. Rubio),,101-101,,
