time,Minnesota,pts.away,score,pts.home,Dallas
3:57.0,Shooting block foul by A. Wiggins (drawn by D. Williams),,48-55,,
3:57.0,,,48-56,1,D. Williams makes free throw 1 of 2
3:57.0,Z. LaVine enters the game for S. Muhammad,,48-56,,
3:57.0,,,48-57,1,D. Williams makes free throw 2 of 2
3:39.0,G. Dieng misses 2-pt shot from 17 ft,,48-57,,
3:38.0,,,48-57,,Defensive rebound by D. Lee
3:22.0,,,48-57,,R. Felton misses 3-pt shot from 24 ft
3:21.0,Defensive rebound by A. Wiggins,,48-57,,
3:15.0,Offensive foul by K. Towns,,48-57,,
3:15.0,Turnover by K. Towns (offensive foul),,48-57,,
3:15.0,,,48-57,,C. Parsons enters the game for R. Felton
2:57.0,,,48-57,,D. Williams misses 3-pt shot from 24 ft
2:56.0,Defensive rebound by K. Towns,,48-57,,
2:47.0,A. Wiggins misses 2-pt shot from 16 ft,,48-57,,
2:45.0,Offensive rebound by G. Dieng,,48-57,,
2:45.0,G. Dieng makes 2-pt shot at rim,2,50-57,,
2:44.0,,,50-57,,Dallas full timeout
2:44.0,Minnesota full timeout,,50-57,,
2:44.0,,,50-57,,Z. Pachulia enters the game for D. Lee
2:35.0,,,50-57,,D. Williams misses 3-pt shot from 25 ft
2:33.0,Defensive rebound by K. Towns,,50-57,,
2:15.0,A. Wiggins misses 2-pt shot from 13 ft,,50-57,,
2:14.0,,,50-57,,Defensive rebound by Z. Pachulia
1:58.0,Shooting block foul by Z. LaVine (drawn by W. Matthews),,50-57,,
1:58.0,,,50-58,1,W. Matthews makes free throw 1 of 2
1:58.0,S. Muhammad enters the game for Z. LaVine,,50-58,,
1:58.0,,,50-59,1,W. Matthews makes free throw 2 of 2
1:44.0,Turnover by K. Towns (bad pass; steal by W. Matthews),,50-59,,
1:31.0,,,50-59,,D. Nowitzki misses 2-pt shot from 19 ft
1:30.0,Defensive rebound by Team,,50-59,,
1:12.0,K. Towns misses 2-pt shot from 19 ft,,50-59,,
1:11.0,Offensive rebound by S. Muhammad,,50-59,,
1:09.0,S. Muhammad misses 2-pt shot from 12 ft,,50-59,,
1:08.0,Offensive rebound by S. Muhammad,,50-59,,
1:07.0,S. Muhammad misses 2-pt shot from 2 ft (block by W. Matthews),,50-59,,
1:06.0,,,50-59,,Defensive rebound by Team
0:56.0,,,50-61,2,W. Matthews makes 2-pt shot from 2 ft
0:46.0,R. Rubio misses 2-pt shot from 3 ft (block by D. Nowitzki),,50-61,,
0:45.0,Offensive rebound by R. Rubio,,50-61,,
0:44.0,R. Rubio makes 2-pt shot from 10 ft,2,52-61,,
0:33.0,Personal foul by A. Wiggins (drawn by C. Parsons),,52-61,,
0:33.0,,,52-62,1,C. Parsons makes free throw 1 of 2
0:33.0,,,52-62,,R. Felton enters the game for D. Nowitzki
0:33.0,,,52-63,1,C. Parsons makes free throw 2 of 2
0:12.0,R. Rubio makes 2-pt shot from 1 ft,2,54-63,,
0:01.0,,,54-65,2,C. Parsons makes 2-pt shot from 21 ft
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:48.0,,,54-67,2,C. Parsons makes 2-pt shot from 1 ft (assist by Z. Pachulia)
11:34.0,Shooting foul by D. Nowitzki (drawn by A. Wiggins),,54-67,,
11:34.0,A. Wiggins makes free throw 1 of 2,1,55-67,,
11:34.0,A. Wiggins makes free throw 2 of 2,1,56-67,,
11:26.0,Personal foul by G. Dieng (drawn by D. Nowitzki),,56-67,,
11:17.0,,,56-67,,D. Nowitzki misses 2-pt shot from 6 ft
11:15.0,Defensive rebound by K. Towns,,56-67,,
11:02.0,Shooting foul by D. Williams (drawn by G. Dieng),,56-67,,
11:02.0,G. Dieng misses free throw 1 of 2,,56-67,,
11:02.0,Offensive rebound by Team,,56-67,,
11:02.0,G. Dieng misses free throw 2 of 2,,56-67,,
11:02.0,,,56-67,,Defensive rebound by C. Parsons
10:50.0,,,56-67,,C. Parsons misses 3-pt shot from 25 ft
10:49.0,Defensive rebound by G. Dieng,,56-67,,
10:38.0,A. Wiggins misses 3-pt shot from 26 ft,,56-67,,
10:38.0,Offensive rebound by G. Dieng,,56-67,,
10:38.0,,,56-67,,Personal foul by D. Nowitzki (drawn by G. Dieng)
10:38.0,,,56-67,,R. Felton enters the game for D. Nowitzki
10:28.0,Turnover by A. Wiggins (bad pass; steal by C. Parsons),,56-67,,
10:17.0,,,56-69,2,C. Parsons makes 2-pt shot at rim (assist by R. Felton)
9:59.0,Turnover by G. Dieng (traveling),,56-69,,
9:47.0,,,56-69,,Shooting foul by K. Towns (drawn by C. Parsons)
9:47.0,,,56-70,1,C. Parsons makes free throw 1 of 3
9:47.0,,,56-71,1,C. Parsons makes free throw 2 of 3
9:47.0,,,56-72,1,C. Parsons makes free throw 3 of 3
9:38.0,,,56-72,,Violation by D. Williams (kicked ball)
9:30.0,R. Rubio misses 2-pt shot from 17 ft,,56-72,,
9:29.0,Offensive rebound by K. Towns,,56-72,,
9:26.0,K. Towns makes 2-pt shot from 5 ft,2,58-72,,
9:12.0,,,58-74,2,C. Parsons makes 2-pt shot from 16 ft (assist by D. Williams)
9:00.0,Turnover by K. Towns (lost ball; steal by Z. Pachulia),,58-74,,
8:52.0,,,58-77,3,W. Matthews makes 3-pt shot from 26 ft (assist by C. Parsons)
8:50.0,Minnesota full timeout,,58-77,,
8:50.0,S. Muhammad enters the game for G. Dieng,,58-77,,
8:39.0,A. Wiggins misses 2-pt shot from 11 ft,,58-77,,
8:37.0,,,58-77,,Defensive rebound by Z. Pachulia
8:23.0,,,58-77,,W. Matthews misses 3-pt shot from 22 ft
8:22.0,Defensive rebound by Z. LaVine,,58-77,,
8:17.0,,,58-77,,Shooting block foul by D. Williams (drawn by R. Rubio)
8:17.0,R. Rubio makes free throw 1 of 2,1,59-77,,
8:17.0,R. Rubio makes free throw 2 of 2,1,60-77,,
8:02.0,,,60-77,,C. Parsons misses 3-pt shot from 24 ft
8:01.0,,,60-77,,Offensive rebound by Z. Pachulia
7:45.0,,,60-77,,D. Williams misses 3-pt shot from 25 ft
7:44.0,Defensive rebound by Z. LaVine,,60-77,,
7:38.0,Z. LaVine misses 2-pt shot from 6 ft,,60-77,,
7:36.0,,,60-77,,Defensive rebound by R. Felton
7:31.0,,,60-79,2,W. Matthews makes 2-pt shot from 2 ft (assist by D. Williams)
7:16.0,R. Rubio makes 2-pt shot from 19 ft (assist by K. Towns),2,62-79,,
7:01.0,Personal foul by S. Muhammad (drawn by W. Matthews),,62-79,,
6:55.0,,,62-79,,D. Williams misses 2-pt shot from 19 ft
6:53.0,Defensive rebound by K. Towns,,62-79,,
6:45.0,A. Wiggins makes 2-pt shot from 18 ft,2,64-79,,
6:45.0,,,64-79,,Dallas full timeout
6:31.0,,,64-81,2,Z. Pachulia makes 2-pt shot from 1 ft (assist by C. Parsons)
6:13.0,Z. LaVine misses 2-pt shot from 2 ft,,64-81,,
6:12.0,Offensive rebound by K. Towns,,64-81,,
6:12.0,K. Towns makes 2-pt shot from 1 ft,2,66-81,,
5:53.0,,,66-81,,W. Matthews misses 2-pt shot from 13 ft
5:51.0,Defensive rebound by K. Towns,,66-81,,
5:47.0,R. Rubio makes 2-pt shot from 6 ft,2,68-81,,
5:47.0,Shooting foul by D. Williams (drawn by R. Rubio),,68-81,,
5:47.0,R. Rubio makes free throw 1 of 1,1,69-81,,
5:34.0,,,69-81,,W. Matthews misses 2-pt shot from 20 ft
5:33.0,,,69-81,,Offensive rebound by D. Williams
5:30.0,,,69-83,2,D. Williams makes 2-pt shot from 5 ft
5:17.0,,,69-83,,Personal block foul by Z. Pachulia (drawn by K. Towns)
5:17.0,K. Towns misses free throw 1 of 2,,69-83,,
5:17.0,Offensive rebound by Team,,69-83,,
5:17.0,,,69-83,,D. Lee enters the game for Z. Pachulia
5:17.0,K. Towns misses free throw 2 of 2,,69-83,,
5:16.0,,,69-83,,Defensive rebound by D. Lee
5:02.0,,,69-83,,D. Williams misses 2-pt shot from 13 ft
5:01.0,Defensive rebound by Z. LaVine,,69-83,,
4:49.0,R. Rubio misses 3-pt shot from 25 ft,,69-83,,
4:49.0,,,69-83,,Defensive rebound by D. Williams
4:42.0,,,69-86,3,C. Parsons makes 3-pt shot from 24 ft (assist by D. Williams)
4:28.0,,,69-86,,Personal foul by D. Williams (drawn by A. Wiggins)
4:28.0,A. Wiggins makes free throw 1 of 2,1,70-86,,
4:28.0,,,70-86,,D. Harris enters the game for D. Williams
4:28.0,A. Wiggins misses free throw 2 of 2,,70-86,,
4:27.0,,,70-86,,Defensive rebound by C. Parsons
4:13.0,,,70-89,3,W. Matthews makes 3-pt shot from 25 ft (assist by D. Harris)
3:56.0,Turnover by A. Wiggins (lost ball; steal by R. Felton),,70-89,,
3:36.0,,,70-91,2,D. Lee makes 2-pt shot at rim (assist by R. Felton)
3:22.0,Z. LaVine misses 3-pt shot from 27 ft,,70-91,,
3:21.0,Offensive rebound by Team,,70-91,,
3:21.0,T. Jones enters the game for R. Rubio,,70-91,,
3:21.0,G. Dieng enters the game for K. Towns,,70-91,,
3:07.0,T. Jones misses 2-pt shot from 6 ft,,70-91,,
3:05.0,,,70-91,,Defensive rebound by D. Lee
2:55.0,,,70-94,3,R. Felton makes 3-pt shot from 25 ft (assist by C. Parsons)
2:34.0,Shooting foul by W. Matthews (drawn by A. Wiggins),,70-94,,
2:34.0,A. Wiggins misses free throw 1 of 2,,70-94,,
2:34.0,Offensive rebound by Team,,70-94,,
2:34.0,A. Wiggins misses free throw 2 of 2,,70-94,,
2:33.0,Offensive rebound by G. Dieng,,70-94,,
2:23.0,Z. LaVine misses 2-pt shot from 17 ft,,70-94,,
2:22.0,,,70-94,,Defensive rebound by C. Parsons
2:11.0,,,70-96,2,D. Lee makes 2-pt shot from 6 ft
2:11.0,,,70-96,,Shooting foul by G. Dieng (drawn by D. Lee)
2:11.0,A. Payne enters the game for A. Wiggins,,70-96,,
2:11.0,,,70-97,1,D. Lee makes free throw 1 of 1
1:57.0,A. Payne misses 2-pt shot from 7 ft,,70-97,,
1:55.0,,,70-97,,Defensive rebound by R. Felton
1:49.0,,,70-97,,R. Felton misses 3-pt shot from 25 ft
1:47.0,Defensive rebound by Z. LaVine,,70-97,,
1:40.0,Shooting foul by W. Matthews (drawn by S. Muhammad),,70-97,,
1:40.0,S. Muhammad makes free throw 1 of 2,1,71-97,,
1:40.0,D. Rudez enters the game for G. Dieng,,71-97,,
1:40.0,,,71-97,,J. Barea enters the game for W. Matthews
1:40.0,,,71-97,,D. Nowitzki enters the game for C. Parsons
1:40.0,S. Muhammad misses free throw 2 of 2,,71-97,,
1:39.0,,,71-97,,Defensive rebound by D. Lee
1:20.0,,,71-97,,Turnover by D. Nowitzki (bad pass; steal by T. Jones)
1:16.0,Turnover by S. Muhammad (lost ball),,71-97,,
1:16.0,,,71-97,,C. Villanueva enters the game for D. Nowitzki
0:57.0,,,71-97,,C. Villanueva misses 3-pt shot from 25 ft
0:56.0,Defensive rebound by T. Jones,,71-97,,
0:50.0,D. Rudez misses 3-pt shot from 25 ft,,71-97,,
0:49.0,,,71-97,,Defensive rebound by R. Felton
0:37.0,,,71-97,,J. Barea misses 3-pt shot from 23 ft
0:36.0,,,71-97,,Offensive rebound by J. Barea
0:15.0,Violation by A. Payne (def goaltending),,71-97,,
0:15.0,,,71-99,2,D. Lee makes 2-pt shot from 1 ft (assist by J. Barea)
0:01.0,T. Jones makes 3-pt shot from 26 ft,3,74-99,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:50.0,,,74-99,,Personal foul by D. Harris (drawn by S. Muhammad)
11:41.0,Offensive foul by S. Muhammad,,74-99,,
11:41.0,Turnover by S. Muhammad (offensive foul),,74-99,,
11:30.0,,,74-99,,Turnover by D. Lee (bad pass; steal by Z. LaVine)
11:23.0,Z. LaVine makes 2-pt shot from 2 ft,2,76-99,,
11:03.0,,,76-99,,Shooting foul by D. Rudez (drawn by C. Villanueva)
11:03.0,,,76-100,1,C. Villanueva makes free throw 1 of 2
11:03.0,,,76-101,1,C. Villanueva makes free throw 2 of 2
10:48.0,Z. LaVine misses 3-pt shot from 24 ft,,76-101,,
10:47.0,Offensive rebound by A. Payne,,76-101,,
10:46.0,Shooting foul by C. Villanueva (drawn by S. Muhammad),,76-101,,
10:46.0,S. Muhammad makes free throw 1 of 2,1,77-101,,
10:46.0,S. Muhammad makes free throw 2 of 2,1,78-101,,
10:31.0,,,78-103,2,C. Villanueva makes 2-pt shot from 15 ft (assist by J. Barea)
10:31.0,,,78-103,,Shooting foul by D. Rudez (drawn by C. Villanueva)
10:31.0,,,78-104,1,C. Villanueva makes free throw 1 of 1
10:16.0,A. Payne misses 2-pt shot from 2 ft,,78-104,,
10:15.0,,,78-104,,Defensive rebound by C. Villanueva
10:08.0,,,78-106,2,D. Lee makes 2-pt shot from 1 ft (assist by D. Harris)
10:00.0,Turnover by D. Rudez (bad pass; steal by D. Lee),,78-106,,
9:42.0,,,78-106,,C. Villanueva misses 3-pt shot from 27 ft
9:41.0,Defensive rebound by D. Rudez,,78-106,,
9:31.0,A. Payne misses 2-pt shot from 6 ft,,78-106,,
9:30.0,Offensive rebound by A. Payne,,78-106,,
9:29.0,,,78-106,,Loose ball foul by D. Harris (drawn by A. Payne)
9:23.0,T. Jones misses 3-pt shot from 27 ft,,78-106,,
