time,Oklahoma City,pts.away,score,pts.home,Brooklyn
7:31.0,,,8-11,3,D. Sloan makes 3-pt shot from 23 ft (assist by W. Ellington)
7:11.0,Shooting foul by D. Sloan (drawn by K. Durant),,8-11,,
7:11.0,K. Durant makes free throw 1 of 2,1,9-11,,
7:11.0,K. Durant makes free throw 2 of 2,1,10-11,,
6:54.0,,,10-11,,B. Lopez misses 2-pt shot from 3 ft (block by N. Collison)
6:53.0,,,10-11,,Offensive rebound by B. Lopez
6:51.0,,,10-13,2,B. Lopez makes 2-pt shot from 1 ft
6:37.0,R. Westbrook makes 2-pt shot at rim,2,12-13,,
6:21.0,,,12-13,,T. Young misses 2-pt shot from 7 ft
6:20.0,Defensive rebound by K. Durant,,12-13,,
6:15.0,Turnover by K. Durant (bad pass; steal by D. Sloan),,12-13,,
6:06.0,,,12-13,,W. Ellington misses 3-pt shot from 22 ft
6:05.0,,,12-13,,Offensive rebound by T. Young
6:02.0,,,12-15,2,W. Ellington makes 2-pt shot at rim (assist by T. Young)
5:55.0,Oklahoma City full timeout,,12-15,,
5:51.0,K. Durant makes 2-pt shot at rim (assist by N. Collison),2,14-15,,
5:26.0,,,14-18,3,D. Sloan makes 3-pt shot from 25 ft (assist by T. Young)
5:12.0,R. Westbrook makes 2-pt shot from 1 ft,2,16-18,,
4:54.0,,,16-20,2,T. Young makes 2-pt shot from 6 ft
4:41.0,S. Ibaka misses 2-pt shot from 20 ft,,16-20,,
4:40.0,,,16-20,,Defensive rebound by Team
4:40.0,Loose ball foul by N. Collison (drawn by W. Ellington),,16-20,,
4:40.0,D. Waiters enters the game for N. Collison,,16-20,,
4:40.0,E. Kanter enters the game for S. Ibaka,,16-20,,
4:26.0,,,16-22,2,B. Lopez makes 2-pt shot from 6 ft
4:11.0,R. Westbrook misses 3-pt shot from 25 ft,,16-22,,
4:10.0,,,16-22,,Defensive rebound by T. Young
3:58.0,,,16-24,2,B. Lopez makes 2-pt shot from 8 ft (assist by J. Johnson)
3:42.0,R. Westbrook makes 2-pt shot from 1 ft,2,18-24,,
3:27.0,,,18-24,,T. Young misses 2-pt shot from 3 ft
3:26.0,Defensive rebound by K. Durant,,18-24,,
3:20.0,E. Kanter misses 2-pt shot from 1 ft (block by T. Young),,18-24,,
3:19.0,,,18-24,,Defensive rebound by D. Sloan
3:12.0,,,18-26,2,J. Johnson makes 2-pt shot at rim (assist by D. Sloan)
3:01.0,,,18-26,,Personal foul by J. Johnson (drawn by K. Durant)
2:53.0,R. Westbrook makes 2-pt shot from 1 ft,2,20-26,,
2:46.0,,,20-26,,Brooklyn full timeout
2:31.0,,,20-28,2,J. Johnson makes 2-pt shot from 2 ft (assist by W. Ellington)
2:19.0,Shooting foul by B. Lopez (drawn by R. Westbrook),,20-28,,
2:19.0,R. Westbrook misses free throw 1 of 2,,20-28,,
2:19.0,Offensive rebound by Team,,20-28,,
2:19.0,,,20-28,,W. Reed enters the game for B. Lopez
2:19.0,,,20-28,,B. Bogdanovic enters the game for W. Ellington
2:19.0,R. Westbrook misses free throw 2 of 2,,20-28,,
2:18.0,Offensive rebound by Team,,20-28,,
2:11.0,K. Durant makes 2-pt shot from 7 ft,2,22-28,,
1:47.0,,,22-28,,T. Young misses 2-pt shot from 20 ft
1:46.0,Defensive rebound by R. Westbrook,,22-28,,
1:40.0,R. Westbrook misses 2-pt shot from 17 ft,,22-28,,
1:39.0,,,22-28,,Defensive rebound by Team
1:39.0,C. Payne enters the game for R. Westbrook,,22-28,,
1:39.0,,,22-28,,S. Larkin enters the game for D. Sloan
1:22.0,,,22-28,,J. Johnson misses 3-pt shot from 24 ft
1:21.0,Defensive rebound by K. Durant,,22-28,,
1:10.0,D. Waiters makes 3-pt shot from 25 ft (assist by A. Roberson),3,25-28,,
0:55.0,,,25-28,,B. Bogdanovic misses 3-pt shot from 24 ft
0:54.0,,,25-28,,Offensive rebound by T. Young
0:49.0,,,25-28,,Turnover by J. Johnson (bad pass; steal by K. Durant)
0:45.0,Turnover by A. Roberson (lost ball; steal by S. Larkin),,25-28,,
0:31.0,,,25-30,2,J. Johnson makes 2-pt shot from 2 ft
0:09.0,D. Waiters misses 3-pt shot from 26 ft,,25-30,,
0:08.0,,,25-30,,Defensive rebound by W. Reed
0:05.0,,,25-30,,Turnover by W. Reed (bad pass; steal by D. Waiters)
0:00.0,K. Durant makes 3-pt shot from 26 ft (assist by D. Waiters),3,28-30,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:46.0,C. Payne makes 2-pt shot from 9 ft,2,30-30,,
11:27.0,,,30-32,2,B. Bogdanovic makes 2-pt shot from 1 ft
11:15.0,E. Kanter misses 2-pt shot from 18 ft,,30-32,,
11:14.0,Offensive rebound by S. Ibaka,,30-32,,
11:05.0,C. Payne misses 3-pt shot from 24 ft,,30-32,,
11:04.0,,,30-32,,Defensive rebound by S. Karasev
10:54.0,,,30-32,,Turnover by A. Bargnani (lost ball; steal by S. Ibaka)
10:49.0,C. Payne makes 2-pt shot from 2 ft (assist by S. Ibaka),2,32-32,,
10:36.0,,,32-34,2,S. Larkin makes 2-pt shot from 21 ft
10:18.0,Turnover by D. Waiters (traveling),,32-34,,
10:07.0,,,32-36,2,A. Bargnani makes 2-pt shot from 16 ft (assist by S. Larkin)
9:52.0,D. Waiters misses 2-pt shot from 18 ft,,32-36,,
9:51.0,,,32-36,,Defensive rebound by S. Larkin
9:47.0,,,32-36,,Turnover by B. Bogdanovic (traveling)
9:35.0,,,32-36,,Personal foul by W. Reed (drawn by E. Kanter)
9:23.0,E. Kanter misses 2-pt shot from 7 ft (block by W. Reed),,32-36,,
9:22.0,Offensive rebound by K. Singler,,32-36,,
9:19.0,K. Singler makes 2-pt shot from 9 ft,2,34-36,,
8:58.0,,,34-38,2,S. Karasev makes 2-pt shot from 9 ft
8:49.0,S. Ibaka misses 2-pt shot from 2 ft,,34-38,,
8:48.0,,,34-38,,Defensive rebound by W. Reed
8:44.0,,,34-38,,Shooting foul by K. Singler (drawn by W. Reed)
8:44.0,Official timeout,,34-38,,
8:44.0,,,34-39,1,W. Reed makes free throw 1 of 2
8:44.0,,,34-39,,W. Reed misses free throw 2 of 2
8:43.0,Defensive rebound by S. Ibaka,,34-39,,
8:31.0,E. Kanter makes 2-pt shot at rim (assist by C. Payne),2,36-39,,
8:16.0,,,36-39,,Turnover by S. Karasev (bad pass; steal by D. Waiters)
8:04.0,Shooting foul by A. Bargnani (drawn by D. Waiters),,36-39,,
8:04.0,D. Waiters misses free throw 1 of 2,,36-39,,
8:04.0,Offensive rebound by Team,,36-39,,
8:04.0,D. Waiters makes free throw 2 of 2,1,37-39,,
7:48.0,,,37-39,,Turnover by A. Bargnani (lost ball; steal by C. Payne)
7:47.0,,,37-39,,Personal foul by A. Bargnani (drawn by C. Payne)
7:47.0,R. Westbrook enters the game for D. Waiters,,37-39,,
7:40.0,Turnover by R. Westbrook (bad pass; steal by S. Larkin),,37-39,,
7:36.0,,,37-41,2,S. Larkin makes 2-pt shot from 1 ft
7:25.0,C. Payne makes 3-pt shot from 23 ft,3,40-41,,
7:08.0,,,40-41,,B. Bogdanovic misses 2-pt shot from 6 ft (block by K. Singler)
7:06.0,Defensive rebound by S. Ibaka,,40-41,,
7:04.0,,,40-41,,B. Lopez enters the game for W. Reed
7:04.0,K. Durant enters the game for C. Payne,,40-41,,
7:00.0,K. Durant misses 2-pt shot from 9 ft (block by B. Lopez),,40-41,,
6:59.0,Offensive rebound by E. Kanter,,40-41,,
6:57.0,E. Kanter misses 2-pt shot from 2 ft,,40-41,,
6:56.0,,,40-41,,Defensive rebound by B. Lopez
6:38.0,,,40-43,2,B. Lopez makes 2-pt shot from 7 ft
6:26.0,R. Westbrook misses 2-pt shot from 10 ft,,40-43,,
6:25.0,,,40-43,,Defensive rebound by S. Larkin
6:20.0,,,40-43,,S. Karasev misses 2-pt shot from 23 ft
6:19.0,Defensive rebound by Team,,40-43,,
6:19.0,,,40-43,,J. Johnson enters the game for S. Karasev
5:56.0,Shooting foul by B. Lopez (drawn by R. Westbrook),,40-43,,
5:56.0,,,40-43,,Brooklyn full timeout
5:56.0,A. Roberson enters the game for S. Ibaka,,40-43,,
5:56.0,R. Westbrook makes free throw 1 of 2,1,41-43,,
5:56.0,R. Westbrook makes free throw 2 of 2,1,42-43,,
5:44.0,,,42-43,,J. Johnson misses 2-pt shot from 12 ft
5:43.0,,,42-43,,Offensive rebound by B. Lopez
5:36.0,,,42-46,3,B. Bogdanovic makes 3-pt shot from 25 ft (assist by J. Johnson)
5:20.0,K. Singler makes 3-pt shot from 24 ft (assist by K. Durant),3,45-46,,
4:58.0,,,45-49,3,B. Bogdanovic makes 3-pt shot from 24 ft (assist by J. Johnson)
4:44.0,K. Durant misses 3-pt shot from 25 ft,,45-49,,
4:43.0,,,45-49,,Defensive rebound by B. Lopez
4:30.0,,,45-49,,B. Lopez misses 2-pt shot from 18 ft
4:29.0,Defensive rebound by K. Durant,,45-49,,
4:22.0,K. Singler misses 2-pt shot at rim,,45-49,,
4:21.0,,,45-49,,Defensive rebound by B. Lopez
4:15.0,,,45-51,2,A. Bargnani makes 2-pt shot from 19 ft (assist by B. Bogdanovic)
4:03.0,,,45-51,,Personal foul by J. Johnson (drawn by K. Durant)
4:03.0,K. Durant misses free throw 1 of 2,,45-51,,
4:03.0,Offensive rebound by Team,,45-51,,
4:03.0,N. Collison enters the game for E. Kanter,,45-51,,
4:03.0,,,45-51,,T. Young enters the game for A. Bargnani
4:03.0,,,45-51,,W. Reed enters the game for B. Lopez
4:03.0,K. Durant makes free throw 2 of 2,1,46-51,,
3:57.0,Personal foul by K. Singler (drawn by J. Johnson),,46-51,,
3:49.0,,,46-51,,T. Young misses 2-pt shot from 8 ft
3:48.0,Defensive rebound by N. Collison,,46-51,,
3:41.0,K. Durant makes 2-pt shot from 21 ft,2,48-51,,
3:21.0,,,48-53,2,S. Larkin makes 2-pt shot from 2 ft
3:21.0,,,48-53,,Shooting foul by N. Collison (drawn by S. Larkin)
3:21.0,S. Ibaka enters the game for N. Collison,,48-53,,
3:21.0,D. Waiters enters the game for K. Singler,,48-53,,
3:21.0,,,48-54,1,S. Larkin makes free throw 1 of 1
3:09.0,R. Westbrook misses 2-pt shot from 2 ft,,48-54,,
3:08.0,Offensive rebound by S. Ibaka,,48-54,,
3:07.0,S. Ibaka makes 2-pt shot at rim,2,50-54,,
2:48.0,,,50-54,,B. Bogdanovic misses 2-pt shot from 12 ft
2:47.0,Defensive rebound by K. Durant,,50-54,,
2:39.0,R. Westbrook misses 2-pt shot from 1 ft,,50-54,,
2:38.0,,,50-54,,Defensive rebound by S. Larkin
2:30.0,,,50-56,2,W. Reed makes 2-pt shot at rim (assist by S. Larkin)
2:30.0,Oklahoma City full timeout,,50-56,,
2:30.0,K. Singler enters the game for A. Roberson,,50-56,,
2:30.0,,,50-56,,W. Ellington enters the game for J. Johnson
2:13.0,D. Waiters misses 2-pt shot from 14 ft,,50-56,,
2:12.0,,,50-56,,Defensive rebound by B. Bogdanovic
1:50.0,,,50-56,,B. Bogdanovic misses 2-pt shot from 10 ft
1:47.0,,,50-56,,Offensive rebound by W. Reed
1:45.0,,,50-56,,W. Reed misses 2-pt shot from 1 ft
1:44.0,,,50-56,,Offensive rebound by W. Reed
1:43.0,,,50-56,,W. Reed misses 2-pt shot from 3 ft
1:41.0,Defensive rebound by K. Durant,,50-56,,
1:37.0,R. Westbrook misses 2-pt shot from 10 ft (block by S. Larkin),,50-56,,
1:36.0,Offensive rebound by Team,,50-56,,
1:32.0,S. Ibaka makes 2-pt shot from 18 ft (assist by K. Durant),2,52-56,,
1:12.0,,,52-56,,T. Young misses 2-pt shot from 10 ft
1:11.0,Defensive rebound by R. Westbrook,,52-56,,
1:07.0,Turnover by R. Westbrook (bad pass),,52-56,,
0:47.0,,,52-58,2,T. Young makes 2-pt shot from 7 ft
0:46.0,Turnover by S. Ibaka (bad pass; steal by S. Larkin),,52-58,,
0:23.0,,,52-58,,B. Bogdanovic misses 3-pt shot from 25 ft
0:22.0,,,52-58,,Offensive rebound by T. Young
0:21.0,,,52-60,2,T. Young makes 2-pt shot from 1 ft
0:01.0,R. Westbrook misses 3-pt shot from 25 ft,,52-60,,
0:00.0,,,52-60,,Defensive rebound by W. Reed
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:41.0,S. Ibaka misses 2-pt shot from 10 ft,,52-60,,
11:40.0,,,52-60,,Defensive rebound by B. Lopez
11:21.0,,,52-60,,Turnover by B. Lopez (lost ball)
11:10.0,K. Singler misses 2-pt shot from 2 ft,,52-60,,
11:09.0,Offensive rebound by N. Collison,,52-60,,
11:08.0,Shooting foul by W. Ellington (drawn by N. Collison),,52-60,,
11:08.0,N. Collison misses free throw 1 of 2,,52-60,,
11:08.0,Offensive rebound by Team,,52-60,,
11:08.0,N. Collison makes free throw 2 of 2,1,53-60,,
10:52.0,,,53-62,2,B. Lopez makes 2-pt shot from 9 ft (assist by J. Johnson)
10:33.0,R. Westbrook misses 2-pt shot from 8 ft,,53-62,,
10:32.0,Offensive rebound by N. Collison,,53-62,,
10:27.0,Turnover by K. Durant (bad pass; steal by J. Johnson),,53-62,,
10:23.0,,,53-62,,J. Johnson misses 2-pt shot from 1 ft
10:22.0,Defensive rebound by K. Durant,,53-62,,
10:16.0,K. Durant makes 2-pt shot from 1 ft,2,55-62,,
9:59.0,,,55-65,3,W. Ellington makes 3-pt shot from 24 ft
9:45.0,K. Durant makes 3-pt shot from 24 ft (assist by R. Westbrook),3,58-65,,
9:20.0,,,58-67,2,T. Young makes 2-pt shot from 2 ft (assist by J. Johnson)
9:03.0,S. Ibaka misses 3-pt shot from 25 ft,,58-67,,
9:02.0,Offensive rebound by K. Singler,,58-67,,
9:01.0,K. Singler makes 2-pt shot from 3 ft,2,60-67,,
8:43.0,,,60-67,,Shooting foul by N. Collison (drawn by B. Lopez)
8:43.0,,,60-68,1,B. Lopez makes free throw 1 of 2
8:43.0,,,60-69,1,B. Lopez makes free throw 2 of 2
8:32.0,K. Durant misses 3-pt shot from 24 ft,,60-69,,
8:31.0,,,60-69,,Defensive rebound by Team
8:31.0,D. Waiters enters the game for N. Collison,,60-69,,
8:16.0,,,60-69,,B. Lopez misses 2-pt shot from 6 ft
8:15.0,Defensive rebound by K. Durant,,60-69,,
8:07.0,S. Ibaka makes 2-pt shot from 2 ft (assist by K. Durant),2,62-69,,
7:57.0,,,62-69,,D. Sloan misses 2-pt shot from 12 ft
7:55.0,Defensive rebound by S. Ibaka,,62-69,,
7:47.0,R. Westbrook misses 2-pt shot from 9 ft,,62-69,,
7:46.0,,,62-69,,Defensive rebound by D. Sloan
7:26.0,,,62-69,,J. Johnson misses 2-pt shot from 21 ft
7:25.0,,,62-69,,Offensive rebound by Team
7:25.0,Loose ball foul by K. Durant (drawn by B. Lopez),,62-69,,
7:25.0,Oklahoma City full timeout,,62-69,,
7:18.0,,,62-69,,W. Ellington misses 2-pt shot from 20 ft
7:17.0,,,62-69,,Offensive rebound by B. Lopez
7:15.0,,,62-71,2,B. Lopez makes 2-pt shot at rim
7:02.0,Turnover by S. Ibaka (bad pass; steal by J. Johnson),,62-71,,
6:54.0,,,62-71,,J. Johnson misses 3-pt shot from 24 ft
6:53.0,Defensive rebound by R. Westbrook,,62-71,,
6:50.0,,,62-71,,Personal foul by W. Ellington (drawn by S. Ibaka)
6:41.0,K. Durant misses 3-pt shot from 26 ft,,62-71,,
6:40.0,,,62-71,,Defensive rebound by W. Ellington
6:22.0,,,62-73,2,B. Lopez makes 2-pt shot from 5 ft
6:05.0,K. Singler misses 3-pt shot from 23 ft,,62-73,,
6:04.0,,,62-73,,Defensive rebound by W. Ellington
5:50.0,,,62-73,,Turnover by T. Young (lost ball)
5:50.0,E. Kanter enters the game for S. Ibaka,,62-73,,
5:42.0,R. Westbrook misses 2-pt shot from 1 ft,,62-73,,
5:41.0,,,62-73,,Defensive rebound by W. Ellington
5:35.0,,,62-73,,W. Ellington misses 3-pt shot from 25 ft
5:34.0,Defensive rebound by E. Kanter,,62-73,,
5:23.0,K. Durant makes 2-pt shot from 1 ft (assist by R. Westbrook),2,64-73,,
5:22.0,,,64-73,,Brooklyn full timeout
5:04.0,,,64-75,2,J. Johnson makes 2-pt shot from 13 ft
4:45.0,Shooting foul by J. Johnson (drawn by K. Durant),,64-75,,
4:45.0,K. Durant makes free throw 1 of 2,1,65-75,,
4:45.0,A. Morrow enters the game for K. Singler,,65-75,,
4:45.0,K. Durant misses free throw 2 of 2,,65-75,,
4:43.0,,,65-75,,Defensive rebound by T. Young
4:22.0,,,65-75,,B. Lopez misses 2-pt shot from 6 ft
4:20.0,,,65-75,,Offensive rebound by B. Lopez
4:19.0,,,65-75,,B. Lopez misses 2-pt shot from 1 ft
4:18.0,Defensive rebound by E. Kanter,,65-75,,
4:17.0,Turnover by E. Kanter (lost ball; steal by T. Young),,65-75,,
4:16.0,Personal foul by E. Kanter (drawn by B. Lopez),,65-75,,
4:08.0,,,65-75,,Turnover by D. Sloan (bad pass; steal by K. Durant)
3:58.0,R. Westbrook misses 2-pt shot from 1 ft,,65-75,,
3:57.0,,,65-75,,Defensive rebound by W. Ellington
3:54.0,,,65-75,,Shooting foul by A. Morrow (drawn by D. Sloan)
3:54.0,,,65-76,1,D. Sloan makes free throw 1 of 2
3:54.0,,,65-76,,W. Reed enters the game for B. Lopez
3:54.0,,,65-77,1,D. Sloan makes free throw 2 of 2
3:47.0,K. Durant misses 3-pt shot from 25 ft,,65-77,,
3:46.0,,,65-77,,Defensive rebound by D. Sloan
3:42.0,,,65-77,,Shooting foul by D. Waiters (drawn by D. Sloan)
3:42.0,,,65-78,1,D. Sloan makes free throw 1 of 2
3:42.0,,,65-78,,D. Sloan misses free throw 2 of 2
3:41.0,Defensive rebound by K. Durant,,65-78,,
3:29.0,K. Durant misses 3-pt shot from 24 ft,,65-78,,
3:28.0,,,65-78,,Defensive rebound by W. Reed
3:03.0,,,65-78,,T. Young misses 2-pt shot from 16 ft
3:02.0,Defensive rebound by E. Kanter,,65-78,,
2:55.0,R. Westbrook makes 2-pt shot from 1 ft,2,67-78,,
2:39.0,,,67-78,,T. Young misses 2-pt shot from 7 ft
2:38.0,Defensive rebound by A. Morrow,,67-78,,
2:32.0,R. Westbrook makes 2-pt shot from 2 ft,2,69-78,,
2:27.0,,,69-78,,Brooklyn full timeout
2:27.0,C. Payne enters the game for R. Westbrook,,69-78,,
2:27.0,,,69-78,,B. Bogdanovic enters the game for J. Johnson
2:17.0,,,69-78,,W. Ellington misses 2-pt shot from 17 ft
2:16.0,,,69-78,,Offensive rebound by T. Young
2:03.0,Personal foul by C. Payne (drawn by D. Sloan),,69-78,,
2:03.0,,,69-79,1,D. Sloan makes free throw 1 of 2
2:03.0,,,69-79,,D. Sloan misses free throw 2 of 2
2:02.0,Defensive rebound by E. Kanter,,69-79,,
1:56.0,Shooting foul by W. Reed (drawn by K. Durant),,69-79,,
1:56.0,K. Durant makes free throw 1 of 2,1,70-79,,
1:56.0,,,70-79,,S. Larkin enters the game for D. Sloan
1:56.0,K. Durant makes free throw 2 of 2,1,71-79,,
1:33.0,,,71-79,,W. Ellington misses 3-pt shot from 22 ft
1:32.0,,,71-79,,Offensive rebound by T. Young
1:29.0,,,71-81,2,W. Reed makes 2-pt shot from 1 ft (assist by T. Young)
1:10.0,D. Waiters makes 3-pt shot from 25 ft (assist by C. Payne),3,74-81,,
0:51.0,,,74-81,,S. Larkin misses 2-pt shot from 1 ft
0:50.0,Defensive rebound by E. Kanter,,74-81,,
0:44.0,C. Payne makes 3-pt shot from 22 ft (assist by K. Durant),3,77-81,,
0:35.0,,,77-81,,S. Larkin misses 2-pt shot from 1 ft (block by C. Payne)
0:34.0,,,77-81,,Offensive rebound by Team
0:32.0,,,77-83,2,W. Ellington makes 2-pt shot from 18 ft (assist by B. Bogdanovic)
0:10.0,Turnover by K. Durant (lost ball; steal by W. Ellington),,77-83,,
0:07.0,,,77-85,2,B. Bogdanovic makes 2-pt shot at rim (assist by W. Ellington)
0:01.0,D. Waiters misses 3-pt shot from 24 ft,,77-85,,
0:00.0,Offensive rebound by Team,,77-85,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:43.0,,,77-87,2,W. Ellington makes 2-pt shot from 18 ft
11:25.0,E. Kanter makes 2-pt shot from 3 ft,2,79-87,,
11:14.0,,,79-87,,Shooting foul by E. Kanter (drawn by B. Lopez)
11:14.0,,,79-88,1,B. Lopez makes free throw 1 of 2
11:14.0,,,79-89,1,B. Lopez makes free throw 2 of 2
10:57.0,E. Kanter makes 2-pt shot from 8 ft,2,81-89,,
10:38.0,,,81-91,2,B. Lopez makes 2-pt shot from 19 ft (assist by S. Larkin)
10:16.0,E. Kanter misses 2-pt shot from 16 ft,,81-91,,
10:15.0,,,81-91,,Defensive rebound by T. Young
10:01.0,,,81-91,,W. Ellington misses 2-pt shot from 20 ft
10:00.0,,,81-91,,Offensive rebound by W. Ellington
9:57.0,,,81-91,,S. Larkin misses 3-pt shot from 25 ft
9:56.0,Defensive rebound by R. Westbrook,,81-91,,
9:54.0,,,81-91,,Personal foul by B. Bogdanovic (drawn by R. Westbrook)
9:54.0,K. Durant enters the game for K. Singler,,81-91,,
9:54.0,,,81-91,,J. Johnson enters the game for W. Ellington
9:44.0,R. Westbrook makes 2-pt shot from 1 ft,2,83-91,,
9:21.0,,,83-91,,Shooting foul by D. Waiters (drawn by J. Johnson)
9:21.0,,,83-92,1,J. Johnson makes free throw 1 of 2
9:21.0,,,83-92,,W. Ellington enters the game for T. Young
9:21.0,,,83-93,1,J. Johnson makes free throw 2 of 2
9:06.0,R. Westbrook makes 2-pt shot from 8 ft (assist by K. Durant),2,85-93,,
8:45.0,,,85-93,,B. Lopez misses 2-pt shot from 6 ft
8:43.0,Defensive rebound by R. Westbrook,,85-93,,
8:42.0,Turnover by R. Westbrook (lost ball; steal by S. Larkin),,85-93,,
8:40.0,,,85-96,3,B. Bogdanovic makes 3-pt shot from 25 ft (assist by S. Larkin)
8:24.0,E. Kanter misses 2-pt shot from 2 ft (block by B. Lopez),,85-96,,
8:23.0,Offensive rebound by R. Westbrook,,85-96,,
8:20.0,R. Westbrook misses 2-pt shot from 2 ft (block by S. Larkin),,85-96,,
8:19.0,Offensive rebound by Team,,85-96,,
8:19.0,Official timeout,,85-96,,
8:19.0,S. Ibaka enters the game for C. Payne,,85-96,,
8:19.0,,,85-96,,T. Young enters the game for W. Ellington
8:16.0,K. Durant makes 2-pt shot from 12 ft (assist by R. Westbrook),2,87-96,,
7:53.0,,,87-96,,J. Johnson misses 2-pt shot from 20 ft
7:50.0,,,87-96,,Offensive rebound by B. Bogdanovic
7:42.0,,,87-96,,B. Lopez misses 2-pt shot from 7 ft
7:41.0,Defensive rebound by R. Westbrook,,87-96,,
7:34.0,E. Kanter makes 2-pt shot from 1 ft (assist by R. Westbrook),2,89-96,,
7:18.0,,,89-98,2,S. Larkin makes 2-pt shot from 2 ft (assist by B. Lopez)
7:03.0,,,89-98,,Personal foul by J. Johnson (drawn by K. Durant)
7:03.0,,,89-98,,D. Sloan enters the game for S. Larkin
6:55.0,S. Ibaka makes 2-pt shot at rim (assist by R. Westbrook),2,91-98,,
6:24.0,,,91-98,,D. Sloan misses 2-pt shot from 13 ft
6:23.0,,,91-98,,Offensive rebound by B. Bogdanovic
6:21.0,,,91-98,,Turnover by B. Bogdanovic (bad pass; steal by R. Westbrook)
6:17.0,D. Waiters makes 2-pt shot at rim,2,93-98,,
6:17.0,,,93-98,,Brooklyn full timeout
6:09.0,Personal foul by K. Durant (drawn by J. Johnson),,93-98,,
5:55.0,,,93-98,,J. Johnson misses 2-pt shot from 19 ft
5:54.0,Defensive rebound by S. Ibaka,,93-98,,
5:34.0,S. Ibaka misses 2-pt shot from 19 ft,,93-98,,
5:33.0,,,93-98,,Defensive rebound by T. Young
5:14.0,,,93-98,,T. Young misses 2-pt shot from 6 ft
5:13.0,,,93-98,,Offensive rebound by T. Young
5:12.0,,,93-100,2,T. Young makes 2-pt shot from 1 ft
5:02.0,Offensive foul by E. Kanter,,93-100,,
5:02.0,Turnover by E. Kanter (offensive foul),,93-100,,
4:47.0,,,93-102,2,B. Lopez makes 2-pt shot from 8 ft
4:46.0,Oklahoma City full timeout,,93-102,,
4:36.0,K. Durant misses 3-pt shot from 25 ft,,93-102,,
4:35.0,,,93-102,,Defensive rebound by T. Young
4:10.0,,,93-104,2,T. Young makes 2-pt shot from 10 ft
3:47.0,R. Westbrook misses 3-pt shot from 24 ft,,93-104,,
3:46.0,Offensive rebound by E. Kanter,,93-104,,
3:45.0,E. Kanter misses 2-pt shot from 1 ft,,93-104,,
3:44.0,Offensive rebound by E. Kanter,,93-104,,
3:43.0,S. Ibaka makes 2-pt shot from 1 ft,2,95-104,,
