time,Orlando,pts.away,score,pts.home,Brooklyn
2:36.0,Defensive rebound by N. Vucevic,,19-16,,
2:24.0,V. Oladipo makes 2-pt shot from 14 ft,2,21-16,,
2:16.0,,,21-16,,Shooting foul by A. Gordon (drawn by J. Jack)
2:16.0,Orlando full timeout,,21-16,,
2:16.0,M. Hezonja enters the game for E. Payton,,21-16,,
2:16.0,J. Smith enters the game for N. Vucevic,,21-16,,
2:16.0,,,21-16,,J. Jack misses free throw 1 of 2
2:16.0,,,21-16,,Offensive rebound by Team
2:16.0,,,21-17,1,J. Jack makes free throw 2 of 2
2:10.0,Turnover by M. Hezonja (lost ball; steal by W. Ellington),,21-17,,
2:06.0,,,21-17,,Shooting foul by M. Hezonja (drawn by W. Ellington)
2:06.0,,,21-18,1,W. Ellington makes free throw 1 of 2
2:06.0,,,21-19,1,W. Ellington makes free throw 2 of 2
1:51.0,A. Nicholson makes 2-pt shot from 5 ft,2,23-19,,
1:30.0,,,23-19,,W. Ellington misses 3-pt shot from 25 ft
1:29.0,,,23-19,,Offensive rebound by T. Young
1:12.0,,,23-19,,Turnover by W. Ellington (lost ball; steal by V. Oladipo)
1:08.0,Turnover by M. Hezonja (bad pass),,23-19,,
0:56.0,,,23-21,2,J. Jack makes 2-pt shot from 3 ft
0:37.0,Turnover by A. Gordon (offensive goaltending),,23-21,,
0:29.0,,,23-21,,Shooting foul by V. Oladipo (drawn by J. Jack)
0:29.0,,,23-22,1,J. Jack makes free throw 1 of 2
0:29.0,,,23-23,1,J. Jack makes free throw 2 of 2
0:09.0,M. Hezonja makes 2-pt shot from 17 ft,2,25-23,,
0:01.0,,,25-25,2,A. Bargnani makes 2-pt shot from 3 ft
0:01.0,,,25-25,,Shooting foul by A. Nicholson (drawn by A. Bargnani)
0:01.0,,,25-25,,S. Larkin enters the game for J. Jack
0:01.0,,,25-25,,A. Bargnani misses free throw 1 of 1
0:01.0,Defensive rebound by A. Gordon,,25-25,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
12:00.0,Violation by Team (jump ball),,25-25,,
11:58.0,Turnover by J. Smith (bad pass; steal by M. Brown),,25-25,,
11:58.0,,,25-27,2,M. Brown makes 2-pt shot from 3 ft
11:58.0,,,25-27,,Shooting foul by V. Oladipo (drawn by M. Brown)
11:58.0,,,25-28,1,M. Brown makes free throw 1 of 1
11:58.0,Technical foul by Team,,25-28,,
11:58.0,,,25-29,1,W. Ellington makes technical free throw
11:43.0,J. Smith misses 2-pt shot from 19 ft,,25-29,,
11:42.0,,,25-29,,Defensive rebound by S. Larkin
11:39.0,Personal foul by J. Smith (drawn by B. Lopez),,25-29,,
11:30.0,,,25-29,,W. Ellington misses 2-pt shot from 20 ft
11:29.0,Defensive rebound by Team,,25-29,,
11:11.0,J. Smith misses 2-pt shot from 16 ft,,25-29,,
11:10.0,,,25-29,,Defensive rebound by A. Bargnani
10:56.0,,,25-29,,B. Lopez misses 2-pt shot from 19 ft
10:55.0,Defensive rebound by M. Hezonja,,25-29,,
10:34.0,Shooting foul by M. Brown (drawn by V. Oladipo),,25-29,,
10:34.0,V. Oladipo makes free throw 1 of 2,1,26-29,,
10:34.0,N. Vucevic enters the game for J. Smith,,26-29,,
10:34.0,V. Oladipo makes free throw 2 of 2,1,27-29,,
10:20.0,,,27-29,,A. Bargnani misses 2-pt shot from 10 ft
10:19.0,Defensive rebound by A. Nicholson,,27-29,,
10:10.0,A. Nicholson misses 3-pt shot from 23 ft,,27-29,,
10:09.0,Offensive rebound by A. Gordon,,27-29,,
10:00.0,A. Gordon misses 2-pt shot from 10 ft,,27-29,,
9:59.0,,,27-29,,Defensive rebound by A. Bargnani
9:49.0,,,27-29,,B. Lopez misses 2-pt shot from 18 ft
9:48.0,,,27-29,,Offensive rebound by S. Larkin
9:42.0,,,27-31,2,W. Ellington makes 2-pt shot from 17 ft (assist by S. Larkin)
9:25.0,A. Nicholson makes 3-pt shot from 25 ft (assist by M. Hezonja),3,30-31,,
9:11.0,,,30-31,,Turnover by B. Lopez (lost ball; steal by A. Nicholson)
9:08.0,A. Gordon misses 2-pt shot from 1 ft,,30-31,,
9:07.0,Offensive rebound by M. Hezonja,,30-31,,
9:06.0,M. Hezonja makes 2-pt shot from 1 ft,2,32-31,,
8:57.0,,,32-31,,B. Lopez misses 2-pt shot from 3 ft (block by N. Vucevic)
8:56.0,,,32-31,,Offensive rebound by B. Lopez
8:56.0,Official timeout,,32-31,,
8:56.0,E. Payton enters the game for M. Hezonja,,32-31,,
8:56.0,E. Fournier enters the game for A. Gordon,,32-31,,
8:56.0,T. Harris enters the game for V. Oladipo,,32-31,,
8:56.0,Jump ball: B. Lopez vs. N. Vucevic (A. Bargnani gains possession),,,,Jump ball: B. Lopez vs. N. Vucevic (A. Bargnani gains possession)
8:47.0,Personal foul by N. Vucevic (drawn by B. Lopez),,32-31,,
8:47.0,,,32-32,1,B. Lopez makes free throw 1 of 2
8:47.0,,,32-32,,J. Johnson enters the game for W. Ellington
8:47.0,,,32-33,1,B. Lopez makes free throw 2 of 2
8:26.0,T. Harris makes 2-pt shot from 2 ft (assist by E. Fournier),2,34-33,,
8:12.0,Personal foul by N. Vucevic (drawn by A. Bargnani),,34-33,,
8:12.0,,,34-34,1,A. Bargnani makes free throw 1 of 2
8:12.0,,,34-35,1,A. Bargnani makes free throw 2 of 2
7:55.0,E. Fournier misses 3-pt shot from 27 ft,,34-35,,
7:54.0,Offensive rebound by Team,,34-35,,
7:54.0,,,34-35,,Loose ball foul by J. Johnson (drawn by T. Harris)
7:43.0,N. Vucevic misses 2-pt shot from 8 ft,,34-35,,
7:42.0,,,34-35,,Defensive rebound by B. Lopez
7:33.0,,,34-35,,B. Lopez misses 2-pt shot from 7 ft
7:32.0,Defensive rebound by T. Harris,,34-35,,
7:26.0,Turnover by N. Vucevic (bad pass),,34-35,,
7:12.0,,,34-37,2,S. Larkin makes 2-pt shot from 5 ft (assist by J. Johnson)
6:59.0,T. Harris misses 2-pt shot from 19 ft,,34-37,,
6:58.0,,,34-37,,Defensive rebound by A. Bargnani
6:50.0,,,34-37,,S. Larkin misses 2-pt shot from 17 ft
6:49.0,Defensive rebound by N. Vucevic,,34-37,,
6:43.0,Shooting foul by S. Larkin (drawn by E. Payton),,34-37,,
6:43.0,E. Payton makes free throw 1 of 2,1,35-37,,
6:43.0,C. Frye enters the game for A. Nicholson,,35-37,,
6:43.0,E. Payton misses free throw 2 of 2,,35-37,,
6:43.0,,,35-37,,Defensive rebound by B. Lopez
6:28.0,,,35-37,,B. Lopez misses 2-pt shot from 14 ft
6:27.0,Defensive rebound by T. Harris,,35-37,,
6:11.0,T. Harris makes 3-pt shot from 23 ft (assist by C. Frye),3,38-37,,
5:49.0,,,38-37,,Turnover by A. Bargnani (traveling)
5:49.0,,,38-37,,Brooklyn full timeout
5:49.0,,,38-37,,T. Young enters the game for A. Bargnani
5:49.0,,,38-37,,B. Bogdanovic enters the game for M. Brown
5:29.0,E. Fournier misses 2-pt shot from 9 ft,,38-37,,
5:28.0,,,38-37,,Defensive rebound by T. Young
5:07.0,,,38-39,2,T. Young makes 2-pt shot from 12 ft (assist by S. Larkin)
4:43.0,E. Payton misses 2-pt shot from 18 ft,,38-39,,
4:42.0,,,38-39,,Defensive rebound by B. Lopez
4:33.0,,,38-39,,J. Johnson misses 2-pt shot from 8 ft
4:32.0,Defensive rebound by T. Harris,,38-39,,
4:24.0,C. Frye makes 3-pt shot from 25 ft (assist by E. Payton),3,41-39,,
4:00.0,,,41-39,,S. Larkin misses 3-pt shot from 26 ft
3:59.0,,,41-39,,Offensive rebound by T. Young
3:54.0,,,41-41,2,T. Young makes 2-pt shot from 1 ft
3:42.0,N. Vucevic misses 2-pt shot from 21 ft,,41-41,,
3:41.0,Offensive rebound by E. Payton,,41-41,,
3:41.0,Shooting foul by T. Young (drawn by E. Payton),,41-41,,
3:41.0,E. Payton makes free throw 1 of 2,1,42-41,,
3:41.0,,,42-41,,J. Jack enters the game for S. Larkin
3:41.0,J. Smith enters the game for N. Vucevic,,42-41,,
3:41.0,E. Payton makes free throw 2 of 2,1,43-41,,
3:20.0,,,43-41,,Turnover by B. Bogdanovic (bad pass; steal by E. Payton)
3:16.0,T. Harris makes 2-pt shot from 1 ft (assist by E. Payton),2,45-41,,
3:14.0,,,45-41,,Brooklyn full timeout
2:54.0,,,45-41,,J. Johnson misses 2-pt shot from 5 ft
2:53.0,Defensive rebound by T. Harris,,45-41,,
2:33.0,J. Smith misses 2-pt shot from 1 ft,,45-41,,
2:32.0,,,45-41,,Defensive rebound by T. Young
2:17.0,,,45-43,2,J. Jack makes 2-pt shot from 7 ft (assist by J. Johnson)
2:00.0,J. Smith makes 2-pt shot from 16 ft (assist by E. Payton),2,47-43,,
1:40.0,,,47-43,,T. Young misses 2-pt shot from 5 ft
1:39.0,Defensive rebound by J. Smith,,47-43,,
1:35.0,Turnover by E. Payton (lost ball),,47-43,,
1:35.0,,,47-43,,A. Bargnani enters the game for B. Lopez
1:35.0,Orlando full timeout,,47-43,,
1:23.0,,,47-45,2,T. Young makes 2-pt shot from 7 ft
1:00.0,E. Fournier makes 3-pt shot from 23 ft (assist by T. Harris),3,50-45,,
0:35.0,,,50-45,,J. Jack misses 3-pt shot from 24 ft
0:34.0,Defensive rebound by C. Frye,,50-45,,
0:27.0,E. Payton makes 2-pt shot from 19 ft,2,52-45,,
0:08.0,,,52-45,,J. Jack misses 2-pt shot from 11 ft
0:07.0,Defensive rebound by E. Payton,,52-45,,
0:01.0,E. Fournier misses 3-pt shot from 25 ft,,52-45,,
0:00.0,,,52-45,,Defensive rebound by J. Johnson
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:50.0,T. Harris makes 2-pt shot from 2 ft,2,54-45,,
11:50.0,Shooting foul by B. Lopez (drawn by T. Harris),,54-45,,
11:50.0,T. Harris misses free throw 1 of 1,,54-45,,
11:48.0,,,54-45,,Defensive rebound by T. Young
11:29.0,,,54-45,,Turnover by J. Jack (bad pass; steal by C. Frye)
11:23.0,E. Payton misses 2-pt shot from 13 ft,,54-45,,
11:22.0,Offensive rebound by E. Fournier,,54-45,,
11:21.0,E. Fournier misses 2-pt shot from 3 ft,,54-45,,
11:20.0,,,54-45,,Defensive rebound by J. Jack
11:17.0,,,54-45,,Shooting foul by N. Vucevic (drawn by B. Lopez)
11:17.0,Technical foul by N. Vucevic (drawn by B. Lopez),,54-45,,
11:17.0,,,54-46,1,J. Jack makes technical free throw
11:17.0,,,54-47,1,B. Lopez makes free throw 1 of 2
11:17.0,,,54-47,,B. Lopez misses free throw 2 of 2
11:16.0,Defensive rebound by C. Frye,,54-47,,
10:58.0,N. Vucevic makes 2-pt shot from 8 ft,2,56-47,,
10:40.0,,,56-47,,B. Bogdanovic misses 3-pt shot from 23 ft
10:39.0,Defensive rebound by Team,,56-47,,
10:39.0,,,56-47,,Loose ball foul by T. Young (drawn by C. Frye)
10:20.0,N. Vucevic makes 2-pt shot from 17 ft (assist by C. Frye),2,58-47,,
10:01.0,,,58-50,3,J. Johnson makes 3-pt shot from 24 ft (assist by J. Jack)
9:36.0,C. Frye makes 2-pt shot from 19 ft (assist by T. Harris),2,60-50,,
9:18.0,,,60-52,2,J. Jack makes 2-pt shot from 15 ft
9:00.0,E. Payton makes 2-pt shot at rim (assist by N. Vucevic),2,62-52,,
8:48.0,,,62-52,,Turnover by J. Jack (lost ball; steal by E. Payton)
8:38.0,C. Frye misses 3-pt shot from 23 ft,,62-52,,
8:37.0,,,62-52,,Defensive rebound by J. Jack
8:23.0,,,62-52,,T. Young misses 2-pt shot from 9 ft
8:22.0,Defensive rebound by C. Frye,,62-52,,
8:16.0,E. Payton misses 2-pt shot from 1 ft,,62-52,,
8:15.0,,,62-52,,Defensive rebound by J. Johnson
8:08.0,,,62-55,3,B. Bogdanovic makes 3-pt shot from 24 ft (assist by J. Johnson)
7:52.0,T. Harris misses 3-pt shot from 23 ft,,62-55,,
7:51.0,Offensive rebound by N. Vucevic,,62-55,,
7:39.0,N. Vucevic makes 2-pt shot from 2 ft (assist by C. Frye),2,64-55,,
7:38.0,,,64-55,,Brooklyn full timeout
7:22.0,,,64-55,,J. Johnson misses 2-pt shot from 9 ft
7:21.0,,,64-55,,Offensive rebound by Team
7:14.0,,,64-55,,J. Johnson misses 2-pt shot from 9 ft
7:13.0,Defensive rebound by Team,,64-55,,
6:56.0,E. Payton makes 3-pt shot from 24 ft (assist by N. Vucevic),3,67-55,,
6:41.0,,,67-55,,B. Bogdanovic misses 3-pt shot from 22 ft
6:40.0,Defensive rebound by E. Payton,,67-55,,
6:31.0,N. Vucevic makes 2-pt shot from 17 ft (assist by E. Payton),2,69-55,,
6:12.0,,,69-58,3,B. Bogdanovic makes 3-pt shot from 25 ft (assist by J. Jack)
5:47.0,N. Vucevic makes 2-pt shot from 21 ft (assist by E. Fournier),2,71-58,,
5:32.0,,,71-58,,B. Lopez misses 2-pt shot from 16 ft
5:31.0,Defensive rebound by T. Harris,,71-58,,
5:26.0,,,71-58,,Personal foul by J. Johnson (drawn by E. Payton)
5:26.0,,,71-58,,W. Ellington enters the game for J. Johnson
5:26.0,,,71-58,,S. Larkin enters the game for J. Jack
5:26.0,V. Oladipo enters the game for E. Fournier,,71-58,,
5:13.0,E. Payton misses 2-pt shot from 9 ft,,71-58,,
5:12.0,,,71-58,,Defensive rebound by T. Young
5:07.0,,,71-60,2,B. Bogdanovic makes 2-pt shot from 2 ft (assist by T. Young)
4:49.0,Turnover by V. Oladipo (bad pass; steal by S. Larkin),,71-60,,
4:49.0,Personal foul by C. Frye (drawn by S. Larkin),,71-60,,
4:27.0,,,71-60,,T. Young misses 2-pt shot from 17 ft
4:26.0,Defensive rebound by N. Vucevic,,71-60,,
4:10.0,T. Harris makes 2-pt shot from 3 ft,2,73-60,,
4:01.0,,,73-60,,T. Young misses 2-pt shot from 1 ft
4:00.0,Defensive rebound by Team,,73-60,,
4:00.0,,,73-60,,Loose ball foul by B. Lopez (drawn by N. Vucevic)
3:52.0,Turnover by E. Payton (bad pass; steal by T. Young),,73-60,,
3:48.0,,,73-62,2,B. Bogdanovic makes 2-pt shot from 1 ft
3:40.0,T. Harris makes 2-pt shot at rim (assist by C. Frye),2,75-62,,
3:27.0,A. Nicholson enters the game for C. Frye,,75-62,,
3:27.0,A. Gordon enters the game for T. Harris,,75-62,,
3:27.0,,,75-62,,A. Bargnani enters the game for T. Young
3:18.0,,,75-65,3,W. Ellington makes 3-pt shot from 24 ft (assist by S. Larkin)
2:58.0,N. Vucevic makes 2-pt shot from 18 ft (assist by V. Oladipo),2,77-65,,
2:43.0,,,77-67,2,A. Bargnani makes 2-pt shot from 20 ft (assist by S. Larkin)
2:20.0,E. Payton misses 2-pt shot from 12 ft,,77-67,,
2:19.0,Offensive rebound by N. Vucevic,,77-67,,
2:18.0,N. Vucevic misses 2-pt shot from 2 ft,,77-67,,
2:17.0,Offensive rebound by E. Payton,,77-67,,
2:16.0,E. Payton makes 2-pt shot from 3 ft,2,79-67,,
2:00.0,,,79-69,2,A. Bargnani makes 2-pt shot from 19 ft (assist by S. Larkin)
1:35.0,V. Oladipo makes 3-pt shot from 25 ft (assist by N. Vucevic),3,82-69,,
1:18.0,,,82-69,,A. Bargnani misses 2-pt shot from 18 ft
1:17.0,Defensive rebound by V. Oladipo,,82-69,,
1:05.0,N. Vucevic misses 2-pt shot from 20 ft,,82-69,,
1:04.0,,,82-69,,Defensive rebound by S. Larkin
0:51.0,Orlando full timeout,,82-69,,
0:51.0,,,82-69,,W. Reed enters the game for B. Lopez
0:51.0,J. Smith enters the game for N. Vucevic,,82-69,,
0:51.0,M. Hezonja enters the game for E. Payton,,82-69,,
0:40.0,,,82-69,,Turnover by Team (shot clock)
0:30.0,M. Hezonja misses 2-pt shot from 20 ft,,82-69,,
0:29.0,,,82-69,,Defensive rebound by Team
0:16.0,,,82-69,,Turnover by B. Bogdanovic (bad pass; steal by V. Oladipo)
0:16.0,,,82-69,,Personal foul by B. Bogdanovic (drawn by A. Gordon)
0:16.0,A. Gordon misses free throw 1 of 2,,82-69,,
0:16.0,Offensive rebound by Team,,82-69,,
0:16.0,A. Gordon makes free throw 2 of 2,1,83-69,,
0:08.0,Personal foul by V. Oladipo (drawn by S. Larkin),,83-69,,
0:04.0,,,83-69,,S. Larkin misses 2-pt shot from 8 ft (block by V. Oladipo)
0:03.0,,,83-69,,Offensive rebound by W. Reed
0:01.0,,,83-69,,W. Reed misses 2-pt shot from 1 ft
0:00.0,,,83-69,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:44.0,,,83-69,,W. Ellington misses 3-pt shot from 25 ft
11:43.0,Defensive rebound by A. Gordon,,83-69,,
11:33.0,,,83-69,,Personal foul by M. Brown (drawn by J. Smith)
11:20.0,J. Smith misses 2-pt shot from 20 ft,,83-69,,
11:19.0,,,83-69,,Defensive rebound by S. Larkin
11:13.0,,,83-69,,Turnover by S. Larkin (bad pass; steal by A. Nicholson)
10:59.0,J. Smith makes 2-pt shot from 19 ft (assist by V. Oladipo),2,85-69,,
10:39.0,Violation by V. Oladipo (kicked ball),,85-69,,
10:29.0,,,85-69,,S. Larkin misses 2-pt shot from 15 ft
10:28.0,Defensive rebound by A. Nicholson,,85-69,,
10:14.0,Offensive foul by A. Nicholson,,85-69,,
10:14.0,Turnover by A. Nicholson (offensive foul),,85-69,,
10:01.0,,,85-69,,W. Ellington misses 2-pt shot from 14 ft
9:59.0,Defensive rebound by A. Nicholson,,85-69,,
9:49.0,,,85-69,,Personal foul by S. Larkin (drawn by V. Oladipo)
9:45.0,Shooting foul by S. Larkin (drawn by V. Oladipo),,85-69,,
9:45.0,V. Oladipo makes free throw 1 of 2,1,86-69,,
9:45.0,V. Oladipo makes free throw 2 of 2,1,87-69,,
9:31.0,,,87-69,,M. Brown misses 3-pt shot from 24 ft
9:30.0,Defensive rebound by J. Smith,,87-69,,
9:15.0,M. Hezonja makes 2-pt shot from 2 ft,2,89-69,,
9:06.0,Violation by V. Oladipo (kicked ball),,89-69,,
8:57.0,Personal foul by V. Oladipo (drawn by S. Larkin),,89-69,,
8:57.0,Official timeout,,89-69,,
8:47.0,,,89-71,2,A. Bargnani makes 2-pt shot from 2 ft (assist by S. Larkin)
8:28.0,A. Nicholson makes 2-pt shot from 12 ft,2,91-71,,
8:09.0,Personal foul by A. Gordon (drawn by M. Brown),,91-71,,
8:09.0,,,91-71,,J. Jack enters the game for W. Ellington
8:09.0,,,91-71,,B. Bogdanovic enters the game for M. Brown
7:57.0,,,91-71,,J. Jack misses 3-pt shot from 25 ft
7:56.0,Defensive rebound by J. Smith,,91-71,,
7:40.0,A. Nicholson makes 2-pt shot at rim,2,93-71,,
7:22.0,,,93-73,2,A. Bargnani makes 2-pt shot from 18 ft (assist by J. Jack)
7:04.0,A. Gordon makes 2-pt shot from 2 ft,2,95-73,,
7:04.0,Shooting foul by S. Larkin (drawn by A. Gordon),,95-73,,
7:04.0,A. Gordon makes free throw 1 of 1,1,96-73,,
6:49.0,,,96-73,,Turnover by A. Bargnani (bad pass; steal by V. Oladipo)
6:47.0,Shooting foul by S. Larkin (drawn by V. Oladipo),,96-73,,
6:47.0,,,96-73,,Brooklyn full timeout
6:47.0,,,96-73,,J. Johnson enters the game for S. Larkin
6:47.0,,,96-73,,B. Lopez enters the game for A. Bargnani
6:47.0,V. Oladipo makes free throw 1 of 2,1,97-73,,
6:47.0,V. Oladipo misses free throw 2 of 2,,97-73,,
6:46.0,,,97-73,,Defensive rebound by J. Jack
6:32.0,,,97-73,,Turnover by B. Bogdanovic (bad pass)
6:14.0,A. Nicholson makes 2-pt shot from 5 ft,2,99-73,,
6:03.0,,,99-75,2,J. Jack makes 2-pt shot from 14 ft
5:47.0,J. Smith misses 2-pt shot from 20 ft,,99-75,,
5:46.0,,,99-75,,Defensive rebound by T. Young
5:45.0,,,99-75,,Turnover by T. Young (lost ball; steal by M. Hezonja)
5:27.0,A. Nicholson misses 3-pt shot from 24 ft,,99-75,,
5:26.0,,,99-75,,Defensive rebound by Team
5:09.0,,,99-75,,J. Johnson misses 3-pt shot from 24 ft
5:08.0,,,99-75,,Offensive rebound by J. Johnson
5:06.0,,,99-75,,B. Lopez misses 2-pt shot from 7 ft
5:05.0,Defensive rebound by V. Oladipo,,99-75,,
4:47.0,Turnover by A. Gordon (dbl dribble),,99-75,,
4:38.0,,,99-77,2,B. Lopez makes 2-pt shot from 5 ft (assist by J. Jack)
4:24.0,Offensive foul by J. Smith,,99-77,,
4:24.0,Turnover by J. Smith (offensive foul),,99-77,,
4:15.0,,,99-77,,Turnover by J. Jack (bad pass)
4:05.0,,,99-77,,Personal foul by T. Young (drawn by A. Nicholson)
4:05.0,A. Nicholson makes free throw 1 of 2,1,100-77,,
4:05.0,D. Dedmon enters the game for J. Smith,,100-77,,
4:05.0,S. Napier enters the game for V. Oladipo,,100-77,,
4:05.0,,,100-77,,S. Karasev enters the game for J. Johnson
4:05.0,,,100-77,,D. Sloan enters the game for T. Young
4:05.0,,,100-77,,W. Reed enters the game for B. Lopez
4:05.0,,,100-77,,T. Robinson enters the game for B. Bogdanovic
4:05.0,,,100-77,,W. Ellington enters the game for J. Jack
4:05.0,A. Nicholson misses free throw 2 of 2,,100-77,,
4:03.0,,,100-77,,Defensive rebound by W. Reed
3:43.0,,,100-79,2,W. Reed makes 2-pt shot from 7 ft (assist by S. Karasev)
3:27.0,A. Nicholson misses 3-pt shot from 25 ft,,100-79,,
3:26.0,,,100-79,,Defensive rebound by W. Reed
3:09.0,,,100-79,,W. Ellington misses 2-pt shot from 18 ft
3:08.0,,,100-79,,Offensive rebound by W. Reed
3:07.0,,,100-79,,W. Reed misses 2-pt shot at rim
3:06.0,Defensive rebound by A. Gordon,,100-79,,
2:59.0,S. Napier misses 2-pt shot from 3 ft,,100-79,,
2:57.0,,,100-79,,Defensive rebound by T. Robinson
2:48.0,,,100-79,,Turnover by S. Karasev (bad pass; steal by S. Napier)
2:43.0,M. Hezonja makes 2-pt shot at rim (assist by S. Napier),2,102-79,,
2:24.0,,,102-79,,T. Robinson misses 2-pt shot from 12 ft (block by D. Dedmon)
2:22.0,Defensive rebound by D. Dedmon,,102-79,,
2:12.0,Turnover by A. Nicholson (traveling),,102-79,,
2:12.0,Orlando full timeout,,102-79,,
1:58.0,,,102-82,3,W. Ellington makes 3-pt shot from 25 ft (assist by D. Sloan)
1:45.0,Turnover by S. Napier (bad pass),,102-82,,
1:33.0,,,102-82,,Turnover by D. Sloan (lost ball; steal by S. Napier)
