time,Oklahoma City,pts.away,score,pts.home,Portland
3:12.0,,,47-64,2,A. Crabbe makes 2-pt shot from 21 ft
3:03.0,D. Waiters makes 2-pt shot from 1 ft (assist by N. Collison),2,49-64,,
3:03.0,,,49-64,,Portland full timeout
3:03.0,E. Kanter enters the game for A. Morrow,,49-64,,
3:03.0,R. Foye enters the game for N. Collison,,49-64,,
3:03.0,,,49-64,,C. McCollum enters the game for M. Harkless
3:03.0,,,49-64,,G. Henderson enters the game for A. Crabbe
2:47.0,,,49-64,,D. Lillard misses 2-pt shot from 14 ft
2:47.0,Defensive rebound by Team,,49-64,,
2:29.0,C. Payne makes 3-pt shot from 26 ft,3,52-64,,
2:10.0,,,52-64,,Shooting foul by E. Kanter (drawn by A. Aminu)
2:10.0,,,52-65,1,A. Aminu makes free throw 1 of 2
2:10.0,,,52-66,1,A. Aminu makes free throw 2 of 2
1:56.0,R. Foye misses 2-pt shot at rim (block by M. Plumlee),,52-66,,
1:54.0,Offensive rebound by R. Foye,,52-66,,
1:52.0,R. Foye makes 2-pt shot at rim,2,54-66,,
1:42.0,,,54-68,2,C. McCollum makes 2-pt shot at rim (assist by M. Plumlee)
1:24.0,D. Waiters makes 2-pt shot from 2 ft,2,56-68,,
1:24.0,Shooting foul by G. Henderson (drawn by D. Waiters),,56-68,,
1:24.0,D. Waiters makes free throw 1 of 1,1,57-68,,
1:10.0,,,57-68,,D. Lillard misses 2-pt shot from 18 ft
1:09.0,Defensive rebound by J. Huestis,,57-68,,
1:09.0,,,57-68,,Personal foul by M. Plumlee
1:09.0,J. Huestis misses free throw 1 of 2,,57-68,,
1:09.0,Offensive rebound by Team,,57-68,,
1:09.0,J. Huestis misses free throw 2 of 2,,57-68,,
1:07.0,,,57-68,,Defensive rebound by Team
1:07.0,Loose ball foul by E. Kanter,,57-68,,
1:07.0,,,57-69,1,M. Plumlee makes free throw 1 of 2
1:07.0,,,57-69,,M. Plumlee misses free throw 2 of 2
1:06.0,Defensive rebound by D. Waiters,,57-69,,
0:54.0,Turnover by D. Waiters (lost ball; steal by G. Henderson),,57-69,,
0:47.0,,,57-69,,C. McCollum misses 2-pt shot from 14 ft
0:46.0,Defensive rebound by E. Kanter,,57-69,,
0:36.0,C. Payne misses 3-pt shot from 26 ft,,57-69,,
0:35.0,,,57-69,,Defensive rebound by Team
0:13.0,,,57-72,3,C. McCollum makes 3-pt shot from 25 ft (assist by G. Henderson)
0:00.0,D. Waiters misses 3-pt shot from 25 ft,,57-72,,
0:00.0,Offensive rebound by E. Kanter,,57-72,,
0:00.0,E. Kanter makes 2-pt shot at rim,2,59-72,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:47.0,Personal foul by K. Singler,,59-72,,
11:42.0,,,59-72,,Turnover by C. McCollum (lost ball; steal by D. Waiters)
11:30.0,Turnover by A. Morrow (lost ball; steal by M. Harkless),,59-72,,
11:22.0,,,59-75,3,C. McCollum makes 3-pt shot from 26 ft (assist by D. Lillard)
11:03.0,D. Waiters makes 2-pt shot from 16 ft,2,61-75,,
10:47.0,Personal foul by S. Adams,,61-75,,
10:41.0,,,61-78,3,A. Aminu makes 3-pt shot from 24 ft (assist by D. Lillard)
10:30.0,,,61-78,,Personal foul by C. McCollum
10:18.0,D. Waiters misses 2-pt shot from 3 ft,,61-78,,
10:17.0,Offensive rebound by S. Adams,,61-78,,
10:15.0,S. Adams makes 2-pt shot from 1 ft,2,63-78,,
9:55.0,,,63-80,2,M. Plumlee makes 2-pt shot from 1 ft (assist by C. McCollum)
9:41.0,Turnover by D. Waiters (lost ball; steal by M. Plumlee),,63-80,,
9:37.0,,,63-82,2,M. Harkless makes 2-pt shot at rim (assist by M. Plumlee)
9:37.0,Oklahoma City full timeout,,63-82,,
9:20.0,C. Payne misses 2-pt shot from 16 ft,,63-82,,
9:18.0,,,63-82,,Defensive rebound by M. Harkless
9:11.0,,,63-82,,Shooting foul by K. Singler (drawn by D. Lillard)
9:11.0,,,63-83,1,D. Lillard makes free throw 1 of 2
9:11.0,R. Foye enters the game for C. Payne,,63-83,,
9:11.0,,,63-84,1,D. Lillard makes free throw 2 of 2
8:54.0,A. Morrow makes 3-pt shot from 23 ft,3,66-84,,
8:39.0,,,66-84,,D. Lillard misses 3-pt shot from 27 ft
8:38.0,,,66-84,,Offensive rebound by M. Plumlee
8:32.0,,,66-84,,C. McCollum misses 2-pt shot from 15 ft
8:31.0,Defensive rebound by A. Morrow,,66-84,,
8:23.0,A. Morrow makes 3-pt shot from 27 ft (assist by R. Foye),3,69-84,,
8:03.0,,,69-86,2,A. Aminu makes 2-pt shot from 13 ft
7:43.0,D. Waiters misses 3-pt shot from 22 ft,,69-86,,
7:42.0,,,69-86,,Defensive rebound by D. Lillard
7:34.0,,,69-88,2,M. Plumlee makes 2-pt shot at rim (assist by D. Lillard)
7:15.0,R. Foye misses 3-pt shot from 26 ft,,69-88,,
7:14.0,,,69-88,,Defensive rebound by M. Plumlee
7:01.0,,,69-88,,A. Aminu misses 3-pt shot from 25 ft
6:59.0,Defensive rebound by Team,,69-88,,
6:48.0,R. Foye misses 2-pt shot from 7 ft,,69-88,,
6:47.0,Offensive rebound by S. Adams,,69-88,,
6:47.0,,,69-88,,Personal foul by M. Plumlee
6:36.0,Offensive foul by K. Singler,,69-88,,
6:36.0,Turnover by K. Singler (offensive foul),,69-88,,
6:19.0,,,69-88,,M. Harkless misses 3-pt shot from 25 ft
6:19.0,Defensive rebound by S. Adams,,69-88,,
6:17.0,Technical foul by Team,,69-88,,
6:17.0,,,69-89,1,D. Lillard makes technical free throw
6:00.0,A. Morrow misses 2-pt shot from 6 ft (block by M. Harkless),,69-89,,
5:58.0,,,69-89,,Defensive rebound by M. Harkless
5:57.0,,,69-89,,Turnover by D. Lillard (lost ball; steal by D. Waiters)
5:50.0,D. Waiters makes 2-pt shot at rim (assist by A. Morrow),2,71-89,,
5:26.0,,,71-91,2,C. McCollum makes 2-pt shot from 1 ft (assist by D. Lillard)
5:05.0,R. Foye misses 2-pt shot from 1 ft,,71-91,,
5:05.0,,,71-91,,Defensive rebound by D. Lillard
5:05.0,Personal foul by K. Singler,,71-91,,
5:05.0,E. Kanter enters the game for K. Singler,,71-91,,
5:05.0,C. Payne enters the game for A. Morrow,,71-91,,
4:47.0,,,71-91,,A. Aminu misses 2-pt shot from 21 ft
4:47.0,Defensive rebound by Team,,71-91,,
4:29.0,,,71-91,,Personal block foul by A. Aminu
4:29.0,,,71-91,,A. Crabbe enters the game for C. McCollum
4:29.0,,,71-91,,B. Roberts enters the game for M. Harkless
4:20.0,D. Waiters misses 2-pt shot from 16 ft,,71-91,,
4:18.0,Offensive rebound by S. Adams,,71-91,,
4:18.0,S. Adams misses 2-pt shot at rim,,71-91,,
4:17.0,Offensive rebound by S. Adams,,71-91,,
4:17.0,S. Adams makes 2-pt shot at rim,2,73-91,,
4:04.0,,,73-91,,Turnover by A. Crabbe (traveling)
3:43.0,C. Payne misses 3-pt shot from 26 ft,,73-91,,
3:42.0,,,73-91,,Defensive rebound by A. Aminu
3:36.0,,,73-94,3,A. Crabbe makes 3-pt shot from 26 ft (assist by A. Aminu)
3:18.0,D. Waiters misses 2-pt shot from 2 ft,,73-94,,
3:15.0,,,73-94,,Defensive rebound by B. Roberts
3:09.0,,,73-94,,Turnover by B. Roberts (lost ball; steal by C. Payne)
