time,Minnesota,pts.away,score,pts.home,San Antonio
11:24.0,,,27-28,,Personal foul by M. Ginobili (drawn by G. Dieng)
11:18.0,Turnover by G. Dieng (traveling),,27-28,,
11:06.0,,,27-30,2,P. Mills makes 2-pt shot from 17 ft
10:45.0,G. Dieng makes 2-pt shot at rim (assist by Z. LaVine),2,29-30,,
10:25.0,,,29-33,3,M. Ginobili makes 3-pt shot from 25 ft (assist by J. Simmons)
10:14.0,Turnover by T. Jones (bad pass),,29-33,,
9:52.0,,,29-33,,J. Simmons misses 2-pt shot from 6 ft (block by A. Payne)
9:50.0,Defensive rebound by A. Payne,,29-33,,
9:40.0,A. Payne makes 2-pt shot from 18 ft,2,31-33,,
9:24.0,,,31-33,,J. Simmons misses 2-pt shot at rim (block by A. Payne)
9:23.0,Defensive rebound by Team,,31-33,,
9:11.0,S. Muhammad makes 3-pt shot from 22 ft (assist by T. Jones),3,34-33,,
9:11.0,,,34-33,,San Antonio full timeout
9:11.0,,,34-33,,K. Anderson enters the game for M. Ginobili
9:11.0,,,34-33,,D. Green enters the game for J. Simmons
8:57.0,,,34-33,,Turnover by B. Marjanovic (bad pass; steal by A. Payne)
8:35.0,A. Payne misses 2-pt shot from 16 ft,,34-33,,
8:33.0,,,34-33,,Defensive rebound by B. Marjanovic
8:17.0,,,34-33,,Shooting foul by A. Payne (drawn by B. Marjanovic)
8:17.0,,,34-34,1,B. Marjanovic makes free throw 1 of 2
8:17.0,,,34-34,,T. Parker enters the game for P. Mills
8:17.0,,,34-35,1,B. Marjanovic makes free throw 2 of 2
8:03.0,Z. LaVine misses 3-pt shot from 24 ft,,34-35,,
8:00.0,Offensive rebound by G. Dieng,,34-35,,
7:58.0,Turnover by T. Jones (bad pass; steal by K. Anderson),,34-35,,
7:43.0,Personal foul by G. Dieng (drawn by B. Marjanovic),,34-35,,
7:43.0,,,34-35,,L. Aldridge enters the game for B. Marjanovic
7:35.0,,,34-37,2,D. Green makes 2-pt shot from 17 ft (assist by T. Parker)
7:14.0,S. Muhammad makes 3-pt shot from 24 ft (assist by T. Jones),3,37-37,,
6:59.0,Personal foul by T. Jones (drawn by T. Parker),,37-37,,
6:59.0,K. Towns enters the game for A. Payne,,37-37,,
6:59.0,R. Rubio enters the game for T. Jones,,37-37,,
6:53.0,,,37-39,2,K. Anderson makes 2-pt shot from 6 ft (assist by B. Diaw)
6:41.0,Z. LaVine makes 2-pt shot from 1 ft,2,39-39,,
6:25.0,,,39-39,,T. Parker misses 3-pt shot from 23 ft
6:25.0,Defensive rebound by R. Rubio,,39-39,,
6:20.0,Z. LaVine makes 2-pt shot at rim (assist by R. Rubio),2,41-39,,
6:00.0,Personal foul by K. Towns (drawn by B. Diaw),,41-39,,
6:00.0,,,41-39,,D. West enters the game for B. Diaw
6:00.0,A. Wiggins enters the game for S. Muhammad,,41-39,,
5:54.0,,,41-39,,Shooting foul by R. Rubio (drawn by T. Parker)
5:54.0,Official timeout,,41-39,,
5:54.0,,,41-39,,K. Leonard enters the game for D. Green
5:54.0,K. Garnett enters the game for G. Dieng,,41-39,,
5:54.0,,,41-40,1,T. Parker makes free throw 1 of 2
5:54.0,,,41-41,1,T. Parker makes free throw 2 of 2
5:45.0,Offensive foul by K. Garnett,,41-41,,
5:45.0,Turnover by K. Garnett (offensive foul),,41-41,,
5:45.0,T. Prince enters the game for Z. LaVine,,41-41,,
5:32.0,Personal foul by K. Towns (drawn by D. West),,41-41,,
5:32.0,,,41-42,1,D. West makes free throw 1 of 2
5:32.0,,,41-43,1,D. West makes free throw 2 of 2
5:13.0,R. Rubio misses 3-pt shot from 24 ft,,41-43,,
5:12.0,,,41-43,,Defensive rebound by T. Parker
4:47.0,,,41-43,,L. Aldridge misses 2-pt shot from 17 ft
4:47.0,Defensive rebound by Team,,41-43,,
4:34.0,K. Garnett makes 2-pt shot from 5 ft (assist by R. Rubio),2,43-43,,
4:19.0,Personal foul by K. Garnett (drawn by T. Parker),,43-43,,
4:19.0,,,43-44,1,T. Parker makes free throw 1 of 2
4:19.0,,,43-44,,M. Ginobili enters the game for K. Anderson
4:19.0,,,43-45,1,T. Parker makes free throw 2 of 2
4:10.0,Shooting foul by K. Leonard (drawn by A. Wiggins),,43-45,,
4:10.0,A. Wiggins misses free throw 1 of 2,,43-45,,
4:10.0,Offensive rebound by Team,,43-45,,
4:10.0,A. Wiggins misses free throw 2 of 2,,43-45,,
4:09.0,,,43-45,,Defensive rebound by K. Leonard
3:52.0,,,43-45,,D. West misses 2-pt shot from 5 ft (block by T. Prince)
3:51.0,Defensive rebound by K. Garnett,,43-45,,
3:34.0,K. Garnett misses 2-pt shot from 19 ft,,43-45,,
3:33.0,Offensive rebound by A. Wiggins,,43-45,,
3:30.0,A. Wiggins makes 2-pt shot from 2 ft,2,45-45,,
3:12.0,,,45-45,,L. Aldridge misses 2-pt shot from 8 ft
3:11.0,Defensive rebound by T. Prince,,45-45,,
3:01.0,R. Rubio misses 2-pt shot from 18 ft,,45-45,,
3:00.0,,,45-45,,Defensive rebound by K. Leonard
2:46.0,,,45-45,,M. Ginobili misses 3-pt shot from 25 ft
2:46.0,Defensive rebound by K. Towns,,45-45,,
2:33.0,A. Wiggins misses 2-pt shot from 15 ft,,45-45,,
2:33.0,Offensive rebound by Team,,45-45,,
2:33.0,Minnesota full timeout,,45-45,,
2:33.0,A. Payne enters the game for K. Towns,,45-45,,
2:26.0,R. Rubio misses 3-pt shot from 23 ft,,45-45,,
2:26.0,Offensive rebound by Team,,45-45,,
2:26.0,,,45-45,,Loose ball foul by T. Parker (drawn by A. Wiggins)
2:06.0,K. Garnett misses 2-pt shot from 10 ft,,45-45,,
2:04.0,,,45-45,,Defensive rebound by D. West
2:02.0,,,45-45,,Turnover by M. Ginobili (lost ball)
1:46.0,Turnover by A. Wiggins (lost ball),,45-45,,
1:26.0,,,45-45,,Turnover by L. Aldridge (bad pass; steal by A. Wiggins)
1:20.0,A. Wiggins makes 2-pt shot at rim,2,47-45,,
1:13.0,,,47-45,,Technical foul by Team
1:13.0,,,47-45,,Technical foul by Team
1:13.0,R. Rubio makes technical free throw,1,48-45,,
1:13.0,R. Rubio makes technical free throw,1,49-45,,
1:13.0,T. Jones enters the game for R. Rubio,,49-45,,
1:00.0,,,49-47,2,L. Aldridge makes 2-pt shot at rim (assist by T. Parker)
0:47.0,Shooting foul by L. Aldridge (drawn by A. Wiggins),,49-47,,
0:47.0,A. Wiggins makes free throw 1 of 2,1,50-47,,
0:47.0,A. Wiggins misses free throw 2 of 2,,50-47,,
0:46.0,,,50-47,,Defensive rebound by L. Aldridge
0:33.0,,,50-47,,Shooting foul by A. Payne (drawn by D. West)
0:33.0,,,50-49,2,D. West makes 2-pt shot at rim (assist by T. Parker)
0:33.0,Z. LaVine enters the game for T. Prince,,50-49,,
0:33.0,,,50-50,1,D. West makes free throw 1 of 1
0:17.0,A. Payne makes 2-pt shot from 11 ft,2,52-50,,
0:01.0,,,52-50,,M. Ginobili misses 2-pt shot from 16 ft
0:00.0,,,52-50,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:38.0,,,52-50,,D. West misses 2-pt shot from 14 ft
11:37.0,Defensive rebound by K. Towns,,52-50,,
11:23.0,K. Towns misses 2-pt shot from 18 ft,,52-50,,
11:20.0,Offensive rebound by Team,,52-50,,
11:13.0,A. Wiggins misses 2-pt shot from 6 ft,,52-50,,
11:12.0,,,52-50,,Defensive rebound by L. Aldridge
10:58.0,,,52-50,,Shooting foul by A. Wiggins (drawn by K. Leonard)
10:58.0,,,52-51,1,K. Leonard makes free throw 1 of 2
10:58.0,,,52-52,1,K. Leonard makes free throw 2 of 2
10:46.0,,,52-52,,Personal foul by L. Aldridge (drawn by K. Towns)
10:32.0,K. Garnett makes 2-pt shot from 7 ft (assist by R. Rubio),2,54-52,,
10:08.0,,,54-54,2,K. Leonard makes 2-pt shot from 2 ft
9:56.0,Offensive foul by K. Towns,,54-54,,
9:56.0,Turnover by K. Towns (offensive foul),,54-54,,
9:38.0,,,54-56,2,T. Parker makes 2-pt shot from 4 ft
9:25.0,T. Prince makes 2-pt shot from 20 ft (assist by K. Garnett),2,56-56,,
9:01.0,,,56-56,,T. Parker misses 2-pt shot from 15 ft
9:00.0,Defensive rebound by A. Wiggins,,56-56,,
8:54.0,,,56-56,,Personal foul by K. Leonard (drawn by A. Wiggins)
8:54.0,G. Dieng enters the game for K. Garnett,,56-56,,
8:44.0,A. Wiggins makes 2-pt shot from 19 ft,2,58-56,,
8:22.0,,,58-58,2,K. Leonard makes 2-pt shot from 13 ft
8:12.0,K. Towns makes 2-pt shot from 1 ft (assist by R. Rubio),2,60-58,,
8:12.0,Shooting foul by L. Aldridge (drawn by K. Towns),,60-58,,
8:12.0,,,60-58,,B. Diaw enters the game for L. Aldridge
8:12.0,K. Towns misses free throw 1 of 1,,60-58,,
8:11.0,,,60-58,,Defensive rebound by K. Leonard
7:46.0,,,60-58,,T. Parker misses 2-pt shot from 20 ft
7:45.0,Defensive rebound by K. Towns,,60-58,,
7:29.0,K. Towns makes 2-pt shot at rim (assist by R. Rubio),2,62-58,,
7:29.0,,,62-58,,San Antonio full timeout
7:21.0,,,62-58,,Turnover by T. Parker (bad pass)
7:06.0,Shooting foul by D. Green (drawn by A. Wiggins),,62-58,,
7:06.0,A. Wiggins makes free throw 1 of 2,1,63-58,,
7:06.0,A. Wiggins misses free throw 2 of 2,,63-58,,
7:05.0,,,63-58,,Defensive rebound by K. Leonard
6:50.0,,,63-58,,D. Green misses 3-pt shot from 23 ft
6:49.0,Defensive rebound by G. Dieng,,63-58,,
6:40.0,A. Wiggins misses 2-pt shot from 10 ft,,63-58,,
6:39.0,,,63-58,,Defensive rebound by B. Diaw
6:32.0,Personal foul by R. Rubio (drawn by D. Green),,63-58,,
6:18.0,,,63-58,,K. Leonard misses 2-pt shot from 13 ft
6:16.0,Defensive rebound by G. Dieng,,63-58,,
6:08.0,T. Prince makes 2-pt shot from 19 ft (assist by R. Rubio),2,65-58,,
5:53.0,,,65-60,2,D. Green makes 2-pt shot from 18 ft (assist by T. Parker)
5:32.0,R. Rubio misses 2-pt shot from 18 ft,,65-60,,
5:32.0,,,65-60,,Defensive rebound by Team
5:32.0,Loose ball foul by K. Towns (drawn by D. West),,65-60,,
5:32.0,,,65-60,,P. Mills enters the game for T. Parker
5:32.0,,,65-60,,M. Ginobili enters the game for D. Green
5:32.0,,,65-60,,B. Marjanovic enters the game for D. West
5:32.0,A. Payne enters the game for K. Towns,,65-60,,
5:19.0,,,65-60,,K. Leonard misses 2-pt shot from 20 ft
5:19.0,,,65-60,,Offensive rebound by Team
5:15.0,,,65-62,2,M. Ginobili makes 2-pt shot from 8 ft (assist by P. Mills)
5:03.0,Turnover by G. Dieng (lost ball; steal by P. Mills),,65-62,,
5:01.0,Personal foul by T. Prince (drawn by K. Leonard),,65-62,,
4:47.0,,,65-62,,P. Mills misses 3-pt shot from 23 ft
4:47.0,,,65-62,,Offensive rebound by Team
4:47.0,Loose ball foul by A. Payne (drawn by B. Marjanovic),,65-62,,
4:47.0,,,65-62,,B. Marjanovic misses free throw 1 of 2
4:47.0,,,65-62,,Offensive rebound by Team
4:47.0,,,65-63,1,B. Marjanovic makes free throw 2 of 2
4:33.0,G. Dieng misses 2-pt shot from 17 ft,,65-63,,
4:32.0,,,65-63,,Defensive rebound by K. Leonard
4:27.0,Personal block foul by A. Wiggins (drawn by K. Leonard),,65-63,,
4:27.0,,,65-63,,K. Leonard misses free throw 1 of 2
4:27.0,,,65-63,,Offensive rebound by Team
4:27.0,,,65-64,1,K. Leonard makes free throw 2 of 2
4:08.0,A. Wiggins misses 3-pt shot from 25 ft,,65-64,,
4:06.0,,,65-64,,Defensive rebound by M. Ginobili
4:01.0,Personal foul by G. Dieng (drawn by P. Mills),,65-64,,
4:01.0,,,65-65,1,P. Mills makes free throw 1 of 2
4:01.0,Minnesota full timeout,,65-65,,
4:01.0,,,65-66,1,P. Mills makes free throw 2 of 2
3:35.0,A. Payne misses 2-pt shot from 9 ft,,65-66,,
3:34.0,Offensive rebound by G. Dieng,,65-66,,
3:34.0,G. Dieng makes 2-pt shot at rim,2,67-66,,
3:22.0,,,67-66,,P. Mills misses 3-pt shot from 22 ft
3:21.0,Defensive rebound by A. Wiggins,,67-66,,
3:14.0,Turnover by G. Dieng (offensive foul),,67-66,,
3:14.0,Offensive foul by G. Dieng,,67-66,,
3:14.0,Z. LaVine enters the game for T. Prince,,67-66,,
3:04.0,,,67-66,,M. Ginobili misses 3-pt shot from 24 ft
3:03.0,,,67-66,,Offensive rebound by B. Marjanovic
2:59.0,,,67-68,2,B. Marjanovic makes 2-pt shot from 7 ft
2:39.0,Shooting foul by B. Marjanovic (drawn by G. Dieng),,67-68,,
2:39.0,G. Dieng misses free throw 1 of 2,,67-68,,
2:39.0,Offensive rebound by Team,,67-68,,
2:39.0,G. Dieng misses free throw 2 of 2,,67-68,,
2:38.0,,,67-68,,Defensive rebound by K. Leonard
2:15.0,,,67-70,2,P. Mills makes 2-pt shot from 4 ft
1:49.0,A. Payne makes 3-pt shot from 25 ft (assist by Z. LaVine),3,70-70,,
1:33.0,,,70-70,,P. Mills misses 3-pt shot from 24 ft
1:32.0,,,70-70,,Offensive rebound by M. Ginobili
1:26.0,,,70-72,2,B. Marjanovic makes 2-pt shot from 8 ft (assist by M. Ginobili)
1:09.0,G. Dieng makes 2-pt shot from 7 ft (assist by R. Rubio),2,72-72,,
0:59.0,,,72-72,,Turnover by P. Mills (bad pass; steal by A. Payne)
0:54.0,Z. LaVine misses 2-pt shot from 1 ft (block by B. Diaw),,72-72,,
0:52.0,,,72-72,,Defensive rebound by K. Leonard
0:45.0,,,72-74,2,B. Marjanovic makes 2-pt shot from 3 ft (assist by M. Ginobili)
0:33.0,Turnover by G. Dieng (bad pass; steal by B. Marjanovic),,72-74,,
0:13.0,,,72-76,2,B. Marjanovic makes 2-pt shot from 4 ft (assist by B. Diaw)
0:00.0,Z. LaVine misses 2-pt shot from 22 ft,,72-76,,
0:00.0,,,72-76,,Defensive rebound by M. Ginobili
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:43.0,Offensive foul by G. Dieng,,72-76,,
11:43.0,Turnover by G. Dieng (offensive foul),,72-76,,
11:24.0,,,72-79,3,P. Mills makes 3-pt shot from 24 ft (assist by B. Diaw)
11:14.0,G. Dieng misses 2-pt shot from 18 ft,,72-79,,
11:13.0,,,72-79,,Defensive rebound by K. Anderson
11:05.0,,,72-79,,Turnover by K. Anderson (bad pass; steal by G. Dieng)
10:48.0,Shooting foul by B. Marjanovic (drawn by G. Dieng),,72-79,,
10:48.0,G. Dieng makes free throw 1 of 2,1,73-79,,
10:48.0,,,73-79,,L. Aldridge enters the game for B. Marjanovic
10:48.0,G. Dieng makes free throw 2 of 2,1,74-79,,
10:40.0,,,74-79,,Turnover by B. Diaw (bad pass; steal by G. Dieng)
10:33.0,S. Muhammad makes 2-pt shot from 1 ft (assist by N. Bjelica),2,76-79,,
10:10.0,,,76-81,2,M. Ginobili makes 2-pt shot from 4 ft
9:49.0,Z. LaVine misses 2-pt shot from 18 ft,,76-81,,
9:48.0,,,76-81,,Defensive rebound by L. Aldridge
9:39.0,,,76-83,2,L. Aldridge makes 2-pt shot from 1 ft (assist by M. Ginobili)
9:39.0,Minnesota full timeout,,76-83,,
9:39.0,,,76-83,,T. Parker enters the game for M. Ginobili
9:39.0,,,76-83,,D. West enters the game for B. Diaw
9:39.0,K. Towns enters the game for G. Dieng,,76-83,,
9:22.0,Offensive charge foul by T. Jones,,76-83,,
9:22.0,Turnover by T. Jones (offensive foul),,76-83,,
9:08.0,,,76-85,2,L. Aldridge makes 2-pt shot from 17 ft (assist by T. Parker)
8:53.0,T. Jones makes 2-pt shot from 18 ft,2,78-85,,
8:33.0,,,78-87,2,K. Anderson makes 2-pt shot from 4 ft
8:19.0,T. Jones misses 2-pt shot from 17 ft,,78-87,,
8:18.0,,,78-87,,Defensive rebound by T. Parker
7:56.0,,,78-87,,T. Parker misses 2-pt shot from 20 ft
7:55.0,Defensive rebound by K. Towns,,78-87,,
7:46.0,,,78-87,,Violation by K. Anderson (def goaltending)
7:46.0,Z. LaVine makes 2-pt shot from 3 ft,2,80-87,,
7:35.0,,,80-87,,T. Parker misses 2-pt shot from 3 ft
7:34.0,Defensive rebound by K. Towns,,80-87,,
7:29.0,S. Muhammad misses 2-pt shot from 3 ft (block by K. Anderson),,80-87,,
7:29.0,Offensive rebound by Team,,80-87,,
7:29.0,R. Rubio enters the game for T. Jones,,80-87,,
7:29.0,A. Wiggins enters the game for N. Bjelica,,80-87,,
7:29.0,,,80-87,,D. Green enters the game for P. Mills
7:29.0,,,80-87,,K. Leonard enters the game for D. West
7:23.0,A. Wiggins misses 2-pt shot from 8 ft,,80-87,,
7:21.0,,,80-87,,Defensive rebound by K. Anderson
7:17.0,,,80-87,,Turnover by K. Anderson (bad pass; steal by R. Rubio)
7:13.0,Turnover by R. Rubio (bad pass),,80-87,,
6:53.0,,,80-87,,D. Green misses 3-pt shot from 24 ft
6:52.0,Defensive rebound by R. Rubio,,80-87,,
6:37.0,Shooting foul by L. Aldridge (drawn by Z. LaVine),,80-87,,
6:37.0,Z. LaVine makes free throw 1 of 2,1,81-87,,
6:37.0,,,81-87,,B. Diaw enters the game for K. Anderson
6:37.0,T. Prince enters the game for S. Muhammad,,81-87,,
6:37.0,Z. LaVine makes free throw 2 of 2,1,82-87,,
6:21.0,,,82-89,2,B. Diaw makes 2-pt shot from 6 ft
6:03.0,Z. LaVine makes 2-pt shot from 2 ft,2,84-89,,
5:51.0,,,84-89,,Offensive foul by B. Diaw
5:51.0,,,84-89,,Turnover by B. Diaw (offensive foul)
5:51.0,Official timeout,,84-89,,
5:51.0,,,84-89,,D. West enters the game for L. Aldridge
5:38.0,A. Wiggins makes 2-pt shot from 1 ft,2,86-89,,
5:10.0,,,86-91,2,D. Green makes 2-pt shot from 8 ft (assist by T. Parker)
4:57.0,R. Rubio misses 2-pt shot from 2 ft,,86-91,,
4:56.0,Offensive rebound by K. Towns,,86-91,,
4:56.0,K. Towns makes 2-pt shot at rim,2,88-91,,
4:27.0,,,88-93,2,B. Diaw makes 2-pt shot from 8 ft (assist by D. Green)
4:12.0,Turnover by Z. LaVine (step out of bounds),,88-93,,
3:54.0,,,88-93,,T. Parker misses 3-pt shot from 23 ft
3:52.0,Defensive rebound by A. Wiggins,,88-93,,
3:46.0,Turnover by A. Wiggins (lost ball; steal by D. Green),,88-93,,
3:34.0,,,88-93,,Shooting foul by K. Towns (drawn by K. Leonard)
3:34.0,,,88-94,1,K. Leonard makes free throw 1 of 2
3:34.0,,,88-94,,M. Ginobili enters the game for D. Green
3:34.0,,,88-95,1,K. Leonard makes free throw 2 of 2
3:19.0,T. Prince makes 2-pt shot from 16 ft (assist by K. Towns),2,90-95,,
2:56.0,,,90-95,,D. West misses 2-pt shot from 5 ft
2:55.0,,,90-95,,Offensive rebound by B. Diaw
2:54.0,Technical foul by Team,,90-95,,
2:54.0,,,90-95,,San Antonio full timeout
2:54.0,,,90-96,1,K. Leonard makes technical free throw
2:43.0,,,90-96,,D. West misses 2-pt shot from 18 ft
2:42.0,Defensive rebound by R. Rubio,,90-96,,
2:34.0,A. Wiggins misses 2-pt shot from 20 ft,,90-96,,
2:32.0,,,90-96,,Defensive rebound by M. Ginobili
2:13.0,,,90-96,,M. Ginobili misses 3-pt shot from 24 ft
2:12.0,Defensive rebound by T. Prince,,90-96,,
2:04.0,Shooting foul by K. Leonard (drawn by A. Wiggins),,90-96,,
2:04.0,A. Wiggins misses free throw 1 of 2,,90-96,,
2:04.0,Offensive rebound by Team,,90-96,,
2:04.0,,,90-96,,L. Aldridge enters the game for D. West
2:04.0,A. Wiggins misses free throw 2 of 2,,90-96,,
2:02.0,Offensive rebound by A. Wiggins,,90-96,,
1:59.0,Turnover by A. Wiggins (lost ball; steal by K. Leonard),,90-96,,
1:55.0,,,90-98,2,T. Parker makes 2-pt shot from 2 ft (assist by K. Leonard)
1:55.0,Minnesota full timeout,,90-98,,
1:48.0,Z. LaVine misses 3-pt shot from 25 ft,,90-98,,
1:48.0,,,90-98,,Defensive rebound by Team
