time,Miami,pts.away,score,pts.home,Minnesota
5:47.0,Defensive rebound by C. Bosh,,10-9,,
5:42.0,D. Wade makes 2-pt shot from 1 ft,2,12-9,,
5:23.0,,,12-9,,Turnover by N. Bjelica (traveling)
5:23.0,,,12-9,,K. Martin enters the game for T. Prince
5:23.0,J. Winslow enters the game for C. Bosh,,12-9,,
5:10.0,D. Wade makes 2-pt shot from 19 ft,2,14-9,,
4:56.0,,,14-11,2,K. Towns makes 2-pt shot from 17 ft (assist by R. Rubio)
4:36.0,L. Deng misses 2-pt shot from 5 ft,,14-11,,
4:34.0,,,14-11,,Defensive rebound by K. Towns
4:32.0,,,14-11,,Turnover by R. Rubio (bad pass)
4:15.0,H. Whiteside makes 2-pt shot at rim (assist by D. Wade),2,16-11,,
3:50.0,,,16-11,,N. Bjelica misses 2-pt shot from 4 ft
3:49.0,Defensive rebound by L. Deng,,16-11,,
3:44.0,Shooting foul by K. Martin (drawn by D. Wade),,16-11,,
3:44.0,Miami full timeout,,16-11,,
3:44.0,,,16-11,,Z. LaVine enters the game for R. Rubio
3:44.0,D. Wade makes free throw 1 of 2,1,17-11,,
3:44.0,D. Wade misses free throw 2 of 2,,17-11,,
3:42.0,Offensive rebound by H. Whiteside,,17-11,,
3:39.0,H. Whiteside misses 2-pt shot at rim,,17-11,,
3:38.0,,,17-11,,Defensive rebound by K. Towns
3:28.0,,,17-13,2,K. Martin makes 2-pt shot at rim (assist by K. Towns)
3:08.0,Turnover by J. Winslow (3 sec),,17-13,,
3:08.0,T. Johnson enters the game for D. Wade,,17-13,,
3:08.0,J. McRoberts enters the game for L. Deng,,17-13,,
3:08.0,,,17-13,,G. Dieng enters the game for K. Towns
2:59.0,Personal foul by J. McRoberts (drawn by N. Bjelica),,17-13,,
2:49.0,,,17-13,,K. Martin misses 2-pt shot from 13 ft
2:48.0,Defensive rebound by H. Whiteside,,17-13,,
2:37.0,J. McRoberts misses 2-pt shot from 4 ft,,17-13,,
2:35.0,,,17-13,,Defensive rebound by N. Bjelica
2:28.0,,,17-13,,G. Dieng misses 2-pt shot from 11 ft
2:26.0,Defensive rebound by J. McRoberts,,17-13,,
2:18.0,Turnover by H. Whiteside (bad pass; steal by A. Wiggins),,17-13,,
2:07.0,,,17-13,,K. Martin misses 3-pt shot from 25 ft
2:06.0,,,17-13,,Offensive rebound by A. Wiggins
1:55.0,,,17-13,,G. Dieng misses 2-pt shot from 1 ft
1:54.0,Defensive rebound by H. Whiteside,,17-13,,
1:35.0,G. Dragic makes 3-pt shot from 24 ft (assist by J. McRoberts),3,20-13,,
1:18.0,,,20-13,,A. Wiggins misses 2-pt shot from 17 ft
1:17.0,Defensive rebound by J. McRoberts,,20-13,,
1:04.0,Turnover by H. Whiteside (traveling),,20-13,,
1:04.0,,,20-13,,S. Muhammad enters the game for A. Wiggins
1:04.0,C. Bosh enters the game for H. Whiteside,,20-13,,
0:50.0,,,20-13,,N. Bjelica misses 3-pt shot from 24 ft
0:49.0,Defensive rebound by T. Johnson,,20-13,,
0:42.0,J. Winslow misses 3-pt shot from 23 ft,,20-13,,
0:41.0,,,20-13,,Defensive rebound by G. Dieng
0:33.0,,,20-13,,Z. LaVine misses 2-pt shot from 1 ft
0:32.0,Defensive rebound by T. Johnson,,20-13,,
0:27.0,C. Bosh makes 2-pt shot at rim (assist by J. Winslow),2,22-13,,
0:09.0,,,22-13,,Shooting foul by J. Winslow (drawn by S. Muhammad)
0:09.0,,,22-14,1,S. Muhammad makes free throw 1 of 2
0:09.0,,,22-15,1,S. Muhammad makes free throw 2 of 2
0:04.0,,,22-15,,Personal take foul by Z. LaVine (drawn by G. Dragic)
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:51.0,,,22-15,,Shooting foul by T. Johnson (drawn by K. Martin)
11:51.0,,,22-16,1,K. Martin makes free throw 1 of 2
11:51.0,,,22-17,1,K. Martin makes free throw 2 of 2
11:39.0,Shooting foul by Z. LaVine (drawn by T. Johnson),,22-17,,
11:39.0,T. Johnson makes free throw 1 of 2,1,23-17,,
11:39.0,T. Johnson misses free throw 2 of 2,,23-17,,
11:38.0,,,23-17,,Defensive rebound by Z. LaVine
11:23.0,,,23-17,,Shooting foul by J. Richardson (drawn by K. Martin)
11:23.0,,,23-18,1,K. Martin makes free throw 1 of 2
11:23.0,,,23-19,1,K. Martin makes free throw 2 of 2
11:07.0,C. Bosh misses 2-pt shot from 14 ft,,23-19,,
11:06.0,,,23-19,,Defensive rebound by N. Bjelica
11:01.0,,,23-19,,Turnover by Z. LaVine (bad pass; steal by J. Winslow)
10:56.0,T. Johnson makes 2-pt shot at rim (assist by J. Winslow),2,25-19,,
10:37.0,,,25-19,,Turnover by G. Dieng (lost ball)
10:26.0,C. Bosh makes 2-pt shot from 20 ft (assist by T. Johnson),2,27-19,,
10:10.0,,,27-22,3,Z. LaVine makes 3-pt shot from 24 ft (assist by N. Bjelica)
9:49.0,J. Richardson misses 2-pt shot from 18 ft,,27-22,,
9:48.0,,,27-22,,Defensive rebound by N. Bjelica
9:36.0,,,27-22,,Turnover by G. Dieng (3 sec)
9:14.0,Shooting foul by N. Bjelica (drawn by C. Bosh),,27-22,,
9:14.0,C. Bosh makes free throw 1 of 2,1,28-22,,
9:14.0,,,28-22,,A. Payne enters the game for N. Bjelica
9:14.0,C. Bosh misses free throw 2 of 2,,28-22,,
9:13.0,,,28-22,,Defensive rebound by G. Dieng
8:54.0,,,28-22,,S. Muhammad misses 2-pt shot at rim
8:53.0,,,28-22,,Offensive rebound by A. Payne
8:50.0,,,28-22,,K. Martin misses 2-pt shot from 22 ft
8:49.0,,,28-22,,Offensive rebound by S. Muhammad
8:49.0,Personal foul by J. Richardson (drawn by S. Muhammad),,28-22,,
8:49.0,,,28-22,,Minnesota full timeout
8:40.0,,,28-22,,S. Muhammad misses 2-pt shot from 10 ft
8:39.0,,,28-22,,Offensive rebound by S. Muhammad
8:38.0,,,28-24,2,S. Muhammad makes 2-pt shot at rim
8:21.0,J. Winslow misses 2-pt shot from 4 ft (block by G. Dieng),,28-24,,
8:19.0,,,28-24,,Defensive rebound by G. Dieng
8:07.0,,,28-26,2,A. Payne makes 2-pt shot from 20 ft (assist by S. Muhammad)
7:49.0,C. Bosh misses 2-pt shot at rim,,28-26,,
7:48.0,,,28-26,,Defensive rebound by G. Dieng
7:39.0,,,28-26,,Offensive charge foul by G. Dieng
7:39.0,,,28-26,,Turnover by G. Dieng (offensive foul)
7:39.0,D. Wade enters the game for J. Richardson,,28-26,,
7:26.0,D. Wade makes 2-pt shot from 5 ft,2,30-26,,
7:02.0,,,30-26,,A. Payne misses 2-pt shot from 17 ft
7:01.0,,,30-26,,Offensive rebound by S. Muhammad
7:00.0,,,30-28,2,S. Muhammad makes 2-pt shot at rim
7:00.0,,,30-28,,Shooting foul by C. Bosh (drawn by S. Muhammad)
7:00.0,,,30-28,,R. Rubio enters the game for Z. LaVine
7:00.0,L. Deng enters the game for J. McRoberts,,30-28,,
7:00.0,H. Whiteside enters the game for C. Bosh,,30-28,,
7:00.0,,,30-29,1,S. Muhammad makes free throw 1 of 1
6:43.0,H. Whiteside makes 2-pt shot from 5 ft (assist by T. Johnson),2,32-29,,
6:29.0,,,32-29,,A. Wiggins enters the game for S. Muhammad
6:18.0,,,32-31,2,K. Martin makes 2-pt shot from 19 ft
5:56.0,Turnover by H. Whiteside (lost ball),,32-31,,
5:56.0,,,32-31,,Minnesota full timeout
5:45.0,,,32-31,,Shooting foul by H. Whiteside (drawn by A. Payne)
5:45.0,,,32-32,1,A. Payne makes free throw 1 of 2
5:45.0,G. Dragic enters the game for T. Johnson,,32-32,,
5:45.0,,,32-33,1,A. Payne makes free throw 2 of 2
5:26.0,G. Dragic misses 3-pt shot from 25 ft,,32-33,,
5:24.0,,,32-33,,Defensive rebound by A. Payne
5:13.0,,,32-33,,K. Martin misses 2-pt shot from 20 ft
5:12.0,Defensive rebound by Team,,32-33,,
5:00.0,D. Wade misses 2-pt shot from 20 ft,,32-33,,
4:59.0,,,32-33,,Defensive rebound by A. Payne
4:46.0,,,32-33,,R. Rubio misses 2-pt shot from 18 ft
4:44.0,Defensive rebound by H. Whiteside,,32-33,,
4:24.0,H. Whiteside misses 2-pt shot from 4 ft (block by A. Payne),,32-33,,
4:22.0,Offensive rebound by D. Wade,,32-33,,
4:20.0,D. Wade misses 3-pt shot from 24 ft,,32-33,,
4:16.0,Offensive rebound by J. Winslow,,32-33,,
4:16.0,J. Winslow makes 2-pt shot from 1 ft,2,34-33,,
4:01.0,,,34-33,,Offensive charge foul by A. Payne
4:01.0,,,34-33,,Turnover by A. Payne (offensive foul)
4:01.0,,,34-33,,K. Towns enters the game for G. Dieng
3:51.0,L. Deng misses 3-pt shot from 24 ft,,34-33,,
3:50.0,,,34-33,,Defensive rebound by K. Martin
3:45.0,,,34-33,,K. Martin misses 2-pt shot from 1 ft
3:43.0,Defensive rebound by H. Whiteside,,34-33,,
3:37.0,L. Deng misses 2-pt shot from 1 ft,,34-33,,
3:36.0,Offensive rebound by L. Deng,,34-33,,
3:35.0,L. Deng makes 2-pt shot from 1 ft,2,36-33,,
3:32.0,,,36-33,,Minnesota full timeout
3:32.0,,,36-33,,Violation by Team (delay of game)
3:19.0,,,36-33,,K. Towns misses 2-pt shot from 5 ft
3:18.0,Defensive rebound by H. Whiteside,,36-33,,
3:12.0,G. Dragic makes 2-pt shot from 2 ft,2,38-33,,
3:02.0,,,38-33,,Offensive foul by A. Payne
3:02.0,,,38-33,,Turnover by A. Payne (offensive foul)
3:02.0,,,38-33,,N. Bjelica enters the game for A. Payne
2:50.0,D. Wade misses 2-pt shot from 10 ft,,38-33,,
2:49.0,,,38-33,,Defensive rebound by N. Bjelica
2:41.0,,,38-35,2,A. Wiggins makes 2-pt shot at rim (assist by R. Rubio)
2:25.0,Turnover by H. Whiteside (offensive foul),,38-35,,
2:25.0,Offensive foul by H. Whiteside,,38-35,,
2:25.0,Miami full timeout,,38-35,,
2:25.0,C. Bosh enters the game for H. Whiteside,,38-35,,
2:16.0,,,38-35,,A. Wiggins misses 3-pt shot from 24 ft
2:14.0,,,38-35,,Offensive rebound by N. Bjelica
2:05.0,,,38-35,,A. Wiggins misses 2-pt shot from 18 ft
2:03.0,Defensive rebound by D. Wade,,38-35,,
1:48.0,D. Wade makes 2-pt shot from 2 ft,2,40-35,,
1:28.0,,,40-37,2,K. Martin makes 2-pt shot from 10 ft
1:10.0,C. Bosh makes 2-pt shot at rim (assist by D. Wade),2,42-37,,
1:00.0,,,42-37,,Shooting foul by D. Wade (drawn by R. Rubio)
1:00.0,,,42-38,1,R. Rubio makes free throw 1 of 2
1:00.0,,,42-39,1,R. Rubio makes free throw 2 of 2
0:46.0,D. Wade makes 2-pt shot from 17 ft,2,44-39,,
0:46.0,Shooting foul by A. Wiggins (drawn by D. Wade),,44-39,,
0:46.0,D. Wade misses free throw 1 of 1,,44-39,,
0:45.0,,,44-39,,Defensive rebound by N. Bjelica
0:35.0,,,44-39,,N. Bjelica misses 2-pt shot from 8 ft
0:34.0,Defensive rebound by C. Bosh,,44-39,,
0:18.0,D. Wade makes 2-pt shot from 1 ft,2,46-39,,
0:01.0,,,46-39,,Turnover by R. Rubio (lost ball; steal by D. Wade)
0:00.0,D. Wade makes 3-pt shot from 49 ft,3,49-39,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:47.0,,,49-39,,A. Wiggins misses 2-pt shot from 18 ft
11:46.0,Defensive rebound by D. Wade,,49-39,,
11:29.0,L. Deng misses 2-pt shot from 20 ft,,49-39,,
11:28.0,,,49-39,,Defensive rebound by K. Garnett
11:19.0,,,49-39,,R. Rubio misses 2-pt shot from 19 ft
11:17.0,,,49-39,,Offensive rebound by A. Wiggins
11:17.0,,,49-41,2,A. Wiggins makes 2-pt shot at rim
11:00.0,D. Wade misses 2-pt shot from 18 ft,,49-41,,
10:59.0,Offensive rebound by G. Dragic,,49-41,,
10:55.0,H. Whiteside misses 2-pt shot from 4 ft (block by K. Towns),,49-41,,
10:52.0,Jump ball: K. Towns vs. H. Whiteside (D. Wade gains possession),,,,Jump ball: K. Towns vs. H. Whiteside (D. Wade gains possession)
10:52.0,Offensive rebound by Team,,49-41,,
10:47.0,C. Bosh misses 2-pt shot from 20 ft,,49-41,,
10:46.0,Offensive rebound by G. Dragic,,49-41,,
10:42.0,L. Deng misses 3-pt shot from 22 ft,,49-41,,
10:40.0,,,49-41,,Defensive rebound by Team
10:30.0,,,49-41,,K. Towns misses 2-pt shot from 17 ft
10:29.0,Defensive rebound by L. Deng,,49-41,,
10:21.0,,,49-41,,Personal foul by K. Garnett (drawn by C. Bosh)
10:07.0,H. Whiteside makes 2-pt shot from 1 ft (assist by C. Bosh),2,51-41,,
9:46.0,,,51-41,,K. Towns misses 2-pt shot from 7 ft
9:45.0,Defensive rebound by C. Bosh,,51-41,,
9:42.0,Offensive foul by H. Whiteside,,51-41,,
9:42.0,Turnover by H. Whiteside (offensive foul),,51-41,,
9:29.0,,,51-41,,K. Towns misses 2-pt shot from 18 ft
9:28.0,Defensive rebound by C. Bosh,,51-41,,
9:19.0,G. Dragic makes 2-pt shot from 2 ft,2,53-41,,
9:19.0,,,53-41,,Minnesota full timeout
9:03.0,,,53-41,,A. Wiggins misses 2-pt shot from 6 ft (block by H. Whiteside)
9:02.0,,,53-41,,Offensive rebound by Team
8:55.0,,,53-41,,Shooting foul by G. Dragic (drawn by R. Rubio)
8:55.0,,,53-42,1,R. Rubio makes free throw 1 of 3
8:55.0,,,53-43,1,R. Rubio makes free throw 2 of 3
8:55.0,,,53-44,1,R. Rubio makes free throw 3 of 3
8:35.0,Turnover by H. Whiteside (traveling),,53-44,,
8:22.0,,,53-46,2,K. Towns makes 2-pt shot from 4 ft (assist by R. Rubio)
8:13.0,,,53-46,,Personal foul by K. Garnett (drawn by C. Bosh)
8:03.0,Turnover by G. Dragic (lost ball; steal by R. Rubio),,53-46,,
7:59.0,,,53-48,2,T. Prince makes 2-pt shot from 2 ft (assist by R. Rubio)
7:59.0,Miami full timeout,,53-48,,
7:34.0,C. Bosh makes 2-pt shot from 4 ft,2,55-48,,
7:12.0,,,55-50,2,A. Wiggins makes 2-pt shot from 12 ft
6:53.0,Turnover by D. Wade (lost ball; steal by R. Rubio),,55-50,,
6:46.0,,,55-50,,K. Garnett misses 2-pt shot from 2 ft
6:45.0,Defensive rebound by C. Bosh,,55-50,,
6:39.0,H. Whiteside makes 2-pt shot at rim (assist by L. Deng),2,57-50,,
6:23.0,,,57-50,,Turnover by R. Rubio (bad pass; steal by C. Bosh)
6:21.0,,,57-50,,Personal foul by T. Prince (drawn by D. Wade)
6:21.0,,,57-50,,A. Payne enters the game for K. Garnett
6:21.0,J. Winslow enters the game for C. Bosh,,57-50,,
6:11.0,D. Wade misses 2-pt shot from 1 ft (block by K. Towns),,57-50,,
6:09.0,,,57-50,,Defensive rebound by A. Wiggins
6:06.0,Shooting block foul by L. Deng (drawn by A. Wiggins),,57-50,,
6:06.0,,,57-50,,A. Wiggins misses free throw 1 of 2
6:06.0,,,57-50,,Offensive rebound by Team
6:06.0,,,57-51,1,A. Wiggins makes free throw 2 of 2
5:57.0,G. Dragic makes 2-pt shot at rim,2,59-51,,
5:39.0,,,59-51,,T. Prince misses 2-pt shot from 10 ft
5:39.0,Defensive rebound by Team,,59-51,,
5:39.0,,,59-51,,Loose ball foul by K. Towns (drawn by H. Whiteside)
5:39.0,,,59-51,,K. Martin enters the game for T. Prince
5:31.0,Shooting foul by A. Payne (drawn by L. Deng),,59-51,,
5:31.0,L. Deng makes 2-pt shot from 1 ft,2,61-51,,
5:31.0,L. Deng misses free throw 1 of 1,,61-51,,
5:31.0,,,61-51,,Defensive rebound by K. Towns
5:18.0,,,61-51,,K. Towns misses 2-pt shot from 3 ft
5:16.0,,,61-51,,Offensive rebound by A. Wiggins
5:14.0,,,61-51,,A. Wiggins misses 2-pt shot from 1 ft
5:09.0,Defensive rebound by Team,,61-51,,
5:00.0,G. Dragic misses 3-pt shot from 25 ft,,61-51,,
4:59.0,,,61-51,,Defensive rebound by A. Payne
4:44.0,,,61-51,,A. Wiggins misses 3-pt shot from 25 ft
4:44.0,,,61-51,,Offensive rebound by Team
4:44.0,Loose ball foul by L. Deng (drawn by A. Payne),,61-51,,
4:44.0,,,61-51,,Z. LaVine enters the game for R. Rubio
4:38.0,,,61-51,,Turnover by K. Martin (lost ball; steal by D. Wade)
4:20.0,D. Wade makes 2-pt shot from 11 ft,2,63-51,,
4:08.0,,,63-51,,Turnover by Z. LaVine (bad pass; steal by L. Deng)
4:03.0,G. Dragic makes 2-pt shot from 1 ft,2,65-51,,
4:03.0,,,65-51,,Minnesota full timeout
4:03.0,,,65-51,,G. Dieng enters the game for K. Towns
4:03.0,,,65-51,,N. Bjelica enters the game for A. Payne
4:03.0,,,65-51,,S. Muhammad enters the game for A. Wiggins
4:03.0,T. Johnson enters the game for D. Wade,,65-51,,
3:52.0,,,65-51,,K. Martin misses 3-pt shot from 24 ft
3:51.0,Defensive rebound by H. Whiteside,,65-51,,
3:32.0,G. Dragic makes 2-pt shot from 7 ft,2,67-51,,
3:22.0,,,67-51,,Shooting foul by T. Johnson (drawn by K. Martin)
3:22.0,,,67-52,1,K. Martin makes free throw 1 of 2
3:22.0,,,67-53,1,K. Martin makes free throw 2 of 2
3:16.0,,,67-53,,Personal foul by K. Martin (drawn by L. Deng)
3:16.0,L. Deng makes free throw 1 of 2,1,68-53,,
3:16.0,L. Deng makes free throw 2 of 2,1,69-53,,
3:07.0,,,69-53,,Z. LaVine misses 2-pt shot from 4 ft (block by H. Whiteside)
3:07.0,,,69-53,,Offensive rebound by Team
3:00.0,Shooting block foul by H. Whiteside (drawn by G. Dieng),,69-53,,
3:00.0,,,69-54,1,G. Dieng makes free throw 1 of 2
3:00.0,C. Bosh enters the game for H. Whiteside,,69-54,,
3:00.0,,,69-55,1,G. Dieng makes free throw 2 of 2
2:44.0,L. Deng misses 2-pt shot from 1 ft,,69-55,,
2:43.0,,,69-55,,Defensive rebound by Z. LaVine
2:38.0,,,69-55,,Z. LaVine misses 2-pt shot from 4 ft
2:36.0,,,69-55,,Offensive rebound by S. Muhammad
2:26.0,,,69-55,,G. Dieng misses 2-pt shot from 11 ft
2:24.0,Defensive rebound by L. Deng,,69-55,,
2:19.0,,,69-55,,Shooting block foul by K. Martin (drawn by C. Bosh)
2:19.0,C. Bosh makes free throw 1 of 2,1,70-55,,
2:19.0,J. McRoberts enters the game for L. Deng,,70-55,,
2:19.0,C. Bosh makes free throw 2 of 2,1,71-55,,
2:08.0,,,71-55,,N. Bjelica misses 3-pt shot from 25 ft
2:06.0,Defensive rebound by Team,,71-55,,
1:47.0,G. Dragic misses 2-pt shot from 16 ft,,71-55,,
1:46.0,,,71-55,,Defensive rebound by S. Muhammad
1:35.0,,,71-57,2,S. Muhammad makes 2-pt shot at rim
1:14.0,J. Winslow misses 3-pt shot from 25 ft,,71-57,,
1:13.0,,,71-57,,Defensive rebound by K. Martin
1:01.0,Violation by J. McRoberts (def goaltending),,71-57,,
1:01.0,,,71-59,2,K. Martin makes 2-pt shot at rim (assist by N. Bjelica)
0:50.0,Shooting foul by S. Muhammad (drawn by C. Bosh),,71-59,,
0:50.0,C. Bosh makes free throw 1 of 2,1,72-59,,
0:50.0,C. Bosh makes free throw 2 of 2,1,73-59,,
0:41.0,,,73-59,,Z. LaVine misses 2-pt shot from 1 ft
0:37.0,,,73-59,,Offensive rebound by Team
0:29.0,,,73-61,2,N. Bjelica makes 2-pt shot from 1 ft
0:09.0,J. Winslow misses 2-pt shot from 19 ft,,73-61,,
0:08.0,,,73-61,,Defensive rebound by S. Muhammad
0:01.0,,,73-61,,S. Muhammad misses 2-pt shot from 1 ft (block by J. Winslow)
0:01.0,Defensive rebound by C. Bosh,,73-61,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:37.0,J. Winslow makes 2-pt shot from 8 ft,2,75-61,,
11:22.0,,,75-63,2,S. Muhammad makes 2-pt shot at rim (assist by N. Bjelica)
11:09.0,C. Bosh misses 3-pt shot from 24 ft,,75-63,,
11:08.0,,,75-63,,Defensive rebound by K. Martin
10:50.0,,,75-63,,G. Dieng misses 2-pt shot from 19 ft
10:49.0,Defensive rebound by D. Wade,,75-63,,
10:42.0,Turnover by D. Wade (bad pass; steal by G. Dieng),,75-63,,
10:39.0,Personal foul by T. Johnson (drawn by N. Bjelica),,75-63,,
10:22.0,,,75-63,,N. Bjelica misses 3-pt shot from 25 ft
10:21.0,Defensive rebound by C. Bosh,,75-63,,
10:00.0,C. Bosh misses 2-pt shot from 20 ft,,75-63,,
9:59.0,,,75-63,,Defensive rebound by N. Bjelica
9:53.0,,,75-65,2,S. Muhammad makes 2-pt shot from 12 ft (assist by Z. LaVine)
9:37.0,,,75-65,,Personal foul by K. Martin (drawn by D. Wade)
9:25.0,D. Wade makes 2-pt shot from 17 ft,2,77-65,,
9:07.0,,,77-65,,Turnover by Z. LaVine (traveling)
9:00.0,,,77-65,,Personal foul by G. Dieng (drawn by C. Bosh)
9:00.0,,,77-65,,K. Towns enters the game for G. Dieng
8:53.0,T. Johnson misses 2-pt shot from 9 ft,,77-65,,
8:51.0,Offensive rebound by T. Johnson,,77-65,,
8:49.0,C. Bosh makes 3-pt shot from 24 ft (assist by T. Johnson),3,80-65,,
8:30.0,,,80-65,,Turnover by K. Martin (bad pass; steal by D. Wade)
8:26.0,Shooting foul by K. Martin (drawn by D. Wade),,80-65,,
8:26.0,Miami full timeout,,80-65,,
8:26.0,,,80-65,,A. Wiggins enters the game for K. Martin
8:26.0,D. Wade misses free throw 1 of 2,,80-65,,
8:26.0,Offensive rebound by Team,,80-65,,
8:26.0,D. Wade makes free throw 2 of 2,1,81-65,,
8:14.0,,,81-65,,K. Towns misses 2-pt shot from 20 ft
8:13.0,Defensive rebound by D. Wade,,81-65,,
7:53.0,D. Wade misses 2-pt shot from 16 ft,,81-65,,
7:52.0,,,81-65,,Defensive rebound by K. Towns
7:40.0,,,81-65,,S. Muhammad misses 2-pt shot from 10 ft
7:40.0,Defensive rebound by Team,,81-65,,
7:40.0,,,81-65,,Loose ball foul by K. Towns (drawn by J. McRoberts)
7:40.0,,,81-65,,G. Dieng enters the game for K. Towns
7:40.0,H. Whiteside enters the game for C. Bosh,,81-65,,
7:29.0,Turnover by H. Whiteside (lost ball; steal by G. Dieng),,81-65,,
7:23.0,,,81-67,2,G. Dieng makes 2-pt shot from 3 ft
6:58.0,D. Wade makes 2-pt shot from 1 ft,2,83-67,,
6:44.0,,,83-70,3,N. Bjelica makes 3-pt shot from 24 ft (assist by Z. LaVine)
6:20.0,D. Wade makes 2-pt shot from 20 ft,2,85-70,,
6:00.0,,,85-72,2,G. Dieng makes 2-pt shot at rim (assist by Z. LaVine)
5:39.0,T. Johnson makes 3-pt shot from 24 ft (assist by J. McRoberts),3,88-72,,
5:23.0,,,88-72,,A. Wiggins misses 2-pt shot from 2 ft (block by H. Whiteside)
5:22.0,Defensive rebound by J. Winslow,,88-72,,
5:17.0,J. Winslow makes 2-pt shot from 1 ft,2,90-72,,
5:17.0,Shooting foul by Z. LaVine (drawn by J. Winslow),,90-72,,
5:17.0,,,90-72,,Minnesota full timeout
5:17.0,G. Dragic enters the game for D. Wade,,90-72,,
5:17.0,L. Deng enters the game for J. McRoberts,,90-72,,
5:17.0,,,90-72,,R. Rubio enters the game for Z. LaVine
5:17.0,J. Winslow makes free throw 1 of 1,1,91-72,,
5:06.0,,,91-72,,Offensive charge foul by S. Muhammad
5:06.0,,,91-72,,Turnover by S. Muhammad (offensive foul)
4:50.0,L. Deng misses 3-pt shot from 24 ft,,91-72,,
4:48.0,,,91-72,,Defensive rebound by G. Dieng
4:39.0,,,91-72,,S. Muhammad misses 3-pt shot from 24 ft
4:37.0,Defensive rebound by J. Winslow,,91-72,,
4:33.0,L. Deng misses 2-pt shot from 1 ft (block by S. Muhammad),,91-72,,
4:32.0,,,91-72,,Defensive rebound by Team
4:32.0,,,91-72,,A. Payne enters the game for N. Bjelica
4:15.0,,,91-72,,R. Rubio misses 2-pt shot from 19 ft
