time,Toronto,pts.away,score,pts.home,Boston
4:19.0,D. DeRozan makes 3-pt shot from 23 ft (assist by C. Joseph),3,22-19,,
3:56.0,,,22-19,,E. Turner misses 3-pt shot from 22 ft
3:55.0,Defensive rebound by J. Valanciunas,,22-19,,
3:44.0,,,22-19,,Personal foul by I. Thomas
3:44.0,B. Biyombo enters the game for J. Valanciunas,,22-19,,
3:44.0,T. Ross enters the game for N. Powell,,22-19,,
3:35.0,D. DeRozan misses 2-pt shot from 16 ft,,22-19,,
3:34.0,Offensive rebound by Team,,22-19,,
3:34.0,,,22-19,,Loose ball foul by A. Johnson
3:25.0,D. DeRozan misses 2-pt shot from 15 ft,,22-19,,
3:24.0,Offensive rebound by C. Joseph,,22-19,,
3:15.0,L. Scola misses 3-pt shot from 22 ft,,22-19,,
3:14.0,,,22-19,,Defensive rebound by I. Thomas
3:09.0,,,22-19,,Shooting foul by C. Joseph (drawn by I. Thomas)
3:09.0,,,22-20,1,I. Thomas makes free throw 1 of 2
3:09.0,J. Thompson enters the game for L. Scola,,22-20,,
3:09.0,,,22-21,1,I. Thomas makes free throw 2 of 2
2:46.0,J. Thompson misses 2-pt shot from 19 ft,,22-21,,
2:45.0,,,22-21,,Defensive rebound by E. Turner
2:31.0,,,22-23,2,K. Olynyk makes 2-pt shot from 12 ft
2:11.0,Shooting foul by K. Olynyk (drawn by D. DeRozan),,22-23,,
2:11.0,,,22-23,,Boston full timeout
2:11.0,D. Wright enters the game for C. Joseph,,22-23,,
2:11.0,,,22-23,,T. Rozier enters the game for I. Thomas
2:11.0,D. DeRozan makes free throw 1 of 2,1,23-23,,
2:11.0,D. DeRozan makes free throw 2 of 2,1,24-23,,
1:58.0,,,24-25,2,E. Turner makes 2-pt shot from 7 ft
1:38.0,T. Ross misses 2-pt shot from 17 ft,,24-25,,
1:37.0,,,24-25,,Defensive rebound by A. Johnson
1:29.0,,,24-25,,M. Smart misses 2-pt shot from 11 ft
1:28.0,Defensive rebound by B. Biyombo,,24-25,,
1:06.0,D. DeRozan misses 2-pt shot from 15 ft,,24-25,,
1:05.0,Offensive rebound by B. Biyombo,,24-25,,
1:04.0,Turnover by Team (shot clock),,24-25,,
1:04.0,,,24-25,,T. Zeller enters the game for A. Johnson
0:48.0,,,24-25,,M. Smart misses 2-pt shot from 7 ft
0:47.0,Defensive rebound by B. Biyombo,,24-25,,
0:35.0,T. Ross misses 3-pt shot from 24 ft,,24-25,,
0:34.0,,,24-25,,Defensive rebound by K. Olynyk
0:15.0,,,24-25,,E. Turner misses 2-pt shot from 1 ft
0:15.0,Defensive rebound by J. Thompson,,24-25,,
0:01.0,D. DeRozan misses 2-pt shot from 21 ft,,24-25,,
0:00.0,,,24-25,,Defensive rebound by T. Rozier
0:00.0,,,24-25,,Technical foul by E. Turner
0:00.0,T. Ross makes technical free throw,1,25-25,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:38.0,,,25-25,,Personal foul by K. Olynyk
11:28.0,T. Ross misses 2-pt shot from 16 ft,,25-25,,
11:27.0,Offensive rebound by J. Thompson,,25-25,,
11:21.0,J. Thompson makes 2-pt shot from 4 ft,2,27-25,,
11:08.0,,,27-25,,Shooting foul by J. Thompson (drawn by K. Olynyk)
11:08.0,,,27-25,,K. Olynyk misses free throw 1 of 2
11:08.0,,,27-25,,Offensive rebound by Team
11:08.0,,,27-26,1,K. Olynyk makes free throw 2 of 2
10:54.0,D. Wright misses 2-pt shot from 2 ft,,27-26,,
10:53.0,,,27-26,,Defensive rebound by T. Zeller
10:46.0,,,27-26,,M. Smart misses 2-pt shot from 2 ft (block by B. Biyombo)
10:45.0,Defensive rebound by D. Wright,,27-26,,
10:34.0,C. Joseph misses 2-pt shot from 2 ft,,27-26,,
10:33.0,,,27-26,,Defensive rebound by T. Rozier
10:23.0,,,27-26,,Shooting foul by B. Biyombo (drawn by T. Zeller)
10:23.0,,,27-27,1,T. Zeller makes free throw 1 of 2
10:23.0,,,27-27,,J. Jerebko enters the game for K. Olynyk
10:23.0,,,27-28,1,T. Zeller makes free throw 2 of 2
10:10.0,D. Wright makes 2-pt shot from 1 ft,2,29-28,,
9:54.0,,,29-28,,M. Smart misses 2-pt shot from 5 ft
9:52.0,Defensive rebound by D. Wright,,29-28,,
9:33.0,D. Wright misses 2-pt shot from 13 ft,,29-28,,
9:32.0,Offensive rebound by B. Biyombo,,29-28,,
9:29.0,B. Biyombo misses 2-pt shot from 1 ft (block by J. Jerebko),,29-28,,
9:28.0,,,29-28,,Defensive rebound by A. Bradley
9:21.0,,,29-31,3,T. Rozier makes 3-pt shot from 24 ft (assist by M. Smart)
9:09.0,C. Joseph makes 2-pt shot from 1 ft,2,31-31,,
8:55.0,,,31-31,,M. Smart misses 3-pt shot from 25 ft
8:54.0,Defensive rebound by D. Wright,,31-31,,
8:42.0,B. Biyombo misses 2-pt shot from 6 ft,,31-31,,
8:41.0,,,31-31,,Defensive rebound by A. Bradley
8:33.0,,,31-31,,A. Bradley misses 2-pt shot from 16 ft
8:32.0,Defensive rebound by Team,,31-31,,
8:32.0,Official timeout,,31-31,,
8:20.0,B. Biyombo misses 2-pt shot from 2 ft,,31-31,,
8:19.0,,,31-31,,Defensive rebound by T. Rozier
8:04.0,,,31-33,2,T. Rozier makes 2-pt shot from 2 ft
8:04.0,,,31-33,,Shooting foul by C. Joseph (drawn by T. Rozier)
8:04.0,,,31-33,,T. Rozier misses free throw 1 of 1
8:04.0,Defensive rebound by B. Biyombo,,31-33,,
7:40.0,C. Joseph misses 2-pt shot from 2 ft,,31-33,,
7:39.0,Offensive rebound by Team,,31-33,,
7:39.0,D. DeRozan enters the game for C. Joseph,,31-33,,
7:31.0,D. Wright misses 2-pt shot from 2 ft,,31-33,,
7:31.0,,,31-33,,Defensive rebound by T. Zeller
7:18.0,,,31-33,,Turnover by T. Rozier (lost ball; steal by T. Ross)
7:12.0,T. Ross makes 2-pt shot at rim,2,33-33,,
6:44.0,,,33-33,,J. Jerebko misses 3-pt shot from 24 ft
6:43.0,Defensive rebound by B. Biyombo,,33-33,,
6:33.0,Turnover by D. Wright (bad pass),,33-33,,
6:33.0,,,33-33,,J. Sullinger enters the game for T. Zeller
6:17.0,L. Scola enters the game for J. Thompson,,33-33,,
6:17.0,J. Valanciunas enters the game for B. Biyombo,,33-33,,
6:17.0,,,33-33,,Boston full timeout
6:17.0,,,33-33,,I. Thomas enters the game for M. Smart
6:12.0,,,33-35,2,J. Sullinger makes 2-pt shot from 20 ft (assist by T. Rozier)
5:43.0,D. Wright makes 2-pt shot from 2 ft,2,35-35,,
5:32.0,,,35-35,,Shooting foul by L. Scola (drawn by J. Jerebko)
5:32.0,,,35-35,,J. Jerebko misses free throw 1 of 2
5:32.0,,,35-35,,Offensive rebound by Team
5:32.0,,,35-35,,E. Turner enters the game for T. Rozier
5:32.0,,,35-36,1,J. Jerebko makes free throw 2 of 2
5:13.0,J. Valanciunas makes 2-pt shot from 3 ft,2,37-36,,
5:02.0,,,37-36,,Turnover by J. Sullinger (bad pass)
5:02.0,,,37-36,,A. Johnson enters the game for J. Jerebko
4:51.0,T. Ross makes 2-pt shot from 15 ft (assist by L. Scola),2,39-36,,
4:37.0,,,39-38,2,A. Johnson makes 2-pt shot from 1 ft (assist by E. Turner)
4:20.0,J. Valanciunas makes 2-pt shot from 11 ft,2,41-38,,
4:08.0,,,41-38,,J. Sullinger misses 2-pt shot from 22 ft
4:07.0,,,41-38,,Offensive rebound by A. Johnson
4:06.0,,,41-38,,A. Johnson misses 2-pt shot from 2 ft
4:05.0,Defensive rebound by D. Wright,,41-38,,
3:57.0,T. Ross misses 3-pt shot from 23 ft,,41-38,,
3:56.0,,,41-38,,Defensive rebound by J. Sullinger
3:47.0,,,41-38,,I. Thomas misses 2-pt shot from 2 ft
3:46.0,,,41-38,,Offensive rebound by Team
3:40.0,Personal foul by T. Ross,,41-38,,
3:40.0,,,41-39,1,J. Sullinger makes free throw 1 of 2
3:40.0,,,41-40,1,J. Sullinger makes free throw 2 of 2
3:23.0,Turnover by L. Scola (lost ball; steal by E. Turner),,41-40,,
3:15.0,,,41-40,,I. Thomas misses 2-pt shot from 2 ft (block by J. Valanciunas)
3:14.0,,,41-40,,Offensive rebound by A. Johnson
3:14.0,Personal foul by T. Ross,,41-40,,
3:14.0,,,41-40,,A. Johnson misses free throw 1 of 2
3:14.0,,,41-40,,Offensive rebound by Team
3:14.0,,,41-40,,A. Johnson misses free throw 2 of 2
3:14.0,Defensive rebound by L. Scola,,41-40,,
3:06.0,Toronto full timeout,,41-40,,
3:06.0,C. Joseph enters the game for D. Wright,,41-40,,
2:55.0,J. Valanciunas makes 2-pt shot from 7 ft,2,43-40,,
2:43.0,,,43-40,,A. Bradley misses 2-pt shot from 20 ft
2:43.0,Defensive rebound by Team,,43-40,,
2:28.0,T. Ross misses 2-pt shot from 1 ft (block by E. Turner),,43-40,,
2:27.0,Offensive rebound by Team,,43-40,,
2:27.0,,,43-40,,K. Olynyk enters the game for J. Sullinger
2:20.0,C. Joseph misses 3-pt shot from 25 ft,,43-40,,
2:18.0,,,43-40,,Defensive rebound by E. Turner
2:12.0,,,43-42,2,A. Bradley makes 2-pt shot from 2 ft (assist by E. Turner)
2:04.0,C. Joseph misses 2-pt shot from 2 ft,,43-42,,
2:03.0,Offensive rebound by C. Joseph,,43-42,,
1:57.0,,,43-42,,Personal foul by A. Johnson
1:46.0,D. DeRozan misses 2-pt shot from 7 ft,,43-42,,
1:45.0,,,43-42,,Defensive rebound by A. Johnson
1:38.0,,,43-44,2,A. Bradley makes 2-pt shot at rim (assist by E. Turner)
1:16.0,Turnover by L. Scola (traveling),,43-44,,
1:00.0,,,43-46,2,I. Thomas makes 2-pt shot from 4 ft
0:57.0,Toronto full timeout,,43-46,,
0:46.0,T. Ross makes 3-pt shot from 23 ft,3,46-46,,
0:35.0,,,46-46,,E. Turner misses 2-pt shot from 8 ft
0:34.0,Defensive rebound by J. Valanciunas,,46-46,,
0:25.0,Jump ball: D. DeRozan vs. E. Turner (T. Ross gains possession),,,,Jump ball: D. DeRozan vs. E. Turner (T. Ross gains possession)
0:05.0,D. DeRozan misses 3-pt shot from 25 ft,,46-46,,
0:05.0,,,46-46,,Defensive rebound by A. Bradley
0:00.0,,,46-46,,I. Thomas misses 3-pt shot from 25 ft
0:00.0,,,46-46,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:36.0,J. Valanciunas misses 2-pt shot from 17 ft,,46-46,,
11:35.0,,,46-46,,Defensive rebound by A. Johnson
11:20.0,,,46-46,,J. Sullinger misses 2-pt shot from 19 ft
11:19.0,Defensive rebound by N. Powell,,46-46,,
11:05.0,N. Powell misses 3-pt shot from 24 ft,,46-46,,
11:04.0,,,46-46,,Defensive rebound by A. Johnson
10:59.0,,,46-48,2,E. Turner makes 2-pt shot from 1 ft (assist by A. Johnson)
10:47.0,L. Scola misses 3-pt shot from 25 ft,,46-48,,
10:45.0,,,46-48,,Defensive rebound by J. Sullinger
10:33.0,,,46-48,,J. Sullinger misses 2-pt shot from 19 ft
10:32.0,Defensive rebound by L. Scola,,46-48,,
10:17.0,C. Joseph misses 2-pt shot from 2 ft,,46-48,,
10:16.0,,,46-48,,Defensive rebound by A. Johnson
10:10.0,,,46-50,2,E. Turner makes 2-pt shot from 8 ft (assist by A. Johnson)
9:53.0,,,46-50,,Def 3 sec tech foul by A. Johnson
9:53.0,D. DeRozan makes technical free throw,1,47-50,,
9:47.0,,,47-50,,Personal foul by A. Bradley
9:38.0,C. Joseph misses 2-pt shot from 5 ft,,47-50,,
9:37.0,,,47-50,,Defensive rebound by A. Bradley
9:25.0,,,47-50,,E. Turner misses 2-pt shot from 3 ft (block by N. Powell)
9:23.0,,,47-50,,Offensive rebound by E. Turner
9:18.0,,,47-50,,I. Thomas misses 3-pt shot from 23 ft
9:18.0,,,47-50,,Offensive rebound by J. Sullinger
9:18.0,,,47-50,,Shooting foul by N. Powell (drawn by I. Thomas)
9:18.0,,,47-51,1,I. Thomas makes free throw 1 of 2
9:18.0,,,47-52,1,I. Thomas makes free throw 2 of 2
9:01.0,Turnover by D. DeRozan (lost ball; steal by A. Johnson),,47-52,,
8:57.0,,,47-52,,Offensive charge foul by A. Johnson
8:57.0,,,47-52,,Turnover by A. Johnson (offensive foul)
8:38.0,Turnover by L. Scola (lost ball; steal by I. Thomas),,47-52,,
8:31.0,,,47-52,,I. Thomas misses 3-pt shot from 25 ft
8:30.0,Defensive rebound by N. Powell,,47-52,,
8:24.0,C. Joseph makes 2-pt shot from 1 ft (assist by N. Powell),2,49-52,,
8:15.0,,,49-52,,A. Bradley misses 3-pt shot from 26 ft
8:14.0,Defensive rebound by C. Joseph,,49-52,,
8:08.0,Jump ball: N. Powell vs. E. Turner (I. Thomas gains possession),,,,Jump ball: N. Powell vs. E. Turner (I. Thomas gains possession)
8:04.0,,,49-54,2,A. Bradley makes 2-pt shot from 2 ft (assist by I. Thomas)
8:02.0,Toronto full timeout,,49-54,,
8:02.0,T. Ross enters the game for N. Powell,,49-54,,
7:53.0,Offensive foul by J. Valanciunas,,49-54,,
7:53.0,Turnover by J. Valanciunas (offensive foul),,49-54,,
7:42.0,,,49-54,,Turnover by I. Thomas (traveling)
7:22.0,J. Valanciunas misses 2-pt shot at rim (block by A. Johnson),,49-54,,
7:21.0,Offensive rebound by J. Valanciunas,,49-54,,
7:17.0,C. Joseph misses 3-pt shot from 25 ft,,49-54,,
7:16.0,,,49-54,,Defensive rebound by J. Sullinger
7:10.0,,,49-54,,Shooting foul by T. Ross (drawn by E. Turner)
7:10.0,,,49-55,1,E. Turner makes free throw 1 of 2
7:10.0,,,49-56,1,E. Turner makes free throw 2 of 2
6:54.0,,,49-56,,Personal foul by I. Thomas
6:46.0,Turnover by J. Valanciunas (3 sec),,49-56,,
6:37.0,,,49-56,,J. Sullinger misses 2-pt shot from 19 ft
6:36.0,Defensive rebound by T. Ross,,49-56,,
6:23.0,J. Valanciunas makes 2-pt shot from 2 ft,2,51-56,,
6:23.0,Shooting foul by J. Sullinger (drawn by J. Valanciunas),,51-56,,
6:23.0,J. Valanciunas misses free throw 1 of 1,,51-56,,
6:20.0,Offensive rebound by Team,,51-56,,
6:06.0,D. DeRozan makes 2-pt shot from 7 ft,2,53-56,,
5:52.0,,,53-56,,E. Turner misses 2-pt shot from 13 ft
5:51.0,,,53-56,,Offensive rebound by Team
5:51.0,,,53-56,,M. Smart enters the game for A. Bradley
5:51.0,,,53-56,,K. Olynyk enters the game for J. Sullinger
5:51.0,B. Biyombo enters the game for J. Valanciunas,,53-56,,
5:43.0,,,53-58,2,A. Johnson makes 2-pt shot at rim (assist by E. Turner)
5:27.0,T. Ross misses 3-pt shot from 24 ft,,53-58,,
5:26.0,,,53-58,,Defensive rebound by A. Johnson
5:18.0,Personal foul by L. Scola,,53-58,,
5:07.0,,,53-60,2,E. Turner makes 2-pt shot from 13 ft
4:46.0,L. Scola makes 3-pt shot from 23 ft (assist by C. Joseph),3,56-60,,
4:29.0,,,56-62,2,E. Turner makes 2-pt shot from 13 ft
4:08.0,T. Ross misses 2-pt shot from 4 ft,,56-62,,
4:07.0,,,56-62,,Defensive rebound by K. Olynyk
4:01.0,,,56-62,,Shooting foul by B. Biyombo (drawn by I. Thomas)
4:01.0,,,56-62,,I. Thomas misses free throw 1 of 2
4:01.0,,,56-62,,Offensive rebound by Team
4:01.0,,,56-62,,I. Thomas misses free throw 2 of 2
4:01.0,Defensive rebound by B. Biyombo,,56-62,,
3:45.0,Shooting foul by A. Johnson (drawn by D. DeRozan),,56-62,,
3:45.0,D. DeRozan makes free throw 1 of 2,1,57-62,,
3:45.0,,,57-62,,J. Jerebko enters the game for A. Johnson
3:45.0,D. DeRozan makes free throw 2 of 2,1,58-62,,
3:36.0,,,58-64,2,I. Thomas makes 2-pt shot from 1 ft
3:19.0,Turnover by D. DeRozan (lost ball; steal by I. Thomas),,58-64,,
3:12.0,,,58-67,3,E. Turner makes 3-pt shot from 23 ft (assist by K. Olynyk)
3:10.0,Toronto full timeout,,58-67,,
3:10.0,J. Thompson enters the game for L. Scola,,58-67,,
2:58.0,Offensive foul by J. Thompson,,58-67,,
2:58.0,Turnover by J. Thompson (offensive foul),,58-67,,
2:58.0,,,58-67,,Boston full timeout
2:37.0,,,58-67,,K. Olynyk misses 2-pt shot from 8 ft
2:36.0,Defensive rebound by T. Ross,,58-67,,
2:28.0,T. Ross misses 3-pt shot from 23 ft,,58-67,,
2:27.0,,,58-67,,Defensive rebound by M. Smart
2:13.0,,,58-69,2,J. Jerebko makes 2-pt shot at rim (assist by E. Turner)
1:57.0,,,58-69,,T. Rozier enters the game for I. Thomas
1:57.0,D. Wright enters the game for C. Joseph,,58-69,,
1:50.0,Toronto full timeout,,58-69,,
1:43.0,T. Ross misses 2-pt shot from 11 ft,,58-69,,
1:40.0,Offensive rebound by D. Wright,,58-69,,
1:23.0,Turnover by D. Wright (lost ball; steal by E. Turner),,58-69,,
1:09.0,,,58-69,,Turnover by J. Jerebko (traveling)
0:52.0,D. DeRozan makes 2-pt shot from 18 ft,2,60-69,,
0:38.0,,,60-69,,E. Turner misses 2-pt shot from 13 ft
0:37.0,Defensive rebound by D. Wright,,60-69,,
0:27.0,D. DeRozan misses 3-pt shot from 24 ft,,60-69,,
0:26.0,,,60-69,,Defensive rebound by Team
0:05.0,,,60-69,,K. Olynyk misses 3-pt shot from 25 ft
0:04.0,Defensive rebound by B. Biyombo,,60-69,,
0:00.0,Shooting foul by M. Smart (drawn by D. DeRozan),,60-69,,
0:00.0,D. DeRozan misses free throw 1 of 3,,60-69,,
0:00.0,Offensive rebound by Team,,60-69,,
0:00.0,D. DeRozan makes free throw 2 of 3,1,61-69,,
0:00.0,D. DeRozan makes free throw 3 of 3,1,62-69,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:45.0,,,62-69,,K. Olynyk misses 2-pt shot from 10 ft
11:45.0,Defensive rebound by T. Ross,,62-69,,
11:41.0,,,62-69,,Shooting block foul by M. Smart (drawn by T. Ross)
11:41.0,T. Ross misses free throw 1 of 2,,62-69,,
11:41.0,Offensive rebound by Team,,62-69,,
11:41.0,T. Ross makes free throw 2 of 2,1,63-69,,
11:30.0,,,63-69,,A. Bradley misses 2-pt shot from 17 ft
11:29.0,Defensive rebound by B. Biyombo,,63-69,,
11:08.0,J. Johnson makes 3-pt shot from 24 ft (assist by B. Biyombo),3,66-69,,
10:49.0,,,66-69,,T. Rozier misses 2-pt shot from 1 ft
10:48.0,Defensive rebound by J. Thompson,,66-69,,
10:39.0,D. Wright misses 2-pt shot from 1 ft,,66-69,,
10:38.0,Offensive rebound by B. Biyombo,,66-69,,
10:38.0,Shooting foul by M. Smart (drawn by B. Biyombo),,66-69,,
10:38.0,B. Biyombo misses free throw 1 of 2,,66-69,,
10:38.0,Offensive rebound by Team,,66-69,,
10:38.0,,,66-69,,J. Sullinger enters the game for J. Jerebko
10:38.0,B. Biyombo misses free throw 2 of 2,,66-69,,
10:38.0,,,66-69,,Defensive rebound by A. Bradley
10:16.0,,,66-69,,T. Rozier misses 3-pt shot from 24 ft
10:15.0,Defensive rebound by B. Biyombo,,66-69,,
9:54.0,T. Ross misses 2-pt shot from 15 ft,,66-69,,
9:53.0,,,66-69,,Defensive rebound by A. Bradley
9:41.0,,,66-69,,A. Bradley misses 2-pt shot from 20 ft
9:40.0,Defensive rebound by J. Thompson,,66-69,,
9:31.0,D. Wright misses 2-pt shot from 1 ft,,66-69,,
9:30.0,Offensive rebound by J. Thompson,,66-69,,
9:25.0,T. Ross makes 2-pt shot from 7 ft (assist by J. Thompson),2,68-69,,
9:25.0,,,68-69,,Boston full timeout
9:25.0,,,68-69,,I. Thomas enters the game for K. Olynyk
9:25.0,,,68-69,,A. Johnson enters the game for T. Rozier
9:08.0,,,68-69,,I. Thomas misses 2-pt shot from 8 ft
9:07.0,Defensive rebound by D. Wright,,68-69,,
8:54.0,T. Ross misses 2-pt shot from 18 ft,,68-69,,
8:53.0,,,68-69,,Defensive rebound by I. Thomas
8:33.0,,,68-69,,J. Sullinger misses 2-pt shot from 3 ft (block by J. Johnson)
8:32.0,,,68-69,,Offensive rebound by M. Smart
8:30.0,,,68-69,,M. Smart misses 2-pt shot from 9 ft
8:27.0,Defensive rebound by D. Wright,,68-69,,
8:20.0,,,68-69,,Personal foul by I. Thomas
8:06.0,Shooting foul by M. Smart (drawn by J. Johnson),,68-69,,
8:06.0,J. Johnson misses free throw 1 of 2,,68-69,,
8:06.0,Offensive rebound by Team,,68-69,,
8:06.0,J. Johnson misses free throw 2 of 2,,68-69,,
8:06.0,,,68-69,,Defensive rebound by A. Johnson
7:47.0,,,68-71,2,M. Smart makes 2-pt shot from 1 ft (assist by A. Johnson)
7:31.0,D. Wright misses 2-pt shot from 1 ft (block by A. Johnson),,68-71,,
7:30.0,,,68-71,,Defensive rebound by J. Sullinger
7:25.0,,,68-71,,I. Thomas misses 2-pt shot from 1 ft (block by J. Thompson)
7:23.0,Defensive rebound by J. Thompson,,68-71,,
7:15.0,T. Ross misses 2-pt shot from 16 ft,,68-71,,
7:15.0,Offensive rebound by J. Thompson,,68-71,,
7:12.0,J. Thompson misses 2-pt shot from 1 ft,,68-71,,
7:11.0,Offensive rebound by J. Johnson,,68-71,,
7:01.0,D. Wright makes 2-pt shot from 2 ft,2,70-71,,
6:43.0,,,70-74,3,I. Thomas makes 3-pt shot from 23 ft (assist by J. Sullinger)
6:17.0,J. Johnson misses 2-pt shot from 3 ft,,70-74,,
6:17.0,,,70-74,,Defensive rebound by Team
6:04.0,,,70-76,2,A. Johnson makes 2-pt shot at rim (assist by I. Thomas)
5:40.0,D. Wright misses 3-pt shot from 25 ft,,70-76,,
5:38.0,Offensive rebound by B. Biyombo,,70-76,,
5:27.0,J. Thompson makes 2-pt shot from 2 ft (assist by J. Johnson),2,72-76,,
5:12.0,,,72-79,3,I. Thomas makes 3-pt shot from 24 ft (assist by J. Sullinger)
4:51.0,J. Johnson misses 3-pt shot from 23 ft,,72-79,,
4:51.0,,,72-79,,Defensive rebound by A. Johnson
4:45.0,,,72-79,,I. Thomas misses 3-pt shot from 24 ft
4:43.0,Defensive rebound by J. Thompson,,72-79,,
4:37.0,Toronto full timeout,,72-79,,
4:37.0,D. DeRozan enters the game for D. Wright,,72-79,,
4:37.0,C. Joseph enters the game for J. Johnson,,72-79,,
4:29.0,J. Thompson makes 2-pt shot from 2 ft (assist by C. Joseph),2,74-79,,
4:29.0,Shooting foul by J. Sullinger (drawn by J. Thompson),,74-79,,
4:29.0,J. Thompson misses free throw 1 of 1,,74-79,,
4:29.0,,,74-79,,Defensive rebound by A. Bradley
4:13.0,,,74-82,3,A. Bradley makes 3-pt shot from 23 ft (assist by A. Johnson)
3:56.0,,,74-82,,Personal foul by J. Sullinger
3:56.0,C. Joseph makes free throw 1 of 2,1,75-82,,
3:56.0,,,75-82,,E. Turner enters the game for M. Smart
3:56.0,C. Joseph misses free throw 2 of 2,,75-82,,
3:55.0,,,75-82,,Defensive rebound by E. Turner
3:45.0,,,75-82,,Turnover by A. Johnson (bad pass)
3:23.0,C. Joseph misses 2-pt shot from 3 ft,,75-82,,
3:22.0,,,75-82,,Defensive rebound by A. Johnson
3:07.0,,,75-82,,I. Thomas misses 3-pt shot from 24 ft
3:07.0,,,75-82,,Offensive rebound by J. Sullinger
3:06.0,,,75-82,,J. Sullinger misses 2-pt shot from 1 ft
3:05.0,Defensive rebound by J. Thompson,,75-82,,
2:55.0,D. DeRozan misses 2-pt shot from 1 ft,,75-82,,
2:54.0,,,75-82,,Defensive rebound by A. Johnson
