time,Minnesota,pts.away,score,pts.home,Sacramento
6:18.0,,,17-14,,B. McLemore misses 2-pt shot from 2 ft
6:17.0,,,17-14,,Offensive rebound by K. Koufos
6:06.0,,,17-14,,R. Gay misses 2-pt shot from 11 ft
6:06.0,Defensive rebound by K. Garnett,,17-14,,
5:51.0,K. Garnett makes 2-pt shot from 21 ft (assist by A. Wiggins),2,19-14,,
5:35.0,,,19-16,2,R. Gay makes 2-pt shot from 18 ft (assist by R. Rondo)
5:21.0,A. Wiggins misses 2-pt shot from 8 ft (block by W. Cauley-Stein),,19-16,,
5:21.0,Offensive rebound by Team,,19-16,,
5:21.0,A. Payne enters the game for K. Garnett,,19-16,,
5:19.0,Turnover by K. Towns (traveling),,19-16,,
4:56.0,,,19-16,,K. Koufos misses 2-pt shot from 9 ft
4:55.0,Defensive rebound by A. Payne,,19-16,,
4:37.0,,,19-16,,Personal foul by R. Rondo (drawn by K. Martin)
4:24.0,K. Towns misses 2-pt shot from 8 ft,,19-16,,
4:23.0,,,19-16,,Defensive rebound by K. Koufos
4:13.0,,,19-16,,R. Rondo misses 2-pt shot from 17 ft
4:13.0,,,19-16,,Offensive rebound by K. Koufos
4:09.0,,,19-16,,R. Rondo misses 2-pt shot from 2 ft (block by K. Towns)
4:05.0,Defensive rebound by K. Towns,,19-16,,
4:02.0,Turnover by K. Martin (palming),,19-16,,
4:02.0,,,19-16,,O. Casspi enters the game for W. Cauley-Stein
3:44.0,,,19-16,,R. Rondo misses 2-pt shot from 5 ft (block by K. Towns)
3:43.0,,,19-16,,Offensive rebound by R. Gay
3:38.0,,,19-19,3,O. Casspi makes 3-pt shot from 26 ft
3:24.0,A. Payne makes 2-pt shot at rim (assist by Z. LaVine),2,21-19,,
3:09.0,,,21-21,2,K. Koufos makes 2-pt shot from 6 ft (assist by R. Rondo)
2:58.0,A. Wiggins misses 3-pt shot from 25 ft,,21-21,,
2:56.0,,,21-21,,Defensive rebound by O. Casspi
2:52.0,,,21-21,,Turnover by R. Gay (lost ball)
2:52.0,,,21-21,,Sacramento full timeout
2:52.0,,,21-21,,M. Belinelli enters the game for R. Gay
2:52.0,,,21-21,,D. Collison enters the game for B. McLemore
2:52.0,G. Dieng enters the game for K. Towns,,21-21,,
2:52.0,Violation by Team (delay of game),,21-21,,
2:36.0,G. Dieng misses 2-pt shot from 9 ft,,21-21,,
2:35.0,,,21-21,,Defensive rebound by M. Belinelli
2:22.0,,,21-23,2,O. Casspi makes 2-pt shot at rim (assist by R. Rondo)
1:55.0,Shooting foul by O. Casspi (drawn by A. Wiggins),,21-23,,
1:55.0,A. Wiggins makes free throw 1 of 2,1,22-23,,
1:55.0,A. Miller enters the game for Z. LaVine,,22-23,,
1:55.0,A. Wiggins misses free throw 2 of 2,,22-23,,
1:50.0,Offensive rebound by A. Payne,,22-23,,
1:50.0,A. Payne misses 2-pt shot at rim,,22-23,,
1:48.0,Offensive rebound by A. Payne,,22-23,,
1:47.0,A. Payne makes 2-pt shot from 5 ft,2,24-23,,
1:35.0,,,24-23,,M. Belinelli misses 2-pt shot from 19 ft
1:35.0,,,24-23,,Offensive rebound by Team
1:35.0,S. Muhammad enters the game for K. Martin,,24-23,,
1:35.0,,,24-23,,Q. Acy enters the game for K. Koufos
1:26.0,,,24-23,,O. Casspi misses 2-pt shot from 11 ft
1:26.0,,,24-23,,Offensive rebound by Team
1:18.0,,,24-25,2,M. Belinelli makes 2-pt shot from 20 ft (assist by R. Rondo)
1:18.0,,,24-25,,Shooting foul by A. Wiggins (drawn by M. Belinelli)
1:18.0,,,24-25,,M. Belinelli misses free throw 1 of 1
1:18.0,Defensive rebound by G. Dieng,,24-25,,
1:00.0,S. Muhammad makes 3-pt shot from 25 ft (assist by A. Payne),3,27-25,,
0:57.0,,,27-25,,Shooting foul by S. Muhammad (drawn by Q. Acy)
0:57.0,,,27-26,1,Q. Acy makes free throw 1 of 2
0:57.0,T. Prince enters the game for A. Wiggins,,27-26,,
0:57.0,,,27-26,,Q. Acy misses free throw 2 of 2
0:57.0,Defensive rebound by G. Dieng,,27-26,,
0:39.0,Turnover by A. Payne (lost ball; steal by D. Collison),,27-26,,
0:35.0,,,27-28,2,O. Casspi makes 2-pt shot at rim (assist by M. Belinelli)
0:25.0,,,27-28,,Personal foul by Q. Acy (drawn by A. Miller)
0:25.0,A. Miller makes free throw 1 of 2,1,28-28,,
0:25.0,A. Miller makes free throw 2 of 2,1,29-28,,
0:05.0,,,29-28,,Turnover by D. Collison (bad pass; steal by G. Dieng)
0:00.0,A. Payne misses 2-pt shot from 3 ft,,29-28,,
0:00.0,Offensive rebound by Team,,29-28,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:39.0,T. Prince misses 2-pt shot from 20 ft,,29-28,,
11:38.0,,,29-28,,Defensive rebound by W. Cauley-Stein
11:16.0,,,29-30,2,O. Casspi makes 2-pt shot from 1 ft (assist by M. Belinelli)
10:48.0,T. Prince misses 2-pt shot from 16 ft,,29-30,,
10:47.0,,,29-30,,Defensive rebound by Team
10:32.0,,,29-32,2,M. Belinelli makes 2-pt shot from 21 ft (assist by D. Collison)
10:20.0,S. Muhammad misses 3-pt shot from 25 ft,,29-32,,
10:20.0,,,29-32,,Defensive rebound by O. Casspi
10:11.0,,,29-34,2,O. Casspi makes 2-pt shot from 3 ft (assist by D. Collison)
9:53.0,Shooting foul by M. Belinelli (drawn by G. Dieng),,29-34,,
9:53.0,G. Dieng makes free throw 1 of 2,1,30-34,,
9:53.0,D. Rudez enters the game for A. Payne,,30-34,,
9:53.0,G. Dieng makes free throw 2 of 2,1,31-34,,
9:42.0,,,31-34,,Offensive foul by O. Casspi
9:42.0,,,31-34,,Turnover by O. Casspi (offensive foul)
9:28.0,S. Muhammad makes 3-pt shot from 24 ft (assist by A. Miller),3,34-34,,
9:10.0,,,34-34,,Turnover by O. Casspi (step out of bounds)
9:04.0,Offensive foul by D. Rudez,,34-34,,
9:04.0,Turnover by D. Rudez (offensive foul),,34-34,,
8:47.0,,,34-34,,M. Belinelli misses 2-pt shot from 12 ft
8:46.0,Defensive rebound by G. Dieng,,34-34,,
8:38.0,G. Dieng makes 2-pt shot from 19 ft (assist by A. Miller),2,36-34,,
8:18.0,,,36-34,,Turnover by M. Belinelli (bad pass; steal by A. Miller)
8:01.0,D. Rudez makes 3-pt shot from 25 ft (assist by A. Miller),3,39-34,,
7:59.0,,,39-34,,Sacramento full timeout
7:59.0,,,39-34,,R. Gay enters the game for Q. Acy
7:42.0,,,39-34,,D. Collison misses 3-pt shot from 25 ft
7:40.0,,,39-34,,Offensive rebound by W. Cauley-Stein
7:40.0,,,39-34,,W. Cauley-Stein misses 2-pt shot from 1 ft
7:39.0,Defensive rebound by S. Muhammad,,39-34,,
7:32.0,,,39-34,,Violation by W. Cauley-Stein (def goaltending)
7:32.0,A. Miller makes 2-pt shot from 1 ft,2,41-34,,
7:21.0,,,41-34,,R. Rondo enters the game for O. Casspi
7:08.0,,,41-37,3,D. Collison makes 3-pt shot from 24 ft (assist by R. Rondo)
6:44.0,A. Miller makes 3-pt shot from 26 ft (assist by G. Dieng),3,44-37,,
6:18.0,,,44-37,,D. Collison misses 3-pt shot from 23 ft
6:17.0,Defensive rebound by T. Prince,,44-37,,
6:06.0,S. Muhammad makes 2-pt shot from 5 ft,2,46-37,,
5:53.0,Personal foul by D. Rudez (drawn by R. Gay),,46-37,,
5:53.0,Official timeout,,46-37,,
5:53.0,,,46-37,,B. McLemore enters the game for W. Cauley-Stein
5:53.0,,,46-37,,K. Koufos enters the game for D. Collison
5:42.0,,,46-37,,Turnover by B. McLemore (traveling)
5:34.0,,,46-37,,Personal foul by M. Belinelli (drawn by T. Prince)
5:17.0,A. Miller makes 2-pt shot from 17 ft (assist by T. Prince),2,48-37,,
5:05.0,,,48-40,3,M. Belinelli makes 3-pt shot from 24 ft (assist by R. Rondo)
4:49.0,,,48-40,,Def 3 sec tech foul by K. Koufos
4:49.0,A. Miller makes technical free throw,1,49-40,,
4:49.0,A. Wiggins enters the game for S. Muhammad,,49-40,,
4:41.0,Offensive foul by G. Dieng,,49-40,,
4:41.0,Turnover by G. Dieng (offensive foul),,49-40,,
4:34.0,Personal foul by A. Miller (drawn by M. Belinelli),,49-40,,
4:34.0,Z. LaVine enters the game for A. Miller,,49-40,,
4:32.0,Personal foul by A. Wiggins (drawn by K. Koufos),,49-40,,
4:19.0,,,49-40,,R. Gay misses 2-pt shot from 17 ft
4:18.0,,,49-40,,Offensive rebound by K. Koufos
4:14.0,,,49-40,,R. Gay misses 2-pt shot from 16 ft
4:13.0,Defensive rebound by Z. LaVine,,49-40,,
4:06.0,D. Rudez misses 3-pt shot from 26 ft,,49-40,,
4:05.0,Offensive rebound by G. Dieng,,49-40,,
4:02.0,T. Prince misses 2-pt shot from 7 ft (block by K. Koufos),,49-40,,
4:00.0,,,49-40,,Defensive rebound by R. Gay
3:54.0,,,49-43,3,M. Belinelli makes 3-pt shot from 27 ft (assist by R. Rondo)
3:42.0,Shooting foul by R. Gay (drawn by A. Wiggins),,49-43,,
3:42.0,A. Wiggins makes free throw 1 of 2,1,50-43,,
3:42.0,K. Garnett enters the game for G. Dieng,,50-43,,
3:42.0,K. Martin enters the game for T. Prince,,50-43,,
3:42.0,K. Towns enters the game for D. Rudez,,50-43,,
3:42.0,A. Wiggins makes free throw 2 of 2,1,51-43,,
3:23.0,,,51-45,2,M. Belinelli makes 2-pt shot from 19 ft (assist by R. Rondo)
3:06.0,A. Wiggins misses 2-pt shot from 21 ft,,51-45,,
3:06.0,,,51-45,,Defensive rebound by R. Rondo
3:02.0,,,51-45,,M. Belinelli misses 3-pt shot from 24 ft
3:01.0,Defensive rebound by A. Wiggins,,51-45,,
2:54.0,Turnover by A. Wiggins (bad pass; steal by B. McLemore),,51-45,,
2:35.0,Personal foul by K. Garnett (drawn by R. Gay),,51-45,,
2:35.0,Minnesota full timeout,,51-45,,
2:35.0,,,51-45,,O. Casspi enters the game for R. Gay
2:24.0,,,51-45,,Turnover by M. Belinelli (bad pass; steal by K. Garnett)
2:20.0,Turnover by Z. LaVine (lost ball),,51-45,,
2:08.0,,,51-45,,B. McLemore misses 2-pt shot from 22 ft
2:07.0,,,51-45,,Offensive rebound by K. Koufos
1:51.0,,,51-45,,B. McLemore misses 2-pt shot from 20 ft
1:50.0,Defensive rebound by Z. LaVine,,51-45,,
1:37.0,K. Martin misses 3-pt shot from 25 ft,,51-45,,
1:36.0,,,51-45,,Defensive rebound by O. Casspi
1:28.0,,,51-45,,R. Rondo misses 3-pt shot from 24 ft
1:27.0,Defensive rebound by Z. LaVine,,51-45,,
1:12.0,A. Wiggins makes 2-pt shot from 6 ft,2,53-45,,
0:56.0,,,53-47,2,K. Koufos makes 2-pt shot from 3 ft (assist by R. Rondo)
0:42.0,Turnover by K. Garnett (offensive foul),,53-47,,
0:42.0,Offensive foul by K. Garnett,,53-47,,
0:26.0,,,53-47,,B. McLemore misses 3-pt shot from 24 ft
0:25.0,Defensive rebound by K. Garnett,,53-47,,
0:02.0,Turnover by K. Towns (bad pass),,53-47,,
0:02.0,,,53-47,,Sacramento full timeout
0:02.0,T. Prince enters the game for A. Wiggins,,53-47,,
0:00.0,,,53-47,,O. Casspi misses 3-pt shot from 33 ft
0:00.0,,,53-47,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:38.0,Turnover by K. Garnett (lost ball; steal by K. Koufos),,53-47,,
11:28.0,,,53-47,,R. Gay misses 2-pt shot from 16 ft
11:27.0,Defensive rebound by Team,,53-47,,
11:27.0,,,53-47,,Loose ball foul by Q. Acy (drawn by K. Garnett)
11:03.0,Turnover by Team (shot clock),,53-47,,
10:48.0,,,53-47,,R. Gay misses 2-pt shot from 6 ft
10:47.0,,,53-47,,Offensive rebound by K. Koufos
10:46.0,,,53-49,2,K. Koufos makes 2-pt shot from 5 ft
10:29.0,Shooting foul by K. Koufos (drawn by Z. LaVine),,53-49,,
10:29.0,Z. LaVine makes free throw 1 of 2,1,54-49,,
10:29.0,Z. LaVine makes free throw 2 of 2,1,55-49,,
10:11.0,,,55-49,,Q. Acy misses 3-pt shot from 24 ft
10:11.0,Defensive rebound by K. Martin,,55-49,,
10:06.0,,,55-49,,Personal foul by Q. Acy (drawn by K. Garnett)
9:59.0,Z. LaVine misses 3-pt shot from 25 ft,,55-49,,
9:58.0,,,55-49,,Defensive rebound by K. Koufos
9:45.0,,,55-49,,R. Rondo misses 2-pt shot from 16 ft
9:45.0,Defensive rebound by K. Garnett,,55-49,,
9:38.0,K. Martin misses 2-pt shot from 2 ft,,55-49,,
9:37.0,,,55-49,,Defensive rebound by K. Koufos
9:28.0,,,55-49,,R. Rondo misses 2-pt shot from 15 ft
9:28.0,Defensive rebound by Z. LaVine,,55-49,,
9:27.0,,,55-49,,Personal foul by R. Rondo (drawn by Z. LaVine)
9:15.0,K. Towns misses 2-pt shot from 19 ft,,55-49,,
9:15.0,,,55-49,,Defensive rebound by Q. Acy
8:58.0,,,55-49,,R. Rondo misses 2-pt shot from 6 ft
8:57.0,Defensive rebound by K. Towns,,55-49,,
8:48.0,Z. LaVine misses 2-pt shot from 6 ft,,55-49,,
8:45.0,Offensive rebound by Z. LaVine,,55-49,,
8:44.0,Z. LaVine makes 2-pt shot from 4 ft,2,57-49,,
8:31.0,,,57-49,,B. McLemore misses 2-pt shot from 16 ft
8:30.0,,,57-49,,Offensive rebound by K. Koufos
8:28.0,,,57-49,,Turnover by K. Koufos (lost ball)
8:16.0,Z. LaVine makes 2-pt shot from 19 ft,2,59-49,,
8:15.0,,,59-49,,Sacramento full timeout
8:15.0,,,59-49,,M. Belinelli enters the game for B. McLemore
8:15.0,,,59-49,,O. Casspi enters the game for Q. Acy
8:00.0,,,59-49,,R. Gay misses 2-pt shot from 4 ft
8:00.0,Defensive rebound by K. Garnett,,59-49,,
7:51.0,K. Martin misses 2-pt shot from 14 ft,,59-49,,
7:50.0,,,59-49,,Defensive rebound by K. Koufos
7:39.0,,,59-49,,M. Belinelli misses 2-pt shot from 9 ft
7:38.0,Defensive rebound by K. Towns,,59-49,,
7:25.0,Z. LaVine misses 3-pt shot from 25 ft,,59-49,,
7:24.0,,,59-49,,Defensive rebound by O. Casspi
7:15.0,,,59-51,2,R. Rondo makes 2-pt shot from 3 ft
7:03.0,A. Wiggins misses 2-pt shot from 5 ft,,59-51,,
7:01.0,Offensive rebound by A. Wiggins,,59-51,,
7:01.0,A. Wiggins makes 2-pt shot from 2 ft,2,61-51,,
6:45.0,,,61-53,2,M. Belinelli makes 2-pt shot from 20 ft (assist by R. Rondo)
6:32.0,K. Towns makes 2-pt shot from 20 ft (assist by Z. LaVine),2,63-53,,
6:24.0,,,63-55,2,R. Rondo makes 2-pt shot from 2 ft
6:24.0,,,63-55,,Shooting foul by Z. LaVine (drawn by R. Rondo)
6:24.0,,,63-55,,W. Cauley-Stein enters the game for K. Koufos
6:24.0,,,63-56,1,R. Rondo makes free throw 1 of 1
6:03.0,Z. LaVine makes 2-pt shot from 22 ft,2,65-56,,
5:46.0,,,65-56,,R. Gay misses 2-pt shot from 7 ft
5:45.0,Defensive rebound by K. Towns,,65-56,,
5:35.0,D. Rudez enters the game for K. Garnett,,65-56,,
5:33.0,Turnover by D. Rudez (illegal screen),,65-56,,
5:22.0,,,65-58,2,R. Rondo makes 2-pt shot from 17 ft
5:01.0,K. Martin misses 3-pt shot from 25 ft,,65-58,,
5:00.0,,,65-58,,Defensive rebound by R. Gay
4:49.0,,,65-58,,O. Casspi misses 3-pt shot from 24 ft
4:48.0,Defensive rebound by K. Towns,,65-58,,
4:31.0,D. Rudez misses 3-pt shot from 23 ft,,65-58,,
4:27.0,Offensive rebound by A. Wiggins,,65-58,,
4:27.0,A. Wiggins makes 2-pt shot at rim,2,67-58,,
4:22.0,,,67-60,2,W. Cauley-Stein makes 2-pt shot at rim (assist by R. Rondo)
3:56.0,Z. LaVine misses 3-pt shot from 25 ft,,67-60,,
3:55.0,,,67-60,,Defensive rebound by M. Belinelli
3:47.0,,,67-60,,R. Rondo misses 2-pt shot from 18 ft
3:46.0,Defensive rebound by K. Towns,,67-60,,
3:38.0,K. Martin misses 3-pt shot from 23 ft,,67-60,,
3:37.0,,,67-60,,Defensive rebound by O. Casspi
3:30.0,,,67-63,3,M. Belinelli makes 3-pt shot from 24 ft (assist by R. Rondo)
3:30.0,Minnesota full timeout,,67-63,,
3:30.0,G. Dieng enters the game for K. Towns,,67-63,,
3:30.0,S. Muhammad enters the game for K. Martin,,67-63,,
3:30.0,A. Miller enters the game for Z. LaVine,,67-63,,
3:30.0,,,67-63,,D. Collison enters the game for R. Gay
3:21.0,Offensive foul by S. Muhammad,,67-63,,
3:21.0,Turnover by S. Muhammad (offensive foul),,67-63,,
3:10.0,,,67-66,3,O. Casspi makes 3-pt shot from 26 ft (assist by R. Rondo)
2:45.0,A. Wiggins makes 2-pt shot from 22 ft,2,69-66,,
2:19.0,,,69-66,,D. Collison misses 2-pt shot from 19 ft
2:18.0,Defensive rebound by A. Miller,,69-66,,
2:11.0,,,69-66,,Personal block foul by D. Collison (drawn by S. Muhammad)
2:11.0,S. Muhammad makes free throw 1 of 2,1,70-66,,
2:11.0,S. Muhammad makes free throw 2 of 2,1,71-66,,
1:53.0,,,71-66,,Turnover by M. Belinelli (bad pass)
1:34.0,S. Muhammad misses 3-pt shot from 25 ft,,71-66,,
1:34.0,,,71-66,,Defensive rebound by R. Rondo
1:33.0,Jump ball: A. Miller vs. R. Rondo (W. Cauley-Stein gains possession),,,,Jump ball: A. Miller vs. R. Rondo (W. Cauley-Stein gains possession)
1:27.0,,,71-66,,Turnover by D. Collison (step out of bounds)
1:03.0,S. Muhammad misses 2-pt shot from 11 ft,,71-66,,
1:03.0,Offensive rebound by A. Wiggins,,71-66,,
1:01.0,A. Wiggins makes 2-pt shot from 1 ft,2,73-66,,
0:51.0,,,73-66,,D. Collison misses 2-pt shot from 3 ft
0:50.0,Defensive rebound by G. Dieng,,73-66,,
0:31.0,A. Miller makes 2-pt shot from 3 ft,2,75-66,,
0:14.0,Personal foul by A. Miller (drawn by R. Rondo),,75-66,,
0:14.0,T. Prince enters the game for A. Wiggins,,75-66,,
0:03.0,,,75-68,2,W. Cauley-Stein makes 2-pt shot at rim (assist by R. Rondo)
0:00.0,D. Rudez misses 3-pt shot from 47 ft,,75-68,,
0:00.0,Offensive rebound by Team,,75-68,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:41.0,,,75-70,2,D. Collison makes 2-pt shot from 2 ft
11:13.0,Turnover by S. Muhammad (step out of bounds),,75-70,,
11:00.0,,,75-73,3,D. Collison makes 3-pt shot from 26 ft
10:39.0,S. Muhammad makes 2-pt shot from 2 ft (assist by D. Rudez),2,77-73,,
10:31.0,,,77-75,2,W. Cauley-Stein makes 2-pt shot at rim (assist by D. Collison)
10:10.0,S. Muhammad makes 3-pt shot from 24 ft (assist by D. Rudez),3,80-75,,
9:54.0,,,80-75,,Shooting foul by D. Rudez (drawn by O. Casspi)
9:54.0,,,80-75,,O. Casspi misses free throw 1 of 2
9:54.0,,,80-75,,Offensive rebound by Team
9:54.0,,,80-76,1,O. Casspi makes free throw 2 of 2
9:35.0,T. Prince makes 2-pt shot from 8 ft (assist by A. Miller),2,82-76,,
9:25.0,,,82-76,,Turnover by B. McLemore (illegal screen)
9:02.0,T. Prince misses 3-pt shot from 23 ft,,82-76,,
9:01.0,,,82-76,,Defensive rebound by W. Cauley-Stein
8:57.0,Flagrant foul type 1 by A. Miller (drawn by W. Cauley-Stein),,82-76,,
8:57.0,Official timeout,,82-76,,
8:57.0,,,82-76,,W. Cauley-Stein misses flagrant free throw 1 of 2
8:57.0,,,82-76,,Offensive rebound by Team
8:57.0,,,82-76,,W. Cauley-Stein misses flagrant free throw 2 of 2
8:57.0,,,82-76,,Offensive rebound by Team
8:57.0,,,82-76,,R. Gay enters the game for W. Cauley-Stein
8:57.0,,,82-76,,K. Koufos enters the game for O. Casspi
8:49.0,,,82-76,,M. Belinelli misses 3-pt shot from 25 ft
8:49.0,Defensive rebound by Team,,82-76,,
8:34.0,Turnover by G. Dieng (3 sec),,82-76,,
8:34.0,A. Wiggins enters the game for S. Muhammad,,82-76,,
8:17.0,,,82-76,,Turnover by K. Koufos (traveling)
7:57.0,G. Dieng makes 2-pt shot from 12 ft (assist by D. Rudez),2,84-76,,
7:42.0,,,84-76,,R. Gay misses 2-pt shot from 5 ft (block by A. Wiggins)
7:41.0,,,84-76,,Offensive rebound by R. Gay
7:36.0,,,84-76,,B. McLemore misses 3-pt shot from 26 ft
7:33.0,Defensive rebound by D. Rudez,,84-76,,
7:22.0,A. Wiggins misses 2-pt shot from 5 ft,,84-76,,
7:21.0,Offensive rebound by A. Wiggins,,84-76,,
7:20.0,A. Wiggins misses 2-pt shot from 4 ft,,84-76,,
7:19.0,,,84-76,,Defensive rebound by D. Collison
7:14.0,,,84-78,2,D. Collison makes 2-pt shot from 3 ft
6:52.0,T. Prince misses 2-pt shot from 3 ft (block by M. Belinelli),,84-78,,
6:50.0,Offensive rebound by T. Prince,,84-78,,
6:49.0,T. Prince makes 2-pt shot from 3 ft,2,86-78,,
6:29.0,,,86-78,,K. Koufos misses 2-pt shot from 12 ft
6:28.0,,,86-78,,Offensive rebound by K. Koufos
6:26.0,,,86-80,2,K. Koufos makes 2-pt shot from 5 ft
6:05.0,A. Wiggins misses 2-pt shot from 18 ft,,86-80,,
6:05.0,Offensive rebound by G. Dieng,,86-80,,
6:05.0,,,86-80,,Personal foul by K. Koufos (drawn by G. Dieng)
6:05.0,K. Martin enters the game for D. Rudez,,86-80,,
6:05.0,Z. LaVine enters the game for A. Miller,,86-80,,
5:56.0,Shooting foul by K. Koufos (drawn by A. Wiggins),,86-80,,
5:56.0,,,86-80,,Sacramento full timeout
5:56.0,,,86-80,,R. Rondo enters the game for B. McLemore
5:56.0,A. Wiggins makes free throw 1 of 2,1,87-80,,
5:56.0,A. Wiggins makes free throw 2 of 2,1,88-80,,
5:41.0,,,88-80,,R. Gay misses 2-pt shot from 16 ft
5:40.0,Defensive rebound by Z. LaVine,,88-80,,
5:28.0,A. Wiggins makes 3-pt shot from 25 ft (assist by Z. LaVine),3,91-80,,
5:10.0,Personal foul by K. Martin (drawn by M. Belinelli),,91-80,,
5:10.0,,,91-80,,O. Casspi enters the game for R. Gay
5:01.0,,,91-80,,O. Casspi misses 3-pt shot from 25 ft
5:00.0,Defensive rebound by T. Prince,,91-80,,
4:48.0,Z. LaVine misses 3-pt shot from 24 ft,,91-80,,
4:47.0,,,91-80,,Defensive rebound by R. Rondo
4:36.0,,,91-80,,Shooting foul by A. Wiggins (drawn by K. Koufos)
4:36.0,,,91-81,1,K. Koufos makes free throw 1 of 2
4:36.0,,,91-82,1,K. Koufos makes free throw 2 of 2
4:21.0,Shooting foul by D. Collison (drawn by Z. LaVine),,91-82,,
4:21.0,Z. LaVine makes free throw 1 of 2,1,92-82,,
4:21.0,Z. LaVine makes free throw 2 of 2,1,93-82,,
4:12.0,,,93-82,,R. Rondo misses 2-pt shot from 1 ft
4:12.0,,,93-82,,Offensive rebound by Team
4:03.0,,,93-82,,K. Koufos misses 2-pt shot from 7 ft
4:03.0,Defensive rebound by G. Dieng,,93-82,,
3:50.0,Turnover by T. Prince (traveling),,93-82,,
3:39.0,,,93-82,,D. Collison misses 2-pt shot from 15 ft
3:39.0,,,93-82,,Offensive rebound by R. Rondo
3:32.0,,,93-82,,Turnover by M. Belinelli (traveling)
3:32.0,Minnesota full timeout,,93-82,,
3:17.0,,,93-82,,Shooting block foul by R. Rondo (drawn by G. Dieng)
3:17.0,G. Dieng makes free throw 1 of 2,1,94-82,,
3:17.0,G. Dieng makes free throw 2 of 2,1,95-82,,
3:04.0,,,95-82,,Turnover by D. Collison (bad pass; steal by G. Dieng)
2:41.0,G. Dieng misses 2-pt shot from 18 ft,,95-82,,
2:41.0,,,95-82,,Defensive rebound by O. Casspi
2:33.0,,,95-82,,Shooting foul by A. Wiggins (drawn by K. Koufos)
2:33.0,,,95-83,1,K. Koufos makes free throw 1 of 2
2:33.0,,,95-84,1,K. Koufos makes free throw 2 of 2
2:11.0,Z. LaVine makes 2-pt shot from 7 ft,2,97-84,,
2:03.0,,,97-87,3,R. Rondo makes 3-pt shot from 25 ft
1:35.0,T. Prince misses 2-pt shot from 19 ft,,97-87,,
1:35.0,Offensive rebound by A. Wiggins,,97-87,,
