time,Miami,pts.away,score,pts.home,Chicago
10:46.0,,,23-29,,B. Portis misses 2-pt shot from 21 ft
10:45.0,Defensive rebound by G. Green,,23-29,,
10:37.0,G. Green misses 3-pt shot from 26 ft,,23-29,,
10:36.0,,,23-29,,Defensive rebound by N. Mirotic
10:28.0,,,23-29,,N. Mirotic misses 3-pt shot from 25 ft
10:28.0,Defensive rebound by Team,,23-29,,
10:28.0,,,23-29,,Loose ball foul by B. Portis (drawn by U. Haslem)
10:28.0,D. Wade enters the game for U. Haslem,,23-29,,
10:11.0,D. Wade makes 2-pt shot from 19 ft,2,25-29,,
10:00.0,,,25-29,,Turnover by A. Brooks (traveling)
9:51.0,T. Johnson makes 2-pt shot at rim,2,27-29,,
9:50.0,,,27-29,,Chicago full timeout
9:50.0,,,27-29,,D. Rose enters the game for A. Brooks
9:37.0,,,27-31,2,D. McDermott makes 2-pt shot from 16 ft (assist by D. Rose)
9:25.0,Shooting foul by B. Portis (drawn by D. Wade),,27-31,,
9:25.0,D. Wade makes free throw 1 of 2,1,28-31,,
9:25.0,,,28-31,,T. Gibson enters the game for B. Portis
9:25.0,D. Wade makes free throw 2 of 2,1,29-31,,
9:08.0,,,29-31,,D. McDermott misses 2-pt shot from 16 ft
9:06.0,Defensive rebound by C. Bosh,,29-31,,
8:59.0,T. Johnson misses 2-pt shot from 20 ft,,29-31,,
8:58.0,,,29-31,,Defensive rebound by T. Gibson
8:41.0,,,29-31,,N. Mirotic misses 2-pt shot from 9 ft
8:40.0,Defensive rebound by T. Johnson,,29-31,,
8:30.0,J. Winslow makes 2-pt shot from 2 ft (assist by D. Wade),2,31-31,,
8:18.0,,,31-31,,D. Rose misses 2-pt shot from 15 ft
8:17.0,,,31-31,,Offensive rebound by T. Gibson
8:14.0,,,31-31,,D. McDermott misses 2-pt shot from 11 ft
8:12.0,,,31-31,,Offensive rebound by D. McDermott
8:11.0,,,31-31,,D. McDermott misses 2-pt shot from 1 ft
8:10.0,,,31-31,,Offensive rebound by N. Mirotic
8:08.0,,,31-33,2,N. Mirotic makes 2-pt shot from 3 ft
7:46.0,D. Wade makes 2-pt shot from 6 ft (assist by J. Winslow),2,33-33,,
7:30.0,,,33-33,,N. Mirotic misses 2-pt shot from 16 ft
7:29.0,Defensive rebound by J. Winslow,,33-33,,
7:18.0,D. Wade misses 2-pt shot from 13 ft,,33-33,,
7:17.0,,,33-33,,Defensive rebound by N. Mirotic
7:11.0,,,33-35,2,D. Rose makes 2-pt shot from 1 ft
7:02.0,Miami full timeout,,33-35,,
7:02.0,,,33-35,,P. Gasol enters the game for T. Snell
7:02.0,,,33-35,,J. Butler enters the game for N. Mirotic
7:02.0,A. Stoudemire enters the game for C. Bosh,,33-35,,
7:02.0,L. Deng enters the game for G. Green,,33-35,,
6:51.0,Shooting foul by P. Gasol (drawn by A. Stoudemire),,33-35,,
6:51.0,A. Stoudemire makes free throw 1 of 2,1,34-35,,
6:51.0,A. Stoudemire makes free throw 2 of 2,1,35-35,,
6:37.0,,,35-35,,Turnover by J. Butler (bad pass; steal by L. Deng)
6:32.0,D. Wade makes 2-pt shot from 4 ft,2,37-35,,
6:18.0,,,37-35,,Turnover by P. Gasol (bad pass)
6:06.0,D. Wade makes 2-pt shot from 11 ft,2,39-35,,
5:49.0,,,39-35,,P. Gasol misses 2-pt shot from 17 ft
5:48.0,Defensive rebound by D. Wade,,39-35,,
5:28.0,L. Deng misses 2-pt shot from 18 ft,,39-35,,
5:26.0,,,39-35,,Defensive rebound by T. Gibson
5:19.0,,,39-35,,D. Rose misses 2-pt shot from 1 ft
5:18.0,Defensive rebound by A. Stoudemire,,39-35,,
5:09.0,Turnover by T. Johnson (step out of bounds),,39-35,,
4:57.0,,,39-38,3,J. Butler makes 3-pt shot from 25 ft (assist by P. Gasol)
4:36.0,A. Stoudemire makes 2-pt shot from 18 ft (assist by J. Winslow),2,41-38,,
4:30.0,,,41-38,,Chicago full timeout
4:30.0,,,41-38,,A. Brooks enters the game for D. Rose
4:30.0,B. Udrih enters the game for T. Johnson,,41-38,,
4:20.0,Personal foul by J. Winslow (drawn by J. Butler),,41-38,,
4:13.0,,,41-38,,D. McDermott misses 3-pt shot from 26 ft
4:11.0,Defensive rebound by A. Stoudemire,,41-38,,
4:00.0,D. Wade misses 2-pt shot from 1 ft,,41-38,,
3:59.0,,,41-38,,Defensive rebound by P. Gasol
3:48.0,,,41-40,2,T. Gibson makes 2-pt shot at rim (assist by A. Brooks)
3:26.0,A. Stoudemire makes 2-pt shot from 18 ft (assist by B. Udrih),2,43-40,,
3:06.0,,,43-40,,Turnover by T. Gibson (bad pass; steal by B. Udrih)
2:52.0,B. Udrih misses 3-pt shot from 26 ft,,43-40,,
2:51.0,,,43-40,,Defensive rebound by P. Gasol
2:47.0,Violation by B. Udrih (kicked ball),,43-40,,
2:47.0,,,43-40,,Chicago full timeout
2:47.0,C. Bosh enters the game for D. Wade,,43-40,,
2:37.0,,,43-43,3,A. Brooks makes 3-pt shot from 25 ft (assist by P. Gasol)
2:18.0,B. Udrih misses 2-pt shot from 13 ft,,43-43,,
2:17.0,Offensive rebound by J. Winslow,,43-43,,
2:05.0,L. Deng makes 2-pt shot at rim (assist by C. Bosh),2,45-43,,
1:43.0,,,45-45,2,T. Gibson makes 2-pt shot from 1 ft (assist by J. Butler)
1:25.0,Turnover by B. Udrih (bad pass; steal by T. Gibson),,45-45,,
1:25.0,Personal foul by B. Udrih (drawn by T. Gibson),,45-45,,
1:10.0,,,45-47,2,J. Butler makes 2-pt shot from 17 ft
0:52.0,J. Winslow misses 3-pt shot from 23 ft,,45-47,,
0:51.0,,,45-47,,Defensive rebound by J. Butler
0:49.0,,,45-47,,Turnover by J. Butler (lost ball; steal by B. Udrih)
0:36.0,,,45-47,,Personal foul by A. Brooks (drawn by L. Deng)
0:36.0,D. Wade enters the game for J. Winslow,,45-47,,
0:27.0,C. Bosh makes 2-pt shot from 20 ft (assist by D. Wade),2,47-47,,
0:07.0,,,47-47,,J. Butler misses 2-pt shot from 2 ft (block by A. Stoudemire)
0:04.0,Defensive rebound by A. Stoudemire,,47-47,,
0:02.0,C. Bosh makes 2-pt shot from 2 ft (assist by D. Wade),2,49-47,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:36.0,,,49-49,2,T. Snell makes 2-pt shot from 20 ft
11:18.0,Turnover by B. Udrih (bad pass),,49-49,,
11:01.0,Personal foul by B. Udrih (drawn by A. Brooks),,49-49,,
10:49.0,,,49-51,2,P. Gasol makes 2-pt shot from 11 ft
10:28.0,C. Bosh misses 2-pt shot from 11 ft,,49-51,,
10:28.0,,,49-51,,Defensive rebound by P. Gasol
10:28.0,Personal foul by A. Stoudemire (drawn by P. Gasol),,49-51,,
10:20.0,,,49-51,,Offensive foul by T. Snell
10:20.0,,,49-51,,Turnover by T. Snell (offensive foul)
9:56.0,A. Stoudemire misses 2-pt shot from 2 ft (block by P. Gasol),,49-51,,
9:55.0,,,49-51,,Defensive rebound by J. Butler
9:48.0,,,49-51,,J. Butler misses 2-pt shot from 9 ft
9:47.0,Defensive rebound by A. Stoudemire,,49-51,,
9:35.0,D. Wade misses 2-pt shot from 2 ft,,49-51,,
9:34.0,,,49-51,,Defensive rebound by T. Snell
9:27.0,,,49-51,,P. Gasol misses 2-pt shot from 1 ft
9:26.0,Defensive rebound by C. Bosh,,49-51,,
9:20.0,L. Deng misses 3-pt shot from 23 ft,,49-51,,
9:18.0,,,49-51,,Defensive rebound by A. Brooks
9:11.0,,,49-53,2,A. Brooks makes 2-pt shot from 14 ft
8:51.0,A. Stoudemire misses 2-pt shot from 11 ft,,49-53,,
8:50.0,,,49-53,,Defensive rebound by T. Snell
8:38.0,,,49-53,,Shooting foul by C. Bosh (drawn by T. Snell)
8:38.0,,,49-54,1,T. Snell makes free throw 1 of 2
8:38.0,,,49-55,1,T. Snell makes free throw 2 of 2
8:27.0,D. Wade misses 2-pt shot from 6 ft,,49-55,,
8:25.0,Offensive rebound by C. Bosh,,49-55,,
8:21.0,L. Deng makes 2-pt shot from 3 ft (assist by C. Bosh),2,51-55,,
8:08.0,,,51-57,2,A. Brooks makes 2-pt shot from 2 ft
8:08.0,,,51-57,,Shooting foul by C. Bosh (drawn by A. Brooks)
8:08.0,,,51-58,1,A. Brooks makes free throw 1 of 1
7:49.0,B. Udrih misses 2-pt shot from 15 ft,,51-58,,
7:48.0,,,51-58,,Defensive rebound by J. Butler
7:35.0,,,51-58,,J. Butler misses 2-pt shot from 17 ft
7:34.0,Defensive rebound by B. Udrih,,51-58,,
7:24.0,C. Bosh misses 2-pt shot from 17 ft,,51-58,,
7:23.0,,,51-58,,Defensive rebound by T. Gibson
7:14.0,,,51-60,2,T. Snell makes 2-pt shot from 18 ft
7:13.0,Miami full timeout,,51-60,,
7:13.0,J. Winslow enters the game for A. Stoudemire,,51-60,,
6:55.0,Turnover by L. Deng (bad pass; steal by A. Brooks),,51-60,,
6:42.0,,,51-60,,T. Snell misses 2-pt shot from 16 ft
6:41.0,Defensive rebound by B. Udrih,,51-60,,
6:33.0,Shooting foul by T. Snell (drawn by D. Wade),,51-60,,
6:33.0,D. Wade makes free throw 1 of 2,1,52-60,,
6:33.0,T. Johnson enters the game for B. Udrih,,52-60,,
6:33.0,D. Wade makes free throw 2 of 2,1,53-60,,
6:09.0,,,53-60,,T. Snell misses 2-pt shot from 6 ft
6:07.0,,,53-60,,Offensive rebound by P. Gasol
6:07.0,,,53-60,,P. Gasol misses 2-pt shot from 2 ft
6:06.0,,,53-60,,Offensive rebound by P. Gasol
6:06.0,,,53-60,,P. Gasol misses 2-pt shot from 2 ft (block by D. Wade)
6:06.0,,,53-60,,Offensive rebound by Team
6:06.0,G. Green enters the game for D. Wade,,53-60,,
5:58.0,,,53-60,,T. Snell misses 2-pt shot from 20 ft
5:57.0,Defensive rebound by J. Winslow,,53-60,,
5:48.0,G. Green makes 2-pt shot from 19 ft (assist by T. Johnson),2,55-60,,
5:36.0,,,55-60,,P. Gasol misses 2-pt shot from 1 ft
5:34.0,Defensive rebound by L. Deng,,55-60,,
5:21.0,,,55-60,,N. Mirotic enters the game for T. Gibson
5:17.0,Turnover by J. Winslow (bad pass; steal by A. Brooks),,55-60,,
5:07.0,,,55-60,,T. Snell misses 2-pt shot from 2 ft
5:05.0,Defensive rebound by T. Johnson,,55-60,,
4:51.0,G. Green misses 2-pt shot from 22 ft,,55-60,,
4:50.0,,,55-60,,Defensive rebound by N. Mirotic
4:36.0,,,55-60,,A. Brooks misses 2-pt shot from 1 ft (block by L. Deng)
4:34.0,,,55-60,,Offensive rebound by J. Butler
4:34.0,,,55-62,2,J. Butler makes 2-pt shot from 1 ft
4:16.0,T. Johnson makes 2-pt shot from 20 ft (assist by C. Bosh),2,57-62,,
3:49.0,,,57-62,,J. Butler misses 2-pt shot from 18 ft
3:48.0,Defensive rebound by G. Green,,57-62,,
3:37.0,C. Bosh makes 2-pt shot at rim (assist by T. Johnson),2,59-62,,
3:36.0,,,59-62,,Chicago full timeout
3:36.0,,,59-62,,D. McDermott enters the game for A. Brooks
3:16.0,,,59-64,2,J. Butler makes 2-pt shot from 11 ft
3:04.0,T. Johnson misses 3-pt shot from 25 ft,,59-64,,
3:03.0,,,59-64,,Defensive rebound by D. McDermott
2:55.0,,,59-64,,Shooting foul by J. Winslow (drawn by N. Mirotic)
2:55.0,,,59-65,1,N. Mirotic makes free throw 1 of 2
2:55.0,D. Wade enters the game for L. Deng,,59-65,,
2:55.0,,,59-66,1,N. Mirotic makes free throw 2 of 2
2:47.0,Shooting foul by J. Butler (drawn by C. Bosh),,59-66,,
2:47.0,C. Bosh misses free throw 1 of 2,,59-66,,
2:47.0,Offensive rebound by Team,,59-66,,
2:47.0,C. Bosh misses free throw 2 of 2,,59-66,,
2:46.0,,,59-66,,Defensive rebound by N. Mirotic
2:30.0,,,59-66,,J. Butler misses 2-pt shot from 14 ft
2:29.0,,,59-66,,Offensive rebound by N. Mirotic
2:29.0,,,59-68,2,N. Mirotic makes 2-pt shot at rim
2:03.0,Turnover by T. Johnson (bad pass),,59-68,,
1:45.0,,,59-68,,Offensive foul by D. McDermott
1:45.0,,,59-68,,Turnover by D. McDermott (offensive foul)
1:31.0,C. Bosh misses 2-pt shot from 18 ft,,59-68,,
1:31.0,Offensive rebound by Team,,59-68,,
1:15.0,D. Wade misses 2-pt shot from 15 ft,,59-68,,
1:14.0,,,59-68,,Defensive rebound by T. Snell
1:07.0,,,59-68,,Turnover by N. Mirotic (bad pass)
1:07.0,A. Stoudemire enters the game for C. Bosh,,59-68,,
1:07.0,,,59-68,,B. Portis enters the game for P. Gasol
1:07.0,,,59-68,,A. Brooks enters the game for J. Butler
0:54.0,,,59-68,,Personal foul by B. Portis (drawn by A. Stoudemire)
0:45.0,G. Green misses 2-pt shot from 6 ft,,59-68,,
0:43.0,,,59-68,,Defensive rebound by D. McDermott
0:36.0,,,59-68,,D. McDermott misses 3-pt shot from 25 ft
0:35.0,Defensive rebound by D. Wade,,59-68,,
0:26.0,D. Wade makes 2-pt shot at rim,2,61-68,,
0:01.0,,,61-68,,T. Snell misses 2-pt shot from 10 ft
0:00.0,Defensive rebound by J. Winslow,,61-68,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:43.0,D. Wade makes 2-pt shot from 7 ft,2,63-68,,
11:19.0,,,63-68,,A. Brooks misses 3-pt shot from 24 ft
11:18.0,Defensive rebound by A. Stoudemire,,63-68,,
11:17.0,Turnover by A. Stoudemire (bad pass),,63-68,,
11:08.0,,,63-68,,A. Brooks misses 2-pt shot from 5 ft
11:07.0,,,63-68,,Offensive rebound by B. Portis
11:07.0,,,63-70,2,B. Portis makes 2-pt shot from 2 ft
10:43.0,D. Wade makes 2-pt shot from 2 ft,2,65-70,,
10:24.0,,,65-73,3,N. Mirotic makes 3-pt shot from 25 ft (assist by T. Snell)
10:10.0,,,65-73,,Personal foul by D. McDermott (drawn by D. Wade)
10:10.0,,,65-73,,J. Butler enters the game for T. Snell
9:53.0,D. Wade misses 2-pt shot from 17 ft,,65-73,,
9:52.0,Offensive rebound by A. Stoudemire,,65-73,,
9:52.0,A. Stoudemire makes 2-pt shot from 2 ft,2,67-73,,
9:38.0,,,67-73,,N. Mirotic misses 2-pt shot at rim
9:37.0,Defensive rebound by G. Green,,67-73,,
9:21.0,A. Stoudemire misses 2-pt shot from 1 ft,,67-73,,
9:20.0,,,67-73,,Defensive rebound by B. Portis
9:05.0,,,67-73,,Turnover by D. McDermott (lost ball; steal by J. Winslow)
9:04.0,Shooting foul by A. Brooks (drawn by J. Winslow),,67-73,,
9:04.0,J. Winslow makes free throw 1 of 2,1,68-73,,
9:04.0,J. Winslow makes free throw 2 of 2,1,69-73,,
8:48.0,,,69-73,,J. Butler misses 2-pt shot from 19 ft
8:47.0,Defensive rebound by D. Wade,,69-73,,
8:40.0,,,69-73,,Personal foul by B. Portis (drawn by D. Wade)
8:40.0,Miami full timeout,,69-73,,
8:40.0,,,69-73,,T. Gibson enters the game for B. Portis
8:28.0,,,69-73,,Violation by N. Mirotic (kicked ball)
8:22.0,Turnover by G. Green (traveling),,69-73,,
8:02.0,Personal foul by D. Wade (drawn by J. Butler),,69-73,,
7:57.0,Personal foul by D. Wade (drawn by A. Brooks),,69-73,,
7:49.0,,,69-73,,A. Brooks misses 3-pt shot from 25 ft
7:47.0,Defensive rebound by D. Wade,,69-73,,
7:36.0,D. Wade makes 2-pt shot from 7 ft,2,71-73,,
7:21.0,,,71-73,,J. Butler misses 2-pt shot from 15 ft
7:20.0,,,71-73,,Offensive rebound by T. Gibson
7:18.0,,,71-73,,Turnover by T. Gibson (lost ball; steal by J. Winslow)
7:13.0,G. Green makes 2-pt shot from 8 ft,2,73-73,,
7:13.0,Shooting foul by A. Brooks (drawn by G. Green),,73-73,,
7:13.0,C. Bosh enters the game for A. Stoudemire,,73-73,,
7:13.0,,,73-73,,P. Gasol enters the game for N. Mirotic
7:13.0,B. Udrih enters the game for T. Johnson,,73-73,,
7:13.0,L. Deng enters the game for D. Wade,,73-73,,
7:13.0,G. Green makes free throw 1 of 1,1,74-73,,
6:49.0,,,74-73,,P. Gasol misses 2-pt shot from 12 ft
6:47.0,Defensive rebound by J. Winslow,,74-73,,
6:37.0,C. Bosh misses 2-pt shot from 18 ft,,74-73,,
6:36.0,,,74-73,,Defensive rebound by T. Gibson
6:22.0,,,74-73,,D. McDermott misses 2-pt shot from 18 ft
6:21.0,Defensive rebound by J. Winslow,,74-73,,
6:08.0,Turnover by B. Udrih (bad pass; steal by A. Brooks),,74-73,,
6:04.0,,,74-75,2,D. McDermott makes 2-pt shot from 2 ft (assist by A. Brooks)
5:54.0,Miami full timeout,,74-75,,
5:46.0,C. Bosh makes 2-pt shot from 17 ft,2,76-75,,
5:26.0,Personal foul by C. Bosh (drawn by P. Gasol),,76-75,,
5:17.0,,,76-77,2,P. Gasol makes 2-pt shot from 7 ft (assist by A. Brooks)
5:03.0,G. Green misses 3-pt shot from 25 ft,,76-77,,
5:02.0,,,76-77,,Defensive rebound by P. Gasol
4:51.0,,,76-79,2,A. Brooks makes 2-pt shot from 11 ft
4:36.0,L. Deng makes 3-pt shot from 22 ft (assist by J. Winslow),3,79-79,,
4:15.0,,,79-79,,Shooting foul by J. Winslow (drawn by J. Butler)
4:15.0,,,79-80,1,J. Butler makes free throw 1 of 2
4:15.0,D. Wade enters the game for B. Udrih,,79-80,,
4:15.0,T. Johnson enters the game for G. Green,,79-80,,
4:15.0,,,79-81,1,J. Butler makes free throw 2 of 2
4:05.0,C. Bosh makes 2-pt shot from 21 ft (assist by T. Johnson),2,81-81,,
3:49.0,Personal foul by L. Deng (drawn by T. Gibson),,81-81,,
3:49.0,,,81-82,1,T. Gibson makes free throw 1 of 2
3:49.0,,,81-82,,T. Snell enters the game for D. McDermott
3:49.0,,,81-82,,T. Gibson misses free throw 2 of 2
3:46.0,Defensive rebound by J. Winslow,,81-82,,
3:31.0,Shooting foul by T. Gibson (drawn by D. Wade),,81-82,,
3:31.0,D. Wade misses free throw 1 of 2,,81-82,,
3:31.0,Offensive rebound by Team,,81-82,,
3:31.0,D. Wade makes free throw 2 of 2,1,82-82,,
3:16.0,,,82-82,,A. Brooks misses 3-pt shot from 24 ft
3:15.0,Defensive rebound by D. Wade,,82-82,,
3:06.0,C. Bosh misses 3-pt shot from 24 ft,,82-82,,
3:05.0,,,82-82,,Defensive rebound by P. Gasol
2:59.0,,,82-82,,J. Butler misses 2-pt shot from 17 ft
2:57.0,Defensive rebound by L. Deng,,82-82,,
2:41.0,D. Wade misses 2-pt shot from 18 ft,,82-82,,
2:40.0,,,82-82,,Defensive rebound by A. Brooks
2:34.0,,,82-82,,T. Snell misses 3-pt shot from 24 ft
2:33.0,Defensive rebound by J. Winslow,,82-82,,
2:14.0,J. Winslow makes 2-pt shot at rim (assist by D. Wade),2,84-82,,
2:14.0,,,84-82,,Chicago full timeout
1:53.0,,,84-82,,A. Brooks misses 3-pt shot from 25 ft
1:52.0,Defensive rebound by T. Johnson,,84-82,,
1:24.0,C. Bosh misses 2-pt shot from 21 ft,,84-82,,
1:22.0,,,84-82,,Defensive rebound by J. Butler
1:14.0,,,84-84,2,P. Gasol makes 2-pt shot from 13 ft
1:02.0,C. Bosh makes 2-pt shot from 19 ft (assist by D. Wade),2,86-84,,
1:02.0,,,86-84,,Chicago full timeout
1:02.0,,,86-84,,D. McDermott enters the game for T. Snell
0:42.0,,,86-84,,P. Gasol misses 2-pt shot from 11 ft
0:41.0,Defensive rebound by J. Winslow,,86-84,,
0:23.0,D. Wade makes 2-pt shot from 21 ft,2,88-84,,
0:23.0,,,88-84,,Chicago full timeout
0:23.0,,,88-84,,N. Mirotic enters the game for T. Gibson
0:10.0,,,88-84,,Turnover by P. Gasol (lost ball; steal by C. Bosh)
0:08.0,,,88-84,,Personal foul by A. Brooks (drawn by D. Wade)
0:08.0,D. Wade makes free throw 1 of 2,1,89-84,,
