time,Denver,pts.away,score,pts.home,Charlotte
3:14.0,,,74-55,,C. Lee misses 3-pt shot from 25 ft
3:13.0,Defensive rebound by D. Arthur,,74-55,,
2:56.0,E. Mudiay misses 2-pt shot from 12 ft,,74-55,,
2:54.0,,,74-55,,Defensive rebound by A. Jefferson
2:39.0,,,74-57,2,M. Williams makes 2-pt shot at rim (assist by A. Jefferson)
2:13.0,G. Harris misses 3-pt shot from 23 ft,,74-57,,
2:12.0,,,74-57,,Defensive rebound by M. Williams
2:06.0,,,74-57,,N. Batum misses 3-pt shot from 24 ft
2:04.0,Defensive rebound by D. Arthur,,74-57,,
1:47.0,Turnover by G. Harris (lost ball; steal by C. Lee),,74-57,,
1:44.0,Personal foul by J. Sampson,,74-57,,
1:44.0,,,74-57,,J. Lin misses free throw 1 of 2
1:44.0,,,74-57,,Offensive rebound by Team
1:44.0,D. Augustin enters the game for J. Sampson,,74-57,,
1:44.0,W. Barton enters the game for D. Arthur,,74-57,,
1:44.0,J. Lauvergne enters the game for E. Mudiay,,74-57,,
1:44.0,,,74-57,,T. Daniels enters the game for M. Williams
1:44.0,,,74-57,,F. Kaminsky enters the game for C. Lee
1:44.0,,,74-58,1,J. Lin makes free throw 2 of 2
1:25.0,J. Nurkic misses 2-pt shot from 4 ft,,74-58,,
1:23.0,,,74-58,,Defensive rebound by A. Jefferson
1:15.0,,,74-60,2,N. Batum makes 2-pt shot from 1 ft
1:13.0,Denver full timeout,,74-60,,
1:00.0,W. Barton misses 3-pt shot from 23 ft,,74-60,,
0:58.0,,,74-60,,Defensive rebound by J. Lin
0:47.0,,,74-60,,N. Batum misses 2-pt shot from 17 ft
0:46.0,Defensive rebound by J. Nurkic,,74-60,,
0:36.0,,,74-60,,Personal foul by J. Lin
0:29.0,D. Augustin makes 2-pt shot from 1 ft,2,76-60,,
0:11.0,Violation by J. Nurkic (kicked ball),,76-60,,
0:06.0,,,76-62,2,J. Lin makes 2-pt shot from 1 ft
0:00.0,W. Barton makes 2-pt shot from 12 ft,2,78-62,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:46.0,Turnover by J. Nurkic (bad pass),,78-62,,
11:22.0,,,78-64,2,A. Jefferson makes 2-pt shot from 8 ft
11:02.0,J. Nurkic misses 2-pt shot from 1 ft (block by A. Jefferson),,78-64,,
11:00.0,,,78-64,,Defensive rebound by K. Walker
10:55.0,,,78-64,,T. Daniels misses 3-pt shot from 25 ft
10:54.0,Defensive rebound by J. Lauvergne,,78-64,,
10:37.0,Turnover by D. Augustin (step out of bounds),,78-64,,
10:23.0,,,78-64,,Turnover by A. Jefferson (lost ball; steal by J. Nurkic)
10:16.0,A. Toupane misses 2-pt shot from 14 ft,,78-64,,
10:16.0,Offensive rebound by J. Lauvergne,,78-64,,
10:16.0,,,78-64,,Personal foul by A. Jefferson
10:10.0,Shooting foul by F. Kaminsky (drawn by J. Nurkic),,78-64,,
10:10.0,J. Nurkic makes free throw 1 of 2,1,79-64,,
10:10.0,J. Nurkic misses free throw 2 of 2,,79-64,,
10:09.0,,,79-64,,Defensive rebound by A. Jefferson
9:51.0,,,79-66,2,A. Jefferson makes 2-pt shot from 1 ft (assist by T. Daniels)
9:27.0,J. Nurkic misses 2-pt shot from 6 ft (block by A. Jefferson),,79-66,,
9:27.0,,,79-66,,Defensive rebound by T. Daniels
9:27.0,Personal foul by J. Nurkic,,79-66,,
9:12.0,,,79-68,2,A. Jefferson makes 2-pt shot from 11 ft
9:12.0,Denver full timeout,,79-68,,
9:12.0,G. Harris enters the game for A. Toupane,,79-68,,
8:59.0,W. Barton misses 3-pt shot from 25 ft,,79-68,,
8:59.0,Offensive rebound by Team,,79-68,,
8:59.0,,,79-68,,Loose ball foul by A. Jefferson
8:48.0,J. Nurkic misses 2-pt shot from 7 ft (block by A. Jefferson),,79-68,,
8:46.0,,,79-68,,Defensive rebound by K. Walker
8:42.0,,,79-70,2,K. Walker makes 2-pt shot from 1 ft
8:22.0,D. Augustin makes 2-pt shot from 11 ft,2,81-70,,
8:07.0,,,81-70,,T. Daniels misses 3-pt shot from 25 ft
8:06.0,Defensive rebound by J. Lauvergne,,81-70,,
7:59.0,Shooting foul by A. Jefferson (drawn by D. Augustin),,81-70,,
7:59.0,D. Augustin makes free throw 1 of 2,1,82-70,,
7:59.0,D. Arthur enters the game for W. Barton,,82-70,,
7:59.0,N. Jokic enters the game for J. Nurkic,,82-70,,
7:59.0,E. Mudiay enters the game for J. Lauvergne,,82-70,,
7:59.0,D. Augustin misses free throw 2 of 2,,82-70,,
7:57.0,Offensive rebound by N. Jokic,,82-70,,
7:55.0,D. Augustin makes 3-pt shot from 24 ft (assist by N. Jokic),3,85-70,,
7:55.0,,,85-70,,Charlotte full timeout
7:55.0,,,85-70,,C. Zeller enters the game for A. Jefferson
7:55.0,,,85-70,,N. Batum enters the game for T. Daniels
7:45.0,,,85-72,2,J. Lin makes 2-pt shot at rim (assist by F. Kaminsky)
7:26.0,D. Augustin makes 3-pt shot from 26 ft (assist by N. Jokic),3,88-72,,
7:06.0,,,88-75,3,J. Lin makes 3-pt shot from 23 ft (assist by K. Walker)
6:50.0,,,88-75,,Personal foul by K. Walker
6:50.0,D. Augustin makes free throw 1 of 2,1,89-75,,
6:50.0,D. Augustin makes free throw 2 of 2,1,90-75,,
6:32.0,,,90-75,,Shooting foul by N. Jokic (drawn by J. Lin)
6:32.0,,,90-76,1,J. Lin makes free throw 1 of 2
6:32.0,,,90-76,,J. Lin misses free throw 2 of 2
6:30.0,Defensive rebound by N. Jokic,,90-76,,
6:16.0,N. Jokic misses 2-pt shot from 2 ft,,90-76,,
6:12.0,Offensive rebound by N. Jokic,,90-76,,
6:10.0,D. Augustin misses 3-pt shot from 25 ft,,90-76,,
6:09.0,,,90-76,,Defensive rebound by F. Kaminsky
6:03.0,,,90-76,,K. Walker misses 2-pt shot from 2 ft (block by N. Jokic)
6:02.0,Defensive rebound by N. Jokic,,90-76,,
5:52.0,N. Jokic misses 3-pt shot from 26 ft,,90-76,,
5:52.0,,,90-76,,Defensive rebound by Team
5:52.0,,,90-76,,C. Lee enters the game for J. Lin
5:35.0,,,90-78,2,F. Kaminsky makes 2-pt shot from 1 ft (assist by C. Lee)
5:18.0,E. Mudiay misses 2-pt shot from 12 ft,,90-78,,
5:18.0,,,90-78,,Defensive rebound by Team
5:18.0,Loose ball foul by N. Jokic,,90-78,,
5:18.0,J. Sampson enters the game for N. Jokic,,90-78,,
5:04.0,,,90-80,2,N. Batum makes 2-pt shot from 16 ft
4:38.0,G. Harris misses 2-pt shot from 1 ft,,90-80,,
4:37.0,,,90-80,,Defensive rebound by F. Kaminsky
4:30.0,,,90-83,3,N. Batum makes 3-pt shot from 25 ft (assist by K. Walker)
4:29.0,Denver full timeout,,90-83,,
4:29.0,,,90-83,,M. Williams enters the game for F. Kaminsky
4:20.0,,,90-83,,Personal foul by C. Zeller
4:20.0,D. Augustin misses free throw 1 of 2,,90-83,,
4:20.0,Offensive rebound by Team,,90-83,,
4:20.0,D. Augustin makes free throw 2 of 2,1,91-83,,
4:06.0,,,91-86,3,N. Batum makes 3-pt shot from 25 ft (assist by K. Walker)
3:44.0,D. Arthur makes 2-pt shot from 15 ft,2,93-86,,
3:24.0,,,93-86,,N. Batum misses 2-pt shot from 15 ft
3:22.0,Defensive rebound by E. Mudiay,,93-86,,
3:14.0,G. Harris makes 2-pt shot at rim (assist by D. Augustin),2,95-86,,
3:14.0,,,95-86,,Charlotte full timeout
3:03.0,,,95-89,3,N. Batum makes 3-pt shot from 24 ft (assist by M. Williams)
2:48.0,D. Arthur misses 2-pt shot from 18 ft,,95-89,,
2:47.0,,,95-89,,Defensive rebound by N. Batum
