time,Boston,pts.away,score,pts.home,Dallas
10:05.0,,,24-32,,Turnover by D. Nowitzki (offensive foul)
9:43.0,K. Olynyk misses 2-pt shot from 1 ft,,24-32,,
9:42.0,Offensive rebound by K. Olynyk,,24-32,,
9:42.0,K. Olynyk misses 2-pt shot from 1 ft,,24-32,,
9:40.0,,,24-32,,Defensive rebound by D. Powell
9:26.0,,,24-34,2,R. Felton makes 2-pt shot from 4 ft
9:26.0,Shooting block foul by J. Jerebko (drawn by R. Felton),,24-34,,
9:26.0,,,24-34,,C. Parsons enters the game for D. Nowitzki
9:26.0,,,24-35,1,R. Felton makes free throw 1 of 1
9:11.0,Turnover by E. Turner (bad pass; steal by C. Parsons),,24-35,,
9:05.0,,,24-37,2,D. Powell makes 2-pt shot from 1 ft (assist by J. Barea)
9:05.0,Boston full timeout,,24-37,,
8:48.0,A. Bradley makes 3-pt shot from 24 ft (assist by E. Turner),3,27-37,,
8:36.0,,,27-40,3,D. Harris makes 3-pt shot from 24 ft (assist by D. Powell)
8:17.0,Offensive charge foul by K. Olynyk,,27-40,,
8:17.0,Turnover by K. Olynyk (offensive foul),,27-40,,
8:17.0,J. Sullinger enters the game for K. Olynyk,,27-40,,
8:17.0,I. Thomas enters the game for E. Turner,,27-40,,
7:59.0,,,27-40,,D. Powell misses 2-pt shot from 16 ft
7:58.0,Defensive rebound by M. Smart,,27-40,,
7:43.0,J. Jerebko makes 2-pt shot from 1 ft (assist by A. Bradley),2,29-40,,
7:23.0,,,29-40,,R. Felton misses 2-pt shot from 20 ft
7:22.0,Defensive rebound by M. Smart,,29-40,,
7:17.0,A. Bradley makes 2-pt shot from 17 ft (assist by M. Smart),2,31-40,,
7:16.0,,,31-40,,Dallas full timeout
7:16.0,,,31-40,,Z. Pachulia enters the game for D. Harris
7:16.0,,,31-40,,D. Williams enters the game for R. Felton
7:16.0,,,31-40,,W. Matthews enters the game for D. Powell
6:57.0,,,31-42,2,D. Williams makes 2-pt shot from 20 ft
6:41.0,J. Sullinger misses 2-pt shot from 5 ft,,31-42,,
6:41.0,,,31-42,,Defensive rebound by Z. Pachulia
6:26.0,,,31-42,,C. Parsons misses 3-pt shot from 24 ft
6:25.0,Defensive rebound by A. Bradley,,31-42,,
6:25.0,,,31-42,,Loose ball foul by Z. Pachulia (drawn by A. Bradley)
6:14.0,J. Jerebko misses 3-pt shot from 22 ft,,31-42,,
6:13.0,,,31-42,,Defensive rebound by J. Barea
6:03.0,Personal foul by M. Smart,,31-42,,
5:50.0,,,31-42,,J. Barea misses 3-pt shot from 24 ft
5:50.0,Defensive rebound by Team,,31-42,,
5:42.0,I. Thomas misses 2-pt shot from 18 ft,,31-42,,
5:41.0,Offensive rebound by I. Thomas,,31-42,,
5:35.0,M. Smart misses 3-pt shot from 23 ft,,31-42,,
5:34.0,,,31-42,,Defensive rebound by C. Parsons
5:15.0,,,31-42,,J. Barea misses 2-pt shot from 17 ft
5:14.0,Defensive rebound by J. Sullinger,,31-42,,
5:09.0,Turnover by M. Smart (lost ball),,31-42,,
4:59.0,Personal foul by M. Smart (drawn by C. Parsons),,31-42,,
4:59.0,J. Crowder enters the game for M. Smart,,31-42,,
4:59.0,E. Turner enters the game for A. Bradley,,31-42,,
4:48.0,,,31-42,,D. Williams misses 2-pt shot from 16 ft
4:47.0,,,31-42,,Offensive rebound by Z. Pachulia
4:43.0,,,31-44,2,W. Matthews makes 2-pt shot from 17 ft (assist by Z. Pachulia)
4:23.0,I. Thomas misses 3-pt shot from 24 ft,,31-44,,
4:22.0,,,31-44,,Defensive rebound by Team
4:14.0,,,31-46,2,Z. Pachulia makes 2-pt shot at rim (assist by D. Williams)
4:00.0,Turnover by E. Turner (lost ball),,31-46,,
3:53.0,,,31-48,2,W. Matthews makes 2-pt shot from 17 ft (assist by J. Barea)
3:52.0,Boston full timeout,,31-48,,
3:52.0,A. Johnson enters the game for J. Sullinger,,31-48,,
3:52.0,M. Smart enters the game for J. Jerebko,,31-48,,
3:32.0,A. Johnson makes 3-pt shot from 22 ft (assist by E. Turner),3,34-48,,
3:18.0,,,34-48,,D. Powell enters the game for Z. Pachulia
3:16.0,,,34-48,,J. Barea misses 3-pt shot from 22 ft
3:14.0,Defensive rebound by J. Crowder,,34-48,,
3:02.0,E. Turner makes 2-pt shot from 14 ft,2,36-48,,
2:52.0,,,36-48,,Dallas full timeout
2:52.0,Official timeout,,36-48,,
2:52.0,,,36-48,,R. Felton enters the game for C. Parsons
2:52.0,,,36-48,,D. Nowitzki enters the game for J. Barea
2:39.0,,,36-48,,W. Matthews misses 3-pt shot from 25 ft
2:38.0,,,36-48,,Offensive rebound by W. Matthews
2:35.0,,,36-48,,Turnover by W. Matthews (lost ball; steal by A. Johnson)
2:28.0,Shooting foul by D. Nowitzki (drawn by M. Smart),,36-48,,
2:28.0,M. Smart misses free throw 1 of 2,,36-48,,
2:28.0,Offensive rebound by Team,,36-48,,
2:28.0,A. Bradley enters the game for I. Thomas,,36-48,,
2:28.0,M. Smart makes free throw 2 of 2,1,37-48,,
2:10.0,,,37-48,,D. Williams misses 2-pt shot from 19 ft
2:09.0,,,37-48,,Offensive rebound by R. Felton
1:52.0,,,37-50,2,D. Nowitzki makes 2-pt shot from 14 ft (assist by R. Felton)
1:32.0,A. Bradley misses 2-pt shot from 20 ft,,37-50,,
1:31.0,,,37-50,,Defensive rebound by D. Nowitzki
1:14.0,,,37-50,,D. Nowitzki misses 2-pt shot from 15 ft
1:13.0,Defensive rebound by A. Bradley,,37-50,,
0:58.0,J. Crowder misses 2-pt shot from 11 ft,,37-50,,
0:56.0,,,37-50,,Defensive rebound by D. Powell
0:35.0,,,37-52,2,R. Felton makes 2-pt shot from 3 ft
0:26.0,E. Turner misses 2-pt shot from 1 ft,,37-52,,
0:25.0,,,37-52,,Defensive rebound by D. Powell
0:07.0,,,37-52,,Turnover by D. Williams (lost ball)
0:07.0,K. Olynyk enters the game for A. Johnson,,37-52,,
0:07.0,I. Thomas enters the game for M. Smart,,37-52,,
0:07.0,,,37-52,,D. Harris enters the game for D. Williams
0:07.0,,,37-52,,C. Parsons enters the game for D. Nowitzki
0:04.0,,,37-52,,Personal foul by W. Matthews (drawn by I. Thomas)
0:01.0,I. Thomas makes 2-pt shot at rim,2,39-52,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:49.0,Personal foul by A. Johnson (drawn by D. Nowitzki),,39-52,,
11:38.0,,,39-52,,D. Nowitzki misses 3-pt shot from 24 ft
11:38.0,Defensive rebound by J. Crowder,,39-52,,
11:23.0,A. Bradley misses 2-pt shot from 17 ft,,39-52,,
11:22.0,,,39-52,,Defensive rebound by Z. Pachulia
11:03.0,,,39-52,,W. Matthews misses 3-pt shot from 23 ft
11:02.0,Defensive rebound by I. Thomas,,39-52,,
11:02.0,,,39-52,,Personal take foul by D. Nowitzki (drawn by I. Thomas)
10:43.0,J. Sullinger misses 3-pt shot from 24 ft,,39-52,,
10:42.0,,,39-52,,Defensive rebound by W. Matthews
10:33.0,,,39-55,3,D. Nowitzki makes 3-pt shot from 24 ft (assist by D. Williams)
10:23.0,I. Thomas misses 2-pt shot from 5 ft,,39-55,,
10:23.0,,,39-55,,Defensive rebound by D. Nowitzki
10:23.0,Personal foul by I. Thomas (drawn by D. Nowitzki),,39-55,,
10:23.0,K. Olynyk enters the game for A. Johnson,,39-55,,
10:05.0,,,39-55,,D. Williams misses 2-pt shot from 13 ft
10:03.0,Defensive rebound by I. Thomas,,39-55,,
9:58.0,Turnover by J. Sullinger (bad pass),,39-55,,
9:44.0,,,39-55,,Turnover by Z. Pachulia (bad pass; steal by J. Sullinger)
9:39.0,I. Thomas makes 2-pt shot at rim,2,41-55,,
9:22.0,Personal foul by A. Bradley (drawn by W. Matthews),,41-55,,
9:13.0,Personal foul by K. Olynyk (drawn by D. Nowitzki),,41-55,,
9:10.0,,,41-55,,W. Matthews misses 3-pt shot from 25 ft
9:09.0,,,41-55,,Offensive rebound by Z. Pachulia
9:02.0,,,41-55,,D. Williams misses 2-pt shot at rim
9:02.0,,,41-55,,Offensive rebound by Team
9:02.0,Personal foul by J. Sullinger (drawn by Z. Pachulia),,41-55,,
9:02.0,,,41-56,1,Z. Pachulia makes free throw 1 of 2
9:02.0,,,41-56,,Z. Pachulia misses free throw 2 of 2
9:01.0,Defensive rebound by J. Crowder,,41-56,,
8:52.0,J. Sullinger makes 2-pt shot from 2 ft (assist by A. Bradley),2,43-56,,
8:52.0,Shooting foul by D. Williams (drawn by J. Sullinger),,43-56,,
8:52.0,J. Sullinger misses free throw 1 of 1,,43-56,,
8:51.0,,,43-56,,Defensive rebound by D. Nowitzki
8:32.0,,,43-56,,D. Nowitzki misses 2-pt shot from 12 ft
8:31.0,Defensive rebound by J. Sullinger,,43-56,,
8:25.0,I. Thomas makes 2-pt shot at rim,2,45-56,,
8:07.0,,,45-56,,W. Matthews misses 3-pt shot from 22 ft
8:06.0,Defensive rebound by K. Olynyk,,45-56,,
8:01.0,J. Crowder makes 2-pt shot from 1 ft (assist by I. Thomas),2,47-56,,
8:00.0,,,47-56,,Dallas full timeout
7:39.0,,,47-56,,Shooting foul by J. Sullinger (drawn by Z. Pachulia)
7:39.0,,,47-57,1,Z. Pachulia makes free throw 1 of 2
7:39.0,,,47-58,1,Z. Pachulia makes free throw 2 of 2
7:29.0,J. Sullinger makes 2-pt shot from 2 ft (assist by I. Thomas),2,49-58,,
7:08.0,,,49-58,,D. Nowitzki misses 2-pt shot from 9 ft
7:07.0,Defensive rebound by K. Olynyk,,49-58,,
7:02.0,Shooting foul by W. Matthews (drawn by J. Sullinger),,49-58,,
7:02.0,J. Sullinger makes free throw 1 of 2,1,50-58,,
7:02.0,,,50-58,,D. Harris enters the game for D. Nowitzki
7:02.0,J. Sullinger makes free throw 2 of 2,1,51-58,,
6:43.0,,,51-58,,Turnover by D. Williams (bad pass; steal by J. Sullinger)
6:38.0,A. Bradley makes 3-pt shot from 24 ft (assist by I. Thomas),3,54-58,,
6:17.0,,,54-61,3,C. Parsons makes 3-pt shot from 23 ft (assist by Z. Pachulia)
5:50.0,J. Sullinger misses 2-pt shot at rim,,54-61,,
5:49.0,Offensive rebound by J. Sullinger,,54-61,,
5:49.0,J. Sullinger misses 2-pt shot at rim,,54-61,,
5:48.0,,,54-61,,Defensive rebound by Z. Pachulia
5:39.0,,,54-61,,D. Williams misses 2-pt shot from 1 ft
5:38.0,Defensive rebound by J. Sullinger,,54-61,,
5:34.0,,,54-61,,Shooting block foul by D. Harris (drawn by I. Thomas)
5:34.0,I. Thomas makes free throw 1 of 2,1,55-61,,
5:34.0,M. Smart enters the game for J. Sullinger,,55-61,,
5:34.0,I. Thomas makes free throw 2 of 2,1,56-61,,
5:24.0,,,56-63,2,C. Parsons makes 2-pt shot at rim
5:12.0,I. Thomas makes 2-pt shot from 1 ft,2,58-63,,
5:07.0,,,58-63,,D. Powell enters the game for Z. Pachulia
4:57.0,,,58-63,,W. Matthews misses 3-pt shot from 24 ft
4:55.0,Defensive rebound by A. Bradley,,58-63,,
4:46.0,I. Thomas misses 3-pt shot from 25 ft,,58-63,,
4:46.0,,,58-63,,Defensive rebound by D. Powell
4:41.0,,,58-63,,Turnover by D. Powell (bad pass; steal by J. Crowder)
4:41.0,,,58-63,,Shooting block foul by D. Harris (drawn by J. Crowder)
4:41.0,J. Crowder makes free throw 1 of 2,1,59-63,,
4:41.0,,,59-63,,J. Barea enters the game for D. Williams
4:41.0,,,59-63,,D. Nowitzki enters the game for C. Parsons
4:41.0,,,59-63,,R. Felton enters the game for W. Matthews
4:41.0,J. Crowder misses free throw 2 of 2,,59-63,,
4:40.0,,,59-63,,Defensive rebound by D. Nowitzki
4:27.0,,,59-63,,D. Powell misses 2-pt shot from 2 ft
4:26.0,Defensive rebound by A. Bradley,,59-63,,
4:20.0,K. Olynyk misses 2-pt shot from 20 ft,,59-63,,
4:18.0,,,59-63,,Defensive rebound by D. Nowitzki
4:18.0,Personal foul by M. Smart (drawn by D. Nowitzki),,59-63,,
4:18.0,,,59-63,,D. Nowitzki misses free throw 1 of 2
4:18.0,,,59-63,,Offensive rebound by Team
4:18.0,,,59-64,1,D. Nowitzki makes free throw 2 of 2
4:11.0,Turnover by I. Thomas (bad pass; steal by D. Nowitzki),,59-64,,
3:48.0,,,59-64,,Turnover by J. Barea (lost ball; steal by A. Bradley)
3:42.0,I. Thomas makes 2-pt shot from 2 ft (assist by A. Bradley),2,61-64,,
3:17.0,,,61-64,,D. Harris misses 3-pt shot from 24 ft
3:16.0,Defensive rebound by Team,,61-64,,
3:16.0,E. Turner enters the game for A. Bradley,,61-64,,
3:05.0,I. Thomas makes 2-pt shot from 2 ft,2,63-64,,
2:57.0,,,63-64,,Dallas full timeout
2:57.0,Boston full timeout,,63-64,,
2:47.0,,,63-64,,R. Felton misses 3-pt shot from 24 ft
2:46.0,Defensive rebound by J. Crowder,,63-64,,
2:45.0,,,63-64,,Personal foul by D. Powell (drawn by J. Crowder)
2:45.0,J. Crowder makes free throw 1 of 2,1,64-64,,
2:45.0,J. Crowder makes free throw 2 of 2,1,65-64,,
2:35.0,,,65-64,,J. Barea misses 2-pt shot from 9 ft
2:34.0,Defensive rebound by I. Thomas,,65-64,,
2:30.0,Turnover by I. Thomas (lost ball),,65-64,,
2:20.0,,,65-66,2,J. Barea makes 2-pt shot from 6 ft
1:53.0,K. Olynyk makes 2-pt shot from 2 ft (assist by E. Turner),2,67-66,,
1:36.0,,,67-66,,D. Nowitzki misses 2-pt shot from 15 ft
1:35.0,Defensive rebound by Team,,67-66,,
1:23.0,E. Turner misses 3-pt shot from 24 ft,,67-66,,
1:22.0,Offensive rebound by K. Olynyk,,67-66,,
1:08.0,K. Olynyk makes 3-pt shot from 23 ft (assist by I. Thomas),3,70-66,,
0:44.0,,,70-68,2,R. Felton makes 2-pt shot from 1 ft
0:29.0,I. Thomas misses 2-pt shot from 3 ft,,70-68,,
0:28.0,Offensive rebound by M. Smart,,70-68,,
0:27.0,M. Smart misses 2-pt shot from 1 ft (block by D. Powell),,70-68,,
0:25.0,Offensive rebound by E. Turner,,70-68,,
0:09.0,E. Turner makes 2-pt shot from 2 ft,2,72-68,,
0:00.0,,,72-70,2,J. Barea makes 2-pt shot at rim
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:41.0,M. Smart misses 2-pt shot from 8 ft,,72-70,,
11:40.0,,,72-70,,Defensive rebound by Z. Pachulia
11:32.0,,,72-70,,Turnover by R. Felton (bad pass; steal by M. Smart)
11:29.0,,,72-70,,Shooting block foul by D. Harris (drawn by A. Bradley)
11:29.0,A. Bradley misses free throw 1 of 2,,72-70,,
11:29.0,Offensive rebound by Team,,72-70,,
11:29.0,A. Bradley makes free throw 2 of 2,1,73-70,,
11:06.0,,,73-73,3,D. Harris makes 3-pt shot from 24 ft (assist by R. Felton)
10:53.0,Shooting foul by D. Harris (drawn by A. Bradley),,73-73,,
10:53.0,A. Bradley makes free throw 1 of 2,1,74-73,,
10:53.0,A. Bradley makes free throw 2 of 2,1,75-73,,
10:41.0,,,75-73,,R. Felton misses 2-pt shot from 1 ft (block by K. Olynyk)
10:39.0,Defensive rebound by M. Smart,,75-73,,
10:34.0,A. Bradley misses 3-pt shot from 22 ft,,75-73,,
10:33.0,,,75-73,,Defensive rebound by R. Felton
10:21.0,,,75-73,,C. Parsons misses 3-pt shot from 25 ft
10:19.0,Defensive rebound by E. Turner,,75-73,,
10:15.0,J. Jerebko makes 2-pt shot at rim (assist by E. Turner),2,77-73,,
9:59.0,,,77-76,3,D. Harris makes 3-pt shot from 24 ft
9:44.0,A. Bradley misses 2-pt shot at rim,,77-76,,
9:43.0,,,77-76,,Defensive rebound by C. Parsons
9:33.0,,,77-76,,C. Parsons misses 2-pt shot at rim (block by K. Olynyk)
9:31.0,Defensive rebound by M. Smart,,77-76,,
9:26.0,A. Bradley makes 3-pt shot from 22 ft (assist by M. Smart),3,80-76,,
9:25.0,,,80-76,,Dallas full timeout
9:11.0,Personal foul by M. Smart (drawn by W. Matthews),,80-76,,
9:06.0,,,80-76,,D. Harris misses 2-pt shot from 1 ft
9:05.0,,,80-76,,Offensive rebound by Z. Pachulia
9:05.0,,,80-76,,Z. Pachulia misses 2-pt shot at rim
9:04.0,,,80-76,,Offensive rebound by Z. Pachulia
9:04.0,,,80-76,,Z. Pachulia misses 2-pt shot at rim
9:04.0,,,80-76,,Offensive rebound by Z. Pachulia
9:04.0,Loose ball foul by J. Jerebko (drawn by Z. Pachulia),,80-76,,
9:04.0,,,80-76,,D. Nowitzki enters the game for D. Harris
8:52.0,Personal foul by J. Jerebko (drawn by D. Nowitzki),,80-76,,
8:41.0,,,80-76,,Offensive charge foul by D. Nowitzki
8:41.0,,,80-76,,Turnover by D. Nowitzki (offensive foul)
8:18.0,K. Olynyk misses 2-pt shot from 4 ft,,80-76,,
8:16.0,,,80-76,,Defensive rebound by D. Nowitzki
8:05.0,,,80-76,,Turnover by W. Matthews (bad pass; steal by K. Olynyk)
7:50.0,J. Jerebko misses 3-pt shot from 22 ft,,80-76,,
7:49.0,,,80-76,,Defensive rebound by R. Felton
7:39.0,,,80-78,2,D. Nowitzki makes 2-pt shot from 19 ft (assist by R. Felton)
7:38.0,Boston full timeout,,80-78,,
7:38.0,,,80-78,,D. Williams enters the game for C. Parsons
7:38.0,J. Sullinger enters the game for J. Jerebko,,80-78,,
7:14.0,M. Smart makes 2-pt shot from 7 ft,2,82-78,,
6:55.0,,,82-78,,W. Matthews misses 2-pt shot from 2 ft
6:54.0,Defensive rebound by J. Sullinger,,82-78,,
6:44.0,K. Olynyk misses 3-pt shot from 25 ft,,82-78,,
6:43.0,,,82-78,,Defensive rebound by Z. Pachulia
6:31.0,,,82-78,,D. Nowitzki misses 2-pt shot from 4 ft
6:30.0,Defensive rebound by J. Sullinger,,82-78,,
6:26.0,,,82-78,,Personal foul by R. Felton (drawn by K. Olynyk)
6:26.0,J. Crowder enters the game for K. Olynyk,,82-78,,
6:19.0,M. Smart makes 2-pt shot from 14 ft,2,84-78,,
6:08.0,Personal foul by J. Crowder (drawn by D. Nowitzki),,84-78,,
6:04.0,Personal foul by J. Crowder (drawn by D. Nowitzki),,84-78,,
6:04.0,,,84-79,1,D. Nowitzki makes free throw 1 of 2
6:04.0,,,84-80,1,D. Nowitzki makes free throw 2 of 2
5:52.0,J. Crowder misses 2-pt shot from 14 ft,,84-80,,
5:51.0,Offensive rebound by J. Crowder,,84-80,,
5:48.0,J. Crowder makes 2-pt shot from 2 ft,2,86-80,,
5:28.0,,,86-82,2,D. Nowitzki makes 2-pt shot from 2 ft
5:12.0,J. Sullinger misses 2-pt shot from 20 ft,,86-82,,
5:11.0,,,86-82,,Defensive rebound by Z. Pachulia
4:55.0,,,86-84,2,D. Nowitzki makes 2-pt shot from 7 ft
4:42.0,Offensive charge foul by J. Sullinger,,86-84,,
4:42.0,Turnover by J. Sullinger (offensive foul),,86-84,,
4:42.0,I. Thomas enters the game for E. Turner,,86-84,,
4:27.0,,,86-86,2,R. Felton makes 2-pt shot from 4 ft
4:10.0,Shooting foul by R. Felton (drawn by M. Smart),,86-86,,
4:10.0,,,86-86,,C. Parsons enters the game for D. Nowitzki
4:10.0,M. Smart makes free throw 1 of 2,1,87-86,,
4:10.0,M. Smart misses free throw 2 of 2,,87-86,,
4:09.0,,,87-86,,Defensive rebound by Z. Pachulia
3:53.0,Violation by J. Sullinger (kicked ball),,87-86,,
3:44.0,,,87-88,2,D. Williams makes 2-pt shot from 9 ft
3:23.0,A. Bradley misses 3-pt shot from 24 ft,,87-88,,
3:22.0,Offensive rebound by J. Sullinger,,87-88,,
3:03.0,M. Smart misses 3-pt shot from 23 ft,,87-88,,
3:02.0,,,87-88,,Defensive rebound by Team
2:49.0,,,87-88,,D. Williams misses 3-pt shot from 23 ft
2:48.0,,,87-88,,Offensive rebound by C. Parsons
2:47.0,,,87-90,2,C. Parsons makes 2-pt shot at rim
