time,Philadelphia,pts.away,score,pts.home,LA Lakers
7:59.0,Offensive rebound by Team,,3-8,,
7:54.0,I. Canaan misses 3-pt shot from 25 ft,,3-8,,
7:53.0,,,3-8,,Defensive rebound by A. Brown
7:48.0,,,3-8,,L. Williams misses 3-pt shot from 25 ft
7:46.0,Defensive rebound by I. Smith,,3-8,,
7:41.0,I. Smith makes 2-pt shot at rim,2,5-8,,
7:22.0,,,5-10,2,R. Hibbert makes 2-pt shot from 3 ft
7:12.0,N. Noel misses 2-pt shot from 15 ft,,5-10,,
7:12.0,,,5-10,,Defensive rebound by A. Brown
7:04.0,,,5-10,,Shooting foul by J. Sampson (drawn by J. Clarkson)
7:04.0,,,5-10,,J. Clarkson misses free throw 1 of 2
7:04.0,,,5-10,,Offensive rebound by Team
7:04.0,,,5-11,1,J. Clarkson makes free throw 2 of 2
6:50.0,I. Canaan makes 3-pt shot from 24 ft (assist by N. Noel),3,8-11,,
6:35.0,,,8-11,,A. Brown misses 2-pt shot from 9 ft
6:34.0,Defensive rebound by I. Smith,,8-11,,
6:23.0,Shooting foul by L. Nance (drawn by J. Grant),,8-11,,
6:23.0,J. Grant makes free throw 1 of 2,1,9-11,,
6:23.0,N. Stauskas enters the game for J. Sampson,,9-11,,
6:23.0,J. Grant makes free throw 2 of 2,1,10-11,,
6:04.0,,,10-11,,L. Nance misses 2-pt shot from 2 ft (block by N. Noel)
6:03.0,Defensive rebound by J. Grant,,10-11,,
5:59.0,I. Smith misses 2-pt shot from 1 ft,,10-11,,
5:58.0,,,10-11,,Defensive rebound by J. Clarkson
5:46.0,,,10-11,,J. Clarkson misses 2-pt shot from 2 ft
5:45.0,Defensive rebound by N. Noel,,10-11,,
5:37.0,Shooting foul by L. Nance (drawn by N. Noel),,10-11,,
5:37.0,,,10-11,,LA Lakers full timeout
5:37.0,,,10-11,,D. Russell enters the game for L. Nance
5:37.0,,,10-11,,J. Randle enters the game for L. Williams
5:37.0,N. Noel makes free throw 1 of 2,1,11-11,,
5:37.0,N. Noel makes free throw 2 of 2,1,12-11,,
5:23.0,,,12-11,,D. Russell misses 2-pt shot from 16 ft
5:22.0,Defensive rebound by N. Stauskas,,12-11,,
5:04.0,I. Smith makes 2-pt shot from 16 ft (assist by J. Grant),2,14-11,,
4:43.0,,,14-13,2,J. Clarkson makes 2-pt shot at rim (assist by R. Hibbert)
4:43.0,,,14-13,,Shooting foul by I. Smith (drawn by J. Clarkson)
4:43.0,R. Covington enters the game for N. Noel,,14-13,,
4:43.0,J. Okafor enters the game for I. Canaan,,14-13,,
4:43.0,R. Holmes enters the game for J. Grant,,14-13,,
4:43.0,,,14-13,,B. Bass enters the game for R. Hibbert
4:43.0,,,14-14,1,J. Clarkson makes free throw 1 of 1
4:29.0,I. Smith misses 2-pt shot from 2 ft,,14-14,,
4:28.0,,,14-14,,Defensive rebound by J. Randle
4:12.0,,,14-14,,J. Randle misses 2-pt shot from 2 ft (block by R. Holmes)
4:11.0,Defensive rebound by R. Covington,,14-14,,
4:04.0,R. Covington makes 3-pt shot from 24 ft (assist by I. Smith),3,17-14,,
3:48.0,,,17-16,2,J. Clarkson makes 2-pt shot at rim (assist by D. Russell)
3:30.0,N. Stauskas misses 2-pt shot from 1 ft,,17-16,,
3:30.0,Offensive rebound by N. Stauskas,,17-16,,
3:30.0,N. Stauskas misses 2-pt shot from 1 ft,,17-16,,
3:30.0,,,17-16,,Defensive rebound by Team
3:30.0,,,17-16,,N. Young enters the game for A. Brown
3:30.0,T. McConnell enters the game for I. Smith,,17-16,,
3:14.0,,,17-16,,D. Russell misses 2-pt shot from 1 ft (block by J. Okafor)
3:13.0,Defensive rebound by T. McConnell,,17-16,,
3:07.0,N. Stauskas misses 3-pt shot from 22 ft,,17-16,,
3:04.0,,,17-16,,Defensive rebound by J. Randle
2:55.0,,,17-18,2,J. Randle makes 2-pt shot from 18 ft (assist by D. Russell)
2:55.0,Philadelphia full timeout,,17-18,,
2:39.0,Shooting foul by J. Randle (drawn by R. Holmes),,17-18,,
2:39.0,R. Holmes makes free throw 1 of 2,1,18-18,,
2:39.0,R. Holmes misses free throw 2 of 2,,18-18,,
2:38.0,,,18-18,,Defensive rebound by B. Bass
2:14.0,,,18-18,,D. Russell misses 2-pt shot from 19 ft
2:12.0,Defensive rebound by R. Covington,,18-18,,
2:05.0,Shooting foul by D. Russell (drawn by T. McConnell),,18-18,,
2:05.0,T. McConnell misses free throw 1 of 2,,18-18,,
2:05.0,Offensive rebound by Team,,18-18,,
2:05.0,T. McConnell makes free throw 2 of 2,1,19-18,,
1:42.0,,,19-20,2,J. Clarkson makes 2-pt shot from 5 ft (assist by B. Bass)
1:28.0,N. Stauskas misses 3-pt shot from 23 ft,,19-20,,
1:27.0,Offensive rebound by N. Stauskas,,19-20,,
1:06.0,Turnover by N. Stauskas (lost ball; steal by J. Randle),,19-20,,
0:57.0,,,19-20,,Turnover by D. Russell (step out of bounds)
0:57.0,,,19-20,,Violation by Team (delay of game)
0:41.0,T. McConnell makes 2-pt shot at rim (assist by R. Holmes),2,21-20,,
0:17.0,,,21-20,,J. Randle misses 2-pt shot from 2 ft
0:17.0,,,21-20,,Offensive rebound by J. Randle
0:17.0,,,21-20,,Shooting foul by R. Holmes (drawn by J. Randle)
0:17.0,,,21-20,,J. Randle misses free throw 1 of 2
0:17.0,,,21-20,,Offensive rebound by Team
0:17.0,,,21-21,1,J. Randle makes free throw 2 of 2
0:03.0,Turnover by T. McConnell (bad pass; steal by N. Young),,21-21,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:40.0,J. Okafor misses 2-pt shot from 10 ft,,21-21,,
11:38.0,,,21-21,,Defensive rebound by L. Williams
11:24.0,,,21-21,,J. Randle misses 2-pt shot from 18 ft
11:23.0,Defensive rebound by R. Covington,,21-21,,
11:12.0,R. Covington misses 2-pt shot from 4 ft (block by B. Bass),,21-21,,
11:10.0,,,21-21,,Defensive rebound by B. Bass
11:07.0,,,21-21,,Turnover by D. Russell (step out of bounds)
10:55.0,T. McConnell makes 2-pt shot from 13 ft,2,23-21,,
10:31.0,,,23-21,,N. Young misses 3-pt shot from 22 ft
10:30.0,Defensive rebound by N. Stauskas,,23-21,,
10:16.0,J. Okafor makes 2-pt shot from 2 ft,2,25-21,,
10:07.0,,,25-21,,Turnover by L. Williams (traveling)
9:48.0,Turnover by T. McConnell (bad pass; steal by N. Young),,25-21,,
9:42.0,,,25-23,2,J. Randle makes 2-pt shot at rim (assist by L. Williams)
9:37.0,,,25-23,,Personal foul by B. Bass (drawn by J. Okafor)
9:28.0,Shooting foul by B. Bass (drawn by R. Holmes),,25-23,,
9:28.0,R. Holmes makes free throw 1 of 2,1,26-23,,
9:28.0,R. Holmes misses free throw 2 of 2,,26-23,,
9:26.0,Offensive rebound by J. Okafor,,26-23,,
9:22.0,J. Okafor makes 2-pt shot from 1 ft,2,28-23,,
9:09.0,,,28-25,2,D. Russell makes 2-pt shot from 16 ft
8:53.0,J. Okafor makes 2-pt shot from 9 ft,2,30-25,,
8:42.0,,,30-25,,D. Russell misses 2-pt shot from 17 ft
8:41.0,Defensive rebound by R. Covington,,30-25,,
8:38.0,Philadelphia full timeout,,30-25,,
8:38.0,,,30-25,,R. Hibbert enters the game for B. Bass
8:38.0,N. Noel enters the game for R. Holmes,,30-25,,
8:25.0,R. Covington misses 3-pt shot from 26 ft,,30-25,,
8:25.0,Offensive rebound by N. Noel,,30-25,,
8:15.0,J. Okafor misses 2-pt shot from 15 ft,,30-25,,
8:14.0,,,30-25,,Defensive rebound by J. Randle
8:00.0,,,30-25,,N. Young misses 2-pt shot from 16 ft
7:59.0,Defensive rebound by N. Noel,,30-25,,
7:49.0,N. Noel misses 2-pt shot from 5 ft,,30-25,,
7:48.0,,,30-25,,Defensive rebound by J. Randle
7:43.0,,,30-25,,Shooting foul by R. Covington (drawn by J. Randle)
7:43.0,,,30-26,1,J. Randle makes free throw 1 of 2
7:43.0,I. Canaan enters the game for T. McConnell,,30-26,,
7:43.0,I. Smith enters the game for N. Stauskas,,30-26,,
7:43.0,,,30-27,1,J. Randle makes free throw 2 of 2
7:23.0,J. Okafor makes 2-pt shot from 12 ft (assist by R. Covington),2,32-27,,
7:07.0,,,32-27,,D. Russell misses 2-pt shot from 18 ft
7:06.0,Defensive rebound by Team,,32-27,,
7:05.0,J. Sampson enters the game for R. Covington,,32-27,,
6:51.0,Turnover by I. Smith (bad pass; steal by J. Randle),,32-27,,
6:38.0,,,32-27,,L. Williams misses 3-pt shot from 25 ft
6:38.0,Defensive rebound by J. Okafor,,32-27,,
6:14.0,I. Smith misses 2-pt shot from 1 ft,,32-27,,
6:11.0,Offensive rebound by N. Noel,,32-27,,
6:11.0,N. Noel misses 2-pt shot at rim,,32-27,,
6:10.0,,,32-27,,Defensive rebound by D. Russell
6:03.0,,,32-30,3,N. Young makes 3-pt shot from 22 ft (assist by L. Williams)
5:45.0,Turnover by N. Noel (lost ball),,32-30,,
5:45.0,Official timeout,,32-30,,
5:45.0,,,32-30,,L. Nance enters the game for J. Randle
5:45.0,J. Grant enters the game for J. Okafor,,32-30,,
5:26.0,,,32-30,,N. Young misses 2-pt shot from 16 ft
5:24.0,Defensive rebound by N. Noel,,32-30,,
5:23.0,Turnover by I. Smith (lost ball; steal by N. Young),,32-30,,
5:23.0,Loose ball foul by I. Smith (drawn by N. Young),,32-30,,
5:23.0,T. McConnell enters the game for I. Smith,,32-30,,
5:10.0,,,32-30,,L. Williams misses 2-pt shot from 13 ft
5:09.0,Defensive rebound by N. Noel,,32-30,,
4:56.0,J. Sampson misses 2-pt shot from 1 ft (block by R. Hibbert),,32-30,,
4:55.0,Offensive rebound by J. Sampson,,32-30,,
4:50.0,I. Canaan misses 3-pt shot from 22 ft,,32-30,,
4:49.0,,,32-30,,Defensive rebound by L. Nance
4:44.0,,,32-32,2,D. Russell makes 2-pt shot from 4 ft
4:28.0,T. McConnell makes 3-pt shot from 22 ft (assist by J. Grant),3,35-32,,
4:11.0,,,35-32,,D. Russell misses 2-pt shot from 15 ft
4:09.0,Defensive rebound by J. Sampson,,35-32,,
4:08.0,Turnover by I. Canaan (lost ball),,35-32,,
4:08.0,,,35-32,,A. Brown enters the game for D. Russell
4:08.0,,,35-32,,J. Clarkson enters the game for N. Young
3:54.0,,,35-32,,J. Clarkson misses 2-pt shot from 17 ft
3:54.0,Defensive rebound by N. Noel,,35-32,,
3:47.0,I. Canaan misses 3-pt shot from 24 ft,,35-32,,
3:46.0,,,35-32,,Defensive rebound by L. Williams
3:35.0,,,35-32,,Shooting foul by J. Sampson (drawn by L. Williams)
3:35.0,,,35-33,1,L. Williams makes free throw 1 of 2
3:35.0,,,35-34,1,L. Williams makes free throw 2 of 2
3:19.0,N. Noel misses 2-pt shot from 15 ft,,35-34,,
3:18.0,,,35-34,,Defensive rebound by L. Nance
2:56.0,,,35-34,,R. Hibbert misses 2-pt shot from 18 ft
2:55.0,Defensive rebound by J. Grant,,35-34,,
2:42.0,T. McConnell makes 2-pt shot from 17 ft (assist by N. Noel),2,37-34,,
2:28.0,,,37-34,,L. Williams misses 3-pt shot from 25 ft
2:26.0,Defensive rebound by J. Grant,,37-34,,
2:20.0,N. Noel makes 2-pt shot at rim (assist by T. McConnell),2,39-34,,
2:03.0,,,39-34,,R. Hibbert misses 2-pt shot from 1 ft (block by N. Noel)
2:02.0,,,39-34,,Offensive rebound by R. Hibbert
1:59.0,,,39-34,,R. Hibbert misses 2-pt shot at rim (block by J. Sampson)
1:58.0,Defensive rebound by T. McConnell,,39-34,,
1:52.0,I. Canaan misses 3-pt shot from 22 ft,,39-34,,
1:52.0,,,39-34,,Defensive rebound by L. Nance
1:47.0,,,39-36,2,L. Williams makes 2-pt shot at rim
1:47.0,,,39-36,,Shooting foul by T. McConnell (drawn by L. Williams)
1:47.0,,,39-36,,LA Lakers full timeout
1:47.0,R. Covington enters the game for J. Sampson,,39-36,,
1:47.0,,,39-36,,L. Williams misses free throw 1 of 1
1:47.0,Defensive rebound by Team,,39-36,,
1:47.0,,,39-36,,Loose ball foul by R. Hibbert (drawn by J. Grant)
1:30.0,J. Grant misses 2-pt shot from 2 ft,,39-36,,
1:29.0,,,39-36,,Defensive rebound by R. Hibbert
1:07.0,,,39-36,,R. Hibbert misses 2-pt shot from 10 ft
1:06.0,Defensive rebound by J. Grant,,39-36,,
0:54.0,N. Noel misses 2-pt shot from 8 ft,,39-36,,
0:53.0,,,39-36,,Defensive rebound by L. Nance
0:43.0,,,39-38,2,J. Clarkson makes 2-pt shot from 1 ft
0:36.0,N. Noel makes 2-pt shot at rim (assist by I. Canaan),2,41-38,,
0:16.0,,,41-38,,Shooting foul by J. Grant (drawn by J. Clarkson)
0:16.0,,,41-39,1,J. Clarkson makes free throw 1 of 2
0:16.0,,,41-40,1,J. Clarkson makes free throw 2 of 2
0:13.0,Philadelphia full timeout,,41-40,,
0:13.0,I. Smith enters the game for J. Grant,,41-40,,
0:13.0,N. Stauskas enters the game for T. McConnell,,41-40,,
0:13.0,,,41-40,,N. Young enters the game for R. Hibbert
0:01.0,N. Stauskas misses 3-pt shot from 23 ft,,41-40,,
0:00.0,Offensive rebound by Team,,41-40,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:39.0,J. Sampson misses 2-pt shot from 7 ft,,41-40,,
11:37.0,Offensive rebound by N. Noel,,41-40,,
11:25.0,Shooting foul by L. Nance (drawn by J. Grant),,41-40,,
11:25.0,J. Grant makes free throw 1 of 2,1,42-40,,
11:25.0,J. Grant makes free throw 2 of 2,1,43-40,,
11:09.0,,,43-40,,L. Williams misses 2-pt shot from 16 ft
11:09.0,Defensive rebound by N. Noel,,43-40,,
11:00.0,J. Sampson makes 2-pt shot at rim (assist by I. Smith),2,45-40,,
10:30.0,,,45-40,,J. Clarkson misses 3-pt shot from 23 ft
10:29.0,Defensive rebound by I. Canaan,,45-40,,
10:21.0,J. Sampson misses 3-pt shot from 23 ft,,45-40,,
10:20.0,Offensive rebound by J. Grant,,45-40,,
10:20.0,,,45-40,,Personal foul by L. Williams
10:00.0,I. Smith misses 2-pt shot from 2 ft,,45-40,,
9:59.0,,,45-40,,Defensive rebound by A. Brown
9:53.0,,,45-40,,Shooting foul by J. Sampson (drawn by L. Williams)
9:53.0,,,45-41,1,L. Williams makes free throw 1 of 2
9:53.0,,,45-42,1,L. Williams makes free throw 2 of 2
9:40.0,I. Canaan misses 2-pt shot from 4 ft (block by L. Williams),,45-42,,
9:39.0,Offensive rebound by I. Smith,,45-42,,
9:35.0,I. Canaan misses 3-pt shot from 23 ft,,45-42,,
9:34.0,Offensive rebound by J. Sampson,,45-42,,
9:31.0,J. Sampson makes 2-pt shot at rim,2,47-42,,
9:06.0,,,47-44,2,J. Clarkson makes 2-pt shot from 11 ft
8:59.0,I. Smith misses 2-pt shot from 1 ft,,47-44,,
8:56.0,,,47-44,,Defensive rebound by R. Hibbert
8:51.0,,,47-44,,J. Clarkson misses 2-pt shot at rim
8:49.0,,,47-44,,Offensive rebound by L. Nance
8:47.0,,,47-46,2,L. Nance makes 2-pt shot at rim
8:28.0,I. Canaan misses 3-pt shot from 23 ft,,47-46,,
8:28.0,,,47-46,,Defensive rebound by L. Nance
8:16.0,,,47-48,2,L. Williams makes 2-pt shot from 14 ft
8:00.0,I. Smith misses 2-pt shot from 18 ft,,47-48,,
7:58.0,Offensive rebound by N. Noel,,47-48,,
7:57.0,N. Noel makes 2-pt shot at rim,2,49-48,,
7:57.0,Shooting foul by R. Hibbert (drawn by N. Noel),,49-48,,
7:57.0,N. Noel misses free throw 1 of 1,,49-48,,
7:56.0,,,49-48,,Defensive rebound by R. Hibbert
7:39.0,,,49-48,,Turnover by L. Williams (lost ball; steal by N. Noel)
7:23.0,J. Grant misses 3-pt shot from 24 ft,,49-48,,
7:22.0,,,49-48,,Defensive rebound by A. Brown
7:13.0,,,49-50,2,A. Brown makes 2-pt shot from 17 ft
7:01.0,I. Smith makes 2-pt shot at rim,2,51-50,,
6:49.0,,,51-50,,Shooting foul by N. Noel (drawn by R. Hibbert)
6:49.0,,,51-50,,R. Hibbert misses free throw 1 of 2
6:49.0,,,51-50,,Offensive rebound by Team
6:49.0,,,51-51,1,R. Hibbert makes free throw 2 of 2
6:39.0,I. Smith misses 2-pt shot from 2 ft,,51-51,,
6:39.0,Offensive rebound by Team,,51-51,,
6:39.0,,,51-51,,Loose ball foul by J. Clarkson (drawn by N. Noel)
6:27.0,I. Smith misses 2-pt shot from 14 ft,,51-51,,
6:22.0,,,51-51,,Defensive rebound by L. Nance
6:22.0,Jump ball: L. Nance vs. J. Sampson (J. Clarkson gains possession),,,,Jump ball: L. Nance vs. J. Sampson (J. Clarkson gains possession)
6:15.0,,,51-51,,J. Clarkson misses 2-pt shot at rim (block by N. Noel)
6:13.0,,,51-51,,Offensive rebound by J. Clarkson
6:05.0,,,51-51,,L. Williams misses 3-pt shot from 26 ft
6:04.0,,,51-51,,Offensive rebound by L. Nance
6:04.0,,,51-53,2,L. Nance makes 2-pt shot at rim
6:04.0,Philadelphia full timeout,,51-53,,
6:04.0,N. Stauskas enters the game for J. Sampson,,51-53,,
5:52.0,Turnover by N. Stauskas (bad pass),,51-53,,
5:35.0,,,51-53,,L. Williams misses 2-pt shot from 12 ft
5:34.0,Defensive rebound by I. Canaan,,51-53,,
5:30.0,,,51-53,,Personal foul by J. Clarkson (drawn by I. Smith)
5:30.0,I. Smith makes free throw 1 of 2,1,52-53,,
5:30.0,J. Okafor enters the game for N. Noel,,52-53,,
5:30.0,,,52-53,,D. Russell enters the game for L. Williams
5:30.0,I. Smith misses free throw 2 of 2,,52-53,,
5:29.0,,,52-53,,Defensive rebound by Team
5:10.0,,,52-53,,J. Clarkson misses 2-pt shot from 1 ft
5:09.0,,,52-53,,Offensive rebound by L. Nance
5:09.0,,,52-53,,L. Nance misses 2-pt shot at rim
5:07.0,Defensive rebound by I. Canaan,,52-53,,
4:51.0,,,52-53,,Shooting block foul by R. Hibbert (drawn by I. Canaan)
4:51.0,I. Canaan makes free throw 1 of 2,1,53-53,,
4:51.0,,,53-53,,B. Bass enters the game for R. Hibbert
4:51.0,R. Covington enters the game for J. Grant,,53-53,,
4:51.0,I. Canaan makes free throw 2 of 2,1,54-53,,
4:22.0,,,54-56,3,A. Brown makes 3-pt shot from 24 ft (assist by J. Clarkson)
4:10.0,R. Covington misses 3-pt shot from 23 ft,,54-56,,
4:10.0,,,54-56,,Defensive rebound by L. Nance
3:58.0,,,54-58,2,B. Bass makes 2-pt shot from 13 ft (assist by D. Russell)
3:47.0,I. Smith misses 2-pt shot from 6 ft (block by D. Russell),,54-58,,
3:46.0,,,54-58,,Defensive rebound by D. Russell
3:33.0,,,54-58,,D. Russell misses 2-pt shot from 12 ft
3:32.0,Defensive rebound by R. Covington,,54-58,,
3:11.0,I. Canaan misses 2-pt shot from 2 ft,,54-58,,
3:10.0,,,54-58,,Defensive rebound by A. Brown
2:55.0,,,54-60,2,L. Nance makes 2-pt shot from 2 ft (assist by D. Russell)
2:49.0,Philadelphia full timeout,,54-60,,
2:49.0,,,54-60,,LA Lakers full timeout
2:49.0,,,54-60,,N. Young enters the game for A. Brown
2:49.0,,,54-60,,J. Randle enters the game for L. Nance
2:49.0,T. McConnell enters the game for I. Canaan,,54-60,,
2:49.0,J. Sampson enters the game for I. Smith,,54-60,,
2:32.0,Shooting foul by D. Russell (drawn by R. Covington),,54-60,,
2:32.0,R. Covington makes free throw 1 of 2,1,55-60,,
2:32.0,R. Covington makes free throw 2 of 2,1,56-60,,
2:13.0,,,56-62,2,J. Randle makes 2-pt shot at rim
2:02.0,J. Okafor makes 2-pt shot from 14 ft (assist by T. McConnell),2,58-62,,
1:48.0,,,58-62,,Turnover by D. Russell (bad pass; steal by N. Stauskas)
1:29.0,N. Stauskas misses 3-pt shot from 25 ft,,58-62,,
1:29.0,,,58-62,,Defensive rebound by J. Randle
1:23.0,,,58-62,,J. Randle misses 2-pt shot from 1 ft (block by T. McConnell)
1:21.0,,,58-62,,Offensive rebound by B. Bass
1:18.0,,,58-62,,B. Bass misses 2-pt shot at rim (block by R. Covington)
1:16.0,,,58-62,,Offensive rebound by N. Young
1:10.0,,,58-62,,N. Young misses 3-pt shot from 25 ft
1:09.0,,,58-62,,Offensive rebound by D. Russell
1:07.0,,,58-62,,D. Russell misses 2-pt shot at rim
1:07.0,,,58-62,,Offensive rebound by J. Randle
1:07.0,,,58-62,,Turnover by J. Randle (lost ball)
0:50.0,Turnover by T. McConnell (bad pass; steal by D. Russell),,58-62,,
0:48.0,Personal take foul by R. Covington (drawn by D. Russell),,58-62,,
0:39.0,,,58-62,,Turnover by D. Russell (bad pass; steal by R. Covington)
0:36.0,R. Covington makes 2-pt shot at rim (assist by T. McConnell),2,60-62,,
0:27.0,,,60-62,,D. Russell misses 2-pt shot from 19 ft
0:26.0,Defensive rebound by T. McConnell,,60-62,,
0:02.0,J. Okafor misses 2-pt shot from 7 ft,,60-62,,
0:00.0,Offensive rebound by Team,,60-62,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:42.0,,,60-64,2,N. Young makes 2-pt shot from 14 ft
11:34.0,Turnover by J. Okafor (lost ball; steal by B. Bass),,60-64,,
11:29.0,,,60-66,2,J. Randle makes 2-pt shot at rim
11:05.0,T. McConnell misses 3-pt shot from 23 ft,,60-66,,
11:05.0,,,60-66,,Defensive rebound by N. Young
11:00.0,,,60-68,2,B. Bass makes 2-pt shot at rim (assist by L. Williams)
11:00.0,Philadelphia full timeout,,60-68,,
11:00.0,J. Grant enters the game for R. Covington,,60-68,,
10:38.0,T. McConnell makes 2-pt shot from 1 ft (assist by N. Stauskas),2,62-68,,
10:21.0,,,62-68,,Shooting foul by J. Okafor (drawn by L. Williams)
10:21.0,,,62-69,1,L. Williams makes free throw 1 of 2
10:21.0,,,62-70,1,L. Williams makes free throw 2 of 2
10:06.0,J. Okafor makes 2-pt shot at rim (assist by T. McConnell),2,64-70,,
9:47.0,,,64-70,,D. Russell misses 2-pt shot from 11 ft
9:45.0,Defensive rebound by J. Okafor,,64-70,,
9:38.0,J. Grant makes 2-pt shot from 1 ft (assist by T. McConnell),2,66-70,,
9:28.0,,,66-70,,Shooting foul by N. Stauskas (drawn by B. Bass)
9:28.0,,,66-71,1,B. Bass makes free throw 1 of 2
9:28.0,,,66-71,,B. Bass misses free throw 2 of 2
9:26.0,Defensive rebound by J. Grant,,66-71,,
9:07.0,J. Grant makes 2-pt shot from 1 ft (assist by T. McConnell),2,68-71,,
8:51.0,,,68-73,2,J. Randle makes 2-pt shot from 1 ft (assist by L. Williams)
8:36.0,I. Canaan misses 3-pt shot from 22 ft,,68-73,,
8:36.0,,,68-73,,Defensive rebound by J. Randle
8:22.0,,,68-73,,N. Young misses 2-pt shot from 10 ft
8:21.0,Defensive rebound by J. Okafor,,68-73,,
8:10.0,N. Stauskas makes 2-pt shot at rim (assist by T. McConnell),2,70-73,,
8:10.0,,,70-73,,LA Lakers full timeout
7:55.0,,,70-76,3,N. Young makes 3-pt shot from 24 ft (assist by L. Williams)
7:36.0,Turnover by N. Stauskas (lost ball; steal by N. Young),,70-76,,
7:30.0,,,70-78,2,J. Randle makes 2-pt shot at rim (assist by D. Russell)
7:18.0,N. Stauskas misses 3-pt shot from 23 ft,,70-78,,
7:17.0,,,70-78,,Defensive rebound by L. Williams
7:02.0,,,70-78,,B. Bass misses 2-pt shot from 14 ft
7:02.0,Defensive rebound by J. Grant,,70-78,,
6:57.0,Turnover by T. McConnell (lost ball; steal by B. Bass),,70-78,,
6:49.0,,,70-81,3,L. Williams makes 3-pt shot from 24 ft (assist by B. Bass)
6:27.0,I. Canaan makes 2-pt shot from 3 ft,2,72-81,,
6:12.0,,,72-83,2,D. Russell makes 2-pt shot from 1 ft
5:55.0,J. Okafor misses 2-pt shot from 1 ft,,72-83,,
5:55.0,,,72-83,,Defensive rebound by D. Russell
5:36.0,,,72-83,,D. Russell misses 2-pt shot from 17 ft
5:35.0,Defensive rebound by T. McConnell,,72-83,,
5:19.0,Turnover by I. Canaan (bad pass; steal by D. Russell),,72-83,,
5:13.0,,,72-86,3,L. Williams makes 3-pt shot from 24 ft (assist by N. Young)
5:13.0,Philadelphia full timeout,,72-86,,
5:13.0,R. Covington enters the game for I. Canaan,,72-86,,
5:13.0,N. Noel enters the game for J. Okafor,,72-86,,
5:13.0,I. Smith enters the game for T. McConnell,,72-86,,
5:13.0,,,72-86,,J. Clarkson enters the game for D. Russell
4:58.0,I. Smith misses 2-pt shot from 21 ft,,72-86,,
4:57.0,,,72-86,,Defensive rebound by J. Randle
