time,Sacramento,pts.away,score,pts.home,Chicago
4:58.0,,,16-17,,D. Rose misses free throw 1 of 2
4:58.0,,,16-17,,Offensive rebound by Team
4:58.0,,,16-17,,D. McDermott enters the game for M. Dunleavy
4:58.0,W. Cauley-Stein enters the game for Q. Acy,,16-17,,
4:58.0,,,16-17,,D. Rose misses free throw 2 of 2
4:57.0,Defensive rebound by D. Cousins,,16-17,,
4:43.0,R. Rondo makes 2-pt shot from 1 ft (assist by D. Cousins),2,18-17,,
4:31.0,,,18-19,2,T. Gibson makes 2-pt shot at rim (assist by N. Mirotic)
4:16.0,D. Cousins misses 2-pt shot from 13 ft,,18-19,,
4:15.0,Offensive rebound by R. Gay,,18-19,,
4:05.0,Turnover by D. Cousins (lost ball; steal by T. Gibson),,18-19,,
3:55.0,,,18-22,3,D. McDermott makes 3-pt shot from 24 ft (assist by J. Butler)
3:41.0,R. Gay makes 2-pt shot from 5 ft,2,20-22,,
3:22.0,,,20-25,3,D. McDermott makes 3-pt shot from 24 ft (assist by T. Gibson)
2:57.0,Sacramento full timeout,,20-25,,
2:57.0,,,20-25,,A. Brooks enters the game for D. Rose
2:57.0,,,20-25,,J. Holiday enters the game for J. Butler
2:57.0,D. Collison enters the game for R. Gay,,20-25,,
2:57.0,O. Casspi enters the game for J. Anderson,,20-25,,
2:56.0,Turnover by R. Rondo (bad pass),,20-25,,
2:39.0,,,20-25,,N. Mirotic misses 2-pt shot from 21 ft
2:38.0,Defensive rebound by D. Cousins,,20-25,,
2:27.0,Turnover by W. Cauley-Stein (lost ball; steal by A. Brooks),,20-25,,
2:24.0,,,20-25,,Turnover by A. Brooks (bad pass)
2:13.0,D. Collison makes 2-pt shot from 2 ft,2,22-25,,
2:13.0,Shooting foul by J. Holiday (drawn by D. Collison),,22-25,,
2:13.0,D. Collison makes free throw 1 of 1,1,23-25,,
1:57.0,,,23-25,,A. Brooks misses 2-pt shot from 9 ft
1:56.0,Defensive rebound by D. Cousins,,23-25,,
1:50.0,R. Rondo misses 2-pt shot from 5 ft,,23-25,,
1:49.0,Offensive rebound by D. Cousins,,23-25,,
1:49.0,W. Cauley-Stein misses 2-pt shot from 1 ft,,23-25,,
1:47.0,Offensive rebound by W. Cauley-Stein,,23-25,,
1:47.0,W. Cauley-Stein misses 2-pt shot at rim,,23-25,,
1:45.0,Offensive rebound by R. Rondo,,23-25,,
1:41.0,D. Collison makes 3-pt shot from 23 ft (assist by R. Rondo),3,26-25,,
1:20.0,,,26-27,2,A. Brooks makes 2-pt shot from 11 ft
1:05.0,Turnover by D. Cousins (traveling),,26-27,,
1:05.0,,,26-27,,B. Portis enters the game for T. Gibson
1:05.0,C. Butler enters the game for D. Cousins,,26-27,,
0:57.0,,,26-27,,J. Holiday misses 3-pt shot from 25 ft
0:56.0,Defensive rebound by O. Casspi,,26-27,,
0:42.0,O. Casspi misses 2-pt shot from 1 ft,,26-27,,
0:41.0,,,26-27,,Defensive rebound by B. Portis
0:36.0,,,26-30,3,D. McDermott makes 3-pt shot from 23 ft (assist by A. Brooks)
0:29.0,D. Collison misses 2-pt shot from 20 ft,,26-30,,
0:28.0,,,26-30,,Defensive rebound by A. Brooks
0:04.0,,,26-30,,A. Brooks misses 2-pt shot from 14 ft
0:03.0,Defensive rebound by Team,,26-30,,
0:00.0,C. Butler misses 3-pt shot from 47 ft,,26-30,,
0:00.0,Offensive rebound by Team,,26-30,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:45.0,M. Belinelli misses 2-pt shot from 6 ft (block by J. Holiday),,26-30,,
11:43.0,Offensive rebound by M. Belinelli,,26-30,,
11:39.0,C. Butler makes 2-pt shot from 20 ft (assist by M. Belinelli),2,28-30,,
11:20.0,,,28-30,,B. Portis misses 2-pt shot from 15 ft
11:19.0,Defensive rebound by D. Collison,,28-30,,
11:01.0,K. Koufos misses 2-pt shot from 11 ft (block by N. Mirotic),,28-30,,
10:59.0,,,28-30,,Defensive rebound by N. Mirotic
10:45.0,,,28-32,2,B. Portis makes 2-pt shot from 1 ft (assist by A. Brooks)
10:35.0,M. Belinelli misses 2-pt shot from 13 ft,,28-32,,
10:34.0,,,28-32,,Defensive rebound by N. Mirotic
10:29.0,,,28-32,,Turnover by N. Mirotic (lost ball; steal by C. Butler)
10:22.0,D. Collison misses 2-pt shot from 1 ft,,28-32,,
10:21.0,,,28-32,,Defensive rebound by B. Portis
10:09.0,,,28-32,,D. McDermott misses 2-pt shot from 17 ft
10:08.0,Defensive rebound by K. Koufos,,28-32,,
9:56.0,C. Butler makes 2-pt shot from 17 ft,2,30-32,,
9:39.0,,,30-32,,Turnover by D. McDermott (lost ball; steal by M. Belinelli)
9:36.0,M. Belinelli makes 2-pt shot at rim (assist by D. Collison),2,32-32,,
9:18.0,,,32-35,3,J. Holiday makes 3-pt shot from 24 ft (assist by B. Portis)
9:00.0,Sacramento full timeout,,32-35,,
9:00.0,,,32-35,,P. Gasol enters the game for N. Mirotic
9:00.0,,,32-35,,J. Butler enters the game for J. Holiday
8:57.0,C. Butler misses 3-pt shot from 24 ft,,32-35,,
8:57.0,Offensive rebound by O. Casspi,,32-35,,
8:57.0,,,32-35,,Personal foul by D. McDermott
8:42.0,K. Koufos misses 2-pt shot from 6 ft,,32-35,,
8:41.0,,,32-35,,Defensive rebound by P. Gasol
8:29.0,,,32-35,,J. Butler misses 2-pt shot at rim
8:27.0,Defensive rebound by D. Collison,,32-35,,
8:17.0,O. Casspi misses 3-pt shot from 25 ft,,32-35,,
8:16.0,,,32-35,,Defensive rebound by B. Portis
8:08.0,Personal foul by M. Belinelli,,32-35,,
8:01.0,,,32-35,,A. Brooks misses 3-pt shot from 24 ft
8:00.0,Defensive rebound by O. Casspi,,32-35,,
7:56.0,Shooting foul by A. Brooks (drawn by O. Casspi),,32-35,,
7:56.0,O. Casspi misses free throw 1 of 2,,32-35,,
7:56.0,Offensive rebound by Team,,32-35,,
7:56.0,,,32-35,,D. Rose enters the game for A. Brooks
7:56.0,O. Casspi misses free throw 2 of 2,,32-35,,
7:54.0,,,32-35,,Defensive rebound by B. Portis
7:34.0,,,32-37,2,D. Rose makes 2-pt shot from 2 ft (assist by J. Butler)
7:24.0,K. Koufos makes 2-pt shot at rim (assist by D. Collison),2,34-37,,
7:11.0,R. Gay enters the game for O. Casspi,,34-37,,
7:05.0,,,34-37,,P. Gasol misses 2-pt shot from 9 ft
7:04.0,Defensive rebound by K. Koufos,,34-37,,
6:50.0,C. Butler makes 2-pt shot from 15 ft (assist by M. Belinelli),2,36-37,,
6:36.0,,,36-39,2,B. Portis makes 2-pt shot from 1 ft (assist by D. McDermott)
6:21.0,C. Butler misses 3-pt shot from 24 ft,,36-39,,
6:20.0,,,36-39,,Defensive rebound by P. Gasol
6:18.0,Personal foul by C. Butler,,36-39,,
6:18.0,D. Cousins enters the game for K. Koufos,,36-39,,
6:04.0,,,36-39,,Shooting foul by D. Cousins (drawn by P. Gasol)
6:04.0,,,36-39,,P. Gasol misses free throw 1 of 2
6:04.0,,,36-39,,Offensive rebound by Team
6:04.0,,,36-40,1,P. Gasol makes free throw 2 of 2
5:49.0,D. Cousins makes 2-pt shot at rim (assist by D. Collison),2,38-40,,
5:35.0,,,38-40,,P. Gasol misses 2-pt shot from 19 ft
5:34.0,Defensive rebound by D. Cousins,,38-40,,
5:26.0,Turnover by D. Cousins (lost ball; steal by P. Gasol),,38-40,,
5:08.0,,,38-43,3,D. McDermott makes 3-pt shot from 25 ft (assist by P. Gasol)
4:51.0,C. Butler misses 3-pt shot from 22 ft,,38-43,,
4:50.0,,,38-43,,Defensive rebound by P. Gasol
4:46.0,,,38-43,,D. McDermott misses 3-pt shot from 24 ft
4:45.0,,,38-43,,Offensive rebound by B. Portis
4:36.0,,,38-43,,D. McDermott misses 2-pt shot from 20 ft
4:36.0,,,38-43,,Offensive rebound by Team
4:36.0,,,38-43,,Chicago full timeout
4:36.0,R. Rondo enters the game for C. Butler,,38-43,,
4:36.0,,,38-43,,T. Gibson enters the game for B. Portis
4:36.0,,,38-43,,Shooting foul by R. Rondo (drawn by J. Butler)
4:36.0,,,38-43,,J. Butler misses free throw 1 of 2
4:36.0,,,38-43,,Offensive rebound by Team
4:36.0,,,38-43,,J. Butler misses free throw 2 of 2
4:34.0,Defensive rebound by D. Cousins,,38-43,,
4:19.0,M. Belinelli makes 2-pt shot from 3 ft (assist by D. Cousins),2,40-43,,
4:09.0,,,40-45,2,D. Rose makes 2-pt shot from 10 ft
3:47.0,D. Cousins misses 2-pt shot from 2 ft (block by P. Gasol),,40-45,,
3:45.0,Offensive rebound by D. Cousins,,40-45,,
3:45.0,Shooting foul by P. Gasol (drawn by D. Cousins),,40-45,,
3:45.0,D. Cousins makes free throw 1 of 2,1,41-45,,
3:45.0,,,41-45,,M. Dunleavy enters the game for D. McDermott
3:45.0,D. Cousins makes free throw 2 of 2,1,42-45,,
3:29.0,,,42-45,,T. Gibson misses 2-pt shot from 8 ft
3:28.0,Defensive rebound by D. Cousins,,42-45,,
3:18.0,R. Gay makes 2-pt shot from 20 ft,2,44-45,,
3:01.0,,,44-48,3,M. Dunleavy makes 3-pt shot from 24 ft (assist by D. Rose)
2:45.0,R. Gay makes 2-pt shot from 22 ft,2,46-48,,
2:37.0,Personal foul by R. Gay,,46-48,,
2:37.0,,,46-48,,Chicago full timeout
2:37.0,,,46-48,,N. Mirotic enters the game for P. Gasol
2:37.0,,,46-49,1,T. Gibson makes free throw 1 of 2
2:37.0,,,46-50,1,T. Gibson makes free throw 2 of 2
2:21.0,D. Collison misses 2-pt shot from 21 ft,,46-50,,
2:21.0,,,46-50,,Defensive rebound by Team
2:21.0,Loose ball foul by D. Cousins,,46-50,,
2:21.0,,,46-51,1,T. Gibson makes free throw 1 of 2
2:21.0,O. Casspi enters the game for M. Belinelli,,46-51,,
2:21.0,,,46-52,1,T. Gibson makes free throw 2 of 2
2:07.0,R. Rondo misses 2-pt shot from 15 ft,,46-52,,
2:06.0,,,46-52,,Defensive rebound by D. Rose
2:01.0,,,46-52,,D. Rose misses 2-pt shot from 1 ft
2:00.0,Defensive rebound by D. Cousins,,46-52,,
1:58.0,,,46-52,,Personal foul by T. Gibson
1:49.0,,,46-52,,Personal foul by M. Dunleavy
1:49.0,D. Cousins makes free throw 1 of 2,1,47-52,,
1:49.0,J. Anderson enters the game for D. Collison,,47-52,,
1:49.0,D. Cousins makes free throw 2 of 2,1,48-52,,
1:37.0,,,48-55,3,N. Mirotic makes 3-pt shot from 24 ft (assist by M. Dunleavy)
1:22.0,O. Casspi makes 3-pt shot from 25 ft (assist by D. Cousins),3,51-55,,
1:00.0,,,51-57,2,T. Gibson makes 2-pt shot at rim (assist by J. Butler)
0:51.0,Turnover by D. Cousins (lost ball; steal by J. Butler),,51-57,,
0:47.0,,,51-59,2,J. Butler makes 2-pt shot from 1 ft
0:47.0,Sacramento full timeout,,51-59,,
0:31.0,D. Cousins misses 2-pt shot from 2 ft,,51-59,,
0:31.0,,,51-59,,Defensive rebound by Team
0:13.0,,,51-59,,T. Gibson misses 2-pt shot from 10 ft
0:12.0,Defensive rebound by J. Anderson,,51-59,,
0:00.0,J. Anderson misses 3-pt shot from 27 ft,,51-59,,
0:00.0,Offensive rebound by Team,,51-59,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:44.0,D. Cousins misses 2-pt shot from 1 ft (block by P. Gasol),,51-59,,
11:44.0,,,51-59,,Defensive rebound by Team
11:27.0,,,51-61,2,D. Rose makes 2-pt shot from 19 ft (assist by J. Butler)
11:05.0,R. Rondo misses 3-pt shot from 24 ft,,51-61,,
11:04.0,,,51-61,,Defensive rebound by P. Gasol
10:55.0,,,51-61,,J. Butler misses 3-pt shot from 22 ft
10:52.0,Defensive rebound by J. Anderson,,51-61,,
10:36.0,R. Gay misses 3-pt shot from 24 ft,,51-61,,
10:34.0,Offensive rebound by R. Rondo,,51-61,,
10:30.0,J. Anderson misses 3-pt shot from 27 ft,,51-61,,
10:29.0,,,51-61,,Defensive rebound by P. Gasol
10:07.0,,,51-61,,M. Dunleavy misses 3-pt shot from 24 ft
10:05.0,Defensive rebound by R. Gay,,51-61,,
9:57.0,Turnover by J. Anderson (step out of bounds),,51-61,,
9:42.0,,,51-61,,D. Rose misses 2-pt shot from 1 ft
9:41.0,Defensive rebound by D. Cousins,,51-61,,
9:30.0,R. Rondo makes 2-pt shot from 2 ft,2,53-61,,
9:12.0,,,53-61,,M. Dunleavy misses 2-pt shot from 3 ft
9:11.0,Defensive rebound by R. Gay,,53-61,,
9:05.0,Turnover by J. Anderson (lost ball; steal by M. Dunleavy),,53-61,,
9:01.0,,,53-61,,Turnover by D. Rose (lost ball; steal by D. Cousins)
8:55.0,J. Anderson misses 3-pt shot from 25 ft,,53-61,,
8:54.0,,,53-61,,Defensive rebound by P. Gasol
8:43.0,,,53-63,2,P. Gasol makes 2-pt shot from 20 ft (assist by J. Butler)
8:24.0,Q. Acy misses 3-pt shot from 25 ft,,53-63,,
8:23.0,,,53-63,,Defensive rebound by P. Gasol
8:08.0,,,53-63,,T. Gibson misses 2-pt shot at rim
8:08.0,,,53-63,,Offensive rebound by T. Gibson
8:08.0,Personal foul by Q. Acy,,53-63,,
8:08.0,O. Casspi enters the game for Q. Acy,,53-63,,
8:01.0,,,53-65,2,D. Rose makes 2-pt shot from 6 ft (assist by P. Gasol)
7:53.0,J. Anderson misses 2-pt shot from 2 ft (block by P. Gasol),,53-65,,
7:52.0,,,53-65,,Defensive rebound by P. Gasol
7:31.0,,,53-65,,Turnover by M. Dunleavy (lost ball; steal by O. Casspi)
7:26.0,R. Rondo makes 2-pt shot from 2 ft,2,55-65,,
7:12.0,,,55-65,,J. Butler misses 2-pt shot from 10 ft
7:12.0,,,55-65,,Offensive rebound by P. Gasol
7:12.0,,,55-65,,Shooting foul by O. Casspi (drawn by P. Gasol)
7:12.0,,,55-65,,P. Gasol misses free throw 1 of 2
7:12.0,,,55-65,,Offensive rebound by Team
7:12.0,D. Collison enters the game for J. Anderson,,55-65,,
7:12.0,,,55-66,1,P. Gasol makes free throw 2 of 2
6:58.0,D. Cousins makes 2-pt shot from 20 ft (assist by R. Rondo),2,57-66,,
6:48.0,,,57-66,,Turnover by T. Gibson (3 sec)
6:38.0,R. Rondo misses 2-pt shot from 1 ft,,57-66,,
6:37.0,,,57-66,,Defensive rebound by D. Rose
6:31.0,,,57-69,3,M. Dunleavy makes 3-pt shot from 24 ft (assist by D. Rose)
6:28.0,Sacramento full timeout,,57-69,,
6:12.0,D. Collison makes 3-pt shot from 24 ft (assist by O. Casspi),3,60-69,,
6:00.0,Personal foul by D. Collison,,60-69,,
6:00.0,,,60-69,,N. Mirotic enters the game for P. Gasol
5:47.0,,,60-69,,D. Rose misses 3-pt shot from 24 ft
5:46.0,Defensive rebound by R. Gay,,60-69,,
5:28.0,R. Gay makes 3-pt shot from 25 ft (assist by O. Casspi),3,63-69,,
5:13.0,,,63-69,,N. Mirotic misses 2-pt shot from 19 ft
5:12.0,Defensive rebound by D. Cousins,,63-69,,
5:08.0,Turnover by D. Cousins (lost ball; steal by T. Gibson),,63-69,,
5:06.0,,,63-71,2,T. Gibson makes 2-pt shot at rim
4:48.0,Turnover by R. Rondo (lost ball; steal by D. Rose),,63-71,,
4:42.0,,,63-71,,Offensive charge foul by N. Mirotic
4:42.0,,,63-71,,Turnover by N. Mirotic (offensive foul)
4:42.0,,,63-71,,D. McDermott enters the game for M. Dunleavy
4:35.0,Shooting foul by D. McDermott (drawn by D. Cousins),,63-71,,
4:35.0,D. Cousins makes free throw 1 of 2,1,64-71,,
4:35.0,,,64-71,,A. Brooks enters the game for D. Rose
4:35.0,D. Cousins makes free throw 2 of 2,1,65-71,,
4:17.0,,,65-71,,J. Butler misses 2-pt shot from 17 ft
4:16.0,Defensive rebound by D. Collison,,65-71,,
4:00.0,R. Gay makes 3-pt shot from 23 ft (assist by R. Rondo),3,68-71,,
4:00.0,,,68-71,,Chicago full timeout
3:36.0,,,68-74,3,N. Mirotic makes 3-pt shot from 24 ft (assist by A. Brooks)
3:15.0,D. Cousins misses 3-pt shot from 25 ft,,68-74,,
3:15.0,Offensive rebound by O. Casspi,,68-74,,
3:15.0,O. Casspi misses 2-pt shot from 1 ft,,68-74,,
3:15.0,Offensive rebound by O. Casspi,,68-74,,
3:15.0,Shooting foul by N. Mirotic (drawn by O. Casspi),,68-74,,
3:15.0,O. Casspi makes free throw 1 of 2,1,69-74,,
3:15.0,,,69-74,,J. Holiday enters the game for J. Butler
3:15.0,C. Butler enters the game for R. Gay,,69-74,,
3:15.0,O. Casspi makes free throw 2 of 2,1,70-74,,
3:00.0,,,70-77,3,J. Holiday makes 3-pt shot from 25 ft (assist by A. Brooks)
2:50.0,R. Rondo makes 2-pt shot from 1 ft,2,72-77,,
2:27.0,,,72-77,,N. Mirotic misses 2-pt shot from 7 ft
2:26.0,Defensive rebound by D. Cousins,,72-77,,
2:22.0,Turnover by R. Rondo (lost ball; steal by T. Gibson),,72-77,,
2:16.0,,,72-77,,D. McDermott misses 3-pt shot from 24 ft
2:14.0,Defensive rebound by D. Cousins,,72-77,,
2:09.0,D. Cousins makes 2-pt shot from 1 ft,2,74-77,,
1:52.0,,,74-80,3,J. Holiday makes 3-pt shot from 23 ft (assist by N. Mirotic)
1:24.0,C. Butler makes 2-pt shot from 20 ft (assist by O. Casspi),2,76-80,,
1:12.0,,,76-82,2,D. McDermott makes 2-pt shot from 20 ft (assist by T. Gibson)
1:06.0,Turnover by R. Rondo (bad pass),,76-82,,
1:06.0,M. Belinelli enters the game for R. Rondo,,76-82,,
0:47.0,,,76-82,,N. Mirotic misses 3-pt shot from 25 ft
0:45.0,Defensive rebound by D. Cousins,,76-82,,
0:37.0,Shooting foul by D. McDermott (drawn by D. Collison),,76-82,,
0:37.0,D. Collison makes free throw 1 of 2,1,77-82,,
0:37.0,,,77-82,,B. Portis enters the game for T. Gibson
0:37.0,D. Collison makes free throw 2 of 2,1,78-82,,
0:14.0,,,78-82,,N. Mirotic misses 2-pt shot from 21 ft
0:13.0,Defensive rebound by O. Casspi,,78-82,,
0:07.0,D. Cousins makes 2-pt shot from 2 ft (assist by M. Belinelli),2,80-82,,
0:07.0,Shooting foul by N. Mirotic (drawn by D. Cousins),,80-82,,
0:07.0,D. Cousins makes free throw 1 of 1,1,81-82,,
0:02.0,,,81-82,,J. Holiday misses 2-pt shot from 3 ft
0:01.0,Defensive rebound by M. Belinelli,,81-82,,
0:00.0,M. Belinelli misses 3-pt shot from 67 ft,,81-82,,
0:00.0,Offensive rebound by Team,,81-82,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:35.0,,,81-84,2,D. McDermott makes 2-pt shot from 17 ft (assist by A. Brooks)
11:17.0,O. Casspi makes 2-pt shot from 10 ft (assist by C. Butler),2,83-84,,
11:00.0,,,83-84,,B. Portis misses 2-pt shot at rim
10:59.0,Defensive rebound by O. Casspi,,83-84,,
10:48.0,C. Butler misses 2-pt shot from 23 ft,,83-84,,
10:47.0,,,83-84,,Defensive rebound by D. McDermott
10:33.0,,,83-86,2,B. Portis makes 2-pt shot from 2 ft (assist by A. Brooks)
10:05.0,C. Butler misses 3-pt shot from 24 ft,,83-86,,
10:04.0,,,83-86,,Defensive rebound by J. Holiday
9:56.0,,,83-86,,Shooting foul by D. Collison (drawn by A. Brooks)
9:56.0,,,83-86,,A. Brooks misses free throw 1 of 2
9:56.0,,,83-86,,Offensive rebound by Team
9:56.0,,,83-86,,A. Brooks misses free throw 2 of 2
9:54.0,,,83-86,,Offensive rebound by A. Brooks
9:40.0,,,83-86,,Turnover by A. Brooks (lost ball; steal by C. Butler)
9:30.0,D. Collison makes 3-pt shot from 23 ft (assist by M. Belinelli),3,86-86,,
9:15.0,,,86-86,,N. Mirotic misses 3-pt shot from 24 ft
9:14.0,,,86-86,,Offensive rebound by B. Portis
9:10.0,,,86-86,,D. McDermott misses 3-pt shot from 24 ft
9:09.0,Defensive rebound by O. Casspi,,86-86,,
9:01.0,O. Casspi misses 3-pt shot from 24 ft,,86-86,,
9:00.0,Offensive rebound by K. Koufos,,86-86,,
8:53.0,M. Belinelli misses 3-pt shot from 24 ft,,86-86,,
8:51.0,,,86-86,,Defensive rebound by A. Brooks
8:45.0,,,86-86,,Turnover by N. Mirotic (lost ball; steal by C. Butler)
8:40.0,M. Belinelli makes 3-pt shot from 24 ft,3,89-86,,
8:40.0,,,89-86,,Chicago full timeout
8:40.0,,,89-86,,M. Dunleavy enters the game for N. Mirotic
8:40.0,,,89-86,,D. Rose enters the game for D. McDermott
8:40.0,,,89-86,,J. Butler enters the game for A. Brooks
8:27.0,,,89-86,,Shooting foul by K. Koufos (drawn by J. Butler)
8:27.0,,,89-87,1,J. Butler makes free throw 1 of 2
8:27.0,,,89-88,1,J. Butler makes free throw 2 of 2
8:04.0,M. Belinelli misses 3-pt shot from 25 ft,,89-88,,
8:03.0,Offensive rebound by D. Collison,,89-88,,
8:01.0,Turnover by D. Collison (lost ball; steal by J. Butler),,89-88,,
7:59.0,Personal take foul by K. Koufos,,89-88,,
7:59.0,R. Gay enters the game for O. Casspi,,89-88,,
7:49.0,,,89-88,,J. Holiday misses 2-pt shot from 16 ft
7:48.0,Defensive rebound by C. Butler,,89-88,,
7:38.0,C. Butler makes 2-pt shot from 17 ft,2,91-88,,
7:22.0,,,91-88,,B. Portis misses 2-pt shot from 17 ft
7:21.0,Defensive rebound by C. Butler,,91-88,,
7:12.0,D. Collison makes 2-pt shot from 2 ft,2,93-88,,
6:55.0,,,93-90,2,D. Rose makes 2-pt shot from 2 ft
6:34.0,R. Gay makes 2-pt shot from 7 ft (assist by D. Collison),2,95-90,,
6:19.0,,,95-90,,D. Rose misses 2-pt shot from 10 ft
6:19.0,,,95-90,,Offensive rebound by J. Butler
6:10.0,Personal foul by R. Gay,,95-90,,
6:10.0,,,95-90,,P. Gasol enters the game for B. Portis
6:10.0,,,95-90,,T. Gibson enters the game for J. Holiday
6:10.0,Sacramento full timeout,,95-90,,
6:10.0,D. Cousins enters the game for K. Koufos,,95-90,,
6:01.0,,,95-92,2,J. Butler makes 2-pt shot from 1 ft
5:46.0,,,95-92,,Personal foul by P. Gasol
5:31.0,D. Collison misses 3-pt shot from 29 ft,,95-92,,
5:31.0,Offensive rebound by Team,,95-92,,
5:31.0,Turnover by Team (shot clock),,95-92,,
5:21.0,Personal foul by R. Gay,,95-92,,
5:21.0,,,95-93,1,P. Gasol makes free throw 1 of 2
5:21.0,,,95-94,1,P. Gasol makes free throw 2 of 2
5:07.0,Offensive foul by D. Cousins,,95-94,,
5:07.0,Turnover by D. Cousins (offensive foul),,95-94,,
4:53.0,,,95-96,2,D. Rose makes 2-pt shot from 16 ft
4:34.0,R. Gay misses 2-pt shot from 17 ft,,95-96,,
4:33.0,,,95-96,,Defensive rebound by P. Gasol
4:19.0,,,95-96,,J. Butler misses 2-pt shot at rim
4:19.0,Defensive rebound by Team,,95-96,,
4:19.0,,,95-96,,Loose ball foul by M. Dunleavy
4:04.0,Turnover by D. Cousins (step out of bounds),,95-96,,
3:50.0,,,95-98,2,D. Rose makes 2-pt shot from 14 ft
3:50.0,Sacramento full timeout,,95-98,,
3:50.0,R. Rondo enters the game for M. Belinelli,,95-98,,
3:39.0,,,95-98,,Personal foul by P. Gasol
3:25.0,R. Gay misses 2-pt shot from 20 ft,,95-98,,
3:24.0,,,95-98,,Defensive rebound by P. Gasol
3:04.0,,,95-98,,P. Gasol misses 2-pt shot from 1 ft
