time,Washington,pts.away,score,pts.home,Portland
11:09.0,Turnover by R. Sessions (lost ball; steal by E. Davis),,24-29,,
11:05.0,,,24-29,,Shooting foul by G. Temple (drawn by C. McCollum)
11:05.0,,,24-30,1,C. McCollum makes free throw 1 of 2
11:05.0,,,24-31,1,C. McCollum makes free throw 2 of 2
10:51.0,N. Hilario misses 2-pt shot from 18 ft,,24-31,,
10:50.0,,,24-31,,Defensive rebound by E. Davis
10:35.0,,,24-31,,G. Henderson misses 2-pt shot from 15 ft
10:35.0,Defensive rebound by K. Oubre,,24-31,,
10:21.0,R. Sessions makes 2-pt shot from 1 ft (assist by N. Hilario),2,26-31,,
10:07.0,,,26-31,,Offensive foul by C. McCollum
10:07.0,,,26-31,,Turnover by C. McCollum (offensive foul)
9:57.0,,,26-31,,Personal foul by M. Leonard
9:50.0,N. Hilario makes 2-pt shot from 4 ft,2,28-31,,
9:33.0,Personal foul by J. Dudley,,28-31,,
9:31.0,,,28-33,2,G. Henderson makes 2-pt shot at rim (assist by E. Davis)
9:31.0,,,28-33,,Shooting foul by K. Oubre (drawn by G. Henderson)
9:31.0,,,28-34,1,G. Henderson makes free throw 1 of 1
9:18.0,,,28-34,,Def 3 sec tech foul by C. McCollum
9:18.0,R. Sessions misses technical free throw,,28-34,,
9:18.0,Offensive rebound by Team,,28-34,,
9:06.0,N. Hilario misses 2-pt shot from 18 ft,,28-34,,
9:05.0,,,28-34,,Defensive rebound by E. Davis
8:52.0,,,28-34,,Turnover by C. McCollum (lost ball; steal by J. Dudley)
8:48.0,G. Temple makes 2-pt shot from 1 ft (assist by R. Sessions),2,30-34,,
8:29.0,,,30-34,,M. Leonard misses 3-pt shot from 24 ft
8:28.0,Defensive rebound by R. Sessions,,30-34,,
8:24.0,Shooting foul by M. Leonard (drawn by R. Sessions),,30-34,,
8:24.0,Official timeout,,30-34,,
8:24.0,,,30-34,,A. Aminu enters the game for M. Leonard
8:24.0,R. Sessions misses free throw 1 of 2,,30-34,,
8:24.0,Offensive rebound by Team,,30-34,,
8:24.0,R. Sessions makes free throw 2 of 2,1,31-34,,
8:11.0,,,31-34,,Offensive foul by C. McCollum
8:11.0,,,31-34,,Turnover by C. McCollum (offensive foul)
8:11.0,,,31-34,,D. Lillard enters the game for C. McCollum
7:59.0,J. Dudley makes 2-pt shot from 17 ft (assist by R. Sessions),2,33-34,,
7:38.0,Personal foul by N. Hilario,,33-34,,
7:32.0,,,33-34,,D. Lillard misses 3-pt shot from 25 ft
7:32.0,Defensive rebound by R. Sessions,,33-34,,
7:12.0,N. Hilario misses 2-pt shot from 16 ft,,33-34,,
7:12.0,,,33-34,,Defensive rebound by D. Lillard
7:12.0,Personal foul by J. Dudley,,33-34,,
7:12.0,,,33-35,1,D. Lillard makes free throw 1 of 2
7:12.0,M. Morris enters the game for J. Dudley,,33-35,,
7:12.0,,,33-36,1,D. Lillard makes free throw 2 of 2
7:00.0,N. Hilario misses 2-pt shot from 6 ft,,33-36,,
6:59.0,,,33-36,,Defensive rebound by A. Crabbe
6:56.0,,,33-38,2,G. Henderson makes 2-pt shot at rim
6:56.0,,,33-38,,Shooting foul by K. Oubre (drawn by G. Henderson)
6:56.0,,,33-39,1,G. Henderson makes free throw 1 of 1
6:45.0,N. Hilario makes 2-pt shot from 5 ft (assist by R. Sessions),2,35-39,,
6:45.0,Shooting foul by E. Davis (drawn by N. Hilario),,35-39,,
6:45.0,J. Wall enters the game for K. Oubre,,35-39,,
6:45.0,N. Hilario makes free throw 1 of 1,1,36-39,,
6:31.0,,,36-41,2,G. Henderson makes 2-pt shot at rim (assist by D. Lillard)
6:26.0,Shooting foul by A. Crabbe (drawn by R. Sessions),,36-41,,
6:26.0,R. Sessions makes free throw 1 of 2,1,37-41,,
6:26.0,R. Sessions misses free throw 2 of 2,,37-41,,
6:25.0,,,37-41,,Defensive rebound by G. Henderson
6:08.0,,,37-41,,D. Lillard misses 2-pt shot from 14 ft
6:06.0,,,37-41,,Offensive rebound by Team
6:06.0,,,37-41,,M. Plumlee enters the game for E. Davis
6:06.0,,,37-41,,B. Roberts enters the game for A. Crabbe
6:02.0,,,37-43,2,A. Aminu makes 2-pt shot from 14 ft
5:52.0,Offensive foul by G. Temple,,37-43,,
5:52.0,Turnover by G. Temple (offensive foul),,37-43,,
5:52.0,,,37-43,,Portland full timeout
5:52.0,O. Porter enters the game for G. Temple,,37-43,,
5:33.0,,,37-45,2,M. Plumlee makes 2-pt shot from 1 ft (assist by D. Lillard)
5:11.0,N. Hilario misses 2-pt shot at rim,,37-45,,
5:10.0,,,37-45,,Defensive rebound by G. Henderson
5:01.0,,,37-45,,B. Roberts misses 3-pt shot from 24 ft
5:00.0,,,37-45,,Offensive rebound by A. Aminu
4:55.0,,,37-47,2,B. Roberts makes 2-pt shot at rim (assist by M. Plumlee)
4:48.0,Washington full timeout,,37-47,,
4:48.0,M. Gortat enters the game for N. Hilario,,37-47,,
4:43.0,M. Morris misses 2-pt shot from 15 ft,,37-47,,
4:42.0,Offensive rebound by M. Gortat,,37-47,,
4:42.0,Shooting foul by M. Plumlee (drawn by M. Gortat),,37-47,,
4:42.0,M. Gortat makes free throw 1 of 2,1,38-47,,
4:42.0,M. Gortat misses free throw 2 of 2,,38-47,,
4:41.0,,,38-47,,Defensive rebound by Team
4:41.0,Loose ball foul by M. Morris,,38-47,,
4:41.0,,,38-47,,M. Plumlee misses free throw 1 of 2
4:41.0,,,38-47,,Offensive rebound by Team
4:41.0,J. Dudley enters the game for M. Morris,,38-47,,
4:41.0,,,38-47,,M. Plumlee misses free throw 2 of 2
4:39.0,,,38-47,,Offensive rebound by A. Aminu
4:39.0,,,38-47,,A. Aminu misses 2-pt shot at rim
4:39.0,,,38-47,,Offensive rebound by A. Aminu
4:39.0,,,38-47,,Shooting foul by M. Gortat (drawn by A. Aminu)
4:39.0,,,38-48,1,A. Aminu makes free throw 1 of 2
4:39.0,,,38-48,,A. Aminu misses free throw 2 of 2
4:37.0,Defensive rebound by M. Gortat,,38-48,,
4:13.0,R. Sessions makes 3-pt shot from 22 ft (assist by M. Gortat),3,41-48,,
3:54.0,,,41-48,,D. Lillard misses 2-pt shot from 7 ft
3:53.0,Defensive rebound by J. Wall,,41-48,,
3:46.0,J. Wall makes 2-pt shot at rim,2,43-48,,
3:26.0,,,43-48,,D. Lillard misses 3-pt shot from 23 ft
3:25.0,Defensive rebound by O. Porter,,43-48,,
3:10.0,R. Sessions makes 2-pt shot from 10 ft,2,45-48,,
3:10.0,,,45-48,,Portland full timeout
3:10.0,,,45-48,,A. Crabbe enters the game for G. Henderson
2:52.0,,,45-50,2,M. Plumlee makes 2-pt shot at rim (assist by D. Lillard)
2:33.0,R. Sessions misses 3-pt shot from 25 ft,,45-50,,
2:32.0,Offensive rebound by J. Dudley,,45-50,,
2:32.0,Turnover by J. Dudley (step out of bounds),,45-50,,
2:18.0,,,45-50,,D. Lillard misses 2-pt shot from 2 ft (block by J. Wall)
2:17.0,Defensive rebound by M. Gortat,,45-50,,
2:00.0,M. Gortat makes 2-pt shot from 2 ft (assist by J. Wall),2,47-50,,
1:35.0,,,47-50,,A. Aminu misses 2-pt shot from 1 ft (block by J. Wall)
1:35.0,Defensive rebound by Team,,47-50,,
1:22.0,M. Gortat makes 2-pt shot at rim (assist by J. Wall),2,49-50,,
1:22.0,Shooting foul by B. Roberts (drawn by M. Gortat),,49-50,,
1:22.0,M. Gortat makes free throw 1 of 1,1,50-50,,
1:04.0,,,50-50,,A. Aminu misses 2-pt shot from 1 ft
1:03.0,,,50-50,,Offensive rebound by M. Plumlee
0:54.0,,,50-50,,A. Crabbe misses 2-pt shot from 2 ft
0:53.0,,,50-50,,Offensive rebound by A. Aminu
0:53.0,,,50-52,2,A. Aminu makes 2-pt shot from 1 ft
0:48.0,R. Sessions makes 2-pt shot from 1 ft,2,52-52,,
0:29.0,,,52-52,,A. Aminu misses 3-pt shot from 24 ft
0:27.0,Defensive rebound by R. Sessions,,52-52,,
0:21.0,Washington full timeout,,52-52,,
0:06.0,J. Wall makes 3-pt shot from 24 ft,3,55-52,,
0:01.0,,,55-54,2,B. Roberts makes 2-pt shot from 3 ft
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:36.0,M. Gortat makes 2-pt shot from 8 ft (assist by G. Temple),2,57-54,,
11:26.0,,,57-54,,C. McCollum misses 3-pt shot from 24 ft
11:25.0,Defensive rebound by M. Morris,,57-54,,
11:18.0,J. Wall makes 2-pt shot from 16 ft,2,59-54,,
11:05.0,,,59-54,,Turnover by A. Aminu (lost ball)
10:54.0,Offensive charge foul by M. Morris,,59-54,,
10:54.0,Turnover by M. Morris (offensive foul),,59-54,,
10:37.0,,,59-54,,C. McCollum misses 2-pt shot from 18 ft
10:37.0,Defensive rebound by Team,,59-54,,
10:37.0,,,59-54,,Loose ball foul by N. Vonleh
10:18.0,O. Porter makes 3-pt shot from 23 ft (assist by J. Wall),3,62-54,,
10:02.0,,,62-54,,Offensive foul by M. Plumlee
10:02.0,,,62-54,,Turnover by M. Plumlee (offensive foul)
9:51.0,G. Temple misses 3-pt shot from 23 ft,,62-54,,
9:51.0,Offensive rebound by M. Gortat,,62-54,,
9:51.0,Shooting foul by M. Plumlee (drawn by M. Gortat),,62-54,,
9:51.0,M. Gortat makes 2-pt shot from 1 ft,2,64-54,,
9:51.0,,,64-54,,Portland full timeout
9:51.0,M. Gortat makes free throw 1 of 1,1,65-54,,
9:32.0,,,65-54,,C. McCollum misses 2-pt shot from 18 ft
9:31.0,Defensive rebound by M. Gortat,,65-54,,
9:20.0,M. Morris makes 2-pt shot at rim (assist by J. Wall),2,67-54,,
9:07.0,,,67-54,,D. Lillard misses 2-pt shot from 14 ft (block by J. Wall)
9:06.0,Defensive rebound by J. Wall,,67-54,,
8:53.0,J. Wall misses 2-pt shot from 21 ft,,67-54,,
8:53.0,,,67-54,,Defensive rebound by N. Vonleh
8:41.0,,,67-54,,Shooting foul by J. Wall (drawn by N. Vonleh)
8:41.0,,,67-55,1,N. Vonleh makes free throw 1 of 2
8:41.0,,,67-55,,E. Davis enters the game for M. Plumlee
8:41.0,,,67-56,1,N. Vonleh makes free throw 2 of 2
8:26.0,G. Temple misses 2-pt shot from 10 ft,,67-56,,
8:25.0,,,67-56,,Defensive rebound by N. Vonleh
8:17.0,,,67-56,,Shooting foul by J. Wall (drawn by D. Lillard)
8:17.0,,,67-57,1,D. Lillard makes free throw 1 of 2
8:17.0,,,67-57,,M. Leonard enters the game for N. Vonleh
8:17.0,,,67-58,1,D. Lillard makes free throw 2 of 2
8:07.0,Offensive foul by M. Morris,,67-58,,
8:07.0,Turnover by M. Morris (offensive foul),,67-58,,
8:07.0,J. Dudley enters the game for M. Morris,,67-58,,
7:54.0,,,67-58,,D. Lillard misses 3-pt shot from 25 ft
7:54.0,Defensive rebound by J. Wall,,67-58,,
7:49.0,G. Temple misses 2-pt shot from 1 ft,,67-58,,
7:49.0,Offensive rebound by O. Porter,,67-58,,
7:49.0,O. Porter makes 2-pt shot at rim,2,69-58,,
7:31.0,,,69-61,3,C. McCollum makes 3-pt shot from 24 ft (assist by D. Lillard)
7:20.0,J. Wall misses 2-pt shot from 18 ft,,69-61,,
7:19.0,,,69-61,,Defensive rebound by C. McCollum
7:13.0,,,69-61,,Turnover by C. McCollum (lost ball; steal by O. Porter)
7:08.0,J. Wall makes 2-pt shot at rim (assist by G. Temple),2,71-61,,
6:50.0,,,71-63,2,M. Leonard makes 2-pt shot from 17 ft
6:37.0,Offensive foul by M. Gortat,,71-63,,
6:37.0,Turnover by M. Gortat (offensive foul),,71-63,,
6:37.0,,,71-63,,G. Henderson enters the game for A. Aminu
6:21.0,,,71-63,,G. Henderson misses 2-pt shot from 15 ft
6:21.0,,,71-63,,Offensive rebound by Team
6:21.0,Loose ball foul by J. Dudley,,71-63,,
6:14.0,,,71-65,2,E. Davis makes 2-pt shot from 2 ft (assist by C. McCollum)
6:06.0,O. Porter misses 2-pt shot from 21 ft,,71-65,,
6:05.0,,,71-65,,Defensive rebound by D. Lillard
6:02.0,,,71-65,,Turnover by D. Lillard (lost ball; steal by J. Dudley)
5:58.0,J. Wall misses 2-pt shot at rim,,71-65,,
5:57.0,,,71-65,,Defensive rebound by M. Leonard
5:51.0,,,71-67,2,D. Lillard makes 2-pt shot from 8 ft
5:50.0,Technical foul by J. Wall,,71-67,,
5:50.0,Washington full timeout,,71-67,,
5:50.0,,,71-68,1,D. Lillard makes technical free throw
5:39.0,J. Wall misses 2-pt shot from 19 ft,,71-68,,
5:39.0,,,71-68,,Defensive rebound by Team
5:24.0,,,71-71,3,D. Lillard makes 3-pt shot from 28 ft (assist by M. Leonard)
4:59.0,J. Wall misses 3-pt shot from 27 ft,,71-71,,
4:59.0,Offensive rebound by Team,,71-71,,
4:59.0,,,71-71,,Loose ball foul by M. Leonard
4:59.0,R. Sessions enters the game for G. Temple,,71-71,,
4:55.0,O. Porter makes 2-pt shot from 21 ft,2,73-71,,
4:30.0,,,73-71,,C. McCollum misses 2-pt shot from 17 ft
4:29.0,,,73-71,,Offensive rebound by E. Davis
4:26.0,Shooting block foul by M. Gortat (drawn by D. Lillard),,73-71,,
4:26.0,,,73-72,1,D. Lillard makes free throw 1 of 2
4:26.0,N. Hilario enters the game for M. Gortat,,73-72,,
4:26.0,,,73-72,,A. Crabbe enters the game for C. McCollum
4:26.0,,,73-73,1,D. Lillard makes free throw 2 of 2
4:08.0,O. Porter misses 3-pt shot from 24 ft,,73-73,,
4:06.0,,,73-73,,Defensive rebound by G. Henderson
3:58.0,,,73-73,,G. Henderson misses 2-pt shot from 5 ft
3:54.0,Defensive rebound by O. Porter,,73-73,,
3:48.0,Shooting foul by G. Henderson (drawn by J. Wall),,73-73,,
3:48.0,J. Wall misses free throw 1 of 2,,73-73,,
3:48.0,Offensive rebound by Team,,73-73,,
3:48.0,J. Wall misses free throw 2 of 2,,73-73,,
3:48.0,,,73-73,,Defensive rebound by G. Henderson
3:35.0,,,73-73,,Shooting foul by J. Dudley (drawn by A. Crabbe)
3:35.0,,,73-74,1,A. Crabbe makes free throw 1 of 3
3:35.0,,,73-75,1,A. Crabbe makes free throw 2 of 3
3:35.0,,,73-76,1,A. Crabbe makes free throw 3 of 3
3:15.0,N. Hilario makes 2-pt shot from 4 ft,2,75-76,,
3:02.0,,,75-79,3,M. Leonard makes 3-pt shot from 24 ft (assist by D. Lillard)
2:36.0,J. Wall makes 2-pt shot at rim (assist by N. Hilario),2,77-79,,
2:16.0,,,77-79,,Offensive foul by M. Leonard
2:16.0,,,77-79,,Turnover by M. Leonard (offensive foul)
2:16.0,,,77-79,,C. McCollum enters the game for D. Lillard
1:59.0,N. Hilario misses 2-pt shot from 6 ft,,77-79,,
1:58.0,,,77-79,,Defensive rebound by M. Leonard
1:46.0,,,77-79,,G. Henderson misses 2-pt shot from 15 ft
1:44.0,,,77-79,,Offensive rebound by E. Davis
1:34.0,G. Temple enters the game for J. Wall,,77-79,,
1:34.0,,,77-79,,A. Aminu enters the game for M. Leonard
1:31.0,,,77-81,2,G. Henderson makes 2-pt shot from 16 ft (assist by A. Crabbe)
1:19.0,R. Sessions makes 2-pt shot from 8 ft (assist by N. Hilario),2,79-81,,
1:00.0,,,79-83,2,C. McCollum makes 2-pt shot from 2 ft
0:55.0,R. Sessions makes 2-pt shot from 1 ft,2,81-83,,
0:37.0,,,81-83,,Offensive charge foul by C. McCollum
0:37.0,,,81-83,,Turnover by C. McCollum (offensive foul)
0:37.0,J. Wall enters the game for G. Temple,,81-83,,
0:33.0,J. Wall misses 2-pt shot from 9 ft,,81-83,,
0:33.0,,,81-83,,Defensive rebound by E. Davis
0:21.0,,,81-85,2,C. McCollum makes 2-pt shot from 1 ft
0:03.0,Offensive foul by N. Hilario,,81-85,,
0:03.0,Turnover by N. Hilario (offensive foul),,81-85,,
0:03.0,,,81-85,,D. Lillard enters the game for A. Aminu
0:03.0,G. Temple enters the game for J. Wall,,81-85,,
0:03.0,,,81-85,,M. Leonard enters the game for E. Davis
0:00.0,,,81-85,,G. Henderson misses 3-pt shot from 24 ft
0:00.0,,,81-85,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:49.0,,,81-85,,Offensive foul by E. Davis
11:49.0,,,81-85,,Turnover by E. Davis (offensive foul)
11:29.0,R. Sessions misses 2-pt shot from 18 ft,,81-85,,
11:29.0,,,81-85,,Defensive rebound by A. Crabbe
11:20.0,,,81-85,,C. McCollum misses 2-pt shot from 2 ft
11:20.0,,,81-85,,Offensive rebound by Team
11:09.0,,,81-85,,Turnover by A. Aminu (lost ball; steal by K. Oubre)
11:05.0,K. Oubre misses 2-pt shot at rim (block by A. Aminu),,81-85,,
11:00.0,,,81-85,,Defensive rebound by E. Davis
10:47.0,,,81-85,,E. Davis misses 2-pt shot from 2 ft
10:47.0,Defensive rebound by N. Hilario,,81-85,,
10:37.0,N. Hilario misses 2-pt shot from 10 ft,,81-85,,
10:36.0,,,81-85,,Defensive rebound by E. Davis
10:26.0,,,81-87,2,C. McCollum makes 2-pt shot from 6 ft
10:05.0,R. Sessions makes 2-pt shot from 2 ft,2,83-87,,
9:38.0,,,83-87,,G. Henderson misses 2-pt shot from 11 ft
9:37.0,Defensive rebound by K. Oubre,,83-87,,
9:26.0,K. Oubre misses 2-pt shot from 2 ft (block by E. Davis),,83-87,,
9:25.0,,,83-87,,Defensive rebound by E. Davis
9:22.0,,,83-87,,Turnover by G. Henderson (lost ball)
9:22.0,,,83-87,,M. Plumlee enters the game for E. Davis
9:11.0,N. Hilario misses 2-pt shot at rim,,83-87,,
9:10.0,,,83-87,,Defensive rebound by C. McCollum
8:54.0,,,83-87,,A. Aminu misses 2-pt shot from 3 ft
8:54.0,Defensive rebound by G. Temple,,83-87,,
8:40.0,Turnover by R. Sessions (bad pass),,83-87,,
8:40.0,Official timeout,,83-87,,
8:40.0,M. Morris enters the game for K. Oubre,,83-87,,
8:40.0,,,83-87,,D. Lillard enters the game for A. Aminu
8:32.0,Personal foul by N. Hilario,,83-87,,
8:22.0,,,83-90,3,D. Lillard makes 3-pt shot from 26 ft (assist by M. Plumlee)
8:04.0,R. Sessions misses 3-pt shot from 24 ft,,83-90,,
8:04.0,,,83-90,,Defensive rebound by G. Henderson
7:53.0,,,83-90,,D. Lillard misses 2-pt shot from 22 ft
7:53.0,Defensive rebound by G. Temple,,83-90,,
7:33.0,M. Morris makes 2-pt shot from 2 ft (assist by J. Dudley),2,85-90,,
7:21.0,,,85-90,,Turnover by C. McCollum (lost ball; steal by N. Hilario)
7:15.0,N. Hilario makes 2-pt shot from 2 ft (assist by R. Sessions),2,87-90,,
7:15.0,Shooting foul by D. Lillard (drawn by N. Hilario),,87-90,,
7:15.0,,,87-90,,M. Leonard enters the game for G. Henderson
7:15.0,N. Hilario misses free throw 1 of 1,,87-90,,
7:14.0,,,87-90,,Defensive rebound by M. Plumlee
7:00.0,,,87-92,2,D. Lillard makes 2-pt shot at rim
6:40.0,Shooting foul by M. Plumlee (drawn by N. Hilario),,87-92,,
6:40.0,N. Hilario misses free throw 1 of 2,,87-92,,
6:40.0,Offensive rebound by Team,,87-92,,
6:40.0,N. Hilario makes free throw 2 of 2,1,88-92,,
6:23.0,,,88-92,,Turnover by M. Plumlee (lost ball; steal by G. Temple)
6:23.0,,,88-92,,Personal foul by M. Plumlee
6:10.0,M. Morris misses 2-pt shot from 16 ft,,88-92,,
6:10.0,,,88-92,,Defensive rebound by M. Leonard
6:02.0,,,88-92,,C. McCollum misses 3-pt shot from 22 ft
6:01.0,Defensive rebound by G. Temple,,88-92,,
5:50.0,R. Sessions makes 2-pt shot at rim (assist by G. Temple),2,90-92,,
5:31.0,,,90-92,,Portland full timeout
5:31.0,J. Wall enters the game for G. Temple,,90-92,,
5:31.0,,,90-92,,E. Davis enters the game for M. Plumlee
