time,Toronto,pts.away,score,pts.home,Milwaukee
7:47.0,,,35-28,,Defensive rebound by T. Ennis
7:40.0,,,35-30,2,J. Henson makes 2-pt shot from 2 ft (assist by G. Antetokounmpo)
7:32.0,K. Lowry makes 2-pt shot from 1 ft,2,37-30,,
7:22.0,Violation by P. Patterson (kicked ball),,37-30,,
7:22.0,,,37-30,,M. Carter-Williams enters the game for T. Ennis
7:12.0,,,37-33,3,R. Vaughn makes 3-pt shot from 22 ft (assist by M. Carter-Williams)
6:53.0,T. Ross makes 3-pt shot from 25 ft (assist by L. Scola),3,40-33,,
6:29.0,,,40-33,,Offensive foul by J. O'Bryant
6:29.0,,,40-33,,Turnover by J. O'Bryant (offensive foul)
6:29.0,,,40-33,,J. Parker enters the game for J. O'Bryant
6:16.0,L. Scola misses 2-pt shot from 5 ft (block by J. Henson),,40-33,,
6:16.0,Offensive rebound by Team,,40-33,,
6:09.0,K. Lowry makes 3-pt shot from 24 ft (assist by P. Patterson),3,43-33,,
6:05.0,,,43-33,,Milwaukee full timeout
6:05.0,B. Biyombo enters the game for K. Lowry,,43-33,,
6:05.0,K. Lowry enters the game for P. Patterson,,43-33,,
6:05.0,,,43-33,,G. Monroe enters the game for J. Henson
6:05.0,,,43-33,,K. Middleton enters the game for R. Vaughn
5:43.0,,,43-35,2,G. Monroe makes 2-pt shot from 2 ft
5:43.0,,,43-35,,Shooting foul by B. Biyombo (drawn by G. Monroe)
5:43.0,,,43-36,1,G. Monroe makes free throw 1 of 1
5:31.0,D. Carroll misses 3-pt shot from 24 ft,,43-36,,
5:29.0,,,43-36,,Defensive rebound by K. Middleton
5:22.0,,,43-36,,G. Monroe misses 2-pt shot at rim (block by L. Scola)
5:19.0,Defensive rebound by L. Scola,,43-36,,
5:13.0,B. Biyombo makes 2-pt shot from 3 ft (assist by K. Lowry),2,45-36,,
5:13.0,Shooting foul by M. Carter-Williams (drawn by B. Biyombo),,45-36,,
5:13.0,,,45-36,,T. Ennis enters the game for M. Carter-Williams
5:13.0,D. DeRozan enters the game for T. Ross,,45-36,,
5:13.0,B. Biyombo makes free throw 1 of 1,1,46-36,,
5:01.0,,,46-38,2,T. Ennis makes 2-pt shot from 1 ft (assist by G. Monroe)
4:45.0,K. Lowry misses 3-pt shot from 24 ft,,46-38,,
4:45.0,Offensive rebound by Team,,46-38,,
4:45.0,,,46-38,,Loose ball foul by K. Middleton (drawn by D. Carroll)
4:36.0,B. Biyombo makes 2-pt shot from 14 ft (assist by L. Scola),2,48-38,,
4:14.0,,,48-38,,J. Parker misses 2-pt shot from 5 ft
4:13.0,Defensive rebound by B. Biyombo,,48-38,,
4:00.0,L. Scola makes 2-pt shot at rim (assist by D. DeRozan),2,50-38,,
3:55.0,,,50-38,,Milwaukee full timeout
3:55.0,,,50-38,,O. Mayo enters the game for T. Ennis
3:48.0,Shooting block foul by L. Scola (drawn by J. Parker),,50-38,,
3:48.0,,,50-39,1,J. Parker makes free throw 1 of 2
3:48.0,,,50-40,1,J. Parker makes free throw 2 of 2
3:26.0,D. DeRozan misses 3-pt shot from 25 ft,,50-40,,
3:26.0,,,50-40,,Defensive rebound by Team
3:14.0,,,50-42,2,G. Monroe makes 2-pt shot from 3 ft (assist by K. Middleton)
2:48.0,K. Lowry makes 2-pt shot from 1 ft,2,52-42,,
2:36.0,,,52-42,,J. Parker misses 2-pt shot from 1 ft (block by B. Biyombo)
2:32.0,Defensive rebound by D. DeRozan,,52-42,,
2:31.0,K. Lowry misses 3-pt shot from 23 ft,,52-42,,
2:31.0,Offensive rebound by D. Carroll,,52-42,,
2:30.0,D. Carroll misses 2-pt shot from 1 ft,,52-42,,
2:18.0,,,52-42,,Defensive rebound by G. Monroe
2:11.0,,,52-45,3,K. Middleton makes 3-pt shot from 24 ft (assist by O. Mayo)
2:02.0,Toronto full timeout,,52-45,,
2:02.0,T. Ross enters the game for L. Scola,,52-45,,
2:02.0,P. Patterson enters the game for D. Carroll,,52-45,,
1:49.0,P. Patterson misses 3-pt shot from 24 ft,,52-45,,
1:48.0,,,52-45,,Defensive rebound by G. Monroe
1:36.0,,,52-45,,Turnover by J. Parker (lost ball)
1:27.0,P. Patterson misses 3-pt shot from 23 ft,,52-45,,
1:25.0,,,52-45,,Defensive rebound by G. Antetokounmpo
1:06.0,,,52-45,,J. Parker misses 2-pt shot from 8 ft
1:06.0,,,52-45,,Offensive rebound by Team
1:06.0,Loose ball foul by D. DeRozan (drawn by G. Monroe),,52-45,,
1:06.0,,,52-46,1,G. Monroe makes free throw 1 of 2
1:06.0,L. Scola enters the game for B. Biyombo,,52-46,,
1:06.0,,,52-47,1,G. Monroe makes free throw 2 of 2
0:51.0,K. Lowry makes 2-pt shot at rim,2,54-47,,
0:30.0,,,54-49,2,O. Mayo makes 2-pt shot from 17 ft (assist by J. Parker)
0:14.0,L. Scola makes 2-pt shot from 1 ft (assist by D. DeRozan),2,56-49,,
0:01.0,,,56-51,2,G. Monroe makes 2-pt shot from 3 ft (assist by K. Middleton)
0:01.0,,,56-51,,Shooting foul by K. Lowry (drawn by G. Monroe)
0:01.0,,,56-51,,R. Vaughn enters the game for G. Antetokounmpo
0:01.0,,,56-52,1,G. Monroe makes free throw 1 of 1
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:43.0,Personal foul by J. Johnson (drawn by K. Middleton),,56-52,,
11:34.0,,,56-55,3,K. Middleton makes 3-pt shot from 24 ft (assist by J. Parker)
11:19.0,Turnover by K. Lowry (lost ball),,56-55,,
10:59.0,,,56-55,,M. Carter-Williams misses 2-pt shot from 5 ft
10:58.0,Defensive rebound by B. Biyombo,,56-55,,
10:40.0,L. Scola makes 2-pt shot from 19 ft (assist by D. DeRozan),2,58-55,,
10:24.0,,,58-55,,K. Middleton misses 3-pt shot from 23 ft
10:23.0,,,58-55,,Offensive rebound by J. Parker
10:21.0,,,58-55,,J. Parker misses 2-pt shot from 1 ft
10:20.0,Defensive rebound by J. Johnson,,58-55,,
10:03.0,B. Biyombo makes 2-pt shot from 8 ft (assist by K. Lowry),2,60-55,,
9:39.0,,,60-55,,G. Antetokounmpo misses 3-pt shot from 24 ft
9:38.0,Defensive rebound by L. Scola,,60-55,,
9:25.0,J. Johnson misses 2-pt shot from 2 ft,,60-55,,
9:23.0,Offensive rebound by L. Scola,,60-55,,
9:18.0,L. Scola misses 2-pt shot from 1 ft,,60-55,,
9:18.0,Offensive rebound by B. Biyombo,,60-55,,
9:14.0,L. Scola makes 3-pt shot from 26 ft (assist by B. Biyombo),3,63-55,,
9:01.0,,,63-57,2,G. Antetokounmpo makes 2-pt shot from 2 ft (assist by M. Carter-Williams)
8:54.0,Turnover by K. Lowry (bad pass; steal by M. Carter-Williams),,63-57,,
8:45.0,,,63-57,,Shooting foul by J. Johnson (drawn by J. Parker)
8:45.0,,,63-58,1,J. Parker makes free throw 1 of 2
8:45.0,,,63-59,1,J. Parker makes free throw 2 of 2
8:20.0,K. Lowry misses 2-pt shot from 20 ft,,63-59,,
8:17.0,Offensive rebound by J. Johnson,,63-59,,
8:17.0,J. Johnson makes 2-pt shot at rim,2,65-59,,
7:57.0,,,65-61,2,G. Monroe makes 2-pt shot from 1 ft
7:45.0,K. Lowry misses 2-pt shot from 5 ft,,65-61,,
7:44.0,,,65-61,,Defensive rebound by G. Monroe
7:35.0,Personal foul by D. DeRozan (drawn by J. Parker),,65-61,,
7:35.0,,,65-61,,J. Parker misses free throw 1 of 2
7:35.0,,,65-61,,Offensive rebound by Team
7:35.0,,,65-62,1,J. Parker makes free throw 2 of 2
7:23.0,D. DeRozan makes 2-pt shot from 1 ft (assist by K. Lowry),2,67-62,,
7:04.0,,,67-62,,G. Monroe misses 2-pt shot from 5 ft
7:00.0,,,67-62,,Offensive rebound by G. Monroe
7:00.0,,,67-64,2,G. Monroe makes 2-pt shot from 2 ft
6:47.0,D. DeRozan misses 2-pt shot from 17 ft,,67-64,,
6:45.0,,,67-64,,Defensive rebound by G. Monroe
6:36.0,Violation by J. Johnson (kicked ball),,67-64,,
6:27.0,Def 3 sec tech foul by D. DeRozan,,67-64,,
6:27.0,,,67-65,1,K. Middleton makes technical free throw
6:18.0,,,67-68,3,K. Middleton makes 3-pt shot from 25 ft (assist by G. Monroe)
5:56.0,B. Biyombo misses 2-pt shot from 1 ft (block by G. Monroe),,67-68,,
5:53.0,,,67-68,,Defensive rebound by M. Carter-Williams
5:46.0,,,67-68,,M. Carter-Williams misses 2-pt shot at rim
5:45.0,Defensive rebound by L. Scola,,67-68,,
5:34.0,L. Scola misses 3-pt shot from 23 ft,,67-68,,
5:33.0,,,67-68,,Defensive rebound by M. Carter-Williams
5:29.0,,,67-68,,Turnover by M. Carter-Williams (lost ball; steal by K. Lowry)
5:19.0,Shooting foul by K. Middleton (drawn by B. Biyombo),,67-68,,
5:19.0,,,67-68,,Milwaukee full timeout
5:19.0,T. Ross enters the game for J. Johnson,,67-68,,
5:19.0,P. Patterson enters the game for L. Scola,,67-68,,
5:19.0,B. Biyombo misses free throw 1 of 2,,67-68,,
5:19.0,Offensive rebound by Team,,67-68,,
5:19.0,B. Biyombo makes free throw 2 of 2,1,68-68,,
5:00.0,,,68-68,,J. Parker misses 2-pt shot at rim (block by B. Biyombo)
4:56.0,,,68-68,,Offensive rebound by J. Parker
4:52.0,,,68-70,2,J. Parker makes 2-pt shot at rim
4:45.0,,,68-70,,Personal foul by J. Parker (drawn by D. DeRozan)
4:30.0,Turnover by Team (shot clock),,68-70,,
4:30.0,,,68-70,,O. Mayo enters the game for G. Antetokounmpo
4:15.0,,,68-72,2,G. Monroe makes 2-pt shot from 18 ft (assist by K. Middleton)
3:45.0,K. Lowry misses 2-pt shot from 19 ft,,68-72,,
3:43.0,,,68-72,,Defensive rebound by J. Parker
3:19.0,,,68-72,,K. Middleton misses 2-pt shot from 16 ft
3:18.0,Defensive rebound by P. Patterson,,68-72,,
3:09.0,D. DeRozan misses 2-pt shot from 6 ft,,68-72,,
3:08.0,,,68-72,,Defensive rebound by G. Monroe
3:01.0,,,68-74,2,M. Carter-Williams makes 2-pt shot from 2 ft (assist by O. Mayo)
3:00.0,Toronto full timeout,,68-74,,
3:00.0,C. Joseph enters the game for K. Lowry,,68-74,,
3:00.0,,,68-74,,J. O'Bryant enters the game for J. Parker
3:00.0,,,68-74,,Violation by Team (delay of game)
2:44.0,D. DeRozan makes 2-pt shot from 15 ft (assist by P. Patterson),2,70-74,,
2:25.0,,,70-74,,M. Carter-Williams misses 2-pt shot from 2 ft (block by P. Patterson)
2:23.0,,,70-74,,Offensive rebound by K. Middleton
2:09.0,,,70-77,3,K. Middleton makes 3-pt shot from 25 ft (assist by O. Mayo)
2:09.0,Offensive foul by D. DeRozan,,70-77,,
2:09.0,Turnover by D. DeRozan (offensive foul),,70-77,,
1:55.0,,,70-77,,Turnover by O. Mayo (lost ball)
1:55.0,,,70-77,,J. Henson enters the game for G. Monroe
1:55.0,L. Scola enters the game for B. Biyombo,,70-77,,
1:37.0,T. Ross misses 2-pt shot from 15 ft,,70-77,,
1:36.0,,,70-77,,Defensive rebound by M. Carter-Williams
1:19.0,,,70-77,,J. O'Bryant misses 2-pt shot from 9 ft
1:17.0,Defensive rebound by P. Patterson,,70-77,,
1:09.0,D. DeRozan makes 2-pt shot at rim,2,72-77,,
0:47.0,,,72-77,,O. Mayo misses 2-pt shot at rim
0:46.0,Defensive rebound by D. DeRozan,,72-77,,
0:40.0,D. DeRozan makes 2-pt shot from 4 ft,2,74-77,,
0:40.0,Shooting foul by K. Middleton (drawn by D. DeRozan),,74-77,,
0:40.0,,,74-77,,R. Vaughn enters the game for M. Carter-Williams
0:40.0,D. DeRozan makes free throw 1 of 1,1,75-77,,
0:22.0,,,75-79,2,J. Henson makes 2-pt shot from 1 ft (assist by K. Middleton)
0:07.0,,,75-79,,Def 3 sec tech foul by J. Henson
0:07.0,D. DeRozan makes technical free throw,1,76-79,,
0:00.0,D. DeRozan misses 3-pt shot from 24 ft,,76-79,,
0:00.0,,,76-79,,Defensive rebound by R. Vaughn
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:46.0,T. Ross makes 2-pt shot from 14 ft (assist by C. Joseph),2,78-79,,
11:30.0,,,78-79,,Turnover by O. Mayo (bad pass; steal by D. Carroll)
11:24.0,D. Carroll makes 2-pt shot from 1 ft,2,80-79,,
11:03.0,,,80-79,,O. Mayo misses 2-pt shot from 12 ft
11:02.0,Defensive rebound by Team,,80-79,,
11:02.0,,,80-79,,Loose ball foul by J. O'Bryant (drawn by L. Scola)
10:39.0,T. Ross misses 3-pt shot from 26 ft,,80-79,,
10:34.0,,,80-79,,Defensive rebound by J. Henson
10:34.0,,,80-79,,Turnover by G. Antetokounmpo (traveling)
10:14.0,D. Carroll makes 3-pt shot from 26 ft (assist by C. Joseph),3,83-79,,
9:59.0,,,83-79,,Shooting foul by C. Joseph (drawn by O. Mayo)
9:59.0,,,83-80,1,O. Mayo makes free throw 1 of 2
9:59.0,,,83-81,1,O. Mayo makes free throw 2 of 2
9:41.0,C. Joseph misses 2-pt shot from 1 ft (block by J. Henson),,83-81,,
9:39.0,,,83-81,,Defensive rebound by R. Vaughn
9:26.0,,,83-81,,J. Henson misses 2-pt shot from 2 ft
9:25.0,,,83-81,,Offensive rebound by J. O'Bryant
9:24.0,,,83-81,,J. O'Bryant misses 2-pt shot from 2 ft
9:20.0,Defensive rebound by D. Carroll,,83-81,,
9:04.0,P. Patterson makes 2-pt shot from 10 ft,2,85-81,,
8:51.0,,,85-81,,R. Vaughn misses 3-pt shot from 23 ft
8:50.0,Defensive rebound by P. Patterson,,85-81,,
8:36.0,P. Patterson makes 2-pt shot from 4 ft (assist by C. Joseph),2,87-81,,
8:36.0,,,87-81,,Milwaukee full timeout
8:36.0,,,87-81,,J. Parker enters the game for J. O'Bryant
8:36.0,,,87-81,,M. Carter-Williams enters the game for R. Vaughn
8:24.0,,,87-81,,J. Parker misses 2-pt shot from 8 ft
8:23.0,Defensive rebound by C. Joseph,,87-81,,
8:05.0,T. Ross misses 2-pt shot from 19 ft (block by O. Mayo),,87-81,,
8:03.0,,,87-81,,Defensive rebound by M. Carter-Williams
7:58.0,,,87-81,,O. Mayo misses 3-pt shot from 24 ft
7:56.0,Defensive rebound by P. Patterson,,87-81,,
7:39.0,L. Scola makes 2-pt shot from 18 ft (assist by T. Ross),2,89-81,,
7:23.0,,,89-81,,O. Mayo misses 3-pt shot from 26 ft
7:21.0,Defensive rebound by P. Patterson,,89-81,,
7:10.0,,,89-81,,Shooting block foul by O. Mayo (drawn by C. Joseph)
7:10.0,C. Joseph makes free throw 1 of 2,1,90-81,,
7:10.0,,,90-81,,G. Monroe enters the game for O. Mayo
7:10.0,,,90-81,,K. Middleton enters the game for J. Henson
7:10.0,C. Joseph misses free throw 2 of 2,,90-81,,
7:07.0,,,90-81,,Defensive rebound by G. Monroe
6:53.0,,,90-81,,K. Middleton misses 3-pt shot from 25 ft
6:52.0,Defensive rebound by C. Joseph,,90-81,,
6:30.0,L. Scola makes 3-pt shot from 23 ft (assist by T. Ross),3,93-81,,
6:14.0,,,93-83,2,M. Carter-Williams makes 2-pt shot from 18 ft (assist by K. Middleton)
5:56.0,T. Ross makes 3-pt shot from 25 ft (assist by C. Joseph),3,96-83,,
5:44.0,,,96-85,2,M. Carter-Williams makes 2-pt shot from 8 ft
5:26.0,P. Patterson misses 3-pt shot from 25 ft,,96-85,,
5:25.0,,,96-85,,Defensive rebound by M. Carter-Williams
5:18.0,,,96-88,3,K. Middleton makes 3-pt shot from 24 ft (assist by M. Carter-Williams)
4:46.0,L. Scola misses 2-pt shot from 17 ft,,96-88,,
4:45.0,,,96-88,,Defensive rebound by M. Carter-Williams
4:45.0,Loose ball foul by P. Patterson (drawn by M. Carter-Williams),,96-88,,
4:45.0,Official timeout,,96-88,,
4:45.0,K. Lowry enters the game for C. Joseph,,96-88,,
4:35.0,,,96-88,,Turnover by J. Parker (traveling)
4:20.0,Turnover by L. Scola (3 sec),,96-88,,
4:11.0,Personal foul by T. Ross (drawn by K. Middleton),,96-88,,
4:04.0,,,96-88,,M. Carter-Williams misses 2-pt shot from 9 ft (block by L. Scola)
4:04.0,,,96-88,,Offensive rebound by Team
4:04.0,D. DeRozan enters the game for D. Carroll,,96-88,,
4:01.0,,,96-90,2,K. Middleton makes 2-pt shot from 6 ft (assist by G. Antetokounmpo)
3:39.0,T. Ross makes 3-pt shot from 24 ft (assist by P. Patterson),3,99-90,,
3:28.0,,,99-90,,Turnover by M. Carter-Williams (bad pass; steal by T. Ross)
3:21.0,K. Lowry misses 3-pt shot from 27 ft,,99-90,,
3:18.0,Offensive rebound by L. Scola,,99-90,,
3:02.0,D. DeRozan makes 3-pt shot from 22 ft (assist by K. Lowry),3,102-90,,
3:02.0,,,102-90,,Milwaukee full timeout
2:50.0,,,102-90,,J. Parker misses 2-pt shot from 5 ft
2:50.0,Jump ball: J. Parker vs. L. Scola (K. Middleton gains possession),,,,Jump ball: J. Parker vs. L. Scola (K. Middleton gains possession)
2:50.0,,,102-90,,Offensive rebound by Team
2:37.0,,,102-90,,K. Middleton misses 2-pt shot from 2 ft
2:35.0,Defensive rebound by D. DeRozan,,102-90,,
2:18.0,L. Scola makes 3-pt shot from 24 ft (assist by K. Lowry),3,105-90,,
2:06.0,,,105-90,,J. Parker misses 2-pt shot from 1 ft
2:05.0,Defensive rebound by L. Scola,,105-90,,
