time,Oklahoma City,pts.away,score,pts.home,Sacramento
7:51.0,,,4-10,,Defensive rebound by R. Rondo
7:40.0,,,4-10,,R. Rondo misses 3-pt shot from 24 ft
7:39.0,Defensive rebound by K. Durant,,4-10,,
7:31.0,K. Durant makes 2-pt shot from 19 ft,2,6-10,,
7:10.0,,,6-12,2,D. Cousins makes 2-pt shot from 5 ft
7:10.0,,,6-12,,Shooting foul by S. Adams (drawn by D. Cousins)
7:10.0,,,6-12,,D. Cousins misses free throw 1 of 1
7:09.0,Defensive rebound by Team,,6-12,,
7:09.0,,,6-12,,Loose ball foul by Q. Acy (drawn by K. Durant)
7:09.0,,,6-12,,Technical foul by Q. Acy (drawn by K. Durant)
7:09.0,K. Durant makes technical free throw,1,7-12,,
6:57.0,Offensive foul by S. Ibaka,,7-12,,
6:57.0,Turnover by S. Ibaka (offensive foul),,7-12,,
6:46.0,Personal foul by S. Adams (drawn by D. Cousins),,7-12,,
6:46.0,E. Kanter enters the game for S. Adams,,7-12,,
6:41.0,Personal foul by E. Kanter (drawn by D. Cousins),,7-12,,
6:35.0,,,7-14,2,Q. Acy makes 2-pt shot from 20 ft (assist by R. Rondo)
6:18.0,R. Westbrook makes 2-pt shot from 17 ft,2,9-14,,
6:08.0,,,9-14,,B. McLemore misses 2-pt shot from 5 ft
6:07.0,,,9-14,,Offensive rebound by Q. Acy
6:07.0,,,9-16,2,Q. Acy makes 2-pt shot at rim
5:55.0,K. Durant misses 3-pt shot from 25 ft,,9-16,,
5:54.0,,,9-16,,Defensive rebound by B. McLemore
5:48.0,,,9-16,,B. McLemore misses 3-pt shot from 25 ft
5:47.0,Defensive rebound by R. Westbrook,,9-16,,
5:34.0,E. Kanter makes 2-pt shot from 17 ft (assist by R. Westbrook),2,11-16,,
5:18.0,,,11-16,,Q. Acy misses 3-pt shot from 25 ft
5:18.0,Defensive rebound by K. Durant,,11-16,,
5:14.0,,,11-16,,Sacramento full timeout
5:14.0,K. Singler enters the game for K. Durant,,11-16,,
5:14.0,,,11-16,,O. Casspi enters the game for J. Anderson
5:07.0,S. Ibaka misses 3-pt shot from 24 ft,,11-16,,
5:05.0,Offensive rebound by R. Westbrook,,11-16,,
4:53.0,Shooting foul by B. McLemore (drawn by S. Ibaka),,11-16,,
4:53.0,S. Ibaka makes free throw 1 of 2,1,12-16,,
4:53.0,D. Waiters enters the game for A. Roberson,,12-16,,
4:53.0,S. Ibaka makes free throw 2 of 2,1,13-16,,
4:40.0,,,13-16,,O. Casspi misses 3-pt shot from 23 ft
4:39.0,,,13-16,,Offensive rebound by R. Rondo
4:32.0,,,13-16,,Turnover by D. Cousins (3 sec)
4:32.0,,,13-16,,Violation by Team (delay of game)
4:32.0,,,13-16,,D. Collison enters the game for B. McLemore
4:20.0,E. Kanter makes 2-pt shot from 2 ft (assist by R. Westbrook),2,15-16,,
4:09.0,,,15-18,2,Q. Acy makes 2-pt shot at rim (assist by R. Rondo)
3:50.0,E. Kanter makes 2-pt shot from 1 ft (assist by R. Westbrook),2,17-18,,
3:40.0,,,17-18,,R. Rondo misses 2-pt shot from 17 ft
3:39.0,Defensive rebound by R. Westbrook,,17-18,,
3:34.0,E. Kanter makes 2-pt shot from 2 ft (assist by K. Singler),2,19-18,,
3:26.0,,,19-18,,D. Cousins misses 2-pt shot from 2 ft
3:25.0,Defensive rebound by E. Kanter,,19-18,,
3:23.0,Offensive charge foul by E. Kanter,,19-18,,
3:23.0,Turnover by E. Kanter (offensive foul),,19-18,,
3:23.0,,,19-18,,W. Cauley-Stein enters the game for Q. Acy
3:09.0,,,19-20,2,D. Cousins makes 2-pt shot from 6 ft
2:54.0,R. Westbrook misses 3-pt shot from 26 ft,,19-20,,
2:53.0,,,19-20,,Defensive rebound by D. Cousins
2:45.0,,,19-20,,W. Cauley-Stein misses 2-pt shot from 2 ft
2:44.0,Defensive rebound by R. Westbrook,,19-20,,
2:34.0,D. Waiters makes 3-pt shot from 26 ft (assist by R. Westbrook),3,22-20,,
2:17.0,,,22-23,3,D. Collison makes 3-pt shot from 24 ft (assist by R. Rondo)
2:02.0,S. Ibaka makes 2-pt shot from 19 ft (assist by R. Westbrook),2,24-23,,
1:46.0,,,24-23,,D. Cousins misses 2-pt shot from 19 ft
1:45.0,Defensive rebound by S. Ibaka,,24-23,,
1:31.0,K. Singler misses 3-pt shot from 25 ft,,24-23,,
1:30.0,Offensive rebound by R. Westbrook,,24-23,,
1:26.0,R. Westbrook makes 2-pt shot from 3 ft,2,26-23,,
1:03.0,,,26-25,2,D. Cousins makes 2-pt shot at rim (assist by D. Collison)
0:57.0,Oklahoma City full timeout,,26-25,,
0:57.0,R. Foye enters the game for S. Ibaka,,26-25,,
0:57.0,K. Durant enters the game for R. Westbrook,,26-25,,
0:57.0,,,26-25,,K. Koufos enters the game for D. Cousins
0:47.0,K. Durant makes 3-pt shot from 24 ft,3,29-25,,
0:27.0,,,29-25,,W. Cauley-Stein misses 2-pt shot from 4 ft
0:25.0,Defensive rebound by D. Waiters,,29-25,,
0:04.0,D. Waiters misses 3-pt shot from 25 ft,,29-25,,
0:03.0,,,29-25,,Defensive rebound by K. Koufos
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:42.0,K. Singler makes 3-pt shot from 25 ft (assist by K. Durant),3,32-25,,
11:25.0,,,32-25,,M. Belinelli misses 3-pt shot from 25 ft
11:24.0,,,32-25,,Offensive rebound by O. Casspi
11:16.0,,,32-25,,D. Collison misses 2-pt shot from 10 ft (block by R. Foye)
11:14.0,Defensive rebound by R. Foye,,32-25,,
11:02.0,K. Durant makes 3-pt shot from 25 ft,3,35-25,,
10:45.0,,,35-27,2,O. Casspi makes 2-pt shot from 2 ft
10:40.0,Turnover by D. Waiters (lost ball),,35-27,,
10:30.0,Personal foul by K. Singler (drawn by O. Casspi),,35-27,,
10:22.0,,,35-29,2,M. Belinelli makes 2-pt shot from 17 ft (assist by D. Collison)
10:12.0,K. Durant misses 3-pt shot from 24 ft,,35-29,,
10:11.0,,,35-29,,Defensive rebound by M. Belinelli
9:52.0,,,35-29,,Turnover by W. Cauley-Stein (lost ball; steal by K. Durant)
9:40.0,D. Waiters makes 2-pt shot from 18 ft,2,37-29,,
9:29.0,,,37-29,,D. Collison misses 3-pt shot from 25 ft
9:29.0,Defensive rebound by E. Kanter,,37-29,,
9:16.0,R. Foye makes 3-pt shot from 24 ft (assist by D. Waiters),3,40-29,,
9:13.0,,,40-29,,Sacramento full timeout
9:13.0,,,40-29,,D. Cousins enters the game for K. Koufos
9:03.0,,,40-31,2,D. Cousins makes 2-pt shot from 3 ft
8:48.0,Shooting foul by D. Collison (drawn by K. Durant),,40-31,,
8:48.0,K. Durant makes free throw 1 of 2,1,41-31,,
8:48.0,R. Westbrook enters the game for K. Singler,,41-31,,
8:48.0,K. Durant makes free throw 2 of 2,1,42-31,,
8:22.0,,,42-33,2,D. Collison makes 2-pt shot from 17 ft (assist by D. Cousins)
8:10.0,Turnover by R. Westbrook (bad pass; steal by D. Cousins),,42-33,,
8:05.0,,,42-35,2,M. Belinelli makes 2-pt shot from 2 ft (assist by O. Casspi)
7:44.0,R. Westbrook makes 3-pt shot from 24 ft (assist by K. Durant),3,45-35,,
7:30.0,,,45-35,,Shooting foul by E. Kanter (drawn by D. Cousins)
7:30.0,,,45-37,2,D. Cousins makes 2-pt shot from 2 ft (assist by M. Belinelli)
7:30.0,,,45-37,,J. Anderson enters the game for O. Casspi
7:30.0,S. Ibaka enters the game for E. Kanter,,45-37,,
7:30.0,,,45-38,1,D. Cousins makes free throw 1 of 1
7:15.0,K. Durant makes 2-pt shot from 13 ft,2,47-38,,
7:00.0,,,47-41,3,D. Collison makes 3-pt shot from 23 ft (assist by D. Cousins)
6:42.0,R. Foye misses 3-pt shot from 24 ft,,47-41,,
6:42.0,,,47-41,,Defensive rebound by D. Cousins
6:29.0,Personal foul by R. Foye (drawn by D. Cousins),,47-41,,
6:18.0,,,47-41,,D. Cousins misses 2-pt shot from 18 ft
6:18.0,Defensive rebound by R. Westbrook,,47-41,,
6:08.0,K. Durant misses 2-pt shot from 16 ft,,47-41,,
6:07.0,,,47-41,,Defensive rebound by W. Cauley-Stein
5:56.0,,,47-41,,M. Belinelli misses 3-pt shot from 25 ft
5:56.0,Defensive rebound by K. Durant,,47-41,,
5:50.0,Turnover by R. Westbrook (bad pass),,47-41,,
5:50.0,Official timeout,,47-41,,
5:50.0,S. Adams enters the game for K. Durant,,47-41,,
5:50.0,,,47-41,,R. Rondo enters the game for W. Cauley-Stein
5:50.0,,,47-41,,Q. Acy enters the game for M. Belinelli
5:37.0,,,47-41,,Turnover by R. Rondo (bad pass)
5:25.0,D. Waiters makes 3-pt shot from 24 ft (assist by R. Westbrook),3,50-41,,
5:08.0,,,50-43,2,R. Rondo makes 2-pt shot from 2 ft (assist by D. Cousins)
4:55.0,R. Westbrook makes 3-pt shot from 24 ft,3,53-43,,
4:37.0,,,53-43,,D. Cousins misses 2-pt shot from 2 ft
4:36.0,,,53-43,,Offensive rebound by D. Cousins
4:36.0,,,53-43,,D. Cousins misses 2-pt shot from 2 ft
4:35.0,Defensive rebound by D. Waiters,,53-43,,
4:30.0,Turnover by D. Waiters (bad pass),,53-43,,
4:30.0,,,53-43,,B. McLemore enters the game for J. Anderson
4:30.0,A. Roberson enters the game for D. Waiters,,53-43,,
4:17.0,,,53-45,2,D. Cousins makes 2-pt shot from 1 ft (assist by R. Rondo)
4:17.0,,,53-45,,Shooting foul by S. Ibaka (drawn by D. Cousins)
4:17.0,,,53-46,1,D. Cousins makes free throw 1 of 1
4:05.0,R. Foye misses 3-pt shot from 24 ft,,53-46,,
4:04.0,,,53-46,,Defensive rebound by D. Collison
3:54.0,,,53-46,,Turnover by D. Cousins (lost ball; steal by R. Westbrook)
3:41.0,Turnover by R. Westbrook (bad pass; steal by R. Rondo),,53-46,,
3:17.0,,,53-46,,D. Cousins misses 3-pt shot from 26 ft
3:17.0,,,53-46,,Offensive rebound by D. Collison
3:13.0,,,53-46,,D. Cousins misses 2-pt shot from 2 ft
3:13.0,,,53-46,,Offensive rebound by D. Cousins
3:13.0,,,53-46,,Shooting foul by S. Adams (drawn by D. Cousins)
3:13.0,,,53-46,,D. Cousins misses free throw 1 of 2
3:13.0,,,53-46,,Offensive rebound by Team
3:13.0,K. Durant enters the game for S. Adams,,53-46,,
3:13.0,,,53-47,1,D. Cousins makes free throw 2 of 2
3:09.0,Oklahoma City full timeout,,53-47,,
3:09.0,D. Waiters enters the game for R. Foye,,53-47,,
3:09.0,,,53-47,,K. Koufos enters the game for D. Cousins
2:55.0,K. Durant misses 3-pt shot from 25 ft,,53-47,,
2:53.0,Offensive rebound by S. Ibaka,,53-47,,
2:40.0,K. Durant misses 2-pt shot from 11 ft,,53-47,,
2:39.0,,,53-47,,Defensive rebound by D. Collison
2:20.0,,,53-47,,Turnover by R. Rondo (bad pass; steal by K. Durant)
2:07.0,S. Ibaka misses 3-pt shot from 23 ft,,53-47,,
2:07.0,,,53-47,,Defensive rebound by R. Rondo
1:43.0,,,53-49,2,K. Koufos makes 2-pt shot from 3 ft (assist by R. Rondo)
1:25.0,R. Westbrook makes 2-pt shot from 14 ft,2,55-49,,
1:11.0,,,55-49,,K. Koufos misses 2-pt shot from 5 ft
1:10.0,,,55-49,,Offensive rebound by K. Koufos
1:07.0,,,55-49,,K. Koufos misses 2-pt shot from 7 ft
1:06.0,Defensive rebound by R. Westbrook,,55-49,,
1:00.0,Shooting foul by R. Rondo (drawn by S. Ibaka),,55-49,,
1:00.0,S. Ibaka makes free throw 1 of 2,1,56-49,,
1:00.0,S. Ibaka makes free throw 2 of 2,1,57-49,,
0:53.0,,,57-51,2,R. Rondo makes 2-pt shot from 6 ft
0:51.0,,,57-51,,Personal foul by Q. Acy (drawn by R. Westbrook)
0:51.0,R. Westbrook makes free throw 1 of 2,1,58-51,,
0:51.0,N. Collison enters the game for S. Ibaka,,58-51,,
0:51.0,R. Westbrook makes free throw 2 of 2,1,59-51,,
0:39.0,,,59-51,,R. Rondo misses 2-pt shot from 8 ft
0:38.0,Defensive rebound by R. Westbrook,,59-51,,
0:32.0,K. Durant misses 3-pt shot from 25 ft,,59-51,,
0:30.0,,,59-51,,Defensive rebound by R. Rondo
0:21.0,,,59-51,,Sacramento full timeout
0:21.0,,,59-51,,M. Belinelli enters the game for Q. Acy
0:21.0,,,59-51,,D. Cousins enters the game for K. Koufos
0:08.0,,,59-53,2,D. Cousins makes 2-pt shot from 7 ft
0:01.0,Turnover by R. Westbrook (lost ball),,59-53,,
0:01.0,Violation by R. Westbrook (kicked ball),,59-53,,
0:01.0,,,59-53,,Violation by Team (delay of game)
0:01.0,,,59-53,,Technical foul by Team
0:01.0,K. Durant makes technical free throw,1,60-53,,
0:01.0,,,60-53,,Violation by Team (delay of game)
0:01.0,,,60-53,,Technical foul by Team
0:01.0,K. Durant makes technical free throw,1,61-53,,
0:00.0,,,61-53,,D. Collison misses 3-pt shot from 34 ft
0:00.0,,,61-53,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:47.0,S. Adams misses 2-pt shot from 6 ft,,61-53,,
11:47.0,Offensive rebound by S. Adams,,61-53,,
11:45.0,Turnover by S. Adams (lost ball; steal by Q. Acy),,61-53,,
11:27.0,,,61-55,2,D. Cousins makes 2-pt shot from 3 ft (assist by B. McLemore)
11:24.0,Shooting foul by Q. Acy (drawn by R. Westbrook),,61-55,,
11:24.0,,,61-55,,Sacramento full timeout
11:24.0,,,61-55,,K. Koufos enters the game for D. Cousins
11:24.0,R. Westbrook misses free throw 1 of 3,,61-55,,
11:24.0,Offensive rebound by Team,,61-55,,
11:24.0,R. Westbrook makes free throw 2 of 3,1,62-55,,
11:24.0,R. Westbrook makes free throw 3 of 3,1,63-55,,
11:06.0,,,63-55,,J. Anderson misses 2-pt shot from 11 ft
11:04.0,Defensive rebound by R. Westbrook,,63-55,,
10:53.0,S. Ibaka misses 2-pt shot from 19 ft,,63-55,,
10:52.0,Offensive rebound by A. Roberson,,63-55,,
10:47.0,K. Durant makes 3-pt shot from 24 ft (assist by A. Roberson),3,66-55,,
10:35.0,,,66-55,,R. Rondo misses 2-pt shot from 2 ft
10:35.0,,,66-55,,Offensive rebound by Team
10:30.0,,,66-55,,R. Rondo misses 2-pt shot from 17 ft
10:28.0,Defensive rebound by R. Westbrook,,66-55,,
10:17.0,S. Ibaka misses 3-pt shot from 24 ft,,66-55,,
10:16.0,,,66-55,,Defensive rebound by K. Koufos
10:02.0,Personal foul by R. Westbrook (drawn by K. Koufos),,66-55,,
9:54.0,,,66-55,,B. McLemore misses 2-pt shot from 17 ft
9:53.0,,,66-55,,Offensive rebound by Q. Acy
9:47.0,,,66-58,3,B. McLemore makes 3-pt shot from 24 ft (assist by Q. Acy)
9:30.0,Turnover by S. Ibaka (lost ball),,66-58,,
9:30.0,,,66-58,,O. Casspi enters the game for J. Anderson
9:19.0,,,66-58,,B. McLemore misses 2-pt shot from 20 ft
9:17.0,Defensive rebound by R. Westbrook,,66-58,,
9:13.0,Shooting foul by B. McLemore (drawn by A. Roberson),,66-58,,
9:13.0,A. Roberson makes free throw 1 of 2,1,67-58,,
9:13.0,A. Roberson makes free throw 2 of 2,1,68-58,,
8:56.0,,,68-61,3,O. Casspi makes 3-pt shot from 22 ft (assist by B. McLemore)
8:41.0,A. Roberson makes 2-pt shot from 3 ft (assist by R. Westbrook),2,70-61,,
8:31.0,,,70-61,,Shooting foul by A. Roberson (drawn by R. Rondo)
8:31.0,,,70-61,,R. Rondo misses free throw 1 of 2
8:31.0,,,70-61,,Offensive rebound by Team
8:31.0,,,70-61,,D. Collison enters the game for B. McLemore
8:31.0,,,70-62,1,R. Rondo makes free throw 2 of 2
8:20.0,K. Durant misses 3-pt shot from 26 ft,,70-62,,
8:19.0,Offensive rebound by S. Adams,,70-62,,
8:07.0,Turnover by K. Durant (lost ball; steal by Q. Acy),,70-62,,
8:01.0,,,70-64,2,Q. Acy makes 2-pt shot at rim
7:44.0,S. Adams makes 2-pt shot from 2 ft (assist by R. Westbrook),2,72-64,,
7:34.0,Personal block foul by S. Adams (drawn by R. Rondo),,72-64,,
7:34.0,,,72-64,,D. Cousins enters the game for K. Koufos
7:34.0,E. Kanter enters the game for S. Adams,,72-64,,
7:28.0,,,72-64,,R. Rondo misses 2-pt shot from 4 ft
7:27.0,,,72-64,,Offensive rebound by O. Casspi
7:23.0,,,72-66,2,O. Casspi makes 2-pt shot from 2 ft
7:08.0,A. Roberson misses 3-pt shot from 23 ft,,72-66,,
7:07.0,Offensive rebound by A. Roberson,,72-66,,
7:05.0,Turnover by S. Ibaka (traveling),,72-66,,
6:51.0,,,72-66,,O. Casspi misses 3-pt shot from 25 ft
6:50.0,Defensive rebound by E. Kanter,,72-66,,
6:42.0,R. Westbrook misses 2-pt shot from 19 ft,,72-66,,
6:42.0,,,72-66,,Defensive rebound by D. Cousins
6:33.0,,,72-68,2,O. Casspi makes 2-pt shot from 10 ft (assist by R. Rondo)
6:20.0,K. Durant makes 2-pt shot from 18 ft (assist by R. Westbrook),2,74-68,,
6:07.0,,,74-68,,D. Cousins misses 2-pt shot from 3 ft (block by S. Ibaka)
6:06.0,,,74-68,,Offensive rebound by D. Cousins
6:05.0,,,74-68,,D. Cousins misses 2-pt shot from 3 ft
6:04.0,Defensive rebound by K. Durant,,74-68,,
6:03.0,,,74-68,,Personal foul by O. Casspi (drawn by K. Durant)
6:03.0,D. Waiters enters the game for K. Durant,,74-68,,
6:03.0,K. Singler enters the game for A. Roberson,,74-68,,
5:46.0,D. Waiters makes 2-pt shot from 17 ft,2,76-68,,
5:29.0,,,76-68,,D. Collison misses 3-pt shot from 22 ft
5:27.0,Defensive rebound by S. Ibaka,,76-68,,
5:22.0,Shooting foul by O. Casspi (drawn by R. Westbrook),,76-68,,
5:22.0,,,76-68,,Sacramento full timeout
5:22.0,N. Collison enters the game for S. Ibaka,,76-68,,
5:22.0,,,76-68,,W. Cauley-Stein enters the game for Q. Acy
5:22.0,R. Westbrook makes free throw 1 of 2,1,77-68,,
5:22.0,R. Westbrook makes free throw 2 of 2,1,78-68,,
5:05.0,,,78-70,2,D. Cousins makes 2-pt shot from 6 ft (assist by R. Rondo)
4:51.0,Turnover by R. Westbrook (lost ball; steal by R. Rondo),,78-70,,
4:37.0,Personal foul by N. Collison (drawn by D. Cousins),,78-70,,
4:28.0,,,78-70,,Offensive charge foul by D. Cousins
4:28.0,,,78-70,,Turnover by D. Cousins (offensive foul)
4:15.0,K. Singler misses 3-pt shot from 25 ft,,78-70,,
4:14.0,,,78-70,,Defensive rebound by R. Rondo
4:11.0,,,78-72,2,O. Casspi makes 2-pt shot at rim (assist by R. Rondo)
3:55.0,D. Waiters makes 2-pt shot from 12 ft,2,80-72,,
3:47.0,,,80-74,2,W. Cauley-Stein makes 2-pt shot at rim (assist by R. Rondo)
3:31.0,D. Waiters misses 2-pt shot from 3 ft,,80-74,,
3:30.0,,,80-74,,Defensive rebound by D. Cousins
3:25.0,,,80-74,,Shooting foul by K. Singler (drawn by W. Cauley-Stein)
3:25.0,,,80-75,1,W. Cauley-Stein makes free throw 1 of 2
3:25.0,,,80-76,1,W. Cauley-Stein makes free throw 2 of 2
3:13.0,K. Singler makes 3-pt shot from 23 ft (assist by R. Westbrook),3,83-76,,
2:54.0,,,83-76,,D. Cousins misses 3-pt shot from 24 ft
2:53.0,Defensive rebound by K. Singler,,83-76,,
2:44.0,Turnover by N. Collison (bad pass; steal by W. Cauley-Stein),,83-76,,
2:37.0,,,83-76,,D. Cousins misses 2-pt shot from 2 ft
2:36.0,,,83-76,,Offensive rebound by D. Cousins
2:35.0,,,83-78,2,D. Cousins makes 2-pt shot from 3 ft
2:35.0,,,83-78,,Shooting foul by N. Collison (drawn by D. Cousins)
2:35.0,Oklahoma City full timeout,,83-78,,
2:35.0,R. Foye enters the game for R. Westbrook,,83-78,,
2:35.0,K. Durant enters the game for N. Collison,,83-78,,
2:35.0,,,83-79,1,D. Cousins makes free throw 1 of 1
2:16.0,E. Kanter makes 2-pt shot from 19 ft,2,85-79,,
1:58.0,,,85-79,,D. Cousins misses 2-pt shot from 13 ft
1:56.0,,,85-79,,Offensive rebound by R. Rondo
1:56.0,,,85-79,,R. Rondo misses 2-pt shot from 1 ft
1:53.0,,,85-79,,Offensive rebound by W. Cauley-Stein
1:53.0,,,85-81,2,W. Cauley-Stein makes 2-pt shot from 1 ft
1:39.0,E. Kanter makes 2-pt shot at rim (assist by K. Durant),2,87-81,,
1:39.0,Shooting foul by D. Cousins (drawn by E. Kanter),,87-81,,
1:39.0,E. Kanter makes free throw 1 of 1,1,88-81,,
1:24.0,,,88-81,,Shooting foul by E. Kanter (drawn by D. Cousins)
1:24.0,,,88-82,1,D. Cousins makes free throw 1 of 2
1:24.0,S. Ibaka enters the game for E. Kanter,,88-82,,
1:24.0,,,88-82,,D. Cousins misses free throw 2 of 2
1:23.0,Defensive rebound by K. Durant,,88-82,,
1:07.0,R. Foye makes 3-pt shot from 24 ft (assist by K. Durant),3,91-82,,
0:54.0,,,91-84,2,D. Collison makes 2-pt shot from 2 ft
0:44.0,R. Foye misses 3-pt shot from 25 ft,,91-84,,
0:43.0,,,91-84,,Defensive rebound by D. Cousins
0:30.0,,,91-84,,O. Casspi misses 3-pt shot from 25 ft
0:29.0,Defensive rebound by K. Durant,,91-84,,
0:22.0,D. Waiters makes 2-pt shot from 3 ft,2,93-84,,
0:22.0,Shooting foul by W. Cauley-Stein (drawn by D. Waiters),,93-84,,
0:22.0,D. Waiters misses free throw 1 of 1,,93-84,,
0:21.0,Offensive rebound by K. Durant,,93-84,,
0:17.0,,,93-84,,Technical foul by D. Cousins
0:17.0,K. Durant makes technical free throw,1,94-84,,
0:00.0,R. Foye misses 3-pt shot from 26 ft,,94-84,,
0:00.0,Offensive rebound by Team,,94-84,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:48.0,,,94-86,2,D. Cousins makes 2-pt shot from 6 ft (assist by O. Casspi)
11:48.0,,,94-86,,Shooting foul by S. Ibaka (drawn by D. Cousins)
11:48.0,,,94-87,1,D. Cousins makes free throw 1 of 1
11:35.0,K. Durant makes 3-pt shot from 25 ft (assist by R. Foye),3,97-87,,
11:19.0,,,97-90,3,O. Casspi makes 3-pt shot from 26 ft (assist by D. Collison)
10:58.0,K. Durant misses 2-pt shot from 22 ft,,97-90,,
10:57.0,Offensive rebound by K. Singler,,97-90,,
10:56.0,K. Singler makes 2-pt shot from 2 ft,2,99-90,,
10:42.0,,,99-90,,Turnover by D. Cousins (lost ball; steal by D. Waiters)
10:41.0,,,99-90,,Clear path foul by D. Collison
10:41.0,D. Waiters makes clear path free throw 1 of 2,1,100-90,,
10:41.0,D. Waiters makes clear path free throw 2 of 2,1,101-90,,
10:41.0,,,101-90,,Q. Acy enters the game for W. Cauley-Stein
10:41.0,S. Adams enters the game for S. Ibaka,,101-90,,
10:30.0,K. Singler makes 3-pt shot from 23 ft (assist by K. Durant),3,104-90,,
10:02.0,,,104-90,,D. Cousins misses 2-pt shot from 18 ft
10:02.0,Defensive rebound by K. Durant,,104-90,,
9:59.0,S. Adams makes 2-pt shot at rim (assist by D. Waiters),2,106-90,,
9:58.0,,,106-90,,Sacramento full timeout
9:58.0,,,106-90,,M. Belinelli enters the game for O. Casspi
9:46.0,,,106-90,,D. Cousins misses 2-pt shot from 3 ft
9:45.0,Defensive rebound by S. Adams,,106-90,,
9:27.0,D. Waiters misses 3-pt shot from 24 ft,,106-90,,
9:27.0,,,106-90,,Defensive rebound by R. Rondo
9:25.0,Personal foul by S. Adams (drawn by D. Cousins),,106-90,,
9:25.0,,,106-90,,Violation by Team (delay of game)
9:25.0,,,106-90,,Technical foul by Team
9:25.0,K. Durant makes technical free throw,1,107-90,,
9:23.0,E. Kanter enters the game for S. Adams,,107-90,,
9:16.0,,,107-92,2,R. Rondo makes 2-pt shot from 3 ft
8:58.0,R. Foye misses 3-pt shot from 25 ft,,107-92,,
8:57.0,,,107-92,,Defensive rebound by R. Rondo
8:50.0,,,107-92,,Shooting foul by E. Kanter (drawn by D. Cousins)
8:50.0,,,107-93,1,D. Cousins makes free throw 1 of 2
8:50.0,R. Westbrook enters the game for K. Singler,,107-93,,
8:50.0,,,107-93,,D. Cousins misses free throw 2 of 2
8:48.0,Defensive rebound by K. Durant,,107-93,,
8:31.0,R. Westbrook makes 2-pt shot from 2 ft,2,109-93,,
8:10.0,,,109-93,,R. Rondo misses 3-pt shot from 25 ft
8:10.0,Defensive rebound by R. Foye,,109-93,,
8:04.0,,,109-93,,Violation by Q. Acy (def goaltending)
