time,Toronto,pts.away,score,pts.home,Memphis
2:13.0,P. Patterson misses 2-pt shot from 2 ft (block by J. Green),,20-19,,
2:10.0,,,20-19,,Defensive rebound by J. Green
1:50.0,,,20-21,2,Z. Randolph makes 2-pt shot from 18 ft (assist by X. Munford)
1:25.0,D. DeRozan makes 3-pt shot from 23 ft,3,23-21,,
1:08.0,,,23-21,,Turnover by Z. Randolph (lost ball; steal by D. DeRozan)
1:03.0,D. DeRozan makes 2-pt shot at rim,2,25-21,,
0:46.0,,,25-23,2,X. Munford makes 2-pt shot from 13 ft (assist by L. Stephenson)
0:27.0,P. Patterson misses 3-pt shot from 23 ft,,25-23,,
0:27.0,,,25-23,,Defensive rebound by Team
0:27.0,Loose ball foul by B. Biyombo,,25-23,,
0:27.0,T. Ross enters the game for N. Powell,,25-23,,
0:27.0,,,25-23,,V. Carter enters the game for Z. Randolph
0:12.0,,,25-23,,L. Stephenson misses 2-pt shot from 1 ft
0:10.0,Defensive rebound by B. Biyombo,,25-23,,
0:03.0,P. Patterson makes 2-pt shot from 1 ft,2,27-23,,
0:00.0,,,27-23,,M. Barnes misses 3-pt shot from 51 ft
0:00.0,,,27-23,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:49.0,,,27-23,,Personal foul by J. Martin
11:43.0,Turnover by B. Biyombo (lost ball; steal by J. Green),,27-23,,
11:36.0,,,27-26,3,X. Munford makes 3-pt shot from 24 ft
11:20.0,Shooting foul by V. Carter (drawn by K. Lowry),,27-26,,
11:20.0,K. Lowry makes free throw 1 of 2,1,28-26,,
11:20.0,K. Lowry makes free throw 2 of 2,1,29-26,,
11:04.0,Personal foul by T. Ross,,29-26,,
10:51.0,,,29-28,2,L. Stephenson makes 2-pt shot from 12 ft
10:41.0,Turnover by K. Lowry (lost ball; steal by X. Munford),,29-28,,
10:29.0,,,29-30,2,L. Stephenson makes 2-pt shot from 15 ft
10:11.0,T. Ross misses 3-pt shot from 24 ft,,29-30,,
10:11.0,,,29-30,,Defensive rebound by J. Green
10:01.0,,,29-30,,Memphis full timeout
9:55.0,Violation by K. Lowry (kicked ball),,29-30,,
9:47.0,,,29-32,2,L. Stephenson makes 2-pt shot at rim
9:32.0,C. Joseph misses 2-pt shot from 2 ft (block by J. Martin),,29-32,,
9:30.0,Offensive rebound by T. Ross,,29-32,,
9:21.0,K. Lowry makes 3-pt shot from 27 ft,3,32-32,,
8:52.0,Personal foul by C. Joseph,,32-32,,
8:47.0,,,32-34,2,J. Green makes 2-pt shot from 3 ft (assist by X. Munford)
8:31.0,Turnover by T. Ross (lost ball; steal by J. Martin),,32-34,,
8:22.0,,,32-34,,Turnover by X. Munford (step out of bounds)
8:08.0,Turnover by K. Lowry (traveling),,32-34,,
7:59.0,,,32-36,2,J. Green makes 2-pt shot from 19 ft (assist by X. Munford)
7:42.0,T. Ross misses 3-pt shot from 23 ft,,32-36,,
7:42.0,,,32-36,,Defensive rebound by J. Martin
7:33.0,,,32-38,2,J. Green makes 2-pt shot from 22 ft (assist by L. Stephenson)
7:30.0,Toronto full timeout,,32-38,,
7:17.0,B. Biyombo makes 2-pt shot at rim (assist by C. Joseph),2,34-38,,
6:58.0,Def 3 sec tech foul by B. Biyombo,,34-38,,
6:58.0,,,34-38,,V. Carter misses technical free throw
6:58.0,,,34-38,,Offensive rebound by Team
6:53.0,,,34-40,2,X. Munford makes 2-pt shot from 13 ft
6:34.0,Turnover by T. Ross (lost ball; steal by V. Carter),,34-40,,
6:31.0,Personal foul by C. Joseph,,34-40,,
6:31.0,D. DeRozan enters the game for C. Joseph,,34-40,,
6:31.0,N. Powell enters the game for T. Ross,,34-40,,
6:20.0,,,34-40,,Turnover by L. Stephenson (offensive goaltending)
6:06.0,K. Lowry misses 3-pt shot from 27 ft,,34-40,,
6:06.0,,,34-40,,Defensive rebound by J. Martin
5:54.0,,,34-43,3,V. Carter makes 3-pt shot from 24 ft (assist by L. Stephenson)
5:38.0,P. Patterson misses 3-pt shot from 24 ft,,34-43,,
5:36.0,,,34-43,,Defensive rebound by V. Carter
5:27.0,,,34-45,2,J. Martin makes 2-pt shot from 2 ft (assist by V. Carter)
5:19.0,Toronto full timeout,,34-45,,
5:19.0,J. Valanciunas enters the game for B. Biyombo,,34-45,,
5:09.0,Shooting foul by V. Carter (drawn by D. DeRozan),,34-45,,
5:09.0,D. DeRozan makes free throw 1 of 2,1,35-45,,
5:09.0,D. DeRozan makes free throw 2 of 2,1,36-45,,
4:52.0,,,36-45,,X. Munford misses 3-pt shot from 24 ft
4:51.0,Defensive rebound by D. DeRozan,,36-45,,
4:41.0,D. DeRozan makes 2-pt shot from 4 ft,2,38-45,,
4:27.0,,,38-45,,X. Munford misses 2-pt shot from 2 ft (block by J. Valanciunas)
4:24.0,Defensive rebound by J. Valanciunas,,38-45,,
4:22.0,Offensive foul by K. Lowry,,38-45,,
4:22.0,Turnover by K. Lowry (offensive foul),,38-45,,
4:22.0,,,38-45,,C. Andersen enters the game for J. Green
4:22.0,,,38-45,,J. Farmar enters the game for X. Munford
4:08.0,,,38-45,,Turnover by C. Andersen (lost ball; steal by N. Powell)
4:01.0,D. DeRozan misses 2-pt shot at rim (block by J. Farmar),,38-45,,
3:56.0,,,38-45,,Defensive rebound by V. Carter
3:53.0,,,38-47,2,L. Stephenson makes 2-pt shot at rim (assist by J. Farmar)
3:40.0,Turnover by K. Lowry (lost ball; steal by J. Martin),,38-47,,
3:28.0,,,38-47,,V. Carter misses 3-pt shot from 23 ft
3:27.0,,,38-47,,Offensive rebound by J. Martin
3:26.0,,,38-47,,Shooting foul by K. Lowry (drawn by J. Martin)
3:26.0,,,38-48,1,J. Martin makes free throw 1 of 2
