time,Phoenix,pts.away,score,pts.home,Cleveland
11:01.0,M. Morris makes 2-pt shot from 10 ft (assist by A. Goodwin),2,28-23,,
10:53.0,Personal foul by A. Goodwin (drawn by K. Irving),,28-23,,
10:45.0,,,28-23,,K. Irving misses 2-pt shot from 17 ft
10:45.0,Defensive rebound by T. Chandler,,28-23,,
10:28.0,M. Morris misses 2-pt shot from 14 ft,,28-23,,
10:27.0,Offensive rebound by T. Chandler,,28-23,,
10:14.0,A. Goodwin misses 3-pt shot from 23 ft,,28-23,,
10:14.0,,,28-23,,Defensive rebound by K. Love
10:14.0,Personal foul by T. Warren (drawn by K. Love),,28-23,,
10:01.0,,,28-25,2,K. Irving makes 2-pt shot from 18 ft (assist by T. Mozgov)
9:43.0,T. Chandler makes 2-pt shot from 2 ft (assist by M. Morris),2,30-25,,
9:43.0,Shooting foul by T. Mozgov (drawn by T. Chandler),,30-25,,
9:43.0,D. Booker enters the game for A. Goodwin,,30-25,,
9:43.0,,,30-25,,A. Varejao enters the game for T. Mozgov
9:43.0,T. Chandler misses free throw 1 of 1,,30-25,,
9:42.0,,,30-25,,Defensive rebound by K. Irving
9:26.0,,,30-25,,K. Love misses 2-pt shot from 15 ft
9:25.0,Defensive rebound by T. Chandler,,30-25,,
9:13.0,M. Morris misses 2-pt shot from 8 ft,,30-25,,
9:13.0,Offensive rebound by T. Chandler,,30-25,,
9:08.0,S. Weems misses 3-pt shot from 24 ft,,30-25,,
9:07.0,,,30-25,,Defensive rebound by I. Shumpert
8:56.0,,,30-25,,K. Irving misses 2-pt shot from 11 ft
8:54.0,Defensive rebound by T. Warren,,30-25,,
8:34.0,M. Morris misses 3-pt shot from 24 ft,,30-25,,
8:33.0,,,30-25,,Defensive rebound by I. Shumpert
8:26.0,,,30-27,2,K. Love makes 2-pt shot from 1 ft (assist by I. Shumpert)
8:08.0,Turnover by S. Weems (bad pass; steal by K. Love),,30-27,,
8:05.0,,,30-27,,Turnover by I. Shumpert (bad pass; steal by T. Warren)
8:01.0,M. Morris makes 2-pt shot at rim (assist by T. Warren),2,32-27,,
8:01.0,,,32-27,,Cleveland full timeout
8:01.0,,,32-27,,L. James enters the game for K. Love
8:01.0,,,32-27,,J. Smith enters the game for I. Shumpert
7:50.0,,,32-30,3,J. Smith makes 3-pt shot from 25 ft (assist by K. Irving)
7:31.0,Turnover by T. Chandler (offensive goaltending),,32-30,,
7:21.0,,,32-30,,K. Irving misses 3-pt shot from 26 ft
7:20.0,Defensive rebound by T. Chandler,,32-30,,
7:15.0,S. Weems makes 2-pt shot at rim (assist by D. Booker),2,34-30,,
7:02.0,,,34-32,2,R. Jefferson makes 2-pt shot from 17 ft
6:50.0,D. Booker makes 3-pt shot from 26 ft,3,37-32,,
6:43.0,,,37-34,2,R. Jefferson makes 2-pt shot at rim (assist by L. James)
6:31.0,P. Tucker enters the game for M. Morris,,37-34,,
6:31.0,,,37-34,,M. Dellavedova enters the game for K. Irving
6:18.0,D. Booker misses 3-pt shot from 28 ft,,37-34,,
6:17.0,Offensive rebound by T. Chandler,,37-34,,
6:10.0,P. Tucker misses 3-pt shot from 23 ft,,37-34,,
6:08.0,,,37-34,,Defensive rebound by A. Varejao
6:07.0,,,37-34,,Shooting foul by T. Warren (drawn by L. James)
6:07.0,,,37-35,1,L. James makes free throw 1 of 2
6:07.0,,,37-36,1,L. James makes free throw 2 of 2
5:53.0,D. Booker makes 2-pt shot from 1 ft (assist by T. Chandler),2,39-36,,
5:53.0,Shooting foul by J. Smith (drawn by D. Booker),,39-36,,
5:53.0,Official timeout,,39-36,,
5:53.0,A. Len enters the game for T. Warren,,39-36,,
5:53.0,D. Booker misses free throw 1 of 1,,39-36,,
5:52.0,Offensive rebound by D. Booker,,39-36,,
5:40.0,Turnover by S. Weems (bad pass; steal by A. Varejao),,39-36,,
5:32.0,,,39-39,3,J. Smith makes 3-pt shot from 25 ft (assist by L. James)
5:05.0,S. Weems makes 2-pt shot from 15 ft (assist by A. Len),2,41-39,,
4:47.0,,,41-41,2,A. Varejao makes 2-pt shot from 3 ft (assist by L. James)
4:39.0,Turnover by D. Booker (bad pass; steal by J. Smith),,41-41,,
4:36.0,,,41-41,,Shooting foul by D. Booker (drawn by R. Jefferson)
4:36.0,,,41-41,,R. Jefferson misses free throw 1 of 2
4:36.0,,,41-41,,Offensive rebound by Team
4:36.0,A. Goodwin enters the game for S. Weems,,41-41,,
4:36.0,,,41-42,1,R. Jefferson makes free throw 2 of 2
4:26.0,,,41-42,,Personal foul by J. Smith (drawn by D. Booker)
4:26.0,,,41-42,,K. Love enters the game for J. Smith
4:26.0,,,41-42,,T. Thompson enters the game for A. Varejao
4:14.0,Shooting foul by T. Thompson (drawn by T. Chandler),,41-42,,
4:14.0,T. Chandler misses free throw 1 of 2,,41-42,,
4:14.0,Offensive rebound by Team,,41-42,,
4:14.0,,,41-42,,I. Shumpert enters the game for R. Jefferson
4:14.0,T. Chandler misses free throw 2 of 2,,41-42,,
4:13.0,,,41-42,,Defensive rebound by K. Love
3:59.0,,,41-42,,I. Shumpert misses 3-pt shot from 24 ft
3:59.0,,,41-42,,Offensive rebound by K. Love
3:59.0,Personal foul by D. Booker (drawn by K. Love),,41-42,,
3:59.0,,,41-43,1,K. Love makes free throw 1 of 2
3:59.0,,,41-44,1,K. Love makes free throw 2 of 2
3:35.0,A. Goodwin makes 3-pt shot from 23 ft (assist by P. Tucker),3,44-44,,
3:24.0,,,44-44,,K. Love misses 3-pt shot from 26 ft
3:24.0,,,44-44,,Offensive rebound by K. Love
3:20.0,,,44-44,,Shooting foul by T. Chandler (drawn by T. Thompson)
3:20.0,,,44-44,,T. Thompson misses free throw 1 of 2
3:20.0,,,44-44,,Offensive rebound by Team
3:20.0,,,44-45,1,T. Thompson makes free throw 2 of 2
3:04.0,A. Len misses 2-pt shot from 16 ft,,44-45,,
3:04.0,,,44-45,,Defensive rebound by L. James
3:01.0,Personal foul by A. Len (drawn by L. James),,44-45,,
3:01.0,,,44-46,1,L. James makes free throw 1 of 2
3:01.0,,,44-47,1,L. James makes free throw 2 of 2
2:44.0,D. Booker makes 2-pt shot from 20 ft,2,46-47,,
2:31.0,,,46-49,2,L. James makes 2-pt shot from 1 ft (assist by M. Dellavedova)
2:18.0,A. Goodwin makes 2-pt shot from 1 ft,2,48-49,,
1:57.0,,,48-51,2,K. Love makes 2-pt shot from 5 ft (assist by M. Dellavedova)
1:55.0,Phoenix full timeout,,48-51,,
1:40.0,A. Len makes 2-pt shot from 6 ft (assist by A. Goodwin),2,50-51,,
1:25.0,,,50-53,2,K. Love makes 2-pt shot from 17 ft (assist by L. James)
1:03.0,A. Len misses 2-pt shot from 8 ft (block by T. Thompson),,50-53,,
1:02.0,,,50-53,,Defensive rebound by K. Love
1:00.0,,,50-53,,Offensive foul by L. James
1:00.0,,,50-53,,Turnover by L. James (offensive foul)
1:00.0,,,50-53,,T. Mozgov enters the game for K. Love
1:00.0,,,50-53,,R. Jefferson enters the game for L. James
0:38.0,Turnover by A. Goodwin (lost ball; steal by I. Shumpert),,50-53,,
0:34.0,,,50-55,2,I. Shumpert makes 2-pt shot at rim (assist by R. Jefferson)
0:13.0,A. Len misses 2-pt shot from 21 ft,,50-55,,
0:12.0,,,50-55,,Defensive rebound by T. Thompson
0:00.0,,,50-55,,M. Dellavedova misses 2-pt shot from 20 ft
0:00.0,,,50-55,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:45.0,,,50-55,,K. Love misses 3-pt shot from 25 ft
11:45.0,,,50-55,,Offensive rebound by J. Smith
11:32.0,,,50-55,,K. Irving misses 2-pt shot from 18 ft
11:32.0,Defensive rebound by A. Goodwin,,50-55,,
11:19.0,Turnover by D. Booker (lost ball; steal by J. Smith),,50-55,,
11:12.0,,,50-57,2,J. Smith makes 2-pt shot from 1 ft
10:56.0,Turnover by P. Tucker (bad pass),,50-57,,
10:31.0,,,50-60,3,K. Love makes 3-pt shot from 24 ft (assist by J. Smith)
10:31.0,Phoenix full timeout,,50-60,,
10:31.0,T. Warren enters the game for D. Booker,,50-60,,
10:12.0,Turnover by A. Goodwin (bad pass; steal by J. Smith),,50-60,,
10:07.0,,,50-62,2,L. James makes 2-pt shot at rim (assist by J. Smith)
9:46.0,T. Warren misses 2-pt shot from 6 ft,,50-62,,
9:45.0,,,50-62,,Defensive rebound by J. Smith
9:36.0,,,50-65,3,K. Love makes 3-pt shot from 25 ft (assist by L. James)
9:12.0,Turnover by A. Len (bad pass; steal by J. Smith),,50-65,,
9:07.0,,,50-67,2,J. Smith makes 2-pt shot from 1 ft (assist by L. James)
9:07.0,Phoenix full timeout,,50-67,,
9:07.0,M. Morris enters the game for A. Len,,50-67,,
8:53.0,T. Warren makes 2-pt shot from 17 ft (assist by A. Goodwin),2,52-67,,
8:38.0,,,52-67,,J. Smith misses 2-pt shot from 8 ft
8:36.0,Defensive rebound by P. Tucker,,52-67,,
8:23.0,Turnover by A. Goodwin (bad pass),,52-67,,
8:02.0,,,52-67,,Turnover by K. Irving (dbl dribble)
7:43.0,M. Morris misses 2-pt shot from 10 ft,,52-67,,
7:41.0,,,52-67,,Defensive rebound by K. Irving
7:37.0,,,52-67,,Turnover by K. Irving (bad pass; steal by A. Goodwin)
7:30.0,A. Goodwin misses 2-pt shot from 1 ft,,52-67,,
7:29.0,Offensive rebound by P. Tucker,,52-67,,
7:29.0,P. Tucker makes 2-pt shot from 3 ft,2,54-67,,
7:29.0,,,54-67,,Cleveland full timeout
7:19.0,,,54-69,2,K. Irving makes 2-pt shot from 7 ft
7:02.0,Turnover by A. Goodwin (bad pass; steal by K. Irving),,54-69,,
6:55.0,,,54-71,2,L. James makes 2-pt shot at rim (assist by J. Smith)
6:37.0,M. Morris makes 2-pt shot from 16 ft (assist by A. Goodwin),2,56-71,,
6:18.0,,,56-71,,K. Irving misses 2-pt shot from 17 ft
6:17.0,,,56-71,,Offensive rebound by T. Thompson
6:08.0,,,56-71,,K. Love misses 2-pt shot from 7 ft
6:06.0,Defensive rebound by M. Morris,,56-71,,
5:53.0,Turnover by A. Goodwin (bad pass; steal by K. Irving),,56-71,,
5:44.0,,,56-71,,J. Smith misses 3-pt shot from 24 ft
5:43.0,,,56-71,,Offensive rebound by T. Thompson
5:42.0,,,56-71,,T. Thompson misses 2-pt shot from 3 ft (block by T. Chandler)
5:42.0,,,56-71,,Offensive rebound by Team
5:42.0,D. Booker enters the game for A. Goodwin,,56-71,,
5:37.0,,,56-74,3,J. Smith makes 3-pt shot from 27 ft (assist by K. Love)
5:04.0,T. Warren makes 2-pt shot at rim (assist by D. Booker),2,58-74,,
4:45.0,,,58-74,,Turnover by L. James (bad pass)
4:30.0,M. Morris makes 3-pt shot from 25 ft (assist by T. Warren),3,61-74,,
4:08.0,,,61-74,,Turnover by K. Irving (bad pass)
4:08.0,,,61-74,,M. Dellavedova enters the game for K. Irving
3:57.0,Shooting foul by J. Smith (drawn by T. Warren),,61-74,,
3:57.0,T. Warren makes free throw 1 of 2,1,62-74,,
3:57.0,,,62-74,,I. Shumpert enters the game for J. Smith
3:57.0,T. Warren misses free throw 2 of 2,,62-74,,
3:56.0,,,62-74,,Defensive rebound by L. James
3:30.0,,,62-74,,M. Dellavedova misses 3-pt shot from 28 ft
3:30.0,Defensive rebound by M. Morris,,62-74,,
3:22.0,T. Chandler misses 2-pt shot from 16 ft,,62-74,,
3:22.0,,,62-74,,Defensive rebound by Team
2:59.0,,,62-77,3,I. Shumpert makes 3-pt shot from 23 ft (assist by K. Love)
2:38.0,T. Warren makes 2-pt shot from 9 ft,2,64-77,,
2:30.0,Personal block foul by P. Tucker (drawn by L. James),,64-77,,
2:14.0,,,64-77,,K. Love misses 3-pt shot from 25 ft
2:14.0,Defensive rebound by T. Warren,,64-77,,
2:05.0,,,64-77,,Personal foul by M. Dellavedova (drawn by D. Booker)
2:05.0,,,64-77,,R. Jefferson enters the game for K. Love
1:58.0,T. Warren makes 2-pt shot from 6 ft (assist by D. Booker),2,66-77,,
1:35.0,,,66-79,2,L. James makes 2-pt shot from 18 ft (assist by M. Dellavedova)
1:24.0,D. Booker misses 2-pt shot from 10 ft,,66-79,,
1:22.0,Offensive rebound by T. Chandler,,66-79,,
1:22.0,T. Chandler makes 2-pt shot at rim,2,68-79,,
1:13.0,,,68-81,2,T. Thompson makes 2-pt shot from 2 ft (assist by M. Dellavedova)
1:05.0,Offensive foul by T. Chandler,,68-81,,
1:05.0,Turnover by T. Chandler (offensive foul),,68-81,,
0:54.0,,,68-84,3,R. Jefferson makes 3-pt shot from 22 ft (assist by M. Dellavedova)
0:38.0,Turnover by M. Morris (dbl dribble),,68-84,,
0:38.0,Violation by Team (jump ball),,68-84,,
0:34.0,,,68-86,2,L. James makes 2-pt shot at rim
0:34.0,,,68-86,,Shooting foul by P. Tucker (drawn by L. James)
0:34.0,,,68-87,1,L. James makes free throw 1 of 1
0:18.0,Shooting foul by M. Dellavedova (drawn by D. Booker),,68-87,,
0:18.0,D. Booker makes free throw 1 of 3,1,69-87,,
0:18.0,D. Booker makes free throw 2 of 3,1,70-87,,
0:18.0,D. Booker makes free throw 3 of 3,1,71-87,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:42.0,T. Warren misses 2-pt shot from 6 ft,,71-87,,
11:40.0,,,71-87,,Defensive rebound by K. Love
11:23.0,,,71-90,3,M. Dellavedova makes 3-pt shot from 24 ft (assist by K. Love)
11:08.0,Turnover by M. Morris (step out of bounds),,71-90,,
11:08.0,A. Len enters the game for T. Chandler,,71-90,,
10:49.0,,,71-90,,K. Love misses 2-pt shot from 12 ft (block by M. Morris)
10:49.0,,,71-90,,Offensive rebound by Team
10:49.0,S. Weems enters the game for P. Tucker,,71-90,,
10:44.0,,,71-90,,K. Love misses 2-pt shot from 15 ft
10:42.0,Defensive rebound by M. Morris,,71-90,,
10:39.0,,,71-90,,Shooting block foul by M. Dellavedova (drawn by D. Booker)
10:39.0,D. Booker makes free throw 1 of 2,1,72-90,,
10:39.0,D. Booker makes free throw 2 of 2,1,73-90,,
10:24.0,,,73-90,,M. Dellavedova misses 3-pt shot from 25 ft
10:23.0,,,73-90,,Offensive rebound by K. Love
10:20.0,,,73-92,2,K. Love makes 2-pt shot from 1 ft
10:08.0,D. Booker misses 3-pt shot from 25 ft,,73-92,,
10:07.0,,,73-92,,Defensive rebound by K. Love
10:03.0,Personal foul by D. Booker (drawn by M. Dellavedova),,73-92,,
9:50.0,,,73-92,,T. Mozgov misses 2-pt shot at rim
9:49.0,Defensive rebound by S. Weems,,73-92,,
9:39.0,M. Morris misses 2-pt shot from 18 ft,,73-92,,
9:38.0,,,73-92,,Defensive rebound by K. Love
9:31.0,,,73-92,,K. Love misses 3-pt shot from 25 ft
9:30.0,Defensive rebound by T. Warren,,73-92,,
9:13.0,A. Len misses 2-pt shot from 5 ft,,73-92,,
9:12.0,,,73-92,,Defensive rebound by M. Dellavedova
9:06.0,,,73-94,2,T. Mozgov makes 2-pt shot at rim (assist by I. Shumpert)
8:46.0,D. Booker misses 2-pt shot from 10 ft,,73-94,,
8:45.0,,,73-94,,Defensive rebound by K. Love
8:40.0,,,73-94,,Cleveland full timeout
8:40.0,P. Tucker enters the game for M. Morris,,73-94,,
8:29.0,,,73-96,2,K. Love makes 2-pt shot from 1 ft (assist by M. Dellavedova)
8:06.0,P. Tucker misses 3-pt shot from 23 ft,,73-96,,
8:05.0,Offensive rebound by A. Len,,73-96,,
8:00.0,S. Weems makes 3-pt shot from 25 ft (assist by A. Len),3,76-96,,
7:41.0,,,76-98,2,T. Mozgov makes 2-pt shot from 2 ft (assist by M. Dellavedova)
7:24.0,A. Len misses 2-pt shot from 16 ft,,76-98,,
7:24.0,Offensive rebound by P. Tucker,,76-98,,
7:19.0,P. Tucker misses 2-pt shot from 11 ft,,76-98,,
7:19.0,Offensive rebound by P. Tucker,,76-98,,
7:19.0,Shooting foul by T. Mozgov (drawn by P. Tucker),,76-98,,
7:19.0,P. Tucker makes free throw 1 of 2,1,77-98,,
7:19.0,,,77-98,,J. Smith enters the game for K. Love
7:19.0,P. Tucker makes free throw 2 of 2,1,78-98,,
6:59.0,,,78-98,,M. Dellavedova misses 3-pt shot from 24 ft
6:58.0,Defensive rebound by P. Tucker,,78-98,,
6:42.0,Turnover by S. Weems (bad pass),,78-98,,
6:31.0,,,78-101,3,J. Smith makes 3-pt shot from 24 ft (assist by R. Jefferson)
6:18.0,S. Weems misses 2-pt shot from 11 ft,,78-101,,
6:18.0,,,78-101,,Defensive rebound by M. Dellavedova
6:11.0,,,78-101,,Shooting foul by T. Warren (drawn by R. Jefferson)
6:11.0,,,78-102,1,R. Jefferson makes free throw 1 of 3
6:11.0,,,78-103,1,R. Jefferson makes free throw 2 of 3
6:11.0,,,78-103,,A. Varejao enters the game for T. Mozgov
6:11.0,,,78-103,,M. Williams enters the game for M. Dellavedova
6:11.0,,,78-104,1,R. Jefferson makes free throw 3 of 3
5:54.0,T. Warren makes 2-pt shot at rim (assist by D. Booker),2,80-104,,
5:32.0,,,80-106,2,A. Varejao makes 2-pt shot from 1 ft (assist by R. Jefferson)
5:04.0,T. Warren misses 2-pt shot from 12 ft,,80-106,,
5:03.0,,,80-106,,Defensive rebound by M. Williams
4:54.0,,,80-106,,M. Williams misses 3-pt shot from 24 ft
4:54.0,Defensive rebound by A. Len,,80-106,,
4:54.0,Phoenix full timeout,,80-106,,
4:54.0,C. Jefferson enters the game for P. Tucker,,80-106,,
4:54.0,A. Goodwin enters the game for A. Len,,80-106,,
4:54.0,M. Morris enters the game for D. Booker,,80-106,,
4:54.0,,,80-106,,J. Cunningham enters the game for J. Smith
4:35.0,M. Morris misses 2-pt shot from 9 ft,,80-106,,
4:34.0,,,80-106,,Defensive rebound by I. Shumpert
4:16.0,,,80-108,2,M. Williams makes 2-pt shot from 16 ft
3:58.0,A. Goodwin misses 3-pt shot from 25 ft,,80-108,,
3:57.0,Offensive rebound by C. Jefferson,,80-108,,
3:56.0,Shooting foul by R. Jefferson (drawn by C. Jefferson),,80-108,,
3:56.0,C. Jefferson makes free throw 1 of 2,1,81-108,,
3:56.0,C. Jefferson makes free throw 2 of 2,1,82-108,,
3:33.0,,,82-110,2,M. Williams makes 2-pt shot from 21 ft
3:17.0,C. Jefferson makes 2-pt shot at rim (assist by S. Weems),2,84-110,,
3:01.0,,,84-110,,Turnover by I. Shumpert (bad pass; steal by S. Weems)
3:00.0,Turnover by S. Weems (step out of bounds),,84-110,,
2:39.0,,,84-110,,A. Varejao misses 2-pt shot from 8 ft
2:38.0,Defensive rebound by M. Morris,,84-110,,
2:34.0,Turnover by M. Morris (bad pass; steal by I. Shumpert),,84-110,,
2:28.0,,,84-110,,Turnover by I. Shumpert (bad pass; steal by M. Morris)
2:20.0,Shooting foul by R. Jefferson (drawn by M. Morris),,84-110,,
2:20.0,Official timeout,,84-110,,
2:20.0,L. Brown enters the game for T. Warren,,84-110,,
2:20.0,M. Morris makes free throw 1 of 2,1,85-110,,
2:20.0,M. Morris makes free throw 2 of 2,1,86-110,,
1:59.0,,,86-113,3,R. Jefferson makes 3-pt shot from 24 ft (assist by I. Shumpert)
1:43.0,C. Jefferson makes 2-pt shot at rim (assist by M. Morris),2,88-113,,
1:34.0,,,88-113,,M. Williams misses 2-pt shot from 8 ft
1:33.0,,,88-113,,Offensive rebound by A. Varejao
1:33.0,,,88-115,2,A. Varejao makes 2-pt shot from 1 ft
1:18.0,S. Weems makes 3-pt shot from 24 ft (assist by M. Morris),3,91-115,,
0:56.0,,,91-115,,M. Williams misses 2-pt shot from 15 ft
0:56.0,,,91-115,,Offensive rebound by A. Varejao
0:42.0,Personal foul by S. Weems (drawn by I. Shumpert),,91-115,,
0:32.0,,,91-115,,Turnover by A. Varejao (3 sec)
0:28.0,L. Brown makes 2-pt shot at rim,2,93-115,,
0:04.0,,,93-115,,Turnover by Team (shot clock)
0:00.0,L. Brown misses 3-pt shot from 24 ft,,93-115,,
0:00.0,Offensive rebound by Team,,93-115,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
