time,Detroit,pts.away,score,pts.home,Cleveland
5:09.0,,,16-16,,J. McRae misses 2-pt shot from 15 ft
5:09.0,Defensive rebound by A. Tolliver,,16-16,,
4:59.0,A. Baynes makes 2-pt shot at rim (assist by S. Blake),2,18-16,,
4:30.0,,,18-18,2,T. Mozgov makes 2-pt shot from 1 ft
4:15.0,R. Bullock misses 3-pt shot from 24 ft,,18-18,,
4:14.0,,,18-18,,Defensive rebound by D. Jones
4:05.0,,,18-20,2,C. Frye makes 2-pt shot from 6 ft (assist by J. McRae)
3:45.0,S. Blake makes 2-pt shot from 17 ft,2,20-20,,
3:41.0,,,20-20,,Cleveland full timeout
3:41.0,,,20-20,,J. Jones enters the game for C. Frye
3:41.0,,,20-20,,S. Kaun enters the game for T. Mozgov
3:23.0,,,20-22,2,J. McRae makes 2-pt shot at rim
2:59.0,S. Blake makes 2-pt shot at rim,2,22-22,,
2:29.0,,,22-22,,R. Jefferson misses 2-pt shot from 14 ft
2:29.0,Defensive rebound by A. Tolliver,,22-22,,
2:26.0,Turnover by D. Hilliard (lost ball),,22-22,,
2:26.0,S. Johnson enters the game for A. Tolliver,,22-22,,
2:07.0,,,22-24,2,J. Jones makes 2-pt shot from 8 ft
1:53.0,S. Blake makes 3-pt shot from 24 ft,3,25-24,,
1:39.0,,,25-24,,J. Jones misses 3-pt shot from 25 ft
1:38.0,Defensive rebound by S. Johnson,,25-24,,
1:23.0,A. Baynes makes 2-pt shot from 8 ft (assist by S. Blake),2,27-24,,
1:13.0,,,27-24,,Turnover by J. McRae (lost ball; steal by S. Johnson)
1:10.0,S. Johnson makes 2-pt shot from 1 ft,2,29-24,,
0:46.0,,,29-24,,D. Jones misses 2-pt shot from 4 ft
0:46.0,Defensive rebound by S. Blake,,29-24,,
0:33.0,D. Hilliard misses 2-pt shot from 2 ft (block by D. Jones),,29-24,,
0:33.0,Offensive rebound by Team,,29-24,,
0:33.0,,,29-24,,C. Frye enters the game for R. Jefferson
0:33.0,J. Anthony enters the game for A. Baynes,,29-24,,
0:31.0,,,29-24,,Personal foul by D. Jones
0:23.0,Turnover by S. Blake (lost ball; steal by D. Jones),,29-24,,
0:01.0,,,29-24,,S. Kaun misses 2-pt shot from 4 ft (block by J. Anthony)
0:00.0,Defensive rebound by R. Bullock,,29-24,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:36.0,,,29-24,,J. McRae misses 2-pt shot from 7 ft
11:34.0,Defensive rebound by D. Hilliard,,29-24,,
11:29.0,Turnover by S. Johnson (lost ball; steal by C. Frye),,29-24,,
11:22.0,,,29-24,,D. Jones misses 2-pt shot from 2 ft (block by J. Anthony)
11:22.0,,,29-24,,Offensive rebound by C. Frye
11:22.0,J. Meeks enters the game for D. Hilliard,,29-24,,
11:15.0,,,29-24,,J. Jones misses 3-pt shot from 27 ft
11:14.0,Defensive rebound by S. Johnson,,29-24,,
11:02.0,Shooting foul by J. Jones (drawn by J. Anthony),,29-24,,
11:02.0,J. Anthony misses free throw 1 of 2,,29-24,,
11:02.0,Offensive rebound by Team,,29-24,,
11:02.0,J. Anthony makes free throw 2 of 2,1,30-24,,
10:39.0,,,30-24,,J. Jones misses 2-pt shot from 17 ft
10:37.0,Defensive rebound by S. Johnson,,30-24,,
10:25.0,S. Dinwiddie misses 2-pt shot from 11 ft,,30-24,,
10:23.0,,,30-24,,Defensive rebound by C. Frye
10:16.0,,,30-26,2,J. McRae makes 2-pt shot at rim
10:16.0,,,30-26,,Shooting foul by J. Anthony (drawn by J. McRae)
10:16.0,,,30-27,1,J. McRae makes free throw 1 of 1
10:04.0,S. Johnson makes 2-pt shot from 17 ft,2,32-27,,
9:48.0,,,32-27,,C. Frye misses 2-pt shot from 11 ft
9:46.0,,,32-27,,Offensive rebound by J. Jones
9:42.0,,,32-27,,J. Jones misses 3-pt shot from 25 ft
9:41.0,Defensive rebound by J. Meeks,,32-27,,
9:34.0,S. Johnson makes 2-pt shot from 18 ft (assist by S. Dinwiddie),2,34-27,,
9:23.0,,,34-27,,J. McRae misses 2-pt shot from 14 ft
9:22.0,Defensive rebound by R. Bullock,,34-27,,
9:21.0,Turnover by R. Bullock (lost ball; steal by S. Kaun),,34-27,,
9:21.0,Jump ball: R. Bullock vs. S. Kaun (J. McRae gains possession),,,,Jump ball: R. Bullock vs. S. Kaun (J. McRae gains possession)
9:11.0,Personal foul by S. Johnson,,34-27,,
9:08.0,,,34-29,2,C. Frye makes 2-pt shot from 11 ft
9:08.0,,,34-29,,Shooting foul by S. Johnson (drawn by C. Frye)
9:08.0,A. Tolliver enters the game for S. Johnson,,34-29,,
9:08.0,,,34-30,1,C. Frye makes free throw 1 of 1
8:46.0,J. Meeks misses 3-pt shot from 26 ft,,34-30,,
8:46.0,Offensive rebound by S. Dinwiddie,,34-30,,
8:42.0,S. Dinwiddie misses 2-pt shot from 1 ft (block by J. Jones),,34-30,,
8:42.0,Offensive rebound by Team,,34-30,,
8:42.0,Official timeout,,34-30,,
8:42.0,,,34-30,,R. Jefferson enters the game for J. McRae
8:27.0,J. Meeks makes 3-pt shot from 25 ft (assist by S. Dinwiddie),3,37-30,,
8:02.0,,,37-32,2,D. Jones makes 2-pt shot from 15 ft (assist by C. Frye)
7:45.0,R. Bullock makes 2-pt shot from 13 ft (assist by S. Dinwiddie),2,39-32,,
7:21.0,,,39-32,,S. Kaun misses 2-pt shot from 6 ft (block by J. Anthony)
7:19.0,Defensive rebound by R. Bullock,,39-32,,
7:05.0,J. Meeks misses 3-pt shot from 26 ft,,39-32,,
7:05.0,,,39-32,,Defensive rebound by Team
7:03.0,,,39-32,,T. Mozgov enters the game for S. Kaun
6:45.0,,,39-34,2,R. Jefferson makes 2-pt shot from 8 ft (assist by C. Frye)
6:32.0,R. Bullock makes 3-pt shot from 26 ft (assist by S. Dinwiddie),3,42-34,,
6:13.0,,,42-34,,R. Jefferson misses 2-pt shot from 15 ft
6:12.0,Defensive rebound by S. Dinwiddie,,42-34,,
6:03.0,J. Anthony makes 2-pt shot at rim (assist by A. Tolliver),2,44-34,,
6:03.0,,,44-34,,Cleveland full timeout
5:50.0,,,44-36,2,R. Jefferson makes 2-pt shot from 16 ft (assist by T. Mozgov)
5:27.0,A. Tolliver makes 3-pt shot from 22 ft (assist by R. Bullock),3,47-36,,
5:09.0,,,47-36,,R. Jefferson misses 2-pt shot from 17 ft
5:09.0,Defensive rebound by R. Bullock,,47-36,,
5:08.0,,,47-36,,Personal foul by R. Jefferson
5:08.0,,,47-36,,J. McRae enters the game for D. Jones
4:53.0,A. Tolliver makes 3-pt shot from 22 ft (assist by J. Meeks),3,50-36,,
4:28.0,,,50-36,,J. McRae misses 3-pt shot from 25 ft
4:28.0,Defensive rebound by A. Tolliver,,50-36,,
4:20.0,Shooting foul by J. Jones (drawn by J. Meeks),,50-36,,
4:20.0,J. Meeks makes free throw 1 of 2,1,51-36,,
4:20.0,A. Baynes enters the game for J. Anthony,,51-36,,
4:20.0,D. Hilliard enters the game for R. Bullock,,51-36,,
4:20.0,J. Meeks makes free throw 2 of 2,1,52-36,,
4:02.0,,,52-38,2,J. McRae makes 2-pt shot from 1 ft
3:51.0,Offensive foul by A. Tolliver,,52-38,,
3:51.0,Turnover by A. Tolliver (offensive foul),,52-38,,
3:35.0,,,52-38,,C. Frye misses 3-pt shot from 24 ft
3:34.0,Defensive rebound by D. Hilliard,,52-38,,
3:18.0,J. Meeks makes 3-pt shot from 25 ft,3,55-38,,
2:58.0,,,55-40,2,R. Jefferson makes 2-pt shot from 1 ft (assist by J. McRae)
2:43.0,Offensive charge foul by D. Hilliard,,55-40,,
2:43.0,Turnover by D. Hilliard (offensive foul),,55-40,,
2:43.0,Detroit full timeout,,55-40,,
2:43.0,,,55-40,,D. Jones enters the game for R. Jefferson
2:25.0,,,55-42,2,D. Jones makes 2-pt shot from 17 ft
2:07.0,S. Dinwiddie misses 2-pt shot from 7 ft,,55-42,,
2:05.0,,,55-42,,Defensive rebound by T. Mozgov
1:47.0,,,55-42,,D. Jones misses 2-pt shot from 1 ft
1:47.0,Defensive rebound by S. Dinwiddie,,55-42,,
1:30.0,S. Dinwiddie misses 3-pt shot from 25 ft,,55-42,,
1:30.0,,,55-42,,Defensive rebound by C. Frye
1:19.0,,,55-44,2,T. Mozgov makes 2-pt shot from 9 ft (assist by J. McRae)
1:04.0,D. Hilliard misses 2-pt shot from 6 ft (block by T. Mozgov),,55-44,,
1:03.0,,,55-44,,Defensive rebound by J. Jones
0:51.0,,,55-44,,Turnover by J. McRae (lost ball; steal by D. Hilliard)
0:46.0,J. Meeks makes 3-pt shot from 25 ft (assist by D. Hilliard),3,58-44,,
0:24.0,,,58-44,,T. Mozgov misses 2-pt shot from 12 ft
0:22.0,Defensive rebound by A. Tolliver,,58-44,,
0:05.0,Offensive foul by A. Baynes,,58-44,,
0:05.0,Turnover by A. Baynes (offensive foul),,58-44,,
0:01.0,,,58-44,,Turnover by J. McRae (lost ball)
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:43.0,,,58-46,2,R. Jefferson makes 2-pt shot at rim
11:28.0,A. Baynes makes 2-pt shot from 17 ft,2,60-46,,
11:06.0,,,60-48,2,C. Frye makes 2-pt shot from 11 ft
10:52.0,Shooting foul by D. Jones (drawn by R. Bullock),,60-48,,
10:52.0,R. Bullock makes free throw 1 of 2,1,61-48,,
10:52.0,R. Bullock makes free throw 2 of 2,1,62-48,,
10:43.0,,,62-48,,Shooting foul by R. Bullock (drawn by J. McRae)
10:43.0,,,62-48,,J. McRae misses free throw 1 of 2
10:43.0,,,62-48,,Offensive rebound by Team
10:43.0,,,62-49,1,J. McRae makes free throw 2 of 2
10:26.0,Turnover by S. Blake (lost ball),,62-49,,
10:16.0,,,62-49,,D. Jones misses 3-pt shot from 25 ft
10:16.0,Defensive rebound by A. Baynes,,62-49,,
10:06.0,A. Tolliver misses 3-pt shot from 24 ft,,62-49,,
10:06.0,Offensive rebound by A. Baynes,,62-49,,
9:58.0,S. Johnson misses 3-pt shot from 25 ft,,62-49,,
9:57.0,,,62-49,,Defensive rebound by T. Mozgov
9:41.0,,,62-52,3,J. McRae makes 3-pt shot from 25 ft
9:11.0,R. Bullock makes 3-pt shot from 22 ft (assist by S. Blake),3,65-52,,
8:56.0,,,65-52,,Offensive foul by J. McRae
8:56.0,,,65-52,,Turnover by J. McRae (offensive foul)
8:44.0,A. Tolliver misses 3-pt shot from 27 ft,,65-52,,
8:43.0,,,65-52,,Defensive rebound by T. Mozgov
8:31.0,,,65-55,3,R. Jefferson makes 3-pt shot from 26 ft (assist by D. Jones)
8:19.0,S. Johnson misses 2-pt shot from 16 ft,,65-55,,
8:19.0,,,65-55,,Defensive rebound by C. Frye
8:00.0,,,65-57,2,C. Frye makes 2-pt shot from 16 ft (assist by R. Jefferson)
7:43.0,R. Bullock misses 2-pt shot from 14 ft,,65-57,,
7:43.0,,,65-57,,Defensive rebound by J. McRae
7:31.0,Violation by A. Tolliver (kicked ball),,65-57,,
7:21.0,,,65-60,3,C. Frye makes 3-pt shot from 24 ft (assist by J. McRae)
7:00.0,S. Johnson misses 2-pt shot from 1 ft,,65-60,,
6:58.0,,,65-60,,Defensive rebound by R. Jefferson
6:42.0,,,65-60,,C. Frye misses 2-pt shot from 10 ft
6:40.0,Defensive rebound by A. Tolliver,,65-60,,
6:24.0,R. Bullock makes 3-pt shot from 25 ft (assist by S. Blake),3,68-60,,
5:57.0,,,68-62,2,D. Jones makes 2-pt shot from 6 ft (assist by C. Frye)
5:47.0,A. Tolliver makes 3-pt shot from 26 ft (assist by S. Blake),3,71-62,,
5:47.0,,,71-62,,Cleveland full timeout
5:47.0,D. Hilliard enters the game for S. Johnson,,71-62,,
5:36.0,,,71-62,,Shooting foul by A. Baynes (drawn by R. Jefferson)
5:36.0,,,71-63,1,R. Jefferson makes free throw 1 of 2
5:36.0,,,71-64,1,R. Jefferson makes free throw 2 of 2
5:27.0,Offensive foul by A. Baynes,,71-64,,
5:27.0,Turnover by A. Baynes (offensive foul),,71-64,,
5:22.0,,,71-64,,Offensive foul by R. Jefferson
5:22.0,,,71-64,,Turnover by R. Jefferson (offensive foul)
5:08.0,A. Baynes makes 2-pt shot from 10 ft (assist by S. Blake),2,73-64,,
4:59.0,,,73-64,,Offensive charge foul by J. McRae
4:59.0,,,73-64,,Turnover by J. McRae (offensive foul)
4:37.0,S. Blake makes 3-pt shot from 25 ft (assist by R. Bullock),3,76-64,,
4:18.0,,,76-64,,R. Jefferson misses 2-pt shot from 4 ft
4:16.0,Defensive rebound by D. Hilliard,,76-64,,
4:10.0,D. Hilliard misses 2-pt shot from 2 ft,,76-64,,
4:08.0,,,76-64,,Defensive rebound by T. Mozgov
3:44.0,,,76-64,,C. Frye misses 3-pt shot from 24 ft
3:44.0,Defensive rebound by R. Bullock,,76-64,,
3:34.0,A. Baynes misses 2-pt shot from 11 ft,,76-64,,
3:34.0,Offensive rebound by A. Baynes,,76-64,,
3:25.0,A. Baynes makes 2-pt shot at rim (assist by R. Bullock),2,78-64,,
3:04.0,,,78-64,,Shooting foul by S. Blake (drawn by R. Jefferson)
3:04.0,,,78-65,1,R. Jefferson makes free throw 1 of 2
3:04.0,,,78-65,,J. Jones enters the game for C. Frye
3:04.0,,,78-66,1,R. Jefferson makes free throw 2 of 2
2:58.0,Shooting foul by D. Jones (drawn by D. Hilliard),,78-66,,
2:58.0,Detroit full timeout,,78-66,,
2:58.0,S. Johnson enters the game for A. Tolliver,,78-66,,
2:58.0,J. Meeks enters the game for R. Bullock,,78-66,,
2:58.0,,,78-66,,S. Kaun enters the game for T. Mozgov
2:58.0,D. Hilliard makes free throw 1 of 2,1,79-66,,
2:58.0,D. Hilliard makes free throw 2 of 2,1,80-66,,
2:39.0,,,80-68,2,J. McRae makes 2-pt shot from 2 ft (assist by J. Jones)
2:22.0,S. Johnson misses 2-pt shot from 15 ft,,80-68,,
2:22.0,,,80-68,,Defensive rebound by J. Jones
1:57.0,,,80-70,2,J. McRae makes 2-pt shot from 14 ft
1:42.0,A. Baynes misses 2-pt shot from 5 ft (block by S. Kaun),,80-70,,
1:40.0,,,80-70,,Defensive rebound by J. McRae
1:32.0,,,80-70,,Turnover by J. Jones (lost ball; steal by S. Blake)
1:18.0,J. Meeks misses 3-pt shot from 23 ft,,80-70,,
1:17.0,,,80-70,,Defensive rebound by S. Kaun
1:10.0,,,80-70,,D. Jones misses 2-pt shot at rim
1:08.0,Defensive rebound by S. Blake,,80-70,,
0:54.0,A. Baynes misses 2-pt shot from 4 ft,,80-70,,
0:53.0,Offensive rebound by A. Baynes,,80-70,,
0:53.0,Shooting foul by J. Jones (drawn by A. Baynes),,80-70,,
0:53.0,A. Baynes makes free throw 1 of 2,1,81-70,,
0:53.0,,,81-70,,C. Frye enters the game for R. Jefferson
0:53.0,A. Baynes makes free throw 2 of 2,1,82-70,,
0:33.0,,,82-72,2,J. McRae makes 2-pt shot from 1 ft
0:18.0,S. Johnson misses 2-pt shot at rim,,82-72,,
0:16.0,,,82-72,,Defensive rebound by C. Frye
0:03.0,,,82-72,,J. McRae misses 3-pt shot from 24 ft
0:01.0,Defensive rebound by D. Hilliard,,82-72,,
0:00.0,D. Hilliard misses 3-pt shot from 58 ft,,82-72,,
0:00.0,Offensive rebound by Team,,82-72,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:40.0,Turnover by D. Hilliard (bad pass),,82-72,,
11:34.0,Personal foul by D. Hilliard,,82-72,,
11:28.0,,,82-75,3,J. Jones makes 3-pt shot from 24 ft (assist by J. McRae)
11:07.0,J. Meeks misses 2-pt shot from 6 ft,,82-75,,
11:05.0,,,82-75,,Defensive rebound by D. Jones
11:02.0,,,82-75,,Turnover by J. Jones (lost ball; steal by S. Johnson)
10:57.0,J. Meeks misses 2-pt shot from 1 ft (block by D. Jones),,82-75,,
10:55.0,Offensive rebound by S. Johnson,,82-75,,
10:54.0,Shooting foul by J. McRae (drawn by S. Johnson),,82-75,,
10:54.0,S. Johnson makes free throw 1 of 2,1,83-75,,
10:54.0,R. Bullock enters the game for D. Hilliard,,83-75,,
10:54.0,S. Johnson makes free throw 2 of 2,1,84-75,,
10:36.0,,,84-77,2,J. Jones makes 2-pt shot from 9 ft (assist by C. Frye)
10:23.0,S. Johnson misses 2-pt shot from 16 ft,,84-77,,
10:23.0,,,84-77,,Defensive rebound by J. Jones
10:14.0,,,84-77,,S. Kaun misses 2-pt shot from 4 ft (block by J. Anthony)
10:14.0,,,84-77,,Offensive rebound by Team
10:06.0,,,84-77,,D. Jones misses 2-pt shot from 20 ft
10:06.0,Defensive rebound by R. Bullock,,84-77,,
9:57.0,Shooting foul by J. McRae (drawn by S. Dinwiddie),,84-77,,
9:57.0,S. Dinwiddie misses free throw 1 of 2,,84-77,,
9:57.0,Offensive rebound by Team,,84-77,,
9:57.0,S. Dinwiddie makes free throw 2 of 2,1,85-77,,
9:35.0,,,85-77,,Shooting foul by J. Anthony (drawn by J. McRae)
9:35.0,,,85-78,1,J. McRae makes free throw 1 of 2
9:35.0,,,85-79,1,J. McRae makes free throw 2 of 2
9:21.0,J. Meeks misses 2-pt shot from 7 ft,,85-79,,
9:21.0,,,85-79,,Defensive rebound by D. Jones
9:12.0,,,85-79,,J. McRae misses 2-pt shot from 13 ft
9:12.0,,,85-79,,Offensive rebound by S. Kaun
9:12.0,,,85-81,2,S. Kaun makes 2-pt shot at rim
9:12.0,Detroit full timeout,,85-81,,
8:54.0,Shooting foul by D. Jones (drawn by S. Dinwiddie),,85-81,,
8:54.0,S. Dinwiddie makes free throw 1 of 2,1,86-81,,
8:54.0,S. Dinwiddie makes free throw 2 of 2,1,87-81,,
8:38.0,,,87-81,,J. Jones misses 3-pt shot from 25 ft
8:37.0,Defensive rebound by J. Meeks,,87-81,,
8:33.0,R. Bullock makes 2-pt shot at rim (assist by J. Meeks),2,89-81,,
8:11.0,,,89-81,,J. McRae misses 2-pt shot from 1 ft (block by J. Anthony)
8:11.0,,,89-81,,Offensive rebound by Team
8:08.0,Personal foul by S. Johnson,,89-81,,
7:52.0,,,89-83,2,D. Jones makes 2-pt shot from 22 ft
7:34.0,S. Dinwiddie misses 2-pt shot from 1 ft (block by S. Kaun),,89-83,,
7:34.0,Offensive rebound by Team,,89-83,,
7:31.0,S. Dinwiddie makes 2-pt shot from 1 ft (assist by R. Bullock),2,91-83,,
7:22.0,,,91-83,,J. McRae misses 2-pt shot from 11 ft
7:20.0,Defensive rebound by S. Dinwiddie,,91-83,,
7:13.0,J. Meeks makes 2-pt shot from 10 ft (assist by S. Johnson),2,93-83,,
7:13.0,,,93-83,,Cleveland full timeout
7:13.0,,,93-83,,T. Mozgov enters the game for C. Frye
7:13.0,,,93-83,,R. Jefferson enters the game for J. McRae
6:57.0,,,93-83,,T. Mozgov misses 2-pt shot from 17 ft
6:57.0,Defensive rebound by J. Meeks,,93-83,,
6:38.0,J. Meeks misses 3-pt shot from 24 ft,,93-83,,
6:37.0,,,93-83,,Defensive rebound by D. Jones
6:19.0,,,93-83,,S. Kaun misses 2-pt shot from 9 ft
6:17.0,,,93-83,,Offensive rebound by T. Mozgov
6:17.0,,,93-85,2,T. Mozgov makes 2-pt shot at rim
6:03.0,S. Johnson misses 3-pt shot from 24 ft,,93-85,,
6:03.0,,,93-85,,Defensive rebound by J. Jones
5:54.0,,,93-85,,Offensive foul by J. Jones
5:54.0,,,93-85,,Turnover by J. Jones (offensive foul)
5:54.0,A. Tolliver enters the game for S. Johnson,,93-85,,
5:43.0,S. Dinwiddie misses 2-pt shot from 16 ft,,93-85,,
5:42.0,Offensive rebound by J. Anthony,,93-85,,
5:37.0,J. Anthony makes 2-pt shot from 10 ft,2,95-85,,
5:16.0,,,95-88,3,D. Jones makes 3-pt shot from 24 ft (assist by T. Mozgov)
4:53.0,Shooting foul by T. Mozgov (drawn by S. Dinwiddie),,95-88,,
4:53.0,S. Dinwiddie makes free throw 1 of 2,1,96-88,,
4:53.0,,,96-88,,J. McRae enters the game for R. Jefferson
4:53.0,S. Dinwiddie misses free throw 2 of 2,,96-88,,
4:50.0,,,96-88,,Defensive rebound by T. Mozgov
4:31.0,,,96-88,,J. McRae misses 2-pt shot from 13 ft
4:30.0,,,96-88,,Offensive rebound by Team
4:14.0,,,96-90,2,D. Jones makes 2-pt shot from 5 ft
3:57.0,J. Meeks makes 3-pt shot from 24 ft,3,99-90,,
3:38.0,,,99-90,,T. Mozgov misses 2-pt shot from 1 ft (block by J. Anthony)
3:36.0,Defensive rebound by A. Tolliver,,99-90,,
3:29.0,J. Meeks misses 2-pt shot from 3 ft,,99-90,,
3:28.0,,,99-90,,Defensive rebound by T. Mozgov
3:21.0,,,99-90,,D. Jones misses 2-pt shot from 13 ft
3:20.0,,,99-90,,Offensive rebound by S. Kaun
3:20.0,,,99-90,,S. Kaun misses 2-pt shot from 2 ft
3:20.0,,,99-90,,Offensive rebound by Team
3:20.0,S. Johnson enters the game for J. Meeks,,99-90,,
3:10.0,,,99-92,2,J. Jones makes 2-pt shot from 14 ft
2:52.0,A. Tolliver misses 3-pt shot from 24 ft,,99-92,,
2:51.0,,,99-92,,Defensive rebound by S. Kaun
2:37.0,,,99-92,,T. Mozgov misses 2-pt shot from 7 ft
2:36.0,Defensive rebound by J. Anthony,,99-92,,
2:21.0,A. Tolliver misses 2-pt shot from 19 ft,,99-92,,
2:20.0,,,99-92,,Defensive rebound by S. Kaun
2:10.0,,,99-94,2,J. McRae makes 2-pt shot from 1 ft
1:49.0,S. Dinwiddie makes 2-pt shot from 1 ft,2,101-94,,
1:44.0,,,101-96,2,T. Mozgov makes 2-pt shot from 1 ft (assist by J. McRae)
1:23.0,S. Johnson misses 2-pt shot from 14 ft,,101-96,,
1:21.0,,,101-96,,Defensive rebound by T. Mozgov
1:13.0,,,101-98,2,J. McRae makes 2-pt shot from 13 ft
0:51.0,S. Dinwiddie misses 3-pt shot from 25 ft,,101-98,,
0:50.0,,,101-98,,Defensive rebound by T. Mozgov
0:41.0,,,101-100,2,J. McRae makes 2-pt shot from 7 ft
0:41.0,Detroit full timeout,,101-100,,
0:41.0,J. Meeks enters the game for S. Johnson,,101-100,,
0:36.0,Shooting foul by T. Mozgov (drawn by S. Dinwiddie),,101-100,,
0:36.0,S. Dinwiddie makes free throw 1 of 2,1,102-100,,
0:36.0,S. Johnson enters the game for J. Meeks,,102-100,,
0:36.0,S. Dinwiddie misses free throw 2 of 2,,102-100,,
0:35.0,,,102-100,,Defensive rebound by T. Mozgov
0:35.0,,,102-100,,Cleveland full timeout
0:35.0,,,102-100,,C. Frye enters the game for S. Kaun
0:30.0,,,102-100,,J. McRae misses 2-pt shot from 7 ft (block by S. Johnson)
0:29.0,Defensive rebound by R. Bullock,,102-100,,
0:26.0,,,102-100,,Personal foul by J. McRae
0:26.0,S. Dinwiddie makes free throw 1 of 2,1,103-100,,
0:26.0,S. Dinwiddie misses free throw 2 of 2,,103-100,,
0:25.0,,,103-100,,Defensive rebound by T. Mozgov
0:15.0,,,103-103,3,J. McRae makes 3-pt shot from 25 ft
0:00.0,S. Dinwiddie misses 2-pt shot from 12 ft,,103-103,,
0:00.0,Offensive rebound by Team,,103-103,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
5:00.0,Start of 1st overtime,,,,Start of 1st overtime
