time,Atlanta,pts.away,score,pts.home,Philadelphia
8:40.0,Shooting foul by J. Okafor (drawn by P. Millsap),,7-2,,
8:40.0,P. Millsap makes free throw 1 of 2,1,8-2,,
8:40.0,P. Millsap misses free throw 2 of 2,,8-2,,
8:38.0,,,8-2,,Defensive rebound by J. Okafor
8:22.0,,,8-4,2,J. Okafor makes 2-pt shot from 1 ft (assist by N. Stauskas)
8:10.0,Turnover by P. Millsap (lost ball; steal by N. Noel),,8-4,,
7:45.0,,,8-7,3,N. Stauskas makes 3-pt shot from 35 ft (assist by I. Smith)
7:17.0,K. Bazemore misses 3-pt shot from 25 ft,,8-7,,
7:16.0,,,8-7,,Defensive rebound by N. Stauskas
7:06.0,,,8-7,,Turnover by J. Okafor (lost ball)
6:53.0,J. Teague misses 3-pt shot from 27 ft,,8-7,,
6:51.0,,,8-7,,Defensive rebound by N. Noel
6:39.0,,,8-7,,N. Stauskas misses 2-pt shot from 6 ft
6:37.0,Defensive rebound by P. Millsap,,8-7,,
6:29.0,P. Millsap misses 2-pt shot from 4 ft,,8-7,,
6:27.0,Offensive rebound by A. Horford,,8-7,,
6:21.0,P. Millsap makes 2-pt shot from 1 ft (assist by K. Bazemore),2,10-7,,
6:09.0,,,10-7,,R. Covington misses 3-pt shot from 25 ft
6:07.0,Defensive rebound by A. Horford,,10-7,,
5:59.0,A. Horford makes 2-pt shot from 1 ft (assist by J. Teague),2,12-7,,
5:59.0,,,12-7,,Philadelphia full timeout
5:59.0,,,12-7,,J. Grant enters the game for N. Noel
5:59.0,M. Muscala enters the game for A. Horford,,12-7,,
5:59.0,T. Sefolosha enters the game for K. Bazemore,,12-7,,
5:38.0,,,12-7,,J. Okafor misses 2-pt shot from 6 ft
5:36.0,,,12-7,,Offensive rebound by J. Okafor
5:35.0,,,12-7,,Turnover by J. Okafor (lost ball)
5:22.0,Shooting foul by J. Grant (drawn by T. Sefolosha),,12-7,,
5:22.0,T. Sefolosha makes free throw 1 of 2,1,13-7,,
5:22.0,T. Sefolosha misses free throw 2 of 2,,13-7,,
5:21.0,,,13-7,,Defensive rebound by J. Grant
5:03.0,,,13-9,2,R. Covington makes 2-pt shot from 3 ft (assist by I. Smith)
4:47.0,J. Teague makes 3-pt shot from 24 ft (assist by T. Sefolosha),3,16-9,,
4:41.0,,,16-9,,Turnover by J. Okafor (bad pass; steal by J. Teague)
4:20.0,J. Teague misses 2-pt shot from 5 ft,,16-9,,
4:16.0,,,16-9,,Defensive rebound by R. Covington
4:11.0,,,16-9,,Shooting foul by K. Korver (drawn by N. Stauskas)
4:11.0,,,16-10,1,N. Stauskas makes free throw 1 of 2
4:11.0,D. Schroder enters the game for K. Korver,,16-10,,
4:11.0,T. Hardaway enters the game for J. Teague,,16-10,,
4:11.0,,,16-10,,I. Canaan enters the game for R. Covington
4:11.0,,,16-10,,N. Noel enters the game for J. Okafor
4:11.0,,,16-11,1,N. Stauskas makes free throw 2 of 2
4:04.0,,,16-11,,Personal foul by J. Grant (drawn by P. Millsap)
4:04.0,,,16-11,,H. Thompson enters the game for N. Stauskas
3:58.0,M. Muscala makes 2-pt shot from 4 ft (assist by T. Hardaway),2,18-11,,
3:51.0,Personal foul by D. Schroder (drawn by I. Smith),,18-11,,
3:41.0,,,18-11,,Turnover by J. Grant (bad pass; steal by T. Sefolosha)
3:37.0,Turnover by T. Sefolosha (lost ball),,18-11,,
3:24.0,,,18-11,,I. Canaan misses 2-pt shot from 2 ft
3:20.0,,,18-11,,Offensive rebound by N. Noel
3:20.0,,,18-13,2,N. Noel makes 2-pt shot at rim
3:09.0,D. Schroder misses 2-pt shot from 18 ft,,18-13,,
3:07.0,,,18-13,,Defensive rebound by J. Grant
2:58.0,,,18-13,,Turnover by J. Grant (lost ball; steal by D. Schroder)
2:54.0,T. Sefolosha misses 2-pt shot from 2 ft,,18-13,,
2:51.0,Offensive rebound by T. Hardaway,,18-13,,
2:51.0,T. Hardaway makes 2-pt shot from 2 ft,2,20-13,,
2:42.0,,,20-13,,I. Smith misses 2-pt shot from 15 ft
2:40.0,Defensive rebound by D. Schroder,,20-13,,
2:38.0,D. Schroder makes 2-pt shot from 4 ft,2,22-13,,
2:38.0,Shooting foul by I. Canaan (drawn by D. Schroder),,22-13,,
2:38.0,Atlanta full timeout,,22-13,,
2:38.0,,,22-13,,T. McConnell enters the game for I. Smith
2:38.0,M. Scott enters the game for P. Millsap,,22-13,,
2:38.0,D. Schroder makes free throw 1 of 1,1,23-13,,
2:26.0,,,23-15,2,I. Canaan makes 2-pt shot from 9 ft
2:15.0,D. Schroder makes 2-pt shot from 9 ft,2,25-15,,
2:01.0,,,25-15,,H. Thompson misses 3-pt shot from 26 ft
2:00.0,Defensive rebound by D. Schroder,,25-15,,
1:41.0,Turnover by T. Sefolosha (lost ball),,25-15,,
1:16.0,,,25-15,,H. Thompson misses 3-pt shot from 25 ft
1:16.0,,,25-15,,Offensive rebound by Team
1:16.0,,,25-15,,Turnover by Team (shot clock)
1:00.0,M. Muscala makes 2-pt shot from 18 ft (assist by D. Schroder),2,27-15,,
0:44.0,,,27-15,,J. Grant misses 3-pt shot from 23 ft
0:42.0,Defensive rebound by T. Hardaway,,27-15,,
0:33.0,,,27-15,,Personal foul by I. Canaan (drawn by M. Muscala)
0:33.0,M. Muscala misses free throw 1 of 2,,27-15,,
0:33.0,Offensive rebound by Team,,27-15,,
0:33.0,M. Muscala misses free throw 2 of 2,,27-15,,
0:33.0,,,27-15,,Defensive rebound by N. Noel
0:19.0,,,27-15,,H. Thompson misses 2-pt shot from 4 ft
0:19.0,,,27-15,,Offensive rebound by N. Noel
0:19.0,,,27-17,2,N. Noel makes 2-pt shot at rim
0:02.0,Turnover by M. Scott (bad pass; steal by J. Grant),,27-17,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:44.0,Turnover by K. Korver (bad pass),,27-17,,
11:27.0,,,27-20,3,I. Canaan makes 3-pt shot from 25 ft (assist by T. McConnell)
11:06.0,D. Schroder misses 2-pt shot from 3 ft (block by J. Grant),,27-20,,
11:03.0,Offensive rebound by M. Scott,,27-20,,
11:02.0,M. Scott misses 2-pt shot from 4 ft (block by J. Grant),,27-20,,
10:59.0,,,27-20,,Defensive rebound by I. Canaan
10:57.0,,,27-20,,H. Thompson misses 3-pt shot from 24 ft
10:55.0,Defensive rebound by M. Scott,,27-20,,
10:49.0,K. Korver misses 3-pt shot from 25 ft,,27-20,,
10:44.0,,,27-20,,Defensive rebound by J. Grant
10:41.0,,,27-20,,I. Canaan misses 3-pt shot from 25 ft
10:40.0,Defensive rebound by T. Hardaway,,27-20,,
10:36.0,Turnover by K. Korver (step out of bounds),,27-20,,
10:36.0,,,27-20,,J. Okafor enters the game for N. Noel
10:36.0,K. Bazemore enters the game for T. Hardaway,,27-20,,
10:18.0,,,27-20,,J. Grant misses 3-pt shot from 24 ft
10:17.0,Defensive rebound by A. Horford,,27-20,,
10:08.0,M. Scott misses 2-pt shot from 10 ft,,27-20,,
10:07.0,,,27-20,,Defensive rebound by H. Thompson
9:50.0,,,27-22,2,T. McConnell makes 2-pt shot from 12 ft (assist by J. Grant)
9:34.0,M. Scott misses 2-pt shot from 7 ft,,27-22,,
9:33.0,Offensive rebound by M. Scott,,27-22,,
9:33.0,,,27-22,,Loose ball foul by H. Thompson (drawn by M. Scott)
9:24.0,Shooting foul by T. McConnell (drawn by K. Bazemore),,27-22,,
9:24.0,K. Bazemore makes free throw 1 of 2,1,28-22,,
9:24.0,K. Bazemore makes free throw 2 of 2,1,29-22,,
9:13.0,,,29-25,3,H. Thompson makes 3-pt shot from 25 ft (assist by J. Okafor)
8:58.0,K. Bazemore makes 2-pt shot from 2 ft (assist by A. Horford),2,31-25,,
8:40.0,,,31-25,,I. Canaan misses 3-pt shot from 23 ft
8:39.0,Defensive rebound by M. Scott,,31-25,,
8:27.0,M. Scott makes 2-pt shot from 5 ft (assist by D. Schroder),2,33-25,,
8:27.0,,,33-25,,Philadelphia full timeout
8:27.0,T. Sefolosha enters the game for K. Korver,,33-25,,
8:27.0,,,33-25,,R. Covington enters the game for J. Grant
8:17.0,,,33-25,,Turnover by T. McConnell (lost ball)
8:02.0,D. Schroder misses 2-pt shot from 2 ft,,33-25,,
8:00.0,Offensive rebound by M. Scott,,33-25,,
8:00.0,M. Scott misses 2-pt shot from 1 ft,,33-25,,
7:59.0,,,33-25,,Defensive rebound by I. Canaan
7:51.0,,,33-25,,T. McConnell misses 2-pt shot from 1 ft
7:49.0,Defensive rebound by K. Bazemore,,33-25,,
7:35.0,D. Schroder misses 2-pt shot from 18 ft,,33-25,,
7:34.0,Offensive rebound by T. Sefolosha,,33-25,,
7:25.0,T. Sefolosha makes 3-pt shot from 25 ft (assist by A. Horford),3,36-25,,
7:24.0,,,36-25,,Philadelphia full timeout
7:24.0,J. Teague enters the game for D. Schroder,,36-25,,
7:09.0,,,36-25,,Turnover by R. Covington (bad pass)
7:09.0,,,36-25,,N. Stauskas enters the game for I. Canaan
6:51.0,M. Scott makes 2-pt shot from 1 ft (assist by J. Teague),2,38-25,,
6:38.0,,,38-25,,J. Okafor misses 2-pt shot from 2 ft
6:36.0,,,38-25,,Offensive rebound by R. Covington
6:33.0,,,38-27,2,R. Covington makes 2-pt shot from 1 ft
6:20.0,Turnover by K. Bazemore (bad pass; steal by J. Okafor),,38-27,,
6:07.0,,,38-27,,Turnover by R. Covington (lost ball)
6:07.0,,,38-27,,I. Smith enters the game for T. McConnell
6:07.0,P. Millsap enters the game for M. Scott,,38-27,,
5:51.0,Shooting foul by J. Okafor (drawn by P. Millsap),,38-27,,
5:51.0,Official timeout,,38-27,,
5:51.0,,,38-27,,N. Noel enters the game for J. Okafor
5:51.0,,,38-27,,C. Landry enters the game for H. Thompson
5:51.0,M. Muscala enters the game for A. Horford,,38-27,,
5:51.0,P. Millsap makes free throw 1 of 2,1,39-27,,
5:51.0,P. Millsap makes free throw 2 of 2,1,40-27,,
5:42.0,,,40-27,,Turnover by N. Noel (bad pass; steal by J. Teague)
5:34.0,Shooting foul by N. Noel (drawn by M. Muscala),,40-27,,
5:34.0,M. Muscala misses free throw 1 of 2,,40-27,,
5:34.0,Offensive rebound by Team,,40-27,,
5:34.0,M. Muscala makes free throw 2 of 2,1,41-27,,
5:18.0,,,41-27,,R. Covington misses 3-pt shot from 24 ft
5:18.0,Defensive rebound by K. Bazemore,,41-27,,
5:18.0,,,41-27,,Loose ball foul by N. Noel (drawn by M. Muscala)
5:18.0,T. Hardaway enters the game for K. Bazemore,,41-27,,
5:18.0,M. Muscala makes free throw 1 of 2,1,42-27,,
5:18.0,M. Muscala makes free throw 2 of 2,1,43-27,,
5:06.0,,,43-27,,R. Covington misses 2-pt shot from 2 ft
5:05.0,Defensive rebound by M. Muscala,,43-27,,
4:59.0,M. Muscala makes 2-pt shot at rim (assist by T. Sefolosha),2,45-27,,
4:59.0,Shooting foul by N. Noel (drawn by M. Muscala),,45-27,,
4:59.0,M. Muscala makes free throw 1 of 1,1,46-27,,
4:47.0,,,46-29,2,C. Landry makes 2-pt shot from 20 ft (assist by I. Smith)
4:35.0,J. Teague makes 2-pt shot at rim,2,48-29,,
4:26.0,,,48-31,2,N. Noel makes 2-pt shot at rim
4:26.0,,,48-31,,Shooting foul by M. Muscala (drawn by N. Noel)
4:26.0,,,48-31,,N. Noel misses free throw 1 of 1
4:24.0,Defensive rebound by T. Sefolosha,,48-31,,
4:03.0,J. Teague misses 2-pt shot from 1 ft (block by C. Landry),,48-31,,
4:01.0,,,48-31,,Defensive rebound by I. Smith
3:48.0,,,48-34,3,N. Stauskas makes 3-pt shot from 23 ft (assist by N. Noel)
3:45.0,Atlanta full timeout,,48-34,,
3:32.0,P. Millsap misses 2-pt shot from 7 ft,,48-34,,
3:30.0,,,48-34,,Defensive rebound by R. Covington
3:24.0,,,48-36,2,N. Noel makes 2-pt shot at rim (assist by I. Smith)
3:08.0,T. Hardaway misses 2-pt shot from 5 ft (block by C. Landry),,48-36,,
3:05.0,Offensive rebound by T. Hardaway,,48-36,,
3:05.0,T. Hardaway makes 2-pt shot at rim,2,50-36,,
2:53.0,,,50-38,2,C. Landry makes 2-pt shot at rim (assist by I. Smith)
2:32.0,J. Teague misses 2-pt shot from 2 ft (block by R. Covington),,50-38,,
2:32.0,Offensive rebound by Team,,50-38,,
2:32.0,A. Horford enters the game for M. Muscala,,50-38,,
2:26.0,P. Millsap misses 2-pt shot from 19 ft,,50-38,,
2:25.0,,,50-38,,Defensive rebound by R. Covington
2:15.0,,,50-38,,Turnover by R. Covington (bad pass; steal by T. Hardaway)
2:12.0,,,50-38,,Personal foul by N. Stauskas (drawn by T. Hardaway)
2:12.0,T. Hardaway makes free throw 1 of 2,1,51-38,,
2:12.0,,,51-38,,J. Grant enters the game for N. Noel
2:12.0,K. Bazemore enters the game for T. Sefolosha,,51-38,,
2:12.0,T. Hardaway makes free throw 2 of 2,1,52-38,,
2:05.0,,,52-38,,Turnover by N. Stauskas (back court)
1:57.0,Turnover by J. Teague (bad pass; steal by R. Covington),,52-38,,
1:53.0,,,52-40,2,R. Covington makes 2-pt shot from 1 ft
1:38.0,P. Millsap misses 2-pt shot from 7 ft,,52-40,,
1:37.0,,,52-40,,Defensive rebound by R. Covington
1:29.0,,,52-40,,I. Smith misses 2-pt shot from 1 ft
1:27.0,Defensive rebound by A. Horford,,52-40,,
1:22.0,T. Hardaway misses 3-pt shot from 23 ft,,52-40,,
1:21.0,,,52-40,,Defensive rebound by R. Covington
1:21.0,Personal foul by A. Horford (drawn by R. Covington),,52-40,,
1:21.0,,,52-40,,I. Canaan enters the game for R. Covington
1:08.0,,,52-40,,I. Smith misses 3-pt shot from 24 ft
1:07.0,Defensive rebound by A. Horford,,52-40,,
0:58.0,P. Millsap makes 3-pt shot from 24 ft (assist by K. Bazemore),3,55-40,,
0:50.0,,,55-42,2,C. Landry makes 2-pt shot from 18 ft (assist by I. Smith)
0:31.0,K. Bazemore makes 3-pt shot from 25 ft (assist by T. Hardaway),3,58-42,,
0:08.0,,,58-42,,C. Landry misses 3-pt shot from 24 ft
0:06.0,Defensive rebound by P. Millsap,,58-42,,
0:01.0,T. Hardaway misses 3-pt shot from 25 ft,,58-42,,
0:00.0,,,58-42,,Defensive rebound by C. Landry
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:44.0,Shooting foul by N. Noel (drawn by A. Horford),,58-42,,
11:44.0,A. Horford makes free throw 1 of 2,1,59-42,,
11:44.0,A. Horford misses free throw 2 of 2,,59-42,,
11:43.0,,,59-42,,Defensive rebound by N. Noel
11:34.0,,,59-44,2,N. Stauskas makes 2-pt shot at rim (assist by N. Noel)
11:20.0,P. Millsap makes 2-pt shot from 1 ft (assist by K. Korver),2,61-44,,
11:03.0,,,61-44,,J. Okafor misses 2-pt shot from 2 ft (block by A. Horford)
11:01.0,Defensive rebound by K. Bazemore,,61-44,,
10:55.0,,,61-44,,Violation by J. Okafor (kicked ball)
10:36.0,Turnover by K. Bazemore (bad pass; steal by N. Noel),,61-44,,
10:30.0,,,61-46,2,I. Smith makes 2-pt shot from 2 ft (assist by N. Noel)
10:14.0,J. Teague makes 2-pt shot from 2 ft,2,63-46,,
9:51.0,,,63-46,,I. Smith misses 2-pt shot from 4 ft (block by P. Millsap)
9:49.0,Defensive rebound by J. Teague,,63-46,,
9:40.0,J. Teague makes 3-pt shot from 25 ft,3,66-46,,
9:39.0,,,66-46,,Philadelphia full timeout
9:24.0,,,66-48,2,J. Okafor makes 2-pt shot from 1 ft (assist by N. Noel)
9:12.0,Turnover by K. Korver (bad pass; steal by I. Smith),,66-48,,
9:07.0,,,66-48,,R. Covington misses 3-pt shot from 26 ft
9:03.0,Defensive rebound by J. Teague,,66-48,,
8:51.0,J. Teague misses 2-pt shot from 3 ft,,66-48,,
8:50.0,,,66-48,,Defensive rebound by J. Okafor
8:48.0,,,66-48,,Turnover by R. Covington (bad pass; steal by K. Bazemore)
8:45.0,K. Bazemore makes 2-pt shot at rim,2,68-48,,
8:26.0,,,68-50,2,I. Smith makes 2-pt shot from 20 ft (assist by N. Noel)
8:01.0,A. Horford misses 2-pt shot from 2 ft (block by N. Noel),,68-50,,
8:01.0,Offensive rebound by Team,,68-50,,
8:01.0,,,68-50,,H. Thompson enters the game for R. Covington
7:58.0,P. Millsap misses 2-pt shot from 15 ft,,68-50,,
7:58.0,Offensive rebound by Team,,68-50,,
7:58.0,Turnover by Team (shot clock),,68-50,,
7:47.0,,,68-50,,Turnover by I. Smith (lost ball; steal by J. Teague)
7:37.0,K. Bazemore misses 2-pt shot from 19 ft,,68-50,,
7:35.0,,,68-50,,Defensive rebound by N. Noel
7:24.0,,,68-52,2,N. Noel makes 2-pt shot from 9 ft (assist by N. Stauskas)
7:13.0,P. Millsap misses 3-pt shot from 24 ft,,68-52,,
7:11.0,,,68-52,,Defensive rebound by I. Smith
7:05.0,,,68-52,,Shooting foul by K. Korver (drawn by N. Stauskas)
7:05.0,,,68-53,1,N. Stauskas makes free throw 1 of 3
7:05.0,,,68-54,1,N. Stauskas makes free throw 2 of 3
7:05.0,,,68-54,,J. Grant enters the game for N. Noel
7:05.0,M. Muscala enters the game for A. Horford,,68-54,,
7:05.0,,,68-55,1,N. Stauskas makes free throw 3 of 3
6:49.0,P. Millsap misses 2-pt shot from 1 ft,,68-55,,
6:47.0,,,68-55,,Defensive rebound by I. Smith
6:43.0,,,68-55,,I. Smith misses 2-pt shot from 1 ft (block by K. Bazemore)
6:40.0,,,68-55,,Offensive rebound by J. Okafor
6:37.0,,,68-57,2,J. Okafor makes 2-pt shot from 1 ft
6:36.0,Atlanta full timeout,,68-57,,
6:36.0,T. Sefolosha enters the game for K. Bazemore,,68-57,,
6:17.0,M. Muscala makes 2-pt shot at rim (assist by P. Millsap),2,70-57,,
6:04.0,,,70-59,2,H. Thompson makes 2-pt shot at rim (assist by J. Okafor)
5:56.0,P. Millsap misses 2-pt shot at rim (block by J. Grant),,70-59,,
5:56.0,Offensive rebound by Team,,70-59,,
5:42.0,K. Korver makes 3-pt shot from 24 ft (assist by M. Muscala),3,73-59,,
5:20.0,,,73-59,,I. Smith misses 3-pt shot from 25 ft
5:20.0,Defensive rebound by Team,,73-59,,
5:20.0,,,73-59,,I. Canaan enters the game for N. Stauskas
4:56.0,J. Teague misses 2-pt shot from 9 ft,,73-59,,
4:54.0,,,73-59,,Defensive rebound by H. Thompson
4:46.0,,,73-59,,J. Okafor misses 2-pt shot from 3 ft
4:45.0,Defensive rebound by T. Sefolosha,,73-59,,
4:34.0,T. Sefolosha makes 2-pt shot from 1 ft (assist by J. Teague),2,75-59,,
4:10.0,,,75-59,,Shooting foul by T. Sefolosha (drawn by I. Smith)
4:10.0,,,75-59,,C. Landry enters the game for J. Okafor
4:10.0,D. Schroder enters the game for J. Teague,,75-59,,
4:10.0,,,75-60,1,I. Smith makes free throw 1 of 2
4:10.0,,,75-60,,I. Smith misses free throw 2 of 2
4:09.0,Defensive rebound by T. Sefolosha,,75-60,,
3:54.0,Turnover by P. Millsap (lost ball),,75-60,,
3:54.0,T. Hardaway enters the game for K. Korver,,75-60,,
3:54.0,,,75-60,,T. McConnell enters the game for I. Smith
3:41.0,,,75-60,,Turnover by H. Thompson (bad pass; steal by P. Millsap)
3:38.0,T. Hardaway makes 2-pt shot at rim (assist by P. Millsap),2,77-60,,
3:22.0,,,77-60,,C. Landry misses 2-pt shot from 4 ft (block by P. Millsap)
3:19.0,Defensive rebound by D. Schroder,,77-60,,
3:09.0,T. Sefolosha makes 2-pt shot from 13 ft,2,79-60,,
3:09.0,,,79-60,,Philadelphia full timeout
2:50.0,Violation by M. Muscala (kicked ball),,79-60,,
2:38.0,,,79-60,,I. Canaan misses 2-pt shot from 17 ft (block by T. Sefolosha)
2:38.0,,,79-60,,Offensive rebound by Team
2:35.0,,,79-60,,C. Landry misses 2-pt shot from 19 ft
2:34.0,Defensive rebound by D. Schroder,,79-60,,
2:31.0,Turnover by D. Schroder (bad pass),,79-60,,
2:21.0,,,79-60,,Turnover by T. McConnell (bad pass; steal by T. Sefolosha)
2:17.0,T. Sefolosha makes 2-pt shot at rim,2,81-60,,
2:01.0,,,81-60,,Shooting foul by T. Hardaway (drawn by H. Thompson)
2:01.0,,,81-61,1,H. Thompson makes free throw 1 of 2
2:01.0,M. Scott enters the game for P. Millsap,,81-61,,
2:01.0,,,81-62,1,H. Thompson makes free throw 2 of 2
1:59.0,Turnover by M. Muscala (bad pass; steal by T. McConnell),,81-62,,
1:57.0,,,81-62,,H. Thompson misses 2-pt shot from 2 ft
1:55.0,Defensive rebound by T. Sefolosha,,81-62,,
1:47.0,D. Schroder misses 2-pt shot from 5 ft (block by J. Grant),,81-62,,
1:45.0,,,81-62,,Defensive rebound by T. McConnell
1:42.0,Personal foul by M. Scott (drawn by J. Grant),,81-62,,
1:36.0,,,81-62,,T. McConnell misses 2-pt shot from 8 ft
1:34.0,Defensive rebound by T. Hardaway,,81-62,,
1:21.0,M. Scott makes 2-pt shot from 4 ft (assist by T. Hardaway),2,83-62,,
1:02.0,,,83-62,,T. McConnell misses 3-pt shot from 25 ft
1:00.0,Defensive rebound by T. Hardaway,,83-62,,
0:55.0,Shooting foul by J. Grant (drawn by D. Schroder),,83-62,,
0:55.0,D. Schroder makes free throw 1 of 2,1,84-62,,
0:55.0,A. Horford enters the game for M. Muscala,,84-62,,
0:55.0,D. Schroder makes free throw 2 of 2,1,85-62,,
0:43.0,,,85-62,,I. Canaan misses 2-pt shot from 14 ft
0:38.0,Defensive rebound by D. Schroder,,85-62,,
0:34.0,D. Schroder misses 2-pt shot from 1 ft,,85-62,,
0:33.0,Offensive rebound by A. Horford,,85-62,,
0:33.0,A. Horford makes 2-pt shot at rim,2,87-62,,
0:09.0,,,87-62,,Turnover by H. Thompson (step out of bounds)
0:02.0,Shooting foul by T. McConnell (drawn by D. Schroder),,87-62,,
0:02.0,D. Schroder makes free throw 1 of 2,1,88-62,,
0:02.0,D. Schroder misses free throw 2 of 2,,88-62,,
0:01.0,Offensive rebound by T. Sefolosha,,88-62,,
0:01.0,T. Sefolosha misses 2-pt shot from 3 ft,,88-62,,
0:00.0,,,88-62,,Defensive rebound by J. Grant
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:38.0,,,88-62,,I. Canaan misses 3-pt shot from 26 ft
11:36.0,,,88-62,,Offensive rebound by Team
11:34.0,,,88-65,3,I. Canaan makes 3-pt shot from 23 ft (assist by T. McConnell)
11:11.0,T. Sefolosha makes 2-pt shot from 4 ft (assist by A. Horford),2,90-65,,
10:53.0,,,90-68,3,I. Canaan makes 3-pt shot from 24 ft (assist by T. McConnell)
10:34.0,M. Scott makes 3-pt shot from 24 ft (assist by A. Horford),3,93-68,,
10:18.0,,,93-68,,Turnover by H. Thompson (bad pass; steal by M. Scott)
10:14.0,M. Scott makes 2-pt shot at rim (assist by T. Hardaway),2,95-68,,
10:14.0,,,95-68,,Philadelphia full timeout
10:14.0,,,95-68,,I. Smith enters the game for N. Noel
10:14.0,,,95-68,,R. Covington enters the game for H. Thompson
10:14.0,M. Muscala enters the game for T. Sefolosha,,95-68,,
10:14.0,L. Patterson enters the game for A. Horford,,95-68,,
10:02.0,,,95-68,,T. McConnell misses 2-pt shot from 14 ft
10:00.0,Defensive rebound by M. Muscala,,95-68,,
9:47.0,L. Patterson makes 2-pt shot from 7 ft,2,97-68,,
9:36.0,,,97-70,2,J. Okafor makes 2-pt shot from 1 ft (assist by I. Canaan)
9:23.0,D. Schroder makes 2-pt shot from 1 ft,2,99-70,,
9:00.0,,,99-70,,Turnover by I. Smith (bad pass; steal by L. Patterson)
8:45.0,L. Patterson misses 2-pt shot from 3 ft (block by J. Okafor),,99-70,,
8:45.0,Offensive rebound by Team,,99-70,,
8:45.0,S. Mack enters the game for T. Hardaway,,99-70,,
8:42.0,D. Schroder makes 2-pt shot from 15 ft (assist by S. Mack),2,101-70,,
8:32.0,,,101-72,2,J. Okafor makes 2-pt shot at rim (assist by I. Smith)
8:16.0,M. Muscala misses 2-pt shot from 16 ft,,101-72,,
8:14.0,Offensive rebound by M. Scott,,101-72,,
8:06.0,Turnover by D. Schroder (lost ball),,101-72,,
8:06.0,E. Tavares enters the game for M. Scott,,101-72,,
7:58.0,,,101-72,,Turnover by I. Canaan (bad pass; steal by M. Muscala)
7:54.0,E. Tavares makes 2-pt shot at rim (assist by L. Patterson),2,103-72,,
7:45.0,,,103-72,,Philadelphia full timeout
7:45.0,T. Hardaway enters the game for D. Schroder,,103-72,,
7:45.0,,,103-72,,K. Marshall enters the game for R. Covington
7:45.0,,,103-72,,N. Stauskas enters the game for J. Okafor
7:45.0,,,103-72,,J. Sampson enters the game for I. Smith
7:45.0,,,103-72,,R. Holmes enters the game for I. Canaan
7:45.0,,,103-72,,J. Grant enters the game for T. McConnell
7:33.0,,,103-74,2,J. Sampson makes 2-pt shot from 2 ft (assist by J. Grant)
7:33.0,,,103-74,,Shooting foul by E. Tavares (drawn by J. Sampson)
7:33.0,,,103-75,1,J. Sampson makes free throw 1 of 1
7:21.0,Turnover by E. Tavares (step out of bounds),,103-75,,
7:00.0,,,103-75,,J. Grant misses 2-pt shot from 2 ft
6:59.0,Defensive rebound by S. Mack,,103-75,,
6:46.0,S. Mack makes 2-pt shot from 10 ft,2,105-75,,
6:36.0,,,105-75,,K. Marshall misses 3-pt shot from 25 ft
6:34.0,Defensive rebound by E. Tavares,,105-75,,
6:17.0,S. Mack misses 2-pt shot from 4 ft,,105-75,,
