time,Phoenix,pts.away,score,pts.home,Toronto
5:49.0,T. Warren makes 2-pt shot from 1 ft,2,15-11,,
5:37.0,,,15-11,,D. Carroll misses 3-pt shot from 23 ft
5:36.0,Defensive rebound by M. Morris,,15-11,,
5:17.0,M. Morris misses 2-pt shot from 20 ft,,15-11,,
5:16.0,,,15-11,,Defensive rebound by D. Carroll
5:06.0,,,15-13,2,D. Carroll makes 2-pt shot from 1 ft (assist by K. Lowry)
4:42.0,B. Knight misses 3-pt shot from 23 ft,,15-13,,
4:41.0,,,15-13,,Defensive rebound by L. Scola
4:29.0,,,15-13,,Shooting foul by M. Morris (drawn by L. Scola)
4:29.0,,,15-14,1,L. Scola makes free throw 1 of 2
4:29.0,J. Leuer enters the game for A. Len,,15-14,,
4:29.0,R. Price enters the game for E. Bledsoe,,15-14,,
4:29.0,,,15-14,,C. Joseph enters the game for D. DeRozan
4:29.0,,,15-15,1,L. Scola makes free throw 2 of 2
4:15.0,J. Leuer makes 2-pt shot from 19 ft (assist by M. Morris),2,17-15,,
3:55.0,,,17-15,,Turnover by K. Lowry (bad pass; steal by T. Warren)
3:44.0,T. Warren misses 2-pt shot from 3 ft (block by B. Biyombo),,17-15,,
3:42.0,,,17-15,,Defensive rebound by L. Scola
3:39.0,,,17-18,3,K. Lowry makes 3-pt shot from 24 ft (assist by L. Scola)
3:21.0,B. Knight misses 2-pt shot from 21 ft,,17-18,,
3:21.0,,,17-18,,Defensive rebound by B. Biyombo
3:10.0,,,17-18,,K. Lowry misses 2-pt shot from 19 ft
3:10.0,,,17-18,,Offensive rebound by B. Biyombo
3:06.0,,,17-18,,Turnover by B. Biyombo (traveling)
3:06.0,,,17-18,,P. Patterson enters the game for L. Scola
3:06.0,Phoenix full timeout,,17-18,,
3:06.0,,,17-18,,L. Nogueira enters the game for B. Biyombo
2:50.0,J. Leuer misses 2-pt shot from 5 ft,,17-18,,
2:48.0,,,17-18,,Defensive rebound by K. Lowry
2:39.0,,,17-18,,K. Lowry misses 2-pt shot from 2 ft (block by J. Leuer)
2:38.0,Defensive rebound by T. Warren,,17-18,,
2:30.0,M. Morris misses 2-pt shot from 9 ft,,17-18,,
2:29.0,Offensive rebound by T. Warren,,17-18,,
2:25.0,T. Warren misses 2-pt shot from 1 ft,,17-18,,
2:25.0,,,17-18,,Defensive rebound by K. Lowry
2:19.0,,,17-18,,C. Joseph misses 2-pt shot from 18 ft
2:17.0,,,17-18,,Offensive rebound by D. Carroll
2:09.0,,,17-18,,C. Joseph misses 2-pt shot from 5 ft
2:08.0,Defensive rebound by M. Morris,,17-18,,
1:59.0,Shooting foul by D. Carroll (drawn by B. Knight),,17-18,,
1:59.0,B. Knight makes free throw 1 of 2,1,18-18,,
1:59.0,B. Knight makes free throw 2 of 2,1,19-18,,
1:45.0,,,19-18,,Turnover by K. Lowry (bad pass; steal by B. Knight)
1:41.0,B. Knight misses 2-pt shot from 3 ft (block by C. Joseph),,19-18,,
1:41.0,,,19-18,,Defensive rebound by Team
1:22.0,,,19-18,,K. Lowry misses 3-pt shot from 23 ft
1:20.0,Defensive rebound by R. Price,,19-18,,
1:11.0,M. Morris misses 2-pt shot from 2 ft,,19-18,,
1:11.0,,,19-18,,Defensive rebound by D. Carroll
1:01.0,,,19-18,,P. Patterson misses 3-pt shot from 23 ft
1:01.0,Defensive rebound by J. Leuer,,19-18,,
0:55.0,T. Warren misses 2-pt shot from 12 ft,,19-18,,
0:53.0,Offensive rebound by M. Morris,,19-18,,
0:51.0,Turnover by M. Morris (bad pass; steal by L. Nogueira),,19-18,,
0:44.0,,,19-18,,C. Joseph misses 2-pt shot from 4 ft
0:44.0,Defensive rebound by J. Leuer,,19-18,,
0:36.0,T. Warren makes 2-pt shot from 3 ft (assist by R. Price),2,21-18,,
0:11.0,,,21-18,,D. Carroll misses 2-pt shot from 15 ft (block by T. Warren)
0:09.0,,,21-18,,Offensive rebound by L. Nogueira
0:06.0,,,21-18,,L. Nogueira misses 3-pt shot from 24 ft
0:05.0,Defensive rebound by M. Morris,,21-18,,
0:00.0,J. Leuer misses 3-pt shot from 25 ft,,21-18,,
0:00.0,,,21-18,,Defensive rebound by P. Patterson
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:42.0,M. Teletovic makes 3-pt shot from 24 ft (assist by E. Bledsoe),3,24-18,,
11:24.0,,,24-18,,P. Patterson misses 2-pt shot from 12 ft
11:23.0,Defensive rebound by T. Warren,,24-18,,
11:12.0,J. Leuer makes 3-pt shot from 24 ft (assist by R. Price),3,27-18,,
10:58.0,,,27-20,2,D. DeRozan makes 2-pt shot from 1 ft
10:48.0,E. Bledsoe misses 2-pt shot from 3 ft,,27-20,,
10:47.0,,,27-20,,Defensive rebound by L. Nogueira
10:36.0,,,27-22,2,L. Nogueira makes 2-pt shot at rim (assist by D. DeRozan)
10:21.0,Turnover by R. Price (bad pass),,27-22,,
10:08.0,,,27-24,2,D. DeRozan makes 2-pt shot from 12 ft
10:08.0,,,27-24,,Shooting foul by J. Leuer (drawn by D. DeRozan)
10:08.0,,,27-25,1,D. DeRozan makes free throw 1 of 1
9:56.0,J. Leuer makes 3-pt shot from 24 ft (assist by E. Bledsoe),3,30-25,,
9:28.0,,,30-25,,C. Joseph misses 2-pt shot from 15 ft
9:28.0,Defensive rebound by T. Warren,,30-25,,
9:19.0,M. Teletovic makes 3-pt shot from 26 ft (assist by R. Price),3,33-25,,
9:07.0,,,33-25,,Toronto full timeout
9:07.0,,,33-25,,B. Biyombo enters the game for P. Patterson
9:07.0,,,33-25,,J. Johnson enters the game for L. Nogueira
8:57.0,,,33-27,2,D. DeRozan makes 2-pt shot from 17 ft (assist by J. Johnson)
8:36.0,J. Leuer misses 3-pt shot from 23 ft,,33-27,,
8:34.0,Offensive rebound by R. Price,,33-27,,
8:25.0,T. Warren misses 3-pt shot from 22 ft,,33-27,,
8:24.0,,,33-27,,Defensive rebound by C. Joseph
8:11.0,,,33-29,2,D. DeRozan makes 2-pt shot from 6 ft
8:02.0,,,33-29,,Personal foul by D. DeRozan (drawn by M. Teletovic)
8:02.0,A. Len enters the game for J. Leuer,,33-29,,
8:02.0,P. Tucker enters the game for T. Warren,,33-29,,
7:48.0,R. Price misses 3-pt shot from 25 ft,,33-29,,
7:45.0,,,33-29,,Defensive rebound by C. Joseph
7:42.0,,,33-29,,Offensive foul by B. Biyombo
7:42.0,,,33-29,,Turnover by B. Biyombo (offensive foul)
7:23.0,M. Teletovic makes 2-pt shot from 21 ft,2,35-29,,
7:08.0,,,35-29,,Turnover by D. DeRozan (bad pass)
7:01.0,E. Bledsoe misses 2-pt shot from 2 ft (block by B. Biyombo),,35-29,,
6:59.0,,,35-29,,Defensive rebound by D. DeRozan
6:50.0,,,35-31,2,J. Johnson makes 2-pt shot at rim (assist by D. DeRozan)
6:38.0,R. Price misses 2-pt shot from 1 ft,,35-31,,
6:38.0,Offensive rebound by Team,,35-31,,
6:37.0,Turnover by P. Tucker (bad pass; steal by J. Johnson),,35-31,,
6:30.0,,,35-33,2,J. Johnson makes 2-pt shot from 1 ft
6:10.0,R. Price misses 3-pt shot from 24 ft,,35-33,,
6:10.0,,,35-33,,Defensive rebound by C. Joseph
5:58.0,,,35-33,,D. DeRozan misses 2-pt shot from 14 ft
5:57.0,,,35-33,,Offensive rebound by B. Biyombo
5:51.0,,,35-33,,J. Johnson misses 2-pt shot from 2 ft
5:49.0,Defensive rebound by P. Tucker,,35-33,,
5:42.0,M. Teletovic makes 3-pt shot from 24 ft (assist by E. Bledsoe),3,38-33,,
5:23.0,,,38-33,,T. Ross misses 3-pt shot from 24 ft
5:22.0,Defensive rebound by P. Tucker,,38-33,,
5:16.0,E. Bledsoe misses 2-pt shot from 1 ft (block by B. Biyombo),,38-33,,
5:16.0,Offensive rebound by Team,,38-33,,
5:16.0,Official timeout,,38-33,,
5:16.0,B. Knight enters the game for R. Price,,38-33,,
5:16.0,,,38-33,,D. Carroll enters the game for T. Ross
5:16.0,,,38-33,,K. Lowry enters the game for J. Johnson
5:15.0,E. Bledsoe makes 2-pt shot from 1 ft (assist by M. Teletovic),2,40-33,,
5:15.0,Shooting foul by C. Joseph (drawn by E. Bledsoe),,40-33,,
5:15.0,E. Bledsoe misses free throw 1 of 1,,40-33,,
5:12.0,Offensive rebound by Team,,40-33,,
4:57.0,E. Bledsoe misses 2-pt shot from 5 ft (block by C. Joseph),,40-33,,
4:55.0,,,40-33,,Defensive rebound by Team
4:55.0,Loose ball foul by E. Bledsoe (drawn by K. Lowry),,40-33,,
4:38.0,,,40-33,,D. DeRozan misses 2-pt shot from 19 ft
4:37.0,Defensive rebound by B. Knight,,40-33,,
4:27.0,A. Len makes 2-pt shot from 11 ft (assist by B. Knight),2,42-33,,
4:02.0,,,42-33,,B. Biyombo misses 2-pt shot from 4 ft (block by E. Bledsoe)
4:00.0,Defensive rebound by E. Bledsoe,,42-33,,
3:53.0,M. Teletovic makes 3-pt shot from 23 ft (assist by B. Knight),3,45-33,,
3:28.0,,,45-33,,C. Joseph misses 2-pt shot from 7 ft
3:27.0,,,45-33,,Offensive rebound by C. Joseph
3:22.0,,,45-36,3,K. Lowry makes 3-pt shot from 23 ft (assist by D. DeRozan)
3:13.0,M. Teletovic misses 3-pt shot from 23 ft,,45-36,,
3:12.0,,,45-36,,Defensive rebound by K. Lowry
3:06.0,,,45-39,3,D. Carroll makes 3-pt shot from 25 ft (assist by K. Lowry)
3:01.0,Phoenix full timeout,,45-39,,
3:01.0,M. Morris enters the game for M. Teletovic,,45-39,,
2:48.0,B. Knight makes 2-pt shot from 9 ft,2,47-39,,
2:34.0,,,47-39,,Shooting foul by M. Morris (drawn by D. DeRozan)
2:34.0,,,47-40,1,D. DeRozan makes free throw 1 of 2
2:34.0,,,47-41,1,D. DeRozan makes free throw 2 of 2
2:10.0,E. Bledsoe misses 2-pt shot from 17 ft,,47-41,,
2:09.0,,,47-41,,Defensive rebound by D. DeRozan
2:03.0,,,47-44,3,D. Carroll makes 3-pt shot from 25 ft (assist by D. DeRozan)
1:52.0,B. Knight misses 3-pt shot from 25 ft,,47-44,,
1:51.0,,,47-44,,Defensive rebound by B. Biyombo
1:36.0,,,47-47,3,K. Lowry makes 3-pt shot from 25 ft (assist by D. Carroll)
1:17.0,M. Morris misses 2-pt shot from 3 ft,,47-47,,
1:16.0,,,47-47,,Defensive rebound by D. DeRozan
1:09.0,,,47-49,2,D. DeRozan makes 2-pt shot from 1 ft
0:52.0,E. Bledsoe makes 2-pt shot from 16 ft,2,49-49,,
0:43.0,,,49-49,,Offensive foul by B. Biyombo
0:43.0,,,49-49,,Turnover by B. Biyombo (offensive foul)
0:31.0,Shooting foul by K. Lowry (drawn by E. Bledsoe),,49-49,,
0:31.0,E. Bledsoe makes free throw 1 of 2,1,50-49,,
0:31.0,R. Price enters the game for M. Morris,,50-49,,
0:31.0,,,50-49,,L. Scola enters the game for B. Biyombo
0:31.0,J. Leuer enters the game for A. Len,,50-49,,
0:31.0,E. Bledsoe makes free throw 2 of 2,1,51-49,,
0:07.0,,,51-49,,K. Lowry misses 3-pt shot from 24 ft
0:07.0,,,51-49,,Offensive rebound by Team
0:07.0,,,51-49,,Turnover by Team (shot clock)
0:07.0,,,51-49,,B. Biyombo enters the game for L. Scola
0:07.0,Phoenix full timeout,,51-49,,
0:07.0,M. Teletovic enters the game for P. Tucker,,51-49,,
0:02.0,Shooting foul by D. DeRozan (drawn by J. Leuer),,51-49,,
0:02.0,J. Leuer makes free throw 1 of 2,1,52-49,,
0:02.0,J. Leuer makes free throw 2 of 2,1,53-49,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:42.0,E. Bledsoe makes 2-pt shot from 7 ft,2,55-49,,
11:25.0,,,55-49,,Shooting foul by M. Morris (drawn by L. Scola)
11:25.0,,,55-50,1,L. Scola makes free throw 1 of 2
11:25.0,,,55-50,,L. Scola misses free throw 2 of 2
11:23.0,Defensive rebound by A. Len,,55-50,,
11:07.0,A. Len makes 2-pt shot from 6 ft (assist by E. Bledsoe),2,57-50,,
10:50.0,,,57-50,,K. Lowry misses 3-pt shot from 24 ft
10:49.0,Defensive rebound by E. Bledsoe,,57-50,,
10:47.0,Turnover by E. Bledsoe (lost ball; steal by K. Lowry),,57-50,,
10:36.0,,,57-50,,D. DeRozan misses 2-pt shot from 19 ft
10:34.0,Defensive rebound by M. Morris,,57-50,,
10:23.0,M. Morris makes 2-pt shot from 17 ft (assist by E. Bledsoe),2,59-50,,
10:06.0,,,59-52,2,D. Carroll makes 2-pt shot from 11 ft
9:49.0,B. Knight misses 2-pt shot from 7 ft,,59-52,,
9:48.0,,,59-52,,Defensive rebound by L. Scola
9:29.0,,,59-54,2,B. Biyombo makes 2-pt shot at rim (assist by D. DeRozan)
9:05.0,M. Morris misses 3-pt shot from 25 ft,,59-54,,
9:04.0,,,59-54,,Defensive rebound by D. Carroll
8:56.0,,,59-54,,D. DeRozan misses 3-pt shot from 23 ft
8:55.0,Defensive rebound by E. Bledsoe,,59-54,,
8:53.0,,,59-54,,Personal foul by D. Carroll (drawn by E. Bledsoe)
8:45.0,A. Len misses 2-pt shot from 16 ft,,59-54,,
8:45.0,Offensive rebound by Team,,59-54,,
8:39.0,,,59-54,,Violation by B. Biyombo (kicked ball)
8:31.0,E. Bledsoe misses 2-pt shot from 19 ft (block by D. DeRozan),,59-54,,
8:30.0,Offensive rebound by A. Len,,59-54,,
8:24.0,B. Knight makes 2-pt shot from 15 ft (assist by E. Bledsoe),2,61-54,,
8:13.0,Personal foul by E. Bledsoe (drawn by K. Lowry),,61-54,,
8:05.0,,,61-56,2,D. DeRozan makes 2-pt shot from 15 ft
7:54.0,Offensive charge foul by M. Morris,,61-56,,
7:54.0,Turnover by M. Morris (offensive foul),,61-56,,
7:54.0,J. Leuer enters the game for M. Morris,,61-56,,
7:30.0,,,61-59,3,L. Scola makes 3-pt shot from 24 ft (assist by K. Lowry)
7:12.0,P. Tucker misses 3-pt shot from 24 ft,,61-59,,
7:10.0,,,61-59,,Defensive rebound by K. Lowry
7:02.0,,,61-61,2,K. Lowry makes 2-pt shot from 7 ft
7:02.0,Phoenix full timeout,,61-61,,
6:45.0,Shooting foul by D. DeRozan (drawn by E. Bledsoe),,61-61,,
6:45.0,E. Bledsoe makes free throw 1 of 2,1,62-61,,
6:45.0,E. Bledsoe makes free throw 2 of 2,1,63-61,,
6:32.0,,,63-63,2,D. DeRozan makes 2-pt shot from 15 ft
6:13.0,B. Knight makes 3-pt shot from 24 ft (assist by A. Len),3,66-63,,
6:00.0,,,66-65,2,D. DeRozan makes 2-pt shot from 18 ft
5:45.0,P. Tucker makes 2-pt shot from 1 ft (assist by E. Bledsoe),2,68-65,,
5:28.0,Personal foul by P. Tucker (drawn by D. DeRozan),,68-65,,
5:28.0,T. Warren enters the game for P. Tucker,,68-65,,
5:28.0,R. Price enters the game for E. Bledsoe,,68-65,,
5:14.0,,,68-65,,Turnover by Team (shot clock)
4:59.0,J. Leuer makes 2-pt shot from 7 ft,2,70-65,,
4:33.0,,,70-68,3,L. Scola makes 3-pt shot from 24 ft (assist by D. DeRozan)
4:09.0,J. Leuer makes 2-pt shot at rim (assist by B. Knight),2,72-68,,
4:01.0,,,72-68,,Toronto full timeout
4:01.0,,,72-68,,C. Joseph enters the game for D. Carroll
4:01.0,,,72-68,,P. Patterson enters the game for L. Scola
3:47.0,,,72-68,,P. Patterson misses 2-pt shot from 10 ft
3:47.0,Defensive rebound by J. Leuer,,72-68,,
3:29.0,T. Warren makes 2-pt shot from 13 ft (assist by B. Knight),2,74-68,,
3:18.0,,,74-68,,D. DeRozan misses 2-pt shot from 2 ft (block by R. Price)
3:18.0,,,74-68,,Offensive rebound by Team
3:02.0,,,74-68,,B. Biyombo misses 2-pt shot from 10 ft
3:02.0,Defensive rebound by J. Leuer,,74-68,,
2:56.0,B. Knight makes 3-pt shot from 25 ft,3,77-68,,
2:29.0,,,77-68,,C. Joseph misses 2-pt shot from 3 ft (block by T. Warren)
2:29.0,,,77-68,,Offensive rebound by Team
2:22.0,,,77-68,,K. Lowry misses 2-pt shot from 20 ft
2:21.0,Defensive rebound by T. Warren,,77-68,,
2:13.0,T. Warren misses 2-pt shot from 3 ft,,77-68,,
2:12.0,Offensive rebound by A. Len,,77-68,,
2:10.0,A. Len misses 2-pt shot at rim,,77-68,,
2:09.0,,,77-68,,Defensive rebound by K. Lowry
2:08.0,,,77-68,,Turnover by K. Lowry (lost ball; steal by B. Knight)
2:02.0,A. Len misses 2-pt shot from 2 ft,,77-68,,
2:00.0,,,77-68,,Defensive rebound by P. Patterson
1:41.0,,,77-68,,D. DeRozan misses 3-pt shot from 23 ft
1:40.0,Defensive rebound by T. Warren,,77-68,,
1:30.0,B. Knight misses 3-pt shot from 24 ft,,77-68,,
1:29.0,,,77-68,,Defensive rebound by B. Biyombo
1:16.0,M. Teletovic enters the game for A. Len,,77-68,,
1:16.0,,,77-68,,T. Ross enters the game for K. Lowry
1:16.0,,,77-68,,J. Johnson enters the game for B. Biyombo
1:15.0,Jump ball: D. DeRozan vs. B. Knight (C. Joseph gains possession),,,,Jump ball: D. DeRozan vs. B. Knight (C. Joseph gains possession)
1:07.0,,,77-70,2,C. Joseph makes 2-pt shot from 14 ft
0:56.0,J. Leuer makes 2-pt shot at rim,2,79-70,,
0:38.0,,,79-70,,T. Ross misses 2-pt shot from 20 ft (block by T. Warren)
0:36.0,Defensive rebound by T. Warren,,79-70,,
0:33.0,T. Warren misses 2-pt shot from 1 ft,,79-70,,
0:33.0,Offensive rebound by B. Knight,,79-70,,
0:30.0,B. Knight makes 2-pt shot from 2 ft,2,81-70,,
0:18.0,,,81-72,2,D. DeRozan makes 2-pt shot from 2 ft
0:03.0,B. Knight misses 3-pt shot from 25 ft,,81-72,,
0:03.0,,,81-72,,Defensive rebound by T. Ross
0:00.0,,,81-72,,T. Ross misses 3-pt shot from 50 ft
0:00.0,,,81-72,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:36.0,,,81-72,,J. Johnson misses 2-pt shot from 21 ft
11:35.0,Defensive rebound by M. Teletovic,,81-72,,
11:10.0,T. Warren makes 2-pt shot from 2 ft (assist by J. Leuer),2,83-72,,
10:45.0,,,83-74,2,C. Joseph makes 2-pt shot from 1 ft
10:27.0,Turnover by R. Price (bad pass; steal by D. Carroll),,83-74,,
10:24.0,,,83-76,2,D. Carroll makes 2-pt shot at rim
10:24.0,,,83-76,,Shooting foul by R. Price (drawn by D. Carroll)
10:24.0,,,83-76,,D. Carroll misses free throw 1 of 1
10:24.0,,,83-76,,Offensive rebound by P. Patterson
10:20.0,,,83-76,,P. Patterson misses 2-pt shot from 2 ft
10:19.0,Defensive rebound by T. Warren,,83-76,,
10:10.0,R. Price misses 3-pt shot from 22 ft,,83-76,,
10:09.0,,,83-76,,Defensive rebound by C. Joseph
9:50.0,,,83-76,,P. Patterson misses 3-pt shot from 24 ft
9:49.0,,,83-76,,Offensive rebound by Team
9:49.0,Loose ball foul by T. Warren (drawn by J. Johnson),,83-76,,
9:41.0,,,83-76,,T. Ross misses 3-pt shot from 25 ft
9:40.0,Defensive rebound by E. Bledsoe,,83-76,,
9:37.0,Turnover by E. Bledsoe (lost ball; steal by D. Carroll),,83-76,,
9:20.0,,,83-78,2,J. Johnson makes 2-pt shot from 4 ft
8:57.0,M. Teletovic makes 3-pt shot from 25 ft (assist by J. Leuer),3,86-78,,
8:40.0,,,86-81,3,P. Patterson makes 3-pt shot from 25 ft (assist by C. Joseph)
8:25.0,M. Teletovic makes 3-pt shot from 24 ft (assist by E. Bledsoe),3,89-81,,
8:08.0,,,89-84,3,P. Patterson makes 3-pt shot from 23 ft (assist by D. Carroll)
7:55.0,,,89-84,,Personal foul by T. Ross (drawn by R. Price)
7:55.0,Official timeout,,89-84,,
7:39.0,E. Bledsoe misses 3-pt shot from 24 ft,,89-84,,
7:39.0,Offensive rebound by Team,,89-84,,
7:39.0,Turnover by Team (shot clock),,89-84,,
7:30.0,,,89-84,,Turnover by J. Johnson (bad pass)
7:30.0,B. Knight enters the game for R. Price,,89-84,,
7:14.0,J. Leuer misses 2-pt shot from 11 ft,,89-84,,
7:14.0,,,89-84,,Defensive rebound by J. Johnson
7:02.0,,,89-86,2,C. Joseph makes 2-pt shot from 3 ft
6:50.0,T. Warren makes 2-pt shot from 2 ft (assist by E. Bledsoe),2,91-86,,
6:34.0,,,91-86,,D. Carroll misses 3-pt shot from 24 ft
6:34.0,,,91-86,,Offensive rebound by T. Ross
6:27.0,,,91-88,2,J. Johnson makes 2-pt shot from 1 ft (assist by T. Ross)
6:11.0,,,91-88,,Violation by P. Patterson (kicked ball)
6:11.0,A. Len enters the game for J. Leuer,,91-88,,
6:02.0,E. Bledsoe misses 2-pt shot from 10 ft,,91-88,,
6:01.0,Offensive rebound by M. Teletovic,,91-88,,
5:59.0,M. Teletovic misses 2-pt shot from 1 ft,,91-88,,
5:58.0,Offensive rebound by A. Len,,91-88,,
5:56.0,A. Len misses 2-pt shot from 1 ft,,91-88,,
5:55.0,Offensive rebound by T. Warren,,91-88,,
5:53.0,T. Warren makes 2-pt shot from 1 ft,2,93-88,,
5:42.0,,,93-88,,J. Johnson misses 2-pt shot from 2 ft
5:41.0,Defensive rebound by B. Knight,,93-88,,
5:35.0,B. Knight misses 2-pt shot from 22 ft,,93-88,,
5:33.0,,,93-88,,Defensive rebound by D. Carroll
5:31.0,,,93-88,,Toronto full timeout
5:31.0,,,93-88,,D. DeRozan enters the game for P. Patterson
5:31.0,,,93-88,,K. Lowry enters the game for T. Ross
5:31.0,,,93-88,,B. Biyombo enters the game for J. Johnson
5:18.0,,,93-90,2,D. Carroll makes 2-pt shot from 2 ft
4:59.0,E. Bledsoe makes 2-pt shot from 2 ft,2,95-90,,
4:44.0,,,95-93,3,C. Joseph makes 3-pt shot from 23 ft (assist by K. Lowry)
4:23.0,E. Bledsoe misses 2-pt shot from 18 ft,,95-93,,
4:23.0,,,95-93,,Defensive rebound by B. Biyombo
4:07.0,,,95-93,,D. DeRozan misses 2-pt shot from 17 ft
4:06.0,,,95-93,,Offensive rebound by K. Lowry
4:03.0,,,95-95,2,D. DeRozan makes 2-pt shot from 2 ft (assist by K. Lowry)
4:03.0,Phoenix full timeout,,95-95,,
4:03.0,M. Morris enters the game for A. Len,,95-95,,
4:03.0,P. Tucker enters the game for M. Teletovic,,95-95,,
3:40.0,Turnover by P. Tucker (3 sec),,95-95,,
3:21.0,,,95-95,,C. Joseph misses 2-pt shot from 6 ft
3:20.0,Defensive rebound by P. Tucker,,95-95,,
3:12.0,,,95-95,,Shooting block foul by C. Joseph (drawn by P. Tucker)
3:12.0,P. Tucker misses free throw 1 of 2,,95-95,,
3:12.0,Offensive rebound by Team,,95-95,,
3:12.0,P. Tucker makes free throw 2 of 2,1,96-95,,
2:54.0,,,96-97,2,D. DeRozan makes 2-pt shot from 16 ft
2:42.0,B. Knight misses 2-pt shot from 1 ft,,96-97,,
2:41.0,,,96-97,,Defensive rebound by K. Lowry
2:35.0,,,96-97,,Offensive foul by B. Biyombo
2:35.0,,,96-97,,Turnover by B. Biyombo (offensive foul)
2:24.0,M. Morris makes 2-pt shot from 1 ft (assist by E. Bledsoe),2,98-97,,
2:24.0,Shooting foul by D. Carroll (drawn by M. Morris),,98-97,,
2:24.0,M. Morris makes free throw 1 of 1,1,99-97,,
2:07.0,Personal foul by T. Warren (drawn by D. Carroll),,99-97,,
2:03.0,,,99-97,,Turnover by C. Joseph (bad pass; steal by P. Tucker)
2:00.0,Shooting foul by K. Lowry (drawn by E. Bledsoe),,99-97,,
2:00.0,E. Bledsoe makes free throw 1 of 2,1,100-97,,
2:00.0,E. Bledsoe makes free throw 2 of 2,1,101-97,,
2:00.0,,,101-97,,Toronto full timeout
1:48.0,,,101-97,,K. Lowry misses 2-pt shot from 2 ft
1:47.0,Defensive rebound by T. Warren,,101-97,,
