time,Indiana,pts.away,score,pts.home,LA Lakers
4:15.0,,,17-9,,M. World Peace misses 2-pt shot from 19 ft
4:14.0,,,17-9,,Offensive rebound by Team
4:14.0,Loose ball foul by J. Hill (drawn by R. Hibbert),,17-9,,
4:14.0,,,17-10,1,R. Hibbert makes free throw 1 of 2
4:14.0,,,17-10,,R. Hibbert misses free throw 2 of 2
4:13.0,Defensive rebound by P. George,,17-10,,
3:56.0,P. George misses 2-pt shot from 16 ft,,17-10,,
3:56.0,,,17-10,,Defensive rebound by M. World Peace
3:34.0,,,17-12,2,K. Bryant makes 2-pt shot from 1 ft
3:16.0,M. Ellis makes 2-pt shot from 18 ft,2,19-12,,
2:53.0,,,19-12,,K. Bryant misses 2-pt shot from 3 ft
2:52.0,Defensive rebound by R. Stuckey,,19-12,,
2:37.0,J. Hill misses 2-pt shot from 15 ft,,19-12,,
2:36.0,,,19-12,,Defensive rebound by J. Clarkson
2:25.0,,,19-12,,J. Clarkson misses 2-pt shot from 1 ft
2:25.0,,,19-12,,Offensive rebound by R. Hibbert
2:21.0,,,19-12,,M. World Peace misses 3-pt shot from 25 ft
2:20.0,Defensive rebound by J. Hill,,19-12,,
2:10.0,P. George makes 2-pt shot from 4 ft,2,21-12,,
2:03.0,Indiana full timeout,,21-12,,
2:03.0,,,21-12,,L. Nance enters the game for K. Bryant
2:03.0,,,21-12,,B. Bass enters the game for R. Hibbert
2:03.0,L. Allen enters the game for C. Miles,,21-12,,
1:54.0,,,21-12,,N. Young misses 3-pt shot from 24 ft
1:53.0,Defensive rebound by J. Hill,,21-12,,
1:40.0,,,21-12,,Personal foul by M. World Peace (drawn by P. George)
1:31.0,R. Stuckey makes 2-pt shot from 16 ft (assist by M. Ellis),2,23-12,,
1:05.0,,,23-12,,L. Nance misses 2-pt shot from 18 ft
1:04.0,,,23-12,,Offensive rebound by Team
0:51.0,,,23-12,,L. Nance misses 2-pt shot from 17 ft
0:50.0,Defensive rebound by L. Allen,,23-12,,
0:45.0,R. Stuckey misses 2-pt shot from 3 ft (block by L. Nance),,23-12,,
0:45.0,Offensive rebound by Team,,23-12,,
0:36.0,J. Hill makes 2-pt shot from 1 ft (assist by P. George),2,25-12,,
0:17.0,,,25-12,,Turnover by L. Nance (traveling)
0:01.0,P. George makes 3-pt shot from 25 ft,3,28-12,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:47.0,Turnover by R. Stuckey (bad pass; steal by L. Nance),,28-12,,
11:41.0,,,28-12,,L. Nance misses 2-pt shot from 1 ft
11:40.0,Defensive rebound by G. Hill,,28-12,,
11:33.0,J. Hill misses 2-pt shot from 8 ft,,28-12,,
11:31.0,,,28-12,,Defensive rebound by L. Nance
11:26.0,,,28-12,,N. Young misses 3-pt shot from 24 ft
11:24.0,Defensive rebound by J. Hill,,28-12,,
11:14.0,R. Stuckey misses 3-pt shot from 25 ft,,28-12,,
11:13.0,,,28-12,,Defensive rebound by Team
10:51.0,,,28-12,,D. Russell misses 2-pt shot from 19 ft
10:50.0,Defensive rebound by L. Allen,,28-12,,
10:33.0,J. Hill misses 2-pt shot from 15 ft,,28-12,,
10:33.0,Offensive rebound by L. Allen,,28-12,,
10:30.0,L. Allen makes 2-pt shot from 1 ft,2,30-12,,
10:11.0,,,30-12,,M. World Peace misses 2-pt shot from 2 ft
10:11.0,Defensive rebound by L. Allen,,30-12,,
10:06.0,Turnover by G. Hill (bad pass),,30-12,,
9:54.0,,,30-12,,N. Young misses 3-pt shot from 25 ft
9:54.0,Defensive rebound by L. Allen,,30-12,,
9:49.0,Turnover by C. Budinger (lost ball; steal by M. World Peace),,30-12,,
9:39.0,,,30-14,2,L. Nance makes 2-pt shot from 2 ft (assist by D. Russell)
9:13.0,Turnover by Team (shot clock),,30-14,,
9:13.0,,,30-14,,K. Bryant enters the game for N. Young
8:50.0,,,30-14,,K. Bryant misses 2-pt shot from 19 ft
8:49.0,,,30-14,,Offensive rebound by L. Nance
8:47.0,,,30-14,,L. Nance misses 2-pt shot at rim
8:46.0,,,30-14,,Offensive rebound by B. Bass
8:44.0,,,30-16,2,B. Bass makes 2-pt shot at rim
8:34.0,L. Allen misses 2-pt shot from 20 ft,,30-16,,
8:32.0,Offensive rebound by J. Hill,,30-16,,
8:29.0,J. Hill makes 2-pt shot at rim,2,32-16,,
8:17.0,,,32-16,,M. World Peace misses 3-pt shot from 25 ft
8:17.0,Defensive rebound by J. Hill,,32-16,,
8:10.0,L. Allen makes 2-pt shot from 1 ft (assist by R. Stuckey),2,34-16,,
7:47.0,,,34-18,2,B. Bass makes 2-pt shot from 14 ft
7:26.0,J. Hill misses 2-pt shot from 18 ft,,34-18,,
7:26.0,,,34-18,,Defensive rebound by B. Bass
7:07.0,,,34-18,,K. Bryant misses 2-pt shot from 6 ft
7:07.0,Defensive rebound by L. Allen,,34-18,,
6:59.0,R. Stuckey misses 2-pt shot from 17 ft,,34-18,,
6:59.0,,,34-18,,Defensive rebound by D. Russell
6:53.0,,,34-20,2,D. Russell makes 2-pt shot from 13 ft
6:53.0,Indiana full timeout,,34-20,,
6:53.0,,,34-20,,R. Hibbert enters the game for B. Bass
6:53.0,,,34-20,,J. Randle enters the game for L. Nance
6:43.0,C. Budinger makes 2-pt shot from 10 ft (assist by G. Hill),2,36-20,,
6:30.0,,,36-20,,Shooting foul by C. Budinger (drawn by K. Bryant)
6:30.0,,,36-21,1,K. Bryant makes free throw 1 of 2
6:30.0,,,36-22,1,K. Bryant makes free throw 2 of 2
6:17.0,R. Stuckey makes 2-pt shot from 11 ft (assist by J. Hill),2,38-22,,
6:10.0,Personal foul by J. Hill (drawn by R. Hibbert),,38-22,,
6:10.0,,,38-22,,J. Clarkson enters the game for M. World Peace
6:10.0,I. Mahinmi enters the game for J. Hill,,38-22,,
5:56.0,,,38-22,,K. Bryant misses 2-pt shot from 11 ft
5:55.0,Defensive rebound by I. Mahinmi,,38-22,,
5:48.0,R. Stuckey misses 2-pt shot from 2 ft,,38-22,,
5:47.0,,,38-22,,Defensive rebound by J. Clarkson
5:44.0,,,38-22,,Shooting foul by G. Hill (drawn by J. Clarkson)
5:44.0,Official timeout,,38-22,,
5:44.0,M. Ellis enters the game for G. Hill,,38-22,,
5:44.0,,,38-23,1,J. Clarkson makes free throw 1 of 2
5:44.0,,,38-24,1,J. Clarkson makes free throw 2 of 2
5:20.0,R. Stuckey misses 2-pt shot from 10 ft,,38-24,,
5:18.0,,,38-24,,Defensive rebound by K. Bryant
5:11.0,,,38-24,,J. Randle misses 2-pt shot from 16 ft
5:10.0,Defensive rebound by I. Mahinmi,,38-24,,
4:59.0,Turnover by M. Ellis (bad pass),,38-24,,
4:39.0,,,38-24,,J. Randle misses 2-pt shot from 17 ft
4:38.0,Defensive rebound by R. Stuckey,,38-24,,
4:28.0,L. Allen misses 2-pt shot from 15 ft,,38-24,,
4:28.0,,,38-24,,Defensive rebound by R. Hibbert
4:16.0,,,38-26,2,J. Clarkson makes 2-pt shot from 7 ft
4:08.0,,,38-26,,Personal take foul by J. Clarkson (drawn by M. Ellis)
4:08.0,P. George enters the game for R. Stuckey,,38-26,,
4:08.0,C. Miles enters the game for L. Allen,,38-26,,
4:08.0,G. Hill enters the game for C. Budinger,,38-26,,
4:08.0,,,38-26,,LA Lakers full timeout
3:58.0,G. Hill makes 2-pt shot from 1 ft (assist by I. Mahinmi),2,40-26,,
3:43.0,,,40-26,,D. Russell misses 2-pt shot from 2 ft
3:42.0,,,40-26,,Offensive rebound by D. Russell
3:40.0,,,40-28,2,D. Russell makes 2-pt shot at rim
3:29.0,C. Miles misses 2-pt shot from 11 ft (block by R. Hibbert),,40-28,,
3:28.0,,,40-28,,Defensive rebound by D. Russell
3:13.0,,,40-31,3,J. Clarkson makes 3-pt shot from 23 ft (assist by D. Russell)
3:02.0,Turnover by I. Mahinmi (lost ball),,40-31,,
2:48.0,,,40-33,2,K. Bryant makes 2-pt shot from 19 ft (assist by D. Russell)
2:39.0,G. Hill misses 3-pt shot from 24 ft,,40-33,,
2:38.0,,,40-33,,Defensive rebound by J. Randle
2:28.0,,,40-33,,J. Randle misses 2-pt shot from 1 ft
2:27.0,,,40-33,,Offensive rebound by R. Hibbert
2:27.0,,,40-33,,LA Lakers full timeout
2:27.0,,,40-33,,M. World Peace enters the game for J. Randle
2:24.0,,,40-33,,D. Russell misses 3-pt shot from 24 ft
2:23.0,Defensive rebound by I. Mahinmi,,40-33,,
1:58.0,M. Ellis makes 2-pt shot from 13 ft,2,42-33,,
1:43.0,,,42-33,,K. Bryant misses 3-pt shot from 24 ft (block by P. George)
1:41.0,Defensive rebound by M. Ellis,,42-33,,
1:40.0,Shooting foul by J. Clarkson (drawn by P. George),,42-33,,
1:40.0,P. George makes free throw 1 of 2,1,43-33,,
1:40.0,P. George makes free throw 2 of 2,1,44-33,,
1:25.0,,,44-33,,M. World Peace misses 2-pt shot from 1 ft
1:24.0,Defensive rebound by I. Mahinmi,,44-33,,
1:17.0,P. George misses 3-pt shot from 24 ft,,44-33,,
1:17.0,,,44-33,,Defensive rebound by J. Clarkson
1:02.0,,,44-33,,K. Bryant misses 2-pt shot from 5 ft
1:02.0,,,44-33,,Offensive rebound by R. Hibbert
1:00.0,,,44-35,2,R. Hibbert makes 2-pt shot at rim
0:53.0,Shooting foul by R. Hibbert (drawn by G. Hill),,44-35,,
0:53.0,G. Hill makes free throw 1 of 2,1,45-35,,
0:53.0,G. Hill makes free throw 2 of 2,1,46-35,,
0:41.0,,,46-35,,K. Bryant misses 2-pt shot from 19 ft
0:40.0,,,46-35,,Offensive rebound by M. World Peace
0:37.0,,,46-35,,M. World Peace misses 2-pt shot from 1 ft
0:36.0,Defensive rebound by I. Mahinmi,,46-35,,
0:30.0,C. Miles misses 3-pt shot from 25 ft,,46-35,,
0:29.0,,,46-35,,Defensive rebound by R. Hibbert
0:21.0,,,46-35,,Turnover by Team (turnover)
0:21.0,Indiana full timeout,,46-35,,
0:03.0,P. George makes 2-pt shot from 2 ft (assist by M. Ellis),2,48-35,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:44.0,I. Mahinmi makes 2-pt shot at rim (assist by M. Ellis),2,50-35,,
11:19.0,,,50-37,2,J. Randle makes 2-pt shot from 1 ft
11:11.0,C. Miles makes 3-pt shot from 25 ft (assist by G. Hill),3,53-37,,
11:01.0,Personal foul by C. Miles (drawn by J. Randle),,53-37,,
10:49.0,,,53-39,2,J. Randle makes 2-pt shot from 9 ft
10:34.0,P. George misses 3-pt shot from 25 ft,,53-39,,
10:34.0,,,53-39,,Defensive rebound by D. Russell
10:22.0,,,53-39,,Turnover by Team (back court)
10:06.0,Turnover by M. Ellis (lost ball; steal by K. Bryant),,53-39,,
9:53.0,,,53-41,2,R. Hibbert makes 2-pt shot at rim (assist by K. Bryant)
9:43.0,,,53-41,,Personal foul by R. Hibbert (drawn by I. Mahinmi)
9:36.0,P. George makes 2-pt shot at rim (assist by I. Mahinmi),2,55-41,,
9:25.0,Personal foul by I. Mahinmi (drawn by R. Hibbert),,55-41,,
9:21.0,,,55-43,2,J. Clarkson makes 2-pt shot from 18 ft (assist by R. Hibbert)
9:10.0,C. Miles makes 3-pt shot from 24 ft (assist by G. Hill),3,58-43,,
8:55.0,,,58-43,,Turnover by R. Hibbert (lost ball; steal by G. Hill)
8:49.0,C. Miles misses 3-pt shot from 24 ft,,58-43,,
8:46.0,Offensive rebound by P. George,,58-43,,
8:39.0,Shooting foul by J. Clarkson (drawn by P. George),,58-43,,
8:39.0,P. George makes free throw 1 of 2,1,59-43,,
8:39.0,P. George makes free throw 2 of 2,1,60-43,,
8:28.0,,,60-45,2,D. Russell makes 2-pt shot from 18 ft
8:20.0,P. George misses 3-pt shot from 24 ft,,60-45,,
8:19.0,,,60-45,,Defensive rebound by J. Randle
8:03.0,,,60-45,,J. Clarkson misses 2-pt shot from 11 ft
8:02.0,Defensive rebound by M. Ellis,,60-45,,
7:47.0,P. George makes 3-pt shot from 26 ft,3,63-45,,
7:34.0,,,63-45,,D. Russell misses 2-pt shot from 17 ft
7:32.0,Defensive rebound by I. Mahinmi,,63-45,,
7:22.0,P. George misses 3-pt shot from 24 ft,,63-45,,
7:21.0,,,63-45,,Defensive rebound by R. Hibbert
7:13.0,,,63-45,,Shooting foul by I. Mahinmi (drawn by J. Randle)
7:13.0,,,63-45,,J. Randle misses free throw 1 of 2
7:13.0,,,63-45,,Offensive rebound by Team
7:13.0,,,63-46,1,J. Randle makes free throw 2 of 2
6:53.0,Shooting foul by R. Hibbert (drawn by M. Ellis),,63-46,,
6:53.0,M. Ellis makes free throw 1 of 2,1,64-46,,
6:53.0,,,64-46,,N. Young enters the game for D. Russell
6:53.0,M. Ellis makes free throw 2 of 2,1,65-46,,
6:42.0,,,65-46,,Offensive foul by J. Randle
6:42.0,,,65-46,,Turnover by J. Randle (offensive foul)
6:30.0,G. Hill misses 2-pt shot from 2 ft,,65-46,,
6:27.0,,,65-46,,Defensive rebound by J. Randle
6:25.0,,,65-46,,Turnover by J. Randle (bad pass; steal by P. George)
6:20.0,P. George makes 3-pt shot from 24 ft,3,68-46,,
6:11.0,,,68-46,,LA Lakers full timeout
6:05.0,,,68-49,3,N. Young makes 3-pt shot from 22 ft (assist by J. Clarkson)
5:43.0,C. Miles misses 3-pt shot from 23 ft,,68-49,,
5:42.0,,,68-49,,Defensive rebound by R. Hibbert
5:34.0,,,68-49,,Shooting foul by C. Miles (drawn by R. Hibbert)
5:34.0,,,68-49,,M. World Peace enters the game for K. Bryant
5:34.0,,,68-49,,R. Hibbert misses free throw 1 of 2
5:34.0,,,68-49,,Offensive rebound by Team
5:34.0,,,68-50,1,R. Hibbert makes free throw 2 of 2
5:20.0,G. Hill misses 3-pt shot from 24 ft,,68-50,,
5:19.0,,,68-50,,Defensive rebound by J. Clarkson
5:04.0,,,68-50,,J. Randle misses 2-pt shot from 3 ft
5:04.0,Defensive rebound by I. Mahinmi,,68-50,,
4:55.0,G. Hill misses 2-pt shot from 18 ft,,68-50,,
4:55.0,Offensive rebound by I. Mahinmi,,68-50,,
4:52.0,Turnover by I. Mahinmi (lost ball; steal by J. Clarkson),,68-50,,
4:46.0,,,68-50,,M. World Peace misses 2-pt shot from 3 ft (block by I. Mahinmi)
4:45.0,,,68-50,,Offensive rebound by N. Young
4:41.0,,,68-53,3,N. Young makes 3-pt shot from 24 ft
4:31.0,G. Hill makes 2-pt shot from 1 ft,2,70-53,,
4:31.0,,,70-53,,Technical foul by N. Young
4:31.0,P. George misses technical free throw,,70-53,,
4:31.0,,,70-53,,Offensive rebound by Team
4:31.0,J. Hill enters the game for I. Mahinmi,,70-53,,
4:31.0,R. Stuckey enters the game for G. Hill,,70-53,,
4:31.0,,,70-53,,L. Nance enters the game for J. Randle
4:16.0,,,70-56,3,N. Young makes 3-pt shot from 25 ft
4:03.0,Turnover by M. Ellis (bad pass; steal by R. Hibbert),,70-56,,
3:55.0,,,70-56,,N. Young misses 3-pt shot from 24 ft
3:54.0,Defensive rebound by R. Stuckey,,70-56,,
3:52.0,,,70-56,,Violation by J. Clarkson (def goaltending)
3:52.0,R. Stuckey makes 2-pt shot from 1 ft,2,72-56,,
3:52.0,Shooting foul by N. Young (drawn by R. Stuckey),,72-56,,
3:52.0,R. Stuckey makes free throw 1 of 1,1,73-56,,
3:36.0,,,73-58,2,J. Clarkson makes 2-pt shot from 3 ft
3:19.0,P. George makes 2-pt shot from 9 ft,2,75-58,,
2:59.0,,,75-61,3,N. Young makes 3-pt shot from 23 ft (assist by M. World Peace)
2:51.0,P. George makes 3-pt shot from 25 ft (assist by C. Miles),3,78-61,,
2:35.0,,,78-61,,N. Young misses 3-pt shot from 27 ft
2:34.0,Defensive rebound by C. Miles,,78-61,,
2:26.0,C. Miles misses 3-pt shot from 25 ft,,78-61,,
2:25.0,,,78-61,,Defensive rebound by J. Clarkson
2:19.0,,,78-61,,J. Clarkson misses 2-pt shot from 7 ft
2:18.0,,,78-61,,Offensive rebound by J. Clarkson
2:14.0,,,78-61,,L. Nance misses 2-pt shot from 3 ft
2:13.0,,,78-61,,Offensive rebound by L. Nance
2:10.0,,,78-63,2,L. Nance makes 2-pt shot at rim
2:10.0,Indiana full timeout,,78-63,,
2:10.0,,,78-63,,B. Bass enters the game for R. Hibbert
2:10.0,L. Allen enters the game for C. Miles,,78-63,,
1:52.0,R. Stuckey misses 2-pt shot from 20 ft,,78-63,,
1:51.0,,,78-63,,Defensive rebound by J. Clarkson
1:32.0,,,78-63,,J. Clarkson misses 3-pt shot from 27 ft
1:32.0,,,78-63,,Offensive rebound by M. World Peace
1:15.0,,,78-63,,Turnover by L. Nance (bad pass; steal by P. George)
1:15.0,Jump ball: M. World Peace vs. P. George,,,,Jump ball: M. World Peace vs. P. George
1:02.0,,,78-63,,M. World Peace misses 3-pt shot from 25 ft
1:01.0,Defensive rebound by J. Hill,,78-63,,
0:56.0,L. Allen misses 2-pt shot from 2 ft (block by L. Nance),,78-63,,
0:54.0,,,78-63,,Defensive rebound by B. Bass
0:44.0,Personal foul by J. Hill (drawn by M. World Peace),,78-63,,
0:44.0,,,78-64,1,M. World Peace makes free throw 1 of 2
0:44.0,,,78-65,1,M. World Peace makes free throw 2 of 2
0:37.0,Turnover by M. Ellis (traveling),,78-65,,
0:31.0,,,78-65,,N. Young misses 2-pt shot from 19 ft
0:30.0,,,78-65,,Offensive rebound by B. Bass
0:08.0,,,78-65,,B. Bass misses 2-pt shot from 18 ft
0:04.0,Defensive rebound by R. Stuckey,,78-65,,
0:01.0,,,78-65,,Personal foul by L. Nance (drawn by R. Stuckey)
0:01.0,R. Stuckey makes free throw 1 of 2,1,79-65,,
0:01.0,R. Stuckey makes free throw 2 of 2,1,80-65,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:39.0,,,80-67,2,N. Young makes 2-pt shot from 16 ft
11:19.0,L. Allen makes 2-pt shot from 10 ft (assist by R. Stuckey),2,82-67,,
11:04.0,,,82-69,2,D. Russell makes 2-pt shot from 3 ft
10:52.0,,,82-69,,Def 3 sec tech foul by L. Nance
10:52.0,G. Hill misses technical free throw,,82-69,,
10:52.0,Offensive rebound by Team,,82-69,,
10:44.0,J. Hill misses 2-pt shot from 8 ft,,82-69,,
10:44.0,Offensive rebound by Team,,82-69,,
10:35.0,R. Stuckey misses 2-pt shot from 16 ft,,82-69,,
10:34.0,,,82-69,,Defensive rebound by K. Bryant
10:26.0,,,82-69,,K. Bryant misses 2-pt shot from 19 ft
10:25.0,Defensive rebound by R. Stuckey,,82-69,,
10:20.0,C. Budinger misses 2-pt shot at rim,,82-69,,
10:19.0,,,82-69,,Defensive rebound by K. Bryant
10:10.0,Personal foul by J. Hill (drawn by L. Nance),,82-69,,
9:57.0,,,82-69,,K. Bryant misses 2-pt shot from 15 ft
9:56.0,Defensive rebound by G. Hill,,82-69,,
9:51.0,G. Hill misses 2-pt shot from 1 ft,,82-69,,
9:48.0,Offensive rebound by J. Hill,,82-69,,
9:45.0,J. Hill makes 2-pt shot at rim,2,84-69,,
9:29.0,,,84-71,2,N. Young makes 2-pt shot from 13 ft (assist by B. Bass)
9:13.0,C. Budinger misses 3-pt shot from 24 ft,,84-71,,
9:12.0,,,84-71,,Defensive rebound by D. Russell
9:05.0,,,84-71,,D. Russell misses 3-pt shot from 24 ft
9:03.0,Defensive rebound by J. Hill,,84-71,,
9:02.0,,,84-71,,Personal foul by N. Young (drawn by R. Stuckey)
9:02.0,,,84-71,,J. Clarkson enters the game for D. Russell
9:02.0,,,84-71,,J. Randle enters the game for L. Nance
9:00.0,,,84-71,,Personal foul by N. Young (drawn by R. Stuckey)
8:49.0,G. Hill misses 2-pt shot from 1 ft,,84-71,,
8:48.0,,,84-71,,Defensive rebound by N. Young
8:41.0,,,84-71,,Shooting foul by G. Hill (drawn by N. Young)
8:41.0,Official timeout,,84-71,,
8:41.0,I. Mahinmi enters the game for J. Hill,,84-71,,
8:41.0,P. George enters the game for C. Budinger,,84-71,,
8:41.0,,,84-71,,N. Young misses free throw 1 of 2
8:41.0,,,84-71,,Offensive rebound by Team
8:41.0,,,84-71,,N. Young misses free throw 2 of 2
8:40.0,Defensive rebound by L. Allen,,84-71,,
8:30.0,,,84-71,,Personal foul by J. Randle (drawn by G. Hill)
8:23.0,P. George misses 2-pt shot from 16 ft,,84-71,,
8:21.0,Offensive rebound by R. Stuckey,,84-71,,
8:19.0,R. Stuckey misses 2-pt shot from 2 ft,,84-71,,
8:18.0,,,84-71,,Defensive rebound by J. Clarkson
7:58.0,,,84-71,,Shooting foul by G. Hill (drawn by K. Bryant)
7:58.0,,,84-71,,K. Bryant misses free throw 1 of 2
7:58.0,,,84-71,,Offensive rebound by Team
7:58.0,,,84-72,1,K. Bryant makes free throw 2 of 2
7:42.0,,,84-72,,Personal foul by J. Randle (drawn by P. George)
7:42.0,,,84-72,,M. World Peace enters the game for K. Bryant
7:39.0,Turnover by P. George (bad pass),,84-72,,
7:24.0,,,84-75,3,N. Young makes 3-pt shot from 24 ft
7:12.0,Shooting foul by B. Bass (drawn by R. Stuckey),,84-75,,
7:12.0,R. Stuckey makes free throw 1 of 2,1,85-75,,
7:12.0,C. Miles enters the game for L. Allen,,85-75,,
7:12.0,R. Stuckey makes free throw 2 of 2,1,86-75,,
7:03.0,,,86-77,2,B. Bass makes 2-pt shot from 17 ft (assist by J. Clarkson)
6:40.0,C. Miles misses 2-pt shot from 3 ft,,86-77,,
6:40.0,Offensive rebound by C. Miles,,86-77,,
6:40.0,Shooting foul by J. Randle (drawn by C. Miles),,86-77,,
6:40.0,C. Miles makes free throw 1 of 2,1,87-77,,
6:40.0,M. Ellis enters the game for G. Hill,,87-77,,
6:40.0,C. Miles misses free throw 2 of 2,,87-77,,
6:39.0,,,87-77,,Defensive rebound by J. Randle
6:26.0,,,87-79,2,J. Clarkson makes 2-pt shot from 7 ft
6:11.0,I. Mahinmi misses 2-pt shot at rim,,87-79,,
6:10.0,,,87-79,,Defensive rebound by J. Randle
6:06.0,,,87-81,2,J. Randle makes 2-pt shot at rim
6:06.0,Indiana full timeout,,87-81,,
5:52.0,,,87-81,,Personal foul by M. World Peace (drawn by M. Ellis)
5:52.0,M. Ellis makes free throw 1 of 2,1,88-81,,
5:52.0,M. Ellis makes free throw 2 of 2,1,89-81,,
5:30.0,,,89-81,,J. Randle misses 2-pt shot from 1 ft (block by I. Mahinmi)
5:29.0,Defensive rebound by C. Miles,,89-81,,
5:27.0,Turnover by P. George (bad pass),,89-81,,
5:10.0,,,89-81,,J. Randle misses 2-pt shot from 3 ft (block by C. Miles)
5:08.0,Defensive rebound by R. Stuckey,,89-81,,
5:07.0,Turnover by R. Stuckey (back court),,89-81,,
4:58.0,,,89-81,,J. Clarkson misses 2-pt shot from 6 ft (block by M. Ellis)
4:58.0,,,89-81,,Offensive rebound by Team
