time,Boston,pts.away,score,pts.home,Washington
0:54.0,K. Olynyk makes 2-pt shot from 16 ft (assist by E. Turner),2,24-28,,
0:36.0,,,24-30,2,G. Neal makes 2-pt shot from 17 ft (assist by N. Hilario)
0:29.0,I. Thomas misses 2-pt shot from 14 ft,,24-30,,
0:28.0,,,24-30,,Defensive rebound by N. Hilario
0:08.0,,,24-30,,Shooting foul by T. Zeller (drawn by N. Hilario)
0:08.0,,,24-30,,N. Hilario misses free throw 1 of 2
0:08.0,,,24-30,,Offensive rebound by Team
0:08.0,,,24-31,1,N. Hilario makes free throw 2 of 2
0:03.0,M. Smart misses 3-pt shot from 28 ft,,24-31,,
0:01.0,Offensive rebound by T. Zeller,,24-31,,
0:01.0,T. Zeller misses 2-pt shot from 13 ft,,24-31,,
0:00.0,,,24-31,,Defensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:37.0,,,24-31,,Personal block foul by N. Hilario (drawn by T. Zeller)
11:32.0,K. Olynyk misses 2-pt shot from 1 ft,,24-31,,
11:31.0,,,24-31,,Defensive rebound by J. Dudley
11:27.0,Shooting block foul by E. Turner (drawn by G. Temple),,24-31,,
11:27.0,,,24-32,1,G. Temple makes free throw 1 of 2
11:27.0,,,24-33,1,G. Temple makes free throw 2 of 2
11:19.0,M. Smart makes 2-pt shot at rim,2,26-33,,
11:02.0,,,26-33,,R. Sessions misses 2-pt shot from 3 ft
11:02.0,Defensive rebound by Team,,26-33,,
10:52.0,E. Turner misses 2-pt shot from 6 ft,,26-33,,
10:51.0,Offensive rebound by T. Zeller,,26-33,,
10:50.0,T. Zeller misses 2-pt shot from 3 ft,,26-33,,
10:49.0,,,26-33,,Defensive rebound by G. Neal
10:37.0,,,26-33,,Shooting foul by T. Zeller (drawn by N. Hilario)
10:37.0,,,26-34,1,N. Hilario makes free throw 1 of 2
10:37.0,,,26-34,,J. Wall enters the game for G. Temple
10:37.0,,,26-35,1,N. Hilario makes free throw 2 of 2
10:20.0,K. Olynyk makes 3-pt shot from 24 ft (assist by E. Turner),3,29-35,,
10:08.0,,,29-37,2,N. Hilario makes 2-pt shot at rim (assist by J. Dudley)
9:49.0,A. Bradley misses 3-pt shot from 26 ft,,29-37,,
9:47.0,Offensive rebound by Team,,29-37,,
9:47.0,Shooting foul by G. Neal (drawn by M. Smart),,29-37,,
9:47.0,,,29-37,,M. Gortat enters the game for N. Hilario
9:47.0,M. Smart makes free throw 1 of 2,1,30-37,,
9:47.0,J. Sullinger enters the game for T. Zeller,,30-37,,
9:47.0,M. Smart makes free throw 2 of 2,1,31-37,,
9:35.0,,,31-37,,Turnover by J. Wall (bad pass; steal by J. Sullinger)
9:20.0,M. Smart makes 2-pt shot at rim,2,33-37,,
9:04.0,,,33-37,,G. Neal misses 2-pt shot from 11 ft
9:02.0,Defensive rebound by J. Sullinger,,33-37,,
8:52.0,Turnover by J. Sullinger (lost ball; steal by G. Neal),,33-37,,
8:47.0,,,33-37,,J. Wall misses 2-pt shot at rim
8:45.0,Defensive rebound by M. Smart,,33-37,,
8:40.0,E. Turner misses 2-pt shot from 15 ft (block by J. Wall),,33-37,,
8:36.0,Offensive rebound by E. Turner,,33-37,,
8:28.0,K. Olynyk misses 3-pt shot from 29 ft,,33-37,,
8:27.0,,,33-37,,Defensive rebound by Team
8:27.0,Loose ball foul by J. Sullinger (drawn by J. Dudley),,33-37,,
8:27.0,Official timeout,,33-37,,
8:27.0,J. Jerebko enters the game for E. Turner,,33-37,,
8:16.0,,,33-37,,J. Wall misses 3-pt shot from 26 ft
8:15.0,,,33-37,,Offensive rebound by J. Dudley
8:00.0,,,33-37,,M. Gortat misses 2-pt shot from 8 ft
7:59.0,Defensive rebound by J. Jerebko,,33-37,,
7:44.0,J. Sullinger misses 2-pt shot from 10 ft,,33-37,,
7:43.0,,,33-37,,Defensive rebound by M. Gortat
7:33.0,,,33-37,,G. Neal misses 3-pt shot from 23 ft
7:32.0,,,33-37,,Offensive rebound by Team
7:32.0,Loose ball foul by J. Sullinger (drawn by M. Gortat),,33-37,,
7:27.0,,,33-37,,G. Neal misses 2-pt shot from 7 ft
7:27.0,Defensive rebound by J. Sullinger,,33-37,,
7:05.0,J. Sullinger makes 2-pt shot from 3 ft (assist by M. Smart),2,35-37,,
6:49.0,,,35-37,,G. Neal misses 3-pt shot from 26 ft
6:48.0,,,35-37,,Offensive rebound by J. Dudley
6:41.0,,,35-39,2,J. Wall makes 2-pt shot from 16 ft
6:27.0,M. Smart makes 2-pt shot from 6 ft,2,37-39,,
6:17.0,,,37-39,,J. Dudley misses 3-pt shot from 24 ft
6:16.0,,,37-39,,Offensive rebound by M. Gortat
6:13.0,,,37-41,2,M. Gortat makes 2-pt shot from 8 ft (assist by R. Sessions)
6:01.0,Turnover by M. Smart (bad pass; steal by J. Wall),,37-41,,
5:55.0,Personal foul by J. Jerebko (drawn by G. Neal),,37-41,,
5:55.0,,,37-41,,Washington full timeout
5:55.0,,,37-41,,K. Oubre enters the game for R. Sessions
5:55.0,J. Crowder enters the game for K. Olynyk,,37-41,,
5:55.0,,,37-42,1,G. Neal makes free throw 1 of 2
5:55.0,,,37-42,,G. Neal misses free throw 2 of 2
5:55.0,Defensive rebound by M. Smart,,37-42,,
5:34.0,M. Smart misses 3-pt shot from 27 ft,,37-42,,
5:33.0,,,37-42,,Defensive rebound by M. Gortat
5:20.0,,,37-42,,Turnover by K. Oubre (traveling)
5:20.0,,,37-42,,G. Temple enters the game for G. Neal
5:07.0,J. Sullinger misses 3-pt shot from 27 ft,,37-42,,
5:06.0,,,37-42,,Defensive rebound by M. Gortat
5:02.0,Personal block foul by J. Crowder (drawn by J. Wall),,37-42,,
5:02.0,,,37-43,1,J. Wall makes free throw 1 of 2
5:02.0,I. Thomas enters the game for M. Smart,,37-43,,
5:02.0,,,37-44,1,J. Wall makes free throw 2 of 2
4:51.0,Turnover by A. Bradley (bad pass; steal by J. Wall),,37-44,,
4:42.0,,,37-44,,J. Wall misses 2-pt shot from 19 ft
4:41.0,Defensive rebound by J. Crowder,,37-44,,
4:37.0,Shooting foul by J. Wall (drawn by J. Jerebko),,37-44,,
4:37.0,J. Jerebko makes free throw 1 of 2,1,38-44,,
4:37.0,J. Jerebko misses free throw 2 of 2,,38-44,,
4:36.0,,,38-44,,Defensive rebound by Team
4:18.0,,,38-44,,K. Oubre misses 2-pt shot from 6 ft
4:17.0,,,38-44,,Offensive rebound by M. Gortat
4:16.0,,,38-46,2,M. Gortat makes 2-pt shot from 3 ft
4:05.0,I. Thomas misses 2-pt shot at rim (block by M. Gortat),,38-46,,
4:03.0,,,38-46,,Defensive rebound by J. Wall
4:03.0,,,38-48,2,J. Wall makes 2-pt shot from 3 ft
4:03.0,Boston full timeout,,38-48,,
4:03.0,E. Turner enters the game for J. Sullinger,,38-48,,
4:03.0,A. Johnson enters the game for A. Bradley,,38-48,,
3:49.0,J. Crowder makes 2-pt shot from 1 ft (assist by I. Thomas),2,40-48,,
3:33.0,,,40-50,2,K. Oubre makes 2-pt shot at rim (assist by J. Wall)
3:08.0,I. Thomas misses 2-pt shot from 19 ft,,40-50,,
3:07.0,Offensive rebound by J. Jerebko,,40-50,,
2:56.0,E. Turner makes 2-pt shot from 13 ft,2,42-50,,
2:44.0,,,42-53,3,J. Dudley makes 3-pt shot from 22 ft (assist by G. Temple)
2:34.0,J. Crowder makes 3-pt shot from 25 ft,3,45-53,,
2:10.0,,,45-53,,M. Gortat misses 2-pt shot from 8 ft
2:09.0,Defensive rebound by J. Crowder,,45-53,,
2:05.0,I. Thomas makes 3-pt shot from 26 ft (assist by J. Crowder),3,48-53,,
1:37.0,,,48-55,2,J. Wall makes 2-pt shot from 22 ft
1:26.0,J. Crowder misses 2-pt shot from 2 ft,,48-55,,
1:25.0,Offensive rebound by J. Crowder,,48-55,,
1:24.0,J. Crowder misses 2-pt shot at rim,,48-55,,
1:23.0,,,48-55,,Defensive rebound by K. Oubre
1:16.0,,,48-57,2,J. Wall makes 2-pt shot from 18 ft
0:58.0,J. Crowder makes 2-pt shot at rim,2,50-57,,
0:54.0,,,50-57,,G. Temple misses 2-pt shot from 1 ft (block by A. Johnson)
0:51.0,Defensive rebound by J. Crowder,,50-57,,
0:48.0,Shooting foul by M. Gortat (drawn by I. Thomas),,50-57,,
0:48.0,I. Thomas makes free throw 1 of 2,1,51-57,,
0:48.0,M. Smart enters the game for J. Jerebko,,51-57,,
0:48.0,,,51-57,,R. Sessions enters the game for K. Oubre
0:48.0,,,51-57,,N. Hilario enters the game for M. Gortat
0:48.0,,,51-57,,G. Neal enters the game for J. Wall
0:48.0,I. Thomas makes free throw 2 of 2,1,52-57,,
0:34.0,Loose ball foul by M. Smart (drawn by G. Neal),,52-57,,
0:34.0,,,52-58,1,G. Neal makes free throw 1 of 2
0:34.0,K. Olynyk enters the game for A. Johnson,,52-58,,
0:34.0,,,52-59,1,G. Neal makes free throw 2 of 2
0:18.0,K. Olynyk misses 3-pt shot from 25 ft,,52-59,,
0:17.0,,,52-59,,Defensive rebound by R. Sessions
0:07.0,,,52-61,2,R. Sessions makes 2-pt shot from 10 ft
0:06.0,,,52-61,,Personal foul by N. Hilario (drawn by I. Thomas)
0:06.0,I. Thomas makes free throw 1 of 2,1,53-61,,
0:06.0,,,53-61,,D. Blair enters the game for N. Hilario
0:06.0,,,53-61,,J. Wall enters the game for R. Sessions
0:06.0,A. Johnson enters the game for K. Olynyk,,53-61,,
0:06.0,I. Thomas makes free throw 2 of 2,1,54-61,,
0:00.0,,,54-61,,J. Wall misses 2-pt shot from 17 ft
0:00.0,,,54-61,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:41.0,J. Crowder misses 2-pt shot from 20 ft,,54-61,,
11:40.0,Offensive rebound by J. Sullinger,,54-61,,
11:33.0,A. Bradley misses 2-pt shot from 19 ft,,54-61,,
11:32.0,,,54-61,,Defensive rebound by J. Wall
11:26.0,,,54-64,3,J. Dudley makes 3-pt shot from 27 ft (assist by J. Wall)
11:09.0,J. Sullinger misses 2-pt shot from 4 ft,,54-64,,
11:08.0,,,54-64,,Defensive rebound by J. Dudley
11:03.0,,,54-64,,G. Temple misses 3-pt shot from 27 ft
11:01.0,Defensive rebound by J. Crowder,,54-64,,
10:55.0,A. Bradley makes 2-pt shot at rim (assist by I. Thomas),2,56-64,,
10:34.0,,,56-64,,J. Wall misses 2-pt shot from 16 ft
10:33.0,Defensive rebound by J. Sullinger,,56-64,,
10:21.0,I. Thomas makes 3-pt shot from 25 ft (assist by J. Sullinger),3,59-64,,
9:54.0,,,59-64,,J. Dudley misses 2-pt shot from 21 ft
9:53.0,Defensive rebound by I. Thomas,,59-64,,
9:44.0,I. Thomas misses 3-pt shot from 24 ft,,59-64,,
9:43.0,Offensive rebound by A. Bradley,,59-64,,
9:37.0,J. Sullinger makes 2-pt shot from 9 ft (assist by A. Bradley),2,61-64,,
9:21.0,,,61-64,,Turnover by J. Dudley (lost ball; steal by I. Thomas)
9:16.0,J. Crowder makes 2-pt shot at rim (assist by I. Thomas),2,63-64,,
9:16.0,,,63-64,,Washington full timeout
8:57.0,,,63-64,,M. Gortat misses 2-pt shot from 13 ft
8:56.0,Defensive rebound by J. Sullinger,,63-64,,
8:38.0,J. Sullinger makes 2-pt shot from 15 ft (assist by J. Crowder),2,65-64,,
8:26.0,,,65-64,,K. Oubre misses 3-pt shot from 26 ft
8:25.0,,,65-64,,Offensive rebound by G. Temple
8:17.0,Personal foul by A. Johnson (drawn by M. Gortat),,65-64,,
8:06.0,,,65-64,,K. Oubre misses 2-pt shot from 1 ft
8:05.0,,,65-64,,Offensive rebound by K. Oubre
8:04.0,,,65-64,,K. Oubre misses 2-pt shot from 2 ft
8:03.0,Defensive rebound by J. Sullinger,,65-64,,
7:59.0,I. Thomas makes 3-pt shot from 25 ft,3,68-64,,
7:48.0,,,68-66,2,J. Wall makes 2-pt shot from 2 ft
7:41.0,J. Crowder misses 3-pt shot from 27 ft,,68-66,,
7:39.0,Offensive rebound by A. Bradley,,68-66,,
7:28.0,,,68-66,,Personal foul by M. Gortat (drawn by I. Thomas)
7:19.0,J. Sullinger misses 3-pt shot from 26 ft,,68-66,,
7:18.0,,,68-66,,Defensive rebound by K. Oubre
7:11.0,,,68-68,2,J. Wall makes 2-pt shot from 4 ft
6:57.0,Turnover by I. Thomas (bad pass; steal by J. Wall),,68-68,,
6:47.0,,,68-71,3,K. Oubre makes 3-pt shot from 24 ft (assist by J. Wall)
6:24.0,Shooting foul by J. Dudley (drawn by J. Sullinger),,68-71,,
6:24.0,J. Sullinger makes free throw 1 of 2,1,69-71,,
6:24.0,J. Sullinger makes free throw 2 of 2,1,70-71,,
6:11.0,,,70-73,2,M. Gortat makes 2-pt shot from 6 ft (assist by J. Wall)
5:51.0,J. Crowder misses 2-pt shot from 8 ft,,70-73,,
5:50.0,,,70-73,,Defensive rebound by G. Temple
5:42.0,,,70-73,,Turnover by J. Wall (bad pass; steal by A. Bradley)
5:42.0,,,70-73,,Personal take foul by J. Dudley (drawn by A. Bradley)
5:30.0,J. Sullinger makes 2-pt shot from 6 ft (assist by A. Bradley),2,72-73,,
5:17.0,,,72-75,2,M. Gortat makes 2-pt shot from 5 ft (assist by G. Temple)
5:02.0,,,72-75,,Personal foul by J. Dudley (drawn by A. Johnson)
5:02.0,,,72-75,,N. Hilario enters the game for M. Gortat
5:02.0,M. Smart enters the game for A. Johnson,,72-75,,
4:47.0,A. Bradley misses 3-pt shot from 25 ft,,72-75,,
4:46.0,,,72-75,,Defensive rebound by J. Wall
4:41.0,Shooting block foul by J. Sullinger (drawn by J. Wall),,72-75,,
4:41.0,,,72-76,1,J. Wall makes free throw 1 of 2
4:41.0,,,72-76,,G. Neal enters the game for J. Dudley
4:41.0,,,72-77,1,J. Wall makes free throw 2 of 2
4:25.0,Offensive foul by J. Sullinger,,72-77,,
4:25.0,Turnover by J. Sullinger (offensive foul),,72-77,,
4:25.0,A. Johnson enters the game for J. Sullinger,,72-77,,
4:07.0,,,72-79,2,N. Hilario makes 2-pt shot at rim (assist by G. Temple)
3:59.0,Boston full timeout,,72-79,,
3:59.0,E. Turner enters the game for A. Bradley,,72-79,,
3:52.0,Shooting foul by G. Temple (drawn by I. Thomas),,72-79,,
3:52.0,I. Thomas makes free throw 1 of 2,1,73-79,,
3:52.0,I. Thomas makes free throw 2 of 2,1,74-79,,
3:40.0,,,74-79,,J. Wall misses 2-pt shot from 18 ft
3:39.0,Defensive rebound by J. Crowder,,74-79,,
3:33.0,M. Smart makes 2-pt shot from 6 ft (assist by J. Crowder),2,76-79,,
3:07.0,,,76-79,,Shooting foul by I. Thomas (drawn by G. Neal)
3:07.0,,,76-80,1,G. Neal makes free throw 1 of 2
3:07.0,,,76-81,1,G. Neal makes free throw 2 of 2
2:53.0,Turnover by I. Thomas (lost ball; steal by J. Wall),,76-81,,
2:43.0,,,76-81,,Turnover by K. Oubre (step out of bounds)
2:31.0,Turnover by M. Smart (bad pass; steal by K. Oubre),,76-81,,
2:27.0,,,76-83,2,G. Temple makes 2-pt shot at rim (assist by N. Hilario)
2:27.0,,,76-83,,Shooting foul by A. Johnson (drawn by G. Temple)
2:27.0,K. Olynyk enters the game for I. Thomas,,76-83,,
2:27.0,,,76-84,1,G. Temple makes free throw 1 of 1
2:06.0,J. Jerebko enters the game for A. Johnson,,76-84,,
2:04.0,K. Olynyk makes 2-pt shot from 20 ft (assist by E. Turner),2,78-84,,
1:46.0,,,78-84,,Offensive foul by J. Wall
1:46.0,,,78-84,,Turnover by J. Wall (offensive foul)
1:30.0,J. Crowder misses 2-pt shot from 13 ft,,78-84,,
1:30.0,Offensive rebound by M. Smart,,78-84,,
1:28.0,M. Smart misses 2-pt shot from 1 ft,,78-84,,
1:27.0,,,78-84,,Defensive rebound by N. Hilario
1:18.0,,,78-84,,K. Oubre misses 3-pt shot from 26 ft
1:17.0,Defensive rebound by J. Crowder,,78-84,,
1:11.0,Shooting foul by N. Hilario (drawn by M. Smart),,78-84,,
1:11.0,M. Smart makes free throw 1 of 3,1,79-84,,
1:11.0,M. Smart makes free throw 2 of 3,1,80-84,,
1:11.0,,,80-84,,R. Sessions enters the game for K. Oubre
1:11.0,,,80-84,,M. Gortat enters the game for N. Hilario
1:11.0,M. Smart makes free throw 3 of 3,1,81-84,,
0:51.0,,,81-86,2,J. Wall makes 2-pt shot from 18 ft
0:34.0,J. Crowder misses 3-pt shot from 25 ft,,81-86,,
0:33.0,,,81-86,,Defensive rebound by R. Sessions
0:09.0,,,81-86,,G. Neal misses 2-pt shot from 21 ft
0:08.0,Defensive rebound by J. Jerebko,,81-86,,
0:01.0,E. Turner makes 2-pt shot from 4 ft,2,83-86,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:43.0,,,83-86,,Turnover by J. Dudley (bad pass; steal by J. Jerebko)
11:37.0,A. Bradley makes 2-pt shot from 18 ft (assist by M. Smart),2,85-86,,
11:17.0,,,85-86,,Turnover by R. Sessions (traveling)
10:57.0,J. Jerebko misses 3-pt shot from 24 ft,,85-86,,
10:56.0,,,85-86,,Defensive rebound by G. Neal
10:48.0,,,85-86,,Turnover by J. Wall (bad pass; steal by M. Smart)
10:36.0,J. Jerebko misses 3-pt shot from 23 ft,,85-86,,
10:36.0,,,85-86,,Defensive rebound by J. Wall
10:28.0,,,85-88,2,J. Dudley makes 2-pt shot from 19 ft (assist by J. Wall)
10:16.0,,,85-88,,Personal foul by G. Neal (drawn by E. Turner)
10:09.0,Shooting foul by M. Gortat (drawn by K. Olynyk),,85-88,,
10:09.0,K. Olynyk makes free throw 1 of 2,1,86-88,,
10:09.0,K. Olynyk makes free throw 2 of 2,1,87-88,,
9:55.0,,,87-90,2,J. Wall makes 2-pt shot from 17 ft
9:45.0,M. Smart misses 2-pt shot from 10 ft,,87-90,,
9:44.0,Offensive rebound by E. Turner,,87-90,,
9:38.0,A. Bradley misses 2-pt shot from 22 ft,,87-90,,
9:36.0,Offensive rebound by J. Jerebko,,87-90,,
9:36.0,J. Jerebko makes 2-pt shot from 2 ft,2,89-90,,
9:36.0,,,89-90,,Washington full timeout
9:24.0,,,89-90,,Turnover by J. Wall (lost ball; steal by A. Bradley)
9:20.0,A. Bradley misses 2-pt shot from 1 ft (block by M. Gortat),,89-90,,
9:19.0,Offensive rebound by J. Jerebko,,89-90,,
9:18.0,J. Jerebko misses 2-pt shot at rim,,89-90,,
9:18.0,Offensive rebound by Team,,89-90,,
9:14.0,K. Olynyk misses 3-pt shot from 22 ft,,89-90,,
9:13.0,Offensive rebound by J. Jerebko,,89-90,,
9:10.0,K. Olynyk makes 2-pt shot from 1 ft (assist by E. Turner),2,91-90,,
8:51.0,,,91-90,,Shooting foul by M. Smart (drawn by R. Sessions)
8:51.0,,,91-91,1,R. Sessions makes free throw 1 of 2
8:51.0,,,91-92,1,R. Sessions makes free throw 2 of 2
8:38.0,Turnover by M. Smart (lost ball; steal by M. Gortat),,91-92,,
8:33.0,,,91-94,2,J. Wall makes 2-pt shot at rim (assist by M. Gortat)
8:12.0,J. Jerebko makes 2-pt shot from 1 ft (assist by E. Turner),2,93-94,,
7:46.0,,,93-94,,J. Dudley misses 3-pt shot from 26 ft
7:46.0,Defensive rebound by K. Olynyk,,93-94,,
7:34.0,E. Turner misses 2-pt shot at rim,,93-94,,
7:33.0,Offensive rebound by K. Olynyk,,93-94,,
7:31.0,K. Olynyk misses 2-pt shot from 2 ft,,93-94,,
7:31.0,,,93-94,,Defensive rebound by J. Wall
7:27.0,,,93-97,3,R. Sessions makes 3-pt shot from 25 ft (assist by J. Wall)
7:25.0,Boston full timeout,,93-97,,
7:09.0,Shooting foul by J. Dudley (drawn by E. Turner),,93-97,,
7:09.0,E. Turner makes free throw 1 of 2,1,94-97,,
