time,Milwaukee,pts.away,score,pts.home,Cleveland
1:11.0,,,23-25,,M. Dellavedova misses 2-pt shot at rim (block by J. Henson)
1:10.0,Defensive rebound by G. Antetokounmpo,,23-25,,
0:57.0,Offensive charge foul by G. Vasquez,,23-25,,
0:57.0,Turnover by G. Vasquez (offensive foul),,23-25,,
0:34.0,,,23-28,3,J. Jones makes 3-pt shot from 25 ft (assist by M. Dellavedova)
0:18.0,G. Antetokounmpo misses 2-pt shot from 5 ft,,23-28,,
0:18.0,,,23-28,,Defensive rebound by T. Thompson
0:00.0,,,23-28,,J. Cunningham misses 3-pt shot from 22 ft
0:00.0,,,23-28,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:44.0,,,23-28,,R. Jefferson misses 3-pt shot from 22 ft
11:44.0,,,23-28,,Offensive rebound by Team
11:39.0,,,23-28,,J. Jones misses 3-pt shot from 25 ft
11:39.0,Defensive rebound by O. Mayo,,23-28,,
11:23.0,O. Mayo misses 3-pt shot from 24 ft,,23-28,,
11:23.0,,,23-28,,Defensive rebound by J. Cunningham
11:15.0,,,23-28,,M. Dellavedova misses 3-pt shot from 24 ft
11:14.0,Defensive rebound by G. Vasquez,,23-28,,
11:04.0,J. Bayless makes 2-pt shot from 17 ft,2,25-28,,
10:42.0,,,25-30,2,T. Thompson makes 2-pt shot from 1 ft (assist by J. Jones)
10:33.0,,,25-30,,Personal foul by M. Dellavedova (drawn by J. Parker)
10:33.0,,,25-30,,K. Love enters the game for J. Jones
10:22.0,J. Bayless misses 2-pt shot from 17 ft,,25-30,,
10:21.0,,,25-30,,Defensive rebound by J. Cunningham
10:15.0,,,25-32,2,K. Love makes 2-pt shot at rim (assist by R. Jefferson)
9:43.0,J. Parker makes 2-pt shot from 1 ft,2,27-32,,
9:26.0,,,27-34,2,T. Thompson makes 2-pt shot at rim (assist by J. Cunningham)
9:08.0,J. Bayless makes 2-pt shot from 1 ft,2,29-34,,
8:56.0,,,29-34,,K. Love misses 3-pt shot from 25 ft
8:56.0,,,29-34,,Offensive rebound by Team
8:56.0,Loose ball foul by J. Henson (drawn by T. Thompson),,29-34,,
8:56.0,Official timeout,,29-34,,
8:56.0,,,29-34,,J. Smith enters the game for J. Cunningham
8:48.0,,,29-34,,Turnover by K. Love (bad pass; steal by O. Mayo)
8:43.0,Turnover by G. Vasquez (lost ball; steal by K. Love),,29-34,,
8:36.0,,,29-36,2,K. Love makes 2-pt shot at rim (assist by T. Thompson)
8:21.0,J. Parker makes 2-pt shot from 1 ft (assist by G. Vasquez),2,31-36,,
8:04.0,,,31-36,,Turnover by K. Love (bad pass; steal by O. Mayo)
8:02.0,Turnover by J. Parker (bad pass; steal by R. Jefferson),,31-36,,
8:00.0,,,31-36,,R. Jefferson misses 2-pt shot from 1 ft
7:59.0,,,31-36,,Offensive rebound by K. Love
7:59.0,,,31-36,,Shooting foul by O. Mayo (drawn by K. Love)
7:59.0,,,31-37,1,K. Love makes free throw 1 of 2
7:59.0,,,31-37,,T. Mozgov enters the game for T. Thompson
7:59.0,,,31-38,1,K. Love makes free throw 2 of 2
7:44.0,J. Bayless misses 3-pt shot from 22 ft,,31-38,,
7:44.0,,,31-38,,Defensive rebound by K. Love
7:22.0,,,31-40,2,R. Jefferson makes 2-pt shot from 10 ft (assist by M. Dellavedova)
7:09.0,G. Monroe enters the game for J. Henson,,31-40,,
7:09.0,,,31-40,,L. James enters the game for R. Jefferson
7:09.0,G. Antetokounmpo enters the game for J. Bayless,,31-40,,
7:06.0,Turnover by G. Monroe (turnover),,31-40,,
6:46.0,,,31-43,3,K. Love makes 3-pt shot from 25 ft (assist by M. Dellavedova)
6:42.0,Milwaukee full timeout,,31-43,,
6:42.0,M. Carter-Williams enters the game for G. Vasquez,,31-43,,
6:42.0,K. Middleton enters the game for O. Mayo,,31-43,,
6:24.0,G. Monroe misses 2-pt shot at rim,,31-43,,
6:24.0,,,31-43,,Defensive rebound by K. Love
6:18.0,,,31-43,,T. Mozgov misses 2-pt shot at rim
6:17.0,Defensive rebound by G. Monroe,,31-43,,
6:06.0,M. Carter-Williams makes 2-pt shot from 5 ft (assist by G. Monroe),2,33-43,,
6:06.0,Shooting foul by T. Mozgov (drawn by M. Carter-Williams),,33-43,,
6:06.0,M. Carter-Williams misses free throw 1 of 1,,33-43,,
6:05.0,,,33-43,,Defensive rebound by K. Love
5:38.0,,,33-45,2,L. James makes 2-pt shot from 11 ft
5:15.0,K. Middleton misses 2-pt shot from 19 ft,,33-45,,
5:14.0,,,33-45,,Defensive rebound by M. Dellavedova
5:09.0,,,33-47,2,L. James makes 2-pt shot at rim (assist by M. Dellavedova)
4:47.0,J. Parker misses 2-pt shot from 6 ft,,33-47,,
4:47.0,,,33-47,,Defensive rebound by K. Love
4:46.0,,,33-47,,Turnover by K. Love (turnover)
4:46.0,,,33-47,,J. Cunningham enters the game for M. Dellavedova
4:46.0,,,33-47,,R. Jefferson enters the game for L. James
4:46.0,J. O'Bryant enters the game for J. Parker,,33-47,,
4:41.0,,,33-47,,Personal foul by J. Cunningham (drawn by M. Carter-Williams)
4:32.0,G. Antetokounmpo makes 3-pt shot from 23 ft (assist by M. Carter-Williams),3,36-47,,
4:08.0,,,36-49,2,J. Smith makes 2-pt shot from 21 ft
3:49.0,G. Monroe misses 2-pt shot from 7 ft,,36-49,,
3:48.0,,,36-49,,Defensive rebound by K. Love
3:39.0,Personal foul by M. Carter-Williams (drawn by J. Cunningham),,36-49,,
3:28.0,,,36-51,2,J. Smith makes 2-pt shot from 15 ft
3:17.0,M. Carter-Williams makes 2-pt shot from 4 ft,2,38-51,,
3:17.0,Shooting foul by J. Cunningham (drawn by M. Carter-Williams),,38-51,,
3:17.0,,,38-51,,L. James enters the game for J. Cunningham
3:17.0,M. Carter-Williams makes free throw 1 of 1,1,39-51,,
2:57.0,,,39-51,,Cleveland full timeout
2:51.0,,,39-54,3,K. Love makes 3-pt shot from 27 ft (assist by L. James)
2:42.0,,,39-54,,Personal foul by T. Mozgov (drawn by G. Monroe)
2:42.0,G. Monroe makes free throw 1 of 2,1,40-54,,
2:42.0,,,40-54,,T. Thompson enters the game for T. Mozgov
2:42.0,G. Monroe misses free throw 2 of 2,,40-54,,
2:41.0,,,40-54,,Defensive rebound by K. Love
2:29.0,Personal foul by J. O'Bryant (drawn by L. James),,40-54,,
2:29.0,,,40-54,,M. Dellavedova enters the game for K. Love
2:29.0,J. Bayless enters the game for J. O'Bryant,,40-54,,
2:21.0,,,40-54,,Shooting foul by M. Carter-Williams (drawn by M. Dellavedova)
2:21.0,,,40-54,,M. Dellavedova misses free throw 1 of 2
2:21.0,,,40-54,,Offensive rebound by Team
2:21.0,G. Vasquez enters the game for M. Carter-Williams,,40-54,,
2:21.0,,,40-55,1,M. Dellavedova makes free throw 2 of 2
2:02.0,G. Vasquez misses 2-pt shot from 2 ft,,40-55,,
2:01.0,,,40-55,,Defensive rebound by L. James
1:56.0,,,40-55,,R. Jefferson misses 2-pt shot at rim
1:56.0,,,40-55,,Offensive rebound by L. James
1:56.0,,,40-57,2,L. James makes 2-pt shot at rim
1:56.0,,,40-57,,Shooting foul by J. Bayless (drawn by L. James)
1:56.0,,,40-58,1,L. James makes free throw 1 of 1
1:42.0,Shooting foul by R. Jefferson (drawn by K. Middleton),,40-58,,
1:42.0,K. Middleton makes free throw 1 of 2,1,41-58,,
1:42.0,K. Middleton makes free throw 2 of 2,1,42-58,,
1:27.0,,,42-60,2,T. Thompson makes 2-pt shot from 1 ft (assist by L. James)
1:27.0,,,42-60,,Shooting foul by K. Middleton (drawn by T. Thompson)
1:27.0,,,42-61,1,T. Thompson makes free throw 1 of 1
1:17.0,,,42-61,,Personal foul by T. Thompson (drawn by G. Monroe)
1:17.0,G. Monroe misses free throw 1 of 2,,42-61,,
1:17.0,Offensive rebound by Team,,42-61,,
1:17.0,G. Monroe misses free throw 2 of 2,,42-61,,
1:16.0,,,42-61,,Defensive rebound by T. Thompson
0:56.0,,,42-61,,L. James misses 2-pt shot from 13 ft
0:55.0,,,42-61,,Offensive rebound by T. Thompson
0:45.0,,,42-63,2,T. Thompson makes 2-pt shot at rim (assist by L. James)
0:41.0,,,42-63,,Flagrant foul type 1 by R. Jefferson (drawn by K. Middleton)
0:41.0,K. Middleton makes flagrant free throw 1 of 2,1,43-63,,
0:41.0,K. Middleton makes flagrant free throw 2 of 2,1,44-63,,
0:32.0,G. Monroe makes 2-pt shot from 1 ft (assist by K. Middleton),2,46-63,,
0:13.0,,,46-63,,L. James misses 2-pt shot from 1 ft
0:12.0,Defensive rebound by G. Antetokounmpo,,46-63,,
0:03.0,G. Monroe misses 2-pt shot from 7 ft (block by R. Jefferson),,46-63,,
0:03.0,Offensive rebound by Team,,46-63,,
0:00.0,Shooting foul by J. Smith (drawn by G. Antetokounmpo),,46-63,,
0:00.0,G. Antetokounmpo makes free throw 1 of 2,1,47-63,,
0:00.0,G. Antetokounmpo makes free throw 2 of 2,1,48-63,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:45.0,,,48-63,,Turnover by L. James (turnover)
11:33.0,Turnover by G. Monroe (turnover),,48-63,,
11:07.0,,,48-63,,J. Smith misses 3-pt shot from 22 ft
11:07.0,Defensive rebound by J. Parker,,48-63,,
10:58.0,M. Carter-Williams misses 2-pt shot from 17 ft,,48-63,,
10:57.0,,,48-63,,Defensive rebound by L. James
10:49.0,Personal foul by J. Parker (drawn by K. Love),,48-63,,
10:39.0,,,48-65,2,L. James makes 2-pt shot from 19 ft (assist by M. Dellavedova)
10:16.0,K. Middleton misses 2-pt shot from 1 ft,,48-65,,
10:10.0,Offensive rebound by G. Monroe,,48-65,,
10:10.0,G. Monroe makes 2-pt shot from 1 ft,2,50-65,,
9:57.0,,,50-65,,J. Smith misses 3-pt shot from 25 ft
9:57.0,,,50-65,,Offensive rebound by T. Thompson
9:36.0,,,50-68,3,J. Smith makes 3-pt shot from 26 ft (assist by M. Dellavedova)
9:08.0,G. Monroe makes 2-pt shot from 1 ft (assist by M. Carter-Williams),2,52-68,,
8:52.0,Personal foul by G. Antetokounmpo (drawn by K. Love),,52-68,,
8:49.0,,,52-68,,Offensive foul by L. James
8:49.0,,,52-68,,Turnover by L. James (offensive foul)
8:41.0,K. Middleton makes 2-pt shot from 17 ft (assist by M. Carter-Williams),2,54-68,,
8:18.0,,,54-68,,K. Love misses 3-pt shot from 24 ft (block by J. Parker)
8:17.0,,,54-68,,Offensive rebound by K. Love
8:15.0,,,54-68,,K. Love misses 2-pt shot from 8 ft
8:13.0,,,54-68,,Offensive rebound by T. Thompson
8:13.0,,,54-68,,T. Thompson misses 2-pt shot at rim
8:11.0,Defensive rebound by G. Monroe,,54-68,,
8:05.0,M. Carter-Williams makes 2-pt shot from 14 ft,2,56-68,,
7:48.0,Personal foul by M. Carter-Williams (drawn by K. Love),,56-68,,
7:33.0,,,56-70,2,L. James makes 2-pt shot from 19 ft (assist by J. Smith)
7:14.0,G. Antetokounmpo misses 3-pt shot from 24 ft,,56-70,,
7:14.0,,,56-70,,Defensive rebound by T. Thompson
7:11.0,,,56-70,,Cleveland full timeout
7:11.0,,,56-70,,J. Jones enters the game for K. Love
6:58.0,,,56-70,,J. Smith misses 3-pt shot from 24 ft
6:58.0,Defensive rebound by G. Monroe,,56-70,,
6:38.0,M. Carter-Williams makes 2-pt shot from 6 ft (assist by G. Antetokounmpo),2,58-70,,
6:19.0,,,58-70,,Turnover by M. Dellavedova (bad pass; steal by G. Antetokounmpo)
6:11.0,G. Antetokounmpo makes 2-pt shot at rim (assist by J. Parker),2,60-70,,
5:47.0,,,60-70,,Shooting foul by G. Antetokounmpo (drawn by L. James)
5:47.0,,,60-71,1,L. James makes free throw 1 of 2
5:47.0,,,60-71,,A. Varejao enters the game for T. Thompson
5:47.0,,,60-71,,J. Cunningham enters the game for M. Dellavedova
5:47.0,,,60-72,1,L. James makes free throw 2 of 2
5:22.0,M. Carter-Williams misses 2-pt shot from 13 ft,,60-72,,
5:18.0,Offensive rebound by G. Antetokounmpo,,60-72,,
5:18.0,G. Antetokounmpo makes 2-pt shot from 1 ft,2,62-72,,
5:03.0,Personal foul by K. Middleton (drawn by J. Jones),,62-72,,
5:03.0,,,62-72,,J. Jones misses free throw 1 of 2
5:03.0,,,62-72,,Offensive rebound by Team
5:03.0,,,62-73,1,J. Jones makes free throw 2 of 2
4:46.0,G. Monroe makes 2-pt shot at rim,2,64-73,,
4:46.0,Loose ball foul by M. Carter-Williams (drawn by J. Cunningham),,64-73,,
4:46.0,G. Vasquez enters the game for M. Carter-Williams,,64-73,,
4:46.0,,,64-74,1,J. Cunningham makes free throw 1 of 2
4:46.0,,,64-75,1,J. Cunningham makes free throw 2 of 2
4:27.0,Shooting foul by A. Varejao (drawn by J. Parker),,64-75,,
4:27.0,J. Parker makes free throw 1 of 2,1,65-75,,
4:27.0,,,65-75,,K. Love enters the game for J. Jones
4:27.0,J. Parker makes free throw 2 of 2,1,66-75,,
4:15.0,,,66-78,3,L. James makes 3-pt shot from 25 ft (assist by J. Cunningham)
3:51.0,G. Antetokounmpo makes 2-pt shot from 5 ft,2,68-78,,
3:35.0,,,68-80,2,A. Varejao makes 2-pt shot from 15 ft (assist by J. Cunningham)
3:24.0,,,68-80,,Shooting block foul by A. Varejao (drawn by G. Monroe)
3:24.0,G. Monroe makes free throw 1 of 2,1,69-80,,
3:24.0,,,69-80,,M. Dellavedova enters the game for L. James
3:24.0,J. Bayless enters the game for G. Antetokounmpo,,69-80,,
3:24.0,J. O'Bryant enters the game for J. Parker,,69-80,,
3:24.0,,,69-80,,R. Jefferson enters the game for J. Smith
3:24.0,G. Monroe makes free throw 2 of 2,1,70-80,,
3:14.0,,,70-80,,Turnover by R. Jefferson (step out of bounds)
3:02.0,K. Middleton makes 2-pt shot from 18 ft (assist by G. Vasquez),2,72-80,,
2:39.0,,,72-82,2,J. Cunningham makes 2-pt shot from 18 ft (assist by M. Dellavedova)
2:21.0,K. Middleton makes 2-pt shot from 10 ft (assist by G. Vasquez),2,74-82,,
2:00.0,,,74-84,2,A. Varejao makes 2-pt shot from 17 ft (assist by J. Cunningham)
1:40.0,J. Bayless makes 3-pt shot from 25 ft (assist by J. O'Bryant),3,77-84,,
1:19.0,,,77-84,,M. Dellavedova misses 3-pt shot from 24 ft
1:19.0,Defensive rebound by J. O'Bryant,,77-84,,
0:54.0,G. Vasquez misses 2-pt shot from 22 ft,,77-84,,
0:53.0,,,77-84,,Defensive rebound by A. Varejao
0:42.0,,,77-84,,Turnover by J. Cunningham (lost ball; steal by G. Vasquez)
0:39.0,Shooting foul by R. Jefferson (drawn by K. Middleton),,77-84,,
0:39.0,Milwaukee full timeout,,77-84,,
0:39.0,J. Henson enters the game for G. Monroe,,77-84,,
0:39.0,K. Middleton makes free throw 1 of 2,1,78-84,,
0:39.0,K. Middleton makes free throw 2 of 2,1,79-84,,
0:22.0,,,79-84,,R. Jefferson misses 2-pt shot from 20 ft
0:21.0,,,79-84,,Offensive rebound by A. Varejao
0:21.0,,,79-86,2,A. Varejao makes 2-pt shot at rim
0:00.0,K. Middleton misses 2-pt shot from 6 ft,,79-86,,
0:00.0,Offensive rebound by Team,,79-86,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:47.0,G. Antetokounmpo misses 2-pt shot from 1 ft (block by K. Love),,79-86,,
11:47.0,,,79-86,,Defensive rebound by Team
11:27.0,,,79-86,,K. Love misses 2-pt shot from 8 ft
11:25.0,Defensive rebound by J. Bayless,,79-86,,
11:15.0,Turnover by J. Bayless (turnover),,79-86,,
11:03.0,Personal foul by G. Antetokounmpo (drawn by K. Love),,79-86,,
10:59.0,Personal foul by J. Bayless (drawn by M. Dellavedova),,79-86,,
10:50.0,Personal foul by G. Vasquez (drawn by R. Jefferson),,79-86,,
10:50.0,,,79-86,,L. James enters the game for R. Jefferson
10:35.0,,,79-89,3,M. Dellavedova makes 3-pt shot from 23 ft (assist by K. Love)
10:21.0,J. Bayless misses 2-pt shot from 16 ft,,79-89,,
10:20.0,,,79-89,,Defensive rebound by K. Love
10:03.0,Violation by J. Henson (kicked ball),,79-89,,
9:54.0,,,79-89,,Shooting foul by J. Henson (drawn by A. Varejao)
9:54.0,,,79-90,1,A. Varejao makes free throw 1 of 2
9:54.0,,,79-90,,A. Varejao misses free throw 2 of 2
9:54.0,,,79-90,,Offensive rebound by L. James
9:35.0,,,79-92,2,A. Varejao makes 2-pt shot from 15 ft (assist by M. Dellavedova)
9:20.0,Offensive foul by G. Vasquez,,79-92,,
9:20.0,Turnover by G. Vasquez (offensive foul),,79-92,,
9:11.0,,,79-92,,Turnover by L. James (offensive foul)
9:11.0,,,79-92,,Offensive foul by L. James
9:03.0,O. Mayo makes 3-pt shot from 24 ft (assist by J. Bayless),3,82-92,,
8:40.0,,,82-92,,J. Smith misses 3-pt shot from 25 ft
8:39.0,,,82-92,,Offensive rebound by K. Love
8:39.0,,,82-94,2,K. Love makes 2-pt shot from 1 ft
8:39.0,,,82-94,,Shooting foul by J. Bayless (drawn by K. Love)
8:39.0,Official timeout,,82-94,,
8:39.0,J. Parker enters the game for J. Bayless,,82-94,,
8:39.0,K. Middleton enters the game for J. Henson,,82-94,,
8:39.0,,,82-95,1,K. Love makes free throw 1 of 1
8:27.0,,,82-95,,Personal foul by J. Smith (drawn by G. Vasquez)
8:19.0,G. Antetokounmpo makes 2-pt shot from 1 ft,2,84-95,,
8:08.0,,,84-95,,K. Love misses 2-pt shot at rim
8:06.0,,,84-95,,Offensive rebound by K. Love
8:06.0,,,84-95,,K. Love misses 2-pt shot from 1 ft
8:05.0,,,84-95,,Offensive rebound by K. Love
8:02.0,,,84-97,2,M. Dellavedova makes 2-pt shot from 4 ft (assist by A. Varejao)
7:47.0,G. Vasquez misses 3-pt shot from 24 ft,,84-97,,
7:46.0,,,84-97,,Defensive rebound by J. Smith
7:38.0,,,84-97,,K. Love misses 2-pt shot from 1 ft
7:35.0,Defensive rebound by K. Middleton,,84-97,,
7:29.0,K. Middleton misses 2-pt shot at rim,,84-97,,
7:27.0,Offensive rebound by G. Antetokounmpo,,84-97,,
7:27.0,G. Antetokounmpo makes 2-pt shot at rim,2,86-97,,
7:05.0,Personal foul by K. Middleton (drawn by L. James),,86-97,,
7:05.0,,,86-98,1,L. James makes free throw 1 of 2
7:05.0,,,86-99,1,L. James makes free throw 2 of 2
6:55.0,K. Middleton misses 3-pt shot from 25 ft,,86-99,,
6:54.0,,,86-99,,Defensive rebound by K. Love
6:40.0,,,86-99,,Offensive foul by M. Dellavedova
6:40.0,,,86-99,,Turnover by M. Dellavedova (offensive foul)
6:40.0,,,86-99,,T. Thompson enters the game for A. Varejao
6:20.0,G. Antetokounmpo makes 2-pt shot at rim (assist by G. Vasquez),2,88-99,,
6:07.0,,,88-99,,Turnover by L. James (bad pass; steal by G. Antetokounmpo)
5:55.0,J. Parker makes 2-pt shot at rim (assist by K. Middleton),2,90-99,,
5:55.0,,,90-99,,Cleveland full timeout
5:46.0,Personal foul by K. Middleton (drawn by L. James),,90-99,,
5:46.0,,,90-99,,L. James misses free throw 1 of 2
5:46.0,,,90-99,,Offensive rebound by Team
5:46.0,,,90-100,1,L. James makes free throw 2 of 2
5:36.0,,,90-100,,Personal foul by T. Thompson (drawn by J. Parker)
5:30.0,J. Parker makes 2-pt shot at rim (assist by O. Mayo),2,92-100,,
5:16.0,Personal foul by K. Middleton (drawn by L. James),,92-100,,
5:16.0,Technical foul by K. Middleton (drawn by L. James),,92-100,,
5:16.0,,,92-101,1,M. Dellavedova makes technical free throw
5:16.0,G. Monroe enters the game for K. Middleton,,92-101,,
5:16.0,,,92-102,1,L. James makes free throw 1 of 2
5:16.0,,,92-103,1,L. James makes free throw 2 of 2
5:16.0,Milwaukee full timeout,,92-103,,
5:16.0,M. Carter-Williams enters the game for O. Mayo,,92-103,,
5:16.0,J. Bayless enters the game for G. Vasquez,,92-103,,
4:57.0,G. Monroe misses 2-pt shot from 6 ft,,92-103,,
4:57.0,,,92-103,,Defensive rebound by K. Love
4:57.0,Personal foul by J. Parker (drawn by K. Love),,92-103,,
4:57.0,,,92-104,1,K. Love makes free throw 1 of 2
4:57.0,,,92-105,1,K. Love makes free throw 2 of 2
4:37.0,,,92-105,,Personal foul by T. Thompson (drawn by G. Antetokounmpo)
4:37.0,G. Antetokounmpo makes free throw 1 of 2,1,93-105,,
4:37.0,G. Antetokounmpo makes free throw 2 of 2,1,94-105,,
4:19.0,,,94-105,,Turnover by T. Thompson (3 sec)
4:06.0,M. Carter-Williams misses 2-pt shot from 6 ft,,94-105,,
4:04.0,Offensive rebound by G. Monroe,,94-105,,
4:04.0,G. Monroe makes 2-pt shot at rim,2,96-105,,
4:04.0,Shooting foul by K. Love (drawn by G. Monroe),,96-105,,
4:04.0,G. Monroe misses free throw 1 of 1,,96-105,,
4:04.0,,,96-105,,Defensive rebound by L. James
3:40.0,,,96-107,2,T. Thompson makes 2-pt shot from 7 ft
3:17.0,Shooting foul by L. James (drawn by G. Antetokounmpo),,96-107,,
3:17.0,G. Antetokounmpo makes free throw 1 of 2,1,97-107,,
3:17.0,G. Antetokounmpo makes free throw 2 of 2,1,98-107,,
2:58.0,,,98-109,2,J. Smith makes 2-pt shot at rim
2:50.0,M. Carter-Williams misses 2-pt shot at rim,,98-109,,
2:48.0,,,98-109,,Defensive rebound by T. Thompson
2:34.0,Personal foul by J. Parker (drawn by T. Thompson),,98-109,,
2:34.0,,,98-110,1,T. Thompson makes free throw 1 of 2
2:34.0,,,98-110,,T. Thompson misses free throw 2 of 2
2:33.0,Defensive rebound by G. Monroe,,98-110,,
2:20.0,J. Parker makes 2-pt shot from 13 ft (assist by J. Bayless),2,100-110,,
