time,Minnesota,pts.away,score,pts.home,Sacramento
7:14.0,,,12-10,,Turnover by R. Gay (lost ball; steal by Z. LaVine)
7:08.0,G. Dieng makes 2-pt shot at rim,2,14-10,,
6:46.0,,,14-10,,Turnover by S. Curry (lost ball; steal by Z. LaVine)
6:43.0,Shooting foul by Q. Acy (drawn by Z. LaVine),,14-10,,
6:43.0,,,14-10,,Violation by Team (jump ball)
6:43.0,Z. LaVine makes free throw 1 of 2,1,15-10,,
6:43.0,,,15-10,,E. Moreland enters the game for W. Cauley-Stein
6:43.0,Z. LaVine makes free throw 2 of 2,1,16-10,,
6:30.0,,,16-10,,Turnover by E. Moreland (bad pass)
6:19.0,K. Towns misses 2-pt shot from 21 ft,,16-10,,
6:18.0,,,16-10,,Defensive rebound by R. Gay
6:12.0,,,16-12,2,Q. Acy makes 2-pt shot at rim (assist by R. Gay)
6:04.0,Minnesota full timeout,,16-12,,
5:55.0,Z. LaVine makes 3-pt shot from 25 ft (assist by R. Rubio),3,19-12,,
5:45.0,Personal foul by K. Towns,,19-12,,
5:45.0,N. Bjelica enters the game for K. Towns,,19-12,,
5:38.0,Violation by G. Dieng (kicked ball),,19-12,,
5:29.0,,,19-12,,R. Gay misses 2-pt shot from 12 ft
5:28.0,Defensive rebound by R. Rubio,,19-12,,
5:23.0,Z. LaVine makes 2-pt shot from 2 ft (assist by A. Wiggins),2,21-12,,
5:04.0,,,21-12,,Shooting foul by N. Bjelica (drawn by E. Moreland)
5:04.0,,,21-13,1,E. Moreland makes free throw 1 of 2
5:04.0,,,21-13,,J. Anderson enters the game for S. Curry
5:04.0,,,21-14,1,E. Moreland makes free throw 2 of 2
4:55.0,Shooting foul by R. Gay (drawn by R. Rubio),,21-14,,
4:55.0,R. Rubio misses free throw 1 of 2,,21-14,,
4:55.0,Offensive rebound by Team,,21-14,,
4:55.0,R. Rubio makes free throw 2 of 2,1,22-14,,
4:36.0,,,22-14,,E. Moreland misses 2-pt shot from 4 ft
4:34.0,,,22-14,,Offensive rebound by Q. Acy
4:34.0,,,22-16,2,Q. Acy makes 2-pt shot from 2 ft
4:16.0,Turnover by G. Dieng (lost ball; steal by R. Gay),,22-16,,
4:12.0,,,22-16,,Shooting foul by R. Rubio (drawn by D. Collison)
4:12.0,,,22-17,1,D. Collison makes free throw 1 of 2
4:12.0,T. Jones enters the game for R. Rubio,,22-17,,
4:12.0,,,22-18,1,D. Collison makes free throw 2 of 2
3:58.0,N. Bjelica makes 2-pt shot from 2 ft (assist by G. Dieng),2,24-18,,
3:41.0,,,24-18,,Q. Acy misses 2-pt shot from 17 ft
3:40.0,Defensive rebound by T. Jones,,24-18,,
3:33.0,G. Dieng misses 2-pt shot from 10 ft,,24-18,,
3:33.0,,,24-18,,Defensive rebound by R. Gay
3:23.0,,,24-18,,Turnover by J. Anderson (lost ball)
3:23.0,,,24-18,,B. McLemore enters the game for R. Gay
3:23.0,S. Muhammad enters the game for Z. LaVine,,24-18,,
3:08.0,G. Dieng misses 2-pt shot at rim (block by Q. Acy),,24-18,,
3:06.0,,,24-18,,Defensive rebound by B. McLemore
3:02.0,,,24-18,,Turnover by B. McLemore (lost ball; steal by T. Jones)
2:57.0,G. Dieng makes 2-pt shot at rim (assist by T. Jones),2,26-18,,
2:49.0,,,26-18,,D. Collison misses 2-pt shot from 2 ft
2:46.0,Defensive rebound by S. Muhammad,,26-18,,
2:38.0,S. Muhammad misses 3-pt shot from 25 ft,,26-18,,
2:37.0,Offensive rebound by A. Wiggins,,26-18,,
2:37.0,A. Wiggins makes 2-pt shot from 1 ft,2,28-18,,
2:37.0,,,28-18,,Sacramento full timeout
2:37.0,A. Payne enters the game for G. Dieng,,28-18,,
2:18.0,,,28-18,,B. McLemore misses 3-pt shot from 24 ft
2:17.0,Defensive rebound by A. Payne,,28-18,,
1:58.0,N. Bjelica makes 3-pt shot from 27 ft (assist by A. Wiggins),3,31-18,,
1:35.0,,,31-20,2,B. McLemore makes 2-pt shot from 1 ft (assist by J. Anderson)
1:17.0,A. Wiggins misses 2-pt shot from 13 ft,,31-20,,
1:14.0,Offensive rebound by A. Payne,,31-20,,
1:14.0,Turnover by A. Payne (bad pass),,31-20,,
1:14.0,,,31-20,,W. Cauley-Stein enters the game for E. Moreland
1:14.0,T. Prince enters the game for A. Wiggins,,31-20,,
1:00.0,,,31-23,3,B. McLemore makes 3-pt shot from 25 ft (assist by D. Collison)
0:38.0,Turnover by T. Jones (lost ball; steal by J. Anderson),,31-23,,
0:34.0,,,31-25,2,D. Collison makes 2-pt shot from 1 ft (assist by Q. Acy)
0:16.0,S. Muhammad misses 2-pt shot from 11 ft,,31-25,,
0:16.0,,,31-25,,Defensive rebound by W. Cauley-Stein
0:01.0,,,31-27,2,D. Collison makes 2-pt shot from 17 ft
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:42.0,Shooting foul by J. Anderson (drawn by S. Muhammad),,31-27,,
11:42.0,S. Muhammad misses free throw 1 of 2,,31-27,,
11:42.0,Offensive rebound by Team,,31-27,,
11:42.0,S. Muhammad makes free throw 2 of 2,1,32-27,,
11:18.0,,,32-29,2,J. Anderson makes 2-pt shot from 3 ft
11:09.0,T. Jones makes 2-pt shot from 7 ft,2,34-29,,
10:43.0,,,34-32,3,D. Collison makes 3-pt shot from 22 ft (assist by B. McLemore)
10:33.0,S. Muhammad misses 2-pt shot from 15 ft,,34-32,,
10:32.0,,,34-32,,Defensive rebound by B. McLemore
10:27.0,,,34-32,,W. Cauley-Stein misses 2-pt shot at rim
10:24.0,Defensive rebound by A. Payne,,34-32,,
10:19.0,S. Muhammad misses 2-pt shot from 8 ft,,34-32,,
10:18.0,,,34-32,,Defensive rebound by Q. Acy
10:05.0,,,34-32,,B. McLemore misses 3-pt shot from 25 ft
10:05.0,,,34-32,,Offensive rebound by Team
10:05.0,Loose ball foul by A. Payne,,34-32,,
10:05.0,,,34-32,,S. Curry enters the game for D. Collison
10:05.0,,,34-32,,K. Koufos enters the game for Q. Acy
9:56.0,,,34-32,,Turnover by B. McLemore (lost ball; steal by T. Prince)
9:53.0,Shooting foul by K. Koufos (drawn by S. Muhammad),,34-32,,
9:53.0,S. Muhammad misses free throw 1 of 2,,34-32,,
9:53.0,Offensive rebound by Team,,34-32,,
9:53.0,S. Muhammad makes free throw 2 of 2,1,35-32,,
9:36.0,,,35-32,,B. McLemore misses 2-pt shot from 9 ft
9:34.0,,,35-32,,Offensive rebound by K. Koufos
9:26.0,,,35-32,,W. Cauley-Stein misses 2-pt shot from 12 ft
9:25.0,,,35-32,,Offensive rebound by B. McLemore
9:25.0,,,35-32,,Shooting foul by T. Prince (drawn by B. McLemore)
9:25.0,,,35-32,,B. McLemore misses free throw 1 of 2
9:25.0,,,35-32,,Offensive rebound by Team
9:25.0,,,35-33,1,B. McLemore makes free throw 2 of 2
9:10.0,A. Payne misses 2-pt shot at rim,,35-33,,
9:08.0,Offensive rebound by N. Bjelica,,35-33,,
9:04.0,S. Muhammad makes 2-pt shot from 9 ft (assist by N. Bjelica),2,37-33,,
8:46.0,,,37-33,,K. Koufos misses 2-pt shot from 14 ft
8:46.0,,,37-33,,Offensive rebound by W. Cauley-Stein
8:45.0,Personal foul by T. Jones,,37-33,,
8:45.0,Official timeout,,37-33,,
8:34.0,,,37-35,2,J. Anderson makes 2-pt shot from 20 ft
8:13.0,A. Payne misses 2-pt shot from 18 ft,,37-35,,
8:12.0,,,37-35,,Defensive rebound by K. Koufos
7:58.0,,,37-37,2,W. Cauley-Stein makes 2-pt shot from 2 ft
7:58.0,,,37-37,,Shooting foul by A. Payne (drawn by W. Cauley-Stein)
7:58.0,Z. LaVine enters the game for S. Muhammad,,37-37,,
7:58.0,A. Wiggins enters the game for A. Payne,,37-37,,
7:58.0,G. Dieng enters the game for T. Prince,,37-37,,
7:58.0,,,37-37,,R. Gay enters the game for K. Koufos
7:58.0,,,37-38,1,W. Cauley-Stein makes free throw 1 of 1
7:37.0,N. Bjelica misses 3-pt shot from 25 ft,,37-38,,
7:35.0,Offensive rebound by G. Dieng,,37-38,,
7:26.0,A. Wiggins makes 2-pt shot from 2 ft,2,39-38,,
7:26.0,Shooting foul by S. Curry (drawn by A. Wiggins),,39-38,,
7:26.0,R. Rubio enters the game for T. Jones,,39-38,,
7:26.0,A. Wiggins makes free throw 1 of 1,1,40-38,,
7:07.0,,,40-38,,Turnover by S. Curry (traveling)
6:53.0,A. Wiggins misses 2-pt shot from 21 ft,,40-38,,
6:52.0,,,40-38,,Defensive rebound by R. Gay
6:47.0,Personal foul by N. Bjelica,,40-38,,
6:47.0,,,40-39,1,R. Gay makes free throw 1 of 2
6:47.0,K. Towns enters the game for N. Bjelica,,40-39,,
6:47.0,,,40-40,1,R. Gay makes free throw 2 of 2
6:38.0,,,40-40,,Personal foul by W. Cauley-Stein
6:34.0,Shooting foul by W. Cauley-Stein (drawn by K. Towns),,40-40,,
6:34.0,K. Towns makes free throw 1 of 2,1,41-40,,
6:34.0,K. Towns makes free throw 2 of 2,1,42-40,,
6:20.0,,,42-40,,B. McLemore misses 3-pt shot from 24 ft
6:19.0,Defensive rebound by K. Towns,,42-40,,
6:08.0,K. Towns makes 3-pt shot from 24 ft (assist by R. Rubio),3,45-40,,
5:56.0,,,45-40,,Turnover by R. Gay (lost ball; steal by A. Wiggins)
5:45.0,K. Towns makes 2-pt shot from 9 ft (assist by Z. LaVine),2,47-40,,
5:41.0,,,47-40,,Sacramento full timeout
5:41.0,,,47-40,,Q. Acy enters the game for J. Anderson
5:41.0,,,47-40,,D. Collison enters the game for B. McLemore
5:21.0,,,47-43,3,Q. Acy makes 3-pt shot from 23 ft (assist by S. Curry)
5:05.0,G. Dieng misses 2-pt shot from 16 ft,,47-43,,
5:05.0,,,47-43,,Defensive rebound by D. Collison
4:54.0,,,47-43,,R. Gay misses 2-pt shot from 21 ft
4:53.0,Defensive rebound by A. Wiggins,,47-43,,
4:43.0,K. Towns misses 2-pt shot from 5 ft,,47-43,,
4:42.0,Offensive rebound by G. Dieng,,47-43,,
4:41.0,Jump ball: Q. Acy vs. G. Dieng (A. Wiggins gains possession),,,,Jump ball: Q. Acy vs. G. Dieng (A. Wiggins gains possession)
4:34.0,Turnover by Z. LaVine (lost ball; steal by R. Gay),,47-43,,
4:30.0,,,47-43,,R. Gay misses 2-pt shot from 3 ft
4:29.0,Defensive rebound by G. Dieng,,47-43,,
4:27.0,Shooting foul by S. Curry (drawn by R. Rubio),,47-43,,
4:27.0,R. Rubio misses free throw 1 of 2,,47-43,,
4:27.0,Offensive rebound by Team,,47-43,,
4:27.0,R. Rubio makes free throw 2 of 2,1,48-43,,
4:10.0,,,48-43,,W. Cauley-Stein misses 2-pt shot from 6 ft
4:09.0,Defensive rebound by G. Dieng,,48-43,,
4:03.0,Shooting foul by W. Cauley-Stein (drawn by G. Dieng),,48-43,,
4:03.0,G. Dieng makes free throw 1 of 2,1,49-43,,
4:03.0,,,49-43,,E. Moreland enters the game for W. Cauley-Stein
4:03.0,G. Dieng misses free throw 2 of 2,,49-43,,
4:02.0,Offensive rebound by A. Wiggins,,49-43,,
3:55.0,Z. LaVine makes 3-pt shot from 25 ft (assist by R. Rubio),3,52-43,,
3:33.0,,,52-43,,S. Curry misses 2-pt shot from 16 ft (block by Z. LaVine)
3:31.0,Defensive rebound by K. Towns,,52-43,,
3:29.0,Turnover by R. Rubio (bad pass),,52-43,,
3:18.0,,,52-45,2,D. Collison makes 2-pt shot from 2 ft
3:03.0,,,52-45,,Personal foul by D. Collison
3:03.0,A. Wiggins makes free throw 1 of 2,1,53-45,,
3:03.0,,,53-45,,B. McLemore enters the game for S. Curry
3:03.0,A. Wiggins misses free throw 2 of 2,,53-45,,
3:02.0,,,53-45,,Defensive rebound by R. Gay
2:47.0,,,53-47,2,R. Gay makes 2-pt shot from 2 ft
2:38.0,Turnover by R. Rubio (traveling),,53-47,,
2:38.0,Minnesota full timeout,,53-47,,
2:20.0,,,53-47,,Turnover by B. McLemore (lost ball; steal by R. Rubio)
2:14.0,Turnover by A. Wiggins (lost ball; steal by R. Gay),,53-47,,
2:10.0,Shooting block foul by G. Dieng (drawn by Q. Acy),,53-47,,
2:10.0,,,53-48,1,Q. Acy makes free throw 1 of 2
2:10.0,,,53-49,1,Q. Acy makes free throw 2 of 2
1:51.0,Z. LaVine makes 3-pt shot from 25 ft,3,56-49,,
1:30.0,,,56-51,2,Q. Acy makes 2-pt shot from 19 ft (assist by D. Collison)
1:11.0,A. Wiggins misses 2-pt shot from 21 ft,,56-51,,
1:11.0,,,56-51,,Defensive rebound by Q. Acy
0:55.0,,,56-51,,Q. Acy misses 3-pt shot from 25 ft
0:55.0,Defensive rebound by A. Wiggins,,56-51,,
0:44.0,,,56-51,,Flagrant foul type 1 by Q. Acy
0:44.0,K. Towns misses flagrant free throw 1 of 2,,56-51,,
0:44.0,Offensive rebound by Team,,56-51,,
0:44.0,K. Towns misses flagrant free throw 2 of 2,,56-51,,
0:44.0,Offensive rebound by Team,,56-51,,
0:44.0,N. Bjelica enters the game for K. Towns,,56-51,,
0:44.0,T. Jones enters the game for R. Rubio,,56-51,,
0:26.0,A. Wiggins makes 2-pt shot from 11 ft,2,58-51,,
0:03.0,,,58-51,,Q. Acy misses 3-pt shot from 23 ft
0:02.0,,,58-51,,Offensive rebound by R. Gay
0:02.0,,,58-51,,Turnover by Team (shot clock)
0:00.0,Z. LaVine misses 3-pt shot from 26 ft,,58-51,,
0:00.0,Offensive rebound by Team,,58-51,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:43.0,A. Wiggins misses 2-pt shot from 15 ft,,58-51,,
11:43.0,Offensive rebound by K. Towns,,58-51,,
11:40.0,K. Towns misses 2-pt shot from 3 ft,,58-51,,
11:39.0,,,58-51,,Defensive rebound by R. Gay
11:22.0,,,58-54,3,R. Gay makes 3-pt shot from 25 ft (assist by D. Collison)
11:03.0,K. Towns misses 2-pt shot from 6 ft,,58-54,,
11:00.0,Offensive rebound by K. Towns,,58-54,,
11:00.0,K. Towns misses 2-pt shot from 3 ft,,58-54,,
11:00.0,Offensive rebound by G. Dieng,,58-54,,
11:00.0,Shooting foul by K. Koufos (drawn by G. Dieng),,58-54,,
11:00.0,G. Dieng misses free throw 1 of 2,,58-54,,
11:00.0,Offensive rebound by Team,,58-54,,
11:00.0,G. Dieng makes free throw 2 of 2,1,59-54,,
10:45.0,,,59-54,,W. Cauley-Stein misses 2-pt shot from 8 ft
10:45.0,,,59-54,,Offensive rebound by K. Koufos
10:42.0,,,59-56,2,K. Koufos makes 2-pt shot from 2 ft
10:33.0,Shooting foul by R. Gay (drawn by A. Wiggins),,59-56,,
10:33.0,A. Wiggins makes free throw 1 of 2,1,60-56,,
10:33.0,A. Wiggins makes free throw 2 of 2,1,61-56,,
10:17.0,,,61-56,,R. Gay misses 2-pt shot from 6 ft
10:16.0,Defensive rebound by K. Towns,,61-56,,
10:01.0,K. Towns makes 2-pt shot from 3 ft (assist by Z. LaVine),2,63-56,,
9:54.0,,,63-56,,Offensive foul by D. Collison
9:54.0,,,63-56,,Turnover by D. Collison (offensive foul)
9:41.0,G. Dieng makes 2-pt shot from 6 ft (assist by R. Rubio),2,65-56,,
9:27.0,,,65-58,2,R. Gay makes 2-pt shot at rim (assist by K. Koufos)
9:13.0,,,65-58,,Personal foul by W. Cauley-Stein
9:02.0,Turnover by Z. LaVine (lost ball; steal by K. Koufos),,65-58,,
8:56.0,,,65-58,,J. Anderson misses 2-pt shot from 2 ft
8:54.0,,,65-58,,Offensive rebound by Team
8:53.0,Jump ball: W. Cauley-Stein vs. G. Dieng (J. Anderson gains possession),,,,Jump ball: W. Cauley-Stein vs. G. Dieng (J. Anderson gains possession)
8:41.0,,,65-60,2,W. Cauley-Stein makes 2-pt shot from 18 ft (assist by J. Anderson)
8:27.0,G. Dieng makes 2-pt shot from 7 ft,2,67-60,,
8:06.0,,,67-60,,D. Collison misses 2-pt shot from 14 ft
8:05.0,,,67-60,,Offensive rebound by K. Koufos
7:58.0,Violation by R. Rubio (kicked ball),,67-60,,
7:46.0,,,67-60,,R. Gay misses 2-pt shot from 8 ft
7:45.0,,,67-60,,Offensive rebound by K. Koufos
7:45.0,,,67-60,,K. Koufos misses 2-pt shot from 2 ft
7:44.0,Defensive rebound by K. Towns,,67-60,,
7:36.0,Z. LaVine misses 3-pt shot from 22 ft,,67-60,,
7:36.0,,,67-60,,Defensive rebound by K. Koufos
7:28.0,,,67-60,,J. Anderson misses 3-pt shot from 24 ft
7:27.0,,,67-60,,Offensive rebound by W. Cauley-Stein
7:26.0,,,67-62,2,W. Cauley-Stein makes 2-pt shot from 5 ft
7:26.0,Minnesota full timeout,,67-62,,
7:13.0,Turnover by A. Wiggins (lost ball; steal by R. Gay),,67-62,,
7:08.0,,,67-64,2,J. Anderson makes 2-pt shot from 2 ft (assist by D. Collison)
6:50.0,G. Dieng makes 2-pt shot from 8 ft (assist by R. Rubio),2,69-64,,
6:47.0,Personal foul by R. Rubio,,69-64,,
6:28.0,,,69-64,,Shooting foul by A. Wiggins (drawn by J. Anderson)
6:28.0,,,69-65,1,J. Anderson makes free throw 1 of 2
6:28.0,,,69-65,,J. Anderson misses free throw 2 of 2
6:28.0,Defensive rebound by R. Rubio,,69-65,,
6:24.0,Turnover by R. Rubio (lost ball; steal by W. Cauley-Stein),,69-65,,
6:08.0,,,69-65,,R. Gay misses 2-pt shot from 8 ft
6:08.0,Defensive rebound by K. Towns,,69-65,,
5:59.0,,,69-65,,Personal foul by D. Collison
5:59.0,,,69-65,,Q. Acy enters the game for K. Koufos
5:55.0,Turnover by R. Rubio (lost ball; steal by W. Cauley-Stein),,69-65,,
5:41.0,,,69-65,,Turnover by J. Anderson (lost ball; steal by K. Towns)
5:38.0,Turnover by K. Towns (lost ball; steal by R. Gay),,69-65,,
5:31.0,,,69-65,,Turnover by W. Cauley-Stein (3 sec)
5:07.0,G. Dieng misses 2-pt shot from 8 ft (block by R. Gay),,69-65,,
5:06.0,Offensive rebound by Team,,69-65,,
5:06.0,Turnover by Team (shot clock),,69-65,,
5:06.0,,,69-65,,S. Curry enters the game for R. Gay
4:51.0,,,69-65,,Shooting foul by Z. LaVine (drawn by S. Curry)
4:51.0,,,69-66,1,S. Curry makes free throw 1 of 2
4:51.0,T. Jones enters the game for R. Rubio,,69-66,,
4:51.0,,,69-67,1,S. Curry makes free throw 2 of 2
4:32.0,G. Dieng misses 3-pt shot from 22 ft,,69-67,,
4:31.0,Offensive rebound by K. Towns,,69-67,,
4:29.0,K. Towns makes 2-pt shot from 2 ft,2,71-67,,
4:16.0,,,71-67,,J. Anderson misses 3-pt shot from 25 ft
4:15.0,Defensive rebound by Z. LaVine,,71-67,,
4:12.0,G. Dieng misses 2-pt shot from 1 ft (block by J. Anderson),,71-67,,
4:10.0,,,71-67,,Defensive rebound by J. Anderson
4:04.0,,,71-67,,D. Collison misses 2-pt shot from 17 ft
4:02.0,,,71-67,,Offensive rebound by J. Anderson
4:02.0,,,71-69,2,J. Anderson makes 2-pt shot at rim
3:39.0,A. Wiggins misses 3-pt shot from 25 ft,,71-69,,
3:39.0,Offensive rebound by G. Dieng,,71-69,,
3:34.0,A. Wiggins makes 2-pt shot from 18 ft (assist by G. Dieng),2,73-69,,
3:20.0,,,73-71,2,D. Collison makes 2-pt shot from 3 ft
3:06.0,Z. LaVine misses 2-pt shot from 18 ft,,73-71,,
3:05.0,Offensive rebound by G. Dieng,,73-71,,
3:03.0,Shooting foul by W. Cauley-Stein (drawn by G. Dieng),,73-71,,
3:03.0,,,73-71,,Sacramento full timeout
3:03.0,,,73-71,,K. Koufos enters the game for W. Cauley-Stein
3:03.0,T. Prince enters the game for A. Wiggins,,73-71,,
3:03.0,S. Muhammad enters the game for K. Towns,,73-71,,
3:03.0,N. Bjelica enters the game for Z. LaVine,,73-71,,
3:03.0,G. Dieng makes free throw 1 of 2,1,74-71,,
3:03.0,G. Dieng makes free throw 2 of 2,1,75-71,,
2:41.0,,,75-71,,S. Curry misses 2-pt shot from 15 ft
2:41.0,Defensive rebound by N. Bjelica,,75-71,,
2:21.0,S. Muhammad misses 2-pt shot from 8 ft,,75-71,,
2:20.0,,,75-71,,Defensive rebound by Q. Acy
2:10.0,,,75-73,2,D. Collison makes 2-pt shot from 19 ft
1:52.0,,,75-73,,Personal foul by D. Collison
1:52.0,N. Bjelica makes free throw 1 of 2,1,76-73,,
1:52.0,N. Bjelica makes free throw 2 of 2,1,77-73,,
1:32.0,,,77-76,3,S. Curry makes 3-pt shot from 23 ft (assist by D. Collison)
1:16.0,T. Prince misses 2-pt shot from 7 ft,,77-76,,
1:15.0,,,77-76,,Defensive rebound by S. Curry
1:04.0,,,77-76,,Q. Acy misses 2-pt shot from 17 ft
1:04.0,Defensive rebound by G. Dieng,,77-76,,
0:53.0,S. Muhammad misses 3-pt shot from 22 ft (block by J. Anderson),,77-76,,
0:53.0,Offensive rebound by Team,,77-76,,
0:45.0,T. Jones makes 3-pt shot from 25 ft (assist by T. Prince),3,80-76,,
0:22.0,,,80-76,,D. Collison misses 3-pt shot from 25 ft
0:22.0,Defensive rebound by T. Jones,,80-76,,
0:00.0,N. Bjelica makes 3-pt shot from 23 ft (assist by T. Jones),3,83-76,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:39.0,,,83-78,2,Q. Acy makes 2-pt shot from 14 ft (assist by K. Koufos)
11:22.0,N. Bjelica makes 3-pt shot from 25 ft (assist by T. Prince),3,86-78,,
11:02.0,,,86-80,2,Q. Acy makes 2-pt shot from 2 ft (assist by R. Gay)
10:37.0,G. Dieng makes 2-pt shot at rim (assist by T. Jones),2,88-80,,
10:26.0,Personal foul by N. Bjelica,,88-80,,
10:18.0,,,88-80,,R. Gay misses 2-pt shot from 19 ft
10:17.0,,,88-80,,Offensive rebound by Q. Acy
10:10.0,,,88-80,,S. Curry misses 2-pt shot from 2 ft
10:09.0,Defensive rebound by G. Dieng,,88-80,,
9:56.0,S. Muhammad makes 2-pt shot from 9 ft,2,90-80,,
9:37.0,,,90-82,2,Q. Acy makes 2-pt shot at rim
9:20.0,Shooting foul by B. McLemore (drawn by S. Muhammad),,90-82,,
9:20.0,S. Muhammad makes free throw 1 of 2,1,91-82,,
9:20.0,,,91-82,,W. Cauley-Stein enters the game for K. Koufos
9:20.0,S. Muhammad makes free throw 2 of 2,1,92-82,,
9:04.0,,,92-82,,B. McLemore misses 2-pt shot from 3 ft
9:03.0,,,92-82,,Offensive rebound by W. Cauley-Stein
9:03.0,,,92-84,2,W. Cauley-Stein makes 2-pt shot from 2 ft
8:45.0,Turnover by N. Bjelica (3 sec),,92-84,,
8:45.0,Official timeout,,92-84,,
8:33.0,,,92-84,,Turnover by R. Gay (lost ball; steal by T. Jones)
8:28.0,N. Bjelica makes 2-pt shot from 2 ft (assist by T. Jones),2,94-84,,
8:14.0,,,94-84,,R. Gay misses 2-pt shot from 3 ft (block by N. Bjelica)
8:12.0,Defensive rebound by S. Muhammad,,94-84,,
7:59.0,G. Dieng misses 2-pt shot from 13 ft,,94-84,,
7:57.0,,,94-84,,Defensive rebound by R. Gay
7:41.0,,,94-84,,B. McLemore misses 3-pt shot from 23 ft
7:40.0,Defensive rebound by G. Dieng,,94-84,,
7:30.0,S. Muhammad misses 2-pt shot from 1 ft,,94-84,,
7:29.0,,,94-84,,Defensive rebound by R. Gay
7:22.0,,,94-84,,Turnover by R. Gay (lost ball; steal by T. Jones)
7:13.0,S. Muhammad makes 2-pt shot at rim (assist by N. Bjelica),2,96-84,,
7:12.0,,,96-84,,Sacramento full timeout
7:12.0,,,96-84,,D. Collison enters the game for S. Curry
7:12.0,A. Wiggins enters the game for G. Dieng,,96-84,,
7:12.0,K. Towns enters the game for S. Muhammad,,96-84,,
7:02.0,,,96-84,,R. Gay misses 2-pt shot from 3 ft (block by K. Towns)
7:01.0,,,96-84,,Offensive rebound by Team
6:59.0,,,96-84,,Turnover by R. Gay (lost ball; steal by T. Jones)
6:37.0,T. Prince makes 2-pt shot from 22 ft (assist by K. Towns),2,98-84,,
6:32.0,,,98-84,,Offensive foul by Q. Acy
6:32.0,,,98-84,,Turnover by Q. Acy (offensive foul)
6:32.0,,,98-84,,K. Koufos enters the game for B. McLemore
