time,Chicago,pts.away,score,pts.home,Phoenix
1:22.0,Defensive rebound by T. Gibson,,29-18,,
1:04.0,J. Butler makes 2-pt shot from 18 ft (assist by A. Brooks),2,31-18,,
0:55.0,,,31-18,,J. Leuer misses 3-pt shot from 24 ft
0:54.0,Defensive rebound by A. Brooks,,31-18,,
0:44.0,T. Gibson misses 2-pt shot from 6 ft,,31-18,,
0:43.0,,,31-18,,Defensive rebound by J. Leuer
0:22.0,,,31-18,,P. Tucker misses 3-pt shot from 23 ft
0:21.0,Defensive rebound by J. Noah,,31-18,,
0:04.0,Turnover by A. Brooks (lost ball),,31-18,,
0:01.0,,,31-18,,E. Bledsoe misses 3-pt shot from 34 ft
0:00.0,,,31-18,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:41.0,,,31-18,,A. Goodwin misses 2-pt shot from 3 ft
11:40.0,Defensive rebound by T. Gibson,,31-18,,
11:29.0,Turnover by J. Noah (bad pass; steal by J. Leuer),,31-18,,
11:19.0,,,31-18,,B. Knight misses 2-pt shot from 9 ft
11:18.0,,,31-18,,Offensive rebound by B. Knight
11:01.0,,,31-18,,J. Leuer misses 2-pt shot from 13 ft
10:58.0,,,31-18,,Offensive rebound by A. Len
10:58.0,,,31-20,2,A. Len makes 2-pt shot at rim
10:36.0,D. McDermott misses 2-pt shot from 20 ft,,31-20,,
10:36.0,,,31-20,,Defensive rebound by J. Leuer
10:27.0,,,31-20,,A. Goodwin misses 3-pt shot from 24 ft
10:26.0,Defensive rebound by Team,,31-20,,
10:14.0,A. Brooks makes 2-pt shot from 3 ft,2,33-20,,
10:06.0,,,33-20,,Shooting foul by J. Noah (drawn by B. Knight)
10:06.0,,,33-21,1,B. Knight makes free throw 1 of 2
10:06.0,,,33-21,,R. Price enters the game for A. Goodwin
10:06.0,,,33-22,1,B. Knight makes free throw 2 of 2
9:50.0,A. Brooks misses 2-pt shot from 2 ft,,33-22,,
9:49.0,,,33-22,,Defensive rebound by A. Len
9:37.0,,,33-22,,B. Knight misses 2-pt shot from 1 ft
9:36.0,Defensive rebound by J. Noah,,33-22,,
9:29.0,A. Brooks makes 3-pt shot from 25 ft (assist by E. Moore),3,36-22,,
9:09.0,,,36-22,,Shooting foul by J. Noah (drawn by J. Leuer)
9:09.0,,,36-23,1,J. Leuer makes free throw 1 of 2
9:09.0,,,36-23,,T. Chandler enters the game for A. Len
9:09.0,,,36-23,,J. Leuer misses free throw 2 of 2
9:08.0,Defensive rebound by J. Noah,,36-23,,
8:51.0,Shooting foul by R. Price (drawn by E. Moore),,36-23,,
8:51.0,Official timeout,,36-23,,
8:51.0,,,36-23,,M. Teletovic enters the game for J. Leuer
8:51.0,P. Gasol enters the game for J. Noah,,36-23,,
8:51.0,E. Moore makes free throw 1 of 2,1,37-23,,
8:51.0,E. Moore makes free throw 2 of 2,1,38-23,,
8:38.0,,,38-23,,T. Chandler misses 2-pt shot from 1 ft (block by P. Gasol)
8:37.0,Defensive rebound by D. McDermott,,38-23,,
8:29.0,E. Moore misses 2-pt shot from 2 ft (block by D. Booker),,38-23,,
8:27.0,Offensive rebound by T. Gibson,,38-23,,
8:27.0,T. Gibson makes 2-pt shot from 1 ft,2,40-23,,
8:13.0,,,40-23,,M. Teletovic misses 3-pt shot from 24 ft
8:13.0,Defensive rebound by D. McDermott,,40-23,,
7:58.0,Offensive foul by T. Gibson,,40-23,,
7:58.0,Turnover by T. Gibson (offensive foul),,40-23,,
7:37.0,,,40-23,,Turnover by T. Chandler (offensive goaltending)
7:28.0,Turnover by A. Brooks (lost ball; steal by R. Price),,40-23,,
7:23.0,,,40-25,2,B. Knight makes 2-pt shot from 2 ft (assist by M. Teletovic)
6:59.0,P. Gasol makes 2-pt shot from 9 ft,2,42-25,,
6:49.0,,,42-25,,Shooting foul by E. Moore (drawn by B. Knight)
6:49.0,,,42-26,1,B. Knight makes free throw 1 of 2
6:49.0,J. Butler enters the game for A. Brooks,,42-26,,
6:49.0,K. Hinrich enters the game for D. McDermott,,42-26,,
6:49.0,N. Mirotic enters the game for T. Gibson,,42-26,,
6:49.0,,,42-27,1,B. Knight makes free throw 2 of 2
6:45.0,,,42-27,,Personal foul by R. Price (drawn by K. Hinrich)
6:45.0,,,42-27,,E. Bledsoe enters the game for R. Price
6:30.0,N. Mirotic misses 2-pt shot from 18 ft,,42-27,,
6:29.0,,,42-27,,Defensive rebound by M. Teletovic
6:23.0,,,42-29,2,E. Bledsoe makes 2-pt shot from 1 ft
6:09.0,N. Mirotic misses 2-pt shot from 4 ft (block by T. Chandler),,42-29,,
6:09.0,Offensive rebound by J. Butler,,42-29,,
6:06.0,Turnover by P. Gasol (lost ball; steal by B. Knight),,42-29,,
6:02.0,,,42-31,2,B. Knight makes 2-pt shot at rim
6:02.0,Chicago full timeout,,42-31,,
5:50.0,Shooting foul by E. Bledsoe (drawn by J. Butler),,42-31,,
5:50.0,J. Butler makes free throw 1 of 2,1,43-31,,
5:50.0,J. Butler makes free throw 2 of 2,1,44-31,,
5:38.0,,,44-34,3,M. Teletovic makes 3-pt shot from 25 ft (assist by E. Bledsoe)
5:08.0,K. Hinrich misses 2-pt shot from 9 ft,,44-34,,
5:08.0,,,44-34,,Defensive rebound by M. Teletovic
5:01.0,,,44-34,,Turnover by B. Knight (bad pass; steal by E. Moore)
4:52.0,N. Mirotic misses 2-pt shot from 19 ft,,44-34,,
4:50.0,,,44-34,,Defensive rebound by T. Chandler
4:38.0,,,44-36,2,T. Chandler makes 2-pt shot at rim (assist by B. Knight)
4:19.0,P. Gasol misses 2-pt shot from 1 ft,,44-36,,
4:18.0,Offensive rebound by N. Mirotic,,44-36,,
4:18.0,N. Mirotic makes 2-pt shot from 2 ft,2,46-36,,
4:07.0,,,46-36,,B. Knight misses 2-pt shot at rim
4:05.0,Defensive rebound by P. Gasol,,46-36,,
4:00.0,N. Mirotic misses 2-pt shot from 12 ft,,46-36,,
3:59.0,,,46-36,,Defensive rebound by E. Bledsoe
3:53.0,,,46-38,2,E. Bledsoe makes 2-pt shot from 2 ft
3:39.0,N. Mirotic misses 3-pt shot from 27 ft,,46-38,,
3:38.0,,,46-38,,Defensive rebound by E. Bledsoe
3:23.0,,,46-38,,Shooting foul by N. Mirotic (drawn by B. Knight)
3:23.0,,,46-39,1,B. Knight makes free throw 1 of 2
3:23.0,,,46-39,,P. Tucker enters the game for D. Booker
3:23.0,T. Snell enters the game for N. Mirotic,,46-39,,
3:23.0,T. Gibson enters the game for P. Gasol,,46-39,,
3:23.0,J. Noah enters the game for E. Moore,,46-39,,
3:23.0,,,46-39,,M. Morris enters the game for M. Teletovic
3:23.0,,,46-40,1,B. Knight makes free throw 2 of 2
3:05.0,Turnover by T. Snell (bad pass; steal by E. Bledsoe),,46-40,,
2:54.0,,,46-40,,E. Bledsoe misses 3-pt shot from 25 ft
2:54.0,Defensive rebound by J. Noah,,46-40,,
2:36.0,T. Gibson makes 2-pt shot from 18 ft (assist by K. Hinrich),2,48-40,,
2:16.0,,,48-42,2,M. Morris makes 2-pt shot from 9 ft
1:58.0,T. Gibson misses 2-pt shot from 16 ft,,48-42,,
1:58.0,,,48-42,,Defensive rebound by T. Chandler
1:52.0,,,48-42,,E. Bledsoe misses 2-pt shot from 6 ft
1:52.0,Defensive rebound by Team,,48-42,,
1:52.0,,,48-42,,Loose ball foul by P. Tucker (drawn by T. Gibson)
1:52.0,,,48-42,,Phoenix full timeout
1:52.0,,,48-42,,A. Len enters the game for T. Chandler
1:37.0,J. Butler misses 2-pt shot from 20 ft,,48-42,,
1:36.0,,,48-42,,Defensive rebound by B. Knight
1:19.0,,,48-44,2,P. Tucker makes 2-pt shot at rim
0:55.0,K. Hinrich makes 3-pt shot from 23 ft (assist by T. Snell),3,51-44,,
0:47.0,,,51-47,3,E. Bledsoe makes 3-pt shot from 24 ft (assist by A. Len)
0:34.0,T. Snell misses 2-pt shot from 1 ft,,51-47,,
0:33.0,Offensive rebound by T. Gibson,,51-47,,
0:33.0,T. Gibson makes 2-pt shot at rim,2,53-47,,
0:10.0,,,53-47,,B. Knight misses 2-pt shot from 17 ft
0:08.0,Defensive rebound by Team,,53-47,,
0:08.0,Chicago full timeout,,53-47,,
0:08.0,N. Mirotic enters the game for T. Snell,,53-47,,
0:08.0,D. McDermott enters the game for T. Gibson,,53-47,,
0:08.0,,,53-47,,J. Leuer enters the game for M. Morris
0:01.0,J. Butler misses 2-pt shot from 3 ft (block by A. Len),,53-47,,
0:00.0,,,53-47,,Defensive rebound by P. Tucker
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:47.0,,,53-47,,Turnover by M. Morris (lost ball; steal by P. Gasol)
11:25.0,P. Gasol misses 2-pt shot from 20 ft,,53-47,,
11:24.0,,,53-47,,Defensive rebound by E. Bledsoe
11:20.0,,,53-47,,T. Chandler misses 2-pt shot at rim
11:18.0,Defensive rebound by P. Gasol,,53-47,,
11:13.0,T. Snell misses 2-pt shot from 3 ft,,53-47,,
11:10.0,Offensive rebound by P. Gasol,,53-47,,
11:10.0,P. Gasol misses 2-pt shot from 2 ft,,53-47,,
11:08.0,,,53-47,,Defensive rebound by M. Morris
11:04.0,,,53-49,2,B. Knight makes 2-pt shot at rim
10:41.0,,,53-49,,Personal foul by B. Knight (drawn by T. Snell)
10:28.0,K. Hinrich makes 2-pt shot from 9 ft,2,55-49,,
10:15.0,,,55-49,,Turnover by T. Chandler (bad pass; steal by N. Mirotic)
10:11.0,Turnover by K. Hinrich (bad pass; steal by M. Morris),,55-49,,
10:02.0,,,55-51,2,B. Knight makes 2-pt shot from 1 ft (assist by E. Bledsoe)
9:35.0,J. Butler misses 3-pt shot from 26 ft,,55-51,,
9:35.0,,,55-51,,Defensive rebound by B. Knight
9:28.0,,,55-51,,Shooting foul by J. Butler (drawn by P. Tucker)
9:28.0,,,55-52,1,P. Tucker makes free throw 1 of 2
9:28.0,,,55-53,1,P. Tucker makes free throw 2 of 2
9:12.0,Shooting foul by T. Chandler (drawn by P. Gasol),,55-53,,
9:12.0,P. Gasol misses free throw 1 of 2,,55-53,,
9:12.0,Offensive rebound by Team,,55-53,,
9:12.0,P. Gasol makes free throw 2 of 2,1,56-53,,
8:55.0,,,56-53,,Turnover by M. Morris (turnover)
8:36.0,J. Butler makes 2-pt shot from 19 ft,2,58-53,,
8:20.0,,,58-55,2,M. Morris makes 2-pt shot from 15 ft (assist by B. Knight)
8:06.0,P. Gasol misses 2-pt shot from 17 ft,,58-55,,
8:05.0,,,58-55,,Defensive rebound by M. Morris
7:56.0,,,58-55,,P. Tucker misses 2-pt shot from 20 ft
7:54.0,,,58-55,,Offensive rebound by T. Chandler
7:54.0,,,58-57,2,T. Chandler makes 2-pt shot from 3 ft
7:38.0,K. Hinrich makes 2-pt shot from 2 ft,2,60-57,,
7:23.0,,,60-57,,E. Bledsoe misses 3-pt shot from 23 ft
7:22.0,Defensive rebound by N. Mirotic,,60-57,,
7:13.0,K. Hinrich makes 2-pt shot from 18 ft (assist by J. Butler),2,62-57,,
6:57.0,,,62-57,,B. Knight misses 2-pt shot from 18 ft
6:57.0,Defensive rebound by J. Butler,,62-57,,
6:49.0,N. Mirotic makes 2-pt shot from 16 ft (assist by K. Hinrich),2,64-57,,
6:46.0,,,64-57,,Phoenix full timeout
6:46.0,A. Brooks enters the game for K. Hinrich,,64-57,,
6:33.0,,,64-59,2,P. Tucker makes 2-pt shot at rim (assist by M. Morris)
6:18.0,J. Butler misses 3-pt shot from 26 ft,,64-59,,
6:18.0,,,64-59,,Defensive rebound by M. Morris
6:11.0,,,64-59,,Turnover by B. Knight (lost ball)
5:55.0,Turnover by A. Brooks (lost ball; steal by T. Chandler),,64-59,,
5:49.0,Personal foul by N. Mirotic (drawn by E. Bledsoe),,64-59,,
5:49.0,E. Moore enters the game for A. Brooks,,64-59,,
5:39.0,,,64-59,,P. Tucker misses 2-pt shot at rim
5:38.0,,,64-59,,Offensive rebound by P. Tucker
5:32.0,,,64-59,,M. Morris misses 2-pt shot at rim
5:30.0,,,64-59,,Offensive rebound by T. Chandler
5:30.0,,,64-59,,T. Chandler misses 2-pt shot from 1 ft
5:29.0,,,64-59,,Offensive rebound by T. Chandler
5:27.0,,,64-59,,M. Morris misses 2-pt shot from 5 ft
5:25.0,,,64-59,,Offensive rebound by P. Tucker
5:22.0,,,64-59,,P. Tucker misses 2-pt shot from 2 ft
5:21.0,,,64-59,,Offensive rebound by T. Chandler
5:21.0,,,64-59,,T. Chandler misses 2-pt shot from 2 ft
5:20.0,,,64-59,,Offensive rebound by P. Tucker
5:19.0,,,64-61,2,P. Tucker makes 2-pt shot from 2 ft
5:11.0,,,64-61,,Technical foul by Team
5:11.0,J. Butler makes technical free throw,1,65-61,,
4:57.0,Turnover by P. Gasol (lost ball; steal by T. Chandler),,65-61,,
4:56.0,Loose ball foul by P. Gasol (drawn by T. Chandler),,65-61,,
4:56.0,,,65-61,,R. Price enters the game for B. Knight
4:43.0,,,65-61,,R. Price misses 3-pt shot from 23 ft
4:42.0,,,65-61,,Offensive rebound by R. Price
4:24.0,,,65-61,,R. Price misses 3-pt shot from 24 ft
4:24.0,Defensive rebound by Team,,65-61,,
4:23.0,J. Noah enters the game for P. Gasol,,65-61,,
4:12.0,J. Butler makes 3-pt shot from 25 ft (assist by N. Mirotic),3,68-61,,
4:01.0,,,68-61,,M. Morris misses 3-pt shot from 26 ft
4:00.0,Defensive rebound by J. Noah,,68-61,,
3:44.0,N. Mirotic misses 3-pt shot from 28 ft,,68-61,,
3:44.0,Offensive rebound by J. Butler,,68-61,,
3:33.0,Offensive charge foul by T. Snell,,68-61,,
3:33.0,Turnover by T. Snell (offensive foul),,68-61,,
3:33.0,T. Gibson enters the game for N. Mirotic,,68-61,,
3:33.0,,,68-61,,A. Len enters the game for T. Chandler
3:33.0,,,68-61,,M. Teletovic enters the game for M. Morris
3:33.0,D. McDermott enters the game for T. Snell,,68-61,,
3:21.0,,,68-61,,E. Bledsoe misses 2-pt shot at rim
3:19.0,Defensive rebound by E. Moore,,68-61,,
3:11.0,Turnover by D. McDermott (lost ball),,68-61,,
2:57.0,,,68-61,,Shooting foul by E. Moore (drawn by E. Bledsoe)
2:57.0,Chicago full timeout,,68-61,,
2:57.0,,,68-61,,D. Booker enters the game for P. Tucker
2:57.0,,,68-62,1,E. Bledsoe makes free throw 1 of 2
2:57.0,,,68-62,,E. Bledsoe misses free throw 2 of 2
2:56.0,Defensive rebound by D. McDermott,,68-62,,
2:45.0,Turnover by J. Noah (bad pass; steal by E. Bledsoe),,68-62,,
2:21.0,,,68-62,,E. Bledsoe misses 3-pt shot from 23 ft
2:21.0,Defensive rebound by J. Butler,,68-62,,
2:12.0,J. Butler misses 2-pt shot from 2 ft (block by D. Booker),,68-62,,
2:12.0,Offensive rebound by Team,,68-62,,
2:05.0,J. Butler misses 2-pt shot from 14 ft,,68-62,,
2:04.0,Offensive rebound by Team,,68-62,,
2:03.0,,,68-62,,Personal foul by A. Len (drawn by J. Noah)
1:54.0,E. Moore makes 2-pt shot from 12 ft,2,70-62,,
1:30.0,,,70-65,3,D. Booker makes 3-pt shot from 25 ft (assist by E. Bledsoe)
1:07.0,D. McDermott misses 3-pt shot from 26 ft,,70-65,,
1:06.0,,,70-65,,Defensive rebound by M. Teletovic
1:00.0,,,70-65,,E. Bledsoe misses 2-pt shot from 1 ft (block by J. Noah)
1:00.0,,,70-65,,Offensive rebound by Team
0:58.0,,,70-68,3,M. Teletovic makes 3-pt shot from 25 ft (assist by R. Price)
0:53.0,Turnover by E. Moore (bad pass; steal by R. Price),,70-68,,
0:52.0,,,70-70,2,R. Price makes 2-pt shot from 2 ft
0:51.0,A. Brooks enters the game for E. Moore,,70-70,,
0:44.0,A. Brooks makes 2-pt shot from 16 ft,2,72-70,,
0:33.0,,,72-70,,Turnover by E. Bledsoe (turnover)
0:22.0,T. Gibson misses 2-pt shot from 15 ft,,72-70,,
0:21.0,Offensive rebound by J. Noah,,72-70,,
0:21.0,J. Noah misses 2-pt shot from 1 ft,,72-70,,
0:19.0,,,72-70,,Defensive rebound by D. Booker
0:00.0,,,72-70,,E. Bledsoe misses 2-pt shot from 3 ft
0:00.0,Defensive rebound by J. Noah,,72-70,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:37.0,Turnover by A. Brooks (traveling),,72-70,,
11:21.0,,,72-70,,B. Knight misses 2-pt shot from 19 ft
11:20.0,Defensive rebound by T. Gibson,,72-70,,
11:09.0,J. Butler misses 2-pt shot from 16 ft,,72-70,,
11:07.0,Offensive rebound by J. Noah,,72-70,,
11:07.0,J. Noah misses 2-pt shot at rim,,72-70,,
11:05.0,,,72-70,,Defensive rebound by R. Price
10:59.0,,,72-70,,B. Knight misses 2-pt shot from 2 ft
10:59.0,Defensive rebound by Team,,72-70,,
10:38.0,A. Brooks misses 2-pt shot from 1 ft,,72-70,,
10:33.0,,,72-70,,Defensive rebound by A. Len
10:30.0,,,72-73,3,D. Booker makes 3-pt shot from 26 ft (assist by R. Price)
10:10.0,J. Butler misses 2-pt shot from 7 ft,,72-73,,
10:10.0,Offensive rebound by J. Butler,,72-73,,
10:07.0,J. Butler misses 2-pt shot from 1 ft,,72-73,,
10:05.0,Offensive rebound by D. McDermott,,72-73,,
10:02.0,D. McDermott makes 2-pt shot from 3 ft,2,74-73,,
9:49.0,,,74-73,,M. Teletovic misses 3-pt shot from 26 ft
9:48.0,,,74-73,,Offensive rebound by A. Len
9:43.0,,,74-73,,Turnover by B. Knight (step out of bounds)
9:26.0,Shooting foul by D. Booker (drawn by J. Butler),,74-73,,
9:26.0,J. Butler makes free throw 1 of 2,1,75-73,,
9:26.0,,,75-73,,P. Tucker enters the game for R. Price
9:26.0,,,75-73,,Violation by Team (delay of game)
9:26.0,J. Butler makes free throw 2 of 2,1,76-73,,
9:09.0,,,76-73,,D. Booker misses 2-pt shot from 13 ft
9:08.0,Defensive rebound by D. McDermott,,76-73,,
8:57.0,J. Butler makes 2-pt shot from 17 ft (assist by J. Noah),2,78-73,,
8:57.0,Shooting foul by D. Booker (drawn by J. Butler),,78-73,,
8:57.0,Official timeout,,78-73,,
8:57.0,J. Butler makes free throw 1 of 1,1,79-73,,
8:44.0,,,79-73,,Turnover by B. Knight (lost ball; steal by J. Butler)
8:33.0,J. Butler misses 2-pt shot from 17 ft,,79-73,,
8:33.0,,,79-73,,Defensive rebound by P. Tucker
8:25.0,,,79-75,2,A. Len makes 2-pt shot at rim (assist by B. Knight)
8:25.0,,,79-75,,Shooting foul by T. Gibson (drawn by A. Len)
8:25.0,,,79-75,,E. Bledsoe enters the game for D. Booker
8:25.0,,,79-75,,M. Morris enters the game for M. Teletovic
8:25.0,,,79-75,,A. Len misses free throw 1 of 1
8:24.0,Defensive rebound by J. Noah,,79-75,,
8:04.0,D. McDermott makes 2-pt shot from 1 ft (assist by A. Brooks),2,81-75,,
7:58.0,,,81-75,,Shooting foul by J. Noah (drawn by P. Tucker)
7:58.0,,,81-77,2,P. Tucker makes 2-pt shot at rim (assist by E. Bledsoe)
7:58.0,,,81-77,,T. Chandler enters the game for A. Len
7:58.0,P. Gasol enters the game for J. Noah,,81-77,,
7:58.0,,,81-78,1,P. Tucker makes free throw 1 of 1
7:34.0,J. Butler misses 3-pt shot from 30 ft,,81-78,,
7:33.0,,,81-78,,Defensive rebound by T. Chandler
7:23.0,,,81-80,2,E. Bledsoe makes 2-pt shot from 10 ft
7:11.0,P. Gasol makes 2-pt shot from 18 ft (assist by A. Brooks),2,83-80,,
6:58.0,,,83-80,,M. Morris misses 2-pt shot from 14 ft
6:57.0,Defensive rebound by T. Gibson,,83-80,,
6:43.0,D. McDermott makes 2-pt shot at rim (assist by A. Brooks),2,85-80,,
6:22.0,,,85-82,2,B. Knight makes 2-pt shot from 17 ft
6:07.0,A. Brooks makes 2-pt shot at rim,2,87-82,,
5:52.0,,,87-84,2,P. Tucker makes 2-pt shot from 10 ft
5:28.0,P. Gasol misses 2-pt shot from 17 ft,,87-84,,
5:28.0,,,87-84,,Defensive rebound by T. Chandler
5:14.0,,,87-86,2,M. Morris makes 2-pt shot from 16 ft (assist by B. Knight)
4:56.0,P. Gasol misses 2-pt shot from 18 ft,,87-86,,
4:56.0,Offensive rebound by P. Gasol,,87-86,,
4:51.0,D. McDermott misses 3-pt shot from 27 ft,,87-86,,
4:51.0,,,87-86,,Defensive rebound by E. Bledsoe
4:47.0,Shooting block foul by D. McDermott (drawn by E. Bledsoe),,87-86,,
4:47.0,,,87-86,,Phoenix full timeout
4:47.0,,,87-87,1,E. Bledsoe makes free throw 1 of 2
4:47.0,,,87-88,1,E. Bledsoe makes free throw 2 of 2
4:34.0,P. Gasol makes 2-pt shot from 1 ft (assist by A. Brooks),2,89-88,,
4:18.0,,,89-88,,B. Knight misses 3-pt shot from 25 ft
4:17.0,Defensive rebound by P. Gasol,,89-88,,
4:15.0,Chicago full timeout,,89-88,,
4:15.0,K. Hinrich enters the game for A. Brooks,,89-88,,
4:03.0,K. Hinrich makes 3-pt shot from 24 ft,3,92-88,,
3:46.0,,,92-88,,B. Knight misses 2-pt shot from 2 ft
3:45.0,Defensive rebound by P. Gasol,,92-88,,
3:20.0,Turnover by Team (shot clock),,92-88,,
3:01.0,,,92-88,,B. Knight misses 2-pt shot from 6 ft
2:59.0,Defensive rebound by T. Gibson,,92-88,,
2:46.0,J. Butler makes 2-pt shot at rim,2,94-88,,
2:29.0,,,94-88,,Shooting foul by T. Gibson (drawn by E. Bledsoe)
2:29.0,,,94-89,1,E. Bledsoe makes free throw 1 of 2
2:29.0,,,94-90,1,E. Bledsoe makes free throw 2 of 2
