time,Detroit,pts.away,score,pts.home,Chicago
6:44.0,,,13-10,,Personal foul by D. McDermott (drawn by K. Caldwell-Pope)
6:26.0,K. Caldwell-Pope misses 3-pt shot from 28 ft,,13-10,,
6:25.0,,,13-10,,Defensive rebound by J. Noah
6:18.0,,,13-10,,D. Rose misses 2-pt shot at rim
6:17.0,,,13-10,,Offensive rebound by P. Gasol
6:17.0,,,13-10,,P. Gasol misses 2-pt shot from 2 ft
6:16.0,,,13-10,,Offensive rebound by J. Noah
6:12.0,,,13-12,2,D. Rose makes 2-pt shot from 1 ft
5:55.0,K. Caldwell-Pope misses 2-pt shot from 18 ft,,13-12,,
5:53.0,,,13-12,,Defensive rebound by J. Butler
5:44.0,,,13-14,2,J. Butler makes 2-pt shot from 16 ft
5:21.0,M. Morris makes 3-pt shot from 25 ft (assist by A. Drummond),3,16-14,,
5:00.0,,,16-16,2,P. Gasol makes 2-pt shot from 15 ft (assist by D. Rose)
4:38.0,,,16-16,,Personal foul by J. Butler (drawn by M. Morris)
4:38.0,,,16-16,,Chicago full timeout
4:30.0,M. Morris misses 2-pt shot from 15 ft,,16-16,,
4:29.0,,,16-16,,Defensive rebound by P. Gasol
4:12.0,,,16-18,2,P. Gasol makes 2-pt shot from 3 ft
3:46.0,K. Caldwell-Pope misses 2-pt shot from 16 ft,,16-18,,
3:45.0,,,16-18,,Defensive rebound by J. Noah
3:37.0,,,16-18,,P. Gasol misses 2-pt shot from 17 ft
3:36.0,Defensive rebound by K. Caldwell-Pope,,16-18,,
3:29.0,E. Ilyasova makes 3-pt shot from 25 ft (assist by K. Caldwell-Pope),3,19-18,,
3:17.0,,,19-18,,P. Gasol misses 2-pt shot from 10 ft
3:16.0,Defensive rebound by A. Drummond,,19-18,,
3:11.0,K. Caldwell-Pope misses 3-pt shot from 24 ft,,19-18,,
3:10.0,Offensive rebound by E. Ilyasova,,19-18,,
3:07.0,E. Ilyasova makes 2-pt shot from 14 ft,2,21-18,,
2:50.0,,,21-20,2,J. Butler makes 2-pt shot at rim (assist by P. Gasol)
2:40.0,Detroit full timeout,,21-20,,
2:40.0,,,21-20,,N. Mirotic enters the game for P. Gasol
2:40.0,S. Johnson enters the game for M. Morris,,21-20,,
2:40.0,,,21-20,,A. Brooks enters the game for D. Rose
2:33.0,S. Blake makes 3-pt shot from 25 ft (assist by E. Ilyasova),3,24-20,,
2:17.0,,,24-22,2,J. Butler makes 2-pt shot from 2 ft
2:17.0,,,24-22,,Shooting foul by K. Caldwell-Pope (drawn by J. Butler)
2:17.0,M. Morris enters the game for K. Caldwell-Pope,,24-22,,
2:17.0,,,24-23,1,J. Butler makes free throw 1 of 1
2:04.0,Turnover by M. Morris (bad pass; steal by J. Noah),,24-23,,
1:54.0,,,24-23,,J. Butler misses 2-pt shot from 18 ft
1:53.0,Defensive rebound by S. Blake,,24-23,,
1:33.0,S. Johnson misses 2-pt shot from 11 ft,,24-23,,
1:31.0,Offensive rebound by E. Ilyasova,,24-23,,
1:31.0,E. Ilyasova misses 2-pt shot from 1 ft (block by J. Butler),,24-23,,
1:29.0,Offensive rebound by A. Drummond,,24-23,,
1:28.0,A. Drummond makes 2-pt shot from 1 ft,2,26-23,,
1:18.0,,,26-23,,D. McDermott misses 3-pt shot from 23 ft
1:17.0,Defensive rebound by E. Ilyasova,,26-23,,
1:13.0,Turnover by E. Ilyasova (bad pass; steal by J. Butler),,26-23,,
1:12.0,,,26-23,,Offensive charge foul by J. Butler
1:12.0,,,26-23,,Turnover by J. Butler (offensive foul)
1:12.0,,,26-23,,E. Moore enters the game for J. Butler
0:57.0,S. Blake makes 2-pt shot from 17 ft,2,28-23,,
0:51.0,,,28-25,2,J. Noah makes 2-pt shot from 1 ft (assist by A. Brooks)
0:38.0,S. Johnson misses 3-pt shot from 23 ft,,28-25,,
0:38.0,,,28-25,,Defensive rebound by Team
0:38.0,Loose ball foul by M. Morris (drawn by E. Moore),,28-25,,
0:38.0,,,28-26,1,E. Moore makes free throw 1 of 2
0:38.0,,,28-27,1,E. Moore makes free throw 2 of 2
0:29.0,,,28-27,,Personal foul by D. McDermott (drawn by M. Morris)
0:29.0,M. Morris misses free throw 1 of 2,,28-27,,
0:29.0,Offensive rebound by Team,,28-27,,
0:29.0,M. Morris misses free throw 2 of 2,,28-27,,
0:28.0,,,28-27,,Defensive rebound by A. Brooks
0:06.0,,,28-27,,Offensive charge foul by A. Brooks
0:06.0,,,28-27,,Turnover by A. Brooks (offensive foul)
0:00.0,S. Blake makes 2-pt shot from 20 ft,2,30-27,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:43.0,S. Johnson misses 2-pt shot from 11 ft,,30-27,,
11:42.0,,,30-27,,Defensive rebound by J. Noah
11:33.0,,,30-27,,A. Brooks misses 2-pt shot from 16 ft
11:33.0,Defensive rebound by J. Anthony,,30-27,,
11:33.0,,,30-27,,Personal foul by J. Noah (drawn by J. Anthony)
11:19.0,,,30-27,,Personal foul by N. Mirotic (drawn by M. Morris)
11:06.0,S. Johnson makes 2-pt shot from 19 ft,2,32-27,,
10:47.0,,,32-27,,D. McDermott misses 3-pt shot from 24 ft
10:46.0,,,32-27,,Offensive rebound by A. Brooks
10:39.0,,,32-30,3,E. Moore makes 3-pt shot from 22 ft (assist by J. Noah)
10:17.0,S. Johnson misses 2-pt shot from 16 ft,,32-30,,
10:16.0,,,32-30,,Defensive rebound by N. Mirotic
10:01.0,,,32-30,,E. Moore misses 2-pt shot from 18 ft
10:00.0,Defensive rebound by S. Johnson,,32-30,,
9:51.0,Shooting foul by E. Moore (drawn by M. Morris),,32-30,,
9:51.0,M. Morris makes free throw 1 of 2,1,33-30,,
9:51.0,R. Jackson enters the game for S. Blake,,33-30,,
9:51.0,,,33-30,,T. Gibson enters the game for E. Moore
9:51.0,M. Morris misses free throw 2 of 2,,33-30,,
9:49.0,,,33-30,,Defensive rebound by N. Mirotic
9:32.0,,,33-30,,Turnover by J. Noah (bad pass)
9:11.0,M. Morris misses 2-pt shot from 16 ft,,33-30,,
9:10.0,,,33-30,,Defensive rebound by J. Noah
8:56.0,,,33-30,,T. Gibson misses 2-pt shot from 1 ft
8:55.0,,,33-30,,Offensive rebound by J. Noah
8:55.0,,,33-30,,J. Noah misses 2-pt shot at rim
8:53.0,Defensive rebound by S. Johnson,,33-30,,
8:49.0,Shooting foul by A. Brooks (drawn by M. Morris),,33-30,,
8:49.0,Detroit full timeout,,33-30,,
8:49.0,M. Morris makes free throw 1 of 2,1,34-30,,
8:49.0,M. Morris makes free throw 2 of 2,1,35-30,,
8:40.0,,,35-32,2,D. McDermott makes 2-pt shot from 2 ft (assist by J. Noah)
8:18.0,R. Jackson makes 2-pt shot from 13 ft,2,37-32,,
8:07.0,,,37-35,3,N. Mirotic makes 3-pt shot from 25 ft (assist by J. Noah)
7:52.0,R. Jackson makes 2-pt shot from 20 ft,2,39-35,,
7:33.0,,,39-35,,T. Gibson misses 2-pt shot from 16 ft
7:32.0,Defensive rebound by J. Anthony,,39-35,,
7:23.0,,,39-35,,Personal foul by D. McDermott (drawn by S. Johnson)
7:23.0,S. Johnson makes free throw 1 of 2,1,40-35,,
7:23.0,K. Caldwell-Pope enters the game for M. Morris,,40-35,,
7:23.0,,,40-35,,D. Rose enters the game for A. Brooks
7:23.0,,,40-35,,J. Butler enters the game for D. McDermott
7:23.0,S. Johnson makes free throw 2 of 2,1,41-35,,
7:16.0,Personal foul by S. Johnson (drawn by N. Mirotic),,41-35,,
7:09.0,,,41-35,,D. Rose misses 2-pt shot from 9 ft
7:08.0,Defensive rebound by R. Jackson,,41-35,,
7:00.0,Shooting foul by J. Butler (drawn by J. Anthony),,41-35,,
7:00.0,J. Anthony makes free throw 1 of 2,1,42-35,,
7:00.0,,,42-35,,K. Hinrich enters the game for J. Butler
7:00.0,J. Anthony makes free throw 2 of 2,1,43-35,,
6:47.0,,,43-35,,Shooting foul by A. Tolliver (drawn by D. Rose)
6:47.0,,,43-36,1,D. Rose makes free throw 1 of 2
6:47.0,A. Drummond enters the game for J. Anthony,,43-36,,
6:47.0,,,43-37,1,D. Rose makes free throw 2 of 2
6:39.0,A. Tolliver misses 3-pt shot from 24 ft,,43-37,,
6:36.0,Offensive rebound by A. Drummond,,43-37,,
6:30.0,K. Caldwell-Pope misses 2-pt shot from 21 ft,,43-37,,
6:28.0,,,43-37,,Defensive rebound by J. Noah
6:22.0,,,43-39,2,J. Noah makes 2-pt shot at rim (assist by D. Rose)
5:56.0,A. Tolliver makes 2-pt shot from 1 ft (assist by K. Caldwell-Pope),2,45-39,,
5:45.0,,,45-39,,Turnover by J. Noah (offensive goaltending)
5:45.0,,,45-39,,Chicago full timeout
5:45.0,,,45-39,,P. Gasol enters the game for J. Noah
5:45.0,E. Ilyasova enters the game for A. Tolliver,,45-39,,
5:27.0,A. Drummond makes 2-pt shot from 6 ft,2,47-39,,
5:14.0,,,47-41,2,P. Gasol makes 2-pt shot from 15 ft (assist by D. Rose)
4:57.0,E. Ilyasova misses 3-pt shot from 23 ft,,47-41,,
4:55.0,,,47-41,,Defensive rebound by N. Mirotic
4:44.0,,,47-41,,D. Rose misses 2-pt shot from 1 ft
4:43.0,,,47-41,,Offensive rebound by T. Gibson
4:43.0,,,47-41,,T. Gibson misses 2-pt shot from 1 ft
4:42.0,Defensive rebound by E. Ilyasova,,47-41,,
4:35.0,Turnover by S. Johnson (bad pass),,47-41,,
4:21.0,,,47-41,,N. Mirotic misses 3-pt shot from 24 ft
4:21.0,Defensive rebound by R. Jackson,,47-41,,
4:06.0,Shooting foul by N. Mirotic (drawn by S. Johnson),,47-41,,
4:06.0,S. Johnson misses free throw 1 of 2,,47-41,,
4:06.0,Offensive rebound by Team,,47-41,,
4:06.0,,,47-41,,T. Snell enters the game for N. Mirotic
4:06.0,S. Johnson makes free throw 2 of 2,1,48-41,,
3:57.0,,,48-43,2,D. Rose makes 2-pt shot from 11 ft
3:37.0,K. Caldwell-Pope misses 2-pt shot from 23 ft,,48-43,,
3:37.0,Offensive rebound by E. Ilyasova,,48-43,,
3:37.0,,,48-43,,Personal foul by T. Gibson (drawn by E. Ilyasova)
3:37.0,E. Ilyasova misses free throw 1 of 2,,48-43,,
3:37.0,Offensive rebound by Team,,48-43,,
3:37.0,E. Ilyasova makes free throw 2 of 2,1,49-43,,
3:28.0,,,49-43,,D. Rose misses 2-pt shot from 13 ft
3:27.0,,,49-43,,Offensive rebound by T. Gibson
3:27.0,,,49-45,2,T. Gibson makes 2-pt shot at rim (assist by P. Gasol)
3:01.0,A. Drummond misses 2-pt shot from 11 ft,,49-45,,
3:00.0,,,49-45,,Defensive rebound by T. Gibson
2:56.0,,,49-47,2,D. Rose makes 2-pt shot at rim
2:44.0,Detroit full timeout,,49-47,,
2:44.0,S. Blake enters the game for R. Jackson,,49-47,,
2:44.0,M. Morris enters the game for K. Caldwell-Pope,,49-47,,
2:34.0,Offensive foul by A. Drummond,,49-47,,
2:34.0,Turnover by A. Drummond (offensive foul),,49-47,,
2:20.0,,,49-47,,D. Rose misses 3-pt shot from 23 ft
2:19.0,Defensive rebound by S. Johnson,,49-47,,
2:09.0,Jump ball: T. Gibson vs. S. Johnson (S. Blake gains possession),,,,Jump ball: T. Gibson vs. S. Johnson (S. Blake gains possession)
2:02.0,Shooting foul by K. Hinrich (drawn by E. Ilyasova),,49-47,,
2:02.0,E. Ilyasova misses free throw 1 of 2,,49-47,,
2:02.0,Offensive rebound by Team,,49-47,,
2:02.0,E. Ilyasova makes free throw 2 of 2,1,50-47,,
1:50.0,,,50-47,,D. Rose misses 2-pt shot from 5 ft
1:47.0,,,50-47,,Offensive rebound by T. Gibson
1:47.0,,,50-49,2,T. Gibson makes 2-pt shot from 1 ft
1:20.0,A. Drummond misses 2-pt shot from 13 ft (block by P. Gasol),,50-49,,
1:19.0,,,50-49,,Defensive rebound by T. Gibson
1:04.0,,,50-49,,D. Rose misses 2-pt shot from 19 ft
1:02.0,Defensive rebound by S. Johnson,,50-49,,
0:53.0,A. Drummond makes 2-pt shot from 4 ft (assist by S. Blake),2,52-49,,
0:39.0,Def 3 sec tech foul by A. Drummond,,52-49,,
0:39.0,,,52-50,1,D. Rose makes technical free throw
0:35.0,,,52-50,,Turnover by P. Gasol (lost ball; steal by S. Blake)
0:35.0,,,52-50,,Personal foul by P. Gasol (drawn by S. Blake)
0:35.0,S. Blake misses free throw 1 of 2,,52-50,,
0:35.0,Offensive rebound by Team,,52-50,,
0:35.0,,,52-50,,N. Mirotic enters the game for T. Gibson
0:35.0,S. Blake makes free throw 2 of 2,1,53-50,,
0:28.0,,,53-50,,Shooting foul by S. Johnson (drawn by P. Gasol)
0:28.0,,,53-51,1,P. Gasol makes free throw 1 of 2
0:28.0,,,53-52,1,P. Gasol makes free throw 2 of 2
0:22.0,,,53-52,,Personal take foul by K. Hinrich (drawn by A. Drummond)
0:22.0,A. Drummond makes free throw 1 of 2,1,54-52,,
0:22.0,,,54-52,,J. Butler enters the game for K. Hinrich
0:22.0,A. Drummond makes free throw 2 of 2,1,55-52,,
0:01.0,,,55-52,,D. Rose misses 2-pt shot from 7 ft (block by A. Drummond)
0:00.0,Defensive rebound by S. Johnson,,55-52,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:44.0,R. Jackson misses 2-pt shot from 17 ft,,55-52,,
11:44.0,,,55-52,,Defensive rebound by Team
11:32.0,,,55-52,,Shooting foul by K. Caldwell-Pope (drawn by J. Butler)
11:32.0,,,55-53,1,J. Butler makes free throw 1 of 2
11:32.0,,,55-54,1,J. Butler makes free throw 2 of 2
11:15.0,E. Ilyasova misses 2-pt shot from 14 ft,,55-54,,
11:14.0,,,55-54,,Defensive rebound by P. Gasol
11:01.0,,,55-56,2,D. Rose makes 2-pt shot from 14 ft
10:34.0,K. Caldwell-Pope makes 2-pt shot from 1 ft,2,57-56,,
10:21.0,,,57-56,,J. Butler misses 2-pt shot from 2 ft
10:19.0,Defensive rebound by A. Drummond,,57-56,,
10:14.0,R. Jackson makes 2-pt shot from 1 ft,2,59-56,,
9:59.0,,,59-56,,P. Gasol misses 2-pt shot from 18 ft
9:58.0,Defensive rebound by K. Caldwell-Pope,,59-56,,
9:36.0,M. Morris misses 3-pt shot from 26 ft,,59-56,,
9:35.0,,,59-56,,Defensive rebound by J. Butler
9:26.0,,,59-56,,D. Rose misses 3-pt shot from 24 ft
9:25.0,Defensive rebound by M. Morris,,59-56,,
9:10.0,A. Drummond misses 2-pt shot from 8 ft,,59-56,,
9:09.0,,,59-56,,Defensive rebound by T. Snell
8:59.0,,,59-56,,Turnover by T. Snell (bad pass; steal by R. Jackson)
8:54.0,Turnover by R. Jackson (lost ball; steal by T. Snell),,59-56,,
8:47.0,,,59-56,,Shooting foul by A. Drummond (drawn by T. Gibson)
8:47.0,,,59-57,1,T. Gibson makes free throw 1 of 2
8:47.0,,,59-58,1,T. Gibson makes free throw 2 of 2
8:22.0,K. Caldwell-Pope misses 2-pt shot from 18 ft,,59-58,,
8:22.0,,,59-58,,Defensive rebound by D. Rose
8:13.0,,,59-58,,Shooting foul by M. Morris (drawn by T. Gibson)
8:13.0,,,59-60,2,T. Gibson makes 2-pt shot from 2 ft (assist by P. Gasol)
8:13.0,,,59-61,1,T. Gibson makes free throw 1 of 1
8:03.0,R. Jackson misses 2-pt shot from 7 ft,,59-61,,
8:02.0,,,59-61,,Defensive rebound by P. Gasol
7:53.0,,,59-61,,Turnover by D. Rose (bad pass; steal by A. Drummond)
7:50.0,Shooting foul by P. Gasol (drawn by A. Drummond),,59-61,,
7:50.0,A. Drummond makes free throw 1 of 2,1,60-61,,
7:50.0,A. Drummond misses free throw 2 of 2,,60-61,,
7:49.0,,,60-61,,Defensive rebound by P. Gasol
7:29.0,,,60-61,,J. Butler misses 2-pt shot from 5 ft (block by K. Caldwell-Pope)
7:28.0,Defensive rebound by A. Drummond,,60-61,,
7:24.0,E. Ilyasova makes 2-pt shot from 1 ft (assist by R. Jackson),2,62-61,,
7:10.0,,,62-61,,J. Butler misses 2-pt shot from 1 ft
7:09.0,Defensive rebound by K. Caldwell-Pope,,62-61,,
7:04.0,Turnover by K. Caldwell-Pope (lost ball; steal by J. Butler),,62-61,,
7:00.0,,,62-63,2,P. Gasol makes 2-pt shot from 1 ft (assist by D. Rose)
7:00.0,,,62-63,,Shooting foul by M. Morris (drawn by P. Gasol)
7:00.0,,,62-64,1,P. Gasol makes free throw 1 of 1
6:51.0,E. Ilyasova misses 3-pt shot from 25 ft,,62-64,,
6:50.0,,,62-64,,Defensive rebound by T. Gibson
6:38.0,,,62-64,,J. Butler misses 3-pt shot from 24 ft
6:37.0,Defensive rebound by A. Drummond,,62-64,,
6:28.0,R. Jackson misses 2-pt shot at rim,,62-64,,
6:27.0,,,62-64,,Defensive rebound by D. Rose
6:23.0,,,62-64,,Shooting foul by A. Drummond (drawn by J. Butler)
6:23.0,,,62-65,1,J. Butler makes free throw 1 of 2
6:23.0,,,62-66,1,J. Butler makes free throw 2 of 2
6:20.0,Detroit full timeout,,62-66,,
6:09.0,E. Ilyasova misses 3-pt shot from 25 ft,,62-66,,
6:08.0,,,62-66,,Defensive rebound by P. Gasol
5:49.0,,,62-69,3,D. Rose makes 3-pt shot from 25 ft (assist by P. Gasol)
5:36.0,M. Morris misses 2-pt shot from 2 ft (block by T. Gibson),,62-69,,
5:33.0,,,62-69,,Defensive rebound by T. Gibson
5:24.0,,,62-69,,Offensive foul by T. Gibson
5:24.0,,,62-69,,Turnover by T. Gibson (offensive foul)
5:07.0,M. Morris misses 3-pt shot from 24 ft,,62-69,,
5:06.0,Offensive rebound by A. Drummond,,62-69,,
5:06.0,Shooting foul by P. Gasol (drawn by A. Drummond),,62-69,,
5:06.0,A. Drummond misses free throw 1 of 2,,62-69,,
5:06.0,Offensive rebound by Team,,62-69,,
5:06.0,A. Drummond makes free throw 2 of 2,1,63-69,,
4:47.0,,,63-69,,J. Butler misses 2-pt shot from 9 ft
4:45.0,Defensive rebound by A. Drummond,,63-69,,
4:31.0,Shooting foul by P. Gasol (drawn by A. Drummond),,63-69,,
4:31.0,A. Drummond misses free throw 1 of 2,,63-69,,
4:31.0,Offensive rebound by Team,,63-69,,
4:31.0,,,63-69,,D. McDermott enters the game for T. Snell
4:31.0,,,63-69,,J. Noah enters the game for P. Gasol
4:31.0,S. Johnson enters the game for M. Morris,,63-69,,
4:31.0,A. Drummond misses free throw 2 of 2,,63-69,,
4:30.0,,,63-69,,Defensive rebound by J. Noah
4:17.0,,,63-69,,Shooting foul by R. Jackson (drawn by T. Gibson)
4:17.0,,,63-69,,T. Gibson misses free throw 1 of 2
4:17.0,,,63-69,,Offensive rebound by Team
4:17.0,,,63-70,1,T. Gibson makes free throw 2 of 2
4:07.0,,,63-70,,Def 3 sec tech foul by T. Gibson
4:07.0,,,63-70,,N. Mirotic enters the game for T. Gibson
4:07.0,R. Jackson makes technical free throw,1,64-70,,
4:00.0,A. Drummond makes 2-pt shot at rim (assist by R. Jackson),2,66-70,,
3:37.0,,,66-72,2,D. Rose makes 2-pt shot from 13 ft
3:21.0,S. Johnson makes 2-pt shot from 12 ft (assist by R. Jackson),2,68-72,,
3:12.0,,,68-72,,Turnover by J. Noah (bad pass)
3:01.0,Offensive foul by A. Drummond,,68-72,,
3:01.0,Turnover by A. Drummond (offensive foul),,68-72,,
3:01.0,J. Anthony enters the game for A. Drummond,,68-72,,
2:50.0,,,68-74,2,D. Rose makes 2-pt shot from 7 ft
2:26.0,R. Jackson makes 2-pt shot from 1 ft,2,70-74,,
2:11.0,,,70-76,2,D. Rose makes 2-pt shot from 9 ft
1:53.0,E. Ilyasova makes 2-pt shot at rim (assist by R. Jackson),2,72-76,,
1:41.0,,,72-76,,Chicago full timeout
1:41.0,,,72-76,,Turnover by Team (5 sec inbounds)
1:23.0,R. Jackson misses 2-pt shot at rim,,72-76,,
1:22.0,Offensive rebound by K. Caldwell-Pope,,72-76,,
1:13.0,K. Caldwell-Pope makes 2-pt shot from 19 ft,2,74-76,,
0:55.0,,,74-76,,N. Mirotic misses 3-pt shot from 24 ft
0:53.0,,,74-76,,Offensive rebound by J. Noah
0:46.0,,,74-76,,Turnover by J. Butler (bad pass)
0:30.0,K. Caldwell-Pope misses 2-pt shot from 18 ft,,74-76,,
0:29.0,,,74-76,,Defensive rebound by N. Mirotic
0:10.0,,,74-76,,D. Rose misses 2-pt shot from 20 ft
0:08.0,,,74-76,,Offensive rebound by J. Noah
0:02.0,,,74-76,,Shooting foul by J. Anthony (drawn by J. Butler)
0:02.0,,,74-76,,Technical foul by J. Noah
0:02.0,R. Jackson misses technical free throw,,74-76,,
0:02.0,,,74-76,,Offensive rebound by Team
0:02.0,,,74-76,,K. Hinrich enters the game for D. Rose
0:02.0,,,74-77,1,J. Butler makes free throw 1 of 2
0:02.0,A. Drummond enters the game for E. Ilyasova,,74-77,,
0:02.0,,,74-77,,J. Butler misses free throw 2 of 2
0:02.0,Defensive rebound by K. Caldwell-Pope,,74-77,,
0:00.0,K. Caldwell-Pope misses 3-pt shot from 54 ft,,74-77,,
0:00.0,Offensive rebound by Team,,74-77,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:46.0,,,74-77,,Turnover by J. Butler (bad pass; steal by S. Johnson)
11:26.0,M. Morris misses 2-pt shot from 10 ft,,74-77,,
11:25.0,Offensive rebound by M. Morris,,74-77,,
11:17.0,Turnover by M. Morris (bad pass),,74-77,,
11:05.0,,,74-79,2,J. Butler makes 2-pt shot from 1 ft (assist by J. Noah)
10:45.0,,,74-79,,Personal foul by K. Hinrich (drawn by S. Blake)
10:37.0,S. Johnson makes 3-pt shot from 24 ft (assist by A. Drummond),3,77-79,,
10:22.0,,,77-79,,N. Mirotic misses 2-pt shot from 13 ft
10:20.0,Defensive rebound by A. Drummond,,77-79,,
10:13.0,S. Blake misses 3-pt shot from 24 ft,,77-79,,
10:12.0,Offensive rebound by A. Drummond,,77-79,,
10:01.0,A. Tolliver misses 2-pt shot from 1 ft,,77-79,,
10:01.0,,,77-79,,Defensive rebound by Team
10:01.0,Loose ball foul by A. Drummond (drawn by J. Noah),,77-79,,
10:01.0,Technical foul by A. Drummond (drawn by J. Noah),,77-79,,
10:01.0,,,77-80,1,J. Butler makes technical free throw
10:01.0,J. Anthony enters the game for A. Drummond,,77-80,,
9:54.0,Personal foul by M. Morris (drawn by J. Butler),,77-80,,
9:37.0,,,77-80,,N. Mirotic misses 2-pt shot from 1 ft
9:36.0,Defensive rebound by J. Anthony,,77-80,,
9:30.0,S. Johnson misses 2-pt shot from 11 ft,,77-80,,
9:28.0,Offensive rebound by S. Johnson,,77-80,,
9:27.0,S. Johnson makes 2-pt shot from 1 ft,2,79-80,,
9:11.0,,,79-80,,K. Hinrich misses 3-pt shot from 24 ft
9:10.0,Defensive rebound by M. Morris,,79-80,,
9:01.0,S. Blake misses 2-pt shot from 19 ft,,79-80,,
9:00.0,Offensive rebound by S. Blake,,79-80,,
8:49.0,S. Johnson makes 2-pt shot from 14 ft,2,81-80,,
8:49.0,,,81-80,,Chicago full timeout
8:49.0,,,81-80,,A. Brooks enters the game for D. McDermott
8:35.0,,,81-82,2,J. Butler makes 2-pt shot from 3 ft
8:20.0,Offensive foul by S. Johnson,,81-82,,
8:20.0,Turnover by S. Johnson (offensive foul),,81-82,,
8:06.0,,,81-82,,Shooting foul by J. Anthony (drawn by J. Butler)
8:06.0,,,81-82,,J. Butler misses free throw 1 of 2
8:06.0,,,81-82,,Offensive rebound by Team
8:06.0,,,81-83,1,J. Butler makes free throw 2 of 2
7:55.0,M. Morris makes 2-pt shot from 12 ft (assist by S. Blake),2,83-83,,
7:39.0,,,83-85,2,A. Brooks makes 2-pt shot from 15 ft
7:25.0,M. Morris makes 2-pt shot from 1 ft,2,85-85,,
7:00.0,,,85-85,,N. Mirotic misses 2-pt shot from 1 ft
6:59.0,Defensive rebound by S. Johnson,,85-85,,
6:49.0,S. Johnson makes 2-pt shot from 13 ft,2,87-85,,
6:20.0,,,87-85,,A. Brooks misses 2-pt shot from 1 ft
