time,Houston,pts.away,score,pts.home,Washington
8:55.0,,,34-25,2,O. Porter makes 2-pt shot from 2 ft
8:55.0,,,34-25,,Shooting foul by T. Lawson (drawn by O. Porter)
8:55.0,Official timeout,,34-25,,
8:55.0,Violation by Team (delay of game),,34-25,,
8:55.0,J. Harden enters the game for T. Lawson,,34-25,,
8:55.0,,,34-26,1,O. Porter makes free throw 1 of 1
8:42.0,M. Thornton makes 3-pt shot from 27 ft (assist by P. Beverley),3,37-26,,
8:28.0,,,37-26,,Shooting foul by J. Harden (drawn by R. Sessions)
8:28.0,,,37-27,1,R. Sessions makes free throw 1 of 2
8:28.0,,,37-28,1,R. Sessions makes free throw 2 of 2
8:08.0,P. Beverley makes 3-pt shot from 24 ft (assist by M. Thornton),3,40-28,,
7:56.0,,,40-31,3,B. Beal makes 3-pt shot from 29 ft (assist by O. Porter)
7:45.0,Shooting foul by D. Blair (drawn by J. Harden),,40-31,,
7:45.0,J. Harden misses free throw 1 of 2,,40-31,,
7:45.0,Offensive rebound by Team,,40-31,,
7:45.0,J. Harden makes free throw 2 of 2,1,41-31,,
7:29.0,,,41-31,,Turnover by B. Beal (lost ball; steal by M. Thornton)
7:27.0,,,41-31,,Violation by O. Porter (kicked ball)
7:27.0,,,41-31,,J. Wall enters the game for R. Sessions
7:23.0,J. Harden misses 3-pt shot from 26 ft,,41-31,,
7:22.0,,,41-31,,Defensive rebound by O. Porter
7:09.0,,,41-31,,G. Neal misses 2-pt shot from 18 ft
7:08.0,Defensive rebound by P. Beverley,,41-31,,
7:00.0,M. Thornton misses 3-pt shot from 26 ft,,41-31,,
6:59.0,,,41-31,,Defensive rebound by D. Blair
6:49.0,,,41-34,3,G. Neal makes 3-pt shot from 27 ft (assist by J. Wall)
6:33.0,P. Beverley misses 3-pt shot from 25 ft,,41-34,,
6:32.0,Offensive rebound by J. Harden,,41-34,,
6:27.0,Houston full timeout,,41-34,,
6:27.0,C. Brewer enters the game for C. Capela,,41-34,,
6:27.0,D. Howard enters the game for M. Thornton,,41-34,,
6:27.0,,,41-34,,M. Gortat enters the game for D. Blair
6:16.0,D. Howard misses 2-pt shot from 1 ft,,41-34,,
6:15.0,,,41-34,,Defensive rebound by J. Wall
6:07.0,,,41-34,,Turnover by J. Wall (bad pass; steal by J. Harden)
5:56.0,J. Harden makes 3-pt shot from 25 ft (assist by C. Brewer),3,44-34,,
5:43.0,,,44-34,,Shooting foul by C. Brewer (drawn by B. Beal)
5:43.0,,,44-34,,Washington full timeout
5:43.0,,,44-34,,J. Dudley enters the game for O. Porter
5:43.0,T. Lawson enters the game for P. Beverley,,44-34,,
5:43.0,,,44-35,1,B. Beal makes free throw 1 of 2
5:43.0,,,44-36,1,B. Beal makes free throw 2 of 2
5:25.0,C. Brewer makes 2-pt shot from 7 ft,2,46-36,,
5:01.0,,,46-36,,G. Neal misses 2-pt shot from 11 ft
5:00.0,Defensive rebound by D. Howard,,46-36,,
4:55.0,J. Harden makes 3-pt shot from 27 ft (assist by D. Howard),3,49-36,,
4:43.0,,,49-36,,B. Beal misses 3-pt shot from 26 ft
4:42.0,Defensive rebound by T. Jones,,49-36,,
4:35.0,Turnover by J. Harden (lost ball),,49-36,,
4:35.0,,,49-36,,G. Temple enters the game for G. Neal
4:22.0,Violation by D. Howard (def goaltending),,49-36,,
4:22.0,,,49-38,2,M. Gortat makes 2-pt shot from 1 ft (assist by J. Wall)
4:22.0,Technical foul by D. Howard,,49-38,,
4:22.0,,,49-39,1,B. Beal makes technical free throw
4:05.0,C. Brewer misses 2-pt shot from 4 ft,,49-39,,
4:04.0,,,49-39,,Defensive rebound by J. Dudley
3:57.0,,,49-39,,Turnover by M. Gortat (offensive goaltending)
3:44.0,J. Harden makes 2-pt shot from 14 ft,2,51-39,,
3:22.0,,,51-39,,G. Temple misses 2-pt shot from 2 ft
3:21.0,,,51-39,,Offensive rebound by M. Gortat
3:20.0,,,51-41,2,M. Gortat makes 2-pt shot from 2 ft
3:00.0,J. Harden misses 2-pt shot from 14 ft,,51-41,,
3:00.0,,,51-41,,Defensive rebound by M. Gortat
2:56.0,,,51-41,,Offensive foul by J. Wall
2:56.0,,,51-41,,Turnover by J. Wall (offensive foul)
2:56.0,Houston full timeout,,51-41,,
2:43.0,D. Howard misses 2-pt shot from 3 ft,,51-41,,
2:42.0,,,51-41,,Defensive rebound by B. Beal
2:25.0,,,51-43,2,J. Wall makes 2-pt shot from 10 ft
2:04.0,Shooting foul by G. Temple (drawn by C. Brewer),,51-43,,
2:04.0,C. Brewer makes free throw 1 of 2,1,52-43,,
2:04.0,C. Capela enters the game for D. Howard,,52-43,,
2:04.0,P. Beverley enters the game for T. Lawson,,52-43,,
2:04.0,C. Brewer makes free throw 2 of 2,1,53-43,,
1:57.0,Personal foul by T. Jones (drawn by J. Dudley),,53-43,,
1:57.0,,,53-44,1,J. Dudley makes free throw 1 of 2
1:57.0,M. Thornton enters the game for C. Brewer,,53-44,,
1:57.0,,,53-45,1,J. Dudley makes free throw 2 of 2
1:38.0,Turnover by P. Beverley (traveling),,53-45,,
1:38.0,,,53-45,,D. Blair enters the game for M. Gortat
1:24.0,,,53-45,,G. Temple misses 3-pt shot from 24 ft
1:23.0,Defensive rebound by C. Capela,,53-45,,
1:17.0,M. Thornton misses 3-pt shot from 27 ft,,53-45,,
1:16.0,,,53-45,,Defensive rebound by G. Temple
1:11.0,,,53-47,2,J. Wall makes 2-pt shot at rim (assist by G. Temple)
0:59.0,Turnover by J. Harden (bad pass),,53-47,,
0:59.0,C. Brewer enters the game for M. Thornton,,53-47,,
0:39.0,,,53-47,,Turnover by B. Beal (traveling)
0:39.0,,,53-47,,R. Sessions enters the game for J. Wall
0:30.0,P. Beverley makes 3-pt shot from 23 ft (assist by J. Harden),3,56-47,,
0:13.0,,,56-47,,Turnover by B. Beal (bad pass)
0:03.0,,,56-47,,Personal take foul by B. Beal (drawn by J. Harden)
0:03.0,Turnover by P. Beverley (bad pass),,56-47,,
0:03.0,,,56-47,,J. Wall enters the game for G. Temple
0:02.0,,,56-47,,Offensive foul by D. Blair
0:02.0,,,56-47,,Turnover by D. Blair (offensive foul)
0:02.0,,,56-47,,G. Temple enters the game for J. Wall
0:02.0,M. Thornton enters the game for C. Capela,,56-47,,
0:02.0,,,56-47,,G. Neal enters the game for D. Blair
0:01.0,C. Brewer misses 3-pt shot from 28 ft,,56-47,,
0:00.0,Offensive rebound by Team,,56-47,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:40.0,P. Beverley makes 2-pt shot from 2 ft (assist by J. Harden),2,58-47,,
11:25.0,Personal foul by C. Brewer (drawn by J. Wall),,58-47,,
11:20.0,,,58-47,,J. Wall misses 3-pt shot from 25 ft
11:18.0,Defensive rebound by Team,,58-47,,
11:02.0,J. Harden makes 2-pt shot from 14 ft,2,60-47,,
10:49.0,,,60-50,3,J. Dudley makes 3-pt shot from 24 ft (assist by J. Wall)
10:21.0,C. Brewer makes 2-pt shot from 21 ft (assist by J. Harden),2,62-50,,
10:04.0,,,62-50,,O. Porter misses 3-pt shot from 24 ft
10:03.0,,,62-50,,Offensive rebound by M. Gortat
10:00.0,,,62-50,,B. Beal misses 3-pt shot from 26 ft
9:59.0,Defensive rebound by C. Brewer,,62-50,,
9:55.0,Turnover by C. Brewer (lost ball),,62-50,,
9:42.0,,,62-52,2,J. Wall makes 2-pt shot from 19 ft
9:30.0,Turnover by J. Harden (lost ball; steal by J. Dudley),,62-52,,
9:25.0,,,62-54,2,O. Porter makes 2-pt shot at rim (assist by J. Dudley)
9:24.0,Houston full timeout,,62-54,,
9:24.0,T. Jones enters the game for C. Capela,,62-54,,
9:14.0,Turnover by T. Jones (bad pass; steal by M. Gortat),,62-54,,
9:10.0,,,62-54,,Shooting foul by D. Howard (drawn by J. Wall)
9:10.0,,,62-55,1,J. Wall makes free throw 1 of 2
9:10.0,,,62-56,1,J. Wall makes free throw 2 of 2
8:51.0,C. Brewer misses 3-pt shot from 23 ft,,62-56,,
8:49.0,,,62-56,,Defensive rebound by J. Wall
8:44.0,,,62-58,2,B. Beal makes 2-pt shot from 2 ft (assist by J. Wall)
8:33.0,Turnover by P. Beverley (bad pass; steal by J. Dudley),,62-58,,
8:29.0,Personal foul by P. Beverley (drawn by J. Wall),,62-58,,
8:18.0,,,62-58,,J. Wall misses 2-pt shot from 6 ft
8:17.0,,,62-58,,Offensive rebound by J. Wall
8:13.0,,,62-61,3,J. Dudley makes 3-pt shot from 26 ft (assist by J. Wall)
8:12.0,Houston full timeout,,62-61,,
8:12.0,M. Thornton enters the game for C. Brewer,,62-61,,
8:12.0,C. Capela enters the game for D. Howard,,62-61,,
7:55.0,Turnover by M. Thornton (lost ball; steal by O. Porter),,62-61,,
7:49.0,,,62-61,,J. Dudley misses 2-pt shot at rim (block by T. Jones)
7:49.0,,,62-61,,Offensive rebound by Team
7:43.0,,,62-61,,Turnover by M. Gortat (traveling)
7:30.0,J. Harden misses 2-pt shot from 5 ft (block by J. Wall),,62-61,,
7:28.0,,,62-61,,Defensive rebound by B. Beal
7:25.0,,,62-63,2,J. Wall makes 2-pt shot at rim (assist by B. Beal)
7:01.0,M. Thornton makes 2-pt shot from 17 ft,2,64-63,,
6:53.0,,,64-63,,Turnover by B. Beal (bad pass; steal by C. Capela)
6:45.0,,,64-63,,Personal foul by J. Dudley (drawn by J. Harden)
6:45.0,T. Lawson enters the game for T. Jones,,64-63,,
6:35.0,J. Harden misses 3-pt shot from 24 ft,,64-63,,
6:33.0,,,64-63,,Defensive rebound by O. Porter
6:33.0,,,64-63,,Shooting foul by T. Lawson (drawn by B. Beal)
6:33.0,,,64-63,,B. Beal misses free throw 1 of 2
6:33.0,,,64-63,,Offensive rebound by Team
6:33.0,,,64-63,,B. Beal misses free throw 2 of 2
6:32.0,Defensive rebound by J. Harden,,64-63,,
6:16.0,C. Capela misses 2-pt shot from 2 ft,,64-63,,
6:15.0,Offensive rebound by C. Capela,,64-63,,
6:15.0,C. Capela makes 2-pt shot from 2 ft,2,66-63,,
6:15.0,Shooting foul by J. Dudley (drawn by C. Capela),,66-63,,
6:15.0,C. Capela misses free throw 1 of 1,,66-63,,
6:14.0,,,66-63,,Defensive rebound by M. Gortat
6:01.0,,,66-65,2,M. Gortat makes 2-pt shot at rim (assist by J. Wall)
5:48.0,M. Thornton misses 3-pt shot from 25 ft,,66-65,,
5:44.0,Offensive rebound by Team,,66-65,,
5:39.0,M. Thornton misses 3-pt shot from 26 ft,,66-65,,
5:38.0,,,66-65,,Defensive rebound by J. Wall
5:32.0,,,66-67,2,J. Wall makes 2-pt shot from 1 ft
5:12.0,P. Beverley misses 3-pt shot from 24 ft,,66-67,,
5:11.0,,,66-67,,Defensive rebound by J. Wall
5:03.0,,,66-69,2,M. Gortat makes 2-pt shot at rim (assist by J. Wall)
4:48.0,Shooting foul by M. Gortat (drawn by J. Harden),,66-69,,
4:48.0,J. Harden makes free throw 1 of 2,1,67-69,,
4:48.0,J. Terry enters the game for P. Beverley,,67-69,,
4:48.0,D. Howard enters the game for C. Capela,,67-69,,
4:48.0,J. Harden makes free throw 2 of 2,1,68-69,,
4:27.0,,,68-71,2,J. Wall makes 2-pt shot from 16 ft
4:04.0,J. Harden misses 2-pt shot from 16 ft,,68-71,,
4:04.0,,,68-71,,Defensive rebound by Team
4:04.0,Loose ball foul by D. Howard (drawn by M. Gortat),,68-71,,
4:04.0,,,68-72,1,M. Gortat makes free throw 1 of 2
4:04.0,,,68-72,,R. Sessions enters the game for J. Dudley
4:04.0,,,68-73,1,M. Gortat makes free throw 2 of 2
3:45.0,,,68-73,,Personal foul by O. Porter (drawn by M. Thornton)
3:34.0,Turnover by M. Thornton (bad pass; steal by J. Wall),,68-73,,
3:25.0,,,68-73,,Shooting foul by M. Thornton (drawn by O. Porter)
3:25.0,,,68-73,,O. Porter misses free throw 1 of 2
3:25.0,,,68-73,,Offensive rebound by Team
3:25.0,,,68-74,1,O. Porter makes free throw 2 of 2
3:02.0,J. Harden makes 2-pt shot from 18 ft (assist by T. Lawson),2,70-74,,
2:44.0,,,70-76,2,O. Porter makes 2-pt shot at rim (assist by M. Gortat)
2:31.0,,,70-76,,Personal foul by J. Wall (drawn by J. Harden)
2:31.0,J. Harden makes free throw 1 of 2,1,71-76,,
2:31.0,,,71-76,,G. Neal enters the game for J. Wall
2:31.0,C. Brewer enters the game for M. Thornton,,71-76,,
2:31.0,J. Harden makes free throw 2 of 2,1,72-76,,
2:31.0,,,72-76,,Washington full timeout
2:11.0,,,72-76,,G. Neal misses 2-pt shot from 10 ft
2:10.0,Defensive rebound by J. Harden,,72-76,,
2:03.0,J. Harden makes 3-pt shot from 25 ft,3,75-76,,
1:47.0,,,75-76,,Offensive foul by M. Gortat
1:47.0,,,75-76,,Turnover by M. Gortat (offensive foul)
1:35.0,T. Lawson makes 2-pt shot from 19 ft,2,77-76,,
1:16.0,,,77-76,,R. Sessions misses 3-pt shot from 26 ft
1:15.0,Defensive rebound by D. Howard,,77-76,,
1:10.0,J. Harden makes 2-pt shot at rim (assist by D. Howard),2,79-76,,
1:10.0,Shooting foul by O. Porter (drawn by J. Harden),,79-76,,
1:10.0,,,79-76,,D. Blair enters the game for M. Gortat
1:10.0,J. Harden makes free throw 1 of 1,1,80-76,,
0:56.0,,,80-78,2,B. Beal makes 2-pt shot from 19 ft (assist by D. Blair)
0:56.0,,,80-78,,Shooting foul by C. Brewer (drawn by B. Beal)
0:56.0,,,80-78,,G. Temple enters the game for O. Porter
0:56.0,,,80-79,1,B. Beal makes free throw 1 of 1
0:43.0,C. Brewer misses 3-pt shot from 24 ft,,80-79,,
0:42.0,,,80-79,,Defensive rebound by R. Sessions
0:36.0,,,80-79,,Shooting foul by D. Howard (drawn by G. Temple)
0:36.0,,,80-79,,G. Temple misses free throw 1 of 2
0:36.0,,,80-79,,Offensive rebound by Team
0:36.0,P. Beverley enters the game for C. Brewer,,80-79,,
0:36.0,,,80-80,1,G. Temple makes free throw 2 of 2
0:26.0,J. Harden makes 2-pt shot from 20 ft,2,82-80,,
0:09.0,,,82-82,2,R. Sessions makes 2-pt shot from 1 ft
0:09.0,,,82-82,,Shooting foul by J. Harden (drawn by R. Sessions)
0:09.0,,,82-83,1,R. Sessions makes free throw 1 of 1
0:02.0,Turnover by J. Harden (bad pass),,82-83,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:41.0,,,82-83,,B. Beal misses 3-pt shot from 26 ft
11:40.0,Defensive rebound by D. Motiejunas,,82-83,,
11:27.0,Turnover by D. Motiejunas (3 sec),,82-83,,
11:27.0,,,82-83,,G. Temple enters the game for B. Beal
11:11.0,,,82-85,2,R. Sessions makes 2-pt shot from 1 ft (assist by J. Wall)
11:02.0,Turnover by P. Beverley (traveling),,82-85,,
10:52.0,,,82-87,2,J. Wall makes 2-pt shot from 1 ft
10:33.0,Turnover by J. Harden (lost ball; steal by G. Temple),,82-87,,
10:26.0,,,82-87,,J. Wall misses 2-pt shot from 17 ft
10:25.0,Defensive rebound by J. Harden,,82-87,,
10:22.0,,,82-87,,Personal take foul by R. Sessions (drawn by J. Harden)
10:05.0,P. Beverley makes 3-pt shot from 25 ft (assist by T. Lawson),3,85-87,,
9:44.0,,,85-89,2,G. Neal makes 2-pt shot from 10 ft
9:30.0,P. Beverley misses 3-pt shot from 24 ft,,85-89,,
9:29.0,,,85-89,,Defensive rebound by G. Temple
9:23.0,,,85-91,2,G. Temple makes 2-pt shot at rim (assist by R. Sessions)
9:04.0,Turnover by D. Motiejunas (3 sec),,85-91,,
9:04.0,C. Brewer enters the game for T. Lawson,,85-91,,
8:50.0,,,85-91,,G. Neal misses 3-pt shot from 25 ft (block by J. Harden)
8:48.0,,,85-91,,Offensive rebound by G. Temple
8:45.0,,,85-91,,J. Wall misses 3-pt shot from 26 ft
8:44.0,Defensive rebound by D. Motiejunas,,85-91,,
8:34.0,C. Brewer makes 2-pt shot from 2 ft,2,87-91,,
8:27.0,,,87-91,,G. Neal misses 3-pt shot from 25 ft
8:25.0,Defensive rebound by D. Motiejunas,,87-91,,
8:16.0,Shooting foul by D. Blair (drawn by J. Harden),,87-91,,
8:16.0,Official timeout,,87-91,,
8:16.0,J. Harden makes free throw 1 of 2,1,88-91,,
8:16.0,J. Harden makes free throw 2 of 2,1,89-91,,
8:04.0,Personal block foul by D. Motiejunas (drawn by G. Neal),,89-91,,
8:04.0,,,89-91,,M. Gortat enters the game for D. Blair
7:58.0,,,89-91,,G. Neal misses 3-pt shot from 25 ft
7:56.0,Defensive rebound by C. Brewer,,89-91,,
7:41.0,J. Terry misses 3-pt shot from 26 ft,,89-91,,
7:40.0,,,89-91,,Defensive rebound by R. Sessions
7:29.0,Personal foul by D. Motiejunas (drawn by J. Wall),,89-91,,
7:16.0,,,89-93,2,J. Wall makes 2-pt shot from 20 ft
7:06.0,J. Harden misses 3-pt shot from 25 ft,,89-93,,
7:05.0,,,89-93,,Defensive rebound by M. Gortat
6:55.0,,,89-93,,J. Wall misses 2-pt shot from 17 ft
6:53.0,Defensive rebound by J. Harden,,89-93,,
6:42.0,J. Harden misses 3-pt shot from 26 ft,,89-93,,
6:41.0,,,89-93,,Defensive rebound by R. Sessions
6:35.0,,,89-93,,J. Wall misses 2-pt shot from 1 ft
6:33.0,Defensive rebound by P. Beverley,,89-93,,
6:28.0,J. Terry makes 3-pt shot from 24 ft (assist by C. Brewer),3,92-93,,
6:16.0,Personal foul by J. Harden (drawn by R. Sessions),,92-93,,
6:16.0,,,92-93,,B. Beal enters the game for R. Sessions
6:16.0,D. Howard enters the game for D. Motiejunas,,92-93,,
6:16.0,M. Thornton enters the game for J. Harden,,92-93,,
6:08.0,,,92-93,,Turnover by B. Beal (lost ball; steal by C. Brewer)
6:02.0,P. Beverley makes 3-pt shot from 26 ft (assist by J. Terry),3,95-93,,
