time,Washington,pts.away,score,pts.home,Minnesota
8:12.0,,,5-10,,Defensive rebound by Team
8:03.0,,,5-10,,Turnover by R. Rubio (bad pass; steal by J. Wall)
7:59.0,J. Wall makes 2-pt shot at rim,2,7-10,,
7:37.0,,,7-10,,Shooting foul by M. Morris (drawn by K. Towns)
7:37.0,,,7-11,1,K. Towns makes free throw 1 of 2
7:37.0,J. Dudley enters the game for M. Morris,,7-11,,
7:37.0,,,7-12,1,K. Towns makes free throw 2 of 2
7:25.0,J. Wall misses 2-pt shot at rim,,7-12,,
7:24.0,,,7-12,,Defensive rebound by G. Dieng
7:13.0,,,7-12,,Z. LaVine misses 2-pt shot from 20 ft
7:11.0,,,7-12,,Offensive rebound by K. Towns
7:08.0,,,7-12,,Z. LaVine misses 2-pt shot from 1 ft
7:07.0,,,7-12,,Offensive rebound by K. Towns
7:07.0,,,7-14,2,K. Towns makes 2-pt shot at rim
7:00.0,Washington full timeout,,7-14,,
7:00.0,B. Beal enters the game for G. Temple,,7-14,,
6:50.0,B. Beal makes 2-pt shot from 11 ft,2,9-14,,
6:50.0,Shooting foul by R. Rubio (drawn by B. Beal),,9-14,,
6:50.0,B. Beal misses free throw 1 of 1,,9-14,,
6:49.0,,,9-14,,Defensive rebound by G. Dieng
6:33.0,,,9-17,3,Z. LaVine makes 3-pt shot from 23 ft (assist by G. Dieng)
6:14.0,B. Beal misses 2-pt shot from 20 ft,,9-17,,
6:13.0,,,9-17,,Defensive rebound by G. Dieng
5:55.0,,,9-17,,R. Rubio misses 2-pt shot at rim
5:54.0,Defensive rebound by J. Dudley,,9-17,,
5:48.0,Turnover by J. Wall (lost ball; steal by R. Rubio),,9-17,,
5:44.0,,,9-17,,Z. LaVine misses 2-pt shot at rim
5:42.0,,,9-17,,Offensive rebound by R. Rubio
5:40.0,,,9-17,,R. Rubio misses 2-pt shot from 11 ft
5:39.0,,,9-17,,Offensive rebound by G. Dieng
5:30.0,,,9-19,2,K. Towns makes 2-pt shot from 1 ft
5:23.0,Turnover by O. Porter (bad pass),,9-19,,
5:23.0,N. Hilario enters the game for M. Gortat,,9-19,,
5:16.0,,,9-21,2,Z. LaVine makes 2-pt shot from 19 ft (assist by R. Rubio)
5:07.0,J. Wall makes 2-pt shot from 1 ft,2,11-21,,
4:45.0,,,11-21,,R. Rubio misses 3-pt shot from 25 ft
4:44.0,Defensive rebound by N. Hilario,,11-21,,
4:37.0,J. Dudley misses 3-pt shot from 24 ft,,11-21,,
4:35.0,Offensive rebound by J. Wall,,11-21,,
4:26.0,J. Dudley makes 3-pt shot from 24 ft (assist by N. Hilario),3,14-21,,
4:06.0,,,14-23,2,A. Wiggins makes 2-pt shot at rim (assist by K. Towns)
3:55.0,N. Hilario makes 2-pt shot from 5 ft (assist by J. Wall),2,16-23,,
3:43.0,,,16-23,,Minnesota full timeout
3:43.0,A. Anderson enters the game for O. Porter,,16-23,,
3:30.0,,,16-23,,K. Towns misses 2-pt shot from 3 ft (block by N. Hilario)
3:28.0,Defensive rebound by J. Dudley,,16-23,,
3:24.0,J. Wall misses 2-pt shot at rim,,16-23,,
3:21.0,Offensive rebound by B. Beal,,16-23,,
3:13.0,A. Anderson makes 2-pt shot from 2 ft,2,18-23,,
2:48.0,,,18-26,3,R. Rubio makes 3-pt shot from 24 ft (assist by K. Towns)
2:30.0,,,18-26,,S. Muhammad enters the game for A. Wiggins
2:30.0,,,18-26,,T. Jones enters the game for R. Rubio
2:19.0,A. Anderson makes 3-pt shot from 25 ft (assist by J. Dudley),3,21-26,,
2:01.0,,,21-26,,Turnover by S. Muhammad (bad pass)
1:47.0,B. Beal misses 2-pt shot from 19 ft,,21-26,,
1:46.0,,,21-26,,Defensive rebound by K. Towns
1:39.0,,,21-26,,G. Dieng misses 2-pt shot from 15 ft
1:38.0,Defensive rebound by N. Hilario,,21-26,,
1:34.0,Shooting foul by Z. LaVine (drawn by J. Wall),,21-26,,
1:34.0,J. Wall makes free throw 1 of 2,1,22-26,,
1:34.0,,,22-26,,A. Payne enters the game for K. Towns
1:34.0,J. Wall makes free throw 2 of 2,1,23-26,,
1:20.0,,,23-29,3,Z. LaVine makes 3-pt shot from 24 ft (assist by G. Dieng)
1:00.0,A. Anderson makes 3-pt shot from 25 ft (assist by J. Dudley),3,26-29,,
0:53.0,,,26-29,,Z. LaVine misses 2-pt shot from 21 ft
0:52.0,Defensive rebound by N. Hilario,,26-29,,
0:42.0,Turnover by J. Wall (bad pass),,26-29,,
0:42.0,R. Sessions enters the game for J. Wall,,26-29,,
0:42.0,,,26-29,,G. Smith enters the game for G. Dieng
0:33.0,,,26-29,,Turnover by A. Payne (lost ball; steal by B. Beal)
0:10.0,B. Beal makes 2-pt shot at rim,2,28-29,,
0:10.0,Shooting foul by G. Smith (drawn by B. Beal),,28-29,,
0:10.0,B. Beal makes free throw 1 of 1,1,29-29,,
0:03.0,Personal foul by B. Beal (drawn by Z. LaVine),,29-29,,
0:01.0,,,29-29,,Shooting foul by J. Dudley (drawn by Z. LaVine)
0:01.0,,,29-30,1,Z. LaVine makes free throw 1 of 3
0:01.0,,,29-31,1,Z. LaVine makes free throw 2 of 3
0:01.0,M. Gortat enters the game for J. Dudley,,29-31,,
0:01.0,,,29-32,1,Z. LaVine makes free throw 3 of 3
0:00.0,A. Anderson misses 3-pt shot from 58 ft,,29-32,,
0:00.0,Offensive rebound by Team,,29-32,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:42.0,N. Hilario misses 2-pt shot from 17 ft,,29-32,,
11:41.0,,,29-32,,Defensive rebound by S. Muhammad
11:28.0,,,29-32,,S. Muhammad misses 2-pt shot from 19 ft
11:26.0,Defensive rebound by J. Dudley,,29-32,,
11:17.0,B. Beal makes 2-pt shot from 5 ft (assist by N. Hilario),2,31-32,,
11:00.0,,,31-32,,A. Payne misses 2-pt shot from 19 ft
10:59.0,Defensive rebound by R. Sessions,,31-32,,
10:54.0,R. Sessions makes 2-pt shot from 5 ft,2,33-32,,
10:32.0,,,33-35,3,T. Jones makes 3-pt shot from 24 ft (assist by G. Smith)
10:27.0,Turnover by R. Sessions (bad pass; steal by T. Prince),,33-35,,
10:21.0,Personal foul by A. Anderson (drawn by S. Muhammad),,33-35,,
10:14.0,,,33-37,2,G. Smith makes 2-pt shot at rim
10:05.0,J. Dudley misses 3-pt shot from 24 ft,,33-37,,
10:04.0,,,33-37,,Defensive rebound by G. Smith
9:59.0,,,33-37,,A. Payne misses 2-pt shot from 3 ft (block by J. Dudley)
9:58.0,,,33-37,,Offensive rebound by Team
9:56.0,,,33-37,,Shooting foul by A. Anderson (drawn by S. Muhammad)
9:56.0,,,33-37,,S. Muhammad misses free throw 1 of 2
9:56.0,,,33-37,,Offensive rebound by Team
9:56.0,,,33-38,1,S. Muhammad makes free throw 2 of 2
9:38.0,Shooting foul by T. Prince (drawn by B. Beal),,33-38,,
9:38.0,B. Beal makes free throw 1 of 2,1,34-38,,
9:38.0,B. Beal makes free throw 2 of 2,1,35-38,,
9:21.0,,,35-38,,Turnover by T. Jones (bad pass; steal by B. Beal)
9:17.0,B. Beal makes 2-pt shot at rim,2,37-38,,
9:17.0,Shooting foul by A. Payne (drawn by B. Beal),,37-38,,
9:17.0,B. Beal misses free throw 1 of 1,,37-38,,
9:16.0,,,37-38,,Defensive rebound by T. Prince
8:59.0,,,37-38,,Offensive charge foul by A. Payne
8:59.0,,,37-38,,Turnover by A. Payne (offensive foul)
8:59.0,Washington full timeout,,37-38,,
8:59.0,,,37-38,,K. Towns enters the game for A. Payne
8:45.0,N. Hilario makes 2-pt shot from 1 ft (assist by B. Beal),2,39-38,,
8:29.0,,,39-38,,T. Jones misses 3-pt shot from 23 ft
8:28.0,,,39-38,,Offensive rebound by K. Towns
8:25.0,,,39-38,,Shooting foul by B. Beal (drawn by S. Muhammad)
8:25.0,,,39-39,1,S. Muhammad makes free throw 1 of 2
8:25.0,M. Gortat enters the game for N. Hilario,,39-39,,
8:25.0,,,39-40,1,S. Muhammad makes free throw 2 of 2
8:08.0,M. Gortat misses 2-pt shot from 11 ft,,39-40,,
8:06.0,Offensive rebound by Team,,39-40,,
8:06.0,,,39-40,,R. Rubio enters the game for T. Jones
7:59.0,R. Sessions misses 3-pt shot from 25 ft,,39-40,,
7:58.0,,,39-40,,Defensive rebound by S. Muhammad
7:49.0,,,39-40,,Shooting foul by M. Gortat (drawn by G. Smith)
7:49.0,,,39-41,1,G. Smith makes free throw 1 of 2
7:49.0,,,39-42,1,G. Smith makes free throw 2 of 2
7:36.0,M. Gortat makes 2-pt shot from 4 ft (assist by B. Beal),2,41-42,,
7:23.0,Shooting block foul by J. Dudley (drawn by G. Smith),,41-42,,
7:23.0,,,41-42,,G. Smith misses free throw 1 of 2
7:23.0,,,41-42,,Offensive rebound by Team
7:23.0,M. Morris enters the game for J. Dudley,,41-42,,
7:23.0,G. Temple enters the game for B. Beal,,41-42,,
7:23.0,J. Wall enters the game for R. Sessions,,41-42,,
7:23.0,,,41-42,,A. Wiggins enters the game for S. Muhammad
7:23.0,,,41-42,,G. Smith misses free throw 2 of 2
7:23.0,Defensive rebound by M. Gortat,,41-42,,
7:08.0,A. Anderson misses 3-pt shot from 24 ft,,41-42,,
7:07.0,,,41-42,,Defensive rebound by R. Rubio
6:53.0,,,41-42,,T. Prince misses 2-pt shot from 18 ft
6:51.0,Defensive rebound by A. Anderson,,41-42,,
6:41.0,Shooting foul by A. Wiggins (drawn by A. Anderson),,41-42,,
6:41.0,A. Anderson makes free throw 1 of 2,1,42-42,,
6:41.0,,,42-42,,G. Dieng enters the game for G. Smith
6:41.0,,,42-42,,Z. LaVine enters the game for T. Prince
6:41.0,A. Anderson makes free throw 2 of 2,1,43-42,,
6:29.0,,,43-42,,Shooting foul by G. Temple (drawn by A. Wiggins)
6:29.0,,,43-42,,A. Wiggins misses free throw 1 of 2
6:29.0,,,43-42,,Offensive rebound by Team
6:29.0,,,43-43,1,A. Wiggins makes free throw 2 of 2
6:18.0,G. Temple misses 3-pt shot from 25 ft,,43-43,,
6:16.0,Offensive rebound by G. Temple,,43-43,,
6:11.0,A. Anderson misses 3-pt shot from 26 ft,,43-43,,
6:10.0,Offensive rebound by G. Temple,,43-43,,
6:08.0,G. Temple makes 2-pt shot from 1 ft,2,45-43,,
5:47.0,,,45-43,,Turnover by A. Wiggins (lost ball; steal by A. Anderson)
5:38.0,J. Wall makes 2-pt shot at rim,2,47-43,,
5:36.0,,,47-43,,Minnesota full timeout
5:36.0,O. Porter enters the game for A. Anderson,,47-43,,
5:23.0,Def 3 sec tech foul by M. Gortat,,47-43,,
5:23.0,,,47-44,1,R. Rubio makes technical free throw
5:17.0,,,47-46,2,Z. LaVine makes 2-pt shot from 20 ft (assist by G. Dieng)
4:55.0,M. Gortat makes 2-pt shot from 10 ft (assist by O. Porter),2,49-46,,
4:36.0,,,49-46,,Turnover by K. Towns (3 sec)
4:24.0,O. Porter makes 3-pt shot from 22 ft (assist by M. Morris),3,52-46,,
4:12.0,,,52-46,,Turnover by R. Rubio (bad pass; steal by J. Wall)
3:52.0,J. Wall misses 3-pt shot from 24 ft,,52-46,,
3:51.0,,,52-46,,Defensive rebound by Z. LaVine
3:37.0,,,52-46,,Turnover by K. Towns (offensive foul)
3:37.0,,,52-46,,Offensive charge foul by K. Towns
3:37.0,B. Beal enters the game for G. Temple,,52-46,,
3:29.0,J. Wall misses 2-pt shot from 20 ft,,52-46,,
3:27.0,,,52-46,,Defensive rebound by Z. LaVine
3:21.0,,,52-46,,R. Rubio misses 2-pt shot from 19 ft
3:19.0,Defensive rebound by B. Beal,,52-46,,
3:13.0,O. Porter misses 3-pt shot from 24 ft,,52-46,,
3:10.0,,,52-46,,Defensive rebound by A. Wiggins
2:57.0,,,52-46,,Turnover by R. Rubio (bad pass; steal by O. Porter)
2:42.0,M. Morris misses 2-pt shot from 20 ft,,52-46,,
2:41.0,,,52-46,,Defensive rebound by A. Wiggins
2:30.0,,,52-46,,Z. LaVine misses 2-pt shot from 18 ft
2:29.0,Defensive rebound by M. Morris,,52-46,,
2:27.0,,,52-46,,Personal foul by G. Dieng (drawn by J. Wall)
2:27.0,Washington full timeout,,52-46,,
2:26.0,M. Morris makes 2-pt shot at rim (assist by J. Wall),2,54-46,,
2:03.0,Personal foul by M. Morris (drawn by R. Rubio),,54-46,,
2:03.0,,,54-47,1,R. Rubio makes free throw 1 of 2
2:03.0,N. Hilario enters the game for M. Morris,,54-47,,
2:03.0,,,54-48,1,R. Rubio makes free throw 2 of 2
1:50.0,B. Beal makes 2-pt shot from 11 ft (assist by J. Wall),2,56-48,,
1:30.0,,,56-48,,Turnover by Z. LaVine (discontinued dribble)
1:30.0,G. Temple enters the game for B. Beal,,56-48,,
1:12.0,M. Gortat makes 2-pt shot from 6 ft (assist by G. Temple),2,58-48,,
0:53.0,,,58-50,2,K. Towns makes 2-pt shot from 17 ft (assist by R. Rubio)
0:48.0,J. Wall misses 2-pt shot at rim (block by K. Towns),,58-50,,
0:47.0,,,58-50,,Defensive rebound by Z. LaVine
0:42.0,,,58-52,2,Z. LaVine makes 2-pt shot from 1 ft
0:36.0,J. Wall misses 3-pt shot from 25 ft,,58-52,,
0:35.0,Offensive rebound by N. Hilario,,58-52,,
0:28.0,J. Wall misses 2-pt shot from 15 ft,,58-52,,
0:25.0,,,58-52,,Defensive rebound by G. Dieng
0:04.0,,,58-54,2,A. Wiggins makes 2-pt shot from 5 ft
0:00.0,J. Wall makes 2-pt shot at rim,2,60-54,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:46.0,Offensive foul by M. Gortat,,60-54,,
11:46.0,Turnover by M. Gortat (offensive foul),,60-54,,
11:29.0,,,60-56,2,K. Towns makes 2-pt shot from 18 ft
11:11.0,J. Wall misses 2-pt shot from 18 ft,,60-56,,
11:10.0,,,60-56,,Defensive rebound by K. Towns
10:54.0,,,60-56,,K. Towns misses 2-pt shot from 1 ft (block by M. Gortat)
10:52.0,Defensive rebound by M. Morris,,60-56,,
10:45.0,O. Porter misses 2-pt shot from 19 ft,,60-56,,
10:42.0,,,60-56,,Defensive rebound by G. Dieng
10:31.0,,,60-56,,Z. LaVine misses 2-pt shot from 21 ft
10:30.0,Defensive rebound by M. Gortat,,60-56,,
10:17.0,Shooting foul by K. Towns (drawn by M. Morris),,60-56,,
10:17.0,M. Morris makes free throw 1 of 2,1,61-56,,
10:17.0,M. Morris makes free throw 2 of 2,1,62-56,,
9:58.0,,,62-56,,A. Wiggins misses 2-pt shot from 20 ft
9:57.0,Defensive rebound by J. Wall,,62-56,,
9:53.0,O. Porter makes 2-pt shot at rim (assist by J. Wall),2,64-56,,
9:28.0,,,64-56,,K. Towns misses 2-pt shot from 19 ft
9:27.0,Defensive rebound by O. Porter,,64-56,,
9:23.0,Turnover by M. Gortat (lost ball),,64-56,,
9:10.0,,,64-58,2,A. Wiggins makes 2-pt shot from 15 ft (assist by K. Towns)
8:59.0,Turnover by J. Wall (bad pass; steal by Z. LaVine),,64-58,,
8:56.0,,,64-60,2,Z. LaVine makes 2-pt shot at rim
8:40.0,,,64-60,,Personal foul by K. Towns (drawn by M. Gortat)
8:33.0,O. Porter misses 2-pt shot from 15 ft,,64-60,,
8:32.0,,,64-60,,Defensive rebound by R. Rubio
8:13.0,,,64-60,,A. Wiggins misses 2-pt shot from 16 ft
8:12.0,Defensive rebound by M. Morris,,64-60,,
8:00.0,M. Morris misses 3-pt shot from 24 ft,,64-60,,
7:59.0,,,64-60,,Defensive rebound by R. Rubio
7:46.0,,,64-62,2,G. Dieng makes 2-pt shot from 4 ft
7:40.0,,,64-62,,Personal foul by G. Dieng (drawn by M. Gortat)
7:40.0,B. Beal enters the game for O. Porter,,64-62,,
7:22.0,B. Beal makes 2-pt shot from 20 ft (assist by M. Morris),2,66-62,,
7:04.0,,,66-62,,Z. LaVine misses 3-pt shot from 24 ft
7:03.0,Defensive rebound by J. Wall,,66-62,,
6:57.0,B. Beal makes 3-pt shot from 23 ft (assist by J. Wall),3,69-62,,
6:56.0,,,69-62,,Minnesota full timeout
6:40.0,,,69-64,2,G. Dieng makes 2-pt shot at rim (assist by Z. LaVine)
6:18.0,Turnover by G. Temple (lost ball; steal by G. Dieng),,69-64,,
6:10.0,,,69-64,,K. Towns misses 2-pt shot from 8 ft
6:09.0,Defensive rebound by M. Morris,,69-64,,
6:03.0,G. Temple misses 3-pt shot from 22 ft,,69-64,,
6:01.0,,,69-64,,Defensive rebound by K. Towns
5:43.0,,,69-64,,R. Rubio misses 2-pt shot from 20 ft
5:42.0,Defensive rebound by Team,,69-64,,
5:29.0,J. Wall makes 2-pt shot from 20 ft,2,71-64,,
5:14.0,,,71-67,3,R. Rubio makes 3-pt shot from 24 ft (assist by K. Towns)
4:58.0,B. Beal misses 2-pt shot from 1 ft (block by K. Towns),,71-67,,
4:57.0,,,71-67,,Defensive rebound by G. Dieng
4:53.0,,,71-67,,Shooting foul by B. Beal (drawn by R. Rubio)
4:53.0,,,71-67,,R. Rubio misses free throw 1 of 2
4:53.0,,,71-67,,Offensive rebound by Team
4:53.0,,,71-68,1,R. Rubio makes free throw 2 of 2
4:43.0,M. Gortat misses 2-pt shot from 1 ft,,71-68,,
4:42.0,,,71-68,,Defensive rebound by G. Dieng
4:36.0,,,71-70,2,Z. LaVine makes 2-pt shot from 2 ft
4:34.0,Washington full timeout,,71-70,,
4:34.0,Technical foul by M. Gortat,,71-70,,
4:34.0,A. Anderson enters the game for G. Temple,,71-70,,
4:34.0,,,71-70,,S. Muhammad enters the game for Z. LaVine
4:34.0,,,71-71,1,R. Rubio makes technical free throw
4:16.0,M. Morris misses 3-pt shot from 23 ft,,71-71,,
4:15.0,,,71-71,,Defensive rebound by R. Rubio
3:59.0,,,71-73,2,A. Wiggins makes 2-pt shot from 21 ft
3:52.0,B. Beal makes 2-pt shot at rim (assist by J. Wall),2,73-73,,
3:37.0,,,73-73,,Offensive charge foul by A. Wiggins
3:37.0,,,73-73,,Turnover by A. Wiggins (offensive foul)
3:37.0,,,73-73,,G. Smith enters the game for K. Towns
3:17.0,M. Gortat makes 2-pt shot from 13 ft,2,75-73,,
2:51.0,,,75-73,,G. Dieng misses 3-pt shot from 24 ft
2:49.0,Defensive rebound by Team,,75-73,,
2:49.0,J. Dudley enters the game for M. Morris,,75-73,,
2:36.0,M. Gortat makes 2-pt shot from 4 ft (assist by J. Wall),2,77-73,,
2:19.0,,,77-73,,S. Muhammad misses 3-pt shot from 23 ft
2:18.0,Defensive rebound by M. Gortat,,77-73,,
2:16.0,,,77-73,,Personal foul by R. Rubio (drawn by B. Beal)
2:11.0,J. Wall misses 3-pt shot from 25 ft,,77-73,,
2:10.0,,,77-73,,Defensive rebound by S. Muhammad
1:52.0,,,77-75,2,G. Dieng makes 2-pt shot from 1 ft (assist by R. Rubio)
1:40.0,Turnover by B. Beal (bad pass),,77-75,,
1:40.0,R. Sessions enters the game for J. Wall,,77-75,,
1:40.0,,,77-75,,A. Payne enters the game for G. Dieng
1:40.0,,,77-75,,T. Jones enters the game for R. Rubio
1:28.0,,,77-75,,Shooting foul by B. Beal (drawn by A. Wiggins)
1:28.0,,,77-76,1,A. Wiggins makes free throw 1 of 2
1:28.0,,,77-77,1,A. Wiggins makes free throw 2 of 2
1:14.0,B. Beal makes 3-pt shot from 24 ft,3,80-77,,
0:53.0,,,80-77,,A. Payne misses 2-pt shot from 19 ft
0:52.0,Defensive rebound by M. Gortat,,80-77,,
0:48.0,Offensive charge foul by R. Sessions,,80-77,,
0:48.0,Turnover by R. Sessions (offensive foul),,80-77,,
0:48.0,,,80-77,,Z. LaVine enters the game for A. Wiggins
0:48.0,N. Hilario enters the game for M. Gortat,,80-77,,
0:48.0,G. Temple enters the game for B. Beal,,80-77,,
0:38.0,,,80-77,,Offensive charge foul by S. Muhammad
0:38.0,,,80-77,,Turnover by S. Muhammad (offensive foul)
0:38.0,J. Wall enters the game for G. Temple,,80-77,,
0:31.0,J. Dudley makes 2-pt shot at rim (assist by J. Wall),2,82-77,,
0:11.0,,,82-77,,Z. LaVine misses 3-pt shot from 23 ft
0:08.0,Defensive rebound by J. Wall,,82-77,,
0:01.0,R. Sessions makes 3-pt shot from 24 ft (assist by J. Wall),3,85-77,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:48.0,,,85-79,2,S. Muhammad makes 2-pt shot from 12 ft (assist by Z. LaVine)
11:30.0,,,85-79,,Personal foul by Z. LaVine (drawn by R. Sessions)
11:19.0,Turnover by N. Hilario (bad pass),,85-79,,
11:09.0,,,85-79,,K. Towns misses 2-pt shot from 19 ft
11:07.0,,,85-79,,Offensive rebound by Team
11:00.0,,,85-79,,T. Jones misses 2-pt shot from 21 ft
10:59.0,,,85-79,,Offensive rebound by S. Muhammad
10:48.0,,,85-79,,Z. LaVine misses 2-pt shot from 14 ft
10:46.0,Defensive rebound by A. Anderson,,85-79,,
10:33.0,Shooting foul by A. Payne (drawn by N. Hilario),,85-79,,
10:33.0,N. Hilario misses free throw 1 of 2,,85-79,,
10:33.0,Offensive rebound by Team,,85-79,,
10:33.0,N. Hilario misses free throw 2 of 2,,85-79,,
10:32.0,Offensive rebound by Team,,85-79,,
10:19.0,A. Anderson makes 3-pt shot from 22 ft (assist by G. Temple),3,88-79,,
10:05.0,,,88-79,,T. Jones misses 3-pt shot from 24 ft
10:04.0,Defensive rebound by G. Temple,,88-79,,
9:58.0,A. Anderson makes 2-pt shot at rim,2,90-79,,
9:58.0,,,90-79,,Minnesota full timeout
9:58.0,,,90-79,,R. Rubio enters the game for T. Jones
9:58.0,,,90-79,,G. Dieng enters the game for A. Payne
9:43.0,,,90-79,,Z. LaVine misses 3-pt shot from 24 ft
9:42.0,Defensive rebound by R. Sessions,,90-79,,
9:34.0,R. Sessions makes 2-pt shot from 12 ft,2,92-79,,
9:08.0,,,92-81,2,S. Muhammad makes 2-pt shot at rim (assist by G. Dieng)
8:49.0,N. Hilario misses 2-pt shot from 7 ft,,92-81,,
8:48.0,,,92-81,,Defensive rebound by S. Muhammad
8:30.0,,,92-81,,Turnover by G. Dieng (3 sec)
8:16.0,R. Sessions misses 3-pt shot from 24 ft,,92-81,,
8:15.0,,,92-81,,Defensive rebound by K. Towns
8:09.0,Personal foul by A. Anderson (drawn by S. Muhammad),,92-81,,
8:09.0,,,92-81,,A. Wiggins enters the game for G. Dieng
8:09.0,J. Wall enters the game for R. Sessions,,92-81,,
8:09.0,B. Beal enters the game for G. Temple,,92-81,,
7:54.0,,,92-81,,Shooting foul by J. Dudley (drawn by S. Muhammad)
7:54.0,,,92-82,1,S. Muhammad makes free throw 1 of 2
7:54.0,,,92-83,1,S. Muhammad makes free throw 2 of 2
7:38.0,N. Hilario makes 2-pt shot at rim,2,94-83,,
7:18.0,,,94-83,,R. Rubio misses 2-pt shot from 22 ft
7:17.0,Defensive rebound by N. Hilario,,94-83,,
6:58.0,A. Anderson makes 3-pt shot from 23 ft (assist by N. Hilario),3,97-83,,
6:44.0,,,97-83,,Turnover by K. Towns (traveling)
6:40.0,Turnover by J. Wall (step out of bounds),,97-83,,
6:20.0,,,97-83,,Z. LaVine misses 2-pt shot from 10 ft
6:18.0,,,97-83,,Offensive rebound by S. Muhammad
6:06.0,,,97-83,,Shooting foul by A. Anderson (drawn by A. Wiggins)
6:06.0,,,97-84,1,A. Wiggins makes free throw 1 of 2
6:06.0,G. Temple enters the game for A. Anderson,,97-84,,
6:06.0,,,97-85,1,A. Wiggins makes free throw 2 of 2
5:50.0,J. Wall misses 2-pt shot at rim,,97-85,,
5:49.0,,,97-85,,Defensive rebound by K. Towns
5:44.0,,,97-85,,A. Wiggins misses 2-pt shot from 5 ft
5:42.0,Defensive rebound by B. Beal,,97-85,,
5:19.0,G. Temple misses 3-pt shot from 22 ft,,97-85,,
5:18.0,,,97-85,,Defensive rebound by R. Rubio
5:05.0,,,97-85,,A. Wiggins misses 2-pt shot from 8 ft
5:03.0,,,97-85,,Offensive rebound by K. Towns
5:03.0,,,97-87,2,K. Towns makes 2-pt shot from 1 ft
5:03.0,Washington full timeout,,97-87,,
5:03.0,M. Morris enters the game for J. Dudley,,97-87,,
4:38.0,G. Temple misses 2-pt shot from 15 ft,,97-87,,
4:37.0,,,97-87,,Defensive rebound by K. Towns
4:30.0,,,97-89,2,R. Rubio makes 2-pt shot from 20 ft (assist by A. Wiggins)
4:30.0,,,97-89,,Shooting foul by G. Temple (drawn by R. Rubio)
4:30.0,,,97-90,1,R. Rubio makes free throw 1 of 1
4:15.0,M. Morris misses 2-pt shot from 13 ft,,97-90,,
4:13.0,,,97-90,,Defensive rebound by K. Towns
4:08.0,,,97-90,,S. Muhammad misses 2-pt shot from 2 ft
4:06.0,Defensive rebound by G. Temple,,97-90,,
3:52.0,B. Beal makes 3-pt shot from 25 ft (assist by J. Wall),3,100-90,,
3:29.0,,,100-90,,Turnover by R. Rubio (bad pass; steal by G. Temple)
3:20.0,J. Wall misses 2-pt shot at rim,,100-90,,
3:19.0,,,100-90,,Defensive rebound by K. Towns
3:15.0,,,100-90,,Turnover by R. Rubio (bad pass)
3:04.0,,,100-90,,Personal foul by R. Rubio (drawn by J. Wall)
2:54.0,Turnover by J. Wall (lost ball; steal by R. Rubio),,100-90,,
2:49.0,,,100-90,,Turnover by R. Rubio (bad pass; steal by B. Beal)
2:24.0,N. Hilario makes 2-pt shot from 17 ft (assist by J. Wall),2,102-90,,
2:24.0,,,102-90,,Minnesota full timeout
2:24.0,,,102-90,,Minnesota full timeout
