time,Sacramento,pts.away,score,pts.home,Cleveland
4:19.0,R. Rondo makes free throw 1 of 2,1,61-78,,
4:19.0,R. Rondo misses free throw 2 of 2,,61-78,,
4:17.0,,,61-78,,Defensive rebound by A. Varejao
4:00.0,,,61-80,2,L. James makes 2-pt shot from 21 ft (assist by J. Smith)
3:47.0,R. Rondo misses 3-pt shot from 24 ft,,61-80,,
3:47.0,,,61-80,,Defensive rebound by L. James
3:37.0,,,61-83,3,J. Smith makes 3-pt shot from 25 ft (assist by K. Irving)
3:37.0,Sacramento full timeout,,61-83,,
3:37.0,W. Cauley-Stein enters the game for D. Cousins,,61-83,,
3:37.0,,,61-83,,M. Williams enters the game for K. Irving
3:32.0,,,61-83,,Personal foul by J. Smith (drawn by O. Casspi)
3:22.0,D. Collison misses 2-pt shot from 21 ft,,61-83,,
3:21.0,,,61-83,,Defensive rebound by J. Smith
3:12.0,,,61-85,2,L. James makes 2-pt shot from 20 ft
2:56.0,O. Casspi makes 3-pt shot from 26 ft (assist by R. Rondo),3,64-85,,
2:36.0,,,64-88,3,J. Smith makes 3-pt shot from 24 ft (assist by L. James)
2:18.0,O. Casspi misses 3-pt shot from 24 ft,,64-88,,
2:16.0,Offensive rebound by K. Koufos,,64-88,,
2:09.0,W. Cauley-Stein makes 2-pt shot at rim (assist by D. Collison),2,66-88,,
1:47.0,,,66-88,,L. James misses 3-pt shot from 24 ft
1:47.0,Defensive rebound by K. Koufos,,66-88,,
1:41.0,Turnover by R. Rondo (traveling),,66-88,,
1:41.0,J. Anderson enters the game for R. Rondo,,66-88,,
1:41.0,,,66-88,,T. Mozgov enters the game for T. Thompson
1:41.0,,,66-88,,I. Shumpert enters the game for J. Smith
1:33.0,,,66-88,,Shooting foul by W. Cauley-Stein (drawn by A. Varejao)
1:33.0,,,66-88,,A. Varejao misses free throw 1 of 2
1:33.0,,,66-88,,Offensive rebound by Team
1:33.0,,,66-89,1,A. Varejao makes free throw 2 of 2
1:13.0,J. Anderson misses 3-pt shot from 25 ft,,66-89,,
1:13.0,,,66-89,,Defensive rebound by L. James
1:04.0,,,66-89,,M. Williams misses 3-pt shot from 23 ft
1:04.0,Defensive rebound by K. Koufos,,66-89,,
1:00.0,K. Koufos makes 2-pt shot at rim (assist by W. Cauley-Stein),2,68-89,,
0:39.0,,,68-89,,L. James misses 2-pt shot from 18 ft
0:37.0,Defensive rebound by O. Casspi,,68-89,,
0:34.0,,,68-89,,Violation by T. Mozgov (def goaltending)
0:34.0,D. Collison makes 2-pt shot from 2 ft,2,70-89,,
0:18.0,Personal foul by K. Koufos (drawn by M. Williams),,70-89,,
0:18.0,,,70-90,1,M. Williams makes free throw 1 of 2
0:18.0,,,70-91,1,M. Williams makes free throw 2 of 2
0:00.0,D. Collison misses 3-pt shot from 25 ft,,70-91,,
0:00.0,Offensive rebound by Team,,70-91,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:41.0,R. Gay misses 3-pt shot from 26 ft,,70-91,,
11:40.0,,,70-91,,Defensive rebound by T. Mozgov
11:28.0,Personal foul by R. Gay (drawn by I. Shumpert),,70-91,,
11:15.0,,,70-93,2,A. Varejao makes 2-pt shot from 1 ft (assist by I. Shumpert)
11:01.0,D. Collison makes 3-pt shot from 25 ft,3,73-93,,
10:47.0,,,73-93,,M. Williams misses 2-pt shot from 17 ft
10:46.0,Defensive rebound by K. Koufos,,73-93,,
10:32.0,,,73-93,,Personal block foul by A. Varejao (drawn by D. Cousins)
10:30.0,Shooting foul by M. Williams (drawn by D. Collison),,73-93,,
10:30.0,D. Collison makes free throw 1 of 2,1,74-93,,
10:30.0,,,74-93,,K. Irving enters the game for M. Williams
10:30.0,,,74-93,,K. Love enters the game for A. Varejao
10:30.0,D. Collison makes free throw 2 of 2,1,75-93,,
10:17.0,,,75-96,3,K. Love makes 3-pt shot from 22 ft (assist by K. Irving)
10:07.0,Turnover by R. Gay (lost ball; steal by R. Jefferson),,75-96,,
9:59.0,,,75-98,2,I. Shumpert makes 2-pt shot at rim (assist by K. Irving)
9:53.0,,,75-98,,Personal foul by K. Love (drawn by O. Casspi)
9:38.0,D. Cousins makes 2-pt shot from 6 ft,2,77-98,,
9:20.0,,,77-98,,I. Shumpert misses 2-pt shot from 18 ft
9:20.0,Defensive rebound by O. Casspi,,77-98,,
9:17.0,Shooting foul by I. Shumpert (drawn by D. Collison),,77-98,,
9:17.0,D. Collison makes free throw 1 of 2,1,78-98,,
9:17.0,R. Rondo enters the game for K. Koufos,,78-98,,
9:17.0,D. Collison makes free throw 2 of 2,1,79-98,,
9:05.0,,,79-98,,K. Irving misses 2-pt shot from 3 ft
9:04.0,Defensive rebound by R. Gay,,79-98,,
9:01.0,O. Casspi makes 2-pt shot at rim (assist by D. Collison),2,81-98,,
9:01.0,,,81-98,,Cleveland full timeout
8:40.0,,,81-98,,K. Love misses 3-pt shot from 25 ft
8:38.0,Defensive rebound by O. Casspi,,81-98,,
8:27.0,D. Cousins misses 2-pt shot from 6 ft,,81-98,,
8:25.0,,,81-98,,Defensive rebound by I. Shumpert
8:08.0,,,81-101,3,R. Jefferson makes 3-pt shot from 22 ft (assist by K. Irving)
7:59.0,Shooting foul by K. Irving (drawn by R. Rondo),,81-101,,
7:59.0,R. Rondo misses free throw 1 of 2,,81-101,,
7:59.0,Offensive rebound by Team,,81-101,,
7:59.0,R. Rondo makes free throw 2 of 2,1,82-101,,
7:44.0,,,82-101,,I. Shumpert misses 2-pt shot at rim
7:44.0,,,82-101,,Offensive rebound by Team
7:39.0,,,82-104,3,K. Irving makes 3-pt shot from 23 ft
7:39.0,,,82-104,,Shooting foul by R. Rondo (drawn by K. Irving)
7:39.0,,,82-105,1,K. Irving makes free throw 1 of 1
7:28.0,,,82-105,,Personal foul by I. Shumpert (drawn by D. Cousins)
7:28.0,D. Cousins misses free throw 1 of 2,,82-105,,
7:28.0,Offensive rebound by Team,,82-105,,
7:28.0,D. Cousins makes free throw 2 of 2,1,83-105,,
7:13.0,,,83-105,,Turnover by K. Love (lost ball; steal by R. Gay)
7:06.0,D. Collison makes 2-pt shot at rim (assist by R. Rondo),2,85-105,,
6:57.0,,,85-107,2,K. Irving makes 2-pt shot from 1 ft
6:46.0,O. Casspi makes 2-pt shot from 3 ft (assist by R. Rondo),2,87-107,,
6:33.0,,,87-107,,T. Mozgov misses 2-pt shot at rim
6:32.0,Defensive rebound by R. Rondo,,87-107,,
6:26.0,R. Gay misses 3-pt shot from 24 ft,,87-107,,
6:25.0,Offensive rebound by R. Rondo,,87-107,,
6:24.0,Shooting foul by T. Mozgov (drawn by O. Casspi),,87-107,,
6:24.0,O. Casspi makes free throw 1 of 2,1,88-107,,
6:24.0,O. Casspi makes free throw 2 of 2,1,89-107,,
6:08.0,,,89-109,2,R. Jefferson makes 2-pt shot at rim (assist by K. Irving)
5:57.0,D. Cousins misses 2-pt shot from 4 ft (block by T. Mozgov),,89-109,,
5:56.0,,,89-109,,Defensive rebound by R. Jefferson
5:46.0,,,89-109,,R. Jefferson misses 3-pt shot from 23 ft
5:45.0,Defensive rebound by D. Cousins,,89-109,,
5:42.0,O. Casspi makes 2-pt shot at rim (assist by D. Cousins),2,91-109,,
5:42.0,,,91-109,,Cleveland full timeout
5:42.0,Official timeout,,91-109,,
