time,Atlanta,pts.away,score,pts.home,LA Lakers
8:07.0,,,6-7,,Offensive rebound by J. Randle
8:01.0,,,6-9,2,J. Randle makes 2-pt shot at rim (assist by R. Hibbert)
7:44.0,K. Bazemore makes 2-pt shot from 1 ft (assist by J. Teague),2,8-9,,
7:25.0,,,8-9,,N. Young misses 3-pt shot from 25 ft
7:23.0,Defensive rebound by A. Horford,,8-9,,
7:01.0,K. Korver makes 2-pt shot from 18 ft (assist by K. Bazemore),2,10-9,,
6:40.0,,,10-9,,Turnover by D. Russell (step out of bounds)
6:40.0,K. Humphries enters the game for A. Horford,,10-9,,
6:20.0,Turnover by K. Humphries (step out of bounds),,10-9,,
6:20.0,Violation by Team (jump ball),,10-9,,
6:07.0,,,10-9,,A. Brown misses 3-pt shot from 25 ft
6:06.0,Defensive rebound by K. Humphries,,10-9,,
5:55.0,K. Bazemore makes 2-pt shot at rim (assist by K. Korver),2,12-9,,
5:40.0,,,12-9,,D. Russell misses 3-pt shot from 24 ft
5:39.0,,,12-9,,Offensive rebound by N. Young
5:25.0,,,12-9,,A. Brown misses 3-pt shot from 23 ft
5:23.0,Defensive rebound by Team,,12-9,,
5:23.0,,,12-9,,LA Lakers full timeout
5:23.0,,,12-9,,M. Huertas enters the game for N. Young
5:23.0,T. Sefolosha enters the game for K. Bazemore,,12-9,,
5:23.0,D. Schroder enters the game for T. Sefolosha,,12-9,,
5:23.0,T. Sefolosha enters the game for J. Teague,,12-9,,
5:07.0,K. Korver misses 2-pt shot from 19 ft,,12-9,,
5:05.0,,,12-9,,Defensive rebound by R. Hibbert
4:43.0,,,12-11,2,J. Randle makes 2-pt shot from 20 ft (assist by D. Russell)
4:35.0,Turnover by T. Sefolosha (bad pass; steal by J. Randle),,12-11,,
4:30.0,,,12-13,2,J. Randle makes 2-pt shot at rim
4:16.0,D. Schroder misses 3-pt shot from 24 ft,,12-13,,
4:14.0,,,12-13,,Defensive rebound by J. Randle
4:06.0,,,12-13,,D. Russell misses 2-pt shot from 18 ft
4:05.0,Defensive rebound by K. Korver,,12-13,,
3:56.0,K. Humphries makes 2-pt shot from 17 ft (assist by K. Korver),2,14-13,,
3:33.0,,,14-16,3,J. Randle makes 3-pt shot from 24 ft (assist by A. Brown)
3:11.0,P. Millsap makes 2-pt shot from 16 ft (assist by D. Schroder),2,16-16,,
2:47.0,,,16-16,,Turnover by M. Huertas (lost ball; steal by D. Schroder)
2:39.0,P. Millsap makes 3-pt shot from 24 ft (assist by T. Sefolosha),3,19-16,,
2:27.0,,,19-16,,Turnover by R. Hibbert (bad pass; steal by P. Millsap)
2:23.0,P. Millsap makes 2-pt shot at rim,2,21-16,,
2:23.0,,,21-16,,LA Lakers full timeout
2:23.0,Atlanta full timeout,,21-16,,
2:23.0,,,21-16,,L. Nance enters the game for A. Brown
2:23.0,,,21-16,,M. World Peace enters the game for J. Randle
2:23.0,,,21-16,,B. Bass enters the game for R. Hibbert
2:23.0,T. Hardaway enters the game for P. Millsap,,21-16,,
2:23.0,M. Scott enters the game for K. Korver,,21-16,,
2:02.0,,,21-16,,M. World Peace misses 2-pt shot from 2 ft (block by T. Sefolosha)
2:00.0,Defensive rebound by K. Humphries,,21-16,,
2:00.0,,,21-16,,Personal foul by M. World Peace (drawn by K. Humphries)
1:51.0,D. Schroder makes 2-pt shot from 1 ft,2,23-16,,
1:51.0,Shooting foul by L. Nance (drawn by D. Schroder),,23-16,,
1:51.0,D. Schroder makes free throw 1 of 1,1,24-16,,
1:51.0,,,24-16,,Technical foul by L. Nance (drawn by D. Schroder)
1:51.0,D. Schroder misses technical free throw,,24-16,,
1:51.0,,,24-16,,Offensive rebound by Team
1:30.0,,,24-18,2,B. Bass makes 2-pt shot at rim (assist by D. Russell)
1:14.0,D. Schroder misses 2-pt shot from 1 ft,,24-18,,
1:10.0,,,24-18,,Defensive rebound by M. Huertas
0:59.0,,,24-18,,Shooting foul by K. Humphries (drawn by B. Bass)
0:59.0,,,24-18,,B. Bass misses free throw 1 of 2
0:59.0,,,24-18,,Offensive rebound by Team
0:59.0,A. Horford enters the game for K. Humphries,,24-18,,
0:59.0,,,24-19,1,B. Bass makes free throw 2 of 2
0:49.0,D. Schroder makes 2-pt shot from 19 ft,2,26-19,,
0:34.0,,,26-19,,M. World Peace misses 3-pt shot from 24 ft
0:33.0,Defensive rebound by T. Hardaway,,26-19,,
0:03.0,A. Horford misses 3-pt shot from 24 ft,,26-19,,
0:01.0,,,26-19,,Defensive rebound by B. Bass
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:36.0,,,26-19,,Turnover by Team (shot clock)
11:16.0,A. Horford misses 2-pt shot from 8 ft,,26-19,,
11:11.0,,,26-19,,Defensive rebound by B. Bass
10:56.0,,,26-21,2,M. Huertas makes 2-pt shot from 1 ft (assist by L. Nance)
10:39.0,D. Schroder misses 2-pt shot from 1 ft (block by M. Huertas),,26-21,,
10:36.0,,,26-21,,Defensive rebound by L. Nance
10:33.0,,,26-21,,N. Young misses 3-pt shot from 24 ft
10:33.0,,,26-21,,Offensive rebound by Team
10:33.0,Loose ball foul by D. Schroder (drawn by M. World Peace),,26-21,,
10:21.0,,,26-23,2,B. Bass makes 2-pt shot at rim (assist by M. Huertas)
10:03.0,M. Scott makes 3-pt shot from 24 ft (assist by A. Horford),3,29-23,,
9:46.0,,,29-23,,L. Nance misses 2-pt shot at rim
9:43.0,,,29-23,,Offensive rebound by N. Young
9:37.0,,,29-23,,M. Huertas misses 3-pt shot from 24 ft
9:36.0,Defensive rebound by A. Horford,,29-23,,
9:31.0,M. Scott misses 2-pt shot from 17 ft,,29-23,,
9:29.0,,,29-23,,Defensive rebound by N. Young
9:13.0,,,29-25,2,M. Huertas makes 2-pt shot from 13 ft
8:55.0,D. Schroder makes 2-pt shot from 1 ft,2,31-25,,
8:55.0,Shooting foul by M. World Peace (drawn by D. Schroder),,31-25,,
8:55.0,Official timeout,,31-25,,
8:55.0,D. Schroder misses free throw 1 of 1,,31-25,,
8:53.0,,,31-25,,Defensive rebound by L. Nance
8:31.0,,,31-25,,N. Young misses 2-pt shot from 13 ft
8:28.0,,,31-25,,Offensive rebound by B. Bass
8:15.0,,,31-25,,M. World Peace misses 3-pt shot from 25 ft
8:12.0,,,31-25,,Offensive rebound by B. Bass
8:12.0,J. Teague enters the game for D. Schroder,,31-25,,
8:12.0,K. Bazemore enters the game for T. Hardaway,,31-25,,
8:08.0,Jump ball: M. World Peace vs. T. Sefolosha (B. Bass gains possession),,,,Jump ball: M. World Peace vs. T. Sefolosha (B. Bass gains possession)
8:01.0,,,31-25,,B. Bass misses 2-pt shot from 1 ft (block by A. Horford)
8:01.0,,,31-25,,Offensive rebound by L. Nance
8:01.0,Personal foul by M. Scott (drawn by M. World Peace),,31-25,,
7:44.0,,,31-25,,M. Huertas misses 3-pt shot from 24 ft
7:43.0,,,31-25,,Offensive rebound by L. Nance
7:31.0,,,31-25,,N. Young misses 2-pt shot from 16 ft
7:29.0,,,31-25,,Offensive rebound by L. Nance
7:25.0,,,31-25,,M. World Peace misses 3-pt shot from 23 ft
7:25.0,,,31-25,,Offensive rebound by Team
7:25.0,Loose ball foul by M. Scott (drawn by N. Young),,31-25,,
7:25.0,P. Millsap enters the game for M. Scott,,31-25,,
7:25.0,K. Korver enters the game for T. Sefolosha,,31-25,,
7:08.0,,,31-27,2,B. Bass makes 2-pt shot from 11 ft
6:50.0,J. Teague makes 2-pt shot at rim (assist by P. Millsap),2,33-27,,
6:30.0,,,33-29,2,L. Nance makes 2-pt shot at rim
6:06.0,,,33-29,,Def 3 sec tech foul by B. Bass
6:06.0,K. Korver makes technical free throw,1,34-29,,
6:06.0,K. Humphries enters the game for A. Horford,,34-29,,
6:06.0,,,34-29,,J. Randle enters the game for L. Nance
6:06.0,,,34-29,,A. Brown enters the game for M. World Peace
5:57.0,P. Millsap misses 2-pt shot from 17 ft,,34-29,,
5:56.0,,,34-29,,Defensive rebound by J. Randle
5:42.0,,,34-29,,J. Randle misses 3-pt shot from 24 ft
5:40.0,Defensive rebound by P. Millsap,,34-29,,
5:34.0,K. Bazemore makes 3-pt shot from 24 ft (assist by J. Teague),3,37-29,,
5:11.0,,,37-29,,A. Brown misses 3-pt shot from 24 ft
5:09.0,Defensive rebound by K. Humphries,,37-29,,
4:58.0,K. Humphries misses 2-pt shot from 1 ft,,37-29,,
4:56.0,Offensive rebound by K. Humphries,,37-29,,
4:49.0,J. Teague misses 3-pt shot from 24 ft,,37-29,,
4:48.0,,,37-29,,Defensive rebound by J. Randle
4:31.0,,,37-32,3,M. Huertas makes 3-pt shot from 24 ft (assist by J. Randle)
4:20.0,Shooting foul by M. Huertas (drawn by J. Teague),,37-32,,
4:20.0,,,37-32,,LA Lakers full timeout
4:20.0,,,37-32,,D. Russell enters the game for N. Young
4:20.0,J. Teague makes free throw 1 of 2,1,38-32,,
4:20.0,J. Teague makes free throw 2 of 2,1,39-32,,
4:02.0,,,39-32,,B. Bass misses 2-pt shot from 1 ft
4:00.0,Defensive rebound by K. Korver,,39-32,,
3:58.0,Turnover by K. Bazemore (step out of bounds),,39-32,,
3:42.0,Personal foul by P. Millsap (drawn by M. Huertas),,39-32,,
3:30.0,,,39-34,2,J. Randle makes 2-pt shot from 16 ft (assist by M. Huertas)
3:08.0,Shooting foul by A. Brown (drawn by P. Millsap),,39-34,,
3:08.0,P. Millsap makes free throw 1 of 2,1,40-34,,
3:08.0,P. Millsap misses free throw 2 of 2,,40-34,,
3:06.0,,,40-34,,Defensive rebound by D. Russell
2:51.0,,,40-34,,D. Russell misses 3-pt shot from 24 ft
2:49.0,Defensive rebound by P. Millsap,,40-34,,
2:44.0,K. Humphries makes 2-pt shot at rim (assist by P. Millsap),2,42-34,,
2:34.0,,,42-34,,D. Russell misses 2-pt shot from 2 ft
2:31.0,Defensive rebound by K. Bazemore,,42-34,,
2:25.0,K. Korver makes 3-pt shot from 24 ft (assist by K. Bazemore),3,45-34,,
2:25.0,,,45-34,,LA Lakers full timeout
2:14.0,,,45-34,,Turnover by M. Huertas (bad pass; steal by K. Humphries)
2:06.0,J. Teague misses 3-pt shot from 24 ft,,45-34,,
2:05.0,,,45-34,,Defensive rebound by B. Bass
1:58.0,,,45-34,,Turnover by D. Russell (dbl dribble)
1:54.0,K. Humphries makes 2-pt shot at rim (assist by J. Teague),2,47-34,,
1:54.0,Shooting foul by B. Bass (drawn by K. Humphries),,47-34,,
1:54.0,K. Humphries makes free throw 1 of 1,1,48-34,,
1:39.0,,,48-36,2,B. Bass makes 2-pt shot at rim (assist by M. Huertas)
1:17.0,K. Bazemore misses 3-pt shot from 23 ft,,48-36,,
1:15.0,,,48-36,,Defensive rebound by J. Randle
1:07.0,,,48-36,,D. Russell misses 2-pt shot from 17 ft
1:04.0,Defensive rebound by P. Millsap,,48-36,,
0:59.0,K. Humphries makes 3-pt shot from 23 ft (assist by K. Korver),3,51-36,,
0:40.0,,,51-36,,M. Huertas misses 3-pt shot from 25 ft
0:39.0,Defensive rebound by K. Korver,,51-36,,
0:32.0,K. Korver makes 3-pt shot from 23 ft (assist by J. Teague),3,54-36,,
0:12.0,,,54-36,,M. Huertas misses 2-pt shot from 3 ft (block by K. Humphries)
0:09.0,Defensive rebound by K. Korver,,54-36,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:40.0,,,54-38,2,R. Hibbert makes 2-pt shot from 17 ft (assist by N. Young)
11:18.0,P. Millsap misses 2-pt shot from 18 ft,,54-38,,
11:14.0,,,54-38,,Defensive rebound by J. Randle
11:10.0,,,54-38,,Shooting foul by P. Millsap (drawn by R. Hibbert)
11:10.0,,,54-38,,R. Hibbert misses free throw 1 of 2
11:10.0,,,54-38,,Offensive rebound by Team
11:10.0,,,54-38,,R. Hibbert misses free throw 2 of 2
11:09.0,Defensive rebound by K. Bazemore,,54-38,,
10:51.0,J. Teague makes 2-pt shot from 9 ft,2,56-38,,
10:31.0,,,56-38,,J. Randle misses 2-pt shot from 20 ft
10:28.0,Defensive rebound by J. Teague,,56-38,,
10:19.0,Turnover by A. Horford (bad pass; steal by A. Brown),,56-38,,
10:12.0,Personal foul by K. Korver (drawn by R. Hibbert),,56-38,,
10:08.0,,,56-38,,Shooting foul by A. Horford (drawn by A. Brown)
10:08.0,,,56-39,1,A. Brown makes free throw 1 of 2
10:08.0,,,56-40,1,A. Brown makes free throw 2 of 2
9:57.0,Shooting foul by N. Young (drawn by A. Horford),,56-40,,
9:57.0,A. Horford makes free throw 1 of 2,1,57-40,,
9:57.0,A. Horford makes free throw 2 of 2,1,58-40,,
9:36.0,,,58-40,,Shooting foul by A. Horford (drawn by R. Hibbert)
9:36.0,,,58-41,1,R. Hibbert makes free throw 1 of 2
9:36.0,,,58-42,1,R. Hibbert makes free throw 2 of 2
9:25.0,J. Teague misses 2-pt shot from 17 ft,,58-42,,
9:24.0,,,58-42,,Defensive rebound by D. Russell
9:01.0,,,58-42,,J. Randle misses 2-pt shot from 6 ft
8:59.0,Defensive rebound by K. Korver,,58-42,,
8:53.0,Shooting foul by R. Hibbert (drawn by A. Horford),,58-42,,
8:53.0,A. Horford makes free throw 1 of 2,1,59-42,,
8:53.0,A. Horford makes free throw 2 of 2,1,60-42,,
8:31.0,,,60-45,3,N. Young makes 3-pt shot from 24 ft (assist by D. Russell)
8:14.0,A. Horford misses 2-pt shot from 19 ft,,60-45,,
8:12.0,,,60-45,,Defensive rebound by R. Hibbert
7:53.0,,,60-45,,D. Russell misses 3-pt shot from 22 ft
7:53.0,Defensive rebound by Team,,60-45,,
7:37.0,Turnover by J. Teague (bad pass),,60-45,,
7:24.0,Personal foul by K. Bazemore (drawn by N. Young),,60-45,,
7:24.0,,,60-46,1,N. Young makes free throw 1 of 2
7:24.0,Atlanta full timeout,,60-46,,
7:24.0,,,60-47,1,N. Young makes free throw 2 of 2
7:14.0,A. Horford makes 2-pt shot at rim (assist by J. Teague),2,62-47,,
6:57.0,,,62-47,,N. Young misses 2-pt shot from 14 ft (block by K. Bazemore)
6:57.0,,,62-47,,Offensive rebound by Team
6:48.0,,,62-49,2,D. Russell makes 2-pt shot from 1 ft (assist by A. Brown)
6:37.0,Turnover by J. Teague (bad pass; steal by R. Hibbert),,62-49,,
6:31.0,,,62-49,,A. Brown misses 3-pt shot from 24 ft
6:28.0,Defensive rebound by K. Bazemore,,62-49,,
6:24.0,P. Millsap makes 2-pt shot at rim (assist by K. Bazemore),2,64-49,,
6:05.0,,,64-49,,Turnover by D. Russell (lost ball; steal by K. Bazemore)
6:00.0,A. Horford makes 2-pt shot at rim (assist by K. Bazemore),2,66-49,,
5:37.0,,,66-49,,Offensive foul by D. Russell
5:37.0,,,66-49,,Turnover by D. Russell (offensive foul)
5:37.0,K. Humphries enters the game for A. Horford,,66-49,,
5:37.0,T. Sefolosha enters the game for K. Bazemore,,66-49,,
5:37.0,,,66-49,,M. Huertas enters the game for D. Russell
5:16.0,T. Sefolosha makes 3-pt shot from 23 ft (assist by J. Teague),3,69-49,,
5:00.0,,,69-49,,N. Young misses 3-pt shot from 24 ft
4:58.0,,,69-49,,Offensive rebound by J. Randle
4:46.0,,,69-51,2,R. Hibbert makes 2-pt shot from 4 ft
4:32.0,J. Teague misses 3-pt shot from 24 ft,,69-51,,
4:30.0,,,69-51,,Defensive rebound by M. Huertas
4:19.0,,,69-51,,Shooting foul by P. Millsap (drawn by J. Randle)
4:19.0,,,69-53,2,J. Randle makes 2-pt shot at rim (assist by R. Hibbert)
4:19.0,D. Schroder enters the game for J. Teague,,69-53,,
4:19.0,,,69-53,,M. World Peace enters the game for N. Young
4:19.0,,,69-54,1,J. Randle makes free throw 1 of 1
4:03.0,Shooting foul by M. Huertas (drawn by D. Schroder),,69-54,,
4:03.0,D. Schroder makes free throw 1 of 2,1,70-54,,
4:03.0,T. Hardaway enters the game for K. Korver,,70-54,,
4:03.0,D. Schroder makes free throw 2 of 2,1,71-54,,
3:46.0,,,71-54,,Turnover by M. World Peace (bad pass; steal by T. Hardaway)
3:30.0,D. Schroder makes 2-pt shot from 1 ft (assist by P. Millsap),2,73-54,,
3:10.0,,,73-57,3,A. Brown makes 3-pt shot from 23 ft (assist by J. Randle)
2:48.0,Shooting foul by R. Hibbert (drawn by K. Humphries),,73-57,,
2:48.0,,,73-57,,LA Lakers full timeout
2:48.0,,,73-57,,L. Nance enters the game for J. Randle
2:48.0,,,73-57,,B. Bass enters the game for R. Hibbert
2:48.0,K. Humphries misses free throw 1 of 2,,73-57,,
2:48.0,Offensive rebound by Team,,73-57,,
2:48.0,K. Humphries makes free throw 2 of 2,1,74-57,,
2:28.0,,,74-57,,L. Nance misses 2-pt shot from 20 ft
2:25.0,,,74-57,,Offensive rebound by M. World Peace
2:07.0,,,74-57,,M. Huertas misses 2-pt shot from 18 ft
2:06.0,Defensive rebound by P. Millsap,,74-57,,
1:57.0,,,74-57,,Personal foul by M. Huertas (drawn by P. Millsap)
1:57.0,P. Millsap misses free throw 1 of 2,,74-57,,
1:57.0,Offensive rebound by Team,,74-57,,
1:57.0,P. Millsap misses free throw 2 of 2,,74-57,,
1:56.0,,,74-57,,Defensive rebound by A. Brown
1:32.0,,,74-57,,M. World Peace misses 2-pt shot from 21 ft (block by T. Sefolosha)
1:30.0,Defensive rebound by T. Hardaway,,74-57,,
1:26.0,T. Sefolosha misses 2-pt shot from 5 ft,,74-57,,
1:21.0,,,74-57,,Defensive rebound by L. Nance
1:07.0,,,74-59,2,L. Nance makes 2-pt shot from 20 ft (assist by M. World Peace)
0:49.0,P. Millsap misses 3-pt shot from 24 ft,,74-59,,
0:48.0,Offensive rebound by K. Humphries,,74-59,,
0:30.0,K. Humphries misses 2-pt shot from 19 ft,,74-59,,
0:28.0,,,74-59,,Defensive rebound by L. Nance
0:08.0,,,74-59,,L. Nance misses 2-pt shot from 17 ft
0:07.0,Defensive rebound by T. Sefolosha,,74-59,,
0:01.0,P. Millsap misses 3-pt shot from 23 ft,,74-59,,
0:00.0,Offensive rebound by Team,,74-59,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
12:00.0,Technical foul by D. Schroder,,74-59,,
12:00.0,,,74-60,1,M. Huertas makes technical free throw
11:47.0,D. Schroder makes 2-pt shot from 2 ft (assist by A. Horford),2,76-60,,
11:32.0,,,76-62,2,L. Nance makes 2-pt shot from 6 ft
11:14.0,D. Schroder misses 3-pt shot from 24 ft,,76-62,,
11:14.0,,,76-62,,Defensive rebound by Team
10:51.0,,,76-62,,B. Bass misses 2-pt shot from 15 ft
10:50.0,Defensive rebound by K. Bazemore,,76-62,,
10:49.0,Turnover by K. Bazemore (step out of bounds),,76-62,,
10:49.0,,,76-62,,D. Russell enters the game for A. Brown
10:49.0,Inbound foul by M. Scott,,76-62,,
10:49.0,,,76-63,1,L. Nance makes free throw 1 of 2
10:49.0,,,76-64,1,L. Nance makes free throw 2 of 2
10:34.0,K. Bazemore misses 3-pt shot from 22 ft,,76-64,,
10:33.0,,,76-64,,Defensive rebound by B. Bass
10:13.0,,,76-64,,D. Russell misses 2-pt shot from 1 ft
10:11.0,,,76-64,,Offensive rebound by L. Nance
10:10.0,,,76-64,,L. Nance misses 2-pt shot at rim
10:07.0,Defensive rebound by A. Horford,,76-64,,
9:51.0,Turnover by K. Bazemore (lost ball),,76-64,,
9:51.0,K. Korver enters the game for K. Bazemore,,76-64,,
9:34.0,,,76-64,,D. Russell misses 3-pt shot from 23 ft
9:33.0,Defensive rebound by A. Horford,,76-64,,
9:15.0,T. Sefolosha makes 2-pt shot at rim (assist by A. Horford),2,78-64,,
9:06.0,,,78-64,,D. Russell misses 2-pt shot from 1 ft
9:06.0,,,78-64,,Offensive rebound by B. Bass
9:06.0,,,78-64,,Shooting foul by M. Scott (drawn by B. Bass)
9:06.0,,,78-65,1,B. Bass makes free throw 1 of 2
9:06.0,K. Bazemore enters the game for T. Sefolosha,,78-65,,
9:06.0,K. Humphries enters the game for M. Scott,,78-65,,
9:06.0,,,78-66,1,B. Bass makes free throw 2 of 2
8:52.0,D. Schroder makes 3-pt shot from 24 ft,3,81-66,,
8:27.0,,,81-66,,B. Bass misses 2-pt shot from 1 ft
8:26.0,,,81-66,,Offensive rebound by L. Nance
8:23.0,,,81-66,,L. Nance misses 2-pt shot from 1 ft (block by A. Horford)
8:19.0,,,81-66,,Offensive rebound by M. World Peace
8:13.0,,,81-68,2,D. Russell makes 2-pt shot at rim
7:56.0,K. Korver makes 3-pt shot from 23 ft (assist by A. Horford),3,84-68,,
7:36.0,Personal foul by D. Schroder (drawn by L. Nance),,84-68,,
7:36.0,Official timeout,,84-68,,
7:36.0,J. Teague enters the game for D. Schroder,,84-68,,
7:29.0,Personal foul by K. Bazemore (drawn by D. Russell),,84-68,,
7:22.0,,,84-68,,D. Russell misses 3-pt shot from 24 ft
7:21.0,,,84-68,,Offensive rebound by M. World Peace
7:11.0,,,84-68,,M. Huertas misses 3-pt shot from 24 ft
7:10.0,Defensive rebound by K. Humphries,,84-68,,
6:51.0,K. Bazemore misses 3-pt shot from 24 ft,,84-68,,
6:50.0,Offensive rebound by K. Humphries,,84-68,,
6:45.0,Turnover by J. Teague (lost ball; steal by M. World Peace),,84-68,,
6:39.0,,,84-68,,D. Russell misses 2-pt shot from 1 ft (block by A. Horford)
6:34.0,Defensive rebound by J. Teague,,84-68,,
6:32.0,K. Bazemore makes 3-pt shot from 23 ft (assist by J. Teague),3,87-68,,
6:32.0,,,87-68,,Away from play foul by M. World Peace (drawn by K. Humphries)
6:32.0,,,87-68,,J. Randle enters the game for L. Nance
6:32.0,K. Humphries makes free throw 1 of 1,1,88-68,,
6:11.0,,,88-68,,J. Randle misses 2-pt shot from 5 ft
6:09.0,Defensive rebound by Team,,88-68,,
6:09.0,,,88-68,,A. Brown enters the game for M. Huertas
5:50.0,Shooting foul by M. World Peace (drawn by K. Bazemore),,88-68,,
5:50.0,,,88-68,,LA Lakers full timeout
5:50.0,T. Sefolosha enters the game for K. Korver,,88-68,,
5:50.0,K. Humphries makes free throw 1 of 2,1,89-68,,
5:50.0,K. Humphries makes free throw 2 of 2,1,90-68,,
5:27.0,,,90-70,2,J. Randle makes 2-pt shot from 16 ft (assist by D. Russell)
5:17.0,K. Humphries misses 3-pt shot from 24 ft,,90-70,,
5:15.0,,,90-70,,Defensive rebound by J. Randle
5:13.0,,,90-70,,Turnover by D. Russell (lost ball)
5:02.0,Shooting foul by D. Russell (drawn by J. Teague),,90-70,,
5:02.0,J. Teague makes free throw 1 of 2,1,91-70,,
5:02.0,M. Scott enters the game for A. Horford,,91-70,,
5:02.0,J. Teague makes free throw 2 of 2,1,92-70,,
4:50.0,,,92-70,,Shooting foul by T. Sefolosha (drawn by B. Bass)
4:50.0,,,92-71,1,B. Bass makes free throw 1 of 2
4:50.0,,,92-71,,B. Bass misses free throw 2 of 2
4:48.0,Defensive rebound by K. Humphries,,92-71,,
4:24.0,J. Teague misses 2-pt shot from 5 ft,,92-71,,
4:24.0,,,92-71,,Defensive rebound by Team
4:24.0,,,92-71,,T. Black enters the game for B. Bass
4:09.0,,,92-71,,T. Black misses 2-pt shot at rim
4:08.0,,,92-71,,Offensive rebound by T. Black
4:07.0,,,92-71,,Shooting foul by M. Scott (drawn by T. Black)
4:07.0,,,92-71,,T. Black misses free throw 1 of 2
4:07.0,,,92-71,,Offensive rebound by Team
4:07.0,M. Muscala enters the game for K. Humphries,,92-71,,
4:07.0,,,92-71,,T. Black misses free throw 2 of 2
4:06.0,Defensive rebound by T. Sefolosha,,92-71,,
3:51.0,J. Teague makes 2-pt shot from 1 ft (assist by M. Scott),2,94-71,,
3:39.0,,,94-71,,D. Russell misses 2-pt shot from 2 ft (block by M. Muscala)
3:36.0,Defensive rebound by K. Bazemore,,94-71,,
3:30.0,K. Bazemore misses 3-pt shot from 24 ft,,94-71,,
3:28.0,,,94-71,,Defensive rebound by T. Black
3:19.0,,,94-71,,J. Randle misses 2-pt shot from 17 ft
3:17.0,Defensive rebound by M. Muscala,,94-71,,
3:10.0,Atlanta full timeout,,94-71,,
3:10.0,,,94-71,,M. Huertas enters the game for J. Randle
3:10.0,,,94-71,,N. Young enters the game for D. Russell
3:10.0,,,94-71,,R. Kelly enters the game for M. World Peace
3:10.0,E. Tavares enters the game for K. Bazemore,,94-71,,
3:10.0,T. Hardaway enters the game for J. Teague,,94-71,,
3:10.0,K. Hinrich enters the game for T. Sefolosha,,94-71,,
2:59.0,M. Muscala makes 2-pt shot from 9 ft (assist by K. Hinrich),2,96-71,,
2:46.0,,,96-71,,T. Black misses 2-pt shot from 17 ft
2:44.0,Defensive rebound by E. Tavares,,96-71,,
2:26.0,E. Tavares makes 2-pt shot at rim (assist by K. Hinrich),2,98-71,,
2:07.0,,,98-71,,Turnover by T. Black (lost ball; steal by K. Hinrich)
2:02.0,K. Hinrich makes 2-pt shot at rim (assist by E. Tavares),2,100-71,,
1:48.0,,,100-71,,N. Young misses 3-pt shot from 25 ft
1:46.0,Defensive rebound by M. Muscala,,100-71,,
1:41.0,M. Scott misses 2-pt shot at rim,,100-71,,
1:40.0,,,100-71,,Defensive rebound by T. Black
1:32.0,,,100-73,2,R. Kelly makes 2-pt shot from 2 ft (assist by N. Young)
1:15.0,T. Hardaway makes 3-pt shot from 24 ft (assist by K. Hinrich),3,103-73,,
0:54.0,,,103-75,2,T. Black makes 2-pt shot from 1 ft
