time,Phoenix,pts.away,score,pts.home,Detroit
6:53.0,,,6-12,,Defensive rebound by K. Caldwell-Pope
6:43.0,Personal foul by M. Teletovic (drawn by M. Morris),,6-12,,
6:37.0,,,6-12,,Turnover by R. Jackson (lost ball; steal by P. Tucker)
6:33.0,Shooting foul by E. Ilyasova (drawn by B. Knight),,6-12,,
6:33.0,B. Knight makes free throw 1 of 2,1,7-12,,
6:33.0,B. Knight makes free throw 2 of 2,1,8-12,,
6:14.0,,,8-12,,R. Jackson misses 3-pt shot from 26 ft
6:13.0,,,8-12,,Offensive rebound by A. Drummond
6:13.0,,,8-12,,Shooting foul by J. Leuer (drawn by A. Drummond)
6:13.0,,,8-12,,A. Drummond misses free throw 1 of 2
6:13.0,,,8-12,,Offensive rebound by Team
6:13.0,,,8-13,1,A. Drummond makes free throw 2 of 2
5:57.0,B. Knight misses 2-pt shot at rim,,8-13,,
5:56.0,Offensive rebound by P. Tucker,,8-13,,
5:51.0,B. Knight misses 3-pt shot from 23 ft,,8-13,,
5:51.0,,,8-13,,Defensive rebound by A. Drummond
5:43.0,,,8-16,3,E. Ilyasova makes 3-pt shot from 27 ft (assist by R. Jackson)
5:24.0,E. Bledsoe makes 2-pt shot at rim (assist by J. Leuer),2,10-16,,
5:24.0,Shooting foul by M. Morris (drawn by E. Bledsoe),,10-16,,
5:24.0,,,10-16,,Detroit full timeout
5:24.0,E. Bledsoe makes free throw 1 of 1,1,11-16,,
5:14.0,Def 3 sec tech foul by J. Leuer,,11-16,,
5:14.0,,,11-17,1,R. Jackson makes technical free throw
5:05.0,,,11-17,,Shooting foul by J. Leuer (drawn by M. Morris)
5:05.0,,,11-17,,M. Morris misses free throw 1 of 2
5:05.0,,,11-17,,Offensive rebound by Team
5:05.0,T. Warren enters the game for J. Leuer,,11-17,,
5:05.0,,,11-18,1,M. Morris makes free throw 2 of 2
4:55.0,Turnover by P. Tucker (bad pass),,11-18,,
4:39.0,,,11-18,,Turnover by A. Drummond (traveling)
4:39.0,D. Booker enters the game for B. Knight,,11-18,,
4:22.0,M. Teletovic misses 3-pt shot from 26 ft,,11-18,,
4:21.0,,,11-18,,Defensive rebound by M. Morris
4:11.0,,,11-18,,R. Jackson misses 2-pt shot at rim
4:11.0,Defensive rebound by P. Tucker,,11-18,,
4:04.0,E. Bledsoe misses 3-pt shot from 26 ft,,11-18,,
4:03.0,,,11-18,,Defensive rebound by A. Drummond
4:02.0,Personal foul by E. Bledsoe (drawn by M. Morris),,11-18,,
4:02.0,,,11-19,1,M. Morris makes free throw 1 of 2
4:02.0,,,11-19,,S. Johnson enters the game for K. Caldwell-Pope
4:02.0,,,11-19,,M. Morris misses free throw 2 of 2
4:01.0,Defensive rebound by P. Tucker,,11-19,,
3:50.0,D. Booker makes 3-pt shot from 26 ft (assist by M. Teletovic),3,14-19,,
3:37.0,,,14-19,,E. Ilyasova misses 3-pt shot from 27 ft
3:36.0,Defensive rebound by T. Warren,,14-19,,
3:28.0,T. Warren misses 2-pt shot from 14 ft,,14-19,,
3:27.0,,,14-19,,Defensive rebound by S. Johnson
3:26.0,,,14-19,,Turnover by M. Morris (lost ball; steal by T. Warren)
3:17.0,E. Bledsoe misses 2-pt shot at rim,,14-19,,
3:16.0,,,14-19,,Defensive rebound by E. Ilyasova
3:10.0,,,14-21,2,R. Jackson makes 2-pt shot at rim
2:52.0,D. Booker misses 2-pt shot from 18 ft,,14-21,,
2:52.0,,,14-21,,Defensive rebound by A. Drummond
2:43.0,,,14-21,,E. Ilyasova misses 2-pt shot from 19 ft
2:43.0,,,14-21,,Offensive rebound by M. Morris
2:37.0,,,14-24,3,M. Morris makes 3-pt shot from 24 ft (assist by R. Jackson)
2:37.0,Phoenix full timeout,,14-24,,
2:37.0,,,14-24,,S. Blake enters the game for R. Jackson
2:27.0,,,14-24,,Violation by A. Drummond (def goaltending)
2:27.0,T. Warren makes 2-pt shot from 12 ft,2,16-24,,
2:10.0,,,16-26,2,S. Blake makes 2-pt shot from 19 ft
2:02.0,M. Teletovic makes 3-pt shot from 26 ft (assist by E. Bledsoe),3,19-26,,
1:35.0,,,19-29,3,E. Ilyasova makes 3-pt shot from 24 ft
1:27.0,,,19-29,,Violation by A. Drummond (def goaltending)
1:27.0,M. Teletovic makes 2-pt shot from 3 ft (assist by E. Bledsoe),2,21-29,,
1:18.0,,,21-29,,Turnover by E. Ilyasova (lost ball; steal by E. Bledsoe)
1:12.0,T. Warren makes 2-pt shot at rim (assist by E. Bledsoe),2,23-29,,
0:49.0,,,23-29,,Turnover by S. Blake (bad pass; steal by E. Bledsoe)
0:44.0,Turnover by E. Bledsoe (lost ball; steal by A. Drummond),,23-29,,
0:36.0,,,23-29,,Shooting foul by D. Booker (drawn by E. Ilyasova)
0:36.0,,,23-30,1,E. Ilyasova makes free throw 1 of 2
0:36.0,R. Price enters the game for E. Bledsoe,,23-30,,
0:36.0,,,23-31,1,E. Ilyasova makes free throw 2 of 2
0:11.0,D. Booker makes 3-pt shot from 26 ft (assist by P. Tucker),3,26-31,,
0:01.0,,,26-31,,S. Johnson misses 2-pt shot from 12 ft
0:00.0,,,26-31,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:48.0,Shooting foul by A. Baynes (drawn by D. Booker),,26-31,,
11:48.0,D. Booker makes free throw 1 of 2,1,27-31,,
11:48.0,D. Booker makes free throw 2 of 2,1,28-31,,
11:23.0,,,28-31,,S. Johnson misses 3-pt shot from 29 ft
11:23.0,,,28-31,,Offensive rebound by Team
11:23.0,,,28-31,,Turnover by Team (shot clock)
11:05.0,R. Price misses 2-pt shot from 12 ft,,28-31,,
11:02.0,Offensive rebound by A. Len,,28-31,,
10:58.0,A. Len misses 2-pt shot from 4 ft,,28-31,,
10:57.0,,,28-31,,Defensive rebound by A. Baynes
10:43.0,,,28-31,,S. Blake misses 2-pt shot at rim
10:41.0,Defensive rebound by A. Len,,28-31,,
10:31.0,D. Booker makes 2-pt shot at rim,2,30-31,,
10:14.0,,,30-31,,K. Caldwell-Pope misses 2-pt shot from 18 ft
10:14.0,Defensive rebound by M. Teletovic,,30-31,,
9:57.0,A. Len misses 2-pt shot from 16 ft,,30-31,,
9:57.0,,,30-31,,Defensive rebound by S. Blake
9:52.0,,,30-31,,S. Blake misses 3-pt shot from 26 ft
9:51.0,,,30-31,,Offensive rebound by A. Baynes
9:51.0,,,30-31,,A. Baynes misses 2-pt shot from 1 ft
9:49.0,,,30-31,,Offensive rebound by A. Baynes
9:46.0,,,30-31,,A. Baynes misses 2-pt shot from 3 ft
9:46.0,,,30-31,,Offensive rebound by Team
9:27.0,,,30-31,,S. Johnson misses 2-pt shot from 4 ft (block by A. Len)
9:24.0,Defensive rebound by A. Len,,30-31,,
9:22.0,Turnover by A. Len (lost ball; steal by A. Tolliver),,30-31,,
9:16.0,,,30-31,,S. Johnson misses 3-pt shot from 26 ft
9:16.0,Defensive rebound by M. Teletovic,,30-31,,
9:00.0,T. Warren makes 2-pt shot from 7 ft,2,32-31,,
8:50.0,,,32-31,,Turnover by A. Baynes (traveling)
8:50.0,Official timeout,,32-31,,
8:31.0,Jump ball: K. Caldwell-Pope vs. T. Warren (D. Booker gains possession),,,,Jump ball: K. Caldwell-Pope vs. T. Warren (D. Booker gains possession)
8:24.0,T. Warren misses 3-pt shot from 26 ft,,32-31,,
8:23.0,Offensive rebound by A. Len,,32-31,,
8:22.0,A. Len misses 2-pt shot from 6 ft,,32-31,,
8:20.0,,,32-31,,Defensive rebound by A. Tolliver
8:04.0,,,32-31,,K. Caldwell-Pope misses 3-pt shot from 27 ft
8:03.0,Defensive rebound by T. Warren,,32-31,,
7:53.0,M. Teletovic misses 2-pt shot from 4 ft,,32-31,,
7:53.0,,,32-31,,Defensive rebound by Team
7:53.0,Personal foul by R. Price (drawn by A. Baynes),,32-31,,
7:53.0,J. Leuer enters the game for M. Teletovic,,32-31,,
7:46.0,Personal foul by D. Booker (drawn by K. Caldwell-Pope),,32-31,,
7:32.0,,,32-33,2,A. Tolliver makes 2-pt shot from 18 ft (assist by S. Johnson)
7:18.0,A. Len makes 2-pt shot from 8 ft (assist by R. Price),2,34-33,,
6:56.0,,,34-35,2,S. Johnson makes 2-pt shot from 3 ft
6:47.0,T. Warren misses 2-pt shot from 1 ft,,34-35,,
6:46.0,Offensive rebound by A. Len,,34-35,,
6:46.0,A. Len makes 2-pt shot from 1 ft,2,36-35,,
6:29.0,,,36-35,,Turnover by S. Johnson (bad pass)
6:21.0,D. Booker makes 2-pt shot at rim (assist by R. Price),2,38-35,,
6:21.0,Shooting foul by A. Baynes (drawn by D. Booker),,38-35,,
6:21.0,,,38-35,,A. Drummond enters the game for A. Baynes
6:21.0,Phoenix full timeout,,38-35,,
6:21.0,,,38-35,,R. Jackson enters the game for S. Johnson
6:21.0,,,38-35,,M. Morris enters the game for S. Blake
6:21.0,D. Booker makes free throw 1 of 1,1,39-35,,
6:09.0,Personal foul by T. Warren (drawn by M. Morris),,39-35,,
6:09.0,,,39-35,,E. Ilyasova enters the game for A. Tolliver
5:59.0,,,39-37,2,R. Jackson makes 2-pt shot from 19 ft
5:48.0,Shooting foul by K. Caldwell-Pope (drawn by D. Booker),,39-37,,
5:48.0,D. Booker makes free throw 1 of 2,1,40-37,,
5:48.0,E. Bledsoe enters the game for R. Price,,40-37,,
5:48.0,P. Tucker enters the game for T. Warren,,40-37,,
5:48.0,D. Booker makes free throw 2 of 2,1,41-37,,
5:38.0,,,41-39,2,A. Drummond makes 2-pt shot at rim (assist by R. Jackson)
5:23.0,B. Knight enters the game for D. Booker,,41-39,,
5:23.0,Offensive foul by A. Len,,41-39,,
5:23.0,Turnover by A. Len (offensive foul),,41-39,,
5:11.0,,,41-42,3,M. Morris makes 3-pt shot from 25 ft (assist by R. Jackson)
4:51.0,A. Len makes 2-pt shot at rim (assist by E. Bledsoe),2,43-42,,
4:46.0,,,43-42,,Detroit full timeout
4:46.0,M. Teletovic enters the game for A. Len,,43-42,,
4:38.0,,,43-42,,A. Drummond misses 2-pt shot from 1 ft
4:37.0,,,43-42,,Offensive rebound by A. Drummond
4:34.0,,,43-44,2,A. Drummond makes 2-pt shot at rim
4:18.0,,,43-44,,Personal foul by R. Jackson (drawn by E. Bledsoe)
4:12.0,Turnover by E. Bledsoe (bad pass; steal by M. Morris),,43-44,,
4:07.0,,,43-46,2,E. Ilyasova makes 2-pt shot at rim (assist by M. Morris)
3:45.0,Turnover by M. Teletovic (lost ball; steal by E. Ilyasova),,43-46,,
3:41.0,,,43-46,,Shooting foul by J. Leuer (drawn by M. Morris)
3:41.0,,,43-47,1,M. Morris makes free throw 1 of 2
3:41.0,C. Jefferson enters the game for J. Leuer,,43-47,,
3:41.0,,,43-48,1,M. Morris makes free throw 2 of 2
3:26.0,M. Teletovic makes 3-pt shot from 26 ft (assist by B. Knight),3,46-48,,
3:06.0,,,46-48,,R. Jackson misses 2-pt shot from 6 ft
3:05.0,Defensive rebound by E. Bledsoe,,46-48,,
2:58.0,M. Teletovic makes 2-pt shot at rim (assist by E. Bledsoe),2,48-48,,
2:48.0,,,48-48,,Shooting foul by P. Tucker (drawn by A. Drummond)
2:48.0,,,48-48,,A. Drummond misses free throw 1 of 2
2:48.0,,,48-48,,Offensive rebound by Team
2:48.0,,,48-48,,A. Drummond misses free throw 2 of 2
2:47.0,Defensive rebound by C. Jefferson,,48-48,,
2:34.0,B. Knight misses 2-pt shot from 16 ft,,48-48,,
2:33.0,,,48-48,,Defensive rebound by A. Drummond
2:23.0,,,48-50,2,E. Ilyasova makes 2-pt shot at rim (assist by R. Jackson)
2:01.0,C. Jefferson makes 2-pt shot from 1 ft (assist by P. Tucker),2,50-50,,
1:57.0,Personal take foul by C. Jefferson (drawn by A. Drummond),,50-50,,
1:57.0,,,50-51,1,A. Drummond makes free throw 1 of 2
1:57.0,,,50-51,,A. Drummond misses free throw 2 of 2
1:56.0,Defensive rebound by C. Jefferson,,50-51,,
1:42.0,B. Knight makes 3-pt shot from 26 ft,3,53-51,,
1:38.0,Personal take foul by C. Jefferson (drawn by A. Drummond),,53-51,,
1:38.0,,,53-51,,A. Drummond misses free throw 1 of 2
1:38.0,,,53-51,,Offensive rebound by Team
1:38.0,,,53-51,,A. Drummond misses free throw 2 of 2
1:37.0,Defensive rebound by P. Tucker,,53-51,,
1:30.0,,,53-51,,Personal foul by R. Jackson (drawn by E. Bledsoe)
1:30.0,E. Bledsoe makes free throw 1 of 2,1,54-51,,
1:30.0,,,54-51,,A. Baynes enters the game for A. Drummond
1:30.0,E. Bledsoe makes free throw 2 of 2,1,55-51,,
1:13.0,,,55-51,,Offensive foul by A. Baynes
1:13.0,,,55-51,,Turnover by A. Baynes (offensive foul)
1:01.0,E. Bledsoe makes 2-pt shot at rim,2,57-51,,
0:46.0,,,57-51,,R. Jackson misses 2-pt shot from 7 ft
0:45.0,,,57-51,,Offensive rebound by M. Morris
0:44.0,,,57-51,,M. Morris misses 2-pt shot at rim
0:43.0,,,57-51,,Offensive rebound by A. Baynes
0:43.0,,,57-51,,A. Baynes misses 2-pt shot from 1 ft
0:42.0,,,57-51,,Offensive rebound by A. Baynes
0:42.0,,,57-51,,A. Baynes misses 2-pt shot from 1 ft
0:42.0,,,57-51,,Offensive rebound by Team
0:28.0,,,57-54,3,M. Morris makes 3-pt shot from 26 ft (assist by R. Jackson)
0:03.0,C. Jefferson misses 2-pt shot from 5 ft,,57-54,,
0:03.0,,,57-54,,Defensive rebound by M. Morris
0:01.0,,,57-57,3,R. Jackson makes 3-pt shot from 33 ft (assist by M. Morris)
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:40.0,A. Len misses 2-pt shot from 3 ft (block by A. Drummond),,57-57,,
11:38.0,,,57-57,,Defensive rebound by M. Morris
11:30.0,,,57-60,3,E. Ilyasova makes 3-pt shot from 26 ft (assist by K. Caldwell-Pope)
11:12.0,B. Knight makes 2-pt shot from 19 ft,2,59-60,,
10:49.0,,,59-60,,A. Drummond misses 2-pt shot from 6 ft
10:48.0,Defensive rebound by J. Leuer,,59-60,,
10:42.0,Offensive foul by E. Bledsoe,,59-60,,
10:42.0,Turnover by E. Bledsoe (offensive foul),,59-60,,
10:22.0,,,59-60,,M. Morris misses 2-pt shot from 17 ft
10:22.0,,,59-60,,Offensive rebound by Team
10:22.0,,,59-60,,Offensive foul by E. Ilyasova
10:22.0,,,59-60,,Turnover by E. Ilyasova (offensive foul)
10:10.0,B. Knight misses 2-pt shot at rim,,59-60,,
10:09.0,,,59-60,,Defensive rebound by A. Drummond
10:01.0,,,59-60,,K. Caldwell-Pope misses 3-pt shot from 26 ft
10:01.0,,,59-60,,Offensive rebound by K. Caldwell-Pope
9:49.0,,,59-60,,K. Caldwell-Pope misses 3-pt shot from 24 ft
9:49.0,Defensive rebound by B. Knight,,59-60,,
9:39.0,J. Leuer makes 3-pt shot from 27 ft (assist by B. Knight),3,62-60,,
9:09.0,,,62-60,,K. Caldwell-Pope misses 2-pt shot at rim
9:09.0,,,62-60,,Offensive rebound by K. Caldwell-Pope
9:01.0,,,62-62,2,A. Drummond makes 2-pt shot at rim (assist by R. Jackson)
9:01.0,,,62-62,,Shooting foul by A. Len (drawn by A. Drummond)
9:01.0,M. Teletovic enters the game for A. Len,,62-62,,
9:01.0,,,62-62,,A. Drummond misses free throw 1 of 1
9:00.0,Defensive rebound by J. Leuer,,62-62,,
8:41.0,E. Bledsoe makes 3-pt shot from 26 ft (assist by J. Leuer),3,65-62,,
8:29.0,,,65-62,,A. Drummond misses 2-pt shot from 1 ft
8:29.0,Defensive rebound by E. Bledsoe,,65-62,,
8:21.0,J. Leuer makes 3-pt shot from 25 ft (assist by B. Knight),3,68-62,,
8:20.0,,,68-62,,Detroit full timeout
7:59.0,,,68-62,,R. Jackson misses 3-pt shot from 24 ft
7:59.0,Defensive rebound by Team,,68-62,,
7:35.0,Turnover by Team (shot clock),,68-62,,
7:15.0,,,68-64,2,R. Jackson makes 2-pt shot from 6 ft
6:54.0,B. Knight misses 3-pt shot from 24 ft,,68-64,,
6:54.0,,,68-64,,Defensive rebound by R. Jackson
6:51.0,,,68-66,2,R. Jackson makes 2-pt shot at rim
6:33.0,J. Leuer makes 2-pt shot at rim (assist by P. Tucker),2,70-66,,
6:13.0,,,70-66,,A. Drummond misses 2-pt shot from 4 ft
6:13.0,,,70-66,,Offensive rebound by M. Morris
6:08.0,,,70-68,2,M. Morris makes 2-pt shot at rim
5:59.0,E. Bledsoe makes 3-pt shot from 25 ft (assist by P. Tucker),3,73-68,,
5:37.0,,,73-68,,Turnover by E. Ilyasova (3 sec)
5:12.0,M. Teletovic misses 2-pt shot from 7 ft,,73-68,,
5:10.0,,,73-68,,Defensive rebound by M. Morris
5:06.0,Personal foul by M. Teletovic (drawn by A. Drummond),,73-68,,
4:45.0,,,73-68,,R. Jackson misses 3-pt shot from 26 ft
4:45.0,,,73-68,,Offensive rebound by A. Drummond
4:40.0,,,73-70,2,M. Morris makes 2-pt shot at rim (assist by K. Caldwell-Pope)
4:29.0,B. Knight makes 2-pt shot at rim,2,75-70,,
4:29.0,Shooting foul by A. Drummond (drawn by B. Knight),,75-70,,
4:29.0,B. Knight makes free throw 1 of 1,1,76-70,,
4:15.0,,,76-72,2,R. Jackson makes 2-pt shot at rim
3:59.0,E. Bledsoe makes 2-pt shot at rim,2,78-72,,
3:43.0,,,78-72,,A. Drummond misses 2-pt shot from 5 ft
3:43.0,Defensive rebound by Team,,78-72,,
3:43.0,,,78-72,,Loose ball foul by E. Ilyasova (drawn by M. Teletovic)
3:43.0,D. Booker enters the game for B. Knight,,78-72,,
3:43.0,,,78-72,,A. Tolliver enters the game for E. Ilyasova
3:30.0,P. Tucker makes 2-pt shot from 20 ft (assist by E. Bledsoe),2,80-72,,
3:08.0,,,80-74,2,M. Morris makes 2-pt shot from 19 ft
2:56.0,E. Bledsoe misses 3-pt shot from 26 ft,,80-74,,
2:55.0,,,80-74,,Defensive rebound by A. Tolliver
2:49.0,,,80-74,,Offensive charge foul by K. Caldwell-Pope
2:49.0,,,80-74,,Turnover by K. Caldwell-Pope (offensive foul)
2:49.0,Phoenix full timeout,,80-74,,
2:49.0,,,80-74,,S. Blake enters the game for K. Caldwell-Pope
2:49.0,,,80-74,,S. Johnson enters the game for R. Jackson
2:35.0,E. Bledsoe makes 2-pt shot at rim,2,82-74,,
2:15.0,,,82-74,,Turnover by M. Morris (bad pass)
2:04.0,Shooting foul by A. Drummond (drawn by J. Leuer),,82-74,,
2:04.0,J. Leuer makes free throw 1 of 2,1,83-74,,
2:04.0,T. Warren enters the game for P. Tucker,,83-74,,
2:04.0,J. Leuer makes free throw 2 of 2,1,84-74,,
1:47.0,,,84-77,3,A. Tolliver makes 3-pt shot from 26 ft (assist by S. Blake)
1:32.0,M. Teletovic makes 3-pt shot from 26 ft (assist by J. Leuer),3,87-77,,
1:12.0,,,87-77,,S. Johnson misses 2-pt shot from 4 ft (block by J. Leuer)
1:11.0,Defensive rebound by D. Booker,,87-77,,
0:50.0,E. Bledsoe misses 2-pt shot from 15 ft,,87-77,,
0:50.0,,,87-77,,Defensive rebound by M. Morris
0:34.0,,,87-77,,Shooting foul by D. Booker (drawn by S. Johnson)
0:34.0,,,87-78,1,S. Johnson makes free throw 1 of 2
0:34.0,,,87-79,1,S. Johnson makes free throw 2 of 2
0:15.0,E. Bledsoe makes 2-pt shot from 7 ft,2,89-79,,
0:10.0,Personal take foul by J. Leuer (drawn by A. Drummond),,89-79,,
0:10.0,,,89-80,1,A. Drummond makes free throw 1 of 2
0:10.0,,,89-80,,A. Drummond misses free throw 2 of 2
0:10.0,Defensive rebound by J. Leuer,,89-80,,
0:02.0,Turnover by E. Bledsoe (bad pass; steal by A. Drummond),,89-80,,
0:00.0,,,89-80,,A. Drummond misses 3-pt shot from 58 ft
0:00.0,,,89-80,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:49.0,,,89-80,,Turnover by S. Blake (traveling)
11:33.0,D. Booker makes 3-pt shot from 26 ft (assist by B. Knight),3,92-80,,
11:09.0,,,92-80,,A. Baynes misses 2-pt shot from 5 ft
11:08.0,Defensive rebound by T. Warren,,92-80,,
11:01.0,T. Warren misses 2-pt shot from 7 ft,,92-80,,
11:00.0,Offensive rebound by J. Leuer,,92-80,,
10:57.0,J. Leuer makes 2-pt shot at rim,2,94-80,,
10:39.0,,,94-82,2,K. Caldwell-Pope makes 2-pt shot from 4 ft
10:27.0,B. Knight misses 3-pt shot from 26 ft,,94-82,,
10:26.0,,,94-82,,Defensive rebound by A. Tolliver
10:20.0,,,94-82,,Turnover by K. Caldwell-Pope (traveling)
10:20.0,,,94-82,,Violation by Team (delay of game)
10:06.0,J. Leuer makes 2-pt shot at rim,2,96-82,,
10:01.0,,,96-82,,Detroit full timeout
10:01.0,,,96-82,,A. Drummond enters the game for S. Blake
10:01.0,,,96-82,,R. Jackson enters the game for A. Baynes
9:48.0,,,96-82,,K. Caldwell-Pope misses 2-pt shot from 20 ft
9:48.0,Defensive rebound by Team,,96-82,,
9:26.0,J. Leuer misses 2-pt shot from 16 ft,,96-82,,
9:25.0,Offensive rebound by T. Warren,,96-82,,
9:22.0,T. Warren makes 2-pt shot at rim,2,98-82,,
9:17.0,,,98-84,2,A. Drummond makes 2-pt shot at rim (assist by R. Jackson)
9:00.0,J. Leuer makes 2-pt shot at rim (assist by D. Booker),2,100-84,,
8:43.0,,,100-86,2,K. Caldwell-Pope makes 2-pt shot at rim
8:25.0,M. Teletovic makes 2-pt shot at rim (assist by T. Warren),2,102-86,,
8:12.0,,,102-89,3,S. Johnson makes 3-pt shot from 22 ft (assist by R. Jackson)
7:56.0,,,102-89,,Personal foul by S. Johnson (drawn by T. Warren)
7:43.0,M. Teletovic misses 2-pt shot from 8 ft,,102-89,,
7:41.0,,,102-89,,Defensive rebound by S. Johnson
7:41.0,Personal foul by D. Booker (drawn by S. Johnson),,102-89,,
7:35.0,,,102-89,,Turnover by R. Jackson (bad pass; steal by M. Teletovic)
7:19.0,T. Warren makes 2-pt shot at rim (assist by J. Leuer),2,104-89,,
6:56.0,,,104-92,3,R. Jackson makes 3-pt shot from 25 ft
6:37.0,B. Knight misses 2-pt shot at rim,,104-92,,
6:37.0,Offensive rebound by Team,,104-92,,
6:37.0,,,104-92,,Loose ball foul by A. Drummond (drawn by T. Warren)
6:37.0,,,104-92,,M. Morris enters the game for A. Tolliver
6:37.0,P. Tucker enters the game for M. Teletovic,,104-92,,
6:37.0,E. Bledsoe enters the game for T. Warren,,104-92,,
6:31.0,Turnover by E. Bledsoe (bad pass; steal by K. Caldwell-Pope),,104-92,,
6:29.0,,,104-92,,Shooting foul by E. Bledsoe (drawn by K. Caldwell-Pope)
6:29.0,,,104-92,,K. Caldwell-Pope misses free throw 1 of 2
6:29.0,,,104-92,,Offensive rebound by Team
6:29.0,,,104-93,1,K. Caldwell-Pope makes free throw 2 of 2
6:06.0,E. Bledsoe misses 2-pt shot from 10 ft,,104-93,,
6:05.0,Offensive rebound by E. Bledsoe,,104-93,,
6:01.0,Turnover by P. Tucker (traveling),,104-93,,
5:46.0,Personal foul by E. Bledsoe (drawn by M. Morris),,104-93,,
5:46.0,Official timeout,,104-93,,
5:46.0,,,104-93,,E. Ilyasova enters the game for S. Johnson
5:46.0,A. Len enters the game for J. Leuer,,104-93,,
5:36.0,,,104-96,3,R. Jackson makes 3-pt shot from 26 ft
5:10.0,B. Knight misses 3-pt shot from 26 ft,,104-96,,
5:10.0,,,104-96,,Defensive rebound by R. Jackson
4:56.0,,,104-99,3,K. Caldwell-Pope makes 3-pt shot from 24 ft (assist by R. Jackson)
4:27.0,E. Bledsoe misses 2-pt shot from 15 ft,,104-99,,
4:26.0,,,104-99,,Defensive rebound by K. Caldwell-Pope
4:15.0,,,104-101,2,A. Drummond makes 2-pt shot from 5 ft (assist by R. Jackson)
4:15.0,Phoenix full timeout,,104-101,,
4:15.0,J. Leuer enters the game for A. Len,,104-101,,
4:15.0,M. Teletovic enters the game for D. Booker,,104-101,,
4:05.0,Turnover by M. Teletovic (bad pass; steal by K. Caldwell-Pope),,104-101,,
3:53.0,,,104-103,2,A. Drummond makes 2-pt shot at rim (assist by E. Ilyasova)
