time,Indiana,pts.away,score,pts.home,Denver
6:46.0,,,44-43,,Turnover by E. Mudiay (bad pass; steal by C. Budinger)
6:42.0,J. Young makes 2-pt shot at rim (assist by C. Budinger),2,46-43,,
6:20.0,Personal foul by C. Miles (drawn by J. Lauvergne),,46-43,,
6:20.0,M. Ellis enters the game for C. Miles,,46-43,,
6:20.0,,,46-43,,G. Harris enters the game for R. Foye
6:20.0,,,46-43,,K. Faried enters the game for J. Lauvergne
6:05.0,Jump ball: K. Faried vs. M. Turner (W. Barton gains possession),,,,Jump ball: K. Faried vs. M. Turner (W. Barton gains possession)
5:56.0,,,46-45,2,W. Barton makes 2-pt shot from 19 ft
5:42.0,S. Hill misses 2-pt shot from 1 ft,,46-45,,
5:40.0,Offensive rebound by Team,,46-45,,
5:40.0,,,46-45,,Denver full timeout
5:40.0,J. Hill enters the game for M. Turner,,46-45,,
5:29.0,C. Budinger makes 2-pt shot from 20 ft (assist by S. Hill),2,48-45,,
5:19.0,,,48-45,,Turnover by E. Mudiay (traveling)
4:52.0,S. Hill makes 3-pt shot from 23 ft (assist by M. Ellis),3,51-45,,
4:42.0,,,51-45,,W. Barton misses 2-pt shot from 1 ft
4:41.0,,,51-45,,Offensive rebound by K. Faried
4:41.0,,,51-47,2,K. Faried makes 2-pt shot from 2 ft
4:41.0,,,51-47,,Shooting foul by M. Ellis (drawn by K. Faried)
4:41.0,L. Allen enters the game for S. Hill,,51-47,,
4:41.0,,,51-47,,N. Jokic enters the game for D. Arthur
4:41.0,,,51-47,,K. Faried misses free throw 1 of 1
4:38.0,Defensive rebound by C. Budinger,,51-47,,
4:23.0,M. Ellis makes 2-pt shot from 11 ft,2,53-47,,
4:23.0,Shooting foul by N. Jokic (drawn by M. Ellis),,53-47,,
4:23.0,P. George enters the game for J. Young,,53-47,,
4:23.0,M. Ellis makes free throw 1 of 1,1,54-47,,
4:12.0,,,54-47,,G. Harris misses 2-pt shot from 1 ft
4:09.0,Defensive rebound by J. Hill,,54-47,,
4:01.0,L. Allen misses 2-pt shot from 17 ft,,54-47,,
4:00.0,Offensive rebound by J. Hill,,54-47,,
4:00.0,,,54-47,,D. Gallinari enters the game for W. Barton
3:49.0,M. Ellis makes 3-pt shot from 23 ft (assist by L. Allen),3,57-47,,
3:36.0,,,57-47,,Turnover by E. Mudiay (step out of bounds)
3:24.0,M. Ellis makes 2-pt shot from 21 ft (assist by P. George),2,59-47,,
3:08.0,,,59-47,,N. Jokic misses 3-pt shot from 23 ft
3:07.0,Defensive rebound by L. Allen,,59-47,,
2:51.0,M. Ellis makes 3-pt shot from 25 ft (assist by J. Hill),3,62-47,,
2:51.0,,,62-47,,Denver full timeout
2:39.0,,,62-49,2,D. Gallinari makes 2-pt shot from 21 ft (assist by N. Jokic)
2:15.0,P. George misses 3-pt shot from 24 ft,,62-49,,
2:14.0,,,62-49,,Defensive rebound by G. Harris
2:09.0,,,62-49,,Shooting foul by L. Allen (drawn by G. Harris)
2:09.0,,,62-51,2,G. Harris makes 2-pt shot at rim
2:09.0,,,62-52,1,G. Harris makes free throw 1 of 1
2:01.0,Turnover by P. George (bad pass),,62-52,,
1:43.0,,,62-54,2,D. Gallinari makes 2-pt shot from 20 ft
1:43.0,Indiana full timeout,,62-54,,
1:37.0,M. Ellis makes 2-pt shot from 1 ft,2,64-54,,
1:14.0,,,64-54,,E. Mudiay misses 2-pt shot at rim
1:12.0,Defensive rebound by Team,,64-54,,
1:08.0,,,64-54,,W. Barton enters the game for D. Gallinari
0:55.0,J. Hill misses 2-pt shot at rim,,64-54,,
0:55.0,Offensive rebound by C. Budinger,,64-54,,
0:53.0,C. Budinger makes 2-pt shot from 2 ft,2,66-54,,
0:46.0,,,66-54,,Turnover by N. Jokic (bad pass)
0:35.0,M. Ellis misses 2-pt shot from 20 ft,,66-54,,
0:34.0,,,66-54,,Defensive rebound by K. Faried
0:23.0,,,66-54,,K. Faried misses 2-pt shot from 7 ft
0:17.0,Defensive rebound by L. Allen,,66-54,,
0:07.0,,,66-54,,Personal take foul by E. Mudiay (drawn by M. Ellis)
0:07.0,Indiana full timeout,,66-54,,
0:07.0,C. Miles enters the game for L. Allen,,66-54,,
0:07.0,,,66-54,,R. Foye enters the game for E. Mudiay
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:45.0,,,66-54,,N. Jokic misses 2-pt shot from 1 ft (block by M. Ellis)
11:45.0,,,66-54,,Offensive rebound by Team
11:45.0,Personal foul by L. Allen (drawn by N. Jokic),,66-54,,
11:40.0,,,66-54,,Shooting foul by L. Allen (drawn by E. Mudiay)
11:40.0,,,66-54,,E. Mudiay misses free throw 1 of 2
11:40.0,,,66-54,,Offensive rebound by Team
11:40.0,,,66-54,,E. Mudiay misses free throw 2 of 2
11:38.0,,,66-54,,Offensive rebound by N. Jokic
11:30.0,,,66-54,,D. Gallinari misses 2-pt shot from 7 ft
11:30.0,,,66-54,,Offensive rebound by K. Faried
11:30.0,,,66-54,,Shooting foul by J. Hill (drawn by K. Faried)
11:30.0,,,66-55,1,K. Faried makes free throw 1 of 2
11:30.0,,,66-56,1,K. Faried makes free throw 2 of 2
11:16.0,G. Robinson misses 3-pt shot from 23 ft,,66-56,,
11:13.0,,,66-56,,Defensive rebound by G. Harris
10:59.0,,,66-58,2,G. Harris makes 2-pt shot from 5 ft
10:35.0,P. George makes 3-pt shot from 25 ft (assist by L. Allen),3,69-58,,
10:19.0,Shooting block foul by J. Hill (drawn by D. Gallinari),,69-58,,
10:19.0,,,69-59,1,D. Gallinari makes free throw 1 of 2
10:19.0,,,69-60,1,D. Gallinari makes free throw 2 of 2
10:08.0,M. Ellis misses 2-pt shot from 6 ft,,69-60,,
10:05.0,,,69-60,,Defensive rebound by D. Gallinari
9:59.0,Personal foul by P. George (drawn by D. Gallinari),,69-60,,
9:59.0,,,69-61,1,D. Gallinari makes free throw 1 of 2
9:59.0,,,69-62,1,D. Gallinari makes free throw 2 of 2
9:42.0,,,69-62,,Personal foul by D. Gallinari (drawn by M. Ellis)
9:36.0,Turnover by L. Allen (bad pass; steal by N. Jokic),,69-62,,
9:32.0,,,69-62,,Turnover by G. Harris (lost ball; steal by M. Ellis)
9:25.0,G. Robinson misses 2-pt shot from 5 ft,,69-62,,
9:22.0,,,69-62,,Defensive rebound by G. Harris
9:11.0,,,69-64,2,N. Jokic makes 2-pt shot at rim (assist by E. Mudiay)
8:55.0,G. Robinson misses 2-pt shot from 21 ft,,69-64,,
8:52.0,,,69-64,,Defensive rebound by Team
8:38.0,,,69-64,,Turnover by D. Gallinari (bad pass; steal by P. George)
8:34.0,Shooting foul by D. Gallinari (drawn by G. Robinson),,69-64,,
8:34.0,G. Robinson makes free throw 1 of 2,1,70-64,,
8:34.0,,,70-64,,W. Barton enters the game for D. Gallinari
8:34.0,G. Robinson makes free throw 2 of 2,1,71-64,,
8:19.0,,,71-64,,N. Jokic misses 2-pt shot from 1 ft
8:15.0,,,71-64,,Offensive rebound by K. Faried
8:14.0,,,71-66,2,K. Faried makes 2-pt shot from 1 ft
8:00.0,M. Ellis makes 2-pt shot from 19 ft,2,73-66,,
7:36.0,,,73-68,2,E. Mudiay makes 2-pt shot at rim
7:12.0,J. Hill makes 2-pt shot from 5 ft,2,75-68,,
6:59.0,,,75-68,,N. Jokic misses 2-pt shot at rim (block by G. Robinson)
6:59.0,,,75-68,,Offensive rebound by Team
6:59.0,M. Turner enters the game for L. Allen,,75-68,,
6:51.0,,,75-68,,G. Harris misses 3-pt shot from 26 ft
6:50.0,,,75-68,,Offensive rebound by Team
6:50.0,Personal foul by J. Hill (drawn by N. Jokic),,75-68,,
6:50.0,,,75-68,,N. Jokic misses free throw 1 of 2
6:50.0,,,75-68,,Offensive rebound by Team
6:50.0,S. Hill enters the game for J. Hill,,75-68,,
6:50.0,,,75-69,1,N. Jokic makes free throw 2 of 2
6:34.0,M. Ellis misses 3-pt shot from 25 ft,,75-69,,
6:33.0,,,75-69,,Defensive rebound by G. Harris
6:27.0,,,75-69,,Turnover by E. Mudiay (bad pass; steal by G. Robinson)
6:18.0,,,75-69,,Personal foul by E. Mudiay (drawn by P. George)
6:09.0,Shooting foul by W. Barton (drawn by G. Robinson),,75-69,,
6:09.0,G. Robinson misses free throw 1 of 2,,75-69,,
6:09.0,Offensive rebound by Team,,75-69,,
6:09.0,G. Robinson makes free throw 2 of 2,1,76-69,,
5:58.0,,,76-69,,Turnover by E. Mudiay (lost ball; steal by M. Turner)
5:51.0,G. Robinson misses 2-pt shot at rim (block by W. Barton),,76-69,,
5:50.0,,,76-69,,Defensive rebound by E. Mudiay
5:48.0,,,76-71,2,G. Harris makes 2-pt shot from 1 ft
5:48.0,,,76-71,,Shooting foul by S. Hill (drawn by G. Harris)
5:48.0,,,76-71,,Denver full timeout
5:48.0,,,76-71,,D. Arthur enters the game for K. Faried
5:48.0,C. Miles enters the game for G. Robinson,,76-71,,
5:48.0,,,76-72,1,G. Harris makes free throw 1 of 1
5:33.0,Turnover by P. George (lost ball; steal by E. Mudiay),,76-72,,
5:08.0,,,76-74,2,N. Jokic makes 2-pt shot at rim (assist by D. Arthur)
4:57.0,C. Miles misses 3-pt shot from 24 ft,,76-74,,
4:56.0,,,76-74,,Defensive rebound by D. Arthur
4:51.0,,,76-74,,E. Mudiay misses 2-pt shot from 1 ft
4:49.0,,,76-74,,Offensive rebound by N. Jokic
4:49.0,,,76-76,2,N. Jokic makes 2-pt shot from 1 ft
4:30.0,Turnover by P. George (bad pass; steal by D. Arthur),,76-76,,
4:26.0,,,76-76,,Shooting foul by C. Miles (drawn by N. Jokic)
4:26.0,,,76-77,1,N. Jokic makes free throw 1 of 2
4:26.0,,,76-78,1,N. Jokic makes free throw 2 of 2
4:14.0,M. Ellis makes 2-pt shot from 4 ft,2,78-78,,
4:01.0,,,78-80,2,G. Harris makes 2-pt shot at rim (assist by N. Jokic)
3:59.0,Indiana full timeout,,78-80,,
3:48.0,Turnover by M. Ellis (lost ball; steal by N. Jokic),,78-80,,
3:42.0,,,78-80,,N. Jokic misses 3-pt shot from 24 ft
3:40.0,Defensive rebound by C. Miles,,78-80,,
3:27.0,M. Turner misses 2-pt shot from 13 ft,,78-80,,
3:26.0,,,78-80,,Defensive rebound by E. Mudiay
3:07.0,,,78-80,,D. Arthur misses 2-pt shot from 9 ft
3:04.0,Defensive rebound by C. Miles,,78-80,,
2:59.0,S. Hill makes 3-pt shot from 24 ft (assist by P. George),3,81-80,,
2:43.0,,,81-80,,W. Barton misses 2-pt shot from 16 ft
2:40.0,,,81-80,,Offensive rebound by W. Barton
2:37.0,,,81-80,,W. Barton misses 2-pt shot from 9 ft
2:36.0,Defensive rebound by S. Hill,,81-80,,
2:28.0,,,81-80,,Personal foul by N. Jokic (drawn by C. Miles)
2:28.0,C. Miles makes free throw 1 of 2,1,82-80,,
2:28.0,J. Young enters the game for M. Ellis,,82-80,,
2:28.0,,,82-80,,J. Lauvergne enters the game for N. Jokic
2:28.0,,,82-80,,R. Foye enters the game for E. Mudiay
2:28.0,C. Miles makes free throw 2 of 2,1,83-80,,
2:09.0,,,83-80,,Turnover by J. Lauvergne (offensive foul)
2:09.0,,,83-80,,Offensive charge foul by J. Lauvergne
1:52.0,P. George makes 2-pt shot from 15 ft,2,85-80,,
1:33.0,,,85-80,,R. Foye misses 3-pt shot from 23 ft
1:32.0,Defensive rebound by S. Hill,,85-80,,
1:15.0,M. Turner makes 2-pt shot from 18 ft (assist by J. Young),2,87-80,,
0:59.0,,,87-82,2,W. Barton makes 2-pt shot from 23 ft
0:47.0,M. Turner makes 2-pt shot from 19 ft (assist by J. Young),2,89-82,,
0:47.0,,,89-82,,Denver full timeout
0:47.0,C. Budinger enters the game for P. George,,89-82,,
0:47.0,,,89-82,,Violation by Team (delay of game)
0:38.0,,,89-82,,W. Barton misses 2-pt shot from 1 ft
0:37.0,,,89-82,,Offensive rebound by Team
0:31.0,,,89-84,2,R. Foye makes 2-pt shot from 19 ft
0:09.0,J. Young makes 2-pt shot from 22 ft,2,91-84,,
0:00.0,,,91-84,,R. Foye misses 2-pt shot from 12 ft (block by S. Hill)
0:00.0,,,91-84,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:47.0,M. Turner makes 2-pt shot from 19 ft (assist by J. Young),2,93-84,,
11:21.0,,,93-86,2,G. Harris makes 2-pt shot from 14 ft
11:12.0,M. Turner makes 2-pt shot from 1 ft (assist by C. Budinger),2,95-86,,
11:12.0,Shooting foul by D. Arthur (drawn by M. Turner),,95-86,,
11:12.0,M. Turner makes free throw 1 of 1,1,96-86,,
11:02.0,,,96-88,2,R. Foye makes 2-pt shot from 1 ft
10:56.0,J. Young makes 2-pt shot from 10 ft,2,98-88,,
10:56.0,Shooting foul by R. Foye (drawn by J. Young),,98-88,,
10:56.0,,,98-88,,K. Faried enters the game for D. Arthur
10:56.0,J. Young makes free throw 1 of 1,1,99-88,,
10:46.0,,,99-91,3,W. Barton makes 3-pt shot from 24 ft (assist by R. Foye)
10:32.0,M. Turner makes 2-pt shot at rim (assist by C. Miles),2,101-91,,
10:17.0,,,101-94,3,R. Foye makes 3-pt shot from 24 ft
9:59.0,S. Hill misses 2-pt shot from 6 ft,,101-94,,
9:57.0,,,101-94,,Defensive rebound by K. Faried
9:48.0,,,101-96,2,K. Faried makes 2-pt shot at rim (assist by W. Barton)
9:33.0,C. Budinger misses 2-pt shot from 3 ft (block by J. Lauvergne),,101-96,,
9:29.0,,,101-96,,Defensive rebound by R. Foye
9:24.0,,,101-96,,W. Barton misses 3-pt shot from 24 ft
9:21.0,,,101-96,,Offensive rebound by J. Lauvergne
9:18.0,,,101-99,3,G. Harris makes 3-pt shot from 22 ft (assist by W. Barton)
9:18.0,Indiana full timeout,,101-99,,
9:18.0,,,101-99,,E. Mudiay enters the game for G. Harris
9:18.0,,,101-99,,D. Gallinari enters the game for R. Foye
9:02.0,M. Turner makes 2-pt shot from 18 ft (assist by S. Hill),2,103-99,,
8:46.0,,,103-101,2,E. Mudiay makes 2-pt shot from 2 ft (assist by D. Gallinari)
8:35.0,J. Young misses 2-pt shot from 18 ft,,103-101,,
8:33.0,,,103-101,,Defensive rebound by K. Faried
8:30.0,Personal block foul by C. Budinger (drawn by W. Barton),,103-101,,
8:30.0,P. George enters the game for C. Budinger,,103-101,,
8:25.0,,,103-101,,Shooting foul by J. Young (drawn by E. Mudiay)
8:25.0,,,103-101,,E. Mudiay misses free throw 1 of 2
8:25.0,,,103-101,,Offensive rebound by Team
8:25.0,,,103-101,,E. Mudiay misses free throw 2 of 2
8:23.0,Defensive rebound by J. Young,,103-101,,
8:13.0,Turnover by J. Young (bad pass; steal by D. Gallinari),,103-101,,
8:08.0,,,103-101,,E. Mudiay misses 2-pt shot from 1 ft
8:05.0,Defensive rebound by C. Miles,,103-101,,
7:57.0,J. Young makes 2-pt shot at rim,2,105-101,,
7:57.0,,,105-101,,Violation by K. Faried (def goaltending)
7:43.0,,,105-101,,D. Gallinari misses 3-pt shot from 25 ft
7:43.0,Defensive rebound by Team,,105-101,,
7:43.0,,,105-101,,Personal foul by J. Lauvergne (drawn by S. Hill)
7:43.0,M. Ellis enters the game for J. Young,,105-101,,
7:30.0,C. Miles misses 3-pt shot from 25 ft,,105-101,,
7:28.0,,,105-101,,Defensive rebound by W. Barton
7:21.0,,,105-103,2,E. Mudiay makes 2-pt shot at rim (assist by K. Faried)
7:21.0,,,105-103,,Shooting foul by M. Ellis (drawn by E. Mudiay)
7:21.0,,,105-103,,E. Mudiay misses free throw 1 of 1
7:20.0,Defensive rebound by C. Miles,,105-103,,
7:09.0,P. George misses 3-pt shot from 24 ft,,105-103,,
7:05.0,Offensive rebound by S. Hill,,105-103,,
7:03.0,Turnover by S. Hill (bad pass; steal by E. Mudiay),,105-103,,
6:58.0,,,105-106,3,W. Barton makes 3-pt shot from 25 ft (assist by E. Mudiay)
6:50.0,M. Ellis misses 2-pt shot from 1 ft,,105-106,,
6:50.0,Offensive rebound by M. Turner,,105-106,,
6:50.0,M. Turner makes 2-pt shot from 1 ft,2,107-106,,
6:50.0,Shooting foul by W. Barton (drawn by M. Turner),,107-106,,
6:50.0,,,107-106,,G. Harris enters the game for J. Lauvergne
6:50.0,L. Allen enters the game for S. Hill,,107-106,,
6:50.0,M. Turner misses free throw 1 of 1,,107-106,,
6:50.0,Offensive rebound by P. George,,107-106,,
6:39.0,L. Allen makes 2-pt shot from 1 ft (assist by P. George),2,109-106,,
6:27.0,Personal block foul by L. Allen (drawn by D. Gallinari),,109-106,,
6:27.0,S. Hill enters the game for L. Allen,,109-106,,
6:27.0,J. Hill enters the game for M. Turner,,109-106,,
6:16.0,,,109-108,2,W. Barton makes 2-pt shot from 1 ft
5:59.0,J. Hill makes 2-pt shot from 2 ft (assist by P. George),2,111-108,,
5:47.0,,,111-108,,Turnover by E. Mudiay (bad pass; steal by P. George)
5:36.0,,,111-108,,Personal foul by E. Mudiay (drawn by P. George)
5:36.0,Official timeout,,111-108,,
5:36.0,G. Robinson enters the game for C. Miles,,111-108,,
5:36.0,P. George makes free throw 1 of 2,1,112-108,,
